material_code,material,Abbreviation,rep,length incl pet. (mm),width (mm),curliness incl pet. (mm),comments,ALL MEASUREMENTS IN MM,Taxon,Rainfall a,Soil P b,room temp,air humidity,rep#,max_temp (C),point_burning_time (s),time to edge (s),RoS (cm/s),bulk density (g/cm3),packing ratio,total mass before (g),total mass after (g),fuel consumption (%),FMC%,%N leaves,%C leaves,%P leaves,mass ash( g),mass char (g),mass unburnt (g),ash% of mass before,char% of mass before,unburnt% of mass before,senesced_leaf_N,senesced_leaf_C,senesced_leaf_P,site_conditions,site_name
1,dried,Allocas,2,NA,NA,NA,NA,NA,Allocasuarina sp,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Allocas,3,NA,NA,NA,NA,NA,Allocasuarina sp,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Allocas,4,NA,NA,NA,NA,NA,Allocasuarina sp,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Allocas,5,NA,NA,NA,NA,NA,Allocasuarina sp,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Allocas,6,NA,NA,NA,NA,NA,Allocasuarina sp,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Ast_floc,1,115,19,6,NA,NA,Astrotricha floccosa,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Ast_floc,2,123,24,12,NA,NA,Astrotricha floccosa,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Ast_floc,3,110,20,14,NA,NA,Astrotricha floccosa,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Ast_floc,4,73,16,13,NA,NA,Astrotricha floccosa,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Ast_floc,5,132,26,7,NA,NA,Astrotricha floccosa,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Ast_floc,6,103,23,7,NA,NA,Astrotricha floccosa,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
1,dried,Bra_pop,1,132,25,12,NA,NA,Brachychiton populneus,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Bra_pop,2,109,23,7,NA,NA,Brachychiton populneus,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Bra_pop,3,108,22,13,NA,NA,Brachychiton populneus,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Bra_pop,4,110,21,12,NA,NA,Brachychiton populneus,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Bra_pop,5,100,19,13,NA,NA,Brachychiton populneus,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Bra_pop,6,109,19,18,NA,NA,Brachychiton populneus,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Cor_gum,1,100,21,8,NA,NA,Corymbia gummifera,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Cor_gum,2,100,25,11,NA,NA,Corymbia gummifera,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Cor_gum,3,121,27,10,NA,NA,Corymbia gummifera,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Cor_gum,4,95,21,9,NA,NA,Corymbia gummifera,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Cor_gum,5,97,23,10,NA,NA,Corymbia gummifera,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Cor_gum,6,115,25,12,NA,NA,Corymbia gummifera,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Dod_vis,1,43,8,8,NA,NA,Dodonaea viscosa subsp. spathulata,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Dod_vis,2,48,10,5,NA,NA,Dodonaea viscosa subsp. spathulata,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Dod_vis,3,50,8,8,NA,NA,Dodonaea viscosa subsp. spathulata,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Dod_vis,4,50,10,9,NA,NA,Dodonaea viscosa subsp. spathulata,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Dod_vis,5,48,9,6,NA,NA,Dodonaea viscosa subsp. spathulata,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Dod_vis,6,37,9,4,NA,NA,Dodonaea viscosa subsp. spathulata,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Ere_lon,1,120,5,5,NA,NA,Eremophila longifolia,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Ere_lon,2,95,5,6,NA,NA,Eremophila longifolia,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Ere_lon,3,100,5,4,NA,NA,Eremophila longifolia,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Ere_lon,4,82,2,3,NA,NA,Eremophila longifolia,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Ere_lon,5,80,3,4,NA,NA,Eremophila longifolia,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Ere_lon,6,117,4,7,NA,NA,Eremophila longifolia,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Euc_dum,1,105,20,3,NA,NA,Eucalyptus dumosa,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_dum,2,87,17,2,NA,NA,Eucalyptus dumosa,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_dum,3,110,19,5,NA,NA,Eucalyptus dumosa,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_dum,4,100,16,8,NA,NA,Eucalyptus dumosa,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_dum,5,87,19,5,NA,NA,Eucalyptus dumosa,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_dum,6,117,17,4,NA,NA,Eucalyptus dumosa,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_hae,1,187,37,4,NA,NA,Eucalyptus haemastoma,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Euc_hae,2,190,31,4,NA,NA,Eucalyptus haemastoma,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Euc_hae,3,140,36,7,NA,NA,Eucalyptus haemastoma,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Euc_hae,4,190,36,10,NA,NA,Eucalyptus haemastoma,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Euc_hae,5,155,30,3,NA,NA,Eucalyptus haemastoma,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Euc_hae,6,172,37,5,NA,NA,Eucalyptus haemastoma,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Euc_int,1,103,20,3,NA,NA,Eucalyptus intertexta,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Euc_int,2,74,19,8,NA,NA,Eucalyptus intertexta,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Euc_int,3,105,19,5,NA,NA,Eucalyptus intertexta,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Euc_int,4,111,20,6,NA,NA,Eucalyptus intertexta,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Euc_int,5,106,18,4,NA,NA,Eucalyptus intertexta,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Euc_int,6,102,18,7,NA,NA,Eucalyptus intertexta,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Euc_soc,1,100,18,3,NA,NA,Eucalyptus socialis,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_soc,2,97,15,6,NA,NA,Eucalyptus socialis,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_soc,3,97,20,5,NA,NA,Eucalyptus socialis,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_soc,4,98,18,5,NA,NA,Eucalyptus socialis,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_soc,5,82,13,2,NA,NA,Eucalyptus socialis,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Euc_soc,6,103,19,10,NA,NA,Eucalyptus socialis,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Gei_par,1,165,6,20,NA,NA,Geijera parviflora,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Gei_par,2,155,7,11,NA,NA,Geijera parviflora,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Gei_par,3,160,5,13,NA,NA,Geijera parviflora,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Gei_par,4,122,6,21,NA,NA,Geijera parviflora,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Gei_par,5,160,8,12,NA,NA,Geijera parviflora,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Gei_par,6,142,7,11,NA,NA,Geijera parviflora,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Hak_dac,1,111,19,7,NA,NA,Hakea dactyloides,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_dac,2,104,23,18,NA,NA,Hakea dactyloides,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_dac,3,111,19,8,NA,NA,Hakea dactyloides,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_dac,4,87,16,12,NA,NA,Hakea dactyloides,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_dac,5,146,25,9,NA,NA,Hakea dactyloides,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_dac,6,130,25,10,NA,NA,Hakea dactyloides,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_tep,1,67,NA,0,NA,NA,Hakea tephrosperma,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Hak_tep,2,55,1.2,2,NA,NA,Hakea tephrosperma,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Hak_tep,3,66,1.3,2,NA,NA,Hakea tephrosperma,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Hak_tep,4,51,1.1,2,NA,NA,Hakea tephrosperma,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Hak_tep,5,66,1.3,1,NA,NA,Hakea tephrosperma,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Hak_tep,6,60,1.2,1,NA,NA,Hakea tephrosperma,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Hak_ter,1,50,1,0,NA,NA,Hakea teretifolia,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_ter,2,70,1,2,NA,NA,Hakea teretifolia,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_ter,3,55,1,0,NA,NA,Hakea teretifolia,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_ter,4,63,1,2,NA,NA,Hakea teretifolia,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_ter,5,70,1,2,NA,NA,Hakea teretifolia,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Hak_ter,6,50,1,2,NA,NA,Hakea teretifolia,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Lam_for,1,55,5,8,NA,NA,Lambertia formosa,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
1,dried,Lam_for,2,60,4,10,NA,NA,Lambertia formosa,high,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall low soil P,Kuring-gai NP lowP
