spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera,species_name,site_name,nitrogen_fixing,seed_mass_duplicate,Seed_mass_filtered
Barr_race,Lecythidaceae,Barringtonia,racemosa,Tall tree,Phanerophyte,27,None,None,C3,NA,53580,NA,449,Mycorrhizal,Water,9200,Yes,Bat,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,0,0,0,0,0,NA,Acmenosperma,Barringtonia racemosa,Harney's,no,NA,9200
Beil_obtu,Lauraceae,Beilschmiedia,obtusifolia,Tall tree,Phanerophyte,35,None,None,C3,NA,6120,NA,597,Mycorrhizal,Endozoochory,10000,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,0,1,1,1,0,0,1,NA,Adenanthera,Beilschmiedia obtusifolia,Harney's,no,NA,10000
Brac_acer,Sterculiaceae,Brachychiton,acerifolius,Tall tree,Phanerophyte,45,None,None,C3,NA,32400,NA,333,Mycorrhizal,Wind,170,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,1,1,0,0,0,NA,NA,Brachychiton acerifolius,Henry's,no,Duplicate of Kew_2019_1_07021,NA
Brey_cern,Euphorbiaceae,Breynia,cernua,Shrub,Phanerophyte,5,None,None,C3,NA,3360,NA,510,Mycorrhizal,Endozoochory,7.7,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,0,Solanaceae,Castanospermum,Breynia cernua,Mackay's,no,NA,7.7
Brid_insu,Euphorbiaceae,Bridelia,insulana,Tall tree,Phanerophyte,16,None,None,C3,NA,12420,NA,591,Mycorrhizal,Endozoochory,54,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,1,Sterculiaceae,Centrosema,Bridelia insulana,Shane's,no,NA,54
Cala_aust,Arecaceae,Calamus,australis,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,7800,NA,630,Mycorrhizal,Endozoochory,410,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,1,0,0,0,0,0,Cyperaceae,Hoya,Calamus australis,Zonta,no,Duplicate of Kew_2019_1_00676,NA
Cala_cary,Arecaceae,Calamus,caryotoides,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,8640,NA,456,Mycorrhizal,Endozoochory,140,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,1,1,0,1,1,1,1,Davidsoniaceae,Asplenium,Calamus caryotoides,Harney's,no,NA,140
Cala_moti,Arecaceae,Calamus,moti,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,11250,NA,595,Mycorrhizal,Endozoochory,160,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,1,Dilleniaceae,Ageratum,Calamus moti,McDonald's,no,NA,160
Call_long,Lamiaceae,Callicarpa,longifolia,Shrub,Phanerophyte,5,None,None,C3,NA,7020,NA,380,Mycorrhizal,Endozoochory,0.41,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,1,0,1,NA,Carronia,Callicarpa longifolia,Mackay's,no,Duplicate of Kew_2019_1_04198,NA
Calo_aust,Clusiaceae,Calophyllum,australianum,Tall tree,Phanerophyte,30,None,None,C3,NA,3600,NA,601,Mycorrhizal,Endozoochory,5400,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,0,0,1,1,Nyctaginaceae,Ipomoea,Calophyllum australianum,Siam,no,NA,5400
Calo_mucu,Fabaceae,Calopogonium,mucunoides,Vine,Phanerophyte,NA,None,None,C3,NA,6480,NA,NA,NA,Passive,8.1,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,NA,Premna,Calopogonium mucunoides,McDonald's,yes,NA,8.1
Cana_acut,Burseraceae,Canarium,acutifolium var. acutifolium,Tall tree,Phanerophyte,20,None,None,C3,NA,27000,NA,506,Mycorrhizal,Endozoochory,650,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Mimosaceae,Calophyllum,Canarium acutifolium var. acutifolium,Mackay's,no,NA,650
Cana_odor,Annonaceae,Cananga,odorata,Tall tree,Phanerophyte,30,None,None,C3,NA,11880,NA,389,Mycorrhizal,Endozoochory,16,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,1,1,0,1,0,1,Apiaceae,Cananga,Cananga odorata,Zonta,no,NA,16
Cana_viti,Burseraceae,Canarium,vitiense,Tall tree,Phanerophyte,40,None,None,C3,NA,4800,NA,445,Mycorrhizal,Endozoochory,650,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Monimiaceae,Terminalia,Canarium vitiense,Mackay's,no,Duplicate of Kew_2019_1_00984,NA
Cara_brac,Rhizophoraceae,Carallia,brachiata,Tall tree,Phanerophyte,30,None,None,C3,NA,8160,NA,601,Mycorrhizal,Endozoochory,54,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,0,0,0,1,0,NA,NA,Carallia brachiata,Siam,no,NA,54
Card_molu,Cardiopteridaceae,Cardiopteris,moluccana,Liana,Phanerophyte,NA,None,None,C3,NA,31680,NA,NA,NA,Wind,11,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,0,0,0,0,0,0,1,1,Myristicaceae,Pollia,Cardiopteris moluccana,Siam,NA,Duplicate of Kew_2019_1_01081,NA
Card_subl,Proteaceae,Cardwellia,sublimis,Tall tree,Phanerophyte,35,None,None,C3,NA,10710,NA,461,Hairy root clusters,Wind,420,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),1,1,1,1,0,1,0,1,NA,Cayratia,Cardwellia sublimis,Harney's,no,NA,420
Carr_prot,Menispermaceae,Carronia,protensa,Liana,Phanerophyte,NA,None,None,C3,NA,85470,NA,NA,Mycorrhizal,Endozoochory,180,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,NA,Corymborkis,Carronia protensa,Mackay's,no,NA,180
Case_dall,Flacourtiaceae,Casearia,dallachii,Shrub,Phanerophyte,8,None,None,C3,NA,7140,NA,582,Mycorrhizal,Endozoochory,11,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,1,0,0,0,0,0,NA,Hibiscus,Casearia dallachii,Zonta,no,NA,11
Case_Miss,Flacourtiaceae,Casearia,sp. (Mission Beach B.P.Hyland 773),Short tree,Phanerophyte,15,None,None,C3,NA,2400,NA,613,Mycorrhizal,Endozoochory,6,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,1,0,1,0,0,NA,Sida,Casearia sp. (Mission Beach B.P.Hyland 773),Henry's,no,NA,6
Cast_alph,Sapindaceae,Castanospora,alphandii,Tall tree,Phanerophyte,45,None,None,C3,NA,11520,NA,581,Mycorrhizal,Endozoochory,2000,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,NA,NA,Castanospora alphandii,Siam,no,Duplicate of Grubb_1996_131,NA
Cast_aust,Fabaceae,Castanospermum,australe,Tall tree,Phanerophyte,35,None,None,C3,NA,6000,NA,621,NA,Endozoochory,14000,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,0,0,1,1,1,1,0,NA,Beilschmiedia,Castanospermum australe,Henry's,yes,Duplicate of Kew_2019_1_05809,NA
Cayr_sapo,Vitaceae,Cayratia,saponaria,Liana,Phanerophyte,NA,None,None,C3,NA,15990,NA,NA,Mycorrhizal,Endozoochory,23,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,NA,NA,Cayratia saponaria,Mackay's,no,Duplicate of Kew_2019_1_13625,NA
Cela_subs,Celastraceae,Celastrus,subspicata,Liana,Phanerophyte,NA,None,None,C3,NA,5880,NA,NA,Mycorrhizal,Endozoochory,30,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,1,0,0,1,0,Myrsinaceae,Connarus,Celastrus subspicata,Harney's,no,NA,30
Cent_asia,Apiaceae,Centella,asiatica,Short basal,Chamaephyte,0.1,Clonal aboveground,None,C3,NA,1200,NA,NA,Mycorrhizal,Passive,0.86,No,Flies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,1,0,0,1,1,1,0,Arecaceae,Alstonia,Centella asiatica,McDonald's,no,NA,0.86
Cent_lapp,Poaceae,Centotheca,lappacea,Short basal,Hemicryptophyte,1,Clonal belowground,None,C3,NA,1440,NA,NA,Mycorrhizal,Passive,NA,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,1,0,0,0,NA,Pronephrium,Centotheca lappacea,Mackay's,no,NA,NA
Cent_pube,Fabaceae,Centrosema,pubescens,Vine,Phanerophyte,NA,None,None,C3,NA,2835,NA,NA,NA,Passive,8.1,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,1,1,1,1,0,0,NA,Cryptocarya,Centrosema pubescens,McDonald's,yes,NA,8.1
Chio_rami,Oleaceae,Chionanthus,ramiflora,Tall tree,Phanerophyte,20,None,None,C3,NA,11880,NA,713,Mycorrhizal,Endozoochory,400,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,0,0,0,0,0,NA,Pouteria,Chionanthus ramiflora,Harney's,no,NA,400
Chri_dent,Thelypteridaceae,Christella,dentata,Short basal,Phanerophyte,1,Clonal belowground,None,C3,NA,2250,NA,NA,No obvious special uptake strategy,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,NA,Christella dentata,Mackay's,no,NA,0.001
Chro_odor,Asteraceae,Chromolaena,odorata,Scrambler,Phanerophyte,4,None,None,C3,NA,3630,NA,NA,Mycorrhizal,Wind,1.5,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Long persistent in soil (more than 5 years),0,1,0,1,0,0,0,0,Fabaceae,Diplazium,Chromolaena odorata,McDonald's,no,NA,1.5
Ciss_hast,Vitaceae,Cissus,hastata,Liana,Phanerophyte,NA,None,None,C3,NA,7560,NA,NA,Mycorrhizal,Endozoochory,65,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,NA,NA,Cissus hastata,Weiss,no,NA,65
Ciss_penn,Vitaceae,Cissus,penninervis,Liana,Phanerophyte,NA,None,None,C3,NA,3600,NA,578,Mycorrhizal,Endozoochory,110,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,0,1,1,1,0,NA,NA,Cissus penninervis,Zonta,no,NA,110
Clao_tene,Euphorbiaceae,Claoxylon,tenerifolium,Tall tree,Phanerophyte,20,None,None,C3,NA,17394,NA,331,Mycorrhizal,Endozoochory,13,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,0,Strychnaceae,Crotalaria,Claoxylon tenerifolium,Siam,no,NA,13
Clem_pick,Ranunculaceae,Clematis,pickeringii,Liana,Phanerophyte,NA,None,None,C3,NA,5250,NA,NA,Mycorrhizal,Wind,1.1,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,0,0,1,0,0,0,NA,Xanthophyllum,Clematis pickeringii,McDonald's,no,NA,1.1
Cleo_acul,Capparidaceae,Cleome,aculeata,Erect leafy,Therophyte,0.5,None,Spines or thorns,C3,NA,378,NA,NA,Mycorrhizal,Passive,0.86,No,Butterflies,Dry dehiscent or indehsicent without attractant or wing,Annual,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Moraceae,Commelina,Cleome aculeata,McDonald's,no,NA,0.86
Cler_trac,Lamiaceae,Clerodendrum,tracyanum,Tall tree,Phanerophyte,10,None,None,C3,NA,45540,NA,400,Mycorrhizal,Endozoochory,19,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,NA,Hypserpa,Clerodendrum tracyanum,Mackay's,no,NA,19
Comm_bart,Sterculiaceae,Commersonia,bartramia,Tall tree,Phanerophyte,25,None,None,C3,NA,12540,NA,413,Mycorrhizal,Endozoochory,4.5,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),1,1,1,1,1,0,0,1,NA,NA,Commersonia bartramia,Harney's,no,Duplicate of Grubb_1996_018,NA
Comm_ensi,Commelinaceae,Commelina,ensifolia,Semi basal,Chamaephyte,0.5,Clonal belowground,None,C3,NA,1440,NA,NA,Mycorrhizal,Passive,2.2,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,1,Onagraceae,Diplocyclos,Commelina ensifolia,Mackay's,no,NA,2.2
Conn_conc,Connaraceae,Connarus,conchocarpus ssp. conchocarpus,Liana,Phanerophyte,NA,None,None,C3,NA,14040,NA,NA,Mycorrhizal,Endozoochory,180,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,Orchidaceae,Cyperus,Connarus conchocarpus ssp. conchocarpus,Siam,no,NA,180
Cord_cann,Dracaenaceae,Cordyline,cannifolia,Erect leafy,Phanerophyte,2,Clonal belowground,None,C3,NA,36000,NA,863,NA,Endozoochory,12,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Rutaceae,Glochidion,Cordyline cannifolia,McDonald's,NA,Duplicate of Kew_2019_1_00719,NA
Cord_dich,Boraginaceae,Cordia,dichotoma,Tall tree,Phanerophyte,20,None,None,C3,NA,13230,NA,437,Mycorrhizal,Endozoochory,100,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,Meliaceae,Hippocratea,Cordia dichotoma,McDonald's,no,NA,100
Cord_mann,Dracaenaceae,Cordyline,manners-suttoniae,Erect leafy,Phanerophyte,5,Clonal belowground,None,C3,NA,46800,NA,863,NA,Endozoochory,12,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,1,1,1,1,1,1,1,Sapindaceae,Homalanthus,Cordyline manners-suttoniae,Harney's,NA,NA,12
Cory_vera,Orchidaceae,Corymborkis,veratrifolia,Epiphyte,Phanerophyte,1.6,None,None,CAM,NA,19200,NA,NA,Mycorrhizal,Wind,0.001,No,hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),1,0,0,0,0,1,0,0,NA,Ailanthus,Corymborkis veratrifolia,Harney's,no,NA,0.001
Cove_poec,Dryopteridaceae,Coveniella,poecilophlebia,Short basal,Phanerophyte,1,Clonal belowground,None,C3,NA,6210,NA,NA,Mycorrhizal,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,1,0,1,1,0,0,0,Sapotaceae,Macaranga,Coveniella poecilophlebia,McDonald's,no,NA,0.001
