Animal species binomial name,Animal genus,Animal subgenus,Animal species,Animal family,Animal subfamily,Animal common name,Animal class,Animal order,Pollinator match column,Pollinator match value
Thyreus waroonensis,Thyreus,NA,waroonensis,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal family,Apidae
Apis mellifera,Apis,NA,mellifera,Apidae,Apinae,European honey bee,Insecta,Hymenoptera,Animal species binomial name,Apis mellifera
Apis mellifera,Apis,NA,mellifera,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal species binomial name,Apis mellifera
Apis mellifera,Apis,NA,mellifera,Apidae,Apinae,European honey bee,Insecta,Diptera,Animal species binomial name,Apis mellifera
Austroplebeia australis,Austroplebeia,NA,australis,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Austroplebeia
Austroplebeia australis–Central Colour Morph?1,Austroplebeia,NA,australis–Central Colour Morph?1,Apidae,Apinae,Sugarbag bee,Insecta,Hymenoptera,Animal genus,Austroplebeia
Austroplebeia australis–Central Colour Morph?2,Austroplebeia,NA,ustralis–Central Colour Morph?2,Apidae,Apinae,Sugarbag bee,Insecta,Hymenoptera,Animal genus,Austroplebeia
Austroplebeia essingtoni,Austroplebeia,NA,essingtoni,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Austroplebeia
Austroplebeia essingtoni,Austroplebeia,NA,essingtoni,Apidae,Apinae,Sugarbag bee,Insecta,Hymenoptera,Animal genus,Austroplebeia
"Austroplebeia essingtoni?""cream T5""",Austroplebeia,NA,"essingtoni?""cream T5""",Apidae,Apinae,Sugarbag bee,Insecta,Hymenoptera,Animal genus,Austroplebeia
"Austroplebeia essingtoni?""cream T5""",Austroplebeia,NA,"essingtoni?""cream T5""",Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Austroplebeia
Austroplebeia sp.,Austroplebeia,NA,NA,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Austroplebeia
Austroplebeia sp. A,Austroplebeia,NA,sp. A,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Austroplebeia
Austroplebeia sp. B,Austroplebeia,NA,sp. B,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Austroplebeia
Acanthiza chrysorrhoa,Acanthiza,NA,chrysorrhoa,"Acanthizidae
","Acanthizinae
",Yellow-rumped thornbill,Aves,Passeriformes,Animal class,Aves
Acanthiza lineata,Acanthiza,NA,lineata,"Acanthizidae
",Acanthizinae,NA,Aves,Passeriformes,Animal class,Aves
Acanthiza lineata,Acanthiza,NA,lineata,"Acanthizidae
","Acanthizinae
",striated thornbill,Aves,Passeriformes,Animal class,Aves
Acanthiza pusilla,Acanthiza,NA,pusilla,"Acanthizidae
",Acanthizinae,NA,Aves,Passeriformes,Animal class,Aves
Acanthiza pusilla,Acanthiza,NA,pusilla,"Acanthizidae
","Acanthizinae
",Brown thornbill,Aves,Passeriformes,Animal class,Aves
Acanthiza pusilla,Acanthiza,NA,pusilla,"Acanthizidae
","Acanthizinae
",brown thornbill,Aves,Passeriformes,Animal class,Aves
Acanthiza reguloides,Acanthiza,NA,reguloides,"Acanthizidae
",Acanthizinae,NA,Aves,Passeriformes,Animal class,Aves
Acrocephalus australis,Acrocephalus,NA,australis,Acrocephalidae,NA,Australian reed warbler,Aves,Passeriformes,Animal class,Aves
Climacteris leucophaca,Climacteris,NA,leucophaca,Climacteridae,NA,NA,Aves,Passeriformes,Animal class,Aves
Cracticus torquatus,Cractius,NA,torquatus,Artamidae,Cracticinae,NA,Aves,Passeriformes,Animal class,Aves
Eopsaltria australia,Eopsaltria,NA,australia,Petroicidae,Eopsaltriinae,NA,Aves,Passeriformes,Animal class,Aves
Malurus cyaneus,Malurus,NA,cyaneus,Maluridae,Malurinae,Superb fairywren,Aves,Passeriformes,Animal class,Aves
Malurus leucopterus,Malurus,NA,leucopterus,Maluridae,Malurinae,White-winged fairy wren,Aves,Passeriformes,Animal class,Aves
Pachycephala olivacea,Pachycephala,NA,olivacea,Pachycephalidae,NA,NA,Aves,Passeriformes,Animal class,Aves
Rhipidura fulginosa,Rhipidura,NA,fulginosa,Rhipiduridae,NA,NA,Aves,Passeriformes,Animal class,Aves
Rhipidura fuliginosa,Rhipidura,NA,fuliginosa,Rhipiduridae,NA,Grey fantail,Aves,Passeriformes,Animal class,Aves
Sericornis frontalis,Sericornis,NA,frontalis,"Acanthizidae
",Sericornithinae,NA,Aves,Passeriformes,Animal class,Aves
Ectobiidae,NA,NA,NA,Ectobiidae,NA,cockroach,Insecta,Blattodea,Animal order,Blattodea
Bombus terrestris,Bombus,NA,terrestris,Apidae,Apinae,buff-tailed bumblebee,Insecta,Hymenoptera,Animal genus,Bombus
Aleucosia sp.,Aleucosia,NA,sp.,Bombyliidae,Lomatiinae,NA,Insecta,Diptera,Animal family,Bombyliidae
Choristus sp.,Choristus,NA,NA,Bombyliidae,Bombyliinae,NA,Insecta,Diptera,Animal family,Bombyliidae
Geron flavocciput,Geron,NA,flavocciput,Bombyliidae,Toxophorinae,NA,Insecta,Diptera,Animal family,Bombyliidae
Mandella sp.,Mandella,NA,NA,Bombyliidae,Bombyliinae,NA,Insecta,Diptera,Animal family,Bombyliidae
Munjua paralutea,Munjua,NA,paralutea,Bombyliidae,Anthracinae,NA,Insecta,Diptera,Animal family,Bombyliidae
Trichophthalma sp.,Trichophthalma,Nemestrininae,sp.,Bombyliidae,Megachilinae,NA,Insecta,Diptera,Animal family,Bombyliidae
Braunsapis cf. hylina,Braunsapis,NA,cf. hylina,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal genus,Braunsapis
Braunsapis falcata,Braunsapis,NA,falcata,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal genus,Braunsapis
Braunsapis occidentalis,Braunsapis,NA,occidentalis,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal genus,Braunsapis
Braunsapis simillima,Braunsapis,NA,simillima,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal genus,Braunsapis
Braunsapis sp.,Braunsapis,NA,sp.,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal genus,Braunsapis
Braunsapis unicolor,Braunsapis,NA,unicolor,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal genus,Braunsapis
Aphyssura sp.,Aphyssura,NA,NA,Calliphoridae,Aphyssurinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphora sp.,Calliphora,NA,NA,Calliphoridae,Calliphorinae,NA,Insecta,Coleoptera,Animal family,Calliphoridae
Calliphoridae,NA,NA,NA,Calliphoridae,NA,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphoridae,NA,NA,NA,Calliphoridae,NA,calliphorid fly,Insecta,Diptera,Animal family,Calliphoridae
Chrysomya rufifacies,Chrysomya,NA,rufifacies,Calliphoridae,Chrysominae,Calliophorid fly,Insecta,Diptera,Animal family,Calliphoridae
Aderidae 'sp.1',NA,NA,NA,Aderidae,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Aethyssius sp.,Aethyssius,NA,NA,Tenebrionidae,Alleculinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Agrilus (Agrilus) kangaroo,Agrilus,Agrilus,kangaroo,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Agrilus australasiae,Agrilus,NA,australasiae,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Agrilus australasiae,Agrilus,NA,australasiae,Buprestidae,Buprestinae,Jewel beetle,Insecta,Coleoptera,Animal order,Coleoptera
Agrilus hypoleucus,Agrilus,NA,hypoleucus,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Agrilus sp.,Agrilus,NA,NA,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Amycterinae sp.,NA,NA,NA,Curculionidae,Amycterinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Ancita varicornis,Ancita,NA,varicornis,Cerambycidae,Lamiinae,Leaf beetle,Insecta,Coleoptera,Animal order,Coleoptera
Anilara sp.,Anilara,NA,NA,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Anoplognathus,Anoplognathus,NA,Anoplognathus,Scarabaeidae,Rutelinae,Christmas beetle,Insecta,Coleoptera,Animal order,Coleoptera
Anoplognathus sp.,Anoplognathus,NA,Anoplognathus,Scarabaeidae,Rutelinae,Christmas beetle,Insecta,Coleoptera,Animal order,Coleoptera
Aprilus hypoleucus,Agrilus,NA,hypoleucus,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Astraeus major,Astraeus,NA,major,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Attelabidae,NA,NA,NA,Attelabidae,NA,"Leaf rolling
weevils",Insecta,Coleoptera,Animal order,Coleoptera
Buprestidae sp.,NA,NA,NA,Buprestidae,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Calomela pulchella,Calomela,NA,pulchella,NA,NA,Botany Bay Diamond Weevil,Insecta,Coleoptera,Animal order,Coleoptera
Carabidae,NA,NA,NA,NA,Carabidae,carabid beetle,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina aeraticollis,Castiarina,NA,aeraticollis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina atricollis,Castiarina,NA,atricollis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina atrocollis,Castiarina,NA,atricollis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina azurea,Castiarina,NA,azurea,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina bakeri,Castiarina,NA,bakeri,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina bucolica,Castiarina,NA,bucolica,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina cornishi,Castiarina,NA,cornishi,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina cracenta,Castiarina,NA,cracenta,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina dilitata,Castiarina,NA,dilitata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina distantia,Castiarina,NA,distantia,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina domina,Castiarina,NA,domina,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina palliata,Castiarina,NA,palliata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina parallela,Castiarina,NA,parallela,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina picta,Castiarina,NA,picta,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina pictipennis,Castiarina,NA,pictipennis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina recta,Castiarina,NA,recta,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina rufipennis,Castiarina,NA,rufipennis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina rufolimbata,Castiarina,NA,rufolimbata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina sanguinolenta,Castiarina,NA,sanguinolenta,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina simulaella,Castiarina,NA,simulata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina simulata,Castiarina,NA,simulata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Castiarina sp.,Castiarina,NA,NA,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Cerambycidae,NA,NA,NA,Cerambycidae,NA,Longicorn beetle,Insecta,Coleoptera,Animal order,Coleoptera
Cetoniinae sp.,Cetoniinae,NA,NA,Scarabeidae,Cetoniinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chalcotaenia exilis,Chalcotaenia,NA,exilis,Buprestidae,Chalcophorinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chalcotaenia martini,Chalcotaenia,NA,martini,Buprestidae,Chalcophorinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chrysobothris australasiae,Chrysobothris,NA,australasiae,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chrysobothris subsimilis,Chrysobothris,NA,subsimilis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chrysolopus spectabilis,Chrysolopus,NA,spectabilis,Curculionidae,Cyclominae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chrysolopus spectabilis,Chrysolopus,NA,spectabilis,Curculionidae,Cyclominae,Botany Bay Diamond Weevil,Insecta,Coleoptera,Animal order,Coleoptera
Chrysolopus spectabilis,Chrysolopus,NA,spectabilis,Curculionidae,Cyclominae,Botany Bay Weevil,Insecta,Coleoptera,Animal order,Coleoptera
Chrysolopus spectabilis,Chrysolopus,NA,spectabilis,Curculionidae,Cyclominae,Fruit-tree Root Weevil,Insecta,Coleoptera,Animal order,Coleoptera
Chrysomelidae,NA,NA,NA,Chrysomelidae,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chrysomelidae,NA,NA,NA,Chrysomelidae,NA,Leaf beetle,Insecta,Coleoptera,Animal order,Coleoptera
Chrysomelidae,NA,NA,NA,Chrysomelidae,NA,chysomelid beetle,Insecta,Coleoptera,Animal order,Coleoptera
Chrysomelidae sp.,NA,NA,NA,Chrysomelidae,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Chrysomelidae sp.,NA,NA,NA,Chrysomelidae,NA,Leaf beetle,Insecta,Coleoptera,Animal order,Coleoptera
Chrysomelidae spp.,Chrysomelidae,NA,spp.,Chrysomelidae,NA,Chrysomelid beetles,Insecta,Coleoptera,Animal order,Coleoptera
Cleridae,NA,NA,NA,Cleridae,NA,Clerid beetle,Insecta,Coleoptera,Animal order,Coleoptera
Cleridae sp.,NA,NA,NA,Cleridae,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Cleridae sp.,NA,NA,NA,Cleridae,NA,Longicorn beetle,Insecta,Coleoptera,Animal order,Coleoptera
Coccillenidae sp.,NA,NA,NA,NA,NA,Ladybug,Insecta,Coleoptera,Animal order,Coleoptera
Coccinella transversalis,Coccinella,NA,transversalis,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Coccinellidae,NA,NA,NA,Coccinellidae,NA,Ladybeetle,Insecta,Coleoptera,Animal order,Coleoptera
Coccinellidae sp.,NA,NA,NA,Coccinellidae,NA,Ladybug,Insecta,Coleoptera,Animal order,Coleoptera
Coleoptera,NA,NA,NA,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Coleoptera,NA,NA,NA,NA,NA,beetles,Insecta,Coleoptera,Animal order,Coleoptera
Coleoptera sp.,NA,NA,NA,NA,NA,Beetle,Insecta,Coleoptera,Animal order,Coleoptera
Coleoptera sp.,NA,NA,NA,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Coleoptera sp.,NA,NA,NA,NA,NA,Beetles,Insecta,Coleoptera,Animal order,Coleoptera
Coleoptera spp.,NA,NA,NA,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Colymbomorpha sp.,Colymbomorpha,NA,NA,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Culicoidea,NA,NA,Curculionidae,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Curculionidae,NA,NA,Curculionidae,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Curculionidae,NA,NA,Curculionidae,NA,NA,Weevils,Insecta,Coleoptera,Animal order,Coleoptera
Curis intercribrata,Curis,NA,intercribrata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Dicranolaius,Dicranolaius,NA,NA,Melyridae,Malachiinae,melyrid beetle,Insecta,Coleoptera,Animal order,Coleoptera
Dicranosterna circe,Dicranosterna,NA,circe,Chrysomelidae,Chrysomelinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Dicranosterna immaculata,Dicranosterna,NA,immaculata,Chrysomelidae,Chrysomelinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Dicranosterna immaculata,Dicranosterna,NA,immaculata,Chrysomelidae,Chrysomelinae,Leaf beetle,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala affinis,Diphucephala,NA,affinis,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala colaspidoides,Diphucephala,NA,colaspidoides,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala edwardsii,Diphucephala,NA,edwardsii,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala rugosa,Diphucephala,NA,rugosa,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala sp.,Diphucephala,NA,NA,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala sp.,Diphucephala,NA,NA,Scarabaeidae,Melolonthinae,Scarab beetle,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala sp.,Diphucephala,NA,NA,Scarabaeidae,Melolonthinae,Christmas beetle,Insecta,Coleoptera,Animal order,Coleoptera
Diphucephala sp.,Diphucephala,NA,NA,Scarabaeidae,Melolonthinae,scarab beetle,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (= syn. Cisseis) acuducta,Diphucrania,NA,acuducta,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) aurocyanea,Diphucrania,NA,aurocyanea,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) carterella,Diphucrania,NA,carterella,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) carteri,Diphucrania,NA,carteri,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) cupripennis,Diphucrania,NA,cupripennis,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) cyanea,Diphucrania,NA,cyanea,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) cyanopyga,Diphucrania,NA,cyanopygea,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) duodecimmaculata,Diphucrania,NA,duodecimmaculata,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) elliptica,Diphucrania,NA,ellipitica,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) fulgidicollis,Diphucrania,NA,fulgidicollis,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) heroni,Diphucrania,NA,heroni,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) leucosticta,Diphucrania,NA,leucosticta,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) marmorata,Diphucrania,NA,marmorata,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) minuta,Diphucrania,NA,minuta,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) regalis,Diphucrania,NA,regalis,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) scabrosula,Diphucrania,NA,scabrosula,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) sp.,Diphucrania,NA,NA,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) sp.,Diphucrania,NA,tyrrhena,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) sp.,Diphucrania,NA,viridipurpurea,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) sp.,Diphucrania,NA,NA,NA,Agrilinae,Jewel beetle,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) sp. No. 3,Diphucrania,NA,NA,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) sp. No.2.,Diphucrania,NA,NA,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) sp. No.4,Diphucrania,NA,NA,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania (=syn. Cesseis) tyrrhena,Diphucrania,NA,tyrrhena,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania cyanea,Diphucrania,NA,cyanea,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania leucosticta,Diphucrania,NA,leucosticta,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Diphucrania sp.,Diphucrania,NA,NA,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Ditropidus phalacroides,Ditropidus,NA,phalacroides,Chrysomelidae,"Cryptocephalinae
",NA,Insecta,Coleoptera,Animal order,Coleoptera
Ditropidus sp.,Ditropidus,NA,NA,Chrysomelidae,"Cryptocephalinae
",NA,Insecta,Coleoptera,Animal order,Coleoptera
Eunatalis sp.,Eunatalis,NA,NA,Cleridae,Clerinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Eupoecila australasiae,Eupoecila,NA,australasiae,Scarabaeidae,Cetoniinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Harmonia conformis,Harmonia,NA,conformis,Coccinellidae,Coccinellinae,Large spotted lady bug,Insecta,Coleoptera,Animal order,Coleoptera
Harmonia testudinaria,Harmonia,NA,testudinaria,Coccinellidae,Coccinellinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Hydnocerinae sp.,NA,NA,NA,Lycidae,Hydnocerinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Idiocephala sp.,Aporocera,NA,"""sp.""",Chrysomelidae,Cryptocephalinae,Chrysomelid beetle,Insecta,Coleoptera,Animal order,Coleoptera
Latridiidae,NA,NA,NA,Latridiidae,NA,Minute scavenger beetles,Insecta,Coleoptera,Animal order,Coleoptera
Lemidia sp.,Lemidia,NA,NA,Cleridae,Clerinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Liparetrus discipennis,Liparetrus,NA,discipennis,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Liparetrus discipennis?,Liparetrus,NA,discipennis?,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Malachiinae sp.,Malachiinae,NA,NA,Melyridae,Malachiinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Meiobasis sp.,Melobasis,NA,NA,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis angustecostata,Melobasis,NA,angustecostata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis costifera,Melobasis,NA,costifera,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis cuprifera,Melobasis,NA,cuprifera,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis duplexicolor,Melobasis,NA,duplexicolor,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis ferminalis,Melobasis,NA,ferminalis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis fulgurans,Melobasis,NA,fulgurans,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis gloriosa,Melobasis,NA,gloriosa,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
