detailed_description,value_categorical
Simulating cold conditions at a temperature for a period. fridge temp not recorded on data sheet - estimate only,stratification
"Simulating cold conditions at a temperature for a period. fridge temp not recorded, 10 deg estimate for data entry",stratification
Simulating cold conditions at a temperature for a period. in lab fridge,stratification
Simulating cold conditions at a temperature for a period. Out of cold strat on 21/08/2008,stratification
Simulating cold conditions at a temperature for a period. Out on 21/08/08,stratification
Simulating cold conditions at a temperature for a period. Out on 21/08/2008,stratification
Simulating cold conditions at a temperature for a period. Removed 13 empty seeds,stratification
Simulating cold conditions at a temperature for a period. Removed early due to contamination,stratification
Simulating cold conditions at a temperature for a period. temp not recorded on data sheet - 10 estimated for data entry,stratification
Simulating warm conditions at a temperature for a period.,stratification
Simulating warm conditions at a temperature for a period. might be duplicate of previous treatment,stratification
Simulating warm conditions at a temperature for a period. No light,stratification
Simulating warm conditions at a temperature for a period. Removed from = day 1in incubator 2,stratification
Simulating warm conditions at a temperature for a period. Terminated warm strat - removed tin foil,stratification
Soak the seed for a time period.,imbibed
"Soak the seed for a time period. ",imbibed
Soak the seed for a time period. 1 min off-boil treatment,imbibed_cooled_boiling
Soak the seed for a time period. 10% smoke-water solution,smoked_water
Soak the seed for a time period. 2% bleach,imbibed_bleach
Soak the seed for a time period. 2% Bleach,imbibed_bleach
Soak the seed for a time period. 30 mins,imbibed
Soak the seed for a time period. Bracts and bracteoles removed,imbibed remove_bracts
Soak the seed for a time period. cooled boiling water,imbibed_cooled_boiling
Soak the seed for a time period. Distilled water,imbibed_distilled
Soak the seed for a time period. Distiolled water,imbibed_distilled
Soak the seed for a time period. Hard hairy coats.  1 seed removed from coat with difficulty.  Placed all on agar.,imbibed remove_seed_coat
Soak the seed for a time period. hot water,imbibed_hot_water
Soak the seed for a time period. Hot water,imbibed_hot_water
Soak the seed for a time period. imbibed with distilled water,imbibed_distilled
Soak the seed for a time period. in distilled water,imbibed_distilled
Soak the seed for a time period. in room temp water,imbibed
Soak the seed for a time period. in water that had been boiled and cooled,imbibed_cooled_boiling
"Soak the seed for a time period. in water, then rinsed",imbibed rinse
Soak the seed for a time period. near boiling water,imbibed_near_boiling
Soak the seed for a time period. outer seed casing removed after soak,imbibed remove_seed_casing
Soak the seed for a time period. outer seed casing removed afterwards,imbibed remove_seed_casing
Soak the seed for a time period. removed bracts/bracteoles,imbibed remove_bracts
"Soak the seed for a time period. removed outer seed casing after soak.  When examined, only a small proportion of the seed look ok.  The rest look immature/ shrivelled.",imbibed remove_seed_casing
Soak the seed for a time period. removed outer seed casing after soaking,imbibed remove_seed_casing
Soak the seed for a time period. removed outer seed casing afterwards,imbibed remove_seed_casing
Soak the seed for a time period. room temp water,imbibed
Soak the seed for a time period. seeds soaked after heat treatment,stratification imbibed
"Soak the seed for a time period. Seeds soaked in 2% bleach for 30 mins, then rinsed well.  Seeds were then imbibed with distilled water for 1 hour.",imbibed_bleach
"Soak the seed for a time period. seeds were soake din 2% bleach for 30 mins, then rinsed well.  seeds were then imbibed with distilled water for 1 hour.",imbibed_bleach
"Soak the seed for a time period. seeds were soaked in 2% bleach for 30 mins, then rinsed well.  Seeds were then imbibed with distilled water for 1 hour.",imbibed_bleach
Soak the seed for a time period. seeds were soaked in 2% calcium hypochlorite for 30 mins then rinsed 5 times with distilled water.,imbibed_calcium_hypochlorite
"Soak the seed for a time period. seeds were soaked in 2% calcium hypochlorite for 30 mins, then rinsed 5 times in distilled water",imbibed_calcium_hypochlorite
"Soak the seed for a time period. seeds were soaked in 2% calcium hypochlorite for 30mins, then rinsed 5 times in distilled water.",imbibed_calcium_hypochlorite
Soak the seed for a time period. seeds were soaked in calcium hypochlorite for 30 mins then rinsed 5 times with distilled water,imbibed_calcium_hypochlorite
"Soak the seed for a time period. soak seed in 2% calcium hypochlorite for 30 mins, then rinse 5 times in distilled water.",imbibed_calcium_hypochlorite
"Soak the seed for a time period. soaked in 2% bleach for 30 mins, then rinsed thoroughly.   Seeds then imbibed with distilled water for 1 hour.",imbibed_bleach
Soak the seed for a time period. soaked in 2% calcium hypochlorite then rinsed with distilled water 5 times.,imbibed_calcium_hypochlorite
Soak the seed for a time period. Soaked in cooled boiled water,imbibed_cooled_boiling
Soak the seed for a time period. soaked in distilled water,imbibed_distilled
Soak the seed for a time period. soaked in Kirstenbosch seed primer,imbibed_seed_primer
Soak the seed for a time period. soaked in Regen smoked water,smoked_water
Soak the seed for a time period. soaked in water,imbibed
Soak the seed for a time period. soaked in water after removing bracts and bracteoles,imbibed remove_bracts
Soak the seed for a time period. to check imbibition,imbibed
Soak the seed for a time period. unable to remove hard hairy seed coat,imbibed
Soak the seed for a time period. unknown duration,imbibed
Soak the seed for a time period. Unknown duration,imbibed
Soak the seed for a time period. Used boiled water cooled 15 sec,imbibed_cooled_boiling
Soak the seed for a time period. used boiled water cooled for 15 sec,imbibed_cooled_boiling
Soak the seed for a time period. Used boiled water that had been cooled,imbibed_cooled_boiling
Soak the seed for a time period. used cooled boiled water,imbibed_cooled_boiling
Soak the seed for a time period. water,imbibed
Soak the seed for a time period. water boiled and cooled,imbibed_cooled_boiling
Soak the seed for a time period. water boiled before cooling,imbibed_cooled_boiling
Wash the seed. rinse 4x,rinse
Wash the seed. Rinse 4x,rinse
Wash the seed. rinsed 4x,rinse
Wash the seed. soaked in water 15 min to wash off any salt,imbibed_remove_salt
Wash the seed. Soaked seeds in water 15 mins to wash off any salt,imbibed_remove_salt
