species_name,Hmax(m),WD,SLA,minseedlength,maxseedlength,fruit size(min).mm2,fruit size(max).mm2,Fruit_Type_2,dispersalmode,dispersal2,Location.n,Rainforest.Type,sla.mean,sla.mean.site,sla.mean.multisite,sla.sd,individual.n,leaf.n,SLA_collection_Location Name,SLA_collection_Location Name_to_match,SLA_collection_Location.n,SLA_collection_QuadratName,SLA_collection_Latitude,SLA_collection_Longitude,SLA_collection_Additional Notes,SLA_no_site,wood_density_unique,plant_height_unique,seed_length_min_unique,seed_length_max_unique
Baloghia inophylla,24,0.62,7.32,7,10,120,340,Capsule_N,AVm,Flying,2,WSTRf,7.319783929,7.319783929,NA,0.616638802,4,12,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Brachychiton acerifolius,45,0.34,15.2,80,120,4800,12000,Follicle_R,AVf,Flying,2,WSTRf,15.20269031,15.20269031,NA,3.494167296,5,12,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,80,120
Cinnamomum oliveri,25,0.46,9.09,12,14,120,252,Drupe,AVm,Flying,2,WSTRf,9.087197954,9.087197954,NA,0.996027944,2,6,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Cryptocarya erythroxylon,45,0.62,11.48,7,8,80,143,Berry,AVf,Flying,2,WSTRf,11.47782082,11.47782082,NA,1.146792926,3,9,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots",NA,NA,NA,7,8
Diospyros pentamera,20,0.57,8.26,7,10,120,240,Berry,AVm,Flying,2,WSTRf,8.263723959,8.263723959,NA,NA,1,3,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots",NA,NA,NA,NA,NA
Duboisia myoporoides,24,0.38,15.99,20,20,2500,6400,Berry,AVm,Flying,2,WSTRf,15.98619648,15.98619648,NA,1.861316576,2,6,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots",NA,NA,NA,20,20
Dysoxylum fraserianum,45,0.62,NA,7,7,400,1600,Capsule_R,AVm,Flying,2,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum rufum,30,0.53,17.83,8,8,360,1600,Capsule_R,AVm,Flying,2,WSTRf,17.83499345,17.83499345,NA,5.419284477,2,4,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots",NA,0.53,NA,NA,NA
Emmenosperma alphitoniodes,35,0.69,11.62,3,6,16,121,Capsule_N,AVm,Flying,2,WSTRf,11.62405223,11.62405223,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.69,35,3,6
Melicope micrococca,35,0.53,10.01,NA,NA,60,60,Capsule_R,AVf,Flying,2,WSTRf,10.00923694,10.00923694,NA,3.082660835,4,12,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.53,NA,NA,NA
Neolitsia australiensis,30,0.58,10.39,5,6,280,280,Drupe,AVf,Flying,2,WSTRf,10.38519373,10.38519373,NA,0.737090855,7,21,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.58,30,5,6
Polyosma cunninghamii,25,0.62,11.44,NA,NA,225,400,Berry,AVf,Flying,2,WSTRf,11.43599081,11.43599081,NA,0.976002292,6,18,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,NA,NA,NA,NA,NA,NA
Quintinia verdonii,22,0.45,NA,NA,NA,1,4,Capsule_N,P,Passive,2,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium ingens,45,0.47,NA,NA,NA,625,1600,Berry,AVf,Flying,2,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA
Acacia maidenii,20,0.62,6.02,5,5,100,900,Pod_R,AVm,Flying,3,STDRf,6.018246633,6.018246633,NA,0.532316996,3,9,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Alectryon connatus,20,NA,9.82,4,5,64,240,Capsule_R,AVm,Flying,3,STDRf,9.815183371,9.815183371,NA,0.060911452,2,4,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Alectryon subdentatus,12,NA,12.76,NA,NA,169,225,Capsule_R,AVm,Flying,3,STDRf,12.76047609,12.76047609,NA,NA,1,2,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Alphitonia excelsa,20,0.56,19.95,7,7,25,100,Capsule_R,AVm,Flying,3,STDRf,19.9491074,19.9491074,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Alyxia ruscifolia,5,NA,6.85,8,13,30,300,Drupe,AVm,Flying,3,STDRf,6.852294363,6.852294363,NA,1.784495916,3,9,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Araucaria bidwilli,50,0.44,6.95,NA,50,60000,60000,Cone,AVm,Flying,3,STDRf,6.954309346,6.954309346,NA,1.857892309,5,15,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.44,50,NA,50
Brachychiton discolor,35,0.26,13.1,9,10,1200,10000,Follicle_R,AVf,Flying,3,STDRf,13.09738172,13.09738172,NA,7.482702652,2,5,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.26,NA,NA,NA
Bridiella leichhardtii,15,0.61,6.14,5,5,9,49,Berry,AVm,Flying,3,STDRf,6.136991576,6.136991576,NA,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.61,15,5,5
Capparis arborea,10,0.7,7.93,7,10,400,2500,Berry,AVm,Flying,3,STDRf,7.926260451,7.926260451,NA,1.620957713,7,21,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Cryptocarya triplonervis.var.pubens,30,0.65,11.39,8,8,70,70,Berry,AVm,Flying,3,STDRf,11.39271358,11.39271358,NA,1.29503776,4,11,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.65,30,8,8
Elaeocarpus kirtonii,45,0.58,9.42,NA,NA,110,165,Drupe,AVm,Flying,3,STDRf,9.423923255,9.423923255,NA,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Elaeodendron australe,12,0.73,9.23,NA,NA,90,375,Drupe,AVf,Flying,3,STDRf,9.228352391,9.228352391,NA,0.320696919,3,9,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,12,NA,NA
Elattostachys xylocarpa,25,0.7,10.98,6,8,225,440,Capsule_R,AVm,Flying,3,STDRf,10.9805381,10.9805381,NA,0.445291301,2,6,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.7,NA,NA,NA
Geijera salicifolia,35,0.78,12.68,5,5,25,36,Follicle_N,AVm,Flying,3,STDRf,12.67832542,12.67832542,NA,5.629083604,2,6,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,5
Guioa semiglauca,40,0.66,10.06,6,6,60,130,Capsule_R,AVmR,Flying,3,STDRf,10.05781159,NA,10.05781159,1.928917254,31,79,BunyaMtNP & MairyCairncross,BunyaMtNP,34,B & M,-26.886047,151.605447,Most leaf samples from location 3,NA,NA,NA,NA,NA
Hodgkinsonia ovatiflora,35,0.63,11.91,NA,NA,25,49,Drupe,AVm,Flying,3,STDRf,11.90558694,11.90558694,NA,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.63,NA,NA,NA
Jagera pseudorhus,15,0.63,NA,7,8,168,360,Capsule_R,AVm,Flying,3,STDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,15,7,8
Notolea longifolia,9,0.87,5.06,6,12,64,192,Drupe,AVm,Flying,3,STDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06,0.87,9,6,12
Psydrax odorata,15,0.87,24.12,5,5,25,36,Drupe,AVf,Flying,3,STDRf,24.12015944,24.12015944,NA,NA,1,2,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,15,5,5
Solanum corifolum,1.5,0.42,12.79,3,3,100,225,Berry,AVm,Flying,3,STDRf,12.79226752,12.79226752,NA,NA,1,1,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,0.42,1.5,3,3
Streblus brunonianus,30,0.65,15.22,4,4,36,121,Berry,AVm,Flying,3,STDRf,15.2170433,15.2170433,NA,1.622856077,7,21,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Symplocos thwaitesii,8,0.54,7.36,NA,NA,20,98,Drupe,AVf,Flying,3,STDRf,7.359823549,7.359823549,NA,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Anthocarapa nitidula,30,0.64,11.93,18,20,255,899,Capsule_R,AVm,Flying,4,WSTRf,11.92879674,11.92879674,NA,0.703927025,2,4,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Aphananthe philippinensis,35,0.59,10.33038361,5,7,36,96,Drupe,AVm,Flying,4,WSTRf,10.33038361,10.33038361,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Arytera distylis,20,0.63,12.83,9,9,81,169,Capsule_R,AVm,Flying,4,WSTRf,12.8305294,12.8305294,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Castanospermum australe,35,0.62,13.1,30,50,3600,15000,Pod_N,AVm,Flying,4,WSTRf,13.09597317,13.09597317,NA,2.17241982,58,64,Curtain FigNP & Quinkin,Curtain FigNP,5,CF & Q,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Drypetes deplanchei,25,0.72,8.19,8,20,80,220,Drupe,AVm,Flying,4,WSTRf,8.187272303,8.187272303,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.72,NA,NA,NA
Endiandra compressa,20,0.8,NA,33,52,1755,4260,Drupe,C,Non.flying,4,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endiandra virens,10,0.62,14.4,30,40,7000,7000,Drupe,R,Non.flying,4,WSTRf,14.39504196,14.39504196,NA,4.588002795,2,4,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.62,NA,NA,NA
Euroschinis falcatus.var.falcatus,30,0.41,12.48,NA,NA,49,81,Drupe,AVm,Flying,4,WSTRf,12.48392429,12.48392429,NA,NA,1,1,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.41,30,NA,NA
Ficus coronata,20,0.4,18.67,NA,NA,300,600,Fig,AVm,Flying,4,WSTRf,18.66688111,18.66688111,NA,6.306951294,3,9,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Glochidion ferdinandi,35,0.6,16.43,5,5,60,160,Capsule_R,AVm,Flying,4,WSTRf,16.43100795,16.43100795,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Gossia bidwilli,25,0.68,9.83,NA,NA,20,130,Berry,AVf,Flying,4,WSTRf,9.833148115,9.833148115,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.68,25,NA,NA
Hedraianthera porphyropetala,6,0.69,11.92,8,12,150,1200,Capsule_R,AVf,Flying,4,WSTRf,11.91839322,11.91839322,NA,0.990419277,2,6,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.69,NA,NA,NA
Ligustrum lucidum,15,0.45,14.98,7,7,56,80,Drupe,AVm,Flying,4,WSTRf,14.98215135,14.98215135,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.45,15,NA,NA
Litsea leefeana,30,0.42,11.13,10,19,120,345,Drupe,AVm,Flying,4,WSTRf,11.13269816,NA,11.13269816,3.280322772,5,15,MairyCairncross & CurtainFigNP & WooroonoranNP,Curtain FigNP,456,M & CF & W,-17.283918,145.57121,Most leaf samples from location 5  & 6,NA,NA,NA,NA,NA
Lophostemon confertus,40,0.69,12.48,2,3,64,150,Capsule_N,AVm,Flying,4,WSTRf,12.48172567,12.48172567,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Mallotus phillipensis,25,0.62,10.68,3,5,20,96,Capsule_N,AVm,Flying,4,WSTRf,10.678441,10.678441,NA,3.360712002,2,5,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.62,25,3,5
Maytenus disperma,15,0.77,NA,6,6,30,78,Capsule_R,AVf,Flying,4,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA
