Species,CGO,Reference
Acacia saligna,NC,Acacia saligna (Labill.) H.L.Wendl.; B.R. Maslin 10218 PERTH 08301689
Acacia scirpifolia,NC,Acacia scirpifolia Meisn.; R. Davis 9982 PERTH 05921341
Acacia sessilis,L,Acacia sessilis Benth.; G.J. Keighery 5181 PERTH 00138770
Acacia spathulifolia,NC,Herath (2008)
Acacia stenoptera,L,Acacia stenoptera Benth.; G.J. & B.J. Keighery 1231 PERTH 08066345; R. Davis 6955 PERTH 05135524
Cristonia biloba,HR,Cristonia biloba (Benth.) J.H.Ross; K.R. Thiele 3742 PERTH 08333602; Thompson (2010)
Daviesia angulata,L,Daviesia angulata Benth.; M.G. Allen 1018 PERTH 04619714.
Daviesia chapmanii,L,Daviesia chapmanii Crisp; E.A. Griffin 1822 PERTH 01296981; Crisp & Cook (2003)
Daviesia daphnoides,NC,Daviesia daphnoides Meisn.; R. Davis 3327 PERTH 04906659; R. Davis 9757 PERTH 06005772
Daviesia decurrens,L,Daviesia decurrens Meisn.; N. Burrows MC83 PERTH 07104278; Crisp & Cook (2003)
Daviesia divaricata,L,Field collection 170919/19
Daviesia epiphyllum,L,Daviesia epiphyllum Meisn.; R. Davis 9719 PERTH 05818427
Daviesia incrassata,L,Daviesia incrassata Sm.; M. Hislop 4752 PERTH 09169784
Daviesia nudiflora,L,Crisp & Cook (2003)
Daviesia oxyclada,L,Daviesia oxyclada Crisp; E.A. Griffin 1729 PERTH 02780224
Daviesia pedunculata,NC,Field collection 021020/12
Daviesia podophylla,L,Field collection 180919/26; Crisp & Cook (2003)
Daviesia triflora,L,Field collection 180919/07
Gastrolobium oxylobioides,L,Gastrolobium oxylobioides Benth.; A.J. Lin 62 PERTH 06603467; D'Agui (2017)
Gastrolobium plicatum,L,Field collection LM180919/30
Gastrolobium polystachyum,L,Gastrolobium polystachyum Meisn.; R. Davis 10007 PERTH 05884241; A.J. Lin 64 PERTH 06603483; D'Agui (2017)
Gastrolobium spinosum,NC,Gastrolobium spinosum Benth.; A. McGilvray 4223 PERTH 07189176; R. Davis 5044 PERTH 05024633; Pate et al. (1990)
Gompholobium confertum,NC,Gompholobium confertum (DC.) Crisp; R. Davis 4782 PERTH 04944194; D. Rayner & P. Schmucker M 1007-23 PERTH 07822715; D'Agui (2017)
Gompholobium knightianum,NC,Gompholobium knightianum Lindl.; R.J. Cranfield & B.G. Ward FC1081 PERTH 07353456; R. Davis 6293 PERTH 05156734; Bell et al. (1995)
Gompholobium preissii,NC,Gompholobium preissii Meisn.; B.G. Ward & R.J. Cranfield RJC18576 PERTH 05652375; D’Agui (2017)
Gompholobium shuttleworthii,L,Gompholobium shuttleworthii Meisn.; M.G. Allen 1722 PERTH 04650689
Gompholobium tomentosum,NC,Gompholobium tomentosum Labill.; G. Byrne 652 PERTH 07425392; R. Davis 6222 PERTH 05106494; Bell et al. (1995)
Hovea stricta,L,Hovea stricta Meisn.; G.J. Keighery & J.J Alford 976 PERTH 02804522
Isotropis cuneifolia subsp. cuneifolia,HR,Isotropis cuneifolia (Sm.) Heynh. subsp. cuneifolia; G.J. & B.J. Keighery 2474 PERTH 08930589; Pate et al. (1990).
Jacksonia angulata,L,Jacksonia angulata Benth.; J. Drummond 143 MEL250927
Jacksonia condensata,NC,Jacksonia condensata Crisp & J.R.Wheeler; R. Davis 4601 PERTH 04938534; D’Agui (2017)
Jacksonia floribunda,NC,Field collection LM180919/32; Jacksonia floribunda Endl.; J.A. Chappill 5523 PERTH 07620950; E.A. Griffin 4696 PERTH 01944169
Jacksonia hakeoides,NC,Field collection LM190919/17
Jacksonia lehmannii,WR,Jacksonia lehmannii Meisn.; G.J. & B.J. Keighery 1097 PERTH 08032491
Jacksonia nutans,NC,Jacksonia nutans Chappill; J. Brooker & B. Moore M907-001 PERTH 07822936
Jacksonia restioides,L,Jacksonia restioides Meisn.; J.A.L. Preiss 1079 P00713935
Labichea punctata,L,Labichea punctata Benth.; M. Hislop 2776 PERTH 06316824
Mirbelia floribunda,NC,"Mirbelia floribunda Benth.; D. Rayner, S. Clune & L. Kelly RG807-34 PERTH 07845391"
Mirbelia trichocalyx,NC,Mirbelia trichocalyx Domin; L.A. Phillips 15 PERTH 07528957
Sphaerolobium pulchellum,NC,Sphaerolobium pulchellum Meisn.; J. Drummond 19 K000846515
Dampiera carinata,HR,"Dampiera carinata Benth., J. Drummond 197 BM001019779; G.J & B.J. Keighery 2635 PERTH 09028439"
Dampiera lavandulacea,HR,Dampiera lavandulacea Lindl.; G.J & B.J. Keighery 1786 PERTH 08908192
Dampiera linearis,HR,Dampiera linearis R.Br.; R. Brown s.n. P00698837
Dampiera oligophylla,HR,Dampiera oligophylla Benth.; J. Coleby-Williams 165 PERTH 02595893
Dampiera spicigera,HR,Dampiera spicigera Benth.; J. Drummond 154 K000216475
Dampiera teres,HR,"Dampiera teres Lindl.; R.K. Brummitt, A.S. George & E.G.H. Oliver RKB21208 PERTH 06961975"
Goodenia coerulea,NC,Goodenia coerulea R.Br.; G.F. Craig 8655-1 PERTH 08950903
Goodenia trichophylla,HR,Goodenia trichophylla de Vriese ex Benth.; J. Drummond 158 MEL24052
Lechenaultia biloba,WR,Lechenaultia biloba Lindl.; G.J & B.J. Keighery 1410 PERTH 08503761
Lechenaultia hirsuta,NC,Lechenaultia hirsuta F.Muell.; R. Davis 10077 PERTH 05873932
Lechenaultia linarioides,WR,Lechenaultia linarioides DC.; G.J. Keighery 17702 PERTH
Lechenaultia stenosepala,WR,Lechenaultia stenosepala E.Pritz.; G.J. Keighery 11967 PERTH
Scaevola anchusifolia,HR,Field collection LM180919/04
Scaevola canescens,HR,Scaevola canescens Benth.; E.D. Kabay 241 PERTH 03706885
Scaevola glandulifera,NC,Scaevola glandulifera DC.; R. Davis 4600 PERTH 04938526
Scaevola lanceolata,NC,Scaevola lanceolata Benth.; A. Rowland AR 10 PERTH 06844901; A.R. Annells & T.D Macfarlane ARA6005 PERTH 04949587
Scaevola phlebopetala,NC,Scaevola phlebopetala F.Muell.; K.R Thiele 4023 PERTH 08429766
Scaevola repens,NC,Scaevola repens de Vriese; A.S. George 6779 PERTH 02736985
Scaevola sericophylla,NC,Scaevola sericophylla Benth.; H. Clarke 15 PERTH 07152140
Verreauxia reinwardtii,NC,Goodenia reinwardtii (de Vriese) K.A.Sheph.; E.A. Griffin 520 PERTH 02767260; M.E. Phillips WA/62921 PERTH 02767481
Anigozanthos humilis,HR,Anigozanthos humilis Lindl.; G.J. & B.J. Keighery 705 PERTH 07325843
Anigozanthos manglesii,HR,Anigozanthos manglesii D.Don; G.J. & B.J. Keigher 2330 PERTH 09028080
Blancoa canescens,HR,Blancoa canescens Lindl.; J.W. Horn 2296 PERTH 05640938
Conostylis aculeata subsp. breviflora,S,Conostylis aculeata subsp. breviflora Hopper; S.D. Hopper 222 PERTH 01222562
Conostylis androstemma,HR,Conostylis androstemma F.Muell.; J.W. Green 1467 PERTH01222570
Conostylis aurea,HR,Field collection LM180919/28
Conostylis candicans,HR,Conostylis candicans Endl.; G.J. Keighery 13790 PERTH 04550528
Conostylis canteriata,HR,Field collection LM300920/04
Conostylis crassinerva,HR,Conostylis crassinerva J.W.Green; P. Courtney 218 PERTH 08259631
Conostylis dielsii,HR,Conostylis dielsii W.Fitzg.; N.H. Speck PERTH01257412
Conostylis hiemalis,HR,Conostylis hiemalis Hopper; S.D. Hopper 292 PERTH01184024
Conostylis neocymosa,HR,Field collection LM170919/04
Conostylis prolifera,S,Field collection LM180919/17
Conostylis resinosa,HR,Conostylis resinosa Hopper; S.D. Hopper 318 PERTH01223143
Conostylis teretifolia,HR,Field collection LM021020/03; Conostylis teretifolia J.W. Green; E. Blackall 3562 PERTH01223038
Conostylis teretiuscula,HR,Conostylis teretiuscula F.Muell.; A.F. Oldfield MEL248091
Conostylis tomentosa,HR,"Field collection LM300920/12; Hopper, S.D. Hopper 5184 AD98733008"
Haemodorum discolor,T,Haemodorum discolor T.Macfarlane; G.J. & B.J. Keighery 1497 PERTH 08504075
Haemodorum loratum,T,Haemodorum loratum T.Macfarlane; T.D. Macfarlane 1624 PERTH 08618445
Haemodorum simulans,T,Haemodorum simulans F.Muell.; S.D. Hopper 8425 PERTH 09277285
Haemodorum spicatum,T,Haemodorum spicatum R.Br.; E. Mattiske BS32 PERTH 08593000
Haemodorum venosum,T,Haemodorum venosum T.Macfarlane; B.J. Keighery 329B PERTH 01780816
Glischrocaryon aureum,HR,Glischrocaryon aureum (Lindl.) Orchard; K.F. Kenneally & D.J. Edinger K 12601/E 3800 PERTH 06792855
Arnocrinum preissii,HR,Arnocrinum preissii Lehm.; J.R. Drummond 778 P00852497; G.J. & B.J. Keighery 1812 PERTH 08491291
Corynotheca micrantha,HR,Corynotheca micrantha (Lindl.) Druce; R. Simkin RS2320 PERTH 09206965
Dianella revoluta,HR,Dianella revoluta R.Br.; G.J Keighery 17763 PERTH 08882576
Johnsonia pubescens subsp. pubescens,HR,Field collection LM300920/03
Stawellia dimorphantha,HR,Stawellia dimorphantha F.Muell.; J.R. Drummond s.n. BM000990680
Tricoryne elatior,HR,Tricoryne elatior R.Br.; G.J. & B.J. Keighery 2281 PERTH 09203125
Tricoryne humilis,T,Tricoryne humilis Endl.; R. Davis 6904 PERTH 05134951
Tricoryne sp. Eneabba (E.A. Griffin 1200),HR,Field collection LM021020/19
Tricoryne tenella,HR,Tricoryne tenella R.Br.; G.J. & B.J. Keighery 2280 PERTH 09201300
Patersonia occidentalis,T,Bell et al. (1995)
Hemiandra rubriflora,NC,Hemiandra rubriflora O.H.Sarg.; R. Davis 3371 PERTH 04940075
Hemiandra sp. Eneabba (H. Demarz 3687),NC,Inferred from similar Hemiandra rubriflora.
Hemiphora bartlingii,HR,Hemiphora bartlingii (Lehm.) B.J.Conn & Henwood; E.A. Griffin 516 PERTH 03737349
Lachnostachys eriobotrya,L,Field collection LM180919/24
Microcorys sp. Coomallo (L. Haegi 2677),HR,D’Agui (2017)
Pityrodia viscida,HR,Pityrodia viscida W.Fitzg.; M. Hislop & A. Tinker MH 2496 PERTH 06398960
Cassytha glabella,F,Field collection LM180919/36
Orianthera spermacocea,HR,Orianthera spermacocea (F.Muell.) C.S.P.Foster & B.J.Conn; G.J. Keighery & B.J. Keighery 1785 PERTH 08926492
Amyema miquelii,NC,Liddy (1983)
Nuytsia floribunda,WR,Nuytsia floribunda (Labill.) G.Don; R. Davis 439 PERTH 04968204
Macarthuria australis,HR,Macarthuria australis Hügel ex Endl.; B.J. Lepschi & M.H. Brims 1943 PERTH
Guichenotia ledifolia,NC,"Guichenotia ledifolia Gay; C.F. Wilkins, J.A. Wedge CW2430 PERTH 08328382"
Guichenotia macrantha,NC,Guichenotia macrantha Turcz.; R. Davis 3632 PERTH 04963458; B.R. Lullfitz & N. Moore BRL110 PERTH 08150605
Guichenotia micrantha,NC,Guichenotia micrantha (Steetz) Benth.; C.F. Wilkins & K.A. Shepherd CW2507 PERTH 08899738
Guichenotia sarotes,NC,Guichenotia sarotes Benth.; J. Drummond 59 MEL1620987
Lasiopetalum drummondii,L,Field collection LM180919/50
Babingtonia camphorosmae,L,Babingtonia camphorosmae (Endl.) Lindl.; P.A Jurjevich 2169 PERTH 04823370
Babingtonia grandiflora,NC,D’Agui (2017)
Beaufortia bracteosa,NC,D’Agui (2017)
Beaufortia elegans,NC,D’Agui (2017)
Calothamnus glaber,L,D’Agui (2017)
Calothamnus hirsutus,L,Field collection LM300920/08
Calothamnus longissimus,L,"Calothamnus longissimus F.Muell.; A.S. George, R.K. Brummitt & E.G.H Oliver ASG17611 PERTH 06996736"
Calothamnus quadrifidus,L,Field collection LM300920/07
Calothamnus sanguineus,L,Calothamnus sanguineus Labill.; R. Davis RD 1369 PERTH 04473175
Calothamnus torulosus,L,Field collection LM180919/29
Calytrix chrysantha,NC,F. Nge (pers comm. 2021)
Calytrix depressa,NC,F. Nge (pers comm. 2021)
Calytrix eneabbensis,NC,F. Nge (pers comm. 2021)
Calytrix flavescens,NC,F. Nge (pers comm. 2021)
Calytrix fraseri,NC,F. Nge (pers comm. 2021)
Calytrix oldfieldii,NC,F. Nge (pers comm. 2021)
Calytrix sapphirina,L,Wilson et al. (2014)
Calytrix strigosa,NC,F. Nge (pers comm. 2021)
Calytrix superba,NC,F. Nge (pers comm. 2021)
Chamelaucium uncinatum,NC,Chamelaucium uncinatum Schauer; G.J. & B.J. Keighery 1860 PERTH 08925313
Conothamnus trinervis,L,Field collection LM011020/05; D’Agui (2017)
Corymbia calophylla,L,Centre for Plant Biodiversity Research & Slee (2006)
Darwinia neildiana,L,Field collection LM180919/16
Darwinia pauciflora,NC,Darwinia pauciflora Benth.; K.R Thiele 4770 PERTH 08603871
Darwinia sanguinea,NC,D’Agui (2017)
Darwinia speciosa,L,Field collection LM011020/04
Eremaea beaufortioides,L,Eremaea beaufortioides var. microphylla Hnatiuk; R.J. Hnatiuk 810017 PERTH 04614550
Eremaea ectadioclada,L,Field collection LM300920/10
Eremaea pauciflora,L,Eremaea pauciflora (Endl.) Druce; R. Davis 2780 PERTH 04650204; R.J. Hnatiuk 800198 PERTH 03908461; D’Agui (2017)
Eremaea violacea,L,Field collection LM170919/02
Eremaea x phoenicea,NC,Western Australian Herbarium (1998–). Florabase profile 13956 (Accessed 5 Oct 2021).
Eucalyptus accedens,L,Eucalyptus accedens W.Fitzg.; R. Hnatiuk 780082 PERTH 01260049.
Eucalyptus gittinsii subsp. illucida,L,Centre for Plant Biodiversity Research & Slee (2006)
Eucalyptus macrocarpa subsp. elachantha,L,Eucalyptus macrocarpa subsp. elachantha Brooker & Hopper; S.D. Hopper 1676 PERTH 01389645
Eucalyptus pleurocarpa,L,Western Australian Herbarium (1998–). Florabase profile 16180 (Accessed 13 Oct 2021).
Eucalyptus todtiana,L,Western Australian Herbarium (1998–). Florabase profile 5790 (Accessed 13 Oct 2021).
Hypocalymma angustifolium,NC,Hypocalymma angustifolium (Endl.) Schauer; C. Danese & D. Rayner B1006-27 PERTH 07483023
Hypocalymma gardneri,WR,Field collection LM180919/34
