genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f
Acacia,Acacia sclerophylla," low, muchbranched, spreading shrubs 1-2 m high, often much wider than high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia aneura," woody shrub or small tree to 10 m tall, bark dark grey, rough or flaky, stems often resinous; ",,,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia araneosa," small, erect, wispy trees 3-8 m high, cobwebby in appearance; ",,,,,tree,trees,,,,,erect,erect,woody,
Acacia,Acacia argyrophylla," tall, erect, compact, spreading shrubs 2-3 m high often the same or more across. ",,,,,shrub,shrubs,,,,,erect spreading compact,erect spreading compact,woody,
Acacia,Acacia brachybotrya," compact, dense, rounded, spreading, grey-green shrubs 1-3 m high and often the same or more across; ",,,,,shrub,shrubs,,,,,spreading dense compact,spreading dense compact,woody,
Acacia,Acacia ayersiana, woody shrub or tree 2-10 m tall; ,,,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia baileyana," shrubs or small trees to 6 m high with a silvery-blue foliage, ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia barattensis," erect, somewhat diffuse, spreading, viscid, aromatic shrubs 2-3 m high. ",,,,,shrub,shrubs,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia basedowii," small, divaricate spreading shrubs 0.5-1 m high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia beckleri," straggly or erect, compact, bushy shrubs 1-3 m high, often with a spread greater than its height, branching near ground level; ",,,,,shrub,shrubs,,,,,erect compact bushy,erect compact bushy,woody,
Acacia,Acacia cibaria," woody shrub or small tree to 6 m high, bark grey, finely fissured; ",,,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia burkittii," tall, glabrous shrubs 1-4 m high, ",,,,,shrub,shrubs,,,,,,,woody,
Acacia,Acacia calamifolia," tall, erect, glabrous, rounded, bushy shrubs 2-4 m high; ",,,,,shrub,shrubs,,,,,erect bushy,erect bushy,woody,
Acacia,Acacia microcarpa," small, diffuse, rounded, bushy shrubs 1-3 m high with spreading branches often the same as height or more across, ",,,,,shrub,shrubs,,,,,spreading bushy,spreading bushy,woody,
Acacia,Acacia calcicola," rounded shrubs or small, straggly trees 3-5 m high, often as many as six main stems branching from the base and developing a spreading, bushy canopy, often wider than high; ",,,,,shrub tree,shrubs trees,,,,,spreading bushy,spreading bushy,woody,
Acacia,Acacia coriacea, tall shrubs or small  trees to 7 m high; ,,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia cambagei," small or medium sized, spreading trees 5-8m high, often dividing into a few main stems at ground level or with a single trunk and a bushy canopy; ",,,,,tree,trees,,,,,spreading bushy,spreading bushy,woody,
Acacia,Acacia carnei," tall, rigid, dark green, straggly, spreading, prickly (due to the pungentphyllodes) shrubs or small trees with a single main trunk or branching into a few main stems at ground level and developing a dense crown with intricate branches; ",,,,,shrub tree,shrubs trees,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia colletioides," dense, muchbranched, rigid, prickly, almost glabrous, rounded, spreading shrubs 2-4 m high, often spreading more than its height; ",,,,,shrub,shrubs,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia nyssophylla," rigid, prickly, rounded, intricately branched shrubs 2-3 m high and often spreading the same or more across; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia confluens," medium-sized, glabrous shrubs 2-3 m high, usually dividing into a number of obliquely ascending stems from near the base and forming a quite dense umbr spreading canopy; ",,,,,shrub,shrubs,,,,,decumbent spreading dense,ascending spreading dense,woody,
Acacia,Acacia cretacea," spindly often single stemmed shrub or small tree 3.5-4m tall, crown open, straggly, rarely bushy, branchlets terete to prominently angular towards their apices, glabrous conspicuously pruinose. ",,,,,shrub tree,shrub tree,,,,,bushy spindly open,bushy spindly open,woody,
Acacia,Acacia cupularis," rounded shrubs to 2 m x 2 m, glabrous, older stems grey smooth branchlets mostly dark red-brown often slightly pruinose. ",,,,,shrub,shrubs,,,,,,,woody,
Acacia,Acacia ligulata," bushy, spreading, more or less rounded, compact shrubs 1-5 m high; ",,,,,shrub,shrubs,,,,,spreading compact bushy,spreading compact bushy,woody,
Acacia,Acacia ligulata," descriptions and illustrations of the life cycles of the cossid moths, whose larvae provide witchetty grubs, is given by tindale (1953). ",,,,,,,,,,,,,,
Acacia,Acacia salicina, tall shrubs or small trees 3-6 m high with distinctive long drooping branchlets and pendulous blue-green phyllodes; ,,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia saligna," dense, bushy shrubs or small trees 3-8 m high; ",,,,,shrub tree,shrubs trees,,,,,dense bushy,dense bushy,woody,
Acacia,Acacia cyclops," dense, bushy, rounded, glabrous, spreading shrubs 2-4 m high, branching at or just above ground level often with foliage almost to the ground, obscuring the stems; ",,,,,shrub,shrubs,,,,,spreading dense bushy,spreading dense bushy,woody,
Acacia,Acacia cyperophylla," tall shrubs or small shapely trees to 8 m high, branching near ground level or up to one metre above; ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia dealbata," medium sized trees to 12 m high, in eastern states it may obtain a height up to 30 m, canopy rounded and glaucous; ",,,,,tree,trees,,,,,,,woody,
Acacia,Acacia decurrens," medium sized trees 10-15 m high, canopy conical or rounded, dark green; ",,,,,tree,trees,,,,,,,woody,
Acacia,Acacia dictyophleba," erect, compact, spreading, glabrous, resinous shrubs 1-4 m high, ",,,,,shrub,shrubs,,,,,erect spreading compact,erect spreading compact,woody,
Acacia,Acacia dodonaeifolia," tall, viscid shrubs or small trees 2-6 m high. ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia paradoxa," dense, bushy, spreading, prickly shrubs to 3 m high; ",,,,,shrub,shrubs,,,,,spreading dense bushy,spreading dense bushy,woody,
Acacia,Acacia cowleana," slender shrub or small tree to 5 m, ",,,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia enterocarpa," small, dense, much branched, spreading, prickly shrubs to 1.5 m high and usually spreading the same or more across; ",,,,,shrub,shrubs,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia erinacea," small, rigid, spreading, intricate shrubs 0.5-2 m high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia estrophiolata," erect, graceful trees 8-15 m high with a long bare trunk and a spreading light green crown; ",,,,,tree,trees,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia farinosa," small, muchbranched, spreading shrubs 1-1.75 m high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia genistifolia, a spreading glabrous shrub 1-2 m tall. ,,,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia georginae," a stocky, gnarled or spreading tree 2-7 m high with a dense crown. ",,,,,tree,tree,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia gilesiana," erect, spreading, dense, glaucous shrubs 2-3 m high; ",,,,,shrub,shrubs,,,,,erect spreading dense,erect spreading dense,woody,
Acacia,Acacia gillii," slender, straggly, wiry, open shrubs or small trees 2-4 m high with pendulous branches, ",,,,,shrub tree,shrubs trees,,,,,open,open,woody,
Acacia,Acacia pycnantha," glabrous, medium-sized shrubs or small trees about 4-8 m high; ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia retinodes," tall, glabrous shrubs or small trees to 8 m high; ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia glandulicarpa," somewhat viscid, rather dense, rounded, spreading, much branched shrubs 1-2 m high with a dull olive-green foliage; ",,,,,shrub,shrubs,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia gracilifolia," slender, glabrous, resinous shrubs 1-2 m high with a short slender stem, ",,,,,shrub,shrubs,,,,,,,woody,
Acacia,Acacia gunnii," small, rigid, diffuse, prickly, sprawling or procumbent shrubs 20-80 cm high; ",,,,,shrub,shrubs,,,,,prostrate sprawling,procumbent sprawling,woody,
Acacia,Acacia hakeoides," tall, bushy, glabrous, spreading shrubs, 1-4 m high; ",,,,,shrub,shrubs,,,,,spreading bushy,spreading bushy,woody,
Acacia,Acacia halliana," bushy, spreading, domed or procumbent shrub to 2.5 m high and 4-5 m wide. ",,,,,shrub,shrub,,,,,prostrate spreading bushy,procumbent spreading bushy,woody,
Acacia,Acacia havilandii," bushy, rounded, glabrous shrubs 2-3 m high, occasionally treelike with a short trunk to 4 m high; ",,,,,shrub palmoid,shrubs treelike,,,,,bushy,bushy,woody,
Acacia,Acacia helmsiana," shrub to 2 x 3 m, branching from ground level branchlets slightly angled at extremities glabrous, resinous, brown, phyllode bases conspicuous on younger stems. ",,,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia hexaneura," a rigid, prickly roughly rounded shrub rarely over 1 m high, to 2 m wide. ",,,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia imbricata," dense, spreading, glabrous shrubs 1-2 m high; ",,,,,shrub,shrubs,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia lineata," bushy, spreading, green or greenish-yellow shrubs 0.5-1.75 m high and often the same or more across; ",,,,,shrub,shrubs,,,,,spreading bushy,spreading bushy,woody,
Acacia,Acacia jennerae, a shrub 2-3 m high. ,,,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia kempeana," tall, glabrous, spreading, dull grey-green shrubs 2-4 m high with several stems from the base; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia kempeana," descriptions and illustrations of the life cycles of the cossid moths, whose larvae provide witchetty grubs were given by tindale (1953). ",,,,,,,,,,,,,,
Acacia,Acacia leiophylla," erect or spreading shrubs 1-2.5 m high, either dense compact and single stemmed or spreading and  branched with a number of stems arising from near ground level; ",,,,,shrub,shrubs,,,,,erect spreading dense compact,erect spreading dense compact,woody,
Acacia,Acacia loderi," tall shrubs or small trees 3-7 m high, either a single or multi-stemmed with spreading umbrageous canopies, habit similar to that of a. papyrocarpa (sp.84); ",,,,,shrub tree,shrubs trees,,,,,spreading,spreading,woody,
Acacia,Acacia longifolia," tall erect, or low bushy, spreading shrubs, 3-7 m high; ",,,,,shrub,shrubs,,,,,erect spreading bushy,erect spreading bushy,woody,
Acacia,Acacia maitlandii," erect, rather open, straggly, glabrous resinous shrubs 1-3 m high often branching into several main stems from the base; ",,,,,shrub,shrubs,,,,,erect open,erect open,woody,
Acacia,Acacia mearnsii," small, spreading trees 7-10 m high, ",,,,,tree,trees,,,,,spreading,spreading,woody,
Acacia,Acacia melanoxylon," large, symmetrical trees 8-15 m high to 30 m in moist gullies in eastern states and tas., often with a distinct strong trunk before branching and forming a quite dense dull green canopy; ",,,,,tree,trees,,,,,dense,dense,woody,
Acacia,Acacia menzelii," erect, compact, rounded spreading, resinous shrubs l-2mhigh, branching near ground level into a number of ascending stems; ",,,,,shrub,shrubs,,,,,erect decumbent spreading compact,erect ascending spreading compact,woody,
Acacia,Acacia merrallii," small, rigid, spreading, procumbent shrubs 0.75-1.5 m high and usually wider than its height; ",,,,,shrub,shrubs,,,,,prostrate spreading,procumbent spreading,woody,
Acacia,Acacia minyura, woody shrub or small tree to 3 m high; ,,,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia mitchellii," low, diffuse, spreading-erect shrubs 0.5-2 m high; ",,,,,shrub,shrubs,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia montana," viscid, bushy, spreading shrubs, 1.5-3.5 m high, sometimes having a small treelike, rather open, habit with a short trunk; ",,,,,shrub palmoid,shrubs treelike,,,,,spreading bushy open,spreading bushy open,woody,
Acacia,Acacia murrayana," erect, bushy shrubs or small trees 2-5 m high, crown spreading, usually dividing into a few main stems near ground level; ",,,,,shrub tree,shrubs trees,,,,,erect spreading bushy,erect spreading bushy,woody,
Acacia,Acacia mutabilis," a prostrate or mounded shrub to 1 m tall, branchlets angular with a distinct rib descending from the base of each phyllode, ",,,,,shrub,shrub,,,,,prostrate,prostrate,woody,
Acacia,Acacia myrtifolia," erect, glabrous, bushy shrubs 1-2 m high; ",,,,,shrub,shrubs,,,,,erect bushy,erect bushy,woody,
Acacia,Acacia nematophylla, bushy shrubs to 2.5 m tall; ,,,,,shrub,shrubs,,,,,bushy,bushy,woody,
Acacia,Acacia notabilis," tall, glabrous, spreading shrubs 1-3 m high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia oswaldii," dense, rounded, spreading shrubs or small trees 2-6 m high with bushy umbrageous canopies, a straight trunk often for about 1 m above ground level before branching, or with several small stems from base; ",,,,,shrub tree,shrubs trees,,,,,spreading dense bushy,spreading dense bushy,woody,
Acacia,Acacia oxycedrus," prickly, rigid, straggling, spreading shrubs 2-4 m high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia pachyacra," erect, bushy or slender, glabrous shrubs 1-2 m high, branching into a number of ascending stems at ground level; ",,,,,shrub,shrubs,,,,,erect decumbent bushy,erect ascending bushy,woody,
Acacia,Acacia papyrocarpa," tall shrubs or small trees 3-7 m high, normally multi-stemmed and forming neat rounded, spreading, umbrageous canopies which often appear silvery-green with new growth; ",,,,,shrub tree,shrubs trees,,,,,spreading,spreading,woody,
Acacia,Acacia pickardii, tall shrubs or small tree 3-5 m high with a single main trunk or branching into a few main stems at or near ground level developing a dense and intricate mid-green crown; ,,,,,shrub tree,shrubs tree,,,,,dense,dense,woody,
Acacia,Acacia pinguifolia," dense, glabrous, spreading, light green shrubs 1-2 m high and often 2-3 m across with numerous, terete, ascending, ",,,,,shrub,shrubs,,,,,decumbent spreading dense,ascending spreading dense,woody,
Acacia,Acacia podalyriifolia," a bushy tree to 5 m, branchlets terete, hoary with dense, erect, ",,,,,tree,tree,,,,,erect dense bushy,erect dense bushy,woody,
Acacia,Acacia praemorsa," a shrub 1-2 (-3) m tall, erect, glabrous, ",,,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia prainii," erect, bushy, glabrous shrubs 1.5-2.5 m high, branching near ground level into a number of erect ascending stems; ",,,,,shrub,shrubs,,,,,erect decumbent bushy,erect ascending bushy,woody,
Acacia,Acacia pravifolia," small, erect, rigid, prickly, pubescent shrubs 0.5-2 m high. ",,,,,shrub,shrubs,,,,,erect,erect,woody,
Acacia,Acacia pruinocarpa," shrubs or trees to 10 m high, multi-stemmed or single trunks for about 1 m or more before branching into a few main stems and forming quite dense spreading canopies; ",,,,,shrub tree,shrubs trees,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia pulchella," a shrub to 1.5 m tall, branching freely; ",,,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia quornensis," erect, glaucous, spreading bushy shrubs 2-3 m high; ",,,,,shrub,shrubs,,,,,erect spreading bushy,erect spreading bushy,woody,
Acacia,Acacia ramulosa," erect, muchbranched, widely spreading, dull grey-green shrubs 2-6 m high and often the same or more across, branching into a number of slender stems terete, smooth, reddish-brown to grey; ",,,,,shrub,shrubs,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia rhetinocarpa," erect, compact, rounded, resinous, spreading shrubs 0.5-1.5 m high; ",,,,,shrub,shrubs,,,,,erect spreading compact,erect spreading compact,woody,
Acacia,Acacia rhigiophylla," rigid, prickly, spreading, intricately branched, dark green shrubs 2-3 m high and usually wider than high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia rhodophloia, rounded shrubs or small trees to 4 m tall and with a number of stems; ,,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia rigens," erect, spreading, muchbranched, glabrous or minutely hairy shrubs 2-3 m high, ",,,,,shrub,shrubs,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia rivalis," small, parachute-shaped trees or shrubs 3-4 m high with a dense domed canopy, ",,,,,shrub tree,shrubs trees,,,,,dense,dense,woody,
Acacia,Acacia rupicola," erect, glabrous, rigid, prickly, somewhat diffuse, viscid shrubs with a resinous odour, 1-2.5 m high; ",,,,,shrub,shrubs,,,,,erect,erect,woody,
Acacia,Acacia stowardii, erect shrub 2-3m tall to small tree. ,,,,,shrub tree,shrub tree,,,,,erect,erect,woody,
Acacia,Acacia spilleriana," bushy, compact, rounded, spreading, grey-green shrub 1-3 m tall, bark smooth; ",,,,,shrub,shrub,,,,,spreading compact bushy,spreading compact bushy,woody,
Acacia,Acacia spinescens," small, glabrous, erect, rigid, spreading intricate shrubs to 1 m high; ",,,,,shrub,shrubs,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia wattsiana," dense, bushy, rounded, spreading, glabrous shrubs 1-2 m high; ",,,,,shrub,shrubs,,,,,spreading dense bushy,spreading dense bushy,woody,
Acacia,Acacia stricta," tall, erect, dull green or slightly glaucous, glabrous and sometimes viscid shrubs, 2-4 m high; ",,,,,shrub,shrubs,,,,,erect,erect,woody,
Acacia,Acacia strongylophylla," erect, glabrous, prickly, straggly shrubs 1-3 m high; ",,,,,shrub,shrubs,,,,,erect,erect,woody,
Acacia,Acacia suaveolens," erect, dull, bluish-green, stiff, glabrous, sometimes spindly shrubs, 1-3 m high; ",,,,,shrub,shrubs,,,,,erect spindly,erect spindly,woody,
Acacia,Acacia olgana,  ,,,,,,,,,,,,,,
Acacia,Acacia symonii, tall shrubs or small trees 3-4 m high with a single trunk or several stems from ground level; ,,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia tarculensis," dense, distinctly glaucous, spreading, rounded or often rather flat topped shrubs 1-3 m high and often the same or more across; ",,,,,shrub,shrubs,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia tenuior, presumably a shrub; ,,,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia tenuissima, a slender erect shrub to 2.5 m high; ,,,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia tetragonophylla," tall, diffuse, straggly, prickly shrubs or small trees 2-5 m high, a short single trunk branching just above ground level or multi-stemmed; ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia trineura," dense, bushy, rounded, spreading, fragrant shrubs 2-5 m high or a small treelike habit with a short trunk; ",,,,,shrub palmoid,shrubs treelike,,,,,spreading dense bushy,spreading dense bushy,woody,
Acacia,Acacia triquetra, a spreading glabrous shrub to 1.5 m tall. ,,,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia validinervia," erect, small, glaucous shrubs 1-2 m high with a number of thin willowy stems; ",,,,,shrub,shrubs,,,,,erect,erect,woody,
Acacia,Acacia verniciflua," tall, slender, viscid shrubs or small trees 3-5 m high; ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia verticillata," rather polymorphic prickly, dull green, spreading-erect, spindly or bushy shrubs, 1-4 m high, ",,,,,shrub,shrubs,,,,,erect spreading bushy spindly,erect spreading bushy spindly,woody,
Acacia,Acacia victoriae," tall dense, thorny, much branched shrubs 2-5 m high; ",,,,,shrub,shrubs,,,,,dense,dense,woody,
Acacia,Acacia whibleyana," dense shrub 1.5-2.5 m tall, spreading 2.5-4 m diam. ",,,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia wilhelmiana," syn. bynoeana sens. benth., floweringaust. 2:337 (1864), atque auctt, cum subseq, non quoad benth. (1855). bynoeana benth. var latifolia  black, floweringaust. ed. 2, 2:418 (1948). calamifolia var wilhelmiana(muell.)benth. 2:339~(1864).dense compact, rounded spreading, viscid shrubs 1-3 m high; ",,,,,shrub,shrubs,,,,,spreading dense compact,spreading dense compact,woody,
Acacia,Acacia farnesiana," low, muchbranched, thorny shrubs 2-7 m high rarely growing into a small tree; ",,,,,shrub tree,shrubs tree,,,,,,,woody,
Acacia,Acacia nilotica," spreading tree to 10 m, ",,,,,tree,tree,,,,,spreading,spreading,woody,
Acaena,Acaena, perennial herbs with imparipinnate leaves and adnate stipules. ,perennial,perennial,,,herb,herbs,,,,,,,herbaceous,
Acaena,Acaena echinata,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena echinata subglabricalyx,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena agnipila tenuispica,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena agnipila aequispina,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena agnipila protenta,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena echinata robusta,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena echinata retrorsumpilosa,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena novae-zelandiae,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena agnipila,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena echinata tylacantha,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acaena,Acaena ovina,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acanthaceae,Acanthaceae," herbs or shrubs, ",,,,,herb shrub,herbs shrubs,,,,,,,woody herbaceous,
Acanthocladium,Acanthocladium, rigid spinescent shrub with matted white woolly vestiture; ,,,,,shrub,shrub,,,,,,,woody,
Acanthocladium,Acanthocladium dockeri, woolly-tomentose shrub with the ultimate branchlets ending in glabrous slender spines; ,,,,,shrub,shrub,,,,,,,woody,
Acanthus,Acanthus," shrubs , in introduced species the stem contracted and the leaves arranged in a basal rosette; ",,,,,shrub,shrubs,,,,,rosette,rosette,woody,
Acanthus,Acanthus mollis," perennial with leaves in basal rosettes, forming a clump circa 0.5 m high and circa 1 m diam.; ",perennial,perennial,,,shrub,inferred_from_genus,,,,,rosette,rosettes,woody,
Acer,Acer," trees or shrubs, usually deciduous; ",perennial,inferred_from_family,,,shrub tree,shrubs trees,,,,,,,woody,
Acer,Acer pseudoplatanus, spreading tree to 30 m high (much less in s.aust.); ,perennial,inferred_from_family,,,tree,tree,,,,,spreading,spreading,woody,
Aceraceae,Aceraceae," trees or shrubs, usually deciduous; ",,,,,shrub tree,shrubs trees,,,,,,,woody,
Achillea,Achillea, perennial herbs with rhizomes; ,perennial,perennial,,,herb,herbs,,,,,rhizomatous,rhizomes,herbaceous,
Achillea,Achillea millefolium," perennial herb to 60 cm high, stoloniferous; ",perennial,perennial,,,herb,herb,,,,,stoloniferous,stoloniferous,herbaceous,
Achillea,Achillea tomentosa," perennial herb to 40 cm high, stoloniferous; ",perennial,perennial,,,herb,herb,,,,,stoloniferous,stoloniferous,herbaceous,
Achnophora,Achnophora, perennial herb; ,perennial,perennial,,,herb,herb,,,,,,,herbaceous,
Achnophora,Achnophora tatei,  ,perennial,inferred_from_genus,,,herb,inferred_from_genus,,,,,,,herbaceous,
Acianthus,Acianthus, terrestrial glabrous herbs. ,,,,,herb,herbs,terrestrial,terrestrial,,,,,herbaceous,
Acianthus,Acianthus exsertus," slender, glabrous, 7-16 cm high; ",,,,,herb,inferred_from_genus,terrestrial,inferred_from_genus,,,,,herbaceous,
Acianthus,Acianthus caudatus," very slender, glabrous, 7-15 cm high; ",,,,,herb,inferred_from_genus,terrestrial,inferred_from_genus,,,,,herbaceous,
Acroptilon,Acroptilon repens, perennial to 90 cm high; ,perennial,perennial,,,herb,inferred_from_life_history,,,,,,,herbaceous,
Acrotriche,Acrotriche, small shrubs with spreading branches and crowded leaves; ,,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acrotriche,Acrotriche affinis," erect muchbranched shrub, 20-100 cm high and wide; ",,,,,shrub,shrub,,,,,erect,erect,woody,
Acrotriche,Acrotriche patula," rigid divaricately branched shrub, 20-100 cm high, 40-60 cm across; ",,,,,shrub,shrub,,,,,,,woody,
Acrotriche,Acrotriche cordata," erect shrub 20-100 cm high, to 120 cm across; ",,,,,shrub,shrub,,,,,erect,erect,woody,
Acrotriche,Acrotriche depressa," shrub with rigid branches 40-80 cm high, ",,,,,shrub,shrub,,,,,,,woody,
Acrotriche,Acrotriche fasciculiflora, rigid shrub 50-150 cm high; ,,,,,shrub,shrub,,,,,,,woody,
Acrotriche,Acrotriche halmaturina, shrub 15-30 cm high. ,,,,,shrub,shrub,,,,,,,woody,
Acrotriche,Acrotriche serrulata, procumbent or diffuse shrub forming mats 30-90 cm across; ,,,,,shrub,shrub,,,,,mat-forming prostrate,forming mats procumbent,woody,
Actinobole,Actinobole," annual herbs, ",annual,annual,,,herb,herbs,,,,,,,herbaceous,
Actinobole,Actinobole uliginosum, herbs. ,annual,inferred_from_genus,,,herb,herbs,,,,,,,herbaceous,
Adenanthos,Adenanthos," erect rarely prostrate subshrubs, shrubs or trees. ",perennial,inferred_from_family,,,subshrub shrub tree,subshrubs shrubs trees,,,,,erect prostrate,erect prostrate,woody,
