trait_name,find,replace
storage_organ,"with distinct swollen storage structure from which resprouting may occur, with distinct swollen storage structure but without resprouting capacity",storage_organ
storage_organ,"with distinct swollen storage structure from which resprouting may occur, without swollen storage structure",storage_organ no_storage_organ
storage_organ,without swollen storage structure,no_storage_organ
vegetative_reproduction_ability,capacity to be rhizomatous or root budding,vegetative
vegetative_reproduction_ability,"capacity to be rhizomatous or root budding, plants always discrete (includes shortly rhizomatous)",vegetative
vegetative_reproduction_ability,capacity to be stoloniferous,vegetative
vegetative_reproduction_ability,"capacity to be stoloniferous, capacity to be rhizomatous or root budding",vegetative
vegetative_reproduction_ability,"capacity to be stoloniferous, plants always discrete (includes shortly rhizomatous)",not_vegetative
vegetative_reproduction_ability,plants always discrete (includes shortly rhizomatous),not_vegetative
clonal_spread_mechanism,capacity to be rhizomatous or root budding,rhizome root_buds
clonal_spread_mechanism,"capacity to be rhizomatous or root budding, plants always discrete (includes shortly rhizomatous)",rhizome root_buds
clonal_spread_mechanism,capacity to be stoloniferous,stolon
clonal_spread_mechanism,"capacity to be stoloniferous, capacity to be rhizomatous or root budding",rhizome root_buds stolon
clonal_spread_mechanism,"capacity to be stoloniferous, plants always discrete (includes shortly rhizomatous)", rhizome
clonal_spread_mechanism,plants always discrete (includes shortly rhizomatous), rhizome
,,
,,
,,
,,
,,
,,
,,
,,
fruit_fleshiness,"drupe, berry (attractive/succulent)",fleshy
fruit_fleshiness,"winged, plumed, feathered, woolly",NA
