species,resprouter,photosynthetic.pathway,life.history,bud.position,dim.1,dim.2
Aristida pruinosa,Yes,C4,Perennial,C,NA,NA
Aristida queenslandica,Yes,C4,Perennial,C,NA,NA
Aristida strigosa,Yes,C4,Perennial,C,NA,NA
Aristida warburgii,Yes,C4,Perennial,C,NA,NA
Arundo donax,Yes,C3,Perennial,R,2.069291938,-1.206372965
Astrebla elymoides,Yes,C4,Perennial,C,NA,NA
Astrebla lappacea,Yes,NA,Perennial,R,0.602322707,-0.511268852
Astrebla pectinata,Yes,NA,Perennial,R,NA,NA
Astrebla squarrosa,Yes,C4,Perennial,R,NA,NA
Stipa aquarii,Yes,C3,Perennial,R,NA,NA
Bothriochloa bladhii,Yes,NA,Perennial,R,NA,NA
Bothriochloa ewartiana,Yes,C4,Perennial,C,NA,NA
Cenchrus setigerus,Yes,NA,Perennial,C,NA,NA
Chionachne cyathopoda,Yes,C4,Perennial,R,NA,NA
Chloris truncata,Yes,C4,Perennial,S,NA,NA
Chrysopogon benthamianus,Yes,C4,Perennial,C,NA,NA
Chrysopogon elongatus,Yes,C4,Perennial,R,NA,NA
Chrysopogon pallidus,Yes,C4,Perennial,C,NA,NA
Chrysopogon setifolius,Yes,C4,Perennial,R,NA,NA
Coelorachis rottboellioides,Yes,C4,Perennial,NA,NA,NA
Cymbopogon ambiguus,Yes,NA,Perennial,C,NA,NA
Cymbopogon bombycinus,Yes,C4,Perennial,C,NA,NA
Cymbopogon obtectus,Yes,C4,Perennial,C,NA,NA
Cymbopogon refractus,Yes,C4,Perennial,C,NA,NA
Dichanthium annulatum,Yes,C4,Perennial,C,NA,NA
Digitaria ammophila,Yes,C4,Perennial,C,NA,NA
Digitaria breviglumis,Yes,NA,Perennial,C,NA,NA
Digitaria brownii,Yes,C4,Perennial,R,NA,NA
Digitaria coenicola,Yes,NA,Perennial,C,NA,NA
Digitaria divaricatissima,Yes,C4,Perennial,C,NA,NA
Digitaria parviflora,Yes,C4,Perennial,R,NA,NA
Enneapogon robustissimus,Yes,C4,Perennial,NA,NA,NA
Enneapogon cylindricus,Yes,C4,Perennial,NA,NA,NA
Enneapogon eremophilus,Yes,C4,Perennial,C,NA,NA
Enneapogon oblongus,Yes,NA,NA,NA,NA,NA
Enteropogon acicularis,Yes,C4,Perennial,C,NA,NA
Enteropogon ramosus,Yes,C4,Perennial,C,NA,NA
Entolasia marginata,Yes,C3,Perennial,R,NA,NA
Entolasia stricta,Yes,C3,Perennial,R,NA,NA
Eragrostis australasica,Yes,C4,Perennial,NA,NA,NA
Eragrostis desertorum,Yes,C4,Perennial,S,NA,NA
Eragrostis lanicaulis,Yes,NA,Perennial,R,NA,NA
Eragrostis laniflora,Yes,NA,Perennial,R,NA,NA
Eragrostis olida,Yes,NA,Perennial,C,NA,NA
Eragrostis setifolia,Yes,C4,Perennial,C,NA,NA
Eragrostis xerophila,Yes,NA,Perennial,R,NA,NA
Eriachne helmsii,Yes,C4,Perennial,C,NA,NA
Eriachne mucronata,Yes,C4,Perennial,C,NA,NA
Eriachne obtusa,Yes,C4,Perennial,C,NA,NA
Heteropogon contortus,Yes,C4,Perennial,C,-0.133468622,0.532515754
Heteropogon triticeus,Yes,C4,Perennial,C,NA,NA
Hyparrhenia rufa,Yes,C4,Perennial,R,NA,NA
Leptochloa digitata,Yes,C4,Perennial,NA,NA,NA
Monachather paradoxus,Yes,C3,Perennial,C,NA,NA
Neurachne munroi,Yes,C4orC3,Perennial,R,NA,NA
Neurachne tenuifolia,Yes,C4orC3,Perennial,R,NA,NA
Oplismenus hirtellus,No,C3,Perennial,NA,NA,NA
Panicum effusum,Yes,C4,Perennial,C,NA,NA
Panicum maximum,Yes,C4,Both,R,3.152746178,1.534876013
Paraneurachne muelleri,Yes,C4,Perennial,S,NA,NA
Paspalidium constrictum,Yes,C4,Perennial,C,NA,NA
Paspalidium jubiflorum,Yes,NA,Perennial,NA,NA,NA
Phragmites australis,Yes,C3,Perennial,R,2.101710632,-1.066192424
Phragmites vallatorius,Yes,NA,Perennial,R,0.202653187,-0.827644417
Sporobolus actinocladus,Yes,C4,Perennial,C,NA,NA
Sporobolus pyramidalis,Yes,C4,Perennial,C,NA,NA
Sporobolus mitchellii,Yes,NA,Perennial,R,NA,NA
Sporobolus virginicus,Yes,C4,Perennial,R,NA,NA
Stipa pubescens,Yes,C3,Perennial,R,NA,NA
Thyridolepis mitchelliana,Yes,C3,Perennial,C,NA,NA
Thyridolepis xerophila,Yes,C3,Perennial,C,NA,NA
Triodia bitextura,Yes,C4,Perennial,C,NA,NA
Triodia fitzgeraldii,Yes,NA,Perennial,C,NA,NA
Triodia hubbardii,Yes,C4,Perennial,C,NA,NA
Zygochloa paradoxa,Yes,C4,Perennial,R,NA,NA
Agrostis avenacea,Yes,C3,Annual,C,NA,NA
Aristida calycina,Yes,C4,Perennial,C,NA,NA
Aristida contorta,Yes,C4,Both,C,-1.146937183,-0.981337831
Aristida dominii,Yes,C4,Annual,C,NA,NA
Aristida holathera,Yes,NA,Both,C,NA,NA
Aristida jerichoensis,Yes,C4,Perennial,C,NA,NA
Aristida superpendens,Yes,C4,Perennial,C,NA,NA
Bambusa arnhemica,Yes,C3,Perennial,R,NA,NA
Chloris ventricosa,Yes,C4,Perennial,S,NA,NA
Chrysopogon latifolius,Yes,C4,Perennial,NA,NA,NA
Chrysopogon oliganthus,Yes,C4,Perennial,R,NA,NA
Cymbopogon procerus,Yes,C4,Perennial,C,NA,NA
Dichanthium sericeum,Yes,C4,Perennial,C,-0.632435588,1.141671449
Dichelachne rara,Yes,C3,Perennial,C,NA,NA
Ehrharta stipoides,Yes,C3,Perennial,R,NA,NA
Enneapogon avenaceus,Yes,C4,Both,NA,NA,NA
Enneapogon gracilis,Yes,C4,Both,NA,NA,NA
Enneapogon polyphyllus,Yes,C4,Both,NA,NA,NA
Eragrostis brownii,Yes,C4,Perennial,C,NA,NA
Eragrostis dielsii,Yes,C4,Perennial,C,NA,NA
Eragrostis eriopoda,Yes,C4,Perennial,C,NA,NA
Eragrostis infecunda,Yes,C4,Perennial,R+S,NA,NA
Eriachne basedowii,Yes,NA,Perennial,C,NA,NA
Eriachne burkittii,Yes,NA,Annual,NA,NA,NA
Eriachne glabrata,Yes,C4,Perennial,C,NA,NA
Eriachne glauca,Yes,C4,Perennial,NA,NA,NA
Eriachne pallescens,Yes,NA,Perennial,C,NA,NA
Eriachne sulcata,Yes,C4,Perennial,C,NA,NA
Eriachne triseta,Yes,C4,Perennial,C,NA,NA
Eulalia aurea,Yes,C4,Perennial,NA,NA,NA
Eulalia irritans,Yes,C4,Annual,NA,NA,NA
Eulalia mackinlayi,Yes,C4,Perennial,C,NA,NA
Germainia grandiflora,Yes,NA,Perennial,C,NA,NA
Germainia truncatiglumis,Yes,C4,Perennial,C,NA,NA
Hemarthria uncinata,Yes,C4,Perennial,NA,NA,NA
Hymenachne amplexicaulis,Yes,C3,Perennial,NA,NA,NA
Ischaemum decumbens,Yes,C4,Annual,NA,NA,NA
Leptochloa fusca,Yes,C4,Perennial,NA,0.357185252,1.801395601
Leptochloa neesii,Yes,NA,Both,C,NA,NA
Melinis repens,Yes,C4,Both,C,NA,NA
Micraira dentata,Yes,C3,Perennial,NA,NA,NA
Micraira tenuis,Yes,C3,Perennial,NA,NA,NA
Ophiuros exaltatus,Yes,NA,Perennial,NA,NA,NA
Panicum decompositum,Yes,C3,Perennial,C,NA,NA
Paspalidium basicladum,Yes,C4,Annual,NA,NA,NA
Paspalum scrobiculatum,Yes,NA,Perennial,NA,-1.371256491,0.866701534
Poa labillardieri,Yes,NA,Perennial,C,-0.762095413,-0.709886047
Pseudoraphis spinescens,Yes,C4,Perennial,S,0.655963716,0.393392803
Sacciolepis myosuroides,Yes,C3,Annual,C,NA,NA
Sehima nervosum,Yes,C4,Perennial,C,-0.867850178,0.342342357
Sporobolus creber,Yes,NA,Perennial,R,NA,NA
Stipa nitida,Yes,C3,Perennial,C,NA,NA
Symplectrodia gracilis,Yes,C4,Perennial,C,NA,NA
Themeda arguens,Yes,C4,Annual,C,NA,NA
Themeda avenacea,Yes,C4,Perennial,C,NA,NA
Triodia basedowii,Yes,C4,Perennial,C,-1.595020894,-2.339829187
Triodia bynoei,Yes,C4,Perennial,C,NA,NA
Triodia irritans,Yes,C4,Perennial,C,NA,NA
Triodia longiceps,Yes,NA,Perennial,C,-2.96110473,-2.533827046
Triodia melvillei,Yes,C4,Perennial,C,NA,NA
Triodia microstachya,Yes,C4,Perennial,C,NA,NA
Triodia plectrachnoides,Yes,C4,Perennial,C,NA,NA
Triodia pungens,Yes,C4,Perennial,C,-2.518457294,-0.78880754
Triodia stenostachya,Yes,C4,Perennial,C,NA,NA
Xerochloa imberbis,Yes,NA,Perennial,R,NA,NA
Aristida hygrometrica,No,NA,Annual,C,NA,NA
Arundinella nepalensis,No,NA,Perennial,R,NA,NA
Avena fatua,No,C3,Annual,NA,NA,NA
Brachiaria gilesii,No,C4,Annual,C,NA,NA
Brachiaria holosericea,No,NA,Annual,NA,NA,NA
Brachiaria piligera,No,C4,Annual,S,NA,NA
Brachiaria polyphylla,No,NA,Annual,S,NA,NA
Brachiaria praetervisa,No,NA,Annual,C,NA,NA
Brachiaria pubigera,No,C4,Annual,NA,NA,NA
Brachiaria subquadripara,No,C4,Annual,NA,NA,NA
Brachyachne convergens,No,NA,Annual,C,NA,NA
Bromus diandrus,No,C3,Annual,NA,NA,NA
Capillipedium parviflorum,No,NA,Perennial,C,NA,NA
Cenchrus echinatus,No,C4,Annual,NA,NA,NA
Chloris pectinata,No,C4,Annual,NA,NA,NA
Chloris virgata,No,C4,Annual,C,1.907648701,0.05031281
Cynodon radiatus,No,C4,Annual,S,NA,NA
Dactyloctenium aegyptium,No,NA,Annual,S,1.43794149,0.135695028
Dactyloctenium radulans,No,C4,Annual,NA,2.187611784,0.320550715
Digitaria bicornis,No,C4,Annual,NA,NA,NA
Digitaria ciliaris,No,C4,Annual,NA,NA,NA
Digitaria ctenantha,No,C4,Annual,NA,NA,NA
Digitaria diffusa,No,C4,Perennial,NA,NA,NA
Digitaria gibbosa,No,C4,Annual,NA,NA,NA
Digitaria longiflora,No,C4,Both,S,NA,NA
Echinochloa colona,No,C4,Annual,C,2.277983871,-0.234948763
Ectrosia leporina,No,C4,Annual,NA,NA,NA
Ectrosia schultzii,No,C4,Perennial,C,NA,NA
Elytrophorus spicatus,No,C3,Annual,NA,NA,NA
Enneapogon lindleyanus,No,C4,Perennial,NA,NA,NA
Enneapogon purpurascens,No,C4,Both,NA,NA,NA
Eragrostis confertiflora,No,NA,Annual,C,NA,NA
Eragrostis cumingii,No,C4,Perennial,NA,NA,NA
Eragrostis falcata,No,C4,Perennial,C,NA,NA
Eragrostis leptocarpa,No,NA,Annual,NA,NA,NA
Eragrostis spartinoides,No,C4,Perennial,C,NA,NA
Eragrostis sterilis,No,C4,Perennial,C,NA,NA
Eragrostis tenellula,No,C4,Annual,C,NA,NA
Eriachne agrostidea,No,C4,Annual,NA,NA,NA
Eriachne aristidea,No,C4,Both,C,NA,NA
Eriachne armitii,No,C4,Both,NA,NA,NA
Eriachne avenacea,No,C4,Both,C,NA,NA
Eriachne capillaris,No,C4,Annual,NA,NA,NA
Eriachne ciliata,No,C4,Annual,NA,NA,NA
Eriachne fastigiata,No,C4,Both,C,NA,NA
Eriachne filiformis,No,NA,Annual,C,NA,NA
Eriachne pulchella,No,C4,Annual,C,NA,NA
Eriochloa procera,No,NA,Annual,NA,NA,NA
Eulalia contorta,No,C4,Annual,C,NA,NA
Heteropholis formosa,No,C4,Annual,NA,NA,NA
Isachne confusa,No,C3,Perennial,C,NA,NA
Iseilema dolichotrichum,No,NA,Annual,C,NA,NA
Iseilema eremaeum,No,C4,Annual,C,NA,NA
Iseilema membranaceum,No,C4,Annual,C,NA,NA
Iseilema vaginiflorum,No,C4,Annual,C,NA,NA
Leersia hexandra,No,NA,Perennial,R,1.005499351,0.195503154
Lolium rigidum,No,C3,Annual,NA,NA,NA
Oplismenus burmannii,No,C3,Annual,NA,NA,NA
Oplismenus compositus,No,C3,Perennial,NA,NA,NA
Oryza australiensis,No,C3,Perennial,R,NA,NA
Panicum mindanaense,No,C3,Perennial,C,NA,NA
Panicum seminudum,No,C3,Annual,NA,NA,NA
Panicum trachyrhachis,No,C3,Annual,NA,NA,NA
Panicum trichoides,No,C4,Annual,NA,NA,NA
Plagiosetum refractum,No,C4,Annual,NA,NA,NA
Paspalidium clementii,No,C4,Annual,C,NA,NA
Paspalidium rarum,No,C4,Annual,C,NA,NA
Pennisetum pedicellatum,No,C4,Annual,NA,NA,NA
Perotis rara,No,C4,Annual,NA,NA,NA
Polypogon monspeliensis,No,C3,Annual,NA,NA,NA
Sorghum intrans,No,C4,Annual,NA,NA,NA
Sorghum plumosum,No,C4,Perennial,R,NA,NA
Sorghum timorense,No,C4,Annual,NA,NA,NA
Schismus barbatus,No,C3,Annual,C,NA,NA
Schizachyrium fragile,No,C4,Annual,C,NA,NA
Schizachyrium pseudeulalia,No,C4,Annual,NA,NA,NA
Setaria apiculata,No,C4,Annual,C,NA,NA
Setaria surgens,No,C4,Annual,NA,NA,NA
Sporobolus australasicus,No,C4,Annual,C,NA,NA
Sporobolus carolii,No,NA,Perennial,NA,NA,NA
Sporobolus pulchellus,No,NA,Annual,NA,NA,NA
Thaumastochloa major,No,NA,Annual,NA,NA,NA
Tragus australianus,No,C4,Annual,NA,NA,NA
Triodia brizoides,No,C4,Perennial,C,NA,NA
Triodia schinzii,No,C4,Perennial,C,NA,NA
Triodia spicata,No,C4,Perennial,C,NA,NA
Tripogon loliiformis,No,C4,Annual,C,NA,NA
Triraphis mollis,No,NA,Perennial,C,NA,NA
Whiteochloa capillipes,No,NA,Both,C,NA,NA
Xerochloa laniflora,No,NA,Annual,S,NA,NA
Yakirra australiensis,No,C4,Both,NA,NA,NA
Yakirra majuscula,No,C4,Annual,NA,NA,NA
Yakirra pauciflora,No,C4,Annual,NA,NA,NA
Cymbopogon pospischilii,Yes,C4,Perennial,C,-1.286653786,0.162201277
Enneapogon scoparius,Yes,C4,Perennial,R,NA,NA
Eragrostis bicolor,Yes,C4,Perennial,R,NA,NA
Eragrostis obtusa,Yes,C4,Perennial,C,0.578915112,-0.673766163
Eustachys paspaloides,Yes,C4,Perennial,NA,NA,NA
Oropetium capense,Yes,C4,Perennial,C,NA,NA
Agropyron cristatum,Yes,C3,Perennial,C,0.845226373,-0.379806903
Agropyron desertorum,Yes,C3,Perennial,C,NA,NA
Andropogon gerardii,Yes,C4,Perennial,C,NA,NA
Andropogon ternarius,Yes,C4,Perennial,C,NA,NA
Andropogon virginicus,Yes,C4,Perennial,C,NA,NA
Arctagrostis latifolia,Yes,C3,Perennial,R,NA,NA
Aristida stricta,Yes,NA,Perennial,C,-1.195322662,-1.011718354
Arundinaria gigantea,Yes,C3,Perennial,R,NA,NA
Bothriochloa barbinodis,Yes,C4,Perennial,C,NA,NA
Chondrosum hirsutum,Yes,C4,Perennial,S,0.192052809,-0.54194001
Bromus inermis,Yes,C3,Perennial,R,NA,NA
Bromus marginatus,Yes,C3,Perennial,C,NA,NA
Bromus pumpellianus,Yes,C3,Perennial,R,NA,NA
Bromus vulgaris,Yes,C3,Perennial,NA,NA,NA
Buchloe dactyloides,Yes,C4,Perennial,S,NA,NA
Calamagrostis canadensis,Yes,C3,Perennial,R,NA,NA
Danthonia unispicata,Yes,C4orC3,Perennial,C,NA,NA
Panicum acuminatum,Yes,d13C,Perennial,NA,NA,NA
Digitaria californica,Yes,NA,Perennial,C,-0.175529666,0.603830765
Elymus lanceolatus,Yes,NA,Perennial,R,NA,NA
Elymus repens,Yes,NA,Perennial,R,NA,NA
Elymus smithii,Yes,C3,Perennial,R,NA,NA
Elymus spicatus,Yes,C3,Perennial,C,NA,NA
Eremochloa ophiuroides,Yes,C4,Perennial,R,NA,NA
Festuca arizonica,Yes,C3,Perennial,C,NA,NA
Festuca californica,Yes,C3,Perennial,C,NA,NA
Festuca pratensis,Yes,C3,NA,R,1.648449843,0.062888273
Festuca subulata,Yes,NA,Perennial,C,NA,NA
Stipa comata,Yes,NA,Perennial,C,0.192561949,-0.82973173
Stipa spartea,Yes,C3,Perennial,C,NA,NA
Hierochloe odorata,Yes,C3,Perennial,R,NA,NA
Hilaria belangeri,Yes,C4,Perennial,S,NA,NA
Hilaria jamesii,Yes,NA,Perennial,R,NA,NA
Hilaria mutica,Yes,C4,Perennial,R,NA,NA
Hilaria rigida,Yes,C4,Perennial,R,NA,NA
Leymus cinereus,Yes,C3,Perennial,R,1.016921365,-1.296596241
Leymus innovatus,Yes,C3,Perennial,R,NA,NA
Leymus salinus,Yes,C3,Perennial,C,NA,NA
Miscanthus sinensis,Yes,C4,Perennial,R,NA,NA
Muhlenbergia cuspidata,Yes,C4,Perennial,C,NA,NA
Muhlenbergia glomerata,Yes,C4,Perennial,R,NA,NA
Muhlenbergia montana,Yes,C4,Perennial,C,NA,NA
Muhlenbergia richardsonis,Yes,C4,Perennial,R,0.999690481,-0.471578972
Neyraudia reynaudiana,Yes,C4,Perennial,R,-0.13219462,-0.634336547
Panicum hemitomum,Yes,C3,Perennial,R+S,NA,NA
Panicum obtusum,Yes,C3,Perennial,S,NA,NA
Panicum repens,Yes,C3,Perennial,R+S,0.005550619,0.238638633
Panicum virgatum,Yes,C4,Perennial,R,0.522599393,-1.138660227
Paspalum distichum,Yes,C4,Perennial,S,NA,NA
Phyllostachys aurea,Yes,C3,Perennial,R,NA,NA
Poa arida,Yes,C3,Perennial,R,NA,NA
Poa compressa,Yes,C3,Perennial,R,NA,NA
Poa fendleriana,Yes,C3,Perennial,R,NA,NA
Poa pratensis,Yes,C3,Perennial,R,1.579536961,0.267059113
Psathyrostachys juncea,Yes,C3,Perennial,C,NA,NA
Schizachyrium tenerum,Yes,C4,Perennial,C,-1.45834841,-0.097393325
Scolochloa festucacea,Yes,C3,Perennial,R,NA,NA
Sorghastrum nutans,Yes,NA,Perennial,R,-1.555471744,0.415984526
Spartina patens,Yes,C4,Perennial,R,-2.639346655,-1.190355892
Spartina pectinata,Yes,C4,Perennial,R,NA,NA
Stipa nelsonii,Yes,C3,Perennial,C,NA,NA
Stipa speciosa,Yes,NA,Perennial,C,NA,NA
Agrostis gigantea,Yes,C3,Perennial,R,NA,NA
Brachiaria mutica,Yes,C4,Perennial,NA,NA,NA
Bromus carinatus,Yes,NA,Perennial,NA,NA,NA
Calamagrostis montanensis,Yes,C3,Perennial,R,NA,NA
Calamagrostis purpurascens,Yes,NA,Perennial,C,NA,NA
Calamagrostis rubescens,Yes,C3,Perennial,R,1.852786841,-0.728411964
Calamovilfa longifolia,Yes,NA,Perennial,R,0.148941684,-0.873136173
Cenchrus ciliaris,Yes,C4,Perennial,R,1.841246293,-0.655943564
Danthonia spicata,Yes,NA,Perennial,C,NA,NA
Distichlis spicata,Yes,C4,Perennial,R,NA,NA
Elymus elymoides,Yes,C3,Perennial,NA,NA,NA
Elymus glaucus,Yes,C3,Perennial,C,NA,NA
Elymus macrourus,Yes,C3,Perennial,C,NA,NA
Elymus trachycaulus,Yes,C3,Perennial,C,NA,NA
Festuca altaica,Yes,C3,Perennial,C,NA,NA
Festuca arundinacea,Yes,C3,Perennial,C,NA,NA
Festuca campestris,Yes,NA,Perennial,C,NA,NA
Festuca hallii,Yes,C3,Perennial,C,NA,NA
Festuca idahoensis,Yes,C3,Perennial,C,-0.347453122,1.896967515
Festuca kingii,Yes,C3,Perennial,C,NA,NA
Festuca thurberi,Yes,C3,Perennial,C,NA,NA
Imperata brasiliensis,Yes,C4,Perennial,R,NA,NA
Koeleria macrantha,Yes,C3,Perennial,R,0.115689028,-0.442138546
Leymus ambiguus,Yes,NA,Perennial,C,NA,NA
Melinis minutiflora,Yes,C4,Perennial,NA,-2.439706705,0.92692063
Muhlenbergia racemosa,Yes,C4,Perennial,R,NA,NA
Nassella pulchra,Yes,NA,Perennial,NA,1.123511359,-1.27711419
Phalaris arundinacea,Yes,NA,Perennial,R,NA,NA
Phleum pratense,Yes,C3,Perennial,C,NA,NA
Poa cusickii,Yes,C3,Perennial,R,NA,NA
Poa secunda,Yes,NA,Perennial,C,1.186899108,-0.866575887
Schizachyrium scoparium,Yes,C4,Perennial,C,-1.132701392,0.446650375
Sorghum halepense,Yes,C4,Perennial,R,NA,NA
Spartina alterniflora,Yes,C4,Perennial,R,NA,NA
Sporobolus compositus,Yes,C4,Perennial,NA,NA,NA
Sporobolus cryptandrus,Yes,NA,Perennial,C,NA,NA
Tridens muticus,Yes,C4,Perennial,C,NA,NA
Uniola paniculata,Yes,NA,Perennial,R,NA,NA
Stipa lettermanii,No,C3,Perennial,C,NA,NA
Stipa richardsonii,No,C3,Perennial,C,NA,NA
Stipa thurberiana,No,C3,Perennial,C,0.614593896,-0.930299524
Agrostis exarata,No,NA,Perennial,C,NA,NA
Agrostis scabra,No,C3,Perennial,C,NA,NA
Agrostis stolonifera,No,C3,Perennial,S,NA,NA
Chondrosum barbatum,No,C4,Both,C,NA,NA
Bromus ciliatus,No,C3,Perennial,NA,NA,NA
Bromus japonicus,No,C3,Annual,NA,NA,NA
Bromus tectorum,No,C3,Annual,NA,1.386890676,-0.033355567
Danthonia compressa,No,C4orC3,Perennial,C,NA,NA
Danthonia intermedia,No,C4orC3,Perennial,C,NA,NA
Echinochloa crusgalli,No,C4,Annual,C,NA,NA
Elymus canadensis,No,C3,Perennial,C,NA,NA
Hordeum jubatum,No,C3,Perennial,C,NA,NA
Lolium multiflorum,No,C3,Annual,C,NA,NA
Lycurus phleoides,No,C4,Perennial,C,NA,NA
Lycurus setosus,No,C4,Perennial,C,NA,NA
Microstegium vimineum,No,C4,Annual,NA,NA,NA
Muhlenbergia porteri,No,C4,Perennial,NA,NA,NA
Oryzopsis hymenoides,No,C3,Perennial,C,NA,NA
Sporobolus airoides,No,NA,Perennial,C,0.17528708,-0.755200618
Sporobolus heterolepis,No,C4,Perennial,C,NA,NA
Sporobolus wrightii,No,NA,Perennial,C,NA,NA
Taeniatherum caput-medusae,No,C3,Annual,NA,NA,NA
Vulpia microstachys,No,C3,Annual,NA,NA,NA
Vulpia myuros,No,C3,Annual,NA,NA,NA
Vulpia octoflora,No,C3,Annual,NA,NA,NA
Festuca pallescens,Yes,C3,Perennial,C,NA,NA
Agrostis curtisii,Yes,NA,Perennial,C,NA,NA
Agrostis delicatula,Yes,NA,Perennial,C,NA,NA
Arrhenatherum longifolium,Yes,C3,Perennial,C,NA,NA
Bothriochloa macra,Yes,NA,Perennial,C,NA,NA
Poa bulbosa,Yes,C3,Perennial,C,2.512954629,-0.452739897
Eragrostis curvula,Yes,NA,Perennial,C,-1.434875197,0.044264923
Aristida congesta,Yes,C4,Perennial,C,NA,NA
Danthonia californica,Yes,C4orC3,Perennial,C,2.057980362,1.270400224
Imperata cylindrica,Yes,C4,Perennial,R,-0.624284869,0.739465956
Aristida purpurea,Yes,C4,Perennial,C,-1.618622787,-0.421695693
Tricholaena monachne,Yes,C4,Perennial,C,NA,NA
Aristida ramosa,Yes,C4,Perennial,C,NA,NA
Aristida vagans,Yes,C4,Perennial,C,NA,NA
Sporobolus indicus,No,C4,Perennial,C,-1.119207892,0.248595452
Brachypodium pinnatum,Yes,NA,Perennial,R,1.4508512,0.124927142
Brachypodium pluckenetii,Yes,NA,Perennial,R,NA,NA
Brachypodium sylvaticum,Yes,C3,Perennial,C,NA,NA
Melica ciliata,Yes,C3,Perennial,R,NA,NA
Piptatherum coerulescens,Yes,NA,Perennial,C,NA,NA
Piptatherum miliaceum,Yes,NA,Perennial,C,NA,NA
Aira elegantissima,No,C3,NA,NA,NA,NA
Avena sterilis,No,C3,Annual,NA,NA,NA
Bromus madritensis,No,C3,Annual,NA,NA,NA
Bromus squarrosus,No,C3,Annual,NA,NA,NA
Cynosurus echinatus,No,C3,Annual,C,NA,NA
Hordeum murinum,No,NA,Annual,C,NA,NA
