Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Haplostichanthus johnsonii,tree,1,1,simple,no,evergreen,,,435,4,30,100,10,30,4,9,4,9,4
Meiogyne stenopetala,shrub,0,1,simple,no,evergreen,,,,5,70,100,15,30,7,9,5,7,3
Meiogyne cylindrocarpa_trichocarpa,tree,1,1,simple,no,evergreen,,,435,7,40,115,30,50,7,13,6,10,3
Miliusa brahei,tree,1,1,simple,no,deciduous,,,435,30,40,140,10,55,7,10,4,5,3
Pseuduvaria mulgraveana-glabrescens,tree,1,1,simple,no,evergreen,,,435,7,50,160,20,70,5,8,8,9,
Pseuduvaria mulgraveana-mulgraveana,shrub,1,0,simple,no,evergreen,,,435,7,100,200,30,65,5,8,8,9,
Pseuduvaria villosa,shrub,1,1,simple,no,evergreen,,,435,6,60,200,20,80,10,13,10,10,6
Xylopia monosperma,tree,1,1,simple,no,evergreen,,,435,18,50,70,20,35,10,10,5,6,
Alstonia constricta,tree,0,1,simple,no,evergreen,,,,18,60,180,7,45,6,7,1,5,2
Alstonia muelleriana,tree,0,1,simple,no,evergreen,668,502,473,25,50,90,15,70,5,6,1,1,
Alstonia spectabilis_spectabilis,tree,0,1,simple,no,evergreen,,502,473,25,70,360,30,125,5,6,1,1,
Alstonia spectabilis_ophioxyloides,tree,0,1,simple,no,evergreen,,,,20,70,360,30,125,5,6,1,1,
Alyxia buxifolia,shrub,1,0,simple,no,evergreen,,,,2,10,40,5,25,4,5,4,5,
Alyxia magnifolia,shrub,1,1,simple,no,evergreen,,,,5,40,150,22,80,6,8,6,8,
Alyxia oblongata,shrub,1,1,simple,no,evergreen,,,473,5,25,35,8,11,8,10,6,8,
Alyxia orophila,tree,1,1,simple,no,evergreen,,,473,5,10,50,5,25,6,8,5,6,
Alyxia ruscifolia,shrub,0,1,simple,no,evergreen,,,473,5,15,65,5,30,8,13,6,10,
Alyxia sharpei,shrub,0,1,simple,no,evergreen,,,,4,10,40,4,6,6,8,6,8,
Alyxia spicata,shrub,1,1,simple,no,evergreen,,,473,,30,110,25,40,8,13,7,9,
Carissa lanceolata,shrub,1,0,simple,no,evergreen,,,473,3,7,50,2,15,6,6,4,4,
Carissa laxiflora,shrub,1,0,simple,no,evergreen,,,473,2,30,90,10,50,6,6,4,4,
Carissa ovata,shrub,1,0,simple,no,evergreen,,,473,4,5,55,4,40,6,7,3,4,
Cerbera floribunda,tree,0,1,simple,no,evergreen,500,443,473,30,90,300,20,50,45,70,30,40,
Cerbera inflata,tree,0,1,simple,no,evergreen,430,443,473,30,80,340,20,70,50,55,25,30,
Cerbera manghas,tree,0,1,simple,no,evergreen,,443,473,12,80,250,30,70,50,72,30,60,
Kopsia arborea,tree,0,1,simple,no,evergreen,,,473,20,100,250,35,80,17,20,12,15,
Neisosperma kilneri,tree,0,1,simple,no,evergreen,,,,20,50,150,25,65,48,70,22,38,
Neisosperma poweri,tree,0,1,simple,no,evergreen,,,473,10,60,170,20,60,22,40,12,15,
Ochrosia elliptica,shrub,1,1,simple,no,evergreen,,,473,6,55,170,25,70,35,45,18,21,
Ochrosia minima,shrub,1,1,simple,no,evergreen,,,473,5,45,160,15,42,10,18,4,10,
Ochrosia moorei,tree,0,1,simple,no,evergreen,,,,11,80,200,20,32,10,14,5,7,1
Tabernaemontana orientalis,tree,1,0,simple,no,evergreen,,,473,8,50,200,15,75,6,7,3,4,
Tabernaemontana pandacaqui,shrub,1,0,simple,no,evergreen,,,473,4,30,200,20,50,4,7,4,4,
Voacanga grandifolia,tree,1,1,simple,no,deciduous,,,473,8,100,460,35,200,8,13,4,5,
Wrightia laevis-millgar,tree,0,1,simple,no,deciduous,,,473,40,70,180,20,80,18,27,1,2,
Wrightia pubescens-penicillata,tree,0,1,simple,no,deciduous,,,473,8,30,150,15,65,10,20,1,2,
Wrightia saligna,tree,0,1,simple,no,deciduous,,,473,12,40,190,14,17,10,15,1,2,
Wrightia versicolor,tree,0,1,simple,no,deciduous,,,,20,55,130,25,45,9,13,1,2,
Ilex arnhemensis ssp. arnhemensis,tree,1,0,simple,no,evergreen,,,,25,75,135,25,55,1,1,1,1,
Ilex arnhemensis-ferdinandi,tree,1,0,simple,no,evergreen,,,,25,75,135,25,55,1,1,1,1,
Ilex Gadgarra,tree,1,0,simple,no,evergreen,,,,25,50,70,20,20,1,1,1,1,
Agathis atropurpurea,tree,0,1,simple,no,evergreen,400,400,407,50,30,70,5,25,3,4,3,4,
Agathis microstachya,tree,0,1,simple,no,evergreen,400,400,407,50,20,90,5,25,4,6,4,6,
Agathis robusta,tree,0,1,simple,no,evergreen,400,400,407,50,50,130,10,40,12,13,5,6,
Araucaria bidwillii,tree,0,1,simple,no,evergreen,392,415,407,50,10,50,5,10,45,50,20,28,
Araucaria cunninghamii,tree,0,1,simple,no,evergreen,437,415,407,50,5,20,2,3,10,10,4,5,
Wollemia nobilis,tree,0,1,simple,no,evergreen,,,,40,20,80,4,6,8,10,6,8,3
Argophyllum Babinda,shrub,1,0,simple,no,evergreen,,,580,3,100,170,45,105,0.5,0.5,0.5,0.5,
Argophyllum Koolmoon-Creek,shrub,1,0,simple,no,evergreen,,,580,4,85,20,35,95,0.5,0.5,0.5,0.5,
Argophyllum lejourdanii,shrub,1,0,simple,no,evergreen,,,580,6,45,180,20,70,0.5,0.5,0.5,0.5,
Argophyllum nullumense,shrub,1,0,simple,no,evergreen,,,,8,50,150,20,50,0.5,1,0.5,1,
Corokia whiteana,shrub,1,0,simple,yes,evergreen,,,,3,20,70,6,20,4,7,3,5,
Bedfordia arborescens,tree,1,0,simple,no,evergreen,,,,12,150,240,35,50,2,4,1,2,
Olearia argophylla,tree,1,0,simple,no,evergreen,,,,15,70,140,10,90,1,1.5,1,1,
Olearia canescens,shrub,1,0,simple,no,evergreen,,,,2,10,60,3,21,1,1.5,1,1,
Olearia elliptica,shrub,1,0,simple,no,evergreen,,,,2,20,115,5,38,2,3,1,1,
Olearia heterocarpa,shrub,1,0,simple,no,evergreen,,,,5,20,110,4,18,1,1,1,1,
Olearia oppositifolia,shrub,1,0,simple,no,evergreen,,,,2.5,20,100,6,39,1,1,1,1,
Ozothamnus cassinioides,shrub,1,0,simple,no,evergreen,,,,3,9,30,1,3,0.5,0.5,0.5,0.5,
Ozothamnus diosmifolius,shrub,1,0,simple,no,evergreen,,,,5,10,15,1,2,1,1,1,1,
Ozothamnus rufescens,shrub,1,0,simple,no,evergreen,,,,4,4,17,1,3,0.5,1,0.5,1,
Cassinia (Ozothamnus) straminae,shrub,1,0,simple,no,evergreen,,,,2,30,80,2,6,0.5,1,0.5,1,
Ozothamnus vagans,shrub,1,0,simple,no,evergreen,,,,3,15,50,3.5,4,0.5,1,0.5,1,
Atherosperma moschatum,tree,1,1,simple,no,evergreen,,,,30,40,80,12,25,4,5,2,3,
Daphnandra apatela,tree,1,1,simple,no,evergreen,559,,,35,60,150,15,40,2,3,2,3,
Daphnandra johnsonii,tree,0,1,simple,no,evergreen,,,,20,60,120,20,60,1,2,1,1,
Daphnandra melasmena,tree,1,0,simple,no,evergreen,,,,20,40,90,20,50,1,2,1,1,
Daphnandra micrantha,tree,1,1,simple,no,evergreen,,,,25,70,170,25,50,1,2,1,1,
Daphnandra repandula,tree,0,1,simple,no,evergreen,541,541,550,30,60,260,20,70,4,6,2,3,
Daphnandra tenuipes,tree,1,0,simple,no,evergreen,563.3,,,20,40,130,15,30,1,2,1,2,
Doryphora aromatica,tree,1,1,simple,no,evergreen,460,467,522,40,50,135,20,50,3,3,2,2,
Doryphora sassafras,tree,1,1,simple,no,evergreen,516,,,45,30,100,20,40,2,2,1,2,
Dryadodaphne trachyphloia,tree,1,1,simple,no,evergreen,,,522,45,40,170,10,40,3,3,2,2,
Balanops australiana,tree,0,1,simple,no,evergreen,678,678,678,35,45,100,15,50,12,13,9,12,3
Deplanchea tetraphylla,tree,0,1,simple,no,evergreen,410,410,410,20,100,350,55,180,12,14,3,4,1
Argusia argentea,shrub,1,0,simple,no,evergreen,,,466,5,60,250,20,130,2,2,1,2,
Carmona retusa,shrub,1,0,simple,yes,evergreen,,,466,4,5,30,5,15,1,2,1,2,
Cordia aspera,tree,1,1,simple,no,evergreen,,,,10,70,300,40,160,7,8,5,6,
Cordia dichotoma,tree,1,1,simple,yes,evergreen,440,440,466,20,35,210,25,105,7,15,3,10,
Cordia subcordata,tree,1,1,simple,no,evergreen,,440,466,10,55,180,40,160,18,20,15,16,
Cordia wallichii,tree,0,1,simple,no,evergreen,,,,6,60,160,60,150,10,12,8,10,6
Ehretia acuminata,tree,1,0,simple,no,deciduous,493,493,466,30,60,220,20,120,1,1,1,1,
Ehretia grahamii,shrub,1,0,simple,no,evergreen,,,,3,15,60,10,40,1,1,1,1,
Ehretia laevis,shrub,1,0,simple,no,evergreen,,493,466,6,60,110,20,40,1,2,1,2,
Ehretia membranifolia,tree,1,0,simple,no,evergreen,,493,466,12,30,160,5,30,1,1,1,1,
Ehretia saligna,shrub,1,0,simple,no,evergreen,,493,466,6,100,250,6,20,1,1,1,1,
Tournefortia muelleri,shrub,1,0,simple,no,evergreen,,,466,3,70,280,45,160,3,4,4,4,
Trichodesma zeylanicum,shrub,1,0,simple,no,evergreen,,,466,2,17,160,2,42,3,5,3,5,2
Idiospermum australiense,tree,0,1,simple,no,evergreen,600,600,600,25,100,240,30,70,40,50,40,50,
Aphananthe philippinensis,tree,1,0,simple,no,evergreen,593,593,513,35,25,75,15,35,5,7,3,3,
Celtis hildebrandii,tree,1,0,simple,no,evergreen,,615,513,38,65,130,30,70,7,10,7,10,
Celtis paniculata,tree,1,0,simple,no,evergreen,570,615,513,20,45,150,15,60,6,10,6,9,
Celtis philippensis,tree,1,0,simple,no,evergreen,660,615,513,15,25,210,10,100,6,10,5,9,
Celtis timorensis,tree,1,0,simple,no,evergreen,,615,513,10,60,90,30,45,6,9,6,9,
Trema orientalis,tree,1,0,simple,no,evergreen,330,330,513,30,40,200,10,80,2,2,2,2,
Capparis arborea,tree,1,0,simple,no,evergreen,700,700,700,10,30,150,15,60,7,10,5,6,3
Capparis canescens,shrub,0,1,simple,no,evergreen,,,,6,35,100,25,60,7,9,5,6,3
Capparis jacobsii,tree,0,1,simple,no,evergreen,,,,10,40,110,20,45,6,8,4,5,3
Capparis lanceolaris,shrub,0,1,simple,no,evergreen,,,,5,45,145,18,50,6,12,5,7,3
Capparis lasiantha,shrub,0,1,simple,no,evergreen,,,,3,30,80,7,20,4,6,4,5,3
Capparis lucida,shrub,1,1,simple,no,evergreen,,700,700,12,30,100,20,50,6,8,5,6,3
Capparis mitchellii,shrub,0,1,simple,no,evergreen,,,,5,30,60,10,25,6,10,5,8,3
Capparis ornans,shrub,0,1,simple,no,evergreen,,,,5,60,140,20,70,9,12,6,8,4
Capparis sepiaria,shrub,1,0,simple,no,evergreen,,,,6,15,100,5,40,5,5,5,5,3
Capparis sp. (Forty Mile Scrub BH 3883RFK),tree,1,1,simple,no,evergreen,,700,700,10,50,80,20,35,,,,,
Capparis velutina,shrub,0,1,simple,no,evergreen,,,,15,50,110,15,50,6,8,5,6,3
Citronella smythii,tree,1,1,simple,no,evergreen,560,561,493,25,110,190,40,90,10,14,10,12,
Allocasuarina torulosa,tree,1,0,simple,no,evergreen,,588,669,20,0.3,0.8,0.3,0.4,2,2,1,2,
Casuarina cristata,tree,0,1,simple,no,evergreen,,,,20,0.5,0.7,0.3,0.4,3,4,2,3,
Casuarina cunninghamiana,tree,0,1,simple,no,evergreen,,,,25,0.3,0.5,0.2,0.3,3,4,2,2,
Casuarina equisetifolia,tree,1,0,simple,no,evergreen,,588,669,35,0.3,0.8,0.3,0.4,1,2,1,2,
Gymnostoma australianum,tree,1,0,simple,no,evergreen,,,669,10,0.4,0.7,0.3,0.4,2,3,2,2,
Denhamia celastroides,tree,1,1,simple,no,evergreen,718.1,,,15,40,120,20,45,5,6,3,4,
Denhamia Jardine-River,shrub,1,0,simple,no,evergreen,,,685,5,40,75,15,25,4,6,3,4,
Denhamia moorei,tree,1,0,simple,no,evergreen,,,,,,,,,4,5,2,3,
Denhamia obscura,tree,0,1,simple,no,evergreen,,,,8,50,120,15,35,5,9,4,5,
Denhamia oleaster,tree,1,0,simple,no,evergreen,,,685,8,40,80,10,35,5,9,4,5,
Denhamia parvifolia,tree,1,0,simple,no,evergreen,,,,8,5,20,4,12,4,6,3,4,
Denhamia pittosporoides-angustifolia,tree,1,0,simple,no,evergreen,,,685,10,25,90,4,11,5,7,3,4,
Denhamia pittosporoides-pittosporoides,tree,1,0,simple,yes,evergreen,,,685,7,30,110,7,40,5,5,3,5,
Denhamia viridissima,tree,1,1,simple,no,evergreen,,,685,20,45,110,15,35,10,10,5,6,
Elaeodendron australe_australe,tree,1,1,simple,no,evergreen,670,670,685,10,30,150,15,50,5,6,3,4,
Elaeodendron melanocarpum,tree,1,1,simple,no,evergreen,,670,685,13,60,165,20,85,13,23,10,20,
Maytenus cunninghamii,shrub,1,0,simple,no,evergreen,,740,685,5,20,85,2,20,3,5,2,3,
Maytenus fasciculiflora,tree,1,0,simple,no,evergreen,,740,685,8,30,120,17,50,3,3,3,3,
Perrottetia arborescens,tree,1,0,simple,no,evergreen,,,685,6,40,170,15,60,5,6,5,6,
Pleurostylia opposita,tree,1,0,simple,no,evergreen,,,685,15,20,80,10,50,5,5,5,5,
Siphonodon australis,tree,1,0,simple,no,evergreen,630,645,685,30,40,130,20,60,7,8,6,7,
Siphonodon membranaceus,tree,1,1,simple,no,evergreen,660,645,685,25,60,150,20,50,8,9,3,4,
Rhagodia parabolica,shrub,1,0,simple,no,evergreen,,,,3,10,40,8,30,,,,,
Maranthes corymbosa,tree,0,1,simple,no,evergreen,,,,25,75,165,35,70,35,42,8,18,6
Parinari nonda,tree,1,1,simple,no,evergreen,,,,12,35,80,20,50,20,25,13,16,
Calophyllum australianum,tree,0,1,simple,no,evergreen,590,582,677,30,60,150,20,40,5,15,5,15,
Calophyllum bicolor,tree,1,0,simple,no,evergreen,,582,677,10,60,160,20,45,5,6,5,5,
Calophyllum costatum,tree,0,1,simple,no,evergreen,596,582,677,35,45,90,25,40,20,33,20,30,
Calophyllum inophyllum,tree,0,1,simple,no,evergreen,550,582,677,30,80,200,45,115,20,45,20,45,
Calophyllum sil,tree,1,1,simple,no,evergreen,,582,677,37,40,140,25,55,12,13,8,9,
Calophyllum soulattri,tree,1,1,simple,no,evergreen,,,,25,65,300,25,200,5,12,5,10,
Garcinia brassii,tree,0,1,simple,no,evergreen,,700,677,20,40,90,20,40,14,20,6,8,
Garcinia Claudie-River,tree,1,0,simple,no,evergreen,,700,677,8,70,110,30,50,8,13,6,8,3
Garcinia Davies-Creek,tree,0,1,simple,no,evergreen,,700,677,30,50,110,15,30,22,32,8,10,
Garcinia dulcis,tree,0,1,simple,no,evergreen,,700,677,20,105,250,50,120,20,30,8,10,
Garcinia gibbsiae,tree,0,1,simple,no,evergreen,,700,677,12,70,180,40,90,5,18,3,7,
Garcinia mestonii,tree,0,1,simple,no,evergreen,,700,677,6,55,75,15,25,13,25,5,6,
Garcinia Mossman,tree,0,1,simple,no,evergreen,,,,5,110,260,50,83,18,20,6,8,
Garcinia riparia,tree,1,1,simple,no,evergreen,,700,677,10,70,130,30,65,9,10,6,8,3
Garcinia warrenii,tree,0,1,simple,no,evergreen,,700,677,15,70,180,40,80,32,35,15,18,
Mammea touriga,tree,0,1,simple,no,evergreen,750,750,677,40,100,220,40,75,40,45,30,33,
Mesua Boonjee,tree,0,1,simple,no,evergreen,,,677,14,40,110,10,30,20,22,20,22,12
Mesua larnachiana,tree,1,1,simple,no,evergreen,,,677,15,150,240,40,100,20,26,20,22,12
Dansiea elliptica,tree,1,0,simple,no,deciduous,,,550,35,30,85,10,35,3,5,3,4,
Dansiea grandiflora,tree,1,0,simple,no,evergreen,,,,10,13,60,8,30,3,5,3,4,
Lumnitzera littorea,tree,1,0,simple,no,evergreen,,,,10,20,80,10,25,5,7,2,3,
Lumnitzera racemosa,tree,1,0,simple,no,evergreen,,,,10,20,97,10,25,5,7,2,3,
Macropteranthes fitzalanii,tree,1,0,simple,no,evergreen,,,,15,15,40,10,30,5,7,3,4,
Macropteranthes leiocaulis,tree,1,0,simple,no,evergreen,,,,25,9,80,4,23,5,7,3,4,
Macropteranthes montana,tree,1,0,simple,no,evergreen,,,550,15,3,11,1,4,5,7,3,4,
Terminalia arenicola,tree,0,1,simple,no,deciduous,,550,550,11,100,200,60,145,20,28,12,20,
Terminalia aridicola-chillagoensis,tree,0,1,simple,no,deciduous,,550,550,10,45,150,30,70,10,20,10,16,
Terminalia catappa,tree,0,1,simple,no,deciduous,,550,550,40,100,330,70,170,40,65,20,40,12
Terminalia complanata,tree,1,1,simple,no,deciduous,,550,550,45,50,110,20,40,12,20,12,18,8
Terminalia erythrocarpa,tree,1,1,simple,no,deciduous,,,,20,90,200,20,60,10,12,5,8,6
Terminalia melanocarpa,tree,0,1,simple,no,deciduous,,,,15,45,120,30,75,22,25,10,11,6
Terminalia muelleri,tree,1,1,simple,no,deciduous,,550,550,18,50,150,25,80,9,15,6,10,
Terminalia oblongata-oblongata,tree,0,1,simple,no,deciduous,,,,15,15,100,25,65,10,12,5,6,
Terminalia petiolaris,tree,1,1,simple,no,deciduous,,,,10,65,140,40,70,8,12,5,6,
Terminalia platyphylla,tree,0,1,simple,no,deciduous,,550,550,20,70,220,50,140,16,28,5,10,
Terminalia platyptera,tree,0,1,simple,no,deciduous,,,,15,40,85,15,50,20,25,6,8,
Terminalia porphyrocarpa,tree,1,1,simple,no,deciduous,,,,18,30,100,18,70,7,15,5,11,
Terminalia sericocarpa,tree,1,1,simple,no,deciduous,550,550,550,40,60,135,30,60,10,14,5,6,
Terminalia subacroptera,tree,1,1,simple,no,deciduous,,550,550,16,50,130,30,75,5,11,4,9,
Alangium Claudie-River,tree,0,1,simple,no,evergreen,,570,570,25,50,140,20,45,12,13,6,7,
Alangium villosum-polyosmoides,tree,0,1,simple,no,evergreen,570,570,570,20,35,200,10,90,10,17,5,7,
Corynocarpus cribbianus,tree,0,1,simple,no,evergreen,,560,560,25,80,150,40,70,23,35,23,35,
Corynocarpus rupestris-arborescens,tree,0,1,simple,no,evergreen,,,,20,80,150,40,60,20,35,15,20,7
Corynocarpus rupestris-rupestris,tree,0,1,simple,no,evergreen,,,,20,80,150,40,60,20,35,15,20,3
Acsmithia davidsonii,tree,1,0,simple,no,evergreen,,,553,15,20,140,12,65,2,2,1,1,
Anodopetalum biglandulosum,tree,1,0,simple,no,evergreen,,,,12,15,60,5,18,5,6,3,4,
Ceratopetalum apetalum,tree,1,0,simple,no,evergreen,537.5,,,40,60,120,20,50,1,2,1,1,
Ceratopetalum macrophyllum,tree,1,0,simple,no,evergreen,,576,563,20,55,290,28,105,2,2,2,2,
Pullea stutzeri,tree,1,0,simple,no,evergreen,650,650,553,30,90,200,35,85,1,1,1,1,
Schizomeria ovata,tree,1,1,simple,no,evergreen,520,540,553,35,50,150,20,60,9,11,6,8,
Schizomeria whitei,tree,0,1,simple,no,evergreen,560,540,553,30,70,190,40,80,9,12,6,8,
Athrotaxis cuppressoides,tree,1,1,simple,no,evergreen,,,,12,3,4,2,2,2,2,1,2,
Athrotaxis selaginoides,tree,1,1,simple,no,evergreen,,,,35,8,12,2,3,2,2,1,2,
Athrotaxis laxifolia,tree,1,1,simple,no,evergreen,,,,10,4,6,2,3,2,2,1,2,
Callitris baileyi,tree,1,1,simple,no,evergreen,,,,20,2,5,1,2,4,6,3,4,3
Callitris glaucophylla,tree,1,1,simple,no,evergreen,,,,20,1,3,1,1,4,7,3,5,2
Callitris intratropica,tree,1,0,simple,no,evergreen,,470,470,30,1,2,1,2,4,5,2.5,2.5,
Dillenia alata,tree,1,0,simple,no,evergreen,520,520,520,15,110,230,60,130,4,4,4,4,
Hibbertia banksii,shrub,1,0,simple,yes,evergreen,,,520,3,35,115,5,45,3,3,2,2,
Hibbertia hexandra,shrub,1,0,simple,no,evergreen,,,,5,20,60,10,26,1,2,1,2,
Hibbertia melhanioides,shrub,1,0,simple,yes,evergreen,,,520,1.5,12,55,7,20,2,2,2,2,
Diospyros australis,tree,1,0,simple,no,evergreen,,,,20,30,100,15,40,8,10,6,8,
Diospyros Baird,tree,1,0,simple,no,evergreen,,616,616,6,40,100,8,20,8,9,4,5,
Diospyros Bamaga,shrub,1,0,simple,no,evergreen,,616,616,6,30,100,15,45,8,9,4,5,
Diospyros calycantha,tree,1,1,simple,no,evergreen,,616,616,20,50,120,25,45,10,12,2,3,
Diospyros compacta,tree,1,0,simple,no,evergreen,,616,616,11,20,100,15,50,5,7,3,4,3
Diospyros cordifolia,shrub,1,1,simple,no,evergreen,,,,4,65,90,20,35,12,15,5,7,4
Diospyros cupulosa,tree,0,1,simple,no,evergreen,,616,616,12,65,120,30,40,10,14,3,4,
Diospyros elllipticifolia-ebenus,tree,1,1,simple,no,evergreen,,,,6,40,70,20,40,5,8,4,5,3
Diospyros fasciculosa,tree,1,1,simple,no,evergreen,690,616,616,30,60,150,15,60,10,12,3,4,
Diospyros humilis,tree,1,0,simple,no,evergreen,,616,616,15,15,40,2,12,6,9,4,5,
Diospyros Kuranda,shrub,1,1,simple,no,evergreen,,,,5,35,95,15,25,9,10,3,5,
Diospyros littorea,tree,1,1,simple,no,evergreen,,,,15,35,95,20,45,8,10,4,5,
Diospyros mabacea,tree,0,1,simple,no,evergreen,,,,25,80,150,30,55,15,20,5,7,4
Diospyros maritima,tree,0,1,simple,no,evergreen,,616,616,15,70,280,30,105,10,10,5,7,
Diospyros Millaa-Millaa,shrub,1,1,simple,no,evergreen,,616,616,2,75,200,30,70,8,8,4,6,3
Diospyros MtLewis,tree,0,1,simple,no,evergreen,,616,616,20,40,100,18,35,9,10,3,5,
Diospyros MtSpurgeon,tree,0,1,simple,no,evergreen,,616,616,20,50,90,20,30,10,10,4,5,
Diospyros MtWhite,tree,1,0,simple,no,evergreen,,616,616,7,15,60,8,33,6,9,3,5,
Diospyros pentamera,tree,1,1,simple,no,evergreen,569,616,616,20,30,110,10,50,7,10,3,4,
Diospyros Swipers-Flat,tree,0,0,simple,no,evergreen,,616,616,18,65,130,22,72,10,12,4,5,3
Aceratium concinnum,tree,1,0,simple,no,evergreen,580,570,513,25,45,120,20,45,8,10,4,5,
Aceratium megalospermum,tree,1,1,simple,no,evergreen,510,570,513,12,30,115,8,30,8,8,5,6,
Elaeocarpus coorangooloo,tree,1,1,simple,no,evergreen,500,524,513,35,55,120,30,70,10,12,6,7,
Elaeocarpus culminicola,tree,1,1,simple,no,evergreen,,524,513,25,50,130,20,60,10,12,8,10,
Elaeocarpus elliffii,tree,1,0,simple,no,evergreen,,524,513,36,60,90,15,35,10,12,7,9,
Elaeocarpus eumundi,tree,1,0,simple,no,evergreen,650,524,513,30,40,200,15,50,10,16,5,8,
Elaeocarpus ferruginiflorus,tree,1,1,simple,no,evergreen,,524,513,25,35,60,15,35,10,14,6,8,
Elaeocarpus foveolatus,tree,0,1,simple,no,evergreen,316,524,513,30,30,140,15,35,12,15,8,10,
Elaeocarpus grahamii,tree,1,1,simple,no,evergreen,,524,513,20,80,170,25,60,7,9,4,5,
Elaeocarpus johnsonii,tree,0,1,simple,no,evergreen,550,524,0,18,80,200,40,110,20,29,10,16,
Elaeocarpus kirtonii,tree,1,0,simple,no,evergreen,580.5,,,45,70,200,20,40,5,7,3,4,
Elaeocarpus largiflorens-largiflorens,tree,0,1,simple,no,evergreen,400,524,513,23,55,180,35,100,15,18,8,10,
Elaeocarpus Mossman-Bluff,tree,1,0,simple,no,evergreen,,524,513,15,50,100,10,25,12,14,8,10,
Elaeocarpus MtBellenden-Ker,tree,1,0,simple,no,evergreen,,524,513,35,40,90,18,35,10,12,6,8,
Elaeocarpus reticulatus,tree,1,0,simple,no,evergreen,632.1,,,15,50,130,10,30,4,5,4,5,
Elaeocarpus ruminatus,tree,1,1,simple,no,evergreen,,524,513,30,50,150,25,45,10,12,8,10,
Elaeocarpus sedentarius,tree,1,1,simple,no,evergreen,516,,,35,70,150,40,80,4,5,3,4,
Elaeocarpus sericopetalus,tree,1,1,simple,no,evergreen,600,524,513,20,60,100,15,30,10,15,8,10,
Elaeocarpus stellaris,tree,0,1,simple,no,evergreen,,524,513,25,80,180,40,90,45,57,30,45,
Elaeocarpus thelmae,tree,0,1,simple,no,evergreen,,524,513,35,55,110,32,50,15,19,9,10,
Elaeocarpus williamsianus,tree,1,1,simple,no,evergreen,,,,20,90,170,20,50,10,14,5,8,
Elaeocarpus Windsor-Tableland,tree,1,1,simple,no,evergreen,,524,513,20,60,125,20,45,15,17,8,10,
