Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data
Acacia brownii,3723,,,,,Fabaceae: Mimosoideae,D,S,Rs,Variable (39),basal,a-persistent soil,,,,good,hard seed coat,heat,,,,,,Aug-Nov,Aug-Nov,,,,,,,,,,,,,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V,DSF OW H S,,,,,,,1,1,,,,,,,9BN,VIII&IX-39; V-134,1; 93a,VSI,2,1,,,,,,3,2,4,4,5,4
Acacia brunioides subsp. brunioides,6498,,,n,,Fabaceae: Mimosoideae,D,S,S,,,soil,,,,,,,,,,,,,,,4,,,,,,,,,,,1,-,-,1,-,-,-,-,-,-,-,-,-,Q,,,,,,,1,1,,,,,,,,,II,,SI,2,1,4,,,,,1,2,4,4,5,4
Acacia bulgaensis,8601,,,,,Fabaceae: Mimosoideae,D,S or T,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,,,Sep-Dec; seed drop Dec-Feb,Sep-Dec,Dec-Feb,,,5-Mar,,,c. 20-40,,,,8-10 (mod-high intensity),,1,-,-,-,-,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,II-66,71,SI,2,1,3,10,20,40,70,1,2,2,3,1,2
Acacia burbidgeae,3725,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,ant,,,76%,hard seed coat,heat,,,abundant,,,June-Sep; seed mature by Dec,Jun-Sep,Dec,,,,,,,,,,5,20,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,OF W,,,,,,,1,,,,1,,,,,II-69; II-100; II-134,69; 93b,SI,2,1,,5,,20,50,1,2,2,4,3,2
Acacia burkittii,8242,,,,Acacia acuminata subsp. burkittii,Fabaceae: Mimosoideae,D,S,R,,,a-persistent soil,,,,good,hard seed coat,heat,,,,,,any time of year,all year,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,1,1,1,Q SA WA NT,Mulga H,,,,,,,,,,,,,,1,9CH,,93a,VSI,2,1,,,,,,1,2,4,4,5,4
Acacia buxifolia,3727,,,,subsp. unspecified,Fabaceae: Mimosoideae,D,S,Rs,Post-fire abundance increase (P),root suckers,a-persistent soil,,,,good,hard seed coat,heat,,,yes,,,Jul-Nov,Jul-Nov,,,2,,,,,,,,,,1,1,-,1,1,1,1,1,1,1,1,-,-,Q V,DSF W H,,,,,,,1,1,,,,,1,1,9P 5PU 4PU,II-69,87; 93a; P,VSI,2,1,2,,,,,3,2,1,4,5,4
Acacia buxifolia subsp. pubiflora,9282,,,,,Fabaceae: Mimosoideae,D,S,R,,basal buds,a-persistent soil,,,,,hard seed coat,a-heat,,,<1 seedling per adult,,,Jul-Nov,Jul-Nov,,,,,,,,,,,,,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,DSF W H,,,,,,,1,1,,,,,,,,IX-100; V-134,100,VSI,2,1,,,,,,2,2,4,4,5,4
Acacia calamifolia,3730,,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,22 sd/g,,hard seed coat,heat,,,,,,Oct-Nov,Oct-Nov,,,,,,,,,,,,,-,-,-,-,-,-,1,1,1,-,1,1,-,V SA,swamp OH W,,,,,,,,,,1,1,,1,1,8CH,,"93a,b",SI,2,1,,,,,,2,2,4,4,5,4
Acacia calcicola,7524,,,,,Fabaceae: Mimosoideae,D,T,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,Aug-Dec,Aug-Dec,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,1,-,Q SA WA NT,Mulga Belah,,,,,,,,,,,,,1,1,8PL,,,SI,2,1,,,,,,2,2,4,4,5,4
Acacia capitata,n/a,,?,,Not in PlantNet,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,II-66,,E,5,5,,,,,,5,4,4,4,5,4
Acacia cheelii,3738,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,,,Aug-Nov,Aug-Nov,,,,,,,,,,,,,-,-,-,1,1,-,1,1,-,1,-,-,-,-,DSF,,,,,,,1,,,,,,1,,,II-66,,SI,2,1,,,,,,1,2,4,4,5,4
Acacia chrysotricha,3739,E1,,,,Fabaceae: Mimosoideae,D,T,S,,,persistent soil,,,,,hard seed coat,heat,,,,,,Jul-Aug,Jul-Aug,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,RF WSF,1,1,,,,,,,,,,,,,,II-R36,93b,SI,2,1,,,,,,1,2,4,4,5,4
Acacia cognata,3742,,,,,Fabaceae: Mimosoideae,D,T,R,,basal,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,Jul-Oct,Jul-Oct,,,,,,,,,,,,,-,1,1,-,-,1,-,-,-,-,-,-,-,V,OF W RF WSF,1,1,,,,,1,,,,,,,,,V-38a,,VSI,2,1,,,,,,1,2,4,4,5,4
Acacia colletioides,3743,,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,,83.70%,hard seed coat,heat,,,,,,Jul-Oct,Jul-Oct,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1,1,1,1,V SA WA,W,,,,,,,1,,,,,,1,1,8C,,"93a,b",SI,2,1,,,,,,2,2,4,4,5,4
Acacia constablei,3747,V,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,I (R35) / even aged stands indicate post fire recruitment; though some recruitment in absence of fire (R15),,June-Aug (a few specimens in Feb-Mar),Jun-Aug,,,,,,,short?,,,,15,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,LS,,,,,,,,1,,,,,,,,II-R15; II-R35,R15; R35,SI,2,1,,15,S,,35,1,1,2,2,4,2
Acacia costiniana,3750,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,75.9-77.2 sd/g,,hard seed coat,heat,,,,I,,Aug-Oct,Aug-Oct,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,DSF W H,,,,,,,1,1,,,,,,,,II-R35,93b; R35,SI,2,1,,,,,,1,1,4,4,5,4
Acacia courtii,555,V,,,,Fabaceae: Mimosoideae,D,T,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,,,Nov-Jan,Nov-Jan,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,DSF,,,,,,,1,,,,,,,,,II-R36,,SI,2,1,,,,,,1,2,4,4,5,4
Acacia cowleana,3752,,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,,89%,hard seed coat,heat,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,-,-,NT Q WA,,,,,,,,,,,,,,,1,8WI 8FO(1) 8PL,,93b,SI,2,1,,,,,,2,2,4,4,5,4
Acacia curranii,3755,V,,,,Fabaceae: Mimosoideae,D,S,R,,root suckers,a-persistent soil,,,,,hard seed coat,no seedlings have been recorded from any site and attempts to germinate seeds after pre-sowing treatment have been largely unsuccessful,,,post-fire pulse,,,Aug-Sep,Aug-Sep,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,1,-,-,Q,Acacia-S Mallee,,,,,,,,,,,,,,1,,IV-72,72,VSI,2,1,,,,,,1,2,4,4,5,4
Acacia dallachiana,3756,,,,,Fabaceae: Mimosoideae,D,T,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,Oct-Mar,Oct-Mar,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,V,subalpine-F montane-F,,,,1,,,,,,,,,,,8CE,,,SI,2,1,,,,,,2,2,4,4,5,4
Acacia dawsonii,3757,,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,,,hard seed coat,heat,,,,,,Aug-Oct,Aug-Oct,,,,,,,,,,,,,-,-,-,1,1,1,1,1,-,-,-,-,-,Q V,OW G,,,,,1,1,,,,,,,,,8CE,VIII-74?; VIII-R41,93b,SI,2,1,,,,,,2,2,4,4,5,4
Acacia dealbata,3758,,,,,Fabaceae: Mimosoideae,D,T,Sr,,root suckers / basal,persistent soil,,,72-79 sd/g,average-good; 93%,hard seed coat,heat / scarification,,,<1 seedling per adult,stimulated by fire,,Jul-Nov,Jul-Nov,,5,,6,10,,20,100,5,50,,,-,-,-,1,1,1,1,1,1,-,1,-,-,V T,OF WSF,,1,1,1,,1,1,,,,,,1,,8W 2GB 8WO 8WA,IVb-38a; IV&V-38d; IX-67; II-100; II-134,"1; 35; 38; 93a, b; 98; 100; 101a",SI,2,1,5,6,20,,120,3,1,1,1,1,1
Acacia deanei subsp. deanei,8269,,,,,Fabaceae: Mimosoideae,D,S or T,S,,,persistent soil,,,38-41.4 sd/g,,hard seed coat,heat / scarification,,,yes,,,any time of year,all year,,,,,,,,,,,,,-,-,-,1,-,-,1,1,1,1,1,-,-,Q,sclerophyll communities,,,,1,,,1,,,,,,1,,,II-R39,93b; R39,SI,2,1,,,,,,1,2,4,4,5,4
Acacia deanei subsp. paucijuga,7482,,,,,Fabaceae: Mimosoideae,D,S or T,S,,,a-persistent soil,,,,,hard seed coat,heat,,,,,,any time of year,all year,,,,,,,,,,,,,-,-,-,1,1,1,1,1,1,1,1,-,-,V,sclerophyll communities,,,,,,1,1,,,,,,1,,8CE,,93b,SI,2,1,,,,,,2,2,4,4,5,4
Acacia decora,3761,,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,107.8-110.3 sd/g,,hard seed coat,heat / scarification,,,,,,Apr-Oct,Apr-Oct,,,,,,,,,,,,,1,1,-,1,1,1,1,1,1,1,1,-,1,Q V,grassy OF,,,,,,1,,,,,,,1,,8CE,,93b,SI,2,1,,,,,,2,2,4,4,5,4
Acacia decurrens,3762,,,,,Fabaceae: Mimosoideae,D,T,S,,,persistent soil,,,,93%,hard seed coat,heat / scarification,,,,I,,Jul-Dec,Jul-Dec,,,,,,,15-30,,,,,,1,1,1,-,1,1,-,1,-,-,-,-,-,-,OF W,,,,,,,1,,,,1,,,,,VIII-39?; II-49,1; 93b,SI,2,1,,,15,30,60,1,1,4,1,1,2
Acacia difformis,3763,,,,,Fabaceae: Mimosoideae,D,T or S,S,,,persistent soil,,,13 sd/g,,hard seed coat,heat,,,,,,Dec-Jan,Dec-Jan,,,,,,,,,,,,,-,-,-,-,1,-,1,1,1,-,1,-,-,V,DSF W Mallee,,,,1,,,1,1,,,,,1,1,2H,,93b,SI,2,1,,,,,,1,2,4,4,5,4
Acacia echinula,3767,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,,,Jul-Sep,Jul-Sep,,,,,,,,,,,,,1,1,1,-,1,-,-,1,-,-,-,-,-,-,DSF H,,,,,,,1,1,,,,,,,,VIII-39; II-66,,SI,2,1,,,,,,1,2,4,4,5,4
Acacia elata,3768,,,,,Fabaceae: Mimosoideae,D,T,S,,,persistent soil,,,22-26 sd/g,,hard seed coat,heat,,,,,,Dec-Feb,Dec-Feb,,,,,,,50?,,,,,,1,1,-,1,1,-,-,-,-,-,-,-,-,,TOF RF WSF,1,1,1,,,,,1,,,,,,,2BF,II-66,1; 93b,SI,2,1,,,50,,>80,1,2,4,3,3,2
Acacia elongata,3769,,,,var. unspecified,Fabaceae: Mimosoideae,D,T or S,Sr,Variable (39),basal,persistent soil,,,,,hard seed coat,heat >80,,,,I,,Jul-Oct,Jul-Oct,,,,,,,,,,,,,1,1,1,-,1,1,1,1,-,-,-,-,-,V,H W,,,,,,,1,1,,,,,,,8A? 9BN,VIII&IX-39; II-66,1; A,SI,2,1,,,,,,3,1,4,4,5,4
Acacia falcata,3771,,,,,Fabaceae: Mimosoideae,D,T or S,S,,,persistent soil,,,72-74 sd/g,good,hard seed coat,heat / scarification (93) / heat 50 deg (98),,,,I,,Apr-Aug,Apr-Aug,,2,,,,,20-May,,,,,,1,1,1,1,1,-,-,1,-,-,-,-,-,Q,OF,,,,,,,1,,,,,,,,2F,VIII-39; II-66,"1; 93a,b; 98",SI,2,1,2,,5,20,50,1,1,1,2,1,2
Acacia falciformis,3772,,,,,Fabaceae: Mimosoideae,D,S or T,Rs,,root suckers,persistent soil,,,,,hard seed coat,heat,,,yes (95) / >1 seedling per adult (100),,,Jul-Jan,Jul-Jan,,,,,,,,,,,,,1,1,1,1,1,1,1,1,-,-,1,-,-,Q V,DSF W,,,,,,,1,,,,,,1,,9M,IVb-38a; II-49; IX-95a; IX-100; VIII-108; IV-134,"1; 93a,b; 95; 100",VSI,2,1,,,,,,3,2,4,4,5,4
Acacia filicifolia,3773,,,c,,Fabaceae: Mimosoideae,D,T,Sr,Variable (100),root buds,persistent soil,,,,95%,hard seed coat,heat,,,<1 seedling per adult,I,,Jul-Oct,Jul-Oct,,,,,,,,,,,,,1,1,1,1,1,-,1,1,-,-,-,-,-,Q,DSF,,,,,,1,1,,,,,,,,,II-66; II&IX-100; IV-134,1; 93b; 100,SI,2,1,,,,,,3,1,4,4,5,4
Acacia fimbriata,3774,,,,,Fabaceae: Mimosoideae,D,S or T,S,,,persistent soil,,,67-104sd/g,average,hard seed coat,heat / scarification,,,>1 seedling per adult,,,"Jul-Oct, peak Sep, fruit Nov-Jan",Jul-Oct,Nov-Jan,,,,,,,,,,,,1,1,-,1,1,1,1,-,-,-,-,-,-,Q,DSF W,,,,,,,1,,,,,,,,,II-100; II-134,93a; 100,SI,2,1,,,,,,1,2,4,4,5,4
Acacia floribunda,3777,,,,,Fabaceae: Mimosoideae,D,S,S/R,"Some plants killed some resprout, Old plants may be killed while young may resprout (1)",basal,persistent soil,ant,,,,hard seed coat,heat,,,,I,,Jun-Sep,Jun-Sep,,4-Mar,2.5,,,,25-60,,,,,,1,1,1,1,1,1,-,1,-,-,-,-,-,Q V,OF F riparian S,,,,,,,1,,,,1,,,,8BN 5BF,V-35b; II-49; II-66; V-76; V-134,"1; 93a,b",SI,2,1,3,4,25,60,90,3,1,1,2,1,2
Acacia fulva,3780,,,,,Fabaceae: Mimosoideae,D,T,S,"Weak resprouter, no resprouting seen after high intensity fire (71)",,persistent soil,,,,,hard seed coat,heat,,,yes; no seedlings in unburnt areas,I,,Jan-Mar,Jan-Mar,,,,3-5 (min),,,c. 20-30,,,,8-10 (mod-high intensity),,1,1,-,-,-,-,-,1,-,-,-,-,-,-,DSF,,,,,,,1,,,,,,,,,II-66; II-71,71; 93b,SI,2,1,3,10,20,30,60,1,1,1,3,1,2
Acacia genistifolia,3781,,,,,Fabaceae: Mimosoideae,D,S,S,Post-fire abundance increase (85),,persistent soil,,,,good,hard seed coat,heat,,,,,,Jul-Oct,Jul-Oct,,3,,,,,,,,,,,-,1,1,-,1,1,-,1,1,-,1,-,-,V T,OF,,,,,,,1,,,,,,1,,2G 8W 8P 2PU 8PU 2PY 8WA,II-38b&c,"38; 48; 85; 93a,b; P",SI,2,1,3,,,,,1,2,1,4,5,4
Acacia georgensis,3782,V,,,,Fabaceae: Mimosoideae,D,T,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,I,,Aug-Oct,Aug-Oct,,,,,,,long,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,H,,,,,,,,1,,,,,,,,II-38a; II-R15,R15; R35,SI,2,1,,,L,,90,1,1,4,2,4,2
Acacia gordonii,7229,E1,,,,Fabaceae: Mimosoideae,D,S,R,,,persistent soil,,,,,hard seed coat,a-heat,,,,I,,Aug-Sep,Aug-Sep,,,,,,,,,,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,H OW,,,,,,,1,1,,,,,,,9BF,IXb-1,1,VSI,2,1,,,,,,1,1,4,4,5,4
Acacia granitica,3784,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,>1 seedling per adult,,,Jul-Oct,Jul-Oct,,,,,,,,,,,,,1,-,-,1,-,-,1,-,-,-,-,-,-,Q,H,,,,,,,,1,,,,,,,,II-69; II-100; II-134,100,SI,2,1,,,,,,1,2,4,4,5,4
Acacia gunnii,3785,,,,,Fabaceae: Mimosoideae,D,S,Sr,IX-100? (inferred from morphology); Post-fire abundance decrease (P),,persistent soil,,,,good,hard seed coat,heat,,,yes,,,Jul-Oct,Jul-Oct,,,2,,,,,,,,,,-,-,1,1,1,1,1,1,1,-,-,-,-,Q V T SA,sclerophyll communities,,,,,,,1,,,,,,,,2H 9P,II-38c; IX-100?; V-134,93a; P,SI,2,1,,,,,,3,2,4,4,5,4
Acacia hakeoides,3786,,,,,Fabaceae: Mimosoideae,D,S,R,,,a-persistent soil,,,34.7-38.6 sd/g,very good,hard seed coat,heat / scarification,,,,,,Jul-Nov,Jul-Nov,,,,,,,,,,,,,-,-,-,-,1,1,1,1,1,1,1,1,-,Q V SA WA,W Mallee,,,,1,,,1,,,,,,1,1,9C,,"93a,b",VSI,2,1,,,,,,1,2,4,4,5,4
Acacia harpophylla,3788,,,,,Fabaceae: Mimosoideae,D,T,R,,root suckers,a-persistent soil,,,28.2 sd/g,poor-very good,hard seed coat,soak (cold or hot),,,,,,Jul-Oct,Jul-Oct,,,,,,,,,,,,,-,-,-,-,-,-,1,1,-,1,1,-,-,Q,S LF OF,,,,,,,1,,,,,,1,1,4ME,,"93a,b",VSI,2,1,,,,,,1,2,4,4,5,4
