genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,joined
Acacia,Acacia acanthaster,"rigid, dense, intricate, domed shrub 0.2-0.5 m high, 1-2.5 m diam.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)"
Acacia,Acacia acanthoclada,"harsh, intricate, spreading shrub 0.3-2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)"
Acacia,Acacia acanthoclada subsp. acanthoclada,shrub 0.3-2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018)"
Acacia,Acacia acanthoclada subsp. glaucescens,shrub 0.8-1.5 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018)"
Acacia,Acacia acellerata,rigid shrub 0.3-0.6 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: Edited by A.E. Orchard (editorial assistance, December 2017), P.G. Kodela (ed. December 2017)"
Acacia,Acacia acinacea,"bushy or straggly open shrub, commonly to circa 2.5 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy open,bushy open,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018, December 2019)"
Acacia,Acacia aciphylla,dense shrub to 1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Author: R.S. Cowan; Editor: P.G. Kodela; Editor: A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)"
Acacia,Acacia acoma,"open, somewhat gangling, glabrous shrub 0.5-2.5 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor edits,  June 2012), A.E. Orchard (editorial assistance, December 2017), P.G. Kodela (ed. December 2017)"
Acacia,Acacia acradenia,"shrub 1-4 (-7.5) m high, ± obconic and commonly spindly.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spindly,spindly,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: P.G. Kodela; Contributor: B.R. Maslin (editorial assistance, June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017); Acknowledgements: B.R. Maslin (ed. June 2012); A.E. Orchard (ed. December 2017); P.G. Kodela (ed. December 2017)Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001)."
Acacia,Acacia acrionastes,"spindly, glabrous shrub or tree 2-8 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly,spindly,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: B.R. Maslin & J. Rogers (ed. June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)"
Acacia,Acacia acuaria,"diffuse, muchbranched shrub to circa 1.5 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, December 2017); B.R. Maslin (updated March 2018); P.G. Kodela (ed. December 2017, April 2020)"
Acacia,Acacia aculeatissima,"diffuse shrub, prostrate, to 0.5 m high, rarely taller.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate,prostrate,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018)"
Acacia,Acacia aculeiformis,prostrate intricate shrub forming mats to 2 m across.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,mat-forming prostrate,forming mats prostrate,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia acuminata,obconic shrub or tree  (2-) 3-7 (-10) m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin & P.G. Kodela; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia acutata,"intricate, often compact, glabrous shrub to 0.5 (-1) m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,compact,compact,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: J. Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, January 2018); PG. Kodela (ed. January 2018)"
Acacia,Acacia adenogonia,erect to sprawling shrub 1-2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect sprawling,erect sprawling,woody,NA,"Author: R.S. Cowan; Editor: P.G. Kodela; Contributor: J.E. Reid & J. Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia adinophylla,"rather dense, intricate shrub to 1.5 m high, commonly ± prostrate, hirtellous to puberulous or infrequently glabrous.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate dense,prostrate dense,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: J. Rogers (minor edits, June 2012); P.G. Kodela (ed. December 2017, June 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia adjutrices,multi-stemmed subshrub normally 0.3-0.7 m high.,NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,NA,NA,NA,NA,Author: B.R. Maslin; Editor: P.G. Kodela
Acacia,Acacia adnata,shrub.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan & M.A. Lewington; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia adoxa,"dense, procumbent shrub to 0.5 (-1.5) m high and circa 1 m diam. across.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate dense,procumbent dense,woody,NA,"Author: A.S. George; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia adoxa var. adoxa,"compact shrub, crowns smoky grey or blue to grey-green or blue-green.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,compact,compact,woody,NA,"Author: A.S. George; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia adoxa var. subglabra,"spreading shrub, often straggly with somewhat wiry, entangled branches;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: A.S. George; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia adsurgens,"spreading, multi-stemmed shrub mostly 1-4 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018); Acknowledgements: Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001)."
Acacia,Acacia adunca,bushy shrub or tree to 6 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy,bushy,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia aemula,"branched  subshrub 0.2-0.4 m high, commonly ± prostrate.",NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,prostrate,prostrate,NA,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia aestivalis,bushy shrub or tree to circa 3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy,bushy,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: J. Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia alata,muchbranched shrub to circa 2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia alata var. alata,shrub 0.5-1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia alata var. biglandulosa,shrub 0.5-1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia alata var. platyptera,"shrub 0.5-1 m high, forming dense clumps to circa 1 m across.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia alata var. tetrantha,"shrub 0.3-0.6 m high, spreading to 1.5 m across.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia alaticaulis,spindly or straggly shrub to small tree to 4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly,spindly,woody,NA,Author: P.G. Kodela; Editor: P.G. Kodela
Acacia,Acacia alcockii,"bushy shrub to circa 3 m high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy,bushy,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia alexandri,glabrous shrub 1.5-3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia alleniana,spindly open shrub or tree to 5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly open,spindly open,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia alpina,"shrub 0.5-2 m high, 1-10 m wide, sometimes almost prostrate, tangled.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate,prostrate,woody,NA,"Author: A.B. Court, B.R. Maslin & P.G. Kodela; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia amanda,"erect shrub 0.4-1 (-2) m high, often multi-stemmed.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,"Author: G.J. Leach; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia amblygona,"sprawling shrub to circa 1 m high, sometimes prostrate.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate sprawling,prostrate sprawling,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia amblyophylla,"bushy shrub or tree 1.5-4 m high, multi-stemmed, crowns dense,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,dense bushy,dense bushy,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia amentifera,shrub to 3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: P.G. Kodela, B.R. Maslin & R.S. Cowan; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018, 2020); A.E. Orchard (ed. January 2018); Acknowledgements: The description and other information about this species has been updated based largely on details and photographs provided by Ben Wirf & Nicholas Cuff arising from the plant's rediscovery in 2018."
Acacia,Acacia ammobia,"shrub or small tree, 1.5-7 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: B.R. Maslin, P.G. Kodela; Contributor: B.R. Maslin, J.E. Reid & J. Rogers (editorial assistance, June 2012); P.G. Kodela (ed. January 2018), A.E. Orchard (editorial assistance, January 2018); Acknowledgements: Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001)."
Acacia,Acacia ammophila,tree to ± 6 m high.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia amoena,shapely shrub 1-4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia ampliata,shrub or small tree 2-5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia ampliceps,"bushy, rather untidy, large shrub or small tree commonly 3-5 m high, sometimes 6-7 (-9) m high, occasionally prostrate.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,prostrate bushy,prostrate bushy,woody,NA,"Author: A.R. Chapman & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia amputata,muchbranched subshrub 0.3-0.6 m high.,NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,NA,NA,NA,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018);  A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia amyctica,obconic shrub 0.7-1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)."
Acacia,Acacia anarthros,subshrub 0.2-0.5 m high.,NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,NA,NA,NA,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia anasilla,erect shrub to 2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Author: A.S. George; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018)
Acacia,Acacia anastema,"tree to 6 m high, obconical, ± resinous.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018); Acknowledgements: Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001)."
Acacia,Acacia anaticeps,shrubby tree to 7 m high.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia anceps,bushy spreading shrub to circa 3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018, July 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia ancistrocarpa,"fastigiate, multi-stemmed shrub 1.5-4 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: B.R. Maslin & P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018); Acknowledgements: Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of a number of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001)."
Acacia,Acacia ancistrophylla,"dense shrub 0.6-2.5 m high, rarely obconic tree.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,dense,dense,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia ancistrophylla var. ancistrophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: B.R. Maslin & Jemima Rogers (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia ancistrophylla var. lissophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: B.R. Maslin & Jemima Rogers (ed. June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia ancistrophylla var. perarcuata,"rounded or obconic shrubs 0.6-1.6 m high, spreading to 6 m across.",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia andrewsii,"intricate, spreading shrub to 2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)"
Acacia,Acacia aneura,"shrub or tree 2.5-7 (-10 m) high, often multistemmed with bushy crowns, rarely with a conifer or pseudo-confier growth form.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy,bushy,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela
Acacia,Acacia aneura var. aneura,shrub or tree to 4 (-6) m tall.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: L. Pedley
Acacia,Acacia aneura var. major,tree to 14 m tall.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: L. Pedley
Acacia,Acacia anfractuosa,"shrub or tree 2-4 m high, diffuse, open, rather spindly.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly open,spindly open,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: J.E. Reid (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia angusta,tree or shrub 3-6 (-10) m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)"
Acacia,Acacia anomala,"erect  subshrub, 0.2-0.45 m high, few- or several-stemmed from base, sometimes with a few bipinnate leaves persistent near base of stems.",NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,erect,erect,NA,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor edits, June 2012); P.G. Kodela (ed. January 2018); A.E. Orchard (eeditorial assistance, January 2018)"
Acacia,Acacia anthochaera,"dense, commonly rounded, multistemmed, glabrous shrub or tree 2-5 m high, sometimes to 7 m.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,dense,dense,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. February 2018)"
Acacia,Acacia aphanoclada,"wispy glabrous shrub 3-6 m high, crown sparse;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, January 2018), P.G. Kodela (ed. January 2018, 22 August 2022)"
