site,Species,SLA,leaf thickness (mm),leaf N (mg/g),leaf P (mg/g),LMA,Leaf Area (mm2),Leaf type
Millbrook Reserve & nearby,Hakea laurina,35.5,0.46,6.58,0.37,281.5,949.5,broadleaf
Millbrook Reserve & nearby,Hakea preissii,14.1,1.98,4.53,0.41,709.5,48.6,needle
Millbrook Reserve & nearby,Hakea ruscifolia,44.7,0.41,5.39,0.27,223.6,63.2,broadleaf
Millbrook Reserve & nearby,Hakea sulcata,19.1,1.245,4.42,0.24,523.1,86.7,needle
Millbrook Reserve & nearby,Hakea tuberculata,42.4,0.453,4.8,0.23,236,23.2,needle
Stirling Ranges,Hakea ambigua,40.1,0.338,6.04,0.23,249.5,427.6,broadleaf
Stirling Ranges,Hakea baxteri,16.7,0.83,3.88,0.15,600.1,1232.6,broadleaf
Stirling Ranges,Hakea corymbosa,13.7,0.805,3.68,0.18,732.3,156.8,broadleaf
Stirling Ranges,Hakea cucullata,30.9,0.443,6.58,0.2,323.9,1043.2,broadleaf
Stirling Ranges,Hakea denticulata,27.4,0.76,4.81,0.17,365.4,383.6,broadleaf
Stirling Ranges,Hakea pandicarpa crassifolia,14,0.96,3.75,0.16,716.5,428.7,broadleaf
Stirling Ranges,Hakea pritzelii,28.4,0.635,6.8,0.25,351.7,264.7,broadleaf
Stirling Ranges,Hakea prostrata S,36.1,0.543,4.39,0.57,276.8,807.4,broadleaf
Stirling Ranges,Hakea trifurcata (broad),27.1,0.57,,,368.7,236.7,broadleaf
Stirling Ranges,Hakea trifurcata (needle),21.4,1.068,,,467.7,78.4,needle
Stirling Ranges,Hakea varia,23.7,1.02,3.38,0.13,422.1,34.6,needle broadleaf
Walpole,Hakea amplexicaulis,40.7,0.615,3.59,0.13,245.8,2221.9,broadleaf
Walpole,Hakea falcata,64.6,0.278,,,154.8,420.5,broadleaf
Walpole,Hakea florida,30.4,0.558,5,0.18,329.3,89.6,broadleaf
Walpole,Hakea linearis,28.1,0.58,5.94,0.21,356.2,75.2,needle
Walpole,Hakea oleifolia,31.6,0.478,5.11,0.26,316.8,167.2,broadleaf
Walpole,Hakea prostrata,23.8,0.653,4.39,0.57,419.3,414,broadleaf
Watheroo,Hakea brownii,16.4,0.868,3.24,0.1,610.3,982.9,broadleaf
Watheroo,Hakea candolleana,20.6,0.403,5.61,0.32,485.6,90.7,broadleaf
Watheroo,Hakea circumalata,39.6,0.81,,,252.5,28.6,needle
Watheroo,Hakea cygna cygna,20.8,0.655,4.32,0.21,481,134.3,broadleaf
Watheroo,Hakea gilbertii,27.4,0.793,3.34,0.14,365.6,30.7,needle
Watheroo,Hakea obliqua parviflora,21.4,1.108,2.8,0.15,468,70,needle
Watheroo,Hakea platysperma,14.6,1.748,3.34,0.14,683.3,191.7,needle
Watheroo,Hakea polyanthema,24.8,0.953,4.42,0.12,403.6,59.6,needle
Watheroo,Hakea recurva arida,13.8,1.773,6.04,0.24,723.6,93.6,needle
Watheroo,Hakea recurva recurva,8.4,2.39,5.29,0.22,1185.8,231.2,needle
Watheroo,Hakea scoparia scoparia,21.6,1.38,4.32,0.17,463.3,350.2,needle
