data_to_use,taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,value_type,unit,error_type,error_value,n,context,source_section,notes
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta15N,1.67,,mean,permil,SD,1.18,6,"tissue: fresh phyllode; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta13C,-26.6,,mean,permil,SD,0.42,6,"tissue: leaf litter; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: ab (d13C); a ([N])
x,Acacia aneura,population,,Kunoth Paddock,leaf_N_per_dry_mass,1.41,,mean,%,SD,0.13,6,"tissue: leaf litter; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: ab (d13C); a ([N])
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta15N,1.47,,mean,permil,SD,1.39,6,"tissue: leaf litter; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
,,population,C4 grasses pooled: Eragrostis eriopoda (both soil types) and Themeda triandra (sandy loam only),Kunoth Paddock,leaf_delta13C,-14.5,,mean,permil,SD,0.48,6,"tissue: above-ground litter/senescent material; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: d (d13C); c ([N])
,,population,C4 grasses pooled: Eragrostis eriopoda (both soil types) and Themeda triandra (sandy loam only),Kunoth Paddock,leaf_N_per_dry_mass,0.65,,mean,%,SD,0.11,6,"tissue: above-ground litter/senescent material; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: d (d13C); c ([N])
,,population,C4 grasses pooled: Eragrostis eriopoda (both soil types) and Themeda triandra (sandy loam only),Kunoth Paddock,leaf_delta15N,1.62,,mean,permil,SD,1.83,6,"tissue: above-ground litter/senescent material; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
,,population,C3 grasses pooled: Monachather paradoxa and Thyrsidolepis mitchelliana (sandy clay loam soil only),Kunoth Paddock,leaf_delta13C,-26.7,,mean,permil,SD,0.53,3,"tissue: above-ground litter/senescent material; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: ab (d13C); bc ([N])
,,population,C3 grasses pooled: Monachather paradoxa and Thyrsidolepis mitchelliana (sandy clay loam soil only),Kunoth Paddock,leaf_N_per_dry_mass,0.87,,mean,%,SD,0.28,3,"tissue: above-ground litter/senescent material; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: ab (d13C); bc ([N])
,,population,C3 grasses pooled: Monachather paradoxa and Thyrsidolepis mitchelliana (sandy clay loam soil only),Kunoth Paddock,leaf_delta15N,2.47,,mean,permil,SD,1.86,3,"tissue: above-ground litter/senescent material; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta13C,-24.8,,mean,permil,SD,0.64,5,"tissue: fresh phyllode; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: c (d13C); a ([N])
x,Acacia aneura,population,,Kunoth Paddock,leaf_N_per_dry_mass,1.65,,mean,%,SD,0.16,5,"tissue: fresh phyllode; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: c (d13C); a ([N])
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta15N,5.34,,mean,permil,SD,1.68,5,"tissue: fresh phyllode; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta13C,-25.3,,mean,permil,SD,0.32,5,"tissue: leaf litter; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: bc (d13C); a ([N])
x,Acacia aneura,population,,Kunoth Paddock,leaf_N_per_dry_mass,1.55,,mean,%,SD,0.25,5,"tissue: leaf litter; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: bc (d13C); a ([N])
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta15N,4.92,,mean,permil,SD,1.39,5,"tissue: leaf litter; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
,,population,C4 grasses pooled: Aristida contorta (sandy loam) and Eragrostis eriopoda (sandy clay loam),Kunoth Paddock,leaf_delta13C,-14.4,,mean,permil,SD,0.37,6,"tissue: above-ground litter/senescent material; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: d (d13C); b ([N])
,,population,C4 grasses pooled: Aristida contorta (sandy loam) and Eragrostis eriopoda (sandy clay loam),Kunoth Paddock,leaf_N_per_dry_mass,0.95,,mean,%,SD,0.09,6,"tissue: above-ground litter/senescent material; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: d (d13C); b ([N])
,,population,C4 grasses pooled: Aristida contorta (sandy loam) and Eragrostis eriopoda (sandy clay loam),Kunoth Paddock,leaf_delta15N,3.5,,mean,permil,SD,1.7,6,"tissue: above-ground litter/senescent material; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
,,population,C3 grasses pooled: Monachather paradoxa and Thyrsidolepis mitchelliana (sandy clay loam soil only),Kunoth Paddock,leaf_delta13C,-26,,mean,permil,SD,0.63,3,"tissue: above-ground litter/senescent material; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: b (d13C); a ([N])
,,population,C3 grasses pooled: Monachather paradoxa and Thyrsidolepis mitchelliana (sandy clay loam soil only),Kunoth Paddock,leaf_N_per_dry_mass,1.49,,mean,%,SD,0.38,3,"tissue: above-ground litter/senescent material; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: b (d13C); a ([N])
,,population,C3 grasses pooled: Monachather paradoxa and Thyrsidolepis mitchelliana (sandy clay loam soil only),Kunoth Paddock,leaf_delta15N,4.23,,mean,permil,SD,2.87,3,"tissue: above-ground litter/senescent material; landscape element: intergrove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
,,population,all vegetation pooled (Acacia + C3 grasses + C4 grasses; Corymbia excluded),Kunoth Paddock,leaf_delta15N,4.41,,mean,permil,,,,landscape element: intergrove; pooled across soil types and vegetation types,"Results, p.653","stated as significantly (p<0.001) greater than groves; exact prose value, not from a table"
,,population,all vegetation pooled (Acacia + C3 grasses + C4 grasses; Corymbia excluded),Kunoth Paddock,leaf_delta15N,1.76,,mean,permil,,,,landscape element: grove; pooled across soil types and vegetation types,"Results, p.653","stated as significantly (p<0.001) less than intergroves; exact prose value, not from a table"
,,population,all vegetation pooled (Acacia + C3 grasses + C4 grasses; Corymbia excluded),Kunoth Paddock,leaf_delta15N,3.79,,mean,permil,,,,soil type: sandy clay loam; pooled across landscape elements and vegetation types,"Results, p.653","stated as significantly (p<0.001) greater than sandy loam soil; exact prose value, not from a table"
,,population,all vegetation pooled (Acacia + C3 grasses + C4 grasses; Corymbia excluded),Kunoth Paddock,leaf_delta15N,1.87,,mean,permil,,,,soil type: sandy loam; pooled across landscape elements and vegetation types,"Results, p.653","stated as significantly (p<0.001) less than sandy clay loam soil; exact prose value, not from a table"
,Amitermes vitiosus,population,,Kunoth Paddock,leaf_delta15N_relative_to_vegetation,4,,mean,permil,SD,2.01,4,location: Intergroves,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,Amitermes vitiosus,population,,Kunoth Paddock,nitrogen_fixation_contribution_to_diet,~0,,mean,%,,,4,location: Intergroves,"Table 3, p.654","preliminary estimate from delta15N mass-balance, per paper's own caution (p.653); '~' retained from source"
,Amitermes vitiosus,population,,Kunoth Paddock,C4_plant_proportion_of_diet,56,,mean,%,SD,4,4,location: Intergroves,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,,population,"stored grass clippings from Amitermes vitiosus mound, putative dietary food source",Kunoth Paddock,leaf_delta15N_relative_to_vegetation,-1.9,,raw,permil,,,1,,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,,population,"stored grass clippings from Amitermes vitiosus mound, putative dietary food source",Kunoth Paddock,C4_plant_proportion_of_diet,85.7,,mean,%,,,1,,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,Drepanotermes perniger,population,,Kunoth Paddock,leaf_delta15N_relative_to_vegetation,0.9,,mean,permil,SD,0.7,4,location: All sites,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,Drepanotermes perniger,population,,Kunoth Paddock,nitrogen_fixation_contribution_to_diet,~42,,mean,%,,,4,location: All sites,"Table 3, p.654","preliminary estimate from delta15N mass-balance, per paper's own caution (p.653); '~' retained from source"
,Drepanotermes perniger,population,,Kunoth Paddock,C4_plant_proportion_of_diet,51,,mean,%,SD,9,4,location: All sites,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,,population,"stored grass clippings from Drepanotermes perniger mound, putative dietary food source",Kunoth Paddock,leaf_delta15N_relative_to_vegetation,-1.3,,raw,permil,,,1,,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,,population,"stored grass clippings from Drepanotermes perniger mound, putative dietary food source",Kunoth Paddock,C4_plant_proportion_of_diet,53.2,,mean,%,,,1,,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,Drepanotermes rubriceps,population,,Kunoth Paddock,leaf_delta15N_relative_to_vegetation,3.4,,mean,permil,SD,0.22,2,location: Intergroves,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,Drepanotermes rubriceps,population,,Kunoth Paddock,nitrogen_fixation_contribution_to_diet,~0,,mean,%,,,2,location: Intergroves,"Table 3, p.654","preliminary estimate from delta15N mass-balance, per paper's own caution (p.653); '~' retained from source"
,Drepanotermes rubriceps,population,,Kunoth Paddock,C4_plant_proportion_of_diet,89,,mean,%,SD,3,2,location: Intergroves,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,,population,"stored grass clippings from Drepanotermes rubriceps mound, putative dietary food source",Kunoth Paddock,leaf_delta15N_relative_to_vegetation,2,,raw,permil,,,1,,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,,population,"stored grass clippings from Drepanotermes rubriceps mound, putative dietary food source",Kunoth Paddock,C4_plant_proportion_of_diet,98.8,,mean,%,,,1,,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,Schedorhinotermes actuosus,population,,Kunoth Paddock,leaf_delta15N_relative_to_vegetation,5.8,,mean,permil,SD,0.95,2,"location: Grove, sandy clay loam","Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,Schedorhinotermes actuosus,population,,Kunoth Paddock,nitrogen_fixation_contribution_to_diet,~0,,mean,%,,,2,"location: Grove, sandy clay loam","Table 3, p.654","preliminary estimate from delta15N mass-balance, per paper's own caution (p.653); '~' retained from source"
,Schedorhinotermes actuosus,population,,Kunoth Paddock,C4_plant_proportion_of_diet,29,,mean,%,SD,1,2,"location: Grove, sandy clay loam","Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,Tumulitermes tumuli,population,,Kunoth Paddock,leaf_delta15N_relative_to_vegetation,-1,,mean,permil,SD,1.7,5,location: Groves,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,Tumulitermes tumuli,population,,Kunoth Paddock,nitrogen_fixation_contribution_to_diet,~90,,mean,%,,,5,location: Groves,"Table 3, p.654","preliminary estimate from delta15N mass-balance, per paper's own caution (p.653); '~' retained from source"
,Tumulitermes tumuli,population,,Kunoth Paddock,C4_plant_proportion_of_diet,23.5,,mean,%,SD,4,5,location: Groves,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,,population,"pellets stored in Tumulitermes tumuli mounds, putative dietary food source",Kunoth Paddock,leaf_delta15N_relative_to_vegetation,-0.7,,mean,permil,SD,1.4,3,location: Groves,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,,population,"pellets stored in Tumulitermes tumuli mounds, putative dietary food source",Kunoth Paddock,C4_plant_proportion_of_diet,28,,mean,%,SD,2,3,location: Groves,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,Tumulitermes sp.,population,sp. 'd' per Watson et al. 1978 naming convention,Kunoth Paddock,leaf_delta15N_relative_to_vegetation,2.5,,raw,permil,,,1,"location: Intergrove, sandy clay loam","Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,Tumulitermes sp.,population,sp. 'd' per Watson et al. 1978 naming convention,Kunoth Paddock,nitrogen_fixation_contribution_to_diet,~14,,mean,%,,,1,"location: Intergrove, sandy clay loam","Table 3, p.654","preliminary estimate from delta15N mass-balance, per paper's own caution (p.653); '~' retained from source"
,Tumulitermes sp.,population,sp. 'd' per Watson et al. 1978 naming convention,Kunoth Paddock,C4_plant_proportion_of_diet,63,,mean,%,,,1,"location: Intergrove, sandy clay loam","Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,,population,"stored grass clippings from Tumulitermes sp. 'd' mound, putative dietary food source",Kunoth Paddock,leaf_delta15N_relative_to_vegetation,-0.3,,raw,permil,,,1,,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,,population,"stored grass clippings from Tumulitermes sp. 'd' mound, putative dietary food source",Kunoth Paddock,C4_plant_proportion_of_diet,74.3,,mean,%,,,1,,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,Polyrhachis macropa,population,ant; original text spells genus 'Polyrachis' (likely a typo for Polyrhachis),Kunoth Paddock,leaf_delta15N_relative_to_vegetation,7,,mean,permil,SD,1.7,2,location: Sandy clay loam,"Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,Polyrhachis macropa,population,ant; original text spells genus 'Polyrachis' (likely a typo for Polyrhachis),Kunoth Paddock,C4_plant_proportion_of_diet,32,,mean,%,SD,1,2,location: Sandy clay loam,"Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
,,population,Lycosid spider (family Lycosidae; genus/species not identified),Kunoth Paddock,leaf_delta15N_relative_to_vegetation,8.9,,raw,permil,,,1,"location: Intergrove, sandy clay loam","Table 3, p.654","difference between the specimen's mean delta15N and that of vegetation in the same landscape position/soil type (a trophic-level proxy), not a raw delta15N value"
,,population,Lycosid spider (family Lycosidae; genus/species not identified),Kunoth Paddock,C4_plant_proportion_of_diet,49,,mean,%,,,1,"location: Intergrove, sandy clay loam","Table 3, p.654",calculated from specimen/material delta13C assuming C4 plant delta13C=-14.4 permil and C3=-26.3 permil (Table 3 footnote)
