data contributor,name_original,"growth form 1=tree, 2=shrub, 3=subshrub, 4=forb, 5=grass, 6=parasite, 10=twiner",height (cm),seed mass (mg),"dispersal mode 1=unassisted, 2=elaiosome, 3=flesh/aril, 4=adhesive, 5=wind",plant longevity,leaf area (mm2),filtering_column
westoby lab,Aristida capillifolia,5,55,0,4,<20,1330,NA
westoby lab,Aristida contorta,5,30,1.309,4,<5,30,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Aristida inaequiglumis,5,105,0.565,4,<10,3000,NA
westoby lab,Aristida latifolia,5,100,0.465,4,<10,200,NA
westoby lab,Aristida nitidula,5,70,0,4,<20,1670,NA
westoby lab,Aristida obscura,5,30,1.059,4,<10,13,NA
westoby lab,Aristida strigosa,5,90,1.954,4,<50,200,NA
westoby lab,Astrebla elymoides,5,90,0,5,<50,85,NA
westoby lab,Astrebla lappacea,5,90,1.258,5,<50,0,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Astrebla pectinata,5,120,1.312,5,<100,640,NA
westoby lab,Atalaya hemiglauca,1,500,34.27,5,>100,1171,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Atriplex elachophylla,3,50,0,5,<1,30,NA
westoby lab,Atriplex humifusa,4,30,0.738,1,<20,50,NA
westoby lab,Atriplex spongiosa,4,30,2.895,5,<1,53,NA
westoby lab,Bidens bipinnata,4,160,4.287,4,<1,0,NA
westoby lab,Boerhavia coccinea,4,60,1.545,4,<10,330,NA
westoby lab,Bothriochloa ewartiana,5,90,0.389,5,<20,400,NA
westoby lab,Brachiaria miliiformis,5,40,1.579,1,<1,370,NA
westoby lab,Brachiaria praetervisa,5,60,1.11,5,<1,500,NA
westoby lab,Brachycome ciliaris var.lanuginosa,4,40,0.101,5,<10,13,NA
westoby lab,Brassica tournefortii,4,60,1.355,1,<1,0,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Calandrinia polyanda,4,90,0.351,1,<1,167,NA
westoby lab,Calocephalus platycephalus,4,30,0.027,1,<1,15,NA
westoby lab,Calotis hispidula,4,5,0.382,4,<1,100,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Calotis latiuscula,4,40,0.335,4,<1,400,NA
westoby lab,Capparis mitchelii,1,600,106.4,3,>100,533,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Cassia artemisioides,2,200,9.02,1,<20,17,NA
westoby lab,Cassia glutinosa,2,300,18.746,1,<20,56,NA
westoby lab,Cassia helmsii,2,200,28.198,1,<20,100,NA
westoby lab,Cassia nemophila var.nemophila,2,300,20.546,1,<20,23,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Cassia nemophila var.zygophylla,2,300,32.639,1,<20,23,NA
westoby lab,Cassia oligophylla,2,200,16.02,1,<50,150,NA
westoby lab,Cassia planitiicola,2,200,18.746,1,<20,500,NA
westoby lab,Casuarina decaisneana,1,1500,0,5,>100,2,NA
westoby lab,Cenchrus ciliaris,5,100,0.518,5,<50,300,NA
westoby lab,Centipeda thespidioides,4,30,0.185,1,<1,13,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Chenopodium cristatum,4,40,0.512,1,<1,133,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Chenopodium melanocarpum,4,10,0.2856,1,<1,133,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Chloris pectinata,5,30,0.128,5,<1,170,NA
westoby lab,Chloris scariosa,5,50,0.632,5,<5,190,NA
westoby lab,Citrullus colocynthis,10,20,25.36,3,<10,1800,NA
westoby lab,Citrullus lanatus,10,20,77.855,3,<1,1000,NA
westoby lab,Cleome viscosa,4,90,1.009,1,<1,450,NA
westoby lab,Convolvulus erubescens,4,10,4.322,1,<5,300,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Convolvulus remotus,4,10,5.245,1,<5,180,NA
westoby lab,Cymbopogon obtectus,5,90,1.133,5,<10,1000,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Cynodon dactylon,5,30,0.287,1,<50,85,NA
westoby lab,Dactylotenium radulans,5,30,0.439,5,<1,93,NA
westoby lab,Dichanthium sericeum,5,80,0.787,5,<10,230,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Digitaria brownii,5,60,0.647,5,<10,333,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Digitaria coenicola,5,60,0.872,5,<10,300,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Diplachne fusca,5,100,0.334,5,<1,750,NA
westoby lab,Dissocarpus paradoxus,3,50,3.297,4,<20,20,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Dodonaea viscosa,2,300,7.04,2,<20,367,NA
westoby lab,Dysphania myriocephala,4,10,0.013,1,<1,6,NA
westoby lab,Dysphania rhadinostachya,4,30,0.085,1,<1,100,NA
westoby lab,Einadia nutans,3,30,0.6,3,<20,667,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Enchylaena tomentosa,2,150,2.047,3,<20,20,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Enneapogon avenaceus,5,30,0.579,5,<5,320,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Enneapogon cylindricus,5,35,0.307,5,<5,367,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Enneapogon pallidus,5,50,0.282,5,<5,92,NA
westoby lab,Enneapogon polyphyllus,5,45,0.557,5,<5,220,NA
westoby lab,Enteropogon acicularis,5,105,0.249,5,<50,300,NA
westoby lab,Enteropogon ramosus,5,0,0.274,5,<100,270,NA
westoby lab,Eragrostis australasica,5,300,0.203,1,<50,180,NA
westoby lab,Eragrostis barrelieri,5,50,0.048,1,<1,0,NA
westoby lab,Eragrostis dielsii,5,30,0.0689,1,<5,90,NA
westoby lab,Eragrostis eriopoda,5,60,0.045,1,<50,33,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eragrostis leptocarpa,5,60,0.038,1,<1,0,NA
westoby lab,Eragrostis setifolia,5,50,0.0278,1,<50,160,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eremophila duttonii,2,300,2.435,1,<100,70,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eremophila gilesii,2,150,0.954,1,<10,80,NA
westoby lab,Eremophila latrobei,2,150,1.699,1,<50,60,NA
westoby lab,Eremophila longifolia,2,300,1.262,3,<100,440,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eremophila maculata,2,150,0,3,<100,73,NA
westoby lab,Eremophila sturtii,2,400,0.15,5,<100,33,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eriachne helmsii,5,90,1.49,5,<20,200,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eriachne mucronata,5,45,0,5,<50,70,NA
westoby lab,Eriachne pulchella,5,15,0.24,5,<1,0,NA
westoby lab,Erodium crinitum,4,90,1.656,4,<1,47,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eucalyptus camaldulensis,1,4000,0.4,1,>100,667,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eucalyptus gillenii,1,700,0.377,1,>100,115,NA
westoby lab,Eucalyptus intertexta,1,2400,0.5,1,>100,667,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Eucalyptus mannensis,1,700,0.909,1,>100,1000,NA
westoby lab,Eucalyptus opaca,1,1000,12.28,5,>100,1342,NA
westoby lab,Eucalyptus oxymitra,1,400,1.384,1,>100,2660,NA
westoby lab,Eucalyptus pachyphylla,1,400,3.034,1,>100,2800,NA
westoby lab,Eucalyptus pimpiniana,2,200,3.861,1,>100,2100,NA
westoby lab,Eucalyptus sessilis,2,400,2.084,1,>100,2700,NA
westoby lab,Eucalyptus socialis,1,900,0.849,1,>100,600,NA
westoby lab,Eucalyptus trivalvis,1,400,0.474,1,>100,1130,NA
westoby lab,Euphorbia boophtona,4,60,0,2,<5,240,NA
westoby lab,Euphorbia drummondii,4,5,0.293,1,<1,16,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Euphorbia parvicaruncula,4,50,4.841,1,<5,133,NA
westoby lab,Evolvulus alsinoides,4,45,0.663,1,<1,410,NA
westoby lab,Fimbristylis dichotoma,4,40,0.683,1,<10,0,NA
westoby lab,Glycine canescens,10,200,5.653,1,<20,135,NA
westoby lab,Gnephosis foliata,4,30,0.029,1,<1,17,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Goodenia fascicularis,4,30,0,5,<10,480,NA
westoby lab,Goodenia heterochila,4,40,4.555,5,<5,290,NA
westoby lab,Goodenia lunata,4,20,2.911,5,<1,93,NA
westoby lab,Gossypium sturtianum,2,100,0,1,<10,135,NA
westoby lab,Grevillea striata,1,1200,17.4,5,>100,1100,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Hakea eyreana,1,500,34.359,5,>100,250,NA
westoby lab,Hakea grammatophylla,2,200,0,5,<50,1900,NA
westoby lab,Hakea leucoptera,2,200,12.91,5,<100,80,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Hakea mynima,2,200,0,5,<50,475,NA
westoby lab,Hakea suberea,1,600,46.28,5,>100,316,NA
westoby lab,Helichrysum apiculatum,4,60,0.043,5,<10,152,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Helichrysum bracteatum,4,80,0.53,5,<1,200,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Heliotropium tenuifolium,4,0,0.209,5,<1,167,NA
westoby lab,Helipterum charsleyae,4,60,1.498,5,<1,200,NA
westoby lab,Helipterum floribundum,4,40,0.3,5,<1,20,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Helipterum tietkensii,4,40,0.18,5,<1,67,NA
westoby lab,Heterodendrum oleaefolium,1,900,40.5,3,<100,525,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Hibiscus brachysiphonius,4,10,6.197,1,<1,85,NA
westoby lab,Hypericum gramineum,4,30,0.008,1,<10,50,NA
westoby lab,Indigofera colutea,4,20,1.126,1,<1,12,NA
westoby lab,Indigofera linnaei,3,50,1.75,1,<5,23,NA
westoby lab,Leichhardtia australis,10,200,15.21,5,<50,467,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Lepidium muelleri-ferdinandi,4,20,0.535,1,<1,33,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Lepidium oxytrichum,4,30,0.8193,1,<1,40,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Lepidium phlebopetalum,4,20,2.067,1,<1,20,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Leptochloa digitata,5,200,0,5,<20,500,NA
westoby lab,Lotus cruentus,4,30,2.2,1,<10,15,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Lysiana murrayi,6,300,7.573,3,<10,55,NA
westoby lab,Maireana aphylla,2,100,2.244,5,<100,4,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Maireana ciliata,4,10,0.941,5,<10,20,NA
westoby lab,Maireana coronata,4,15,2.1,5,<5,26,NA
westoby lab,Maireana scleroptera,4,30,0.629,1,<5,15,NA
westoby lab,Malvastrum americanum,4,50,1.8,1,<10,350,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Mollugo cerviana,4,8,0.018,1,<1,18,NA
westoby lab,Monochather paradoxa,5,60,0.901,5,<10,520,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Neptunia dimorphantha,4,60,7.142,5,<10,10,NA
westoby lab,Panicum decompositum,5,145,0.703,1,<10,4000,NA
westoby lab,Panicum effusum,5,60,0.504,1,<10,400,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Paractaenum nova-hollandiae,5,60,0,5,<5,90,NA
westoby lab,Paspalidium basicladum,5,50,0,5,<5,45,NA
westoby lab,Paspalidium clementii,5,40,0.437,5,<5,160,NA
westoby lab,Paspalidium constrictum,5,60,0.817,1,<10,250,NA
westoby lab,Phyllanthus lacunellus,4,25,0.565,1,<1,0,NA
westoby lab,Phyllanthus maderaspatensis var.angustifol,4,45,0.649,1,<1,25,NA
westoby lab,Pittosporum phylliraeoides,1,600,12.96,3,<100,282,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Pluchea dentex,4,60,0,5,<10,33,NA
westoby lab,Portulaca filifolia,4,30,0.043,1,<1,25,NA
westoby lab,Portulaca oleracea,4,10,0.074,1,<1,75,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Psoralea cinerea,4,60,4.232,1,<1,300,NA
westoby lab,Psoralea patens,4,100,6.264,5,<5,325,NA
westoby lab,Pterocaulon sphacelatum,4,60,0.029,5,<10,210,NA
westoby lab,Ptilotus atriplicifolius,3,100,0.76,5,<10,400,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Ptilotus exaltatus,4,80,0.888,5,<1,1000,NA
westoby lab,Ptilotus helipteroides,4,50,0.849,5,<1,300,NA
westoby lab,Ptilotus macrocephalus,4,50,1.297,5,<1,150,NA
westoby lab,Ptilotus obovatus,3,100,1.18,5,<10,250,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Radyera farragei,2,250,9.507,1,<10,3300,NA
westoby lab,Rhagodia spinescens,2,150,0.584,3,<50,42,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Rhyncharrhena linearis,10,0,6.81,5,<10,130,NA
westoby lab,Rhynchelytrum repens,5,120,0.214,5,<10,700,NA
westoby lab,Rhyncosia minima,10,0,9.398,1,<10,267,NA
westoby lab,Rumex vesicarius,4,60,2.639,5,<1,1500,NA
westoby lab,Rutidosis helichrysoides,4,50,0.152,5,<10,80,NA
westoby lab,Salsola kali,3,70,0.88,5,<1,100,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Sclerolaena bicornis,3,60,35.255,1,<5,60,NA
westoby lab,Sclerolaena convexula,3,40,0.803,2,<5,10,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Sclerolaena cornishiana,3,60,23.026,1,<1,35,NA
westoby lab,Sclerolaena costata,3,60,5.717,1,<5,14,NA
westoby lab,Sclerolaena cuneata,3,30,0,1,<5,10,NA
westoby lab,Sclerolaena diacantha,3,20,2.316,2,<5,17,value identical to Leishman_1992; filtering out of this dataset
westoby lab,Sclerolaena lanicuspis,3,30,5.257,1,<1,25,NA
westoby lab,Sclerolaena parviflora,3,30,3.99,1,<5,5,NA
westoby lab,Senecio gregorii,4,30,1.047,5,<1,120,NA
westoby lab,Senecio magnificus,2,200,1.595,5,<10,900,NA
westoby lab,Sesbania brachycarpa,4,300,0,1,<1,58,NA
NA,Sida sp1.,4,0,3.139,5,<10,0,NA
NA,Sida sp2.,4,0,2.414,5,<10,0,NA
NA,Sida sp3.,4,0,2.656,5,<10,0,NA
5,Sida spinosa,4,0,2.469,4,<1,NA,NA
5,Sisymbrium erysimoides,4,60,0.15,1,<1,200,value identical to Leishman_1992; filtering out of this dataset
1,Solanum quadriloculatum,3,30,1.465,3,<10,2267,value identical to Leishman_1992; filtering out of this dataset
3,Sporobolus actinocladus,5,45,0.067,1,<10,200,NA
3,Sporobolus caroli,5,75,0.0914,1,<10,400,value identical to Leishman_1992; filtering out of this dataset
3,Sporobolus sp.,5,NA,0.034,1,<10,NA,NA
5,Stenopetalum anfractum,4,40,0.396,1,<1,450,NA
5,Stenopetalum nutans,4,30,1.281,1,<1,320,value identical to Leishman_1992; filtering out of this dataset
5,Streptoglossa odora,4,60,0.678,5,<1,0,NA
5,Swainsona canescens,4,20,2.073,1,<1,90,NA
3,Thyridolepis mitchelliana,5,30,1.004,5,<10,80,value identical to Leishman_1992; filtering out of this dataset
4,Tragus australianus,5,40,0.203,4,<1,80,NA
5,Tribulus astrocarpus,4,10,11.31,1,<1,23,NA
1,Tribulus terrestris,4,20,39.453,1,<1,16,NA
5,Trichodesma zeylanicum,4,100,10.487,1,<5,440,NA
4,Tripogon loliiformis,5,15,0.073,1,<5,40,value identical to Leishman_1992; filtering out of this dataset
4,Triraphis mollis,5,60,0.05,5,<1,833,value identical to Leishman_1992; filtering out of this dataset
6,Ventilago viminalis,1,1000,10.437,5,>100,600,NA
5,Vittadina eremaea,4,30,0.384,5,<1,0,NA
1,Wahlenbergia sp.,4,50,0.105,1,<10,100,NA
