PlantID,Order - APG,Family - APG,Family - BRI old,Family - BRI current,Genus - current,Genus - synonyms,Genus - synonyms,Genus - synonyms,Genus - synonyms,Species - current,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,current full name with authority,current full name without authority,Altitudinal_range_in_Aus_MIN(m),Altitudinal_range_in_Aus_Max(m),Latitudinal_limits_in_Aus_MIN,Latitudinal_limits_in_Aus_MAX,Longitudinal_limits_in_Aus_MIN,Longitudinal_limits_in_Aus_MAX,Endemicity_level,IUCN Conservation_status,EPBC Conservation_status,NCA Conservation_status,Growth Form,Growth Form,Growth Form,Raunkier_life_form,Raunkier_life_form,Raunkier_life_form,Height_max (m),Clonality,Clonality,Physical_defence,Photosynthetic pathway,Photosynthetic pathway,Photosynthetic pathway,Specific_leaf_area,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Leaf_type,MIN _#_of_leaflets_in_array,MAX_#_of_leaflets_in_array,MIN length Leaflet (mm),MAX length Leaflet (mm),MIN width Leaflet (mm),MAX width Leaflet (mm),Laminar Unit Area (mm2),Leaf_phenology,Leaf_longevity,Leaf_fracture_toughness,Wood_density,1_Nutrient_uptake_strategy,1_Dispersal_mode,2_Dispersal_mode,Fruit_type,Fruit_functional_type ,Fruit_accessories,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Max_length_seed (mm),Min_breadth_seed (mm),Max_breadth_seed(mm),Min_width_seed (mm),Max_width_seed(mm),Seed_mass (g),Resprouting_capacity,Suckering_capacity,1_Pollination_syndrome,Nectar_volume,Nectar_concentration,Sex habit,Sex habit,Sex habit,Sex habit,Shade tolerance,References
1618,Poales,Cyperaceae,Cyperaceae,,Bolboschoenus,Scirpus,maritimus var. fluviatilis ,,,fluviatilis     ,,,,,,Bolboschoenus fluviatilis (Torr.) Sojak,Bolboschoenus fluviatilis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,2,Clonal below ground,,,C3,,,,,,7,11,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,3,4,1.5,2,1.5,2,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online
1619,Poales,Cyperaceae,Cyperaceae,,Bulbostylis,,,,,     ,,,,,,Bulbostylis,Bulbostylis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Poales,Cyperaceae,Cyperaceae,,Bulbostylis,,,,,barbata     ,,,,,,Bulbostylis barbata (Rottb.) C.B.Clarke,Bulbostylis barbata,,,,,,,Australia,,,,Tussock,,,Therophyte,,,0.3,Clonal below ground,,,C4,,,,,,0.2,0.3,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,0.5,0.8,0.4,0.6,0.4,0.6,,,,,,,,,Wind,,,gynomonoecious,,,,,Bruhl 1995/NSW Flora Online
1621,Poales,Cyperaceae,Cyperaceae,,Bulbostylis,Scirpus,,,,densa     ,densus,,,,,Bulbostylis densa (Wall.) Hand.-Mazz.,Bulbostylis densa,,,,,,,Australia,,,,Tussock,,,Therophyte,,,0.4,,,,C4,,,,,,0.2,0.3,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,0.7,0.9,0.5,0.8,0.5,0.8,,,,,,,,,Wind,,,gynomonoecious,,,,,Bruhl 1995/APNI/NSW Flora Online
1622,Poales,Cyperaceae,Cyperaceae,,Bulbostylis,,,,,pyriformis     ,,,,,,Bulbostylis pyriformis S.T.Blake,Bulbostylis pyriformis,,,,,,,Australia,,,,Tussock,,,Therophyte,,,0.4,,,,C4,,,,,20,,0.4,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1,1.4,0.8,1,0.8,1,,,,,,,,,Wind,,,gynomonoecious,,,,,Bruhl 1995/NSW Flora Online
1623,Poales,Cyperaceae,Cyperaceae,,Bulbostylis,,,,,sp. (White Mountains R.J.Cumming+19025)     ,,,,,,Bulbostylis sp. (White Mountains R.J.Cumming+ 19025),Bulbostylis sp. (White Mountains R.J.Cumming+ 19025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,     ,,,,,,Carex,Carex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,appressa     ,,,,,,Carex appressa R.Br.,Carex appressa,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,2,Clonal below ground,,,C3,,,,400,1200,2,4,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2,3,1,1.7,1,1.7,,,,,,0.00084,,,Wind,,,monoecious,,,,,Bruhl 1995/NSW Flora Online/ePIC/FloraBase
1626,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,breviculmis     ,,,,,,Carex breviculmis R.Br.,Carex breviculmis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,0.2,Clonal below ground,,,C3,,,,,350,2,3,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2,303,1,1.5,1,1.5,,,,,,,,,,,,monoecious,,,,,Bruhl 1995/NSW Flora Online/ePIC
1627,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,breviscapa     ,,,,,,Carex breviscapa C.B.Clarke,Carex breviscapa,,,,,,,,,,,,,,,,,,,,,C3,,,,,,3,7,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,,,,monoecious,,,,,Bruhl 1995
1628,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,brunnea     ,gracilis ,hattoriana,,,,Carex brunnea Thunb.,Carex brunnea,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,0.8,Clonal below ground,,,C3,,,,250,800,2,4,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,3,4.5,1.5,1.5,1.5,1.5,,,,,,,,,Wind,,,monoecious,,,,,Bruhl 1995/APNI/NSW Flora Online
1629,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,cruciata var. rafflesiana     ,rafflesiana ,,,,,Carex cruciata var. rafflesiana (Boott) Noot.,Carex cruciata var. rafflesiana,,,,,,,,,,,,,,,,,,,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,Bruhl 1995/APNI
1630,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,cryptostachys     ,,,,,,Carex cryptostachys Brongn.,Carex cryptostachys,,,,,,,,,,,,,,,,,,,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,Bruhl 1995
1631,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,declinata     ,,,,,,Carex declinata Boott,Carex declinata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,1.2,Clonal below ground,,,C3,,,,,,3,10,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,3.5,6,1.5,1.7,1.5,1.7,,,,,,,,,Wind,,,monoecious,,,,,Bruhl 1995/NSW Flora Online
1632,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,fascicularis     ,pseudo-cyperus var. fascicularis ,,,,,Carex fascicularis Sol. ex Boott,Carex fascicularis,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,1.5,Clonal below ground,,,C3,,,,600,1500,6,11,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,5,7.5,1.3,2,1.3,2,,,,,,,,,Wind,,,monoecious,,,,,Bruhl 1995/APNI/NSW Flora Online/FloraBase
1633,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,horsfieldii     ,fleckeri ,,,,,Carex horsfieldii Boott,Carex horsfieldii,,,,,,,,,,,,,,,,,,,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,Bruhl 1995/APNI
1634,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,hubbardii     ,,,,,,Carex hubbardii Nelmes,Carex hubbardii,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,0.5,Clonal below ground,,,C3,,,,,,2,4.5,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,5,6.5,1.5,1.5,1.5,1.5,,,,,,,,,Wind,,,monoecious,,,,,Bruhl 1995/NSW Flora Online
1635,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,indica     ,dietrichiae ,,,,,Carex indica L.,Carex indica,,,,,,,,,,,,,,,,,,,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,Bruhl 1995/APNI
1636,Poales,Cyperaceae,Cyperaceae,,Carex,Vignea ,,,,inversa     ,inversa f. major ,inversa var. leichardtii ,inversa var. major ,inversa var. minor ,rhytidocarpa ,Carex inversa R.Br.,Carex inversa,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,0.75,Clonal below ground,,,C3,,,,,,0.7,2,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,0.00037,,,Wind,,,monoecious,,,,,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC
1637,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,maculata     ,maculata var. neurochlamys ,,,,,Carex maculata Boott,Carex maculata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,0.7,Clonal below ground,,,C3,,,,,,2,8,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,,,,monoecious,,,,,Bruhl 1995/APNI/NSW Flora Online
1638,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,phacota     ,,,,,,Carex phacota Spreng.,Carex phacota,,,,,,,,,,,,,,,,,,,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,Bruhl 1995
1639,Poales,Cyperaceae,Cyperaceae,,Carex,,,,,polyantha     ,cunninghamii ,,,,,Carex polyantha F.Muell.,Carex polyantha,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,0.8,Clonal below ground,,,C3,,,,200,800,4,9,simple,,,,,,,,,,,,,,,,utricle,Dry dehiscent or indehsicent without attractant or wing,,2,3,1.5,1.5,1.5,1.5,,,,,,,,,Wind,,,monoecious,,,,,Bruhl 1995/APNI/NSW Flora Online
1640,Poales,Cyperaceae,Cyperaceae,,Chorizandra,,,,,cymbaria     ,,,,,,Chorizandra cymbaria R.Br.,Chorizandra cymbaria,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,1,Clonal below ground,,,C3,,,,250,750,,,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2.7,4,1.5,2.7,1.5,2.7,,,,,,0.00325,,,Wind,,,monoecious,,,,,Bruhl 1995/NSW Flora Online/FloraBase/ePIC
1641,Poales,Cyperaceae,Cyperaceae,,Cladium,,,,,procerum     ,,,,,,Cladium procerum S.T.Blake,Cladium procerum,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,2.5,Clonal below ground,,,C3,,,,,2500,5,20,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2,2.5,1.3,2,1.3,2,,,,,,0.00143,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/NSW Flora Online/FloraBase/ePIC
1642,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,     ,,,,,,Cyperus,Cyperus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Poales,Cyperaceae,Cyperaceae,,Cyperus,Juncellus ,,,,alopecuroides     ,,,,,,Cyperus alopecuroides Rottb.,Cyperus alopecuroides,,,,,,,,,,,Tussock,,,Hemicryophyte,Geophyte,,1.5,Clonal below ground,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007,,,,,,hermaphrodite,,,,,Bruhl 1995/APNI/FloraBase/ePIC
1644,Poales,Cyperaceae,Cyperaceae,,Cyperus,Mariscus ,,,,alterniflorus     ,alternifolius ,,,,,Cyperus alterniflorus R.Br.,Cyperus alterniflorus,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,Geophyte,,2,Clonal below ground,,,,,,,,,,12,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.6,2.3,0.5,0.7,0.5,0.7,,,,,,0.00025,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC
1645,Poales,Cyperaceae,Cyperaceae,,Cyperus,Mariscus ,,,,angustatus     ,,,,,,Cyperus angustatus R.Br.,Cyperus angustatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite,,,,,Bruhl 1995/APNI
1646,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,aquatilis     ,trinervis var. aquatilis ,,,,,Cyperus aquatilis R.Br.,Cyperus aquatilis,,,,,,,Australia,,,***,Tussock,,,Therophyte,,,0.35,,,,,,,,,,1,3,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,0.5,0.8,0.5,0.5,0.5,0.5,,,,,,0.00006,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC
1647,Poales,Cyperaceae,Cyperaceae,,Cyperus,Kyllinga ,,,,aromaticus     ,aromatica,polyphylla,,,,Cyperus aromaticus (Ridl.) Mattf. & Kuek.,Cyperus aromaticus,,,,,,,,,,,Tussock,,,Geophyte,,,0.7,Clonal below ground,,,,,,,50,150,3,5,simple,,,,,,,,,,,,,arbuscular mycorrhiza,Endozoochory,Water,nutlet,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,light demanding,Bruhl 1995/PIER/FNQ Local Council Priority Weeds/Wang & Qiu 2006
1648,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,betchei     ,angustatus var. betchei ,,,,,Cyperus betchei (Kuek.) S.T.Blake,Cyperus betchei,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,1.2,Clonal below ground,,,,,,,,,2,6,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.9,2.2,0.4,0.4,0.4,0.4,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online/FloraBase
1649,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,betchei subsp. betchei   ,angustatus var. betchei ,,,,,Cyperus betchei (Kuek.) S.T.Blake subsp. betchei,Cyperus betchei subsp. betchei,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,1,Clonal below ground,,,,,,,,,2,6,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.9,2.2,0.4,0.4,0.4,0.4,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/NSW Flora Online
1650,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,bifax     ,rotundus subsp. retzii ,rotundus var. disruptus ,,,,Cyperus bifax C.B.Clarke,Cyperus bifax,,,,,,,Australia,,,,Tussock,,,Geophyte,,,1,Clonal below ground,,,,,,,500,750,,4,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,,1.2,,1.8,,0.8,,,,,,0.0003,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC
1651,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,blakeanus     ,,,,,,Cyperus blakeanus K.L.Wilson,Cyperus blakeanus,,,,,,,,,,,Tussock,,,Hemicryophyte,,,0.55,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/FloraBase
1652,Poales,Cyperaceae,Cyperaceae,,Cyperus,Mariscus ,,,,bowmannii     ,,,,,,Cyperus bowmannii F.Muell. ex Benth.,Cyperus bowmannii,,,,,,,Australia,,,,Tussock,,,,,,0.45,,,,,,,,,,1,2,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.5,2,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online
1653,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,breviculmis     ,trinervis var. breviculmis ,,,,,Cyperus breviculmis R.Br.,Cyperus breviculmis,,,,,,,,,,,Tussock,,,,,,0.2,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite,,,,,Bruhl 1995/APNI/FloraBase
1654,Poales,Cyperaceae,Cyperaceae,,Cyperus,Kyllinga ,,,,brevifolius     ,brevifolia ,monocephalus ,,,,Cyperus brevifolius (Rottb.) Hassk.,Cyperus brevifolius,,,,,,,,,,,Tussock,,,Geophyte,,,0.5,Clonal below ground,,,,,,,,,1,3,simple,,,,,,,,,,,,,arbuscular mycorrhiza,Wind,Water,nut,Dry dehiscent or indehsicent without attractant or wing,,1,1.5,0.5,0.7,,,,,,,,,,,Wind,,,hermaphrodite,,,,shade tolerant,Bruhl 1995/APNI/NSW Flora Online/FloraBase/PIER/Wang & Qiu 2006
1655,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,bulbosus     ,,,,,,Cyperus bulbosus Vahl,Cyperus bulbosus,,,,,,,Australia,,,,Tussock,,,Geophyte,,,0.4,Clonal below ground,,,,,,,,,1,2,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.3,1.5,0.5,0.8,0.5,0.8,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/NSW Flora Online/FloraBase
1656,Poales,Cyperaceae,Cyperaceae,,Cyperus,Mariscus ,,,,carinatus     ,,,,,,Cyperus carinatus R.Br.,Cyperus carinatus,,,,,,,,,,,Tussock,,,Geophyte,,,1,Clonal below ground,,,,,,,,,,,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/FloraBase/APNI
1657,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,castaneus     ,squarrosus var. stenocarpus ,,,,,Cyperus castaneus Willd.,Cyperus castaneus,,,,,,,Australia,,,,Tussock,,,Therophyte,,,0.1,,,,,,,,,,,1,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,0.7,1,0.2,0.2,0.2,0.2,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/NSW Flora Online/APNI
1658,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,castaneus - C. cuspidatus  ,,,,,,Cyperus castaneus Willd. - C.cuspidatus Kunth,Cyperus castaneus - C. cuspidatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite,,,,,Bruhl 1995
1659,Poales,Cyperaceae,Cyperaceae,,Cyperus,Anosporum ,,,,cephalotes     ,monocephalum ,,,,,Cyperus cephalotes Vahl,Cyperus cephalotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite,,,,,Bruhl 1995/APNI
1660,Poales,Cyperaceae,Cyperaceae,,Cyperus,Pycreus ,,,,compactus     ,,,,,,Cyperus compactus Retz.,Cyperus compactus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite,,,,,Bruhl 1995/APNI
1661,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,compressus     ,,,,,,Cyperus compressus L.,Cyperus compressus,,,,,,,,,,,Tussock,,,Therophyte,,,0.4,,,,,,,,,,1.5,3,simple,,,,,,,,,,,,,arbuscular mycorrhiza,Wind,Water,achene,Dry dehiscent or indehsicent without attractant or wing,,1,1.3,,,,,,,,,,0.00036,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/PIER/Wang & Qiu 2006/ePIC
1662,Poales,Cyperaceae,Cyperaceae,,Cyperus,,,,,concinnus     ,lepidus ,,,,,Cyperus concinnus R.Br.,Cyperus concinnus,,,,,,,,,,,,,,Hemicryophyte,Geophyte,,0.65,Clonal below ground,,,,,,,,,1,2,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,,0.5,,0.4,,0.4,,,,,,0.00001,,,,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online/ePIC
