leaf ID,site number,Site,Species,Date,leaf no,mean annual precipitation (mm),Canopy position,curve type,context,eucalypt?,Leaf area (mm2),leaf mass (g),Specific leaf area (m2 kg-1),leaf mass per area (g m-2),d13C (per mille),D13C (per mille),%C,%N,leaf P (mg g-1),leaf N area (mmol m-2),leaf P area (mmol m-2),N:P ratio (g g-1),Tleaf (deg C),Vcmax atTleaf (umol m-2 s-1),Vcmax at 25 deg C (umol m-2 s-1),J at Tleaf (umol e- m-2 s-1),J at 25 deg C (umol e- m-2 s-1),initial time (hrs),initial photosynthesis (umol m-2 s-1),initial conductance (mol m-2 s-1),initial ci/ca,phi- light curve (umol CO2 umol-1 PAR),Rd- light curve (umol m-2 s-1),Amax- light curve (umol m-2 s-1),theta- light curve,Canopy or understory.x,Asat_umol_m-2_s-1,g_at_Asat_mol_m-2_s-1,ci_at_Asat_umol_mol-1,trans_at_Asat_mmol_m-2_s-1,CO2_sample,ci_over_ca_at_Asat,Canopy or understory.y,Amax_umol_m-2_s-1,g_at_Amax_mol_m-2_s-1,ci_at_Amax_umol_mol-1,trans_at_Amax_mmol_m-2_s-1
11,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,4,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4670,0.912,5.12,195.3,-27.4,19.95,51.94,0.74,0.344,103.9,2.17,21.65,32.9,145.9,73.9,117.9,74.6,16.3,5.3,0.05,0.488,0.0484,-0.7082,25.334,-0.304,Canopy,5.27,0.0499,176,1.46,360.75,0.487872487872488,Canopy,18.2,0.088,718,1.76
12,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,5,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4101,0.734,5.59,179,-26.43,18.93,49.42,0.84,0.412,107.4,2.38,20.39,32,149.6,81.7,124.9,83.2,17.2,8.8,0.088,0.501,0.0549,-1.1557,33.03,0.027,Canopy,8.84,0.0876,175,1.8,349.28,0.501030691708658,Canopy,23.1,0.171,859,3.27
13,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,6,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4814,0.811,5.94,168.5,-27.91,20.48,48.71,0.73,0.389,87.6,2.12,18.7,32,95.6,52.2,86.3,57.5,17.2,5.3,0.056,0.549,0.0409,-0.774,17.242,0.091,Canopy,5.28,0.0562,199,1.3,362.21,0.549405041274399,Canopy,13.5,0.0815,828,1.79
14,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,7,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3705,0.687,5.39,185.4,-27.2,19.73,49.66,0.74,0.407,97.8,2.43,18.15,.,.,.,.,.,.,.,.,.,0.0711,-0.5951,20.128,0.901,NA,.,.,NA,NA,NA,.,NA,NA,NA,NA,NA
15,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,8,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3661,0.68,5.38,185.7,-28.43,21.03,50.05,0.79,0.386,104.9,2.31,20.47,.,.,.,.,.,.,.,.,.,0.071,-1.3437,19.859,0.42,NA,.,.,NA,NA,NA,.,NA,NA,NA,NA,NA
20,2,Adelaide River,Eucalyptus tectifica,5-Sep-08,1,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2513,0.438,5.74,174.3,-26.94,19.46,46.01,0.89,0.598,110.9,3.36,14.89,33.2,147.3,72.8,166.2,103.5,14.3,11.3,0.12,0.564,0.0462,-1.6683,36.516,0.656,Canopy,11.3,0.12,216,2.76,383.1,0.563821456538763,Canopy,27.3,0.238,904,4.31
21,2,Adelaide River,Eucalyptus tectifica,5-Sep-08,2,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5646,1.136,4.97,201.2,-26.3,18.79,45.35,0.95,0.69,135.8,4.48,13.69,32.6,205.5,106.8,211.9,136.5,14.4,15.7,0.16,0.533,0.0698,-2.6137,54.123,0.308,Canopy,15.7,0.16,199,3.41,373.62,0.53262673304427,Canopy,36.9,0.261,848,4.43
22,2,Adelaide River,Eucalyptus tectifica,5-Sep-08,3,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1928,0.302,6.38,156.6,-28.95,21.57,45.72,0.82,0.579,91.5,2.93,14.12,32.2,170.7,91.7,159.2,104.9,15.5,19,0.217,0.574,0.0623,-1.3726,42.802,0.202,Canopy,19,0.217,216,4.58,376.05,0.574391703230953,Canopy,28.6,0.17,818,3.39
23,2,Adelaide River,Eucalyptus tectifica,5-Sep-08,4,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2886,0.435,6.63,150.7,-28.44,21.04,45.86,0.85,0.58,91.3,2.82,14.62,33.3,130.8,64.1,120.7,74.7,15.5,12.3,0.152,0.605,0.0505,-1.5904,28.047,0.529,Canopy,12.3,0.152,227,3.72,375.26,0.604913926344401,Canopy,20.3,0.13,837,3.02
24,2,Adelaide River,Eucalyptus tectifica,5-Sep-08,5,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2369,0.399,5.94,168.4,-28.83,21.45,46.67,0.88,0.681,105.7,3.7,12.9,32,171.3,93.6,161.9,107.9,16.5,15.9,0.166,0.537,0.0697,-1.6908,42.874,0.455,Canopy,15.9,0.166,198,3.88,369.02,0.536556284212238,Canopy,27.5,0.259,931,5.59
25,2,Adelaide River,Eucalyptus tectifica,5-Sep-08,6,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2663,0.432,6.16,162.2,-28.07,20.65,45.58,1.03,0.488,119.3,2.55,21.12,32.1,139.8,75.8,139.4,92.4,16.5,12.1,0.143,0.586,0.0432,-1.4536,32.894,0.749,Canopy,12.1,0.143,216,3.49,368.64,0.5859375,Canopy,24,0.224,929,4.94
26,2,Adelaide River,Corymbia latifolia,6-Sep-08,1,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,8466,1.491,5.68,176.1,-26.84,19.36,57.19,0.84,0.341,105.7,1.94,24.66,32,175.2,95.8,175.2,116.7,12.7,13.4,0.145,0.544,0.0342,-0.512,38.375,0.922,Canopy,13.4,0.145,194,2.68,356.94,0.543508712948955,Canopy,31.8,0.255,872,4.33
27,2,Adelaide River,Corymbia latifolia,6-Sep-08,2,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,7902,1.583,4.99,200.3,-27.15,19.68,47.45,0.49,0.462,70.8,2.99,10.7,32.4,100.6,53.1,123.3,80.3,12.7,6.8,0.069,0.56,0.0409,-1.3333,35.925,0.036,Canopy,6.76,0.0692,216,1.44,386.01,0.559570995570063,Canopy,22.4,0.172,910,3.43
28,2,Adelaide River,Corymbia latifolia,6-Sep-08,3,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,10152,1.959,5.18,193,-26.52,19.02,47.85,0.66,0.537,91.2,3.34,12.33,32.7,156,80.4,149.1,95.4,13.8,5.7,0.047,0.462,0.07,-1.8883,26.145,-0.943,Canopy,5.69,0.0467,181,1.32,392.14,0.461569847503443,Canopy,25.2,0.0765,583,1.85
29,2,Adelaide River,Corymbia latifolia,6-Sep-08,4,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5462,1.071,5.1,196.1,-26.9,19.42,47.79,0.51,0.288,72.1,1.82,17.86,33.2,124.2,61.4,133.3,83,13.7,6.1,0.077,0.632,0.0428,-1.9144,28.149,0.557,Canopy,6.06,0.0766,248,2.23,392.6,0.631686194600102,Canopy,22.5,0.12,788,3.07
30,2,Adelaide River,Corymbia latifolia,6-Sep-08,5,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,12377,2.536,4.88,204.9,-27.15,19.68,47.95,0.46,0.433,67.7,2.86,10.68,32.2,100.7,54.1,118.3,77.9,14.8,6.4,0.058,0.495,0.0584,-1.6892,30.616,0.438,Canopy,6.36,0.0584,185,1.53,373.76,0.494970034246575,Canopy,21.1,0.136,859,3.25
31,2,Adelaide River,Corymbia latifolia,6-Sep-08,6,1532,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,10739,1.928,5.57,179.5,-27.42,19.96,47.72,0.48,0.504,61,2.92,9.44,32.8,81.5,41.6,74.1,47.2,14.8,6.1,0.074,0.611,0.0464,-2.0836,16.597,0.796,Canopy,6.09,0.0743,231,1.93,378.22,0.610755644862778,Canopy,10.7,0.0935,933,2.61
40,3,Daly River,Eucalyptus tetrodonta (TR),10-Sep-08,3,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3549,0.697,5.09,196.4,-27.08,19.61,48.3,0.76,0.454,106.3,2.87,16.7,35,284.7,121.1,182.5,102.7,9.7,13.4,0.153,0.565,.,.,.,.,NA,13.4,0.153,NA,NA,NA,0.565,NA,NA,NA,NA,NA
41,3,Daly River,Eucalyptus tetrodonta (TR),10-Sep-08,4,1170,Canopy,Temperature response,Canopy leaves sampled for Temperature response curve,yes,3640,0.701,5.19,192.6,-27.75,20.31,48.65,0.66,0.402,90.9,2.5,16.44,35,212.3,90.3,140.8,79.2,9.6,12.7,0.141,0.557,.,.,.,.,NA,12.7,0.141,NA,NA,NA,0.557,NA,NA,NA,NA,NA
32,3,Daly River,Eucalyptus tetrodonta,8-Sep-08,1,1170,Canopy,Temperature response,Canopy leaves sampled for Temperature response curve,yes,4571,0.965,4.74,211.1,-28.55,21.15,48.01,0.79,0.562,119.6,3.83,14.11,32,143.4,78.4,152,101.3,11.9,.,.,.,0.0448,-3.9788,38.417,0.74,Canopy,19.1,0.532,286,9.45,363.54,0.786708477746603,Canopy,27.2,0.583,1010,9.86
33,3,Daly River,Eucalyptus tetrodonta,8-Sep-08,2,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2402,0.446,5.39,185.7,-27.94,20.51,48.66,0.93,0.762,123.6,4.57,12.22,32,186.9,102.1,161,107.3,12.1,.,.,.,0.0764,-3.4926,56.917,-0.954,Canopy,25.4,0.619,275,10.5,363.1,0.757367116496833,Canopy,28.3,0.716,1040,11.8
34,3,Daly River,Eucalyptus tetrodonta,8-Sep-08,3,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4942,1.023,4.83,207,-27.32,19.86,48.48,0.89,0.619,131.2,4.13,14.33,33.9,171.9,80.1,155.6,93.1,17,13.4,0.171,0.594,0.0689,-3.5225,49.077,-0.171,Canopy,13.4,0.171,212,4.84,357.04,0.593771006049742,Canopy,28.1,0.397,970,10.2
35,3,Daly River,Eucalyptus tetrodonta,8-Sep-08,4,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,9598,2.255,4.26,234.9,-28.78,21.4,45.36,0.79,0.411,131.9,3.12,19.12,33.8,212.6,99.9,192.1,115.6,16.9,12.6,0.196,0.663,0.0531,-2.0349,47.023,0.395,Canopy,12.6,0.196,241,5.18,363.72,0.662597602551413,Canopy,30.9,0.309,915,8.25
36,3,Daly River,Eucalyptus tetrodonta,9-Sep-08,5,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3700,0.642,5.76,173.5,-27.11,19.64,49.87,0.77,0.602,95.2,3.37,12.76,33.1,187.3,93.3,160.8,100.7,16.9,13.9,0.187,0.616,0.0681,-2.3574,40.764,0.344,Canopy,13.9,0.187,227,5.94,368.8,0.615509761388286,Canopy,28.4,0.271,881,6.76
37,3,Daly River,Eucalyptus tetrodonta,9-Sep-08,6,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5025,0.933,5.39,185.7,-27.17,19.71,46.85,0.73,0.423,96.3,2.53,17.17,35,192.1,81.7,148.8,83.8,16.8,5.5,0.06,0.55,0.0492,-1.5757,31.576,0.568,Canopy,5.52,0.0599,206,2.34,374.34,0.550301864615056,Canopy,23.3,0.159,811,4.76
44,3,Daly River,Corymbia latifolia,8-Sep-08,1,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,6676,1.465,4.56,219.4,-29.58,22.23,49.17,0.58,0.297,90.3,2.1,19.39,34.1,162.2,74.3,145.2,86,14.9,9.5,0.105,0.559,0.0705,-2.3172,35.241,0.062,Canopy,9.47,0.105,209,3.31,373.58,0.559451790781091,Canopy,25.8,0.219,899,6
45,3,Daly River,Corymbia latifolia,8-Sep-08,2,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5000,1.065,4.69,213,-29.74,22.41,49.56,0.59,0.335,89.6,2.3,17.6,34.2,189.3,86,152.5,89.7,14.8,11.3,0.185,0.687,0.0435,-2.0146,28.768,0.84,Canopy,11.3,0.185,260,5.5,378.67,0.686613674175403,Canopy,23.2,0.22,919,6.18
46,3,Daly River,Corymbia latifolia,8-Sep-08,3,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,6569,1.267,5.18,192.9,-30.56,23.27,50.01,0.52,0.387,72.1,2.41,13.53,34.7,183.5,80,137.1,78.4,15.8,10,0.125,0.602,0.0521,-0.9907,30.278,0.328,Canopy,9.96,0.125,223,3.91,370.53,0.601840606698513,Canopy,23.3,0.177,866,5.42
47,3,Daly River,Corymbia latifolia,8-Sep-08,4,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,6728,1.409,4.78,209.4,-29.8,22.47,48.54,0.66,0.346,98.2,2.34,18.96,34.3,172.4,77.7,150.5,88.1,15.7,12.6,0.216,0.692,0.0517,-2.2765,31.097,0.684,Canopy,12.6,0.216,259,6.24,374.49,0.691607252530108,Canopy,23.7,0.239,927,6.65
48,3,Daly River,Corymbia latifolia,9-Sep-08,5,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,6073,1.057,5.75,174,-29.8,22.47,47.54,0.6,0.36,74.5,2.02,16.63,34.7,177.9,77.6,151.5,86.7,15.6,7.9,0.093,0.573,0.0336,-0.426,30.237,0.877,Canopy,7.92,0.0929,209,2.97,364.73,0.573026622433033,Canopy,26.4,0.187,837,5.67
49,3,Daly River,Corymbia latifolia,9-Sep-08,6,1170,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,7985,1.35,5.91,169.1,-29.86,22.53,47.73,0.69,0.382,82.7,2.08,17.95,35.5,107.3,43.8,96,52.6,15.5,4.8,0.074,0.675,0.0434,-0.986,22.933,0.255,Canopy,4.75,0.0744,254,2.57,376.09,0.675370257119307,Canopy,17.1,0.13,863,4.36
50,4,Dry Creek,Eucalyptus tetrodonta,12-Sep-08,1,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4205,1.117,3.76,265.6,-27.58,20.14,47.29,0.58,0.432,109.3,3.7,13.35,32,189.8,103.7,165.1,110,9.6,14.2,0.186,0.626,0.0656,-1.9566,61.13,-1.588,Canopy,14.2,0.186,229,2.91,365.81,0.626008036959077,Canopy,29.6,0.201,859,3.95
51,4,Dry Creek,Eucalyptus tetrodonta,12-Sep-08,2,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3796,1.007,3.77,265.3,-27.63,20.19,46.09,0.63,0.451,119.4,3.86,13.98,32,164.6,89.9,133.4,88.9,9.6,11.3,0.144,0.633,0.0436,-1.713,25.689,0.729,Canopy,11.3,0.144,241,2.28,380.54,0.633310558679771,Canopy,22.4,0.146,863,2.93
52,4,Dry Creek,Eucalyptus tetrodonta,12-Sep-08,3,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5112,1.154,4.43,225.7,-28.77,21.39,46.49,0.77,0.436,123.8,3.18,17.61,32,166.3,90.9,136,90.6,10.6,10.8,0.11,0.539,0.0525,-1.7283,36.21,-0.366,Canopy,10.8,0.11,202,2.22,374.64,0.539184283578902,Canopy,23,0.14,840,2.81
53,4,Dry Creek,Eucalyptus tetrodonta,12-Sep-08,4,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3536,0.932,3.79,263.6,-27.49,20.04,48.19,0.58,0.35,109,2.98,16.53,32,150.5,82.2,125.2,83.4,10.6,16.5,0.182,0.562,0.0476,-1.964,31.723,-0.009,Canopy,16.5,0.182,210,3.64,373.83,0.561752668325175,Canopy,21,0.2,943,3.91
54,4,Dry Creek,Eucalyptus tetrodonta,NA,5,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3581,0.859,4.17,239.9,-27.08,19.61,49.06,0.91,0.493,155.1,3.82,18.35,35.2,116.8,48.9,95.4,53.1,14.7,2.3,0.029,0.616,0.0439,-1.389,11.25,0.808,NA,2.3,0.029,NA,NA,NA,0.616,NA,NA,NA,NA,NA
55,4,Dry Creek,Eucalyptus tetrodonta,NA,6,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3506,0.859,4.08,245,-26.79,19.31,50.19,0.89,0.511,155.2,4.04,17.35,36.7,217.1,80.3,134.6,69,14.7,2.6,0.037,0.652,0.0471,-2.1661,10.668,0.385,NA,2.6,0.037,NA,NA,NA,0.652,NA,NA,NA,NA,NA
56,4,Dry Creek,Eucalyptus tetrodonta,13-Sep-08,7,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2498,0.574,4.35,229.8,-27.15,19.68,48.75,0.91,0.53,149.5,3.93,17.18,32,217.9,119.1,179,119.2,8.6,11,0.108,0.529,0.062,-1.1454,37.595,-0.048,Canopy,11,0.108,198,1.76,374.42,0.528817905026441,Canopy,28.9,0.118,703,1.91
57,4,Dry Creek,Eucalyptus tetrodonta,13-Sep-08,8,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4056,0.871,4.66,214.7,-27.31,19.85,50.26,0.88,0.594,135.4,4.12,14.85,32,113.2,61.9,102.8,68.5,8.6,6,0.06,0.556,0.0172,-0.0044,17.175,0.934,Canopy,5.95,0.0602,214,1.24,384.69,0.556292079336609,Canopy,16.6,0.0658,715,1.36
60,4,Dry Creek,Corymbia terminalis,12-Sep-08,1,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2959,0.596,4.96,201.4,-29.28,21.92,48.23,0.78,0.372,112.2,2.42,20.98,34.8,221.5,95.8,186.2,106,15.8,7.6,0.07,0.486,0.0677,-2.0681,46.803,-0.164,Canopy,7.55,0.0704,180,2.44,370.33,0.486052979774795,Canopy,31.3,0.133,686,4.71
61,4,Dry Creek,Corymbia terminalis,12-Sep-08,2,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2463,0.507,4.86,205.8,-29.61,22.27,48.57,0.7,0.435,102.2,2.89,15.96,35.1,277.3,117,187.4,104.9,15.7,7.3,0.078,0.544,0.0544,-1.9811,38.082,0.02,Canopy,7.25,0.0775,203,2.76,372.91,0.544367273604891,Canopy,25.3,0.0903,601,3.27
62,4,Dry Creek,Corymbia terminalis,12-Sep-08,3,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3645,0.802,4.54,220,-30.01,22.69,50.78,0.74,0.378,115.7,2.68,19.47,34.7,251.3,109.6,205.3,117.5,16.8,7.8,0.074,0.497,0.065,-1.9734,53.015,-0.076,Canopy,7.8,0.0741,188,2.97,378.62,0.496540066557498,Canopy,34.5,0.152,705,5.24
63,4,Dry Creek,Corymbia terminalis,12-Sep-08,4,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3545,0.755,4.7,213,-29.64,22.3,49.23,0.6,0.343,90.7,2.35,17.39,34.4,242.7,108.5,163.8,95.4,16.7,4.8,0.058,0.594,0.0432,-1.6168,32.676,0.47,Canopy,4.79,0.0577,225,2.19,379,0.593667546174143,Canopy,23.3,0.0957,681,3.32
64,4,Dry Creek,Corymbia terminalis,NA,5,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3158,0.645,4.9,204.2,-28.78,21.4,49.24,0.57,0.696,83.2,4.59,8.19,32,46.2,25.3,37.6,25,10,4.7,0.044,0.525,.,.,.,.,NA,4.7,0.044,NA,NA,NA,0.525,NA,NA,NA,NA,NA
65,4,Dry Creek,Corymbia terminalis,NA,6,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2090,0.445,4.7,212.9,-28.78,21.4,48.4,0.71,0.39,107.7,2.68,18.15,32,175,95.6,137.6,91.7,9.9,6.6,0.064,0.545,.,.,.,.,NA,6.6,0.064,NA,NA,NA,0.545,NA,NA,NA,NA,NA
66,4,Dry Creek,Corymbia terminalis,13-Sep-08,7,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2323,0.47,4.94,202.3,-29.61,22.27,55.52,0.71,0.396,103,2.59,18,32,246.5,134.7,201.2,134,11.1,14.6,0.171,0.595,0.0594,-1.1218,48.087,0.128,Canopy,14.6,0.171,225,3.42,378.3,0.594766058683584,Canopy,34.3,0.193,815,3.8
67,4,Dry Creek,Corymbia terminalis,13-Sep-08,8,958,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2872,0.577,4.98,200.9,-29.99,22.67,53.69,0.77,0.381,110.4,2.47,20.19,32,121.6,66.5,127.9,85.2,11,8.2,0.086,0.555,0.0615,-1.3078,35.252,-0.716,Canopy,8.24,0.0858,209,1.86,376.65,0.554891809372096,Canopy,22.5,0.109,786,2.2
68,5,Sturt Plains,Eucalyptus pruinosa,15-Sep-08,1,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4347,1.171,3.71,269.4,-29.31,21.95,51.66,1.2,0.486,230.9,4.23,24.68,32,151.2,82.6,139.3,92.8,7.8,11.7,0.124,0.552,0.0618,-1.7782,39.099,-0.546,Canopy,11.7,0.124,210,3.26,380.13,0.5524425854313,Canopy,25.4,0.139,814,3.68
69,5,Sturt Plains,Eucalyptus pruinosa,15-Sep-08,2,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5102,1.546,3.3,303,-28.7,21.31,47.7,1.07,0.464,231.6,4.53,23.07,32,114,62.3,100.1,66.7,7.7,7.7,0.073,0.513,0.0369,-1.498,27.746,0.086,Canopy,7.67,0.0733,193,1.94,376.29,0.512902282813787,Canopy,15.9,0.0794,799,2.13
