scientificName,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,...9,partially_woody
Acacia decurrens,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dictyocarpa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia difformis,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dodonaeifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia doratoxylon,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia elata,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia elongata,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia enterocarpa,shrub,dense sprawling,NA,NA,NA,NA,NA,NA,NA
Acacia euthycarpa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia euthycarpa subsp. euthycarpa,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia euthycarpa subsp. oblanceolata,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia extensa,shrub,erect spindly,NA,NA,NA,NA,NA,NA,NA
Acacia exudans,shrub,dense,NA,NA,NA,NA,NA,NA,NA
Acacia falciformis,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia farinosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia fimbriata,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia flexifolia,shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia floribunda,tree shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Acacia frigescens,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia genistifolia,shrub,open,NA,NA,NA,NA,NA,NA,NA
Acacia genistifolia subsp. attenuata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia genistifolia subsp. genistifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia genistifolia subsp. platyphylla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia glandulicarpa,shrub,spreading dense,NA,NA,NA,NA,NA,NA,NA
Acacia gunnii,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,tree shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia halliana,shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia havilandiorum,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia homalophylla,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia howittii,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia implexa,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia infecunda,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia irrorata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia irrorata subsp. irrorata,tree,tufted,NA,NA,NA,NA,NA,NA,NA
Acacia iteaphylla,shrub,spreading bushy,NA,NA,NA,NA,NA,NA,NA
Acacia kettlewelliae,tree shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia kybeanensis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia lanigera,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia lanigera var. gracilipes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia lanigera var. lanigera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia lanigera var. whanii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. crassipoda,shrub,spindly,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. graveolens,shrub,spindly,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. magna,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. uninervia,shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia ligulata,tree shrub,dense,NA,NA,NA,NA,NA,NA,NA
Acacia linearifolia,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia lineata,shrub,spreading bushy dense,NA,NA,NA,NA,NA,NA,NA
Acacia loderi,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia longifolia,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia longifolia subsp. longifolia,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acacia longifolia subsp. sophorae,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia lucasii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia maidenii,tree,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia mearnsii,tree,spreading,NA,NA,NA,NA,NA,NA,NA
Acacia melanoxylon,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia melvillei,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia microcarpa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mitchellii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mollifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia montana,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mucronata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mucronata subsp. longifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia myrtifolia,shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia nanodealbata,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia nanopravissima,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia notabilis,shrub,spreading bushy,NA,NA,NA,NA,NA,NA,NA
Acacia nyssophylla,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia obliquinervia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia obtusifolia,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia oswaldii,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia oxycedrus,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia paradoxa,tree shrub,dense,NA,NA,NA,NA,NA,NA,NA
Acacia pendula,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia penninervis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia penninervis var. penninervis,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia phasmoides,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia phlebophylla,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia podalyriifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia pravissima,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia prominens,tree shrub,dense,NA,NA,NA,NA,NA,NA,NA
Acacia provincialis,tree shrub,bushy open,NA,NA,NA,NA,NA,NA,NA
Acacia pycnantha,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia rigens,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia rostellifera,tree shrub,spreading dense,NA,NA,NA,NA,NA,NA,NA
Acacia rostriformis,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia rubida,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia rupicola,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia salicina,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia saligna,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia schinoides,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sclerophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sclerophylla var. sclerophylla,shrub,dense,NA,NA,NA,NA,NA,NA,NA
Acacia siculiformis,shrub,procumbent,NA,NA,NA,NA,NA,NA,NA
Acacia silvestris,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia simmonsiana,shrub,spreading bushy,NA,NA,NA,NA,NA,NA,NA
Acacia spinescens,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acacia sporadica,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia stenophylla,tree shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Acacia stictophylla,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia stricta,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia suaveolens,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia subporosa,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia subtilinervis,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acacia tabula,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Acacia terminalis,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia trineura,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia triptera,tree shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Acacia ulicifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia uncifolia,tree shrub,spreading bushy dense,NA,NA,NA,NA,NA,NA,NA
Acacia ureniae,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acacia verniciflua,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia verticillata,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia verticillata subsp. cephalantha,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia verticillata subsp. ovoidea,shrub,prostrate spreading,NA,NA,NA,NA,NA,NA,NA
Acacia verticillata subsp. ruscifolia,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia verticillata subsp. verticillata,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acacia victoriae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia victoriae subsp. victoriae,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia wilhelmiana,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia williamsonii,shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia x grayana,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acaena,shrub herb,spreading decumbent mat_forming,NA,perennial,NA,NA,NA,NA,woody_base
Acaena agnipila,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Acaena echinata,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Acaena novae-zelandiae,herb,prostrate stoloniferous procumbent,NA,perennial,stolon,NA,NA,NA,NA
Acaena x anserovina,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Acaena x ovina,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Acanthaceae,tree subshrub herb climber,NA,NA,NA,NA,NA,NA,NA,NA
Acanthospermum,herb,erect decumbent,NA,annual,NA,NA,NA,NA,NA
Acanthospermum hispidum,herb,erect,NA,annual,NA,NA,NA,NA,NA
Acanthus,shrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Acanthus mollis,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Acer,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acer negundo,tree,NA,NA,NA,NA,NA,dioecious,NA,NA
Acer palmatum,tree shrub,NA,NA,NA,NA,NA,monoecious andromonoecious,NA,NA
Acer pseudoplatanus,tree,NA,NA,NA,NA,NA,monoecious andromonoecious,NA,NA
Acetosa,shrub,erect,NA,annual perennial,NA,NA,dioecious monoecious polygamous,NA,NA
Acetosa sagittata,climber,NA,NA,perennial,NA,NA,NA,NA,NA
Acetosa vesicaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetosella,herb,NA,NA,perennial,NA,NA,dioecious polygamous,NA,NA
Acetosella vulgaris,herb,erect,NA,NA,rhizome,NA,NA,NA,NA
Achillea,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Achillea distans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achillea distans subsp. tanacetifolia,herb,erect,NA,NA,NA,NA,NA,NA,NA
Achillea millefolium,herb,erect,NA,NA,NA,NA,NA,NA,NA
Acianthus,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Acianthus caudatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthus collinus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthus exsertus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthus fornicatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthus pusillus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciphylla,herb,tufted erect,NA,perennial,NA,NA,dioecious polygamous,NA,NA
Aciphylla glacialis,herb,erect,NA,NA,NA,NA,NA,NA,NA
Aciphylla simplicifolia,herb,tufted,NA,NA,NA,NA,NA,NA,NA
Acronychia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acronychia oblongifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acrothamnus,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acrothamnus hookeri,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acrothamnus maccraei,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acrothamnus montanus,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acrotriche,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acrotriche affinis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acrotriche cordata,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Acrotriche depressa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acrotriche leucocarpa,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Acrotriche prostrata,shrub,prostrate trailing,NA,NA,NA,NA,NA,NA,NA
Acrotriche serrulata,shrub,prostrate decumbent dense,NA,NA,NA,NA,NA,NA,NA
Actinidia,climber_woody,NA,NA,NA,NA,NA,dioecious polygamous,NA,NA
Actinidia chinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinidia chinensis var. deliciosa,climber_vine_woody,NA,NA,NA,NA,NA,dioecious,NA,NA
Actinidiaceae,tree climber_vine_woody shrub,NA,NA,NA,NA,NA,NA,NA,NA
Actinobole,herb,NA,NA,annual,NA,NA,NA,NA,NA
Actinobole uliginosum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinotus,subshrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Actinotus bellidioides,herb,tufted,NA,perennial,NA,NA,NA,NA,NA
Actinotus forsythii,herb,procumbent,NA,annual,NA,NA,NA,NA,NA
Actinotus helianthi,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Actites,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Actites megalocarpus,herb,erect,NA,NA,NA,NA,NA,NA,NA
Adenanthos,tree subshrub shrub,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Adenanthos terminalis,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Adiantum,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Adiantum aethiopicum,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Adiantum capillus-veneris,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Adiantum diaphanum,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Adiantum formosum,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Adiantum hispidulum,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Adiantum hispidulum var. hispidulum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adiantum hispidulum var. hypoglaucum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonis,herb,NA,NA,annual,NA,NA,NA,NA,NA
Adonis microcarpa,NA,erect,NA,annual,NA,NA,NA,NA,NA
Adriana,shrub,NA,NA,perennial,NA,NA,dioecious,NA,NA
Adriana quadripartita,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Adriana tomentosa,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Adriana tomentosa var. hookeri,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Adriana tomentosa var. tomentosa,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Aegopodium,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Aegopodium podagraria,NA,erect spreading,NA,perennial,rhizome,NA,NA,NA,NA
Aeonium,shrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Aeonium arboreum,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Aeonium haworthii,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Agapanthus,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Agapanthus praecox,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapanthus praecox subsp. orientalis,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Agave,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agave americana,herb,spreading rosette,NA,NA,rhizome,NA,NA,NA,NA
Ageratina,shrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Ageratina adenophora,subshrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Ageratina ligustrina,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Agonis,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Agonis flexuosa,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Agrostemma,herb,NA,NA,annual,NA,NA,NA,NA,NA
Agrostemma githago,NA,NA,NA,annual,NA,NA,NA,NA,NA
Agrostis,NA,stoloniferous tufted,NA,annual perennial,rhizome stolon,NA,NA,NA,NA
Agrostis australiensis,NA,tufted erect,NA,annual perennial,NA,NA,NA,NA,NA
Agrostis bettyae,NA,tufted erect,NA,annual perennial,rhizome,NA,NA,NA,NA
Agrostis capillaris,NA,stoloniferous erect,NA,perennial,rhizome stolon,NA,NA,NA,NA
Agrostis capillaris var. aristata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis capillaris var. capillaris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis gigantea,NA,erect,NA,perennial,rhizome,NA,NA,NA,NA
Agrostis joyceae,NA,tufted erect,NA,annual,NA,NA,NA,NA,NA
Agrostis muelleriana,NA,tufted erect,NA,annual perennial,NA,NA,NA,NA,NA
Agrostis parviflora,NA,tufted erect,NA,annual,NA,NA,NA,NA,NA
Agrostis propinqua,NA,tufted erect,NA,perennial,rhizome,NA,NA,NA,NA
Agrostis stolonifera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis thompsoniae,NA,tufted erect,NA,annual,NA,NA,NA,NA,NA
Agrostis venusta,NA,tufted erect,NA,annual perennial,NA,NA,NA,NA,NA
Ailanthus,tree,NA,NA,NA,NA,NA,dioecious polygamodioecious,NA,NA
Ailanthus altissima,tree,erect,NA,NA,NA,NA,NA,NA,NA
Aira,NA,NA,NA,annual,NA,NA,NA,NA,NA
Aira caryophyllea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aira cupaniana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aira elegantissima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aira praecox,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Aizoon,shrub herb,erect procumbent,NA,annual perennial,NA,NA,NA,NA,NA
Aizoon pubescens,subshrub,procumbent,NA,NA,NA,NA,NA,NA,NA
Aizoon rigidum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoon secundum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajuga,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Ajuga australis,herb,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Ajuga reptans,NA,stoloniferous procumbent,NA,perennial,stolon,NA,NA,NA,NA
Albuca,herb,tufted,NA,perennial,NA,NA,NA,NA,NA
Albuca bracteata,NA,tufted erect,NA,NA,NA,NA,NA,NA,NA
Albuca nelsonii,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Alchemilla,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Alchemilla xanthochlora,herb,tufted,NA,NA,NA,NA,NA,NA,NA
Alectryon,tree shrub,NA,NA,NA,NA,NA,monoecious,NA,NA
Alectryon oleifolius,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectryon oleifolius subsp. canescens,tree shrub,erect bushy,NA,NA,NA,NA,NA,NA,NA
Alectryon subcinereus,tree,NA,NA,NA,NA,NA,NA,NA,NA
Alhagi,shrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Alhagi maurorum,shrub,erect,NA,NA,NA,NA,NA,NA,woody_base
Alisma,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Alisma lanceolatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alisma plantago-aquatica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alismataceae,aquatic_herb,stoloniferous,NA,annual perennial,rhizome stolon,aquatic,dioecious monoecious,NA,NA
Alliaria,herb,NA,NA,short_lived_perennial annual biennial,NA,NA,NA,NA,NA
Alliaria petiolata,herb,NA,NA,biennial,NA,NA,NA,NA,NA
Allittia,herb,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Allittia cardiocarpa,herb,tufted,NA,NA,NA,NA,NA,NA,NA
Allittia uliginosa,herb,tufted,NA,NA,NA,NA,NA,NA,NA
Allium,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Allium ampeloprasum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium neapolitanum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium paniculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium paniculatum subsp. paniculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium triquetrum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium vineale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina,tree shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina diminuta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina diminuta subsp. diminuta,tree shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina grampiana,shrub,NA,NA,NA,NA,NA,dioecious,NA,NA
Allocasuarina littoralis,tree shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina luehmannii,tree,NA,NA,NA,NA,NA,dioecious,NA,NA
Allocasuarina mackliniana,shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina mackliniana subsp. hirtilinea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina mackliniana subsp. mackliniana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina mackliniana subsp. xerophila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina media,shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina misera,shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina muelleriana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina muelleriana subsp. muelleriana,shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
