canonicalName,scientificNameAuthorship
Selaginella kraussiana,(Kunze) A.Braun
Selaginella longiciliata,Hieron.
Selaginella longipinna,Warb.
Selaginella plana,(Desv.) Hieron.
Selaginella pygmaea,(Kaulf.) Alston
Selaginella sp. Mt Gilruth (D.L.Jones 1543),NT Herbarium
Selaginella uliginosa,(Labill.) Spring
Selaginella umbrosa,Lem. ex Hieron.
Selaginella vogelii,Spring
Selaginella willdenowii,(Desv. ex Poir.) Baker
Aciphylla glacialis,(F.Muell.) Benth.
Aciphylla simplicifolia,(F.Muell.) Benth.
Actinotus bellidioides,(Hook.f.) Benth.
Actinotus forsythii,Maiden & Betche
Actinotus gibbonsii,F.Muell.
Actinotus glomeratus,Benth.
Actinotus helianthi,Labill.
Actinotus humilis,(F.Muell. & Tate) Domin
Actinotus laxus,Keighery
Actinotus leucocephalus,Benth.
Actinotus minor,(Sm.) DC.
Actinotus moorei,F.Muell. ex Rodway
Actinotus omnifertilis,(F.Muell.) Benth.
Actinotus paddisonii,R.T.Baker
Actinotus periculosus,Henwood
Actinotus repens,Keighery ex Henwood
Actinotus rhomboideus,(Turcz.) Benth.
Actinotus schwarzii,F.Muell.
Actinotus sp. Comet Vale (A.V.Milewski AVM1093),WA Herbarium
Actinotus suffocatus,(Hook.f.) Rodway
Actinotus superbus,O.H.Sarg.
Actinotus whicheranus,Keighery
Aegopodium podagraria,L.
Ammi majus,L.
Ammi visnaga,(L.) Lam.
Anethum graveolens,L.
Anisotome procumbens,(F.Muell.) C.J.Webb
Anthriscus caucalis,M.Bieb.
Apium annuum,P.S.Short
Apium graveolens,L.
Apium insulare,P.S.Short
Apium prostratum,Vent.
Azorella fragosea,(F.Muell.) Druce
Azorella macquariensis,Orchard
Azorella polaris,(Hombr. & Jacquinot ex Hook.f.) G.M.Plunkett & A.N.Nicolas
Azorella selago,Hook.f.
Berula erecta,(Huds.) Coville
Bifora testiculata,(L.) Spreng.
Brachyscias verecundus,J.M.Hart & Henwood
Bupleurum glumaceum,Sibth. & Sm.
Bupleurum lancifolium,Hornem.
Bupleurum odontites,L.
Bupleurum rotundifolium,L.
Bupleurum semicompositum,L.
Capnophyllum africanum,(L.) Gaertn.
Centella asiatica,(L.) Urb.
Centella cordifolia,(Hook.f.) Nannf.
Centella uniflora,(Colenso) Nannf.
Chlaenosciadium gardneri,C.Norman
Conium maculatum,L.
Coriandrum sativum,L.
Crithmum maritimum,L.
Cryptotaenia canadensis,(L.) DC.
Cyclospermum leptophyllum,(Pers.) Sprague ex Britton & P.Wilson
Daucus carota,L.
Daucus glochidiatus,"(Labill.) Fisch., C.A.Mey. & Ave-Lall."
Dichosciadium ranunculaceum,(F.Muell.) Domin
Diplaspis cordifolia,(Hook.) Hook.f.
Diplaspis hydrocotyle,Hook.f.
Diplaspis nivis,Van den Borre & Henwood
Eryngium campestre,L.
Eryngium expansum,F.Muell. ex Klatt
Eryngium foetidum,L.
Eryngium fontanum,A.E.Holland & E.J.Thomps.
Eryngium maritimum,L.
Eryngium ovinum,A.Cunn.
Eryngium paludosum,(C.Moore & Betche) P.W.Michael
Eryngium pandanifolium,Cham. & Schltdl.
Eryngium pinnatifidum,Bunge
Eryngium plantagineum,F.Muell.
Eryngium sp. Ferox (G.J.Keighery 16034),WA Herbarium
Eryngium sp. Lake Muir (E.Wittwer 2293),WA Herbarium
Eryngium sp. Subdecumbens (G.J.Keighery 5390),WA Herbarium
Eryngium supinum,J.M.Black
Eryngium vesiculosum,Labill.
Ferula communis,L.
Foeniculum vulgare,Mill.
Gingidia algens,(F.Muell.) J.W.Dawson
Gingidia harveyana,(F.Muell.) J.W.Dawson
Gingidia rupicola,I.Telford & J.J.Bruhl
Helosciadium nodiflorum,(L.) W.D.J.Koch
Homalosciadium homalocarpum,(F.Muell.) H.Eichler
Lilaeopsis brisbanica,A.R.Bean
Lilaeopsis polyantha,(Gand.) H.Eichler
Lilaeopsis sp. West Coast (A.Moscal 5655),Tas. Herbarium
Neosciadium glochidiatum,(Benth.) Domin
Oenanthe javanica,DC.
Oenanthe pimpinelloides,L.
Oreomyrrhis argentea,(Hook.f.) Hook.f.
Oreomyrrhis brevipes,Mathias & Constance
Oreomyrrhis ciliata,Hook.f.
Oreomyrrhis eriopoda,(DC.) Hook.f.
Oreomyrrhis gunnii,Mathias & Constance
Oreomyrrhis pulvinifica,F.Muell.
Oreomyrrhis sessiliflora,Hook.f.
Oschatzia cuneifolia,(F.Muell.) Drude
Oschatzia saxifraga,(Hook.f.) Walp.
Pastinaca sativa,L.
Pentapeltis peltigera,(Hook.) Bunge
Pentapeltis silvatica,(Diels) Domin
Petroselinum crispum,(Mill.) Fuss
Platysace arnhemica,Specht
Platysace cirrosa,Bunge
Platysace clelandii,(Maiden & Betche) L.A.S.Johnson
Platysace commutata,(Turcz.) C.Norman
Platysace compressa,(Labill.) C.Norman
Platysace deflexa,(Turcz.) C.Norman
Platysace effusa,(Turcz.) C.Norman
Platysace ericoides,(Sieber ex Spreng.) C.Norman
Platysace filiformis,(Bunge) C.Norman
Platysace haplosciadia,(Benth.) C.Norman
Platysace heterophylla,(Benth.) C.Norman
Platysace juncea,(Bunge) C.Norman
Platysace lanceolata,(Labill.) Druce
Platysace linearifolia,(Cav.) C.Norman
Platysace maxwellii,(F.Muell.) C.Norman
Platysace pendula,(Benth.) C.Norman
Platysace ramosissima,(Benth.) C.Norman
Platysace saxatilis,Keighery
Platysace sp. Eneabba (R.Hnatiuk 770001),WA Herbarium
Platysace sp. Kalbarri (D. & B.Bellairs 1383),WA Herbarium
Platysace sp. Kennedy (P.G.Wilson 8450),WA Herbarium
Platysace sp. Mt Ninderry (P.R.Sharpe+ 2092),Qld Herbarium
Platysace sp. Stirling (J.M.Fox 88/262),WA Herbarium
Platysace sp. Watsonville (P.I.Forster PIF6259),Qld Herbarium
Platysace stephensonii,(Turcz.) C.Norman
Platysace tenuissima,(Benth.) C.Norman
Platysace trachymenioides,F.Muell.
Platysace valida,(F.Muell.) F.Muell.
Platysace xerophila,(E.Pritz.) L.A.S.Johnson
Scandix pecten-veneris,L.
Schoenolaena juncea,Bunge
Tordylium apulum,L.
Torilis arvensis,(Huds.) Link
Torilis nodosa,(L.) Gaertn.
Xanthosia atkinsoniana,F.Muell.
Xanthosia candida,(Benth.) Steud.
Xanthosia ciliata,Hook.
Xanthosia collina,Keighery
Xanthosia dissecta,Hook.f.
Xanthosia eichleri,J.M.Hart & Henwood
Xanthosia fruticulosa,Benth.
Xanthosia huegelii,(Benth.) Steud.
Xanthosia kochii,(E.Pritz.) J.M.Hart & Henwood
Xanthosia leiophylla,F.Muell. ex Klatt
Xanthosia peduncularis,Benth.
Xanthosia pilosa,Rudge
Xanthosia rotundifolia,DC.
Xanthosia scopulicola,J.M.Hart & Henwood
Xanthosia singuliflora,F.Muell.
Xanthosia sp. Dardanup (B.J.Keighery & N.Gibson 174),WA Herbarium
Xanthosia stellata,J.M.Hart & Henwood
Xanthosia tasmanica,Domin
Xanthosia ternifolia,J.M.Hart & Henwood
Xanthosia tomentosa,A.S.George
Xanthosia tridentata,DC.
Aralia spinosa,L.
Astrotricha asperifolia,F.Muell. ex Klatt
Astrotricha biddulphiana,F.Muell.
Astrotricha brachyandra,A.R.Bean
Astrotricha cordata,A.R.Bean
Astrotricha crassifolia,Blakely
Astrotricha floccosa,DC.
Astrotricha glabra,Domin
Astrotricha hamptonii,F.Muell.
Astrotricha intermedia,A.R.Bean
Astrotricha latifolia,Benth.
Astrotricha ledifolia,DC.
Astrotricha linearis,A.Cunn. ex Benth.
Astrotricha longifolia,Benth.
Astrotricha obovata,Makinson
Astrotricha parvifolia,N.A.Wakef.
Astrotricha pauciflora,A.R.Bean
Astrotricha pterocarpa,Benth.
Astrotricha roddii,Makinson
Astrotricha sp. Deua (R.O.Makinson 1647),NSW Herbarium
Astrotricha sp. Howe Range (D.E.Albrecht 1054),Vic. Herbarium
Astrotricha sp. Mount Boss (P.Gilmour 7907),NSW Herbarium
Astrotricha sp. Mt Zero (V.Stajsic 4204),Vic. Herbarium
Astrotricha sp. Quorrobolong (S.Lewer 40),NSW Herbarium
Astrotricha sp. Suggan Buggan (J.Turner 211),Vic. Herbarium
Astrotricha sp. Victoria Range (V.Stajsic 4207),Vic. Herbarium
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228),NSW Herbarium
Astrotricha sp. Watchimbark (P.Gilmour 7938),NSW Herbarium
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),Vic. Herbarium
Astrotricha umbrosa,A.R.Bean
Cephalaralia cephalobotrys,(F.Muell.) Harms
Hedera helix,L.
Hydrocotyle acutiloba,(F.Muell.) N.A.Wakef.
Hydrocotyle alata,A.Rich.
Hydrocotyle algida,N.A.Wakef.
Hydrocotyle blepharocarpa,F.Muell.
Hydrocotyle bonariensis,Lam.
Hydrocotyle callicarpa,Bunge
Hydrocotyle capillaris,F.Muell. ex Klatt
Hydrocotyle comocarpa,F.Muell.
Hydrocotyle corynophora,F.Muell.
Hydrocotyle crassiuscula,Tate
Hydrocotyle diantha,DC.
Hydrocotyle digitata,A.R.Bean & Henwood
Hydrocotyle dipleura,A.R.Bean
Hydrocotyle foveolata,H.Eichler
Hydrocotyle geraniifolia,F.Muell.
Hydrocotyle grammatocarpa,F.Muell.
Hydrocotyle hirta,R.Br. ex A.Rich.
Hydrocotyle hispidula,Bunge
Hydrocotyle laxiflora,DC.
Hydrocotyle lemnoides,Benth.
Hydrocotyle medicaginoides,Turcz.
Hydrocotyle miranda,A.R.Bean & Henwood
Hydrocotyle muriculata,Turcz.
Hydrocotyle muscosa,R.Br. ex A.Rich.
Hydrocotyle novae-zeelandiae,DC.
Hydrocotyle oraria,A.R.Bean
Hydrocotyle paludosa,A.R.Bean
Hydrocotyle pedicellosa,F.Muell. ex Benth.
Hydrocotyle pilifera,Turcz.
Hydrocotyle plebeya,R.Br. ex A.Rich.
Hydrocotyle pterocarpa,F.Muell.
Hydrocotyle ranunculoides,L.f.
Hydrocotyle rivularis,H.Eichler ex Henwood
Hydrocotyle rugulosa,Turcz.
Hydrocotyle scutellifera,Benth.
Hydrocotyle sibthorpioides,Lam.
Hydrocotyle sp. Coorowensis (P.G.Wilson 12580),WA Herbarium
Hydrocotyle sp. Coraginaensis (K.R.Newbey 7477),WA Herbarium
Hydrocotyle sp. Crassipes (K.R.Newbey 7567),WA Herbarium
Hydrocotyle sp. Decipiens (G.J.Keighery 463),WA Herbarium
Hydrocotyle sp. Hamelinensis (G.J.Keighery s.n. (PERTH 02391325)),WA Herbarium
Hydrocotyle sp. Harts Range (A.C.Beauglehole 44720),H.Eichler
Hydrocotyle sp. Hexaptera (T.Erickson TEE 173),WA Herbarium
Hydrocotyle sp. Lake Broadwater (K.A.Williams AQ230829),Qld Herbarium
Hydrocotyle sp. Montane pools (A.C.Beauglehole 68621),Vic. Herbarium
Hydrocotyle sp. Puberula (H.Eichler 22058),WA Herbarium
Hydrocotyle sp. Truslove (M.A.Burgman 4419),WA Herbarium
Hydrocotyle sp. Ulupna Island (T.B.Muir 6844),Vic. Herbarium
Hydrocotyle sp. Vigintimilia (P.G.Wilson 7940),WA Herbarium
Hydrocotyle sp. Warriedar (P.G.Wilson 12267),WA Herbarium
Hydrocotyle sp. Watarrka (A.C.Beauglehole 20471),H.Eichler
Hydrocotyle striata,Benth.
Hydrocotyle tetragonocarpa,Bunge
Hydrocotyle trachycarpa,F.Muell.
Hydrocotyle tripartita,R.Br. ex A.Rich.
Hydrocotyle tumida,A.R.Bean & Henwood
Hydrocotyle verticillata,Thunb.
Mackinlaya confusa,Hemsl.
Mackinlaya macrosciadea,(F.Muell.) F.Muell.
Meryta angustifolia,(Endl.) Seem.
Meryta latifolia,(Endl.) Seem.
Motherwellia haplosciadea,F.Muell.
Polyscias australiana,(F.Muell.) Philipson
Polyscias bellendenkerensis,(F.M.Bailey) Philipson
Polyscias cissodendron,(C.Moore & F.Muell.) Harms
Polyscias elegans,(C.Moore & F.Muell.) Harms
Polyscias fruticosa,(L.) Harms
Polyscias macgillivrayi,(Seem.) Harms
Polyscias mollis,(Benth.) Harms
Polyscias murrayi,(F.Muell.) Harms
Polyscias nodosa,(Blume) Seem.
Polyscias purpurea,C.T.White
Polyscias sambucifolia,(Sieber ex DC.) Harms
Polyscias scutellaria,(Burm.f.) Fosberg
Polyscias sp. Douglas-Denison (R.Schahinger HO526133),Tas. Herbarium
Polyscias spectabilis,(Harms) Lowry & G.M.Plunkett
Polyscias willmottii,(F.Muell.) Philipson
Polyscias zippeliana,(Miq.) Valeton
Pseudopanax gunnii,(Hook.f.) K.Koch
Schefflera actinophylla,(Endl.) Harms
Schefflera arboricola,(Hayata) Merr.
Schefflera bractescens,Ridl.
Schefflera elliptica,(Blume) Harms
Tetrapanax papyrifer,(Hook.) K.Koch
Trachymene anisocarpa,(Turcz.) B.L.Burtt
Trachymene bialata,(Domin) B.L.Burtt
Trachymene bivestita,(Domin) L.A.S.Johnson
Trachymene ceratocarpa,(W.Fitzg.) Keighery & Rye
Trachymene clivicola,Boyland & A.E.Holland
Trachymene coerulea,Graham
Trachymene composita,(Domin) B.L.Burtt
Trachymene croniniana,(F.Muell.) T.Durand & B.D.Jacks.
Trachymene cussonii,(Montrouz.) B.L.Burtt
Trachymene cyanantha,Boyland
Trachymene cyanopetala,(F.Muell.) Benth.
Trachymene dendrothrix,Maconochie
Trachymene didiscoides,(F.Muell.) B.L.Burtt
Trachymene dusenii,(Domin) F.M.Bailey
Trachymene elachocarpa,(F.Muell.) B.L.Burtt
Trachymene geraniifolia,F.M.Bailey
Trachymene gilleniae,(Tate) B.L.Burtt
Trachymene glandulosa,(F.Muell.) Benth.
Trachymene glaucifolia,(F.Muell.) Benth.
Trachymene grandis,(Turcz.) Rye
Trachymene hookeri,(Domin) A.E.Holland
Trachymene humilis,(Hook.f.) Benth.
Trachymene incisa,Rudge
Trachymene inflata,Maconochie
Trachymene longipedunculata,Maconochie
Trachymene microcephala,(Domin) B.L.Burtt
Trachymene montana,A.E.Holland
Trachymene ochracea,L.A.S.Johnson
Trachymene oleracea,(Domin) B.L.Burtt
Trachymene ornata,(Endl.) Druce
Trachymene pilbarensis,Rye
Trachymene pilosa,Sm.
Trachymene procumbens,(F.Muell.) Benth.
Trachymene psammophila,Maconochie
Trachymene pyrophila,Rye
Trachymene rotundifolia,(Benth.) Maconochie
Trachymene scapigera,(Domin) B.L.Burtt
Trachymene sp. Hook Island (G.N.Batianoff+ 900938),Qld Herbarium
Trachymene sp. Laura (A.R.Bean 1863),Qld Herbarium
Trachymene sp. Sharp Point (J.R.Clarkson 2101),Qld Herbarium
Trachymene sp. Temple Bay (J.R.Clarkson 2175),Qld Herbarium
Trachymene sp. Theda (M.D.Barrett MDB1661),WA Herbarium
Trachymene tenuifolia,(Domin) B.L.Burtt
Trachymene thysanocarpa,J.M.Hart
Trachymene umbratica,J.M.Hart
Trachymene villosa,(F.Muell.) Benth.
Griselinia littoralis,(Raoul) Raoul
Delarbrea michieana,(F.Muell.) F.Muell.
Delarbrea paradoxa,Veill.
Pennantia cunninghamii,Miers
Pennantia endlicheri,Reissek
Auranticarpa edentata,"L.Cayzer, Crisp & I.Telford"
Auranticarpa ilicifolia,"L.Cayzer, Crisp & I.Telford"
Auranticarpa melanosperma,"(F.Muell.) L.Cayzer, Crisp & I.Telford"
Auranticarpa papyracea,"L.Cayzer, Crisp & I.Telford"
Auranticarpa resinosa,"(Domin) L.Cayzer, Crisp & I.Telford"
Auranticarpa rhombifolia,"(A.Cunn. ex Hook.) L.Cayzer, Crisp & I.Telford"
Bentleya diminuta,Crisp & J.M.Taylor
Bentleya spinescens,E.M.Benn.
Billardiera coriacea,Benth.
Billardiera cymosa,F.Muell.
Billardiera drummondii,(C.Morren) L.Cayzer & Crisp
Billardiera floribunda,(Putt.) F.Muell.
Billardiera fraseri,(Hook.) F.Muell.
Billardiera fusiformis,Labill.
Billardiera heterophylla,(Lindl.) L.Cayzer & Crisp
Billardiera laxiflora,(Benth.) E.M.Benn.
Billardiera lehmanniana,F.Muell.
Billardiera longiflora,Labill.
Billardiera macrantha,Hook.f.
Billardiera mutabilis,Salisb.
Billardiera nesophila,L.Cayzer & D.L.Jones
Billardiera ovalis,Lindl.
Billardiera rubens,"L.Cayzer, Crisp & I.Telford"
Billardiera scandens,Sm.
Billardiera sericophora,F.Muell.
Billardiera speciosa,(Endl.) F.Muell.
Billardiera sp. Yorke Peninsula (P.C.Heyligers 80164),R.M.Barker & Vonow
Billardiera uniflora,E.M.Benn.
Billardiera variifolia,DC.
Billardiera venusta,(Putt.) L.Cayzer & Crisp
Billardiera versicolor,F.Muell. ex Klatt
Billardiera viridiflora,L.Cayzer & D.L.Jones
Bursaria calcicola,"L.Cayzer, Crisp & I.Telford"
Bursaria cayzerae,I.Telford & L.M.Copel.
Bursaria incana,Lindl.
Bursaria longisepala,Domin
Bursaria occidentalis,E.M.Benn.
Bursaria reevesii,"L.Cayzer, Crisp & I.Telford"
Bursaria spinosa,Cav.
Bursaria tenuifolia,F.M.Bailey
Cheiranthera alternifolia,E.M.Benn.
Cheiranthera borealis,(E.M.Benn.) L.Cayzer & Crisp
Cheiranthera brevifolia,F.Muell.
Cheiranthera filifolia,Turcz.
Cheiranthera linearis,A.Cunn. ex Lindl.
Cheiranthera parviflora,Benth.
Cheiranthera preissiana,Putt.
Cheiranthera simplicifolia,(E.M.Benn.) L.Cayzer & Crisp
Cheiranthera telfordii,L.Cayzer & Crisp
Cheiranthera volubilis,Benth.
Hymenosporum flavum,(Hook.) F.Muell.
Marianthus aquilonaris,N.Gibson & Wege
Marianthus bicolor,(Putt.) F.Muell.
Marianthus bignoniaceus,F.Muell.
Marianthus candidus,Hügel ex Endl.
Marianthus coeruleopunctatus,Klotzsch
Marianthus drummondianus,(Putt.) Benth.
Marianthus dryandra,L.Cayzer & Crisp
Marianthus erubescens,Putt.
Marianthus granulatus,(Turcz.) Benth.
Marianthus microphyllus,(Turcz.) Benth.
Marianthus mollis,(E.M.Benn.) L.Cayzer & Crisp
Marianthus paralius,L.Cayzer & Crisp
Marianthus ringens,(Drumm. ex Harv.) F.Muell.
Marianthus sylvaticus,L.Cayzer & Crisp
Marianthus tenuis,Benth.
Pittosporum angustifolium,Lodd.
Pittosporum bicolor,Hook.
Pittosporum bicolor x Pittosporum undulatum,Hook. x Pittosporum undulatum Vent.
Pittosporum bracteolatum,Endl.
Pittosporum crassifolium,Banks & Sol. ex A.Cunn.
Pittosporum erioloma,C.Moore & F.Muell.
Pittosporum eugenioides,A.Cunn.
Pittosporum ferrugineum,W.T.Aiton
Pittosporum lancifolium,"(F.M.Bailey) L.Cayzer, Crisp & I.Telford"
Pittosporum ligustrifolium,A.Cunn.
Pittosporum moluccanum,(Lam.) Miq.
Pittosporum multiflorum,"(A.Cunn. ex Loudon) L.Cayzer, Crisp & I.Telford"
Pittosporum nativitatis,Baker
Pittosporum oreillyanum,C.T.White
Pittosporum phillyreoides,DC.
Pittosporum ralphii,Kirk
Pittosporum revolutum,W.T.Aiton
Pittosporum rubiginosum,A.Cunn.
Pittosporum spinescens,"(F.Muell.) L.Cayzer, Crisp & I.Telford"
Pittosporum tenuifolium,Gaertn.
Pittosporum trilobum,"L.Cayzer, Crisp & I.Telford"
Pittosporum undulatum,Vent.
Pittosporum venulosum,F.Muell.
Pittosporum viscidum,"L.Cayzer, Crisp & I.Telford"
Pittosporum wingii,F.Muell.
Rhytidosporum alpinum,McGill.
Rhytidosporum diosmoides,"(Putt.) L.Cayzer, Crisp & I.Telford"
Rhytidosporum inconspicuum,"L.Cayzer, Crisp & I.Telford"
Rhytidosporum procumbens,(Hook.) F.Muell.
Rhytidosporum prostratum,McGill.
Ilex aquifolium,L.
Ilex arnhemensis,(F.Muell.) Loes.
Ilex cassine,L.
Ilex sp. Gadgarra (B.P.Hyland RFK 2011),Qld Herbarium
Cardiopteris moluccana,Blume
Quintinia fawkneri,F.Muell.
Quintinia quatrefagesii,F.Muell.
Quintinia sieberi,A.DC.
Quintinia verdonii,F.Muell.
Sphenostemon lobosporus,(F.Muell.) L.S.Sm.
Crispiloba disperma,(S.Moore) Steenis
Wittsteinia vacciniacea,F.Muell.
Argophyllum cryptophlebum,Zemann
Argophyllum lejourdanii,F.Muell.
Argophyllum nullumense,R.T.Baker
Argophyllum sp. Babinda (L.S.Smith 10213),Qld Herbarium
Argophyllum sp. Koolmoon Creek (B.Gray 1040),Qld Herbarium
Argophyllum verae,P.I.Forst.
Corokia carpodetoides,(F.Muell.) L.S.Sm.
Corokia whiteana,L.S.Sm.
Abrotanella forsteroides,(Hook.f.) Benth.
Abrotanella nivigena,(F.Muell.) F.Muell.
Abrotanella scapigera,(F.Muell.) Benth.
Acanthocladium dockeri,F.Muell.
Acanthospermum australe,(Loefl.) Kuntze
Acanthospermum hispidum,DC.
Achillea distans,Waldst. & Kit. ex Willd.
Achillea millefolium,L.
Achillea tomentosa,L.
Achnophora tatei,F.Muell.
Acmella grandiflora,(Turcz.) R.K.Jansen
Acmella uliginosa,(Sw.) Cass.
Acomis acoma,(F.Muell.) Druce
Acomis bella,A.E.Holland
Acomis kakadu,Paul G.Wilson
Acomis macra,F.Muell.
Actinobole condensatum,(A.Gray) P.S.Short
Actinobole drummondianum,P.S.Short
Actinobole oldfieldianum,P.S.Short
Actinobole uliginosum,(A.Gray) H.Eichler
Actites megalocarpus,(Hook.f.) Lander
Acunniana procumbens,(DC.) Orchard
Adenostemma lavenia,(L.) Kuntze
Adenostemma macrophyllum,(Blume) DC.
Ageratina adenophora,(Spreng.) R.M.King & H.Rob.
Ageratina ligustrina,(DC.) R.M.King & H.Rob.
Ageratina riparia,(Regel) R.M.King & H.Rob.
Ageratum conyzoides,L.
Ageratum houstonianum,Mill.
Allittia cardiocarpa,(F.Muell. ex Benth.) P.S.Short
Allittia uliginosa,(G.L.Davis) P.S.Short
Allopterigeron filifolius,(F.Muell.) Dunlop
Ambrosia artemisiifolia,L.
Ambrosia confertiflora,DC.
Ambrosia psilostachya,DC.
Ambrosia tenuifolia,Spreng.
Ammobium alatum,R.Br.
Ammobium craspedioides,Benth.
Anemocarpa calcicola,Paul G.Wilson
Anemocarpa podolepidium,(F.Muell.) Paul G.Wilson
