taxon_name,trait_name,value_type,value,unit,observation_id,original_name,authors
Amphibolis antarctica,plant_height,maximum,1.5,m,0109,Amphibolis antarctica,Author: H.B.S. Womersley
Amphibolis griffithii,leaf_length,minimum,50,mm,0110,Amphibolis griffithii,Author: H.B.S. Womersley
Amphibolis griffithii,leaf_length,maximum,100,mm,0110,Amphibolis griffithii,Author: H.B.S. Womersley
Amphibolis griffithii,leaf_width,minimum,3,mm,0110,Amphibolis griffithii,Author: H.B.S. Womersley
Amphibolis griffithii,leaf_width,maximum,7,mm,0110,Amphibolis griffithii,Author: H.B.S. Womersley
Amphibolis griffithii,plant_height,maximum,1,m,0110,Amphibolis griffithii,Author: H.B.S. Womersley
Amphibromus nervosus,plant_height,maximum,1.25,m,0113,Amphibromus nervosus,"Citation: Druce, Rep. Botl Soc. Exch. Club Br. Isl. 1916:604 (1917)."
Amphipogon caricinus,plant_height,maximum,0.6,m,0115,Amphipogon caricinus,"Citation: F. Muell., Linnaea 25:445 (1853)."
Amphipogon strictus,plant_height,maximum,0.5,m,0116,Amphipogon strictus,"Citation: R. Br., Prod. Fl. Nov. Holl. 175 (1810) var. setifer Benth., Fl. Aust. 7:598 (1878)."
Amsinckia calycina,leaf_length,minimum,25,mm,0117,Amsinckia calycina,"Citation: Chater, J. Linn. Soc.(Bot.) 64:380 (1971 )."
Amsinckia calycina,leaf_length,maximum,100,mm,0117,Amsinckia calycina,"Citation: Chater, J. Linn. Soc.(Bot.) 64:380 (1971 )."
Amsinckia calycina,leaf_width,minimum,2,mm,0117,Amsinckia calycina,"Citation: Chater, J. Linn. Soc.(Bot.) 64:380 (1971 )."
Amsinckia calycina,leaf_width,maximum,25,mm,0117,Amsinckia calycina,"Citation: Chater, J. Linn. Soc.(Bot.) 64:380 (1971 )."
Amsinckia lycopsoides,leaf_length,minimum,3,mm,0118,Amsinckia lycopsoides,"Citation: Lehm., Delect. Sem. Hort. Hamburg. 1831:3 (1831)."
Amsinckia lycopsoides,leaf_length,maximum,9,mm,0118,Amsinckia lycopsoides,"Citation: Lehm., Delect. Sem. Hort. Hamburg. 1831:3 (1831)."
Amsinckia lycopsoides,leaf_width,minimum,0.5,mm,0118,Amsinckia lycopsoides,"Citation: Lehm., Delect. Sem. Hort. Hamburg. 1831:3 (1831)."
Amsinckia lycopsoides,leaf_width,maximum,2,mm,0118,Amsinckia lycopsoides,"Citation: Lehm., Delect. Sem. Hort. Hamburg. 1831:3 (1831)."
Anacampseros australiana,leaf_length,minimum,10,mm,0128,Anacampseros australiana,"Citation: J. Black, Trans. R. Soc. S. Aust. 41:44, t. x (1917)."
Anacampseros australiana,leaf_length,maximum,25,mm,0128,Anacampseros australiana,"Citation: J. Black, Trans. R. Soc. S. Aust. 41:44, t. x (1917)."
Anacampseros australiana,leaf_width,minimum,5,mm,0128,Anacampseros australiana,"Citation: J. Black, Trans. R. Soc. S. Aust. 41:44, t. x (1917)."
Anacampseros australiana,leaf_width,maximum,12,mm,0128,Anacampseros australiana,"Citation: J. Black, Trans. R. Soc. S. Aust. 41:44, t. x (1917)."
Anacyclus radiatus,leaf_width,maximum,1,mm,0129,Anacyclus radiatus,"Citation: Lois., Fl. Gall. 582 (1807) subsp. radiatus."
Anchusa arvensis,leaf_length,minimum,25,mm,0132,Anchusa arvensis,"Citation: Bieb., Fl. Taur.-Caucas. 1:123 (1808) subsp. arvensis."
Anchusa arvensis,leaf_length,maximum,150,mm,0132,Anchusa arvensis,"Citation: Bieb., Fl. Taur.-Caucas. 1:123 (1808) subsp. arvensis."
Anchusa arvensis,leaf_width,minimum,3,mm,0132,Anchusa arvensis,"Citation: Bieb., Fl. Taur.-Caucas. 1:123 (1808) subsp. arvensis."
Anchusa arvensis,leaf_width,maximum,18,mm,0132,Anchusa arvensis,"Citation: Bieb., Fl. Taur.-Caucas. 1:123 (1808) subsp. arvensis."
Anchusa arvensis,plant_height,maximum,0.6,m,0132,Anchusa arvensis,"Citation: Bieb., Fl. Taur.-Caucas. 1:123 (1808) subsp. arvensis."
Anchusa capensis,leaf_length,minimum,40,mm,0133,Anchusa capensis,"Citation: Thunb., Prod. Pl. Cap. 34 (1800)."
Anchusa capensis,leaf_length,maximum,250,mm,0133,Anchusa capensis,"Citation: Thunb., Prod. Pl. Cap. 34 (1800)."
Anchusa capensis,leaf_width,minimum,8,mm,0133,Anchusa capensis,"Citation: Thunb., Prod. Pl. Cap. 34 (1800)."
Anchusa capensis,leaf_width,maximum,25,mm,0133,Anchusa capensis,"Citation: Thunb., Prod. Pl. Cap. 34 (1800)."
Anredera cordifolia,leaf_length,minimum,25,mm,0139,Anredera cordifolia,"Citation: Steenis, Fl. Males. ser. 1, 5:303 (1957)."
Anredera cordifolia,leaf_length,maximum,80,mm,0139,Anredera cordifolia,"Citation: Steenis, Fl. Males. ser. 1, 5:303 (1957)."
Anredera cordifolia,leaf_width,minimum,20,mm,0139,Anredera cordifolia,"Citation: Steenis, Fl. Males. ser. 1, 5:303 (1957)."
Anredera cordifolia,leaf_width,maximum,55,mm,0139,Anredera cordifolia,"Citation: Steenis, Fl. Males. ser. 1, 5:303 (1957)."
Anthocercis anisantha,leaf_length,minimum,1.5,mm,0144,Anthocercis anisantha,"Citation: Endl., Stirp. Herb. H gel. 13 (1838)."
Anthocercis anisantha,leaf_length,maximum,23,mm,0144,Anthocercis anisantha,"Citation: Endl., Stirp. Herb. H gel. 13 (1838)."
Anthocercis anisantha,leaf_width,minimum,0.5,mm,0144,Anthocercis anisantha,"Citation: Endl., Stirp. Herb. H gel. 13 (1838)."
Anthocercis anisantha,leaf_width,maximum,4,mm,0144,Anthocercis anisantha,"Citation: Endl., Stirp. Herb. H gel. 13 (1838)."
Anthoxanthum odoratum,plant_height,maximum,0.8,m,0145,Anthoxanthum odoratum,"Citation: L., Sp. Pl. 28 (1753)."
Arctotheca calendula,leaf_length,minimum,50,mm,0161,Arctotheca calendula,"Citation:  Levyns, Jl S. Afr. Bot. 8:284 (1942)."
Arctotheca calendula,leaf_length,maximum,250,mm,0161,Arctotheca calendula,"Citation:  Levyns, Jl S. Afr. Bot. 8:284 (1942)."
Arctotheca calendula,leaf_width,minimum,20,mm,0161,Arctotheca calendula,"Citation:  Levyns, Jl S. Afr. Bot. 8:284 (1942)."
Arctotheca calendula,leaf_width,maximum,60,mm,0161,Arctotheca calendula,"Citation:  Levyns, Jl S. Afr. Bot. 8:284 (1942)."
Arctotheca populifolia,leaf_length,minimum,40,mm,0162,Arctotheca populifolia,"Citation:  Norlindh, Aquilo Ser. Botanica 6:84 (1967)."
Arctotheca populifolia,leaf_length,maximum,70,mm,0162,Arctotheca populifolia,"Citation:  Norlindh, Aquilo Ser. Botanica 6:84 (1967)."
Arctotheca populifolia,leaf_width,minimum,30,mm,0162,Arctotheca populifolia,"Citation:  Norlindh, Aquilo Ser. Botanica 6:84 (1967)."
Arctotheca populifolia,leaf_width,maximum,70,mm,0162,Arctotheca populifolia,"Citation:  Norlindh, Aquilo Ser. Botanica 6:84 (1967)."
Argyranthemum frutescens subsp. foeniculaceum,leaf_length,minimum,6,mm,0165,Argyranthemum frutescens ssp. foeniculaceum,NA
Argyranthemum frutescens subsp. foeniculaceum,leaf_length,maximum,10,mm,0165,Argyranthemum frutescens ssp. foeniculaceum,NA
Argyranthemum frutescens subsp. frutescens,leaf_length,minimum,12,mm,0166,Argyranthemum frutescens ssp. frutescens,NA
Argyranthemum frutescens subsp. frutescens,leaf_length,maximum,15,mm,0166,Argyranthemum frutescens ssp. frutescens,NA
Artemisia arborescens,leaf_length,minimum,5,mm,0169,Artemisia arborescens,"Citation: L., Sp. Pl. edn 2:1188 (1763)."
Artemisia arborescens,leaf_length,maximum,30,mm,0169,Artemisia arborescens,"Citation: L., Sp. Pl. edn 2:1188 (1763)."
Artemisia arborescens,leaf_width,minimum,1,mm,0169,Artemisia arborescens,"Citation: L., Sp. Pl. edn 2:1188 (1763)."
Artemisia arborescens,leaf_width,maximum,2,mm,0169,Artemisia arborescens,"Citation: L., Sp. Pl. edn 2:1188 (1763)."
Arthropodium fimbriatum,plant_height,maximum,0.8,m,0170,Arthropodium fimbriatum,"Citation: R. Br., Prod. Fl. Nov. Holl. 276 (1810)."
Arthropodium minus,plant_height,maximum,0.3,m,0171,Arthropodium minus,"Citation: R. Br., Prod. Fl. Nov. Holl. 276 (1810)."
Arundo donax,leaf_width,maximum,70,mm,0173,Arundo donax,"Citation: L., Sp. Pl. 81 (1753)."
Arundo donax,plant_height,maximum,6,m,0173,Arundo donax,"Citation: L., Sp. Pl. 81 (1753)."
Asphodelus fistulosus,plant_height,maximum,0.6,m,0184,Asphodelus fistulosus,"Citation: L., Sp. Pl. 309 (1753)."
Asterolasia muricata,leaf_length,minimum,7,mm,0187,Asterolasia muricata,"Citation: J. Black, Trans. Roy. Soc. S. Aust. 36:22 (1912)."
Asterolasia muricata,leaf_length,maximum,14,mm,0187,Asterolasia muricata,"Citation: J. Black, Trans. Roy. Soc. S. Aust. 36:22 (1912)."
Atalaya hemiglauca,leaf_length,minimum,60,mm,0194,Atalaya hemiglauca,"Citation: F. Muell. ex Benth., Fl. Aust. 1:463 (1863)."
Atalaya hemiglauca,leaf_width,minimum,8,mm,0194,Atalaya hemiglauca,"Citation: F. Muell. ex Benth., Fl. Aust. 1:463 (1863)."
Atalaya hemiglauca,leaf_width,maximum,20,mm,0194,Atalaya hemiglauca,"Citation: F. Muell. ex Benth., Fl. Aust. 1:463 (1863)."
Atriplex australasica,leaf_length,minimum,5,mm,0200,Atriplex australasica,"Citation: Moq., Chenop. Monogr. Enum. 59 (1840)."
Atriplex australasica,leaf_length,maximum,10,mm,0200,Atriplex australasica,"Citation: Moq., Chenop. Monogr. Enum. 59 (1840)."
Atriplex leptocarpa,leaf_length,minimum,10,mm,0213,Atriplex leptocarpa,"Citation: F. Muell., J. Trans. Vict. Inst. 2:74 (1858)."
Atriplex leptocarpa,leaf_length,maximum,30,mm,0213,Atriplex leptocarpa,"Citation: F. Muell., J. Trans. Vict. Inst. 2:74 (1858)."
Avena sativa,leaf_length,maximum,200,mm,0247,Avena sativa,"Citation: L., Sp. Pl. 79 (1753)."
Avena sterilis,leaf_length,minimum,150,mm,0248,Avena sterilis,"Citation: L., Sp. Pl. edn 2:118 (1762) subsp. ludoviciana (Durieu) Nyman, Consp. 810 (1882)."
Avena sterilis,leaf_length,maximum,450,mm,0248,Avena sterilis,"Citation: L., Sp. Pl. edn 2:118 (1762) subsp. ludoviciana (Durieu) Nyman, Consp. 810 (1882)."
Banksia marginata,leaf_length,minimum,15,mm,0255,Banksia marginata,"Citation: Cav., Anal. Hist. Nat. 1:227 (1800)."
Banksia marginata,leaf_length,maximum,60,mm,0255,Banksia marginata,"Citation: Cav., Anal. Hist. Nat. 1:227 (1800)."
Banksia marginata,leaf_width,minimum,3,mm,0255,Banksia marginata,"Citation: Cav., Anal. Hist. Nat. 1:227 (1800)."
Banksia marginata,leaf_width,maximum,13,mm,0255,Banksia marginata,"Citation: Cav., Anal. Hist. Nat. 1:227 (1800)."
Banksia ornata,leaf_length,minimum,30,mm,0256,Banksia ornata,"Citation: F. Muell. ex Meissner, Linnaea 26:352 (1854)."
Banksia ornata,leaf_length,maximum,110,mm,0256,Banksia ornata,"Citation: F. Muell. ex Meissner, Linnaea 26:352 (1854)."
Banksia ornata,leaf_width,minimum,4,mm,0256,Banksia ornata,"Citation: F. Muell. ex Meissner, Linnaea 26:352 (1854)."
Banksia ornata,leaf_width,maximum,25,mm,0256,Banksia ornata,"Citation: F. Muell. ex Meissner, Linnaea 26:352 (1854)."
Barbarea verna,leaf_length,maximum,200,mm,0257,Barbarea verna,"Citation: Asch., Fl. Prov. Brandenb. 1, 1:36 (1860)."
Machaerina arthrophylla,plant_height,maximum,2,m,0260,Baumea arthrophylla,NA
Baumea articulata,plant_height,maximum,2,m,0261,Baumea articulata,"Citation:  S.T. Blake, Contrib. Qld Herb. 8:28 (1969)."
Baumea gunnii,plant_height,maximum,1,m,0262,Baumea gunnii,"Citation:  S.T. Blake, Contrib. Qld Herb 8:27 (1969)."
Machaerina juncea,plant_height,maximum,1,m,0263,Baumea juncea,NA
Machaerina rubiginosa,plant_height,maximum,1,m,0264,Baumea rubiginosa,NA
Bergia perennis,leaf_length,minimum,4,mm,0267,Bergia perennis,"Citation: F. Muell. ex Benth., Fl. Aust. 1:181 (1863)."
Bergia perennis,leaf_length,maximum,9,mm,0267,Bergia perennis,"Citation: F. Muell. ex Benth., Fl. Aust. 1:181 (1863)."
Bergia perennis,leaf_width,minimum,1.5,mm,0267,Bergia perennis,"Citation: F. Muell. ex Benth., Fl. Aust. 1:181 (1863)."
Bergia perennis,leaf_width,maximum,5,mm,0267,Bergia perennis,"Citation: F. Muell. ex Benth., Fl. Aust. 1:181 (1863)."
Bergia trimera,leaf_length,minimum,4.5,mm,0268,Bergia trimera,"Citation: Fischer & C. Meyer, Linnaea 10:74 (1836)."
Bergia trimera,leaf_length,maximum,20,mm,0268,Bergia trimera,"Citation: Fischer & C. Meyer, Linnaea 10:74 (1836)."
Bergia trimera,leaf_width,minimum,2.5,mm,0268,Bergia trimera,"Citation: Fischer & C. Meyer, Linnaea 10:74 (1836)."
Bergia trimera,leaf_width,maximum,7,mm,0268,Bergia trimera,"Citation: Fischer & C. Meyer, Linnaea 10:74 (1836)."
Berkheya rigida,leaf_length,minimum,40,mm,0269,Berkheya rigida,"Citation: Ewart, Jean White & B. Rees, Proc. R.Soc. Vic. n. ser. 22:20 (1909)."
Berkheya rigida,leaf_length,maximum,90,mm,0269,Berkheya rigida,"Citation: Ewart, Jean White & B. Rees, Proc. R.Soc. Vic. n. ser. 22:20 (1909)."
Berkheya rigida,leaf_width,minimum,20,mm,0269,Berkheya rigida,"Citation: Ewart, Jean White & B. Rees, Proc. R.Soc. Vic. n. ser. 22:20 (1909)."
Berkheya rigida,leaf_width,maximum,40,mm,0269,Berkheya rigida,"Citation: Ewart, Jean White & B. Rees, Proc. R.Soc. Vic. n. ser. 22:20 (1909)."
Beyeria lechenaultii,leaf_length,minimum,5,mm,0273,Beyeria lechenaultii,"Citation: Baillon, Adansonia 6:307 (1866)."
Beyeria lechenaultii,leaf_length,maximum,40,mm,0273,Beyeria lechenaultii,"Citation: Baillon, Adansonia 6:307 (1866)."
Beyeria lechenaultii,leaf_width,minimum,1,mm,0273,Beyeria lechenaultii,"Citation: Baillon, Adansonia 6:307 (1866)."
Beyeria lechenaultii,leaf_width,maximum,7,mm,0273,Beyeria lechenaultii,"Citation: Baillon, Adansonia 6:307 (1866)."
Beyeria lechenaultii,plant_height,maximum,1.5,m,0273,Beyeria lechenaultii,"Citation: Baillon, Adansonia 6:307 (1866)."
Beyeria opaca,plant_height,maximum,1,m,0274,Beyeria opaca,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:16 (1854)."
Rhytidosporum procumbens,leaf_length,minimum,4,mm,0280,Billardiera procumbens,NA
Rhytidosporum procumbens,leaf_length,maximum,14,mm,0280,Billardiera procumbens,NA
Rhytidosporum procumbens,leaf_width,minimum,0.5,mm,0280,Billardiera procumbens,NA
Rhytidosporum procumbens,leaf_width,maximum,3,mm,0280,Billardiera procumbens,NA
Billardiera sericophora,leaf_length,minimum,25,mm,0282,Billardiera sericophora,"Citation: F. Muell., Linnaea 25:371 (1852)."
Billardiera sericophora,leaf_length,maximum,70,mm,0282,Billardiera sericophora,"Citation: F. Muell., Linnaea 25:371 (1852)."
Billardiera sericophora,leaf_width,minimum,5,mm,0282,Billardiera sericophora,"Citation: F. Muell., Linnaea 25:371 (1852)."
Billardiera sericophora,leaf_width,maximum,45,mm,0282,Billardiera sericophora,"Citation: F. Muell., Linnaea 25:371 (1852)."
Bolboschoenus caldwellii,plant_height,maximum,0.9,m,0292,Bolboschoenus caldwellii,"Citation:  Soj k, Cas. N ir. Mus., Odd. Prir. 141:62 (1972)."
Bolboschoenus medianus,plant_height,maximum,2,m,0293,Bolboschoenus medianus,"Citation:  Soj k, Cas. N ir. Mus., Odd. Prir. 141:63 (1972)."
Boronia coerulescens,leaf_length,minimum,1.5,mm,0296,Boronia coerulescens,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:11 (1854) subsp. coerulescens."
Boronia coerulescens,leaf_length,maximum,7,mm,0296,Boronia coerulescens,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:11 (1854) subsp. coerulescens."
Boronia coerulescens,leaf_width,minimum,0.5,mm,0296,Boronia coerulescens,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:11 (1854) subsp. coerulescens."
Boronia coerulescens,leaf_width,maximum,1.5,mm,0296,Boronia coerulescens,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:11 (1854) subsp. coerulescens."
Boronia filifolia,leaf_length,minimum,4,mm,0298,Boronia filifolia,"Citation: F. Muell., Fragm. Phyt. Aust. 1:3 (1858)."
Boronia filifolia,leaf_length,maximum,20,mm,0298,Boronia filifolia,"Citation: F. Muell., Fragm. Phyt. Aust. 1:3 (1858)."
Boronia filifolia,leaf_width,minimum,0.5,mm,0298,Boronia filifolia,"Citation: F. Muell., Fragm. Phyt. Aust. 1:3 (1858)."
Boronia filifolia,leaf_width,maximum,1.5,mm,0298,Boronia filifolia,"Citation: F. Muell., Fragm. Phyt. Aust. 1:3 (1858)."
Boronia nana,leaf_length,minimum,4,mm,0300,Boronia nana,"Citation: Hook., Hook. Ic. 3:t. 270 (1840)."
Boronia nana,leaf_length,maximum,25,mm,0300,Boronia nana,"Citation: Hook., Hook. Ic. 3:t. 270 (1840)."
Boronia nana,leaf_width,minimum,0.5,mm,0300,Boronia nana,"Citation: Hook., Hook. Ic. 3:t. 270 (1840)."
Boronia nana,leaf_width,maximum,2,mm,0300,Boronia nana,"Citation: Hook., Hook. Ic. 3:t. 270 (1840)."
Boronia pilosa,leaf_length,minimum,2,mm,0302,Boronia pilosa,"Citation: Labill., Nov. Holl. Pl. Sp. 1:97, t. 124 (1805)."
Boronia pilosa,leaf_length,maximum,10,mm,0302,Boronia pilosa,"Citation: Labill., Nov. Holl. Pl. Sp. 1:97, t. 124 (1805)."
Boronia pilosa,leaf_width,minimum,0.6,mm,0302,Boronia pilosa,"Citation: Labill., Nov. Holl. Pl. Sp. 1:97, t. 124 (1805)."
Boronia pilosa,leaf_width,maximum,1.5,mm,0302,Boronia pilosa,"Citation: Labill., Nov. Holl. Pl. Sp. 1:97, t. 124 (1805)."
Bothriochloa ewartiana,plant_height,maximum,0.8,m,0308,Bothriochloa ewartiana,"Citation:  C.E. Hubb., Kew Bull. 1934:444 (1934)."
Bothriochloa macra,leaf_width,maximum,3,mm,0309,Bothriochloa macra,"Citation:  S.T. Blake, Proc. R. Soc. QM 80:64 (1969)."
Bothriochloa macra,plant_height,maximum,0.8,m,0309,Bothriochloa macra,"Citation:  S.T. Blake, Proc. R. Soc. QM 80:64 (1969)."
Botrychium australe,plant_height,maximum,0.3,m,0310,Botrychium australe,"Citation: R. Br., Prod. Fl. Nov. Holl. 164 (1810)."
Urochloa praetervisa,plant_height,maximum,0.6,m,0313,Brachiaria praetervisa,NA
Cynodon simonii,leaf_length,minimum,30,mm,0314,Brachyachne ciliaris,NA
Cynodon simonii,leaf_length,maximum,40,mm,0314,Brachyachne ciliaris,NA
Brachyscome blackii,leaf_length,minimum,5,mm,0316,Brachycome blackii,NA
Brachyscome blackii,leaf_length,maximum,20,mm,0316,Brachycome blackii,NA
Brachyscome blackii,leaf_width,minimum,3,mm,0316,Brachycome blackii,NA
Brachyscome blackii,leaf_width,maximum,7,mm,0316,Brachycome blackii,NA
Brachyscome ciliaris,leaf_width,maximum,1,mm,0324,Brachycome ciliaris var. subintegrifolia,NA
Brachyscome trachycarpa,leaf_length,minimum,10,mm,0344,Brachycome trachycarpa,NA
Brachyscome trachycarpa,leaf_length,maximum,35,mm,0344,Brachycome trachycarpa,NA
Brachyscome trachycarpa,leaf_width,maximum,1.5,mm,0344,Brachycome trachycarpa,NA
Brachypodium distachyon,plant_height,maximum,0.5,m,0350,Brachypodium distachyon,"Citation: P. Beauv., Agrost. 101 (1812)."
Bromus catharticus,leaf_width,maximum,10,mm,0361,Bromus catharticus,"Citation: M. Vahl., Symb. Bot. 2:22 (1791)."
Buddleja madagascariensis,leaf_length,minimum,45,mm,0368,Buddleja madagascariensis,"Citation: Lam., Encycl. 1:513 (1785)."
Buddleja madagascariensis,leaf_length,maximum,100,mm,0368,Buddleja madagascariensis,"Citation: Lam., Encycl. 1:513 (1785)."
Buddleja madagascariensis,leaf_width,minimum,15,mm,0368,Buddleja madagascariensis,"Citation: Lam., Encycl. 1:513 (1785)."
Buddleja madagascariensis,leaf_width,maximum,35,mm,0368,Buddleja madagascariensis,"Citation: Lam., Encycl. 1:513 (1785)."
Buglossoides arvensis,leaf_length,minimum,10,mm,0369,Buglossoides arvensis,"Citation: I.M. Johnston, J. Arnold Arb. 35:42 (1954)."
Buglossoides arvensis,leaf_length,maximum,70,mm,0369,Buglossoides arvensis,"Citation: I.M. Johnston, J. Arnold Arb. 35:42 (1954)."
Buglossoides arvensis,leaf_width,minimum,2,mm,0369,Buglossoides arvensis,"Citation: I.M. Johnston, J. Arnold Arb. 35:42 (1954)."
Buglossoides arvensis,leaf_width,maximum,15,mm,0369,Buglossoides arvensis,"Citation: I.M. Johnston, J. Arnold Arb. 35:42 (1954)."
Bulbine alata,plant_height,maximum,0.3,m,0370,Bulbine alata,"Citation: Baijnath, Brunonia l:117 (1978)."
Bulbine bulbosa,plant_height,maximum,0.5,m,0371,Bulbine bulbosa,"Citation:  Haw., Rev. Pl. Succ. 33 (1821)."
Bulbine semibarbata,plant_height,maximum,0.3,m,0372,Bulbine semibarbata,"Citation:  Haw., Rev. Pl. Succ. 33 (1921)."
Bulbostylis barbata,plant_height,maximum,0.2,m,0373,Bulbostylis barbata,"Citation:  C.B. Clarke in Hook. f., Fl. Brit. India 6:651 (1893). (Cunningham et al. (1982) Plants of western New South Wales, p. 155."
Burchardia umbellata,plant_height,maximum,0.5,m,0376,Burchardia umbellata,"Citation: R. Br., Prod. Fl. Nov. Holl. 273 (1810)."
Bursaria spinosa,leaf_length,minimum,4,mm,0377,Bursaria spinosa,"Citation: Cav., Icon. 4:30 (1797)."
Bursaria spinosa,leaf_length,maximum,35,mm,0377,Bursaria spinosa,"Citation: Cav., Icon. 4:30 (1797)."
Bursaria spinosa,leaf_width,minimum,1,mm,0377,Bursaria spinosa,"Citation: Cav., Icon. 4:30 (1797)."
Bursaria spinosa,leaf_width,maximum,15,mm,0377,Bursaria spinosa,"Citation: Cav., Icon. 4:30 (1797)."
Caladenia bicalliata,plant_height,maximum,0.14,m,0385,Caladenia bicalliata,"Citation: R. Rogers, Trans. R. Soc. S. Aust. 33:17 (1909)."
Caladenia cardiochila,plant_height,maximum,0.3,m,0386,Caladenia cardiochila,"Citation: Tate, Trans. R. Soc. S. Aust. 9:60 (1887)."
Caladenia clavigera,plant_height,maximum,0.3,m,0389,Caladenia clavigera,"Citation: Cunn. ex Lindley, Gen. & Sp. Orchid. Pl. 422 (1840)."
Caladenia congesta,leaf_length,minimum,70,mm,0390,Caladenia congesta,"Citation: R. Br., Prod. Fl. Nov. Holl. 324 (1810)."
Caladenia congesta,leaf_length,maximum,120,mm,0390,Caladenia congesta,"Citation: R. Br., Prod. Fl. Nov. Holl. 324 (1810)."
Caladenia congesta,plant_height,maximum,0.6,m,0390,Caladenia congesta,"Citation: R. Br., Prod. Fl. Nov. Holl. 324 (1810)."
Pheladenia deformis,plant_height,maximum,0.15,m,0392,Caladenia deformis,NA
Caladenia stricta,leaf_width,maximum,15,mm,0394,Caladenia dilatata var. stricta,NA
Caladenia stricta,plant_height,maximum,0.3,m,0394,Caladenia dilatata var. stricta,NA
Caladenia filamentosa,plant_height,maximum,0.3,m,0395,Caladenia filamentosa,"Citation: R. Br., Prod. Fl. Nov. Holl. 324 (1810)."
Caladenia fitzgeraldii,plant_height,maximum,0.6,m,0396,Caladenia fitzgeraldii,"Citation: Rupp, Victorian Nat. 58:199 (1942)."
Caladenia gladiolata,plant_height,maximum,0.3,m,0397,Caladenia gladiolata,"Citation: R. Rogers, Trans. R. Soc. S. Aust. 31:210, t. 26 (1907)."
