No #,Sample,name_matched,Category,Site,Property,Cleared/Remnant,Xylem,Date,Al mg/kg,B mg/kg,Ca mg/kg,Cu mg/kg,Fe mg/kg,K mg/kg,Mg mg/kg,Mn mg/kg,Na mg/kg,P mg/kg,S mg/kg,Zn mg/kg,%N,%C,15N,13C,native_status,C3C4,Nfixer,growth form,leaf_type,deciduous/evergreen
95,Cymbopogon refractus,Cymbopogon refractus,Grass,1.5C,Summerdell,Cleared,NA,Feb,142,9,2248.121787,9,1397,11827.1,2241.2,85,30,681.7912218,948.0031633,20,0.8762,38.3777,5.38,-11.86,NA,NA,NA,NA,NA,NA
96,Cymbopogon refractus,Cymbopogon refractus,Grass,1.5R,Summerdell,Remnant,NA,Feb,285,6,1786.577993,9,1420,13526.1,1978.2,37,6,724.1031842,1028.718259,3,0.8485,38.2015,3.42,-11.91,NA,NA,NA,NA,NA,NA
126,Desert Oak,Allocasuarina luehmannii,Tree,10R,Summerdell,Remnant,y,Feb,17,36,5602.168723,8,91,14451.1,4879.3,38,86,761.6394747,1413.45006,27,1.8525,46.6519,-0.58,-27.54,NA,NA,NA,NA,NA,NA
129,Desert Oak #1,Allocasuarina luehmannii,Tree,1.5R,Summerdell,Remnant,y,Feb,30,36,7636.597938,29,42,17255.1,4242.3,17,79,593.5471554,2089.82436,24,1.7857,47.4035,0.37,-28.26,NA,NA,NA,NA,NA,NA
131,Desert Oak #2,Allocasuarina luehmannii,Tree,1.5R,Summerdell,Remnant,y,Feb,27,46,6161.967666,9,189,17794.1,6244.7,20,32,695.7807571,2364.451893,7,1.9725,47.2679,-0.88,-29.87,NA,NA,NA,NA,NA,NA
133,Desert Oak #3,Allocasuarina luehmannii,Tree,1.5R,Summerdell,Remnant,y,Feb,10,44,8516.471302,8,48,18236.1,4103.4,28,102,726.4551334,1978.577203,21,1.9015,47.101,-0.16,-28.23,NA,NA,NA,NA,NA,NA
68,Digitaria ammophila,Digitaria ammophila,Grass,10R,Summerdell,Remnant,NA,Feb,130,13,3001.103531,10,1373,18188.1,1574,71,65,763.0417335,1079.153291,8,1.0527,40.6727,0.76,-12.13,NA,NA,NA,NA,NA,NA
69,Digitaria ammophila,Digitaria ammophila,Grass,10C,Summerdell,Cleared,NA,Feb,91,19,2822.53886,9,388,19575.1,2006.2,100,77,1182.542846,1017.437226,9,1.4032,40.9212,1.89,-12.45,NA,NA,NA,NA,NA,NA
72,Digitaria ammophila,Digitaria ammophila,Grass,1.5R,Summerdell,Remnant,NA,Feb,168,18,3417.790559,10,791,18754.1,1958.4,40,51,829.8294328,1111.265371,9,1.3381,40.5229,2.96,-12.54,NA,NA,NA,NA,NA,NA
73,Digitaria ammophila,Digitaria ammophila,Grass,1.5C,Summerdell,Cleared,NA,Feb,102,16,2563.388626,8,427,16857.1,2365.1,32,53,855.1540284,1130.43049,8,1.1661,40.9917,2.27,-12.43,NA,NA,NA,NA,NA,NA
36,Hakea,Hakea sp.,Tree,10R,Summerdell,Remnant,NA,Nov,6,14,6153.640869,4,110,7123.4,2402.4,863,172,252.4780785,2085.58902,NA,0.5585,44.2001,3.73,-27.81,NA,NA,NA,NA,NA,NA
37,Hakea #1,Hakea sp.,Tree,1.5R,Summerdell,Remnant,y,Nov,6,13,4418.762279,5,88,17235.1,1283.8,208,118,300.589391,2128.585462,4,0.7480,44.3391,3.38,-28.63,NA,NA,NA,NA,NA,NA
135,Hakea #1,Hakea sp.,Tree,10R,Summerdell,Remnant,y,Feb,NA,48,3163.988095,13,128,10231.1,2495.2,542,54,503.1746032,1051.289683,13,0.6592,45.4609,4.43,-28.35,NA,NA,NA,NA,NA,NA
136,Hakea #2,Hakea sp.,Tree,10R,Summerdell,Remnant,y,Feb,NA,23,2204.855538,8,44,10504.1,1367.4,274,92,632.223114,2287.419743,1,0.6676,46.6391,4.48,-27.92,NA,NA,NA,NA,NA,NA
38,Ironbark,Eucalyptus melanophloia,Tree,10R,Summerdell,Remnant,NA,Nov,27,49,4765.876127,6,83,10695.1,1607.7,319,54,578.4006272,673.4613877,11,0.7856,45.7752,1.26,-27.16,NA,NA,NA,NA,NA,NA
39,Ironbark,Eucalyptus melanophloia,Tree,1.5R,Summerdell,Remnant,NA,Nov,18,75,9898.343974,5,114,10299.1,2933.2,391,53,461.0933759,713.0885874,8,0.8748,46.8775,0.86,-29.42,NA,NA,NA,NA,NA,NA
40,Ironbark,Eucalyptus melanophloia,Tree,1.5C,Summerdell,Cleared,NA,Nov,18,29,7761.527666,6,113,17101.1,2790.7,95,29,1009.823577,1084.703288,3,1.1839,44.974,5.49,-27.87,NA,NA,NA,NA,NA,NA
41,Ironbark,Eucalyptus melanophloia,Tree,1.5C,Summerdell,Cleared,NA,Nov,18,90,15003.74953,8,65,7603.3,3545,409,43,534.6831646,1144.356955,16,1.2611,45.6179,4.54,-28.53,NA,NA,NA,NA,NA,NA
47,Ironbark #1,Eucalyptus melanophloia,Tree,10R,Summerdell,Remnant,y,Nov,42,42,8088.871097,74,144,8860.1,3233.4,577,13,435.8486789,793.5348279,120,0.9721,45.5126,1.85,-27.81,NA,NA,NA,NA,NA,NA
48,Ironbark #1,Eucalyptus melanophloia,Tree,1.5R,Summerdell,Remnant,y,Nov,124,26,5217.45621,4,270,10213.1,2187.4,278,95,679.7372611,849.0246815,3,1.0406,48.4745,1.37,-27.08,NA,NA,NA,NA,NA,NA
50,Ironbark #2,Eucalyptus melanophloia,Tree,10R,Summerdell,Remnant,y,Nov,20,41,6237.654321,6,968,6795.1,2944.6,468,51,431.1342593,654.8032407,4,0.7852,47.8538,0.57,-28.48,NA,NA,NA,NA,NA,NA
51,Ironbark #2,Eucalyptus melanophloia,Tree,1.5R,Summerdell,Remnant,y,Nov,60,43,10956,5,157,8639.1,2681.7,243,50,437.2,721.3,12,0.8435,47.122,0.7,-29.17,NA,NA,NA,NA,NA,NA
53,Ironbark #3,Eucalyptus melanophloia,Tree,10R,Summerdell,Remnant,y,Nov,65,54,14207.63389,11,181,6477.1,4057.7,1660,94,665.7673861,908.47322140000006,16,1.1038,45.5145,0.57,-27.85,NA,NA,NA,NA,NA,NA
54,Ironbark #3,Eucalyptus melanophloia,Tree,1.5R,Summerdell,Remnant,y,Nov,19,82,13135.50841,16,61,6692.7,4639.9,381,14,401.4211369,851.3811049,40,1.0858,46.3938,2.87,-28.84,NA,NA,NA,NA,NA,NA
