Family,taxa,presowtreat,germmedium,germcond,germnotes,refdesc,germination_percent,seeds_sown,germination_treatment
AIZOACEAE,Gunniopsis zygophylloides,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",90,10,scarify_nick_seed_coat
AIZOACEAE,Gunniopsis zygophylloides,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 42 days,NA,"RBG Kew, Wakehurst Place.",90,10,scarify_nick_seed_coat
AIZOACEAE,Gunniopsis zygophylloides,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",92,25,scarify_fruit
AIZOACEAE,Gunniopsis zygophylloides,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",96,25,scarify_fruit
AIZOACEAE,Tetragonia implexicoma,pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 28 days,NA,"RBG Kew, Wakehurst Place.",100,10,scarify_fruit
AIZOACEAE,Tetragonia implexicoma,pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,12,scarify_fruit
AIZOACEAE,Zaleya galericulata subsp. galericulata,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 25/10°C (Therm 8/16); 41 days,NA,"RBG Kew, Wakehurst Place.",60,20,scarify_nick_seed_coat
AIZOACEAE,Zaleya galericulata subsp. galericulata,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 20°C; 41 days,NA,"RBG Kew, Wakehurst Place.",80,20,scarify_nick_seed_coat
ALISMATACEAE,Alisma lanceolatum,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 28 days,NA,"RBG Kew, Wakehurst Place.",55,20,scarify_fruit scarify_nick_seed_coat
ALISMATACEAE,Alisma lanceolatum,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 56 days,NA,"RBG Kew, Wakehurst Place.",60,20,scarify_fruit scarify_nick_seed_coat
ALISMATACEAE,Alisma plantago-aquatica,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",65,20,scarify_fruit scarify_nick_seed_coat
ALISMATACEAE,Alisma plantago-aquatica,NA,germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 105 days; anaerobic conditions (Incubated in low oxygen atmosphere using anaerojars with oxoid anaerogen sachet),NA,"RBG Kew, Wakehurst Place.",80,20,NA
ALISMATACEAE,Alisma plantago-aquatica,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 35 days,NA,"RBG Kew, Wakehurst Place.",85,20,scarify_fruit scarify_nick_seed_coat
ALISMATACEAE,Alisma plantago-aquatica,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,NA,"RBG Kew, Wakehurst Place.",85,20,scarify_nick_seed_coat
ALISMATACEAE,Alisma plantago-aquatica,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 21°C,NA,"RBG Kew, Wakehurst Place.",86,50,scarify_fruit
ALISMATACEAE,Alisma plantago-aquatica,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: distilled water,germination conditions: light 8/16; 25/10°C (Therm 8/16); 105 days,NA,"RBG Kew, Wakehurst Place.",95,20,scarify_nick_seed_coat
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 36°C,NA,"RBG Kew, Wakehurst Place.",100,19,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30/15°C (Therm 8/16); 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,scarify_nick_seed_coat
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30/15°C (Therm 8/16); 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,scarify_nick_seed_coat
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 35/20°C (Therm 8/16); 121 days,NA,"RBG Kew, Wakehurst Place.",50,50,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 104 days,NA,"RBG Kew, Wakehurst Place.",52,50,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 101mg/l Potassium nitrate (KNO3),germination conditions: light 8/16; 35/15°C (Therm 8/16); 49 days,NA,"RBG Kew, Wakehurst Place.",63,19,scarify_nick_seed_coat
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,NA,"RBG Kew, Wakehurst Place.",70,20,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 91 days,NA,"RBG Kew, Wakehurst Place.",74,19,NA
AMARANTHACEAE,Achyranthes aspera,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 119 days,NA,"RBG Kew, Wakehurst Place.",75,20,NA
AMARANTHACEAE,Achyranthes aspera,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",75,20,NA
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 70 days,NA,"RBG Kew, Wakehurst Place.",75,20,scarify_fruit scarify_nick_seed_coat
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 98 days,NA,"RBG Kew, Wakehurst Place.",76,50,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 56 days,NA,"RBG Kew, Wakehurst Place.",85,20,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 30/25°C (Therm 8/16); 7 days,NA,"RBG Kew, Wakehurst Place.",85,20,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 35°C; 98 days,NA,"RBG Kew, Wakehurst Place.",86,50,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 56 days,NA,"RBG Kew, Wakehurst Place.",88,17,scarify_fruit scarify_nick_seed_coat
AMARANTHACEAE,Achyranthes aspera,NA,germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 56 days,NA,"RBG Kew, Wakehurst Place.",94,18,NA
AMARANTHACEAE,Achyranthes aspera,NA,germination medium: 1% agar,germination conditions: light 12/12; 31°C,NA,"RBG Kew, Wakehurst Place.",94,50,NA
AMARANTHACEAE,Achyranthes aspera,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",95,19,NA
AMARANTHACEAE,Achyranthes aspera,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 7 days,NA,"RBG Kew, Wakehurst Place.",95,20,scarify_fruit
AMARANTHACEAE,Achyranthes aspera,NA,germination medium: 1% agar,germination conditions: light 12/12; 21/11°C (Therm 12/12),NA,"RBG Kew, Wakehurst Place.",97,100,NA
AMARANTHACEAE,Alternanthera angustifolia,NA,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 12/12; 36°C,NA,"RBG Kew, Wakehurst Place.",100,19,NA
AMARANTHACEAE,Alternanthera angustifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 168 days,NA,"RBG Kew, Wakehurst Place.",68,19,NA
AMARANTHACEAE,Alternanthera angustifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 133 days,NA,"RBG Kew, Wakehurst Place.",80,20,NA
AMARANTHACEAE,Amaranthus cochleitepalus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 56 days,NA,"RBG Kew, Wakehurst Place.",100,19,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus cochleitepalus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 56 days,NA,"RBG Kew, Wakehurst Place.",63,19,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus cochleitepalus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 56 days,NA,"RBG Kew, Wakehurst Place.",79,19,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus cochleitepalus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30°C; 56 days,NA,"RBG Kew, Wakehurst Place.",95,20,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus interruptus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus interruptus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 56 days,NA,"RBG Kew, Wakehurst Place.",65,20,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus interruptus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 56 days,NA,"RBG Kew, Wakehurst Place.",68,19,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus interruptus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 56 days,NA,"RBG Kew, Wakehurst Place.",95,20,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus macrocarpus,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 35 days,NA,"RBG Kew, Wakehurst Place.",94,17,NA
AMARANTHACEAE,Amaranthus macrocarpus,NA,germination medium: 1% agar,germination conditions: light 8/16; 30°C; 35 days,NA,"RBG Kew, Wakehurst Place.",94,18,NA
AMARANTHACEAE,Amaranthus undulatus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 35 days,NA,"RBG Kew, Wakehurst Place.",85,20,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus undulatus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 35 days,NA,"RBG Kew, Wakehurst Place.",85,20,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus undulatus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 35 days,NA,"RBG Kew, Wakehurst Place.",89,19,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus undulatus,pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30°C; 35 days,NA,"RBG Kew, Wakehurst Place.",95,20,scarify_nick_seed_coat
AMARANTHACEAE,Amaranthus undulatus,NA,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 12/12; 33/19°C (Therm 12/12),NA,"RBG Kew, Wakehurst Place.",97,41,NA
AMARANTHACEAE,Atriplex angulata,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",50,20,scarify_fruit
AMARANTHACEAE,Atriplex angulata,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 23/9°C (Therm 12/12); 42 days,NA,"RBG Kew, Wakehurst Place.",65,17,scarify_fruit
AMARANTHACEAE,Atriplex angulata,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 21°C; 42 days,NA,"RBG Kew, Wakehurst Place.",72,18,scarify_fruit
AMARANTHACEAE,Atriplex angulata,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",78,50,scarify_fruit
AMARANTHACEAE,Atriplex angulata,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",79,19,scarify_fruit
AMARANTHACEAE,Atriplex angulata,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 49 days,NA,"RBG Kew, Wakehurst Place.",85,20,scarify_fruit
AMARANTHACEAE,Atriplex bunburyana,NA,germination medium: 1% agar,germination conditions: light 12/12; 16°C,NA,"RBG Kew, Wakehurst Place.",93,48,NA
AMARANTHACEAE,Atriplex crassipes,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 6°C,NA,"RBG Kew, Wakehurst Place.",100,50,scarify_fruit
AMARANTHACEAE,Atriplex eardleyae,NA,germination medium: 1% agar,germination conditions: light 12/12; 21°C,NA,"RBG Kew, Wakehurst Place.",93,47,NA
AMARANTHACEAE,Atriplex eichleri,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
AMARANTHACEAE,Atriplex eichleri,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
AMARANTHACEAE,Atriplex eichleri,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. chipped covering structure),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,scarify_fruit
AMARANTHACEAE,Atriplex elachophylla,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",55,20,scarify_fruit
AMARANTHACEAE,Atriplex elachophylla,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 12/12; 16°C,NA,"RBG Kew, Wakehurst Place.",75,20,scarify_fruit
AMARANTHACEAE,Atriplex elachophylla,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 23/9°C (Therm 12/12),NA,"RBG Kew, Wakehurst Place.",85,20,scarify_fruit
AMARANTHACEAE,Atriplex fissivalvis,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 63 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
AMARANTHACEAE,Atriplex fissivalvis,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,50,scarify_fruit
AMARANTHACEAE,Atriplex fissivalvis,NA,germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,NA,"RBG Kew, Wakehurst Place.",80,20,NA
AMARANTHACEAE,Atriplex fissivalvis,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
AMARANTHACEAE,Atriplex fissivalvis,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,NA,"RBG Kew, Wakehurst Place.",92,50,NA
AMARANTHACEAE,Atriplex holocarpa,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
AMARANTHACEAE,Atriplex holocarpa,NA,germination medium: 1% agar,germination conditions: light 8/16; 30°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
AMARANTHACEAE,Atriplex holocarpa,NA,germination medium: 1% agar,germination conditions: light 8/16; 5°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
AMARANTHACEAE,Atriplex holocarpa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 10°C; 105 days,NA,"RBG Kew, Wakehurst Place.",66,50,scarify_fruit
AMARANTHACEAE,Atriplex holocarpa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 10°C; 105 days,NA,"RBG Kew, Wakehurst Place.",74,50,scarify_fruit
AMARANTHACEAE,Atriplex holocarpa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 5°C; 105 days,NA,"RBG Kew, Wakehurst Place.",80,49,scarify_fruit
AMARANTHACEAE,Atriplex holocarpa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 5°C; 105 days,NA,"RBG Kew, Wakehurst Place.",80,50,scarify_fruit
AMARANTHACEAE,Atriplex holocarpa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 105 days,NA,"RBG Kew, Wakehurst Place.",90,49,scarify_fruit
AMARANTHACEAE,Atriplex holocarpa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 15°C; 105 days,NA,"RBG Kew, Wakehurst Place.",94,47,scarify_fruit
AMARANTHACEAE,Atriplex holocarpa,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
AMARANTHACEAE,Atriplex humifusa,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,NA,"RBG Kew, Wakehurst Place.",100,44,scarify_fruit scarify_nick_seed_coat
AMARANTHACEAE,Atriplex humifusa,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 15°C; 5 days,NA,"RBG Kew, Wakehurst Place.",100,50,scarify_fruit scarify_nick_seed_coat
AMARANTHACEAE,Atriplex humifusa,pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 25/10°C (Therm 8/16); 5 days,NA,"RBG Kew, Wakehurst Place.",100,50,scarify_fruit scarify_nick_seed_coat
AMARANTHACEAE,Atriplex humifusa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed. coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 5 days,NA,"RBG Kew, Wakehurst Place.",100,50,scarify_fruit scarify_nick_seed_coat
AMARANTHACEAE,Atriplex humifusa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 84 days,NA,"RBG Kew, Wakehurst Place.",67,49,scarify_fruit
AMARANTHACEAE,Atriplex humifusa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,NA,"RBG Kew, Wakehurst Place.",78,50,scarify_fruit
AMARANTHACEAE,Atriplex humifusa,pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 15°C; 84 days,NA,"RBG Kew, Wakehurst Place.",86,50,scarify_fruit
