species,trait_name,trait_value,number_records,percent_records,notes
Banksia aemula,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,"LOW CONFIDENCE: with flowering recorded nearly year-round, the 'fruiting cones present' category could not be reliably separated from adjacent categories at this image resolution; recommend manual check against the original chart"
Banksia ashbyi,growth_form,tree,70,46,
Banksia ashbyi,growth_form,shrub,70,51,
Banksia ashbyi,growth_form,unspecified,70,3,
Banksia ashbyi,growth_response,ground resprout,8,12,
Banksia ashbyi,growth_response,"killed, new seedlings",8,37,
Banksia ashbyi,growth_response,"killed, new seedlings and trunk resprout",8,12,
Banksia ashbyi,growth_response,unspecified,8,37,
Banksia ashbyi,flowering_response,occurred after fire,5,,
Banksia ashbyi,flowering_response,median time to flowering: 13-24 months,5,,
Banksia ashbyi,flowering_response,minimum time to flowering: <1 month,5,,
Banksia ashbyi,flowering_response,not occurred after fire,2,,
Banksia ashbyi,flowering_response,median time to no flowering: 13-24 months,2,,
Banksia ashbyi,flowering_response,maximum time to no flowering: 25-36 months,2,,
Banksia ashbyi,pollinator_type,bird,17,18,
Banksia ashbyi,pollinator_type,"butterflies, moths",17,6,
Banksia ashbyi,pollinator_type,"bees, wasps, ants",17,24,
Banksia ashbyi,pollinator_type,no pollinator observed,17,53,
Banksia ashbyi,specific_pollinator,honeyeater (unspecified),3,,
Banksia ashbyi,specific_pollinator,Singing Honeyeater,1,,
Banksia ashbyi,specific_pollinator,ant,3,,
Banksia ashbyi,months_flowering_range,Apr-Sep,,,from monthly chart ('fully open' bars); text: 'Flowering was observed mainly in winter'
Banksia ashbyi,months_flowering_peak,Jul,,,tallest 'fully open' bar in chart (~65%); consistent with text
Banksia ashbyi,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia attenuata,growth_form,tree,1280,76,
Banksia attenuata,growth_form,shrub,1280,23,
Banksia attenuata,growth_form,unspecified,1280,1,
Banksia attenuata,growth_response,ground resprout,191,18,
Banksia attenuata,growth_response,"ground resprout and killed, new seedlings",191,5,
Banksia attenuata,growth_response,ground resprout and trunk resprout,191,14,
Banksia attenuata,growth_response,"killed, new seedlings",191,2,
Banksia attenuata,growth_response,"killed, new seedlings and trunk resprout",191,2,
Banksia attenuata,growth_response,trunk resprout,191,27,
Banksia attenuata,growth_response,unspecified,191,34,
Banksia attenuata,flowering_response,occurred after fire,134,,
Banksia attenuata,flowering_response,median time to flowering: 13-24 months,134,,
Banksia attenuata,flowering_response,minimum time to flowering: <1 month,134,,
Banksia attenuata,flowering_response,not occurred after fire,20,,
Banksia attenuata,flowering_response,median time to no flowering: 13-24 months,20,,
Banksia attenuata,flowering_response,maximum time to no flowering: 61-72 months,20,,
Banksia attenuata,pollinator_type,bird,436,6,
Banksia attenuata,pollinator_type,"butterflies, moths",436,1,
Banksia attenuata,pollinator_type,"bees, wasps, ants",436,11,
Banksia attenuata,pollinator_type,flies,436,1,
Banksia attenuata,pollinator_type,no pollinator observed,436,82,
Banksia attenuata,specific_pollinator,honeyeater (unspecified),5,,
Banksia attenuata,specific_pollinator,New Holland Honeyeater,1,,
Banksia attenuata,specific_pollinator,Brown Honeyeater,1,,
Banksia attenuata,specific_pollinator,Singing Honeyeater,1,,
Banksia attenuata,specific_pollinator,Miner (unspecified),1,,
Banksia attenuata,specific_pollinator,wattlebird (unspecified),3,,
Banksia attenuata,specific_pollinator,Western Spinebill,2,,
Banksia attenuata,specific_pollinator,Port Lincoln Parrot,1,,
Banksia attenuata,specific_pollinator,Red-tailed Black Cockatoo,1,,
Banksia attenuata,specific_pollinator,ant,9,,
Banksia attenuata,specific_pollinator,bee (unspecified),29,,
Banksia attenuata,specific_pollinator,European honey bee,1,,
Banksia attenuata,specific_pollinator,blowfly,1,,
Banksia attenuata,specific_pollinator,dragonfly,1,,
Banksia attenuata,months_flowering_range,Oct-Mar,,,from monthly chart ('fully open' bars >~10%); text: 'flowers and produces new shoots mainly in late spring and summer'
Banksia attenuata,months_flowering_peak,Nov-Jan,,,"Dec tallest (~90%), Nov ~72%, Jan ~78%"
Banksia attenuata,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia audax,growth_form,shrub,33,94,
Banksia audax,growth_form,unspecified,33,6,
Banksia audax,growth_response,ground resprout,4,50,
Banksia audax,growth_response,unspecified,4,50,
Banksia audax,flowering_response,occurred after fire,4,,
Banksia audax,flowering_response,median time to flowering: 25-36 months,4,,
Banksia audax,flowering_response,minimum time to flowering: 13-24 months,4,,
Banksia audax,flowering_response,not occurred after fire,0,,
Banksia audax,pollinator_type,"bees, wasps, ants",1,100,
Banksia audax,months_flowering_range,Jan,1,,"main summer record per text ('flowers in summer'); a second minor record in May also shows a small 'fully open' bar in the chart (low confidence, not reflected in Discussion text)"
Banksia audax,months_flowering_peak,Jan,1,,
Banksia audax,months_fruiting_cones_present,none evident in chart,,,"chart shows 'majority in bud' pattern for most other months, no clear fruiting-cone pattern"
Banksia baueri,growth_form,shrub,132,96,
Banksia baueri,growth_form,tree,132,2,
Banksia baueri,growth_form,unspecified,132,2,
Banksia baueri,growth_response,"killed, new seedlings",3,33,
Banksia baueri,growth_response,"killed, new seedlings and trunk resprout",3,33,
Banksia baueri,growth_response,unspecified,3,33,
Banksia baueri,flowering_response,occurred after fire,2,,
Banksia baueri,flowering_response,median time to flowering: 13-24 months,2,,
Banksia baueri,flowering_response,minimum time to flowering: 1-12 months,2,,
Banksia baueri,flowering_response,not occurred after fire,0,,
Banksia baueri,pollinator_type,"bees, wasps, ants",21,5,
Banksia baueri,pollinator_type,no pollinator observed,21,95,
Banksia baueri,specific_pollinator,ant,1,,
Banksia baueri,months_flowering_range,Mar-Sep,,,from monthly chart ('fully open' bars); text: 'Flowering occurs in autumn and winter'
Banksia baueri,months_flowering_peak,Jul,,,tallest 'fully open' bar in chart (~100%)
Banksia baueri,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia baxteri,growth_form,tree,188,29,
Banksia baxteri,growth_form,shrub,188,69,
Banksia baxteri,growth_form,unspecified,188,2,
Banksia baxteri,growth_response,"ground resprout and killed, new seedlings",24,4,
Banksia baxteri,growth_response,"killed, new seedlings",24,62,
Banksia baxteri,growth_response,unspecified,24,33,
Banksia baxteri,flowering_response,occurred after fire,12,,
Banksia baxteri,flowering_response,median time to flowering: 13-24 months,12,,
Banksia baxteri,flowering_response,minimum time to flowering: 1-12 months,12,,
Banksia baxteri,flowering_response,not occurred after fire,5,,
Banksia baxteri,flowering_response,median time to no flowering: 37-48 months,5,,
Banksia baxteri,flowering_response,maximum time to no flowering: 61-72 months,5,,
Banksia baxteri,pollinator_type,bird,61,23,
Banksia baxteri,pollinator_type,"bees, wasps, ants",61,7,
Banksia baxteri,pollinator_type,no pollinator observed,61,70,
Banksia baxteri,specific_pollinator,honeyeater (unspecified),2,,
Banksia baxteri,specific_pollinator,New Holland Honeyeater,5,,
Banksia baxteri,specific_pollinator,White-cheeked Honeyeater,1,,
Banksia baxteri,specific_pollinator,Little Wattlebird,2,,
Banksia baxteri,specific_pollinator,Western Spinebill,1,,
Banksia baxteri,specific_pollinator,Red-tailed Black Cockatoo,2,,
Banksia baxteri,specific_pollinator,ant,1,,
Banksia baxteri,months_flowering_range,Sep-Jun,,,"text: 'peak in January and February. Some flowers were recorded as late as June, a few as early as September' (i.e. low/no flowering Jul-Aug)"
Banksia baxteri,months_flowering_peak,Jan-Feb,,,"text and chart agree (Jan ~92%, Feb ~98%)"
Banksia baxteri,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia benthamiana,growth_form,tree,36,36,
Banksia benthamiana,growth_form,shrub,36,58,
Banksia benthamiana,growth_form,unspecified,36,6,
Banksia benthamiana,growth_response,"killed, new seedlings",2,100,
Banksia benthamiana,flowering_response,occurred after fire,1,,
Banksia benthamiana,flowering_response,minimum time to flowering: 85-96 months,1,,
Banksia benthamiana,flowering_response,not occurred after fire,0,,
Banksia benthamiana,pollinator_type,"butterflies, moths",6,17,
Banksia benthamiana,pollinator_type,no pollinator observed,6,83,
Banksia benthamiana,months_flowering_range,Nov-Dec,,,"text: 'summer appears to be the main season'; chart shows 'fully open' only in Nov (1 record) and Dec (2 records) - THIN SAMPLE, low confidence"
Banksia benthamiana,months_flowering_peak,Nov-Dec,,,THIN SAMPLE (1-2 records) - low confidence
Banksia benthamiana,months_fruiting_cones_present,none evident in chart,,,
Banksia blechnifolia,growth_form,shrub,37,100,
Banksia blechnifolia,growth_response,"killed, no seedlings and killed, new seedlings",2,50,
Banksia blechnifolia,growth_response,unspecified,2,50,
Banksia blechnifolia,flowering_response,occurred after fire,1,,
Banksia blechnifolia,flowering_response,minimum time to flowering: 85-96 months,1,,
Banksia blechnifolia,flowering_response,not occurred after fire,1,,
Banksia blechnifolia,flowering_response,maximum time to no flowering: 13-24 months,1,,
Banksia blechnifolia,pollinator_type,"bees, wasps, ants",12,17,
Banksia blechnifolia,pollinator_type,flies,12,17,
Banksia blechnifolia,pollinator_type,no pollinator observed,12,66,
Banksia blechnifolia,specific_pollinator,ant,2,,
Banksia blechnifolia,specific_pollinator,blowfly,1,,
Banksia blechnifolia,months_flowering_range,Jun-Nov,,,text: 'Flowering is mainly in spring although it may begin as early as June'; chart shows 'fully open' bars Jun-Nov
Banksia blechnifolia,months_flowering_peak,Sep-Nov,,,"DISCREPANCY FLAGGED: text says 'mainly in spring' (Sep-Nov) but the single tallest bar in the chart was July (~70%); reporting the text-based spring peak as primary, chart peak noted here for reference"
Banksia blechnifolia,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia brownii,growth_form,tree,18,56,
Banksia brownii,growth_form,shrub,18,39,
Banksia brownii,growth_form,unspecified,18,5,
Banksia brownii,growth_response,"killed, new seedlings",2,50,
Banksia brownii,growth_response,unspecified,2,50,
Banksia brownii,flowering_response,occurred after fire,2,,
Banksia brownii,flowering_response,minimum time to flowering: 61-72 months,2,,
Banksia brownii,flowering_response,not occurred after fire,0,,
Banksia brownii,pollinator_type,no pollinator observed,2,100,
Banksia brownii,months_flowering_range,"Apr, Jul",,,"text: 'Flowering appears to be in winter'; chart shows 'fully open' solid bars in Apr (~100%) and Jul (~100%), plus a small Jan record - THIN SAMPLE (18 total records)"
Banksia brownii,months_flowering_peak,Apr and Jul (tied),,,THIN SAMPLE - low confidence
Banksia brownii,months_fruiting_cones_present,Aug-Nov,,,from monthly chart ('fruiting cones present' pattern); moderate confidence
Banksia burdettii,growth_form,tree,81,17,
Banksia burdettii,growth_form,shrub,81,26,
Banksia burdettii,growth_form,unspecified,81,57,
Banksia burdettii,growth_response,unspecified,1,100,
Banksia burdettii,flowering_response,occurred after fire,1,,
Banksia burdettii,flowering_response,minimum time to flowering: 49-60 months,1,,
Banksia burdettii,flowering_response,not occurred after fire,0,,
Banksia burdettii,pollinator_type,bird,2,100,
Banksia burdettii,specific_pollinator,Brown Honeyeater,1,,
Banksia burdettii,months_flowering_range,Jan-Apr,,,"from monthly chart ('fully open' bars, Jan/Feb 100%, Apr ~15%); a small secondary record in Aug also shows partial 'fully open'. NOTE: Discussion text states 'Flowering is in summer and early autumn' which matches Jan-Apr well"
Banksia burdettii,months_flowering_peak,Jan-Feb,,,chart shows Jan and Feb both at 100% 'fully open'
Banksia burdettii,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia caleyi,growth_form,tree,100,2,
Banksia caleyi,growth_form,shrub,100,95,
Banksia caleyi,growth_form,unspecified,100,3,
Banksia caleyi,growth_response,"killed, new seedlings",3,33,
Banksia caleyi,growth_response,"killed, no seedlings",3,33,
Banksia caleyi,growth_response,unspecified,3,33,
Banksia caleyi,flowering_response,occurred after fire,1,,
Banksia caleyi,flowering_response,median time to flowering: 25-36 months,1,,
Banksia caleyi,flowering_response,not occurred after fire,1,,
Banksia caleyi,flowering_response,maximum time to no flowering: 25-36 months,1,,
Banksia caleyi,pollinator_type,"bees, wasps, ants",29,3,
Banksia caleyi,pollinator_type,no pollinator observed,29,97,
Banksia caleyi,specific_pollinator,ant,1,,
Banksia caleyi,months_flowering_range,Sep-Jan,,,text: 'Flowering is from September to January'
Banksia caleyi,months_flowering_peak,Nov-Dec,,,"from monthly chart ('fully open' bars: Nov ~75%, Dec ~85%, tallest of the season)"
Banksia caleyi,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia candolleana,growth_form,shrub,95,99,
Banksia candolleana,growth_form,unspecified,95,1,
Banksia candolleana,growth_response,ground resprout,15,60,
Banksia candolleana,growth_response,"ground resprout and killed, new seedlings",15,7,
Banksia candolleana,growth_response,unspecified,15,33,
Banksia candolleana,flowering_response,occurred after fire,10,,
Banksia candolleana,flowering_response,median time to flowering: 13-24 months,10,,
Banksia candolleana,flowering_response,minimum time to flowering: 13-24 months,10,,
Banksia candolleana,flowering_response,not occurred after fire,3,,
Banksia candolleana,flowering_response,median time to no flowering: 13-24 months,3,,
Banksia candolleana,flowering_response,maximum time to no flowering: 13-24 months,3,,
Banksia candolleana,pollinator_type,"bees, wasps, ants",26,12,
Banksia candolleana,pollinator_type,no pollinator observed,26,88,
Banksia candolleana,specific_pollinator,ant,2,,
Banksia candolleana,specific_pollinator,European honey bee,1,,
Banksia candolleana,months_flowering_range,"Mar-Jul, plus a single Dec record",,,text: 'Flowering is from March to July. There is also a single record of flowering in December'
Banksia candolleana,months_flowering_peak,May,,,"from monthly chart ('fully open' ~100%, tallest bar)"
Banksia candolleana,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia canei,growth_form,shrub,48,92,
Banksia canei,growth_form,tree,48,6,
Banksia canei,growth_form,unspecified,48,2,
Banksia canei,growth_response,unspecified,3,100,
Banksia canei,flowering_response,occurred after fire,2,,
Banksia canei,flowering_response,minimum time to flowering: <1 month,2,,
Banksia canei,flowering_response,not occurred after fire,0,,
Banksia canei,pollinator_type,bird,42,5,
Banksia canei,pollinator_type,"bees, wasps, ants",42,7,
Banksia canei,pollinator_type,no pollinator observed,42,88,
Banksia canei,specific_pollinator,honeyeater (unspecified),1,,
Banksia canei,specific_pollinator,Yellow-tufted Honeyeater,1,,
Banksia canei,specific_pollinator,bee (unspecified),2,,
Banksia canei,months_flowering_range,Dec-May,,,text: 'Flowers were recorded from December to May with a peak from February to April'; chart also shows a single minor 'fully open' record in Aug (1 record) not mentioned in the text
Banksia canei,months_flowering_peak,Feb-Apr,,,text and chart agree (Feb/Mar/Apr all ~90-100% 'fully open')
Banksia canei,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia chamaephyton,growth_form,shrub,36,97,
Banksia chamaephyton,growth_form,unspecified,36,3,
Banksia chamaephyton,growth_response,no fire-response records,0,,
Banksia chamaephyton,pollinator_type,no pollinator observed,13,100,
Banksia chamaephyton,months_flowering_range,Nov-Dec,,,text: 'Flowering is in November and December'; chart confirms 100% 'fully open' in both months and 0% in all others
Banksia chamaephyton,months_flowering_peak,Nov-Dec,,,both months at 100% 'fully open' in the chart
Banksia chamaephyton,months_fruiting_cones_present,none evident in chart,,,
Banksia coccinea,growth_form,tree,171,33,
Banksia coccinea,growth_form,shrub,171,65,
Banksia coccinea,growth_form,unspecified,171,2,
Banksia coccinea,growth_response,"ground resprout and killed, new seedlings",29,3,
Banksia coccinea,growth_response,"killed, new seedlings",29,59,
Banksia coccinea,growth_response,unspecified,29,38,
Banksia coccinea,flowering_response,occurred after fire,15,,
Banksia coccinea,flowering_response,median time to flowering: 13-24 months,15,,
Banksia coccinea,flowering_response,minimum time to flowering: <1 month,15,,
Banksia coccinea,flowering_response,not occurred after fire,8,,
Banksia coccinea,flowering_response,median time to no flowering: 24-25 months,8,,
Banksia coccinea,flowering_response,maximum time to no flowering: 49-60 months,8,,
Banksia coccinea,pollinator_type,bird,43,21,
Banksia coccinea,pollinator_type,"bees, wasps, ants",43,9,
Banksia coccinea,pollinator_type,no pollinator observed,43,70,
Banksia coccinea,specific_pollinator,New Holland Honeyeater,7,,
Banksia coccinea,specific_pollinator,Red Wattlebird,1,,
Banksia coccinea,specific_pollinator,Western Spinebill,1,,
Banksia coccinea,specific_pollinator,rosella (unspecified),1,,
Banksia coccinea,specific_pollinator,ant,3,,
Banksia coccinea,months_flowering_range,May-Dec,,,text: 'Flowering is from May to December with a peak from July to October'
Banksia coccinea,months_flowering_peak,Jul-Oct,,,"text and chart agree (Jul ~90%, Aug ~90%, Sep ~65%, Oct ~95% 'fully open')"
Banksia coccinea,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia conferta,growth_form,tree,32,9,
Banksia conferta,growth_form,shrub,32,91,
Banksia conferta,growth_response,"killed, new seedlings",6,67,
Banksia conferta,growth_response,unspecified,6,33,
Banksia conferta,flowering_response,occurred after fire,4,,
Banksia conferta,flowering_response,median time to flowering: 60-72 months,4,,
Banksia conferta,flowering_response,minimum time to flowering: 49-60 months,4,,
Banksia conferta,flowering_response,not occurred after fire,1,,
Banksia conferta,flowering_response,maximum time to no flowering: 37-48 months,1,,
Banksia conferta,pollinator_type,bird,22,5,
Banksia conferta,pollinator_type,"bees, wasps, ants",22,14,
Banksia conferta,pollinator_type,flies,22,5,
Banksia conferta,pollinator_type,no pollinator observed,22,77,
Banksia conferta,specific_pollinator,ant,1,,
Banksia conferta,specific_pollinator,bee (unspecified),1,,
Banksia conferta,months_flowering_range,Apr-Aug,,,text: 'Limited records suggest a flowering period from autumn to late winter'
Banksia conferta,months_flowering_peak,Aug,,,"from monthly chart, tallest 'fully open' bar (~100%); May and Jul also high (~90%)"
Banksia conferta,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia conferta var. conferta,growth_form,tree,6,17,
Banksia conferta var. conferta,growth_form,shrub,6,83,
Banksia conferta var. conferta,growth_response,"killed, new seedlings",5,60,
Banksia conferta var. conferta,growth_response,unspecified,5,40,
Banksia conferta var. conferta,flowering_response,occurred after fire,4,,
Banksia conferta var. conferta,flowering_response,median time to flowering: 61-72 months,4,,
Banksia conferta var. conferta,flowering_response,minimum time to flowering: 49-60 months,4,,
Banksia conferta var. conferta,flowering_response,not occurred after fire,0,,
Banksia conferta var. conferta,pollinator_type,bird,2,50,
Banksia conferta var. conferta,pollinator_type,"bees, wasps, ants",2,50,
Banksia conferta var. conferta,months_flowering_range,"Apr, May, Aug",,,"THIN SAMPLE (6 total records). Chart shows 'fully open' at Apr (100%) and Aug (100%), with a small amount in May (~15%)"
Banksia conferta var. conferta,months_flowering_peak,Apr and Aug (tied),,,THIN SAMPLE - low confidence
Banksia conferta var. conferta,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia conferta var. penicillata,growth_form,tree,26,8,
Banksia conferta var. penicillata,growth_form,shrub,26,92,
Banksia conferta var. penicillata,growth_response,"killed, new seedlings",1,100,
Banksia conferta var. penicillata,flowering_response,occurred after fire,0,,
Banksia conferta var. penicillata,flowering_response,not occurred after fire,1,,
Banksia conferta var. penicillata,flowering_response,maximum time to no flowering: 37-48 months,1,,
Banksia conferta var. penicillata,pollinator_type,"bees, wasps, ants",20,10,
Banksia conferta var. penicillata,pollinator_type,flies,20,5,
Banksia conferta var. penicillata,pollinator_type,no pollinator observed,20,85,
Banksia conferta var. penicillata,specific_pollinator,ant,1,,
Banksia conferta var. penicillata,specific_pollinator,bee (unspecified),1,,
Banksia conferta var. penicillata,months_flowering_range,Apr-Jul,,,text: 'Flowering is from autumn through to winter'
Banksia conferta var. penicillata,months_flowering_peak,Jun,,,"from monthly chart, tallest 'fully open' bar (~70%)"
Banksia conferta var. penicillata,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia cuneata,growth_form,tree,4,50,
Banksia cuneata,growth_form,shrub,4,50,
Banksia cuneata,growth_response,no fire-response records,0,,
Banksia cuneata,months_flowering_range,Jun,,,"DISCREPANCY FLAGGED: Discussion text states 'The species flowers in spring' but the monthly chart's only 'fully open' record is in June (100%), with Nov and Dec both showing only 'majority in bud'. THIN SAMPLE (4 total records: Jun=2, Nov=1, Dec=1) - recommend manual check of the original chart/text"
Banksia cuneata,months_flowering_peak,Jun,,,only month with a 'fully open' record in the chart; THIN SAMPLE
Banksia cuneata,months_fruiting_cones_present,none evident in chart,,,
Banksia dentata,growth_form,tree,133,92,
Banksia dentata,growth_form,shrub,133,5,
Banksia dentata,growth_form,unspecified,133,3,
Banksia dentata,growth_response,ground resprout,36,8,
Banksia dentata,growth_response,"killed, new seedlings",36,8,
Banksia dentata,growth_response,trunk resprout,36,56,
Banksia dentata,growth_response,"killed, no seedlings and trunk resprout",36,6,
Banksia dentata,growth_response,unspecified,36,22,
Banksia dentata,flowering_response,occurred after fire,23,,
Banksia dentata,flowering_response,median time to flowering: 1-12 months,23,,
Banksia dentata,flowering_response,minimum time to flowering: <1 month,23,,
Banksia dentata,flowering_response,not occurred after fire,6,,
Banksia dentata,flowering_response,median time to no flowering: 1-12 months,6,,
Banksia dentata,flowering_response,maximum time to no flowering: 13-24 months,6,,
Banksia dentata,pollinator_type,bird,44,2,
Banksia dentata,pollinator_type,no pollinator observed,44,98,
Banksia dentata,specific_pollinator,honeyeater (unspecified),1,,
Banksia dentata,months_flowering_range,Apr-Jul,,,"DISCREPANCY FLAGGED: from the monthly chart ('fully open' bars: Apr ~25%, May ~15%, Jun ~5%, Jul ~15%), but the Discussion text cites George (1981) stating the flowering period as 'November to June' (attributed to the tropical wet season making fieldwork difficult) - the actual Atlas chart data do not show any 'fully open' records outside Apr-Jul"
Banksia dentata,months_flowering_peak,Apr,,,tallest 'fully open' bar in the chart (~25%)
Banksia dentata,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia dryandroides,growth_form,shrub,65,100,
Banksia dryandroides,growth_response,ground resprout,7,14,
Banksia dryandroides,growth_response,"killed, new seedlings",7,43,
Banksia dryandroides,growth_response,unspecified,7,43,
Banksia dryandroides,flowering_response,occurred after fire,3,,
Banksia dryandroides,flowering_response,median time to flowering: 25-36 months,3,,
Banksia dryandroides,flowering_response,minimum time to flowering: 13-24 months,3,,
Banksia dryandroides,flowering_response,not occurred after fire,3,,
Banksia dryandroides,flowering_response,median time to no flowering: 37-48 months,3,,
Banksia dryandroides,flowering_response,maximum time to no flowering: 37-48 months,3,,
Banksia dryandroides,pollinator_type,no pollinator observed,17,100,
Banksia dryandroides,months_flowering_range,"Sep-Jan, plus a secondary record in Jun",,,"text: 'main flowering period is from spring through to early summer, though flowers have also been recorded in June ... from every month' (old flowers with residual colour recorded in other months, but chart 'fully open' bars concentrate at Jan ~35%, Jun ~35%, Sep ~10%, Nov ~65%)"
Banksia dryandroides,months_flowering_peak,Nov,,,tallest 'fully open' bar in chart (~65%); text also notes 'a possible peak in spring'
Banksia dryandroides,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia elderiana,growth_form,shrub,167,99,
Banksia elderiana,growth_form,tree,167,1,
Banksia elderiana,growth_response,ground resprout,30,73,
Banksia elderiana,growth_response,ground resprout and trunk resprout,30,3,
Banksia elderiana,growth_response,"killed, no seedlings",30,3,
Banksia elderiana,growth_response,unspecified,30,20,
Banksia elderiana,flowering_response,occurred after fire,18,,
Banksia elderiana,flowering_response,median time to flowering: 25-36 months,18,,
Banksia elderiana,flowering_response,minimum time to flowering: 1-12 months,18,,
Banksia elderiana,flowering_response,not occurred after fire,8,,
Banksia elderiana,flowering_response,median time to no flowering: 1-12 months,8,,
Banksia elderiana,flowering_response,maximum time to no flowering: 25-36 months,8,,
Banksia elderiana,pollinator_type,"bees, wasps, ants",27,11,
Banksia elderiana,pollinator_type,flies,27,4,
Banksia elderiana,pollinator_type,no pollinator observed,27,85,
Banksia elderiana,specific_pollinator,ant,2,,
Banksia elderiana,months_flowering_range,Dec-Feb,,,text: 'Flowering is from December to February and new shoot growth mainly from late spring to autumn'
Banksia elderiana,months_flowering_peak,Feb,,,"from monthly chart, tallest 'fully open' bar (~65%); Jan also substantial (~40%)"
Banksia elderiana,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia elegans,growth_form,tree,24,17,
