IDmerg1,ID_all,species_name,species_abb,site_name,site_details,siteold,site_data_old,replicates_toughness,replicates_CN,spp_old,SLA_cm2_g_new,leaf_area_mm2_new,PSIpd,PSImd,Kh,Ks,Kl,LL,Gs,Amass,Aarea,RD_MASS,leaf_N_mass_new,leaf_P_mass_new,Cmass,leaf_N_area_g_m2_new,leaf_P_area_g_m2_new,max_ht,ci,ca_ci,wue,Aarea_gs,trans,trans_es,d15N,d13C,max_height_m,SPo,TLP,H2OTLP,symH2O,elast_mod,shootH20,ci_ca,SWCsap,SWCstem,SWCbark,BarkThick,n(bark),Wshear(Jm01),Toughness(Jm-2),leaf thickness,date,id,time1,par,PsmassUSE_raw,tleaf,PsAreaUse_raw,GsUSE_raw,gc_raw,ci_raw,CO2a_raw,wue_raw,SLA_raw
2,2,Acacia floribunda,acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,5,5,Acaflo,7.97,158.17,-0.39,-0.98,6.16E-06,0.365,1.67E-04,1.11,190,106.3,11,10.6,2.31,0.057,51.7,2.89,0.072,3.5,256,115,3.28,0.058,3.36,190.3,-1.8673,-31.4111,3.5,-2.4,-2.72,90.29,83.73,28.34,59.07,0.008695652,78.05,92.94,125.744,1.1075,10,0.37,1341,0.27,,,,,,,,,,,,,
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221098,,1115,1620,64.76676,29.04045,4.447802,48.37614,0.030268,220.4921,382,3.040118,145.6152
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221098,,1100,1600,88.79374,27.43017,13.06186,193.523,0.118144,253.9431,377,2.790673,67.97938
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301198,a,1100,1000,71.23511,24.52361,6.174719,74.21976,0.046233,224.9125,368,4.154,115.3658
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301198,b,1200,1360,100.7593,27.67969,10.47394,262.951,0.158686,281.4784,357,2.213919,96.2
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,a,940,1280,110.9905,25.74629,11.08512,200.5729,0.122304,297.1893,399,2.823333,100.1257
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,b,940,1200,70.16336,24.47752,8.917283,256.3675,0.154882,301.3205,368,2.116257,78.68243
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,c,1000,1560,199.7652,26.09951,19.99994,261.6692,0.157946,224.0096,358,5.002852,99.8829
,,Acacia floribunda,Acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,d,1000,1640,144.1666,25.85646,14.09315,224.8194,0.136535,245.2536,356,4.122741,102.2955
146,170,Acacia havilandiorum,acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,Acahav,3.81,115.48,-3.29,-4.2,NA,NA,NA,1.75,123,30.6,12,8.9,1.46,0.046,48.93,3.83,0.121,4,175,197,4.32,0.097,2.77,221.7,-2.1767,-26.759,4,-2.77,-3.56,82.89,77.99,16.56,51.97,0.005076142,40.001,47.92,64.831,1.06944,9,0.51,562,0.89,,,,,,,,,,,,,
,,Acacia havilandiorum,Acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,,1040,1640,27.67958,27.41202,8.340903,62.653,0.039105,157.2558,384,4.29168,33.18535
,,Acacia havilandiorum,Acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,a,942,1600,36.15214,27.77524,12.09995,179.6566,0.109934,249.1791,373,2.489295,29.87792
,,Acacia havilandiorum,Acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,a,957,1744,43.77598,24.33681,19.30601,256.8132,0.15514,217.2116,351,3.783,22.6748
,,Acacia havilandiorum,Acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,c,1030,1750,25.97876,26.98115,15.16199,124.4909,0.076888,145.8605,354,4.503,17.13414
,,Acacia havilandiorum,Acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,d,1107,1400,18.10925,25.93084,5.61744,38.44662,0.024096,147.3404,393,5.024222,32.23755
,,Acacia havilandiorum,Acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,e,1140,1350,31.988,25.2257,11.33914,77.03687,0.047965,133.6633,380.5,5.825931,28.21024
116,139,Acacia oswaldii,acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,Acaosw,3.79,153.92,-2.64,-3.73,NA,NA,NA,1.75,126,41,13.1,4.4,1.84,0.067,51.84,4.86,0.177,6.5,183,177,4.35,0.103,3.01,227.6,-1.0893,-27.6891,6.5,-2.99,-3.86,81.76,83.13,17.08,52.7,0.005649718,46.986,56.995,79.082,1.015,10,1.54,2601,0.59,,,,,,,,,,,,,
,,Acacia oswaldii,Acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,a,1225,997,62.92206,24.34744,20.10289,156.2856,0.096009,157.4906,378,5.039778,31.3
,,Acacia oswaldii,Acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,a,917,1460,58.11867,25.01715,18.19021,137.4122,0.084684,133.6346,358,5.521023,31.95052
,,Acacia oswaldii,Acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,b,1000,1400,35.66887,27.09388,11.32453,150.0829,0.092295,215.5672,349,3.226913,31.497
,,Acacia oswaldii,Acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,c,1009,1440,34.56269,25.70541,11.44143,100.0316,0.062039,162.9422,357,4.9769,30.20835
,,Acacia oswaldii,Acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,d,1048,1740,25.83523,26.35527,8.51232,123.7527,0.076442,234.9218,357,3.073886,30.3504
,,Acacia oswaldii,Acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,e,1122,1748,28.70366,25.57647,8.801778,91.244,0.056673,191.6369,357,4.236789,32.61121
53,59,Acacia suaveolens,acasua,Kuring-gai NP lowP,hiRloP,"sydloP,glp,myall",syd_loP,3,5,Acasua_syd,4.54,345.55,-0.73,-1.07,3.85E-06,0.544,3.11E-04,2.45,187,46.6,9.6,7,1.91,0.022,51.06,4.21,0.049,2.4,263,97,3.56,0.051,2.71,187.1,-2.4265,-29.5728,2.4,-1.46,-1.77,90.05,61.34,13.61,65.29,0.010309278,78.4,86.76,110.241,0.845,10,1.15,2036,0.57,,,,,,,,,,,,,
,,Acacia suaveolens,Acasua,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,b,1125,1000,50.72126,26.13204,10.44906,218.862,0.133049,256.7865,343,3.067373,48.54146
,,Acacia suaveolens,Acasua,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,c,1130,1000,62.68983,22.85989,11.58711,231.5001,0.140437,272.2851,363,3.193286,54.10309
,,Acacia suaveolens,Acasua,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,e,1023,1000,26.70112,23.19,6.317706,93.40388,0.057993,260.2901,378,3.963552,42.26395
,,Acacia suaveolens,Acasua,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,f,1104,1000,43.69948,24.77151,8.918559,135.6928,0.083648,246.999,362,3.873526,48.99837
,,Acacia suaveolens,Acasua,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,a,1007,1000,49.14321,23.5679,10.9086,256.2378,0.154807,279.4622,356,3.68734,45.04995
148,172,Acacia wilhelmiana,acawil,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,Acawil,6.24,25.48,-3.23,-3.58,NA,NA,NA,1.01,60,52.8,8.2,11.6,1.89,0.073,52.65,3.03,0.117,2.3,135,248,5.49,0.137,1.49,107.2,-1.5733,-27.4745,2.3,-2.24,-3.17,78.05,75.58,10.29,52.19,0.004032258,47.257,54.548,78.507,0.68611,9,0.21,586,0.37,,,,,,,,,,,,,
,,Acacia wilhelmiana,Acawil,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,a,910,1242,28.33183,27.94277,4.73091,76.67016,0.04774,251.7,365,2.15163,59.88663
,,Acacia wilhelmiana,Acawil,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,b,906,1350,91.37395,27.79383,13.54415,80.76877,0.050257,95.35218,376,5.69775,67.46377
,,Acacia wilhelmiana,Acawil,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,c,934,1300,49.07415,23.82519,7.739521,53.74175,0.033594,141.733,381,6.776684,63.40722
,,Acacia wilhelmiana,Acawil,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,d,1016,1620,40.8197,26.42371,6.931117,31.52647,0.019783,10.29799,369,7.967571,58.8934
,,Acacia wilhelmiana,Acawil,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,e,1104,1710,54.17598,27.87723,7.958054,54.97027,0.034355,174.2555,420,4.880182,68.07692
6,6,Allocasuarina sp,allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,5,5,"Allsp,alltor",5.44,NA,NA,NA,NA,NA,NA,NA,157,63.7,9.4,7.7,NA,NA,49.25,2.27,NA,10,255,114,3.7,0.06,2.55,157,-2.4421,-30.2704,10,NA,NA,NA,NA,NA,NA,0.00877193,,,,,,,,,,,,,,,,,,,,,
,,Allocasuarina sp,Allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,a,1209,1290,51.4535,28.64947,7.56094,120.4594,0.074449,262.477,374,3.243391,68.05172
,,Allocasuarina sp,Allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,b,1212,1200,54.22215,29.47587,7.735713,86.21694,0.053597,221.7263,377,3.94885,70.09329
,,Allocasuarina sp,Allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,c,1215,1300,43.84824,28.74079,6.525519,90.69249,0.056336,262.2077,390,3.158263,67.19503
,,Allocasuarina sp,Allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,a,1205,1700,84.1382,24.30845,13.09697,225.8124,0.137116,255.5167,358,4.206421,64.24248
,,Allocasuarina sp,Allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,b,1210,1370,77.80423,25.0271,12.99114,196.3008,0.119784,234.0896,349,4.897727,59.89023
,,Allocasuarina sp,Allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,c,1230,1600,60.3605,26.95567,8.569517,138.7816,0.085508,265.8455,376,3.237125,70.43629
,,Allocasuarina sp,Allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,d,1230,1290,74.36904,24.74004,9.630772,240.5801,0.145725,281.3648,354,3.207111,77.22023
7,7,Astrotricha floccosa,astflo,Kuring-gai NP hiP,hiRhiP,"ghp,sydHiP",syd_hiP,5,5,Astflo_ghp,12.15,2233.8,-0.32,-1.07,1.24E-05,0.777,2.52E-04,0.52,184,150.2,11.9,8.9,1.59,0.071,47.6,1.31,0.058,3,223,117,6.62,0.065,1.79,183.8,-2.1324,-28.1658,3,-1.69,-2.44,77.02,75.41,6.97,62.65,0.008547009,110.54,144.43,286.879,0.71111,10,0.24,873,0.27,,,,,,,,,,,,,
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221098,,1020,1500,159.9673,26.09406,13.80101,256.6659,0.155055,195.0559,288,5.460933,115.9098
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221098,,1028,935,166.3283,26.88014,11.31033,124.8343,0.077096,217.6278,371,6.475429,147.0588
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301198,a,1115,1000,156.0078,27.20325,11.81037,164.7832,0.101085,194.75,318,4.67036,132.0939
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301198,b,1130,1500,173.1481,24.85523,13.25928,186.9986,0.114286,210.0107,330,7.8894,130.5863
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301198,c,1205,1100,159.9552,28.05641,11.32189,271.5079,0.163619,288.474,363,4.229482,141.2796
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301198,d,1215,1000,90.14966,25.38136,9.64261,140.5552,0.086575,254.743,372,5.937868,93.49093
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,a,1119,1200,148.9603,26.29324,12.33447,131.7924,0.081298,172.4301,328,9.8608,120.7675
,,Astrotricha floccosa,Astflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,b,1122,1250,147.3593,24.7135,11.38203,193.4748,0.118116,248.2442,348,8.468431,129.4667
118,141,Atriplex stipitata,atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,AtrSti,12.01,58.12,NA,NA,NA,NA,NA,0.53,112,227.3,19.4,38.7,2.9,0.132,42.3,2.41,0.11,0.9,79,284,6.15,0.173,3.15,202,4.8849,-16.548,0.9,NA,NA,NA,NA,NA,NA,0.003521127,,,,,,0.05,212,0.25,,,,,,,,,,,,,
,,Atriplex stipitata,Atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,a,1227,1000,101.3224,23.09106,5.789638,38.46172,0.024106,129.8296,380,6.126,175.0064
,,Atriplex stipitata,Atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,a,1226,1950,350.6335,27.20451,38.56631,197.5689,0.120533,20.52057,349,6.944,90.91705
,,Atriplex stipitata,Atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,b,1225,1900,224.3822,25.30752,18.51077,91.61791,0.056902,30.16851,364,7.524,121.2171
,,Atriplex stipitata,Atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,a,937,1360,235.7289,28.05675,17.1437,96.29713,0.05976,71.38214,370,5.390773,137.5018
,,Atriplex stipitata,Atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,b,953,1400,217.0571,28.67953,16.87577,111.1616,0.068811,109.4251,367,4.73915,128.6205
,,Atriplex stipitata,Atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,c,1146,1770,234.7283,25.86963,19.38681,138.1674,0.085138,113.7351,350,6.171418,121.0763
62,69,Banksia marginata,banmar,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,3,5,Banmar,5.88,273.58,-0.49,-1.07,NA,NA,NA,3.03,308,101.9,19.5,4.8,0.85,0.023,49.8,1.45,0.039,2.7,244,125,4.73,0.063,4.14,308.4,-3.5691,-28.7766,2.7,-1.87,-2.64,83.76,54.79,15.01,48.62,0.008,111.35,109.69,112.3,1.0875,4,0.92,2459,0.38,,,,,,,,,,,,,
,,Banksia marginata,Banmar,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,a,925,1780,93.51941,24.94984,20.14956,461.5158,0.269663,271.531,353,3.457906,46.41264
,,Banksia marginata,Banmar,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,b,1005,1418,118.0875,23.67792,21.98607,262.2651,0.15829,238.0143,384,6.093943,53.71016
,,Banksia marginata,Banmar,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,c,1205,1500,89.4914,25.63413,17.1335,239.3807,0.145027,241.4201,368,4.265169,52.23183
,,Banksia marginata,Banmar,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,e,1014,1000,84.22889,22.46125,14.18905,371.3197,0.22014,315.7317,387,3.323769,59.36189
,,Banksia marginata,Banmar,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,f,1010,1800,123.9693,25.91436,24.28871,207.6378,0.126462,153.4481,353,6.493968,51.03987
149,173,Bertya cunninghamii,bercun,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,Bercun,5.91,18.24,-3.23,-4.21,4.39E-06,0.24,5.81E-04,1.34,75,41.1,7.1,10.3,1.91,0.085,50.01,3.23,0.144,2.1,213,166,3.97,0.095,1.79,134.4,-3.3446,-26.2771,2.1,-2.33,-3.36,74.98,82.13,9.93,52.06,0.006024096,52.446,59.768,79.727,0.81,10,0.11,248,0.45,,,,,,,,,,,,,
,,Bertya cunninghamii,Bercun,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,a,922,1341,65.78016,26.24502,9.731949,109.2811,0.067669,198.005,352,3.886063,67.59196
,,Bertya cunninghamii,Bercun,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,b,956,1350,19.74515,22.28073,3.757577,59.47666,0.037143,276.7943,388,3.349308,52.54755
,,Bertya cunninghamii,Bercun,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,c,1008,1140,39.6863,26.80773,8.051522,63.90582,0.039879,165.7515,379,4.846231,49.29043
,,Bertya cunninghamii,Bercun,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,d,1110,1490,42.72762,27.15819,6.965699,59.7087,0.037286,188.0259,387.5,4.247295,61.34003
,,Bertya cunninghamii,Bercun,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,e,1150,1451,37.71926,25.90753,7.008698,80.86333,0.050315,234.3519,386,3.4984,53.81778
