code,plant_species,flower_colour_blue_purple,flower_colour_red,flower_colour_pink,flower_colour_white,flower_colour_green,flower_colour_yellow,flower_type_brush,flower_type_long_tube,flower_type_medium_tube,flower_type_short_tube,flower_type_bell_cup,corolla_width_constricted,corolla_width_narrow,corolla_width_wide,nectar
Ll,Leucopogon lanceolatus,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Lm,Leucopogon montanus,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
Ln,Leucopogon nutans,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Lp,Leucopogon parviflorus,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Ls,Lissanthe strigosa,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
Lv,Leucopogon verticillatus,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
Lvi,Leucopogon virgatus,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Md,Cyathodes dealbata,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Me,Monotoca elliptica,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Mem,Monotoca empetrifolia,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Mg,Monotoca glauca,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Ms,Monotoca submutica,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Mt,Monotoca tamariscina,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
Np,Needhamiella pumilio,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
Pc,Prionotes cerinthoides,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Pi,Pentachondra involucrata,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
Pp,Pentachondra pumila,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
Ra,Richea acerosa,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Rc,Richea contentinalis,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Rd,Richea dracophylla,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Rm,Richea milliganii,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Rp,Richea pandanifolia,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Rpr,Richea procera,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Rs,Richea scoparia,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
Rsp,Richea sprengelioides,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Sh,Styphelia hainesii,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
Si,Spengelia incarnata,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Sp,Spengelia propinqua,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
St,Styphelia tenuifolia,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
Tc,Trochocarpa cunninghamii,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Tg,Trochocarpa gunnii,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Tt,Trochocarpa thymifolia,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
Total,Total,6,28,23,66,4,4,9,24,19,28,21,23,14,43,81
