family,genus,current_taxon,don_abbrev,abbrev,old_taxon,older_taxon,red_book_hmax_m,height_notes,leaflets,deciduous
Sapindaceae,Alectryon,Alectryon tomentosus,NA,alectome,NA,NA,15,,6,0
Rhamnaceae,Alphitonia,Alphitonia excelsa,alphexce,alphexce,NA,NA,20,,1,1
Rhamnaceae,Alphitonia,Alphitonia petriei,NA,alphpetr,NA,NA,20,,1,0
Apocynaceae,Alstonia,Alstonia constricta,alstcons,alstcons,NA,NA,18,,1,0
Apocynaceae,Alyxia,Alyxia magnifolia,NA,alyxmagn,NA,NA,5,,1,0
Apocynaceae,Alyxia,Alyxia ruscifolia,alyxrusc,alyxrusc,NA,NA,5,,1,0
Sapotaceae,Amorphospermum,Amorphospermum antilogum,NA,amoranti,Niemeyera antiloga,NA,20,,1,0
Escalloniaceae,Anopterus,Anopterus macleayanus,NA,anopmacl,NA,NA,20,,1,0
Meliaceae,Anthocarapa,Anthocarapa nitidula,anthniti,anthniti,NA,NA,27,,4,0
Cannabaceae,Aphananthe,Aphananthe philippinensis,aphaphil,aphaphil,NA,NA,35,,1,0
Capparaceae,Apophyllum,Apophyllum anomalum,NA,apopanom,NA,NA,9,,1,0
Araucariaceae,Araucaria,Araucaria bidwillii,araubidw,araubidw,NA,NA,45,,1,0
Araucariaceae,Araucaria,Araucaria cunninghamii,araucunn,araucunn,NA,NA,50,,1,0
Fabaceae,Archidendron,Archidendron grandiflorum,NA,archgran,NA,NA,16,,32,0
Fabaceae,Archidendron,Archidendron muellerianum,NA,archmuel,NA,NA,20,,8,0
Fabaceae,Archidendropsis,Archidendropsis thozetiana,NA,archthoz,Albizia thozetiana,NA,20,,10,0
Primulaceae,Ardisia,Ardisia bakeri,NA,ardibake,NA,NA,10,,1,0
Malvaceae,Argyrodendron,Argyrodendron actinophyllum,NA,argyacti,NA,NA,50,,7,0
Malvaceae,Argyrodendron,Argyrodendron sp. Kin Kin,NA,argykink,NA,NA,45,,3,0
Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,argytrif,argytrif,NA,NA,45,,3,0
Sapindaceae,Arytera,Arytera dictyoneura,NA,arytdict,NA,NA,7,,4,0
Sapindaceae,Arytera,Arytera distylis,NA,arytdist,NA,NA,12,,2,0
Sapindaceae,Arytera,Arytera divaricata,NA,arytdiva,NA,NA,8,,4,0
Sapindaceae,Arytera,Arytera foveolata,NA,arytfove,NA,NA,15,,4,0
Sapindaceae,Arytera,Arytera microphylla,NA,arytmicr,NA,NA,10,,4,0
Sapindaceae,Atalaya,Atalaya multiflora,NA,atalmult,NA,NA,25,,4,0
Sapindaceae,Atalaya,Atalaya salicifolia,NA,atalsali,NA,NA,25,,6,0
Rubiaceae,Atractocarpus,Atractocarpus benthamianus,NA,atrabent,Randia benthamiana,NA,8,,1,0
Rubiaceae,Atractocarpus,Atractocarpus chartaceus,NA,atrachar,Randia chartacea,NA,6,,1,0
Pittosporaceae,Auranticarpa,Auranticarpa rhombifolia,pittrhom,aurarhom,Pittosporum rhombifolium,NA,25,,1,0
Myrtaceae,Backhousia,Backhousia angustifolia,backangu,backangu,NA,NA,15,,1,0
Myrtaceae,Backhousia,Backhousia kingii,NA,backking,NA,NA,18,,1,0
Myrtaceae,Backhousia,Backhousia myrtifolia,NA,backmyrt,NA,NA,30,,1,0
Myrtaceae,Backhousia,Backhousia subargentea,NA,backsuba,Choricarpia subargentea,NA,30,,1,0
Euphorbiaceae,Baloghia,Baloghia inophylla,baloinop,baloinop,NA,NA,25,,1,0
Euphorbiaceae,Baloghia,Baloghia marmorata,NA,balomarm,NA,NA,8,,1,0
Fabaceae,Barklya,Barklya syringifolia,NA,barksyri,NA,NA,18,,1,0
Lauraceae,Beilschmiedia,Beilschmiedia elliptica,NA,beilelli,NA,NA,38,,1,0
Lauraceae,Beilschmiedia,Beilschmiedia obtusifolia,NA,beilobtu,NA,NA,40,,1,0
Rutaceae,Bosistoa,Bosistoa pentacocca,NA,bosipent,NA,NA,18,,1,0
Rutaceae,Bosistoa,Bosistoa transversa,NA,bositran,NA,NA,22,,7,0
Rutaceae,Bouchardatia,Bouchardatia neurococca,NA,boucneur,NA,NA,7,,5,0
Malvaceae,Brachychiton,Brachychiton acerifolius,NA,bracacer,NA,NA,45,,1,1
Malvaceae,Brachychiton,Brachychiton australis,NA,bracaust,NA,NA,25,,1,1
Malvaceae,Brachychiton,Brachychiton discolor,bracdisc,bracdisc,NA,NA,35,,1,1
Malvaceae,Brachychiton,Brachychiton rupestris,bracrupe,bracrupe,NA,NA,25,,1,1
Phyllanthaceae,Breynia,Breynia oblongifolia,breyoblo,breyoblo,NA,NA,4,,1,0
Phyllanthaceae,Bridelia,Bridelia exaltata,bridexal,bridexal,NA,NA,35,,1,0
Phyllanthaceae,Bridelia,Bridelia leichhardtii,bridleic,bridleic,NA,NA,6,,1,0
Pittosporaceae,Bursaria,Bursaria incana,bursinca,bursinca,NA,NA,10,,1,0
Pittosporaceae,Bursaria,Bursaria spinosa,bursspin,bursspin,NA,NA,10,,1,0
Capparaceae,Capparis,Capparis arborea,capparbo,capparbo,NA,NA,10,,1,0
Capparaceae,Capparis,Capparis mitchellii,cappmitc,cappmitc,NA,NA,6,,1,0
Apocynaceae,Carissa,Carissa ovata,cariovat,cariovat,NA,NA,4,,1,0
Salicaceae,Casearia,Casearia multinervosa,casemult,casemult,NA,NA,10,,1,0
Fabaceae,Castanospermum,Castanospermum australe,NA,castaust,NA,NA,35,,13,0
Sapindaceae,Castanospora,Castanospora alphandii,NA,castalph,NA,NA,35,,9,0
Casuarinaceae,Casuarina,Casuarina cristata,casucris,casucris,NA,NA,20,,1,0
Cannabaceae,Celtis,Celtis paniculata,NA,celtpani,NA,NA,20,,1,0
Lauraceae,Cinnamomum,Cinnamomum oliveri,NA,cinnoliv,NA,NA,30,,1,0
Lauraceae,Cinnamomum,Cinnamomum virens,NA,cinnvire,NA,NA,30,,1,0
Cardiopteridaceae,Citronella,Citronella moorei,citrmoor,citrmoor,NA,NA,50,,1,0
Rutaceae,Citrus,Citrus australasica,NA,fingerlime,Microcitrus australasica,NA,10,,1,0
Rutaceae,Citrus,Citrus australis,NA,citraust,Microcitrus australis,NA,20,,1,0
Euphorbiaceae,Claoxylon,Claoxylon australe,claoaust,claoaust,NA,NA,9,,1,0
Euphorbiaceae,Claoxylon,Claoxylon tenerifolium,NA,claotene,NA,NA,6,,1,1
Phyllanthaceae,Cleistanthus,Cleistanthus cunninghamii,NA,cleicunn,NA,NA,9,,1,0
Lamiaceae,Clerodendrum,Clerodendrum floribundum,clerflor,clerflor,NA,NA,20,,1,0
Lamiaceae,Clerodendrum,Clerodendrum tomentosum,clertome,clertome,NA,NA,10,,1,0
Rutaceae,Coatesia,Coatesia paniculata,NA,coatpani,Geijera paniculata,NA,12,,1,0
Malvaceae,Commersonia,Commersonia bartramia,NA,commbart,NA,NA,25,,1,0
Corynocarpaceae,Corynocarpus,Corynocarpus rupestris,NA,coryrupe,NA,NA,5,,1,0
Euphorbiaceae,Croton,Croton acronychioides,crotacro,crotacro,NA,NA,15,,1,0
Euphorbiaceae,Croton,Croton insularis,crotinsu,crotinsu,NA,NA,15,,1,0
Euphorbiaceae,Croton,Croton phebalioides,NA,crotpheb,NA,NA,8,,1,0
Euphorbiaceae,Croton,Croton stigmatosus,NA,crotstig,NA,NA,18,,1,0
Euphorbiaceae,Croton,Croton verreauxii,NA,crotverr,NA,NA,7,,1,0
Lauraceae,Cryptocarya,Cryptocarya bidwillii,crypbidw,crypbidw,NA,NA,20,,1,0
Lauraceae,Cryptocarya,Cryptocarya erythroxylon,cryperyt,cryperyt,NA,NA,35,,1,0
Lauraceae,Cryptocarya,Cryptocarya floydii,crypfloy,crypfloy,NA,NA,15,,1,0
Lauraceae,Cryptocarya,Cryptocarya foveolata,NA,crypfove,NA,NA,45,,1,0
Lauraceae,Cryptocarya,Cryptocarya glaucescens,NA,crypglau,NA,NA,30,,1,0
Lauraceae,Cryptocarya,Cryptocarya laevigata,NA,cryplaev,NA,NA,7,,1,0
Lauraceae,Cryptocarya,Cryptocarya macdonaldii,,crypmacd,NA,NA,30,,1,0
Lauraceae,Cryptocarya,Cryptocarya microneura,NA,crypmicr,NA,NA,25,,1,0
Lauraceae,Cryptocarya,Cryptocarya obovata,crypobov,crypobov,NA,NA,40,,1,0
Lauraceae,Cryptocarya,Cryptocarya sclerophylla,NA,crypscle,NA,NA,10,,1,0
Lauraceae,Cryptocarya,Cryptocarya triplinervis,cryptrip,cryptrip,NA,NA,20,,1,0
Sapindaceae,Cupaniopsis,Cupaniopsis flagelliformis,NA,cupaflag,NA,NA,20,,13,0
Sapindaceae,Cupaniopsis,Cupaniopsis newmanii,NA,cupanewm,NA,NA,15,,20,0
Sapindaceae,Cupaniopsis,Cupaniopsis parvifolia,cupaparv,cupaparv,NA,NA,15,,6,0
Sapindaceae,Cupaniopsis,Cupaniopsis serrata,NA,cupaserr,NA,NA,9,,9,0
Sapindaceae,Cupaniopsis,Cupaniopsis simulata,NA,cupasimu,NA,NA,25,,8,0
Sapindaceae,Cupaniopsis,Cupaniopsis tomentella,NA,cupatome,NA,NA,10,,6,0
Sapindaceae,Cupaniopsis,Cupaniopsis wadsworthii,NA,cupawads,NA,NA,3,,3,0
Rubiaceae,Cyclophyllum,Cyclophyllum coprosmoides,NA,cyclcopr,Canthium coprosmoides,NA,10,,1,0
Rubiaceae,Cyclophyllum,Cyclophyllum longipetalum,NA,cycllong,Canthium coprosmoides,NA,25,,1,0
Atherospermataceae,Daphnandra,Daphnandra apatela,NA,daphapat,Daphnandra sp. McPherson Range,Daphnandra micrantha,30,,1,0
Myrtaceae,Decaspermum,Decaspermum humile,NA,decahumi,Decaspermum parviflorum,NA,20,,1,0
Urticaceae,Dendrocnide,Dendrocnide excelsa,dendexce,dendexce,NA,NA,40,,1,0
Urticaceae,Dendrocnide,Dendrocnide photinophylla,dendphot,dendphot,NA,NA,20,,1,1
Celastraceae,Maytenus,Denhamia bilocularis,maytbilo,denhbilo,Maytenus bilocularis,NA,20,,1,0
Celastraceae,Denhamia,Denhamia celastroides,NA,denhcela,NA,NA,10,,1,0
Celastraceae,Denhamia,Denhamia disperma,maytdisp,denhdisp,Maytenus disperma,NA,15,,1,0
Celastraceae,Denhamia,Denhamia pittosporoides,NA,denhpitt,NA,NA,7,,1,0
Rutaceae,Dinosperma,Dinosperma erythrococcum,melieryt,dinoeryt,Melicope erythrococca,NA,25,,3,0
Ebenaceae,Diospyros,Diospyros australis,diosaust,diosaust,NA,NA,20,,1,0
Ebenaceae,Diospyros,Diospyros fasciculosa,NA,diosfasc,NA,NA,30,,1,0
Ebenaceae,Diospyros,Diospyros geminata,diosgemi,diosgemi,NA,NA,10,,1,0
Ebenaceae,Diospyros,Diospyros humilis,NA,dioshumi,NA,NA,15,,1,0
Ebenaceae,Diospyros,Diospyros pentamera,diospent,diospent,NA,NA,40,,1,0
Sapindaceae,Diploglottis,Diploglottis australis,diplaust,diplaust,NA,NA,35,,9,0
Atherospermataceae,Doryphora,Doryphora sassafras,NA,dorysass,NA,NA,35,,1,0
Putranjivaceae,Drypetes,Drypetes deplanchei,drypdepl,drypdepl,NA,NA,25,,1,0
Solanaceae,Duboisia,Duboisia myoporoides,NA,dubomyop,NA,NA,24,,1,0
Meliaceae,Dysoxylum,Dysoxylum fraserianum,NA,dysofras,NA,NA,50,,8,0
Meliaceae,Dysoxylum,Dysoxylum rufum,NA,dysorufu,NA,NA,40,,15,0
Boraginaceae,Ehretia,Ehretia acuminata,ehreacum,ehreacum,NA,NA,30,,1,1
Boraginaceae,Ehretia,Ehretia membranifolia,ehrememb,ehrememb,NA,NA,12,,1,1
Elaeocarpaceae,Elaeocarpus,Elaeocarpus eumundi,NA,elaeeumu,NA,NA,30,,1,0
Elaeocarpaceae,Elaeocarpus,Elaeocarpus grandis,NA,elaegran,NA,NA,35,,1,0
Elaeocarpaceae,Elaeocarpus,Elaeocarpus kirtonii,elaekirt,elaekirt,NA,NA,45,,1,0
Elaeocarpaceae,Elaeocarpus,Elaeocarpus obovatus,elaeobov,elaeobov,NA,NA,45,,1,0
Celastraceae,Elaeodendron,Elaeodendron australe,NA,elaeaust,Cassine australis,NA,8,,1,0
Sapindaceae,Elattostachys,Elattostachys bidwillii,NA,elatbidw,Elattostachys xylocarpa,NA,10,,4,0
Sapindaceae,Elattostachys,Elattostachys nervosa,NA,elatnerv,NA,NA,18,used plantnet height,6,0
Sapindaceae,Elattostachys,Elattostachys xylocarpa,elatxylo,elatxylo,NA,NA,25,,4,0
Rhamnaceae,Emmenosperma,Emmenosperma alphitonioides,NA,emmealph,NA,NA,25,used lower height in Red Book,1,0
Lauraceae,Endiandra,Endiandra compressa,NA,endicomp,NA,NA,25,,1,0
Lauraceae,Endiandra,Endiandra crassiflora,NA,endicras,NA,NA,35,,1,0
Lauraceae,Endiandra,Endiandra discolor,NA,endidisc,NA,NA,40,,1,0
Lauraceae,Endiandra,Endiandra hayesii,NA,endihaye,NA,NA,35,,1,0
Lauraceae,Endiandra,Endiandra lowiana,NA,endilowi,NA,NA,10,,1,0
Lauraceae,Endiandra,Endiandra muelleri,NA,endimuel,NA,NA,30,,1,0
Lauraceae,Endiandra,Endiandra pubens,NA,endipube,NA,NA,25,,1,0
Fabaceae,Erythrina,Erythrina numerosa,NA,erytnume,Erythrina sp. Croftby,NA,20,,3,0
Erythroxylaceae,Erythroxylum,Erythroxylum sp. Splityard Creek,erytspli,erytspli,NA,NA,8,,1,0
Eupomatiaceae,Eupomatia,Eupomatia laurina,NA,eupolaur,NA,NA,6,,1,0
Anacardiaceae,Euroschinus,Euroschinus falcatus,eurofalc,eurofalc,Euroschinus falcata,NA,30,,6,1
Rubiaceae,Everistia,Everistia vacciniifolia,evervacc,evervacc,NA,NA,7,,1,0
Euphorbiaceae,Excoecaria,Excoecaria dallachyana,excodall,excodall,NA,NA,15,,1,0
Santalaceae,Exocarpus,Exocarpus latifolius,NA,exoclati,NA,NA,10,,1,0
Moraceae,Ficus,Ficus fraseri,NA,ficufras,NA,NA,35,,1,1
Moraceae,Ficus,Ficus henneana,NA,ficuhenn,NA,NA,35,,1,1
Moraceae,Ficus,Ficus macrophylla,NA,ficumacr,NA,NA,50,,1,0
Moraceae,Ficus,Ficus obliqua,ficuobli,ficuobli,NA,NA,50,,1,0
Moraceae,Ficus,Ficus rubiginosa,ficuplat,ficurubi,Ficus platypoda,NA,30,,1,0
Moraceae,Ficus,Ficus watkinsiana,NA,ficuwatk,NA,NA,45,,1,0
Rutaceae,Flindersia,Flindersia australis,flinaust,flinaust,NA,NA,40,,7,1
Rutaceae,Flindersia,Flindersia bennettii,NA,flinbenn,Flindersia bennettiana,NA,40,,5,0
Rutaceae,Flindersia,Flindersia collina,flincoll,flincoll,NA,NA,25,,5,0
Rutaceae,Flindersia,Flindersia schottiana,NA,flinscho,NA,NA,45,,14,0
Rutaceae,Flindersia,Flindersia xanthoxyla,NA,flinxant,NA,NA,45,,7,0
Proteaceae,Floydia,Floydia praealta,NA,floyprae,NA,NA,35,,1,0
Euphorbiaceae,Fontainea,Fontainea australis,NA,fontaust,Fontainea sp. Tweed Valley,NA,5,,1,0
Rutaceae,Geijera,Geijera salicifolia,geijsali,geijsali,NA,NA,30,,1,0
Lamiaceae,Gmelina,Gmelina leichhardtii,NA,gmelleic,NA,NA,40,,1,1
Myrtaceae,Gossia,Gossia acmenoides,NA,gossacme,Austromyrtus acmenoides,NA,12,,1,0
Myrtaceae,Gossia,Gossia bidwillii,austbidw,gossbidw,Austromyrtus bidwillii,NA,15,,1,0
Myrtaceae,Gossia,Gossia hillii,NA,gosshill,Austromyrtus hillii,NA,12,,1,0
Myrtaceae,Gossia,Gossia punctata,NA,gosspunc,Gossia sp. Brookfield,NA,15,,1,0
Proteaceae,Grevillea,Grevillea helmsiae,NA,grevhelm,NA,NA,15,,1,0
Proteaceae,Grevillea,Grevillea hilliana,NA,grevhill,NA,NA,30,,1,0
Proteaceae,Grevillea,Grevillea robusta,grevrobu,grevrobu,NA,NA,40,,20,1
Surianaceae,Guilfoylia,Guilfoylia monostylis,NA,guilmono,NA,NA,18,used lower height in Red Book,1,0
Sapindaceae,Guioa,Guioa semiglauca,guiosemi,guiosemi,NA,NA,18,,4,0
Rutaceae,Halfordia,Halfordia kendack,NA,halfkend,NA,NA,27,,1,0
Sapindaceae,Harpullia,Harpullia alata,NA,harpalat,NA,NA,7,,8,0
Sapindaceae,Harpullia,Harpullia hillii,harphill,harphill,NA,NA,20,,8,0
Sapindaceae,Harpullia,Harpullia pendula,NA,harppend,NA,NA,24,,6,0
Celastraceae,Hedraianthera,Hedraianthera porphyropetala,NA,hedrporp,NA,NA,6,,1,0
Proteaceae,Helicia,Helicia glabriflora,NA,heliglab,NA,NA,15,,1,0
Malvaceae,Hibiscus,Hibiscus heterophyllus,NA,hibihete,NA,NA,6,,1,0
Rubiaceae,Hodgkinsonia,Hodgkinsonia ovatiflora,NA,hodgovat,NA,NA,25,,1,0
Euphorbiaceae,Homalanthus,Homalanthus populifolius,omalnuta,homapopu,Homalanthus nutans,Omalanthus nutans,7,,1,0
Salicaceae,Homalium,Homalium alnifolium,NA,homaalni,NA,NA,13,,1,0
Pittosporaceae,Hymenosporum,Hymenosporum flavum,hymeflav,hymeflav,NA,NA,22,,1,0
Rubiaceae,Ixora,Ixora beckleri,NA,ixorbeck,NA,NA,10,,1,0
Rubiaceae,Ixora,Ixora queenslandica,NA,ixorquee,NA,NA,4,,1,0
Sapindaceae,Jagera,Jagera pseudorhus,NA,jagepseu,NA,NA,25,,14,0
Cunoniaceae,Karrabina,Karrabina benthamiana,NA,karrbent,Geissois benthamii,Geissois benthamiana,35,,3,0
Myrtaceae,Lenwebbia,Lenwebbia prominens,NA,lenwprom,Austromyrtus sp. Upper Mudgeeraba Creek,NA,10,,1,0
Lauraceae,Litsea,Litsea australis,NA,litsaust,NA,NA,20,,1,0
Lauraceae,Litsea,Litsea reticulata,litsreti,litsreti,NA,NA,35,,1,0
Proteaceae,Macadamia,Macadamia integrifolia,NA,macainte,NA,NA,18,,1,0
Proteaceae,Macadamia,Macadamia ternifolia,NA,macatern,NA,NA,8,,1,0
Euphorbiaceae,Mallotus,Mallotus claoxyloides,NA,mallclao,NA,NA,9,,1,0
Euphorbiaceae,Mallotus,Mallotus discolor,NA,malldisc,NA,NA,30,,1,0
Euphorbiaceae,Mallotus,Mallotus philippensis,NA,mallphil,NA,NA,25,,1,1
Rutaceae,Medicosma,Medicosma cunninghamii,NA,medicunn,NA,NA,10,,1,0
Rutaceae,Medicosma,Medicosma forsteri,NA,medifors,Medicosma sp. Mt Mellum,NA,4,,1,0
Annonaceae,Meiogyne,Meiogyne stenopetala,NA,meiosten,Fissistigma stenopetala,Ancana stenopetala,5,,1,0
Rutaceae,Melicope,Melicope hayesii,NA,melihaye,Euodia species,NA,20,,3,0
Rutaceae,Melicope,Melicope micrococca,melimicr,melimicr,Euodia micrococca,NA,35,,3,0
Rutaceae,Micromelum,Micromelum minutum,NA,micrminu,NA,NA,9,,9,0
Sapindaceae,Mischarytera,Mischarytera lautereriana,NA,misclaut,Arytera lautereriana,NA,25,,15,0
Sapindaceae,Mischocarpus,Mischocarpus ailae,NA,miscaila,Mischocarpus lachnocarpus,NA,10,,2,0
Sapindaceae,Mischocarpus,Mischocarpus anodontus,NA,miscanod,NA,NA,10,,4,0
Sapindaceae,Mischocarpus,Mischocarpus australis,NA,miscaust,Mischocarpus sundaicus,NA,25,,4,0
Sapindaceae,Mischocarpus,Mischocarpus pyriformis,NA,miscpyri,NA,NA,18,,6,0
Rutaceae,Murraya,Murraya ovatifoliolata,NA,murrovat,NA,NA,4,,6,0
Primulaceae,Myrsine,Myrsine howittiana,NA,myrshowi,Rapanea howittiana,NA,7,used lower height in Red Book,1,0
Primulaceae,Myrsine,Myrsine variabilis,rapavari,myrsvari,Rapanea variabilis,NA,13,,1,0
Lauraceae,Neolitsea,Neolitsea australiensis,neolaust,neolaust,NA,NA,15,,1,0
Lauraceae,Neolitsea,Neolitsea dealbata,NA,neoldeal,NA,NA,12,,1,0
Sapotaceae,Niemeyera,Niemeyera chartacea,NA,niemchar,NA,NA,20,,1,0
Oleaceae,Notelaea,Notelaea johnsonii,NA,notejohn,NA,NA,8,,1,0
Oleaceae,Notelaea,Notelaea longifolia,NA,notelong,NA,NA,9,,1,0
Oleaceae,Notelaea,Notelaea microcarpa,notemicr,notemicr,NA,NA,10,,1,0
Oleaceae,Olea,Olea paniculata,oleapani,oleapani,NA,NA,30,,1,0
Proteaceae,Orites,Orites excelsus,NA,oritexce,Orites excelsa,NA,30,,1,0
Meliaceae,Owenia,Owenia cepiodora,NA,owencepi,NA,NA,30,,20,0
Meliaceae,Owenia,Owenia venosa,NA,owenveno,NA,NA,20,,7,0
Fabaceae,Parachidendron,Pararchidendron pruinosum,NA,paraprui,NA,NA,20,,40,0
Rubiaceae,Pavetta,Pavetta australiensis,NA,paveaust,NA,NA,5,,1,0
Pennantiaceae,Pennantia,Pennantia cunninghamii,NA,penncunn,NA,NA,30,,1,0
Rutaceae,Pentaceras,Pentaceras australis,NA,pentaust,NA,NA,20,,12,0
Thymelaeaceae,Phaleria,Phaleria chermsideana,NA,phalcher,NA,NA,10,,1,0
Phyllanthaceae,Phyllanthus,Phyllanthus sauropodoides,NA,phylsaur,NA,NA,5,,1,0
Myrtaceae,Pilidiostigma,Pilidiostigma glabrum,NA,piliglab,NA,NA,5,,1,0
Pittosporaceae,Pittosporum,Pittosporum lancifolium,NA,pittlanc,Citriobatus lancifolius,NA,9,,1,0
Pittosporaceae,Pittosporum,Pittosporum multiflorum,NA,pittmult,Citriobatus pauciflorus,NA,3,,1,0
Pittosporaceae,Pittosporum,Pittosporum revolutum,NA,pittrevo,NA,NA,4,,1,0
Pittosporaceae,Pittosporum,Pittosporum spinescens,NA,pittspin,Citriobatus spinescens,NA,8,,1,0
Pittosporaceae,Pittosporum,Pittosporum undulatum,pittundu,pittundu,NA,NA,25,,1,0
Pittosporaceae,Pittosporum,Pittosporum viscidum,citrline,pittvisc,Citriobatus linearis,NA,5,,1,0
Sapotaceae,Planchonella,Planchonella australis,NA,planaust,Pouteria austrlis,NA,30,,1,0
Sapotaceae,Planchonella,Planchonella cotinifolia,plancoti,plancoti,Pouteria cotinifolia,NA,15,,1,0
Sapotaceae,Planchonella,Planchonella myrsinifolia,planmyrs,planmyrs,Pouteria myrsinifolia,Pouteria myrsinoides,12,,1,0
Sapotaceae,Planchonella,Planchonella pohlmaniana,NA,planpohl,Pouteria pohlmaniana,NA,20,,1,0
Sapotaceae,Pleioluma,Pleioluma queenslandica,NA,pleiquee,Pouteria queenslandica,Planchonella queenslandica,40,,1,0
Celastraceae,Pleurostylia,Pleurostylia opposita,NA,pleuoppo,NA,NA,15,,1,0
Podocarpaceae,Podocarous,Podocarpus elatus,NA,podoelat,NA,NA,40,,1,0
Annonaceae,Polyalthia,Polyalthia nitidissima,NA,polyniti,NA,NA,12,,1,0
Escalloniaceae,Polyosma,Polyosma cunninghamii,NA,polycunn,NA,NA,15,,1,0
Araliaceae,Polyscias,Polyscias elegans,polyeleg,polyeleg,NA,NA,30,,32,0
Araliaceae,Polyscias,Polyscias murrayi,polymurr,polymurr,NA,NA,24,,32,0
Cunoniaceae,Pseudoweinmannia,Pseudoweinmannia lachnocarpa,NA,pseulach,NA,NA,40,,3,0
Rubiaceae,Psychotria,Psychotria daphnoides,psycdaph,psycdaph,NA,NA,2,,1,0
Rubiaceae,Psychotria,Psychotria simmondsiana,NA,psycsimm,NA,NA,5,,1,0
Rubiaceae,Psydrax,Psydrax johnsonii,NA,psydjohn,Canthium sp. Berrigurra,NA,8,,1,0
Rubiaceae,Psydrax,Psydrax lamprophylla,cantlamp,psydlamp,Canthium lamprophyllum,NA,20,,1,0
Rubiaceae,Psydrax,Psydrax odorata,cantbuxi,psydodor,Canthium buxifolium,NA,12,,1,0
Paracryphiaceae,Quintinia,Quintinia verdonii,NA,quinverd,NA,NA,17,,1,0
Myrtaceae,Rhodamnia,Rhodamnia acuminata,NA,rhodacum,NA,NA,13,,1,0
Myrtaceae,Rhodamnia,Rhodamnia argentea,NA,rhodarge,NA,NA,30,,1,0
Myrtaceae,Rhodamnia,Rhodamnia dumicola,rhoddumi,rhoddumi,NA,NA,12,,1,0
Myrtaceae,Rhodamnia,Rhodamnia glabrescens,NA,rhodglab,NA,NA,5,,1,0
Myrtaceae,Rhodamnia,Rhodamnia rubescens,NA,rhodrube,NA,NA,25,,1,0
Myrtaceae,Rhodamnia,Rhodamnia sp. Glastonbury,NA,rhodspgl,Rhodamnia pauciovulata,NA,6,,1,0
Myrtaceae,Rhodamnia,Rhodamnia whiteana,NA,rhodwhit,Rhodamnia costata,NA,20,,1,0
Anacardiaceae,Rhodosphaera,Rhodosphaera rhodanthema,rhodrhod,rhodrhod,NA,NA,20,,8,0
Sapindaceae,Rhysotoechia,Rhysotoechia bifoliolata,NA,rhysbifo,NA,NA,30,,2,0
Euphorbiaceae,Ricinocarpus,Ricinocarpus ledifolius,NA,riciledi,NA,NA,5,,1,0
