genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,Source
Abrus,Abrus precatorius subsp. africanus,woodytwiner with stems to 10 m long.,perennial,inferred_from_growth_form,NA,NA,climber_woody,woodytwiner,NA,NA,NA,NA,NA,NA,woody,inferred_from_growth_form,Text by Updated by Louisa Murray Feb 2014
Abutilon,Abutilon,shrubs or herbs.,NA,NA,NA,NA,herb shrub,herbs shrubs,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,Text by A. S. Mitchell & E. H. Norris
Abutilon,Abutilon cryptopetalum,"erect subshrub to 1.5 m high, pubescence hoary, usually blue-green, stems often reddish.",NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,erect,erect,NA,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon fraseri,"small erect subshrub to circa 40 cm high,",NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,erect,erect,NA,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon grandifolium,large spreading shrub to 2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon halophilum,subshrub to 50 cm.,NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,NA,NA,NA,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon leucopetalum,"shrub, often small.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon macrum,slender shrub to 2 m high with short stellate hairs.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon malvifolium,shrub to 1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon otocarpum,small shrub covered with a velvety-grey pubescence.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon oxycarpum,"shrub 1.5-2 m high, stems sometimes weak, stems and leaves velvety.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon theophrasti,stout erect annual to 1 m high.,annual,annual,NA,NA,herb,inferred_from_life_history,NA,NA,NA,NA,erect,erect,herbaceous,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Abutilon,Abutilon tubulosum,shrub to 1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by A. S. Mitchell & E. H. Norris; Taxon concept: Flora of NSW 1 (1990)
Acacia,Acacia,trees or shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by P.G. Kodela & G.J. Harden
Acacia,Acacia acanthoclada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia,Acacia acanthoclada subsp. acanthoclada,erect or spreading shrub 0.3-1.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (2004; last updated February 2009); Taxon concept: B.R. Maslin, Flora of Australia 11A: 480-483 (2001)"
Acacia,Acacia acinacea,decumbent or spreading shrub 0.3-2 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent spreading,decumbent spreading,woody,NA,"Text by P.G. Kodela (last updated June 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia acrionastes,shrub or spindly tree 1.5-8 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly,spindly,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia aculeatissima,decumbent to erect shrub 0.3-1 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect decumbent,erect decumbent,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia adunca,erect or spreading shrub or tree 2.5-14 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last update Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia alata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia,Acacia alata var. alata,for description see worldwidewattle and florabase.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text by P.G. Kodela (September 2012); Taxon concept: B.R. Maslin, Flora of Australia 11A (2001)"
Acacia,Acacia alaticaulis,spindly or slender shrub to small tree to 4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly,spindly,woody,NA,"Text by P.G. Kodela (last updated October 2013); Taxon concept: P.G. Kodela & M.D. Tindale, Telopea 15: 119-126 (2013); as manuscript name in P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002) P.G. Kodela & M.D. Tindale, Telopea 15: 119-126 (2013)"
Acacia,Acacia alpina,erect or spreading shrub mostly 0.5-1 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (August 2005); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia amblygona,erect to sometimes decumbent shrub 0.5-1.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect decumbent,erect decumbent,woody,NA,"Text by P.G. Kodela (last edited May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia amoena,erect or spreading shrub 0.5-3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia aneura,erect or spreading tree or shrub mostly 5-10 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated December 2014); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia asparagoides,erect or spreading shrub 0.3-2 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last update Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia aspera,erect or spreading shrub 1-2 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated June 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia atrox,"shrub or small tree 0.5-6 m high,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by  P.G. Kodela (last update Aug 2012); Taxon concept: L.M. Copeland & P.G. Kodela, Telopea 14: 63-68 (2012)"
Acacia,Acacia atrox subsp. atrox,"shrub mostly 0.5-2 m high (older plants to 4 m high),",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Text by  P.G. Kodela (Feb 2012; last update Apr 2012); Taxon concept: L.M. Copeland & P.G. Kodela, Telopea 14: 63-68 (2012)"
Acacia,Acacia atrox subsp. planitiicola,"shrub to small tree to 6 m high,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by P.G. Kodela (Mar 2012; updated Aug 2012); Taxon concept: L.M. Copeland & P.G. Kodela, Telopea 14: 63-68 (2012))"
Acacia,Acacia aulacocarpa,tree or shrub 0.5-8 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by P.G. Kodela (August 2005); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia aureocrinita,"bushy shrub, usually <1 m high, sometimes to 1.8 m.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy,bushy,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002); B.J. Conn & T.M. Tame, Australian Systematic Botany 9(6): 827-857 (1996)"
Acacia,Acacia ausfeldii,erect or spreading shrub 1-4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (November 2007; revised May 2009); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia baeuerlenii,erect or spreading shrub 1-3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (updated Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia baileyana,erect tree or sometimes shrub 3-10 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,"Text by P.G. Kodela (last edited July 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia bakeri,erect or spreading tree 5-40 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (December 2005); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia barringtonensis,erect or spreading shrub 1-6 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia baueri,decumbent to spreading shrub 0.1-1 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent spreading,decumbent spreading,woody,NA,"Text by P.G. Kodela (last updated February 2009); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia baueri subsp. aspera,shrub.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia baueri subsp. baueri,shrub.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by P.G. Kodela
Acacia,Acacia beadleana,erect to spreading shrub 0.4-2.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela, R.H. Jones & J.J. Bruhl (July 2005; edited May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia beckleri,decumbent shrub 1-3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent,decumbent,woody,NA,"Text by P.G. Kodela (last updated June 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia beckleri subsp. beckleri,decumbent shrub 1-3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent,decumbent,woody,NA,Text by P.G. Kodela (last updated Apr 2012)
Acacia,Acacia betchei,erect or spreading shrub to 4 m high or sometimes tree to 5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (updated Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia binervata,erect or spreading tall shrub to 5 m high or tree to 15 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (December 2005); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia binervia,erect or spreading tree or shrub 2-16 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last update May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia blakei,erect or spreading tree or shrub 2-13 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia blakei subsp. blakei,"medium-sized tree to circa 13 m high, somewhat grey-green in appearance.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by P.G. Kodela (August 2005; edited May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia blakei subsp. diphylla,"medium-sized tree to circa 13 m high, somewhat grey-green in appearance.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by P.G. Kodela (August 2005; edited May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia blayana,erect tree to 25 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect,erect,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia boormanii,"erect or spreading shrub 1-4 m high, sometimes to 6 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated February 2009); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia brachybotrya,erect or spreading shrub 1-4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia brachystachya,erect or spreading tree or shrub 2-6 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last edit Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia brownii,erect or spreading shrub 0.3-1 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated February 2009); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia brunioides,erect or spreading shrub 0.5-2.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden (2002)
Acacia,Acacia brunioides subsp. brunioides,erect or spreading shrub 0.5-2.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden (2002)
Acacia,Acacia brunioides subsp. granitica,erect or spreading shrub 0.5-2.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (August 2005); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia bulgaensis,shrub or small tree to 6 m high or sometimes taller;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by P.G. Kodela (last updated May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia burbidgeae,erect or spreading shrub to circa 2 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last update Mar 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia burkittii,erect or spreading shrub 1-4 m high or sometimes taller;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by P.G. Kodela (February 2006); Taxon concept: WATTLE Acacias of Australia CD (2001)
Acacia,Acacia burrowii,erect or spreading tree 6-13 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated February 2009); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia buxifolia,erect or spreading shrub 1-4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden (2002)
Acacia,Acacia bynoeana,decumbent shrub to 0.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent,decumbent,woody,NA,"Text by P.G. Kodela (last edited May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia caesiella,"erect or spreading shrub 1-3.5 m high, sometimes a small tree to 5 m or more high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (updated Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia calamifolia,erect or spreading shrub mostly 1.5-4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (updated Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia calcicola,erect or spreading tree mostly 3-6 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated June 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia cambagei,erect or spreading tree 5-15 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated Jan 2013); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia cana,"erect or spreading shrub 2-5 m high, often gnarled and deformed;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (updated Apr 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia cangaiensis,shrub or small tree 2-6 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia cardiophylla,"erect to spreading shrub or small tree 1-3.5 m high, often multi-stemmed;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated June 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia carneorum,erect or spreading shrub or tree 2-5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (last updated May 2012); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia caroleae,erect or spreading tree or shrub 1-6 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela (December 2005); Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
Acacia,Acacia centrinervia,erect or spreading shrub 0.3-1 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by P.G. Kodela; Taxon concept: P.G. Kodela & G.J. Harden, Flora of NSW Vol. 2 (2002)"
