genus,species,form,height,stem diameter,fruits,dispersers,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Hypoestes,phyllostachya,herb/shrub,1,NA,capsule,NA,NA,10,12,NA,NA,2,3,Hypoestes phyllostachya,NNNNNNNNNN1N,111111NNNNNN
Justicia,betonica,shrub,2,NA,capsule,NA,NA,8,10,NA,NA,NA,NA,Justicia betonica,NNNN1111NNNN,NNNNNNN1NNNN
Lepidagathis,royenii,herb,0.3,NA,capsule,NA,NA,4,5,NA,NA,NA,NA,Lepidagathis royenii,NNNNNNNNN111,NA
Odontonema,tubaceforme,shrub,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Odontonema tubaceforme,NN111NNNNNNN,NA
Peristrophe,brassii,herb/shrub,1,NA,capsule,NA,NA,8,10,NA,NA,2,2,Peristrophe brassii,NNNNN111NNNN,NNNNN111NNNN
Pseuderanthemum,variabile,herb/shrub,1,NA,capsule,NA,NA,10,15,NA,NA,3,3,Pseuderanthemum variabile,11111NNNNN11,11111NNNNN11
Rhaphidospora,cavernarum,herb/shrub,1,NA,capsule,NA,NA,11,18,NA,NA,2,3,Rhaphidospora cavernarum,NN11111NNNNN,NNN1111NNNNN
Rostelllaria,adscendes,herb,0.5,NA,capsule,NA,NA,3,7,NA,NA,1,1,Rostelllaria adscendes,1.11111E+11,NNN1NNNNNNNN
Sanchezia,parvibracteata,shrub,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sanchezia parvibracteata,N11111111NNN,NA
Stephanophysum,longifolium,shrub,1.5,NA,capsule,NA,NA,13,20,3,3,2,3,Stephanophysum longifolium,NNNN11NNNNNN,NNNN11NNNNNN
Thunbergia,alata,vine,NA,NA,capsule,NA,NA,16,20,6,8,4,4,Thunbergia alata,NNN1111NNNNN,1111111NNNN1
Thunbergia,arnhemica,vine,NA,NA,capsule,NA,NA,20,24,10,12,5,6,Thunbergia arnhemica,NA,NN111NNNNNNN
Thunbergia,grandiflora,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia grandiflora,NNNNN11NNNNN,NA
Thunbergia,laurifolia,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia laurifolia,1NNNNNNNN111,NA
Thunbergia,mysorensis,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia mysorensis,1.11111E+11,NA
Sauraia,andreana,tree,6,NA,berry,NA,NA,5,15,5,15,0.5,0.5,Sauraia andreana,11NNN1111111,111NNNNNNNNN
Akania,lucens,tree,25,0.45,capsule,NA,NA,10,12,NA,NA,NA,NA,Akania lucens,NNNNNNNN111N,N1111NNNNNNN
Alangium,(Claudie River),tree,25,NA,drupe,NA,NA,13,17,8,12,12,13,Alangium (Claudie River),1111111NNNNN,NNNNNNNNN111
Alangium,villosum polysmoides,tree,20,0.9,drupe,"fruit-doves, Topnot Pigeon, Regent Bowerbird, & Spotted Catbird",birds,10,20,9,10,10,17,Alangium villosum polysmoides,NNNNNN1111NN,111NNNNNNN11
Alangium,villosum tomentosum,tree,9,NA,drupe,fruit-doves & Spotted Catbird,birds,19,19,10,11,15,15,Alangium villosum tomentosum,NN1111111NNN,NNNNNN1NNNNN
Crispiloba,disperma,shrub,4,NA,berry,NA,NA,15,28,10,15,8,11,Crispiloba disperma,111NNNNNNN11,N111NNNNNNNN
Achyranthes,aspera,herb,1.5,NA,nut,NA,NA,2,3,NA,NA,1,2,Achyranthes aspera,NNN111NNNNNN,NNN111NNNNNN
Amaranthus,hybridus,herb,2,NA,nut,NA,NA,1,1,1,1,1,1,Amaranthus hybridus,NN1NNNNNNNNN,NN1111111NNN
Amaranthus,spinosus,herb,1,NA,follicle,NA,NA,1,2,NA,NA,1,1,Amaranthus spinosus,11111111NNNN,NN111111NNNN
Cyathula,prostrata,herb,0.6,NA,nut,NA,NA,1,4,2,3,NA,NA,Cyathula prostrata,N111111NNNNN,NN11111NNNNN
Deeringia,amaranthoides,vine/shrub,NA,NA,berry,NA,NA,5,9,4,7,1,1,Deeringia amaranthoides,111111NN1111,11111111NNNN
Deeringia,arborescens,vine,NA,NA,berry,NA,NA,NA,NA,3,4,NA,NA,Deeringia arborescens,NNNNNN111111,1NNNNNNNNN11
Crinum,pedunculatum,lily,2,NA,capsule,NA,NA,30,50,25,50,22,40,Crinum pedunculatum,11NNNNNNN111,11NNNNNNNNN1
Proiphys,alba,lily,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proiphys alba,11NNNNNNNN11,NA
Proiphys,amboinensis,lily,1,NA,capsule,NA,NA,25,30,15,30,10,12,Proiphys amboinensis,1111NNNNNNN1,11111NNNNNNN
Proiphys,infundibularis,lily,0.5,NA,capsule,NA,NA,20,35,10,20,10,12,Proiphys infundibularis,1NNNNNNNN111,11NNNNNNN111
Belpharocarya,involucrigera,tree,40,NA,nutlet,Double-eyed Fig Parrot & King Parrot,birds,7,10,4,5,NA,NA,Belpharocarya involucrigera,1111NNN11111,1111NNN11111
Buchanania,arborescens,tree,25,NA,drupe,"fruit-doves, Metallic Starlings & Fawn-breasted Bowerbirds",birds,9,12,10,10,NA,NA,Buchanania arborescens,NNNNNN1111NN,1NNNNNNNN111
Buchanania,mangoides,tree,13,NA,drupe,NA,NA,7,7,7,7,NA,NA,Buchanania mangoides,NNNNNNNN1NNN,NNNNNNNN1111
Euroschinus,falcata,tree,30,0.9,drupe,many bird species,birds,7,9,7,9,NA,NA,Euroschinus falcata,NNNNNNNN111N,11NNNNNNNN11
Mangifera,indica,tree,20,NA,drupe,many bird & mammal species,birds mammals,100,150,NA,NA,NA,NA,Mangifera indica,NNNNNN1111NN,1NNNNNNNNNN1
Rhodsphaera,rhodanthema,tree,27,0.75,drupe,Green Catbird,birds,10,10,10,10,9,9,Rhodsphaera rhodanthema,NNNNNNNN11NN,N11111NNNNNN
Rhus,taitensis,tree,30,NA,drupe,Metallic Starling,birds,6,8,4,8,2,3,Rhus taitensis,1111NNNNNNNN,NNNN11111NNN
Semecarpus,australiensis,tree,40,NA,nut,Cassowary,cassowary,15,35,20,37,NA,NA,Semecarpus australiensis,NNNNNNNN111N,11NNNNNNNN11
Pleiogynum,timorense,tree,20,NA,drupe,Cassowary & Great Bowerbird,birds cassowary,20,28,20,38,5,12,Pleiogynum timorense,NNNNNNNN1111,NNN1111111NN
Annona,glabra,tree,6,NA,berry,"Cassowary, lorikeets & Spectacled Flying-foxes",birds bats cassowary,50,80,50,80,12,12,Annona glabra,NNNNNNNN1111,111111NNN111
Annona,reticulata,tree,10,NA,berry,Brsuh Turkey,birds,50,70,45,60,10,10,Annona reticulata,NNNNNNNNNNN1,NNNNNNNN1NNN
Annona,squamosa,tree,8,NA,berry,Spectacled Flying-fox,bats,50,100,50,100,12,16,Annona squamosa,11NNNNNN1111,NNNN11111NNN
Artabotrys,(Claudie River),vine,NA,NA,berry,NA,NA,30,35,18,22,15,17,Artabotrys (Claudie River),NNNNNNNN111N,1111NNNNNNN1
Canaga,odorata,tree,30,NA,berry,"Cassowary, Figbird & pigeons",birds cassowary,20,25,10,18,8,8,Canaga odorata,1111111N1111,NN111111111N
Cyathostemma,micrantum,vine,NA,NA,berry,Pied Imperial-pigeon,birds,5,15,5,13,8,10,Cyathostemma micrantum,1NNNNNNNNNN1,N11111111NNN
Desmos,(Mossman River),vine,NA,NA,berry,NA,NA,15,65,10,10,8,8,Desmos (Mossman River),11NNNNNNNNN1,NNNNNNNN1111
Desmos,goezeanus,vine,NA,NA,berry,NA,NA,35,80,5,10,10,10,Desmos goezeanus,NNNNNNNN111N,NNN11111111N
Desmos,wardianus,vine/shrub,NA,NA,berry,NA,NA,10,45,5,5,6,7,Desmos wardianus,111NNNNNNNN1,NNNNN11NNNNN
Fitzalania,heteropetala,shrub,5,NA,berry,many bird species,birds,20,38,10,20,11,11,Fitzalania heteropetala,111111NNN111,111111111NN1
Goniothalamus,australiasica,tree,30,NA,berry,"Cassowary, Giant White-tailed Rat",cassowary mammals,30,60,15,25,15,20,Goniothalamus australiasica,111NNNNN1111,111NNNNNN111
Haplostichanthus,(Cooper Creek),shrub,3,NA,berry,NA,NA,12,14,12,14,9,10,Haplostichanthus (Cooper Creek),1NNNNNN11111,N1NNNNNNNNNN
Haplostichanthus,(Johnstone River),tree,7,NA,berry,NA,NA,10,15,10,12,5,10,Haplostichanthus (Johnstone River),11111NNNNNN1,111NNNNNN111
Haplostichanthus,(Mt Finnigan),shrub,3,NA,berry,NA,NA,12,13,9,10,NA,NA,Haplostichanthus (Mt Finnigan),11NNNNNNNN11,NNNNNNNNNN1N
Haplostichanthus,(Rocky River Scrub),shrub,3,NA,berry,NA,NA,7,11,7,9,6,8,Haplostichanthus (Rocky River Scrub),111111NNN111,NNNN111111NN
Haplostichanthus,(Topaz),shrub,5,NA,berry,NA,NA,11,19,11,16,7,9,Haplostichanthus (Topaz),1111NNNN1111,NN111111111N
Haplostichanthus,johnsonii,shrub,4,NA,berry,NA,NA,10,18,8,16,4,9,Haplostichanthus johnsonii,1111NNNNN111,NNNNN1111111
Meiogyne,(Henrietta Creek),shrub,3,NA,berry,NA,NA,20,38,10,14,7,9,Meiogyne (Henrietta Creek),NNNNNNNNNN11,NN1NNNNNNNNN
Meiogyne,(Mt Lewis),shrub,3,NA,berry,NA,NA,25,25,13,13,7,7,Meiogyne (Mt Lewis),NNNNNN111111,NNN11NNNNNNN
Meiogyne,(Tingle Scrub),tree,7,NA,berry,NA,NA,12,40,10,21,7,13,Meiogyne (Tingle Scrub),1111111NNNN1,1.11111E+11
Meiogyne,cilindocarpa,tree,8,NA,berry,Rose-crowned Fruit-dove,birds,12,33,9,16,7,9,Meiogyne cilindocarpa,NNNNNN1NNNNN,NNNNN111NNNN
Meiogyne,stenopetala,tree,5,0.4,berry,NA,NA,10,25,NA,NA,7,9,Meiogyne stenopetala,1111NNNNNN11,11NNNNN11111
Melodorum,(Claudie River),vine,NA,NA,berry,NA,NA,19,50,18,20,8,10,Melodorum (Claudie River),1111NNNNNNN1,N11NNNNNNNNN
Melodorum,(Font Hills),vine/shrub,NA,NA,berry,NA,NA,22,55,10,35,10,10,Melodorum (Font Hills),NNNNNNNNN111,N1111NNNNNNN
Melodorum,(Stone Crossing),vine,NA,NA,berry,NA,NA,7,20,8,8,5,5,Melodorum (Stone Crossing),111NNNNNNNN1,111NNNNNNNNN
Melodorum,(Topaz),vine,NA,NA,berry,NA,NA,10,20,10,10,3,3,Melodorum (Topaz),111NNNNNNNNN,111NNNNNNNNN
Melodorum,leichhardtii,vine/shrub,NA,NA,berry,"Lewin's Honeyeater, Metallic Starling, Satin Bowerbird, Cassowary, pigeons & doves",birds cassowary,11,45,8,15,6,8,Melodorum leichhardtii,NNNNNNN11111,1.11111E+11
Melodorum,uhrii,vine,NA,NA,berry,NA,NA,10,18,8,13,8,10,Melodorum uhrii,111111NNNN11,1NNNNNNNN111
Miliusa,brahei,tree,30,NA,berry,NA,NA,9,27,10,15,7,10,Miliusa brahei,1111NNNNNN11,1NNNNNNNNNN1
Miliusa,horsfieldii,tree,33,NA,berry,NA,NA,20,35,17,20,10,10,Miliusa horsfieldii,NNNNNNNN1111,1NNNNNNNNNNN
Miliusa,traceyi,tree,12,NA,berry,NA,NA,9,15,10,14,7,7,Miliusa traceyi,NNNNNNNNNN1N,111NNNNNN111
Mitrephora,diversifolia,tree,15,NA,berry,Cassowary,cassowary,28,34,20,28,10,13,Mitrephora diversifolia,11NNNNNNNN11,N11NNNNNNNNN
Polyalthia,(Wyvur),tree,25,NA,berry,NA,NA,25,35,21,40,25,40,Polyalthia (Wyvur),NNN1NNNNNNNN,NNNNNNNNN111
Polyalthia,australis,tree,20,NA,berry,Pied Imperial-pigeon,birds,12,20,9,13,16,16,Polyalthia australis,N1NNNNNNNNNN,11NNNNNNNNN1
Polyalthia,michaelii,tree,25,NA,berry,Cassowary & Spectacled Flying-fox,cassowary bats,30,58,30,50,25,40,Polyalthia michaelii,111111NNNN11,1.11111E+11
Polyalthia,nitidissima,tree,18,0.3,berry,pigeons,birds,8,14,6,9,6,7,Polyalthia nitidissima,111NNNNNNNN1,1.11111E+11
Pseuduvaria,froggatti,tree,15,NA,berry,Cassowary,cassowary,15,25,11,18,8,13,Pseuduvaria froggatti,NNNNNNNN1111,1NNNNNNNNNN1
Pseuduvaria,hylandii,tree,7,NA,berry,NA,NA,17,23,14,16,8,11,Pseuduvaria hylandii,NNNNNNNN11NN,N1NNNNNNNNNN
Pseuduvaria,mulgraveana glabrescens,tree,7,NA,berry,NA,NA,15,22,10,10,8,8,Pseuduvaria mulgraveana glabrescens,1NNNNNNNNN11,1NNNNNNNN111
Pseuduvaria,mulgraveana mulgraveana,tree,7,NA,berry,NA,NA,12,22,10,11,NA,NA,Pseuduvaria mulgraveana mulgraveana,111111NNN111,1NNN11111111
Pseuduvaria,villosa,shrub,6,NA,berry,NA,NA,15,20,10,10,10,13,Pseuduvaria villosa,111111NNNNN1,11NNNNN11111
Uvaria,concava,vine/shrub,NA,NA,berry,NA,NA,15,45,15,30,12,12,Uvaria concava,11111NNNNN11,NN1111NNNNNN
Uvaria,rufa,vine/shrub,NA,NA,berry,NA,NA,25,48,20,30,9,13,Uvaria rufa,111NNNNNN111,1111NNNNNNNN
Xylopia,(Bertiehaugh Homestead),tree,18,NA,berry,NA,NA,15,24,16,18,10,10,Xylopia (Bertiehaugh Homestead),NNNNN1111NNN,NNNNNN11111N
Xylopia,maccreae,tree,25,NA,berry,NA,NA,35,50,20,25,10,12,Xylopia maccreae,111NNNNNNNNN,111NNNNNN111
Centella,asiatica,herb,prostrate,NA,schizocarp,NA,NA,2,3,3,3,NA,NA,Centella asiatica,111NNNN11111,11111111NN11
Hydrocotyle,acutiloba,herb,prostrate,NA,schizocarp,NA,NA,1,1,1,1,NA,NA,Hydrocotyle acutiloba,11111NNN1111,111NNNN11111
Hydrocotyle,digitata,herb,prostrate,NA,schizocarp,NA,NA,1,1,1,1,NA,NA,Hydrocotyle digitata,1NNNNNNNN111,1NNNNNNNN111
Hydrocotyle,miranda,herb,prostrate,NA,schizocarp,NA,NA,1,1,1,2,NA,NA,Hydrocotyle miranda,NNN111NNNNNN,N11111NNNNNN
Trachymene,geraniifolia,herb,0.3,NA,a pair of mericarps,NA,NA,4,4,4,4,NA,NA,Trachymene geraniifolia,NNNNNNNN1111,NNNNNNNNNN11
Trachymene,hookeri,shrub,2,NA,a pair of mericarps,NA,NA,2,3,2,2,2,2,Trachymene hookeri,N11111NNNNNN,NNN111NNNNNN
Parsonsia,kroombitensis,climber,2,NA,capsule?,NA,NA,40,100,7,10,NA,NA,Parsonsia kroombitensis,NNNNNNNN1111,NNNNNNNN1NNN
Allamanda,cathartica,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allamanda cathartica,N111111111NN,NA
Alstonia,actinophylla,tree,35,NA,follicle,NA,NA,130,210,4,5,5,6,Alstonia actinophylla,NNNNNN11111N,NNNNN111111N
Alstonia,constricta,tree,15,0.3,follicle,NA,NA,70,260,10,10,6,7,Alstonia constricta,NNNNN1111111,11NNNNNNNNN1
Alstonia,muelleriana,tree,25,NA,follicle,NA,NA,120,470,6,9,5,6,Alstonia muelleriana,11111NNN1111,11111NN11111
Alstonia,scholaris,tree,40,NA,follicle,NA,NA,150,450,4,6,4,5,Alstonia scholaris,1NNNNNNN1111,1111NNNNNNNN
Alstonia,spectabilis,tree,25,NA,follicle,NA,NA,200,400,8,12,5,8,Alstonia spectabilis,11111NNNNNNN,NNNNNN111NNN
Alyxia,grandis,vine,15,NA,drupe,Golden Bowerbird,birds,17,24,11,15,NA,NA,Alyxia grandis,1.11111E+11,1.11111E+11
Alyxia,ilicifolia,shrub,5,NA,drupe,NA,NA,11,23,6,12,NA,NA,Alyxia ilicifolia,1.11111E+11,1.11111E+11
Alyxia,oblongata,shrub,5,NA,drupe,NA,NA,6,20,5,15,8,10,Alyxia oblongata,1.11111E+11,11111NN11111
Alyxia,orophila,shrub,5,NA,drupe,Cassowary,cassowary,7,11,4,10,6,8,Alyxia orophila,1.11111E+11,1.11111E+11
Alyxia,ruscifolia,shrub,5,NA,drupe,NA,NA,6,20,5,15,8,13,Alyxia ruscifolia,1.11111E+11,1.11111E+11
Alyxia,spicata,shrub,NA,NA,drupe,Cassowary & Pied Imperial-pigeon,birds cassowary,7,16,7,13,8,13,Alyxia spicata,1NNNN1111111,1.11111E+11
Asclepias,curassavica,shrub,1.5,NA,follicle,NA,NA,50,90,8,10,NA,NA,Asclepias curassavica,111NNNNN1111,1.11111E+11
Calotropis,procera,shrub,4,NA,follicle,NA,NA,100,130,60,70,8,10,Calotropis procera,1111NNNNNN11,NNNN111NNNNN
Carissa,lanceolata,shrub,3,NA,berry,NA,NA,6,13,5,10,6,6,Carissa lanceolata,1.11111E+11,1.11111E+11
Carissa,laxiflora,vine/shrub,2,NA,berry,NA,NA,10,15,7,12,NA,NA,Carissa laxiflora,1.11111E+11,1.11111E+11
Carissa,ovata,vine/shrub,4,NA,berry,Regent Bowerbird & Satin Bowerbird,birds,10,22,7,15,6,7,Carissa ovata,1.11111E+11,1.11111E+11
Cascabela,thevetica,shrub,4,NA,drupe,NA,NA,20,40,30,50,14,14,Cascabela thevetica,1.11111E+11,1.11111E+11
Catharanthus,roseus,herb/shrub,1,NA,follicle,NA,NA,25,35,NA,NA,2,2,Catharanthus roseus,1.11111E+11,1.11111E+11
Cerbera,floribunda,tree,30,NA,drupe,Cassowary & Palm Cockatoo,birds cassowary,56,110,40,65,NA,NA,Cerbera floribunda,1111111111NN,1111111111NN
Cerbera,inflata,tree,30,NA,drupe,Cassowary,cassowary,60,70,20,35,NA,NA,Cerbera inflata,11111111NNNN,111NNNNNNN11
Cerbera,manghas,tree,12,NA,drupe,NA,NA,60,80,35,65,NA,NA,Cerbera manghas,1.11111E+11,11111NN11111
Ceropegia,cumingiana,vine,NA,NA,follicle,NA,NA,160,260,3,5,10,14,Ceropegia cumingiana,11111NNNNNNN,NNN1111111NN
Chonemorpha,fragrans,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chonemorpha fragrans,1NNNNNNNNN11,NA
Cryptostegia,grandiflora,vine/shrub,NA,NA,follicle,NA,NA,105,140,20,45,8,8,Cryptostegia grandiflora,1.11111E+11,1.11111E+11
Cynanchum,bowmanii,vine,NA,NA,follicle,NA,NA,60,95,20,20,NA,NA,Cynanchum bowmanii,1111NNNNNN11,NN1111111NNN
Cynanchum,carnosum,vine,NA,NA,follicle,NA,NA,50,90,9,13,5,7,Cynanchum carnosum,11111111NNNN,NN111NNNNNNN
Cynanchum,leptolepis,vine,NA,NA,follicle,NA,NA,50,70,15,15,8,8,Cynanchum leptolepis,1111NNNNNN11,11111111NNNN
Cynanchum,ovalifolium,vine,NA,NA,follicle,NA,NA,70,115,44,48,11,11,Cynanchum ovalifolium,1111NNNNNN11,NNNN1111NNNN
Cynanchum,pedunculatum,vine,NA,NA,follicle,NA,NA,35,90,17,35,6,13,Cynanchum pedunculatum,111NNNNNNN11,N111111NNNNN
Dischidia,littoralis,vine,NA,NA,follicle,NA,NA,50,55,3,3,2,3,Dischidia littoralis,NNNNNNNNNNN1,NA
Dischidia,major,vine,NA,NA,follicle,NA,NA,45,80,3,4,3,3,Dischidia major,1.11111E+11,1.11111E+11
Dischidia,nummularia,vine,NA,NA,follicle,NA,NA,25,40,6,6,3,3,Dischidia nummularia,1.11111E+11,1.11111E+11
Dischidia,ovata,vine,NA,NA,follicle,NA,NA,45,65,3,4,2,2,Dischidia ovata,1.11111E+11,1.11111E+11
Finlaysonia,obovata,vine,NA,NA,follicle,NA,NA,50,80,NA,NA,NA,NA,Finlaysonia obovata,NN1NNNNNNNNN,NA
Gomphocarpus,physocarpus,shrub,2,NA,follicle,NA,NA,50,75,40,55,6,10,Gomphocarpus physocarpus,1.11111E+11,1.11111E+11
Gunnessia,pepo,vine,NA,NA,follicle,NA,NA,NA,80,25,30,6,9,Gunnessia pepo,11111NNN1111,111111111NN1
Gymnanthera,oblonga,vine,NA,NA,follicle,NA,NA,12,30,12,30,NA,NA,Gymnanthera oblonga,1111NNN11111,N111111NNNNN
Hetrostemma,acuminatum,vine,NA,NA,follicle,NA,NA,100,150,5,8,13,15,Hetrostemma acuminatum,1111NNNNNN11,NNN1111NNNNN
Hoya,anulata,vine,NA,NA,follicle,NA,NA,70,140,NA,NA,NA,NA,Hoya anulata,NNNNNNNN11NN,1111NNNNNNN1
Hoya,australis,vine,NA,NA,follicle,NA,NA,70,180,4,6,3,5,Hoya australis,NN11111111NN,11NNN1111111
Hoya,macgillivrayi,vine,NA,NA,follicle,NA,NA,215,250,16,16,7,7,Hoya macgillivrayi,NNNN111111NN,11NNNNN11111
Hoya,pottsii,vine,NA,NA,follicle,NA,NA,80,180,7,7,NA,NA,Hoya pottsii,NNNNNNNN1111,11NNNNNNNN11
Hoya,revoluta,vine,NA,NA,follicle,NA,NA,165,165,5,5,NA,NA,Hoya revoluta,11NNNNN11111,NA
Hoya,sussuela,vine,NA,NA,follicle,NA,NA,140,200,40,40,8,8,Hoya sussuela,NN11NNNNNNNN,NNNNN111NNNN
Ichnocarpus,frutescens,vine,NA,NA,follicle,NA,NA,55,145,5,5,7,20,Ichnocarpus frutescens,1111NNNNNNN1,NNNNNN111NNN
Ichnocarpus,rhombifolius,vine,NA,NA,follicle,NA,NA,200,240,3,4,15,22,Ichnocarpus rhombifolius,1NNNNNNNN111,111NNNNNNNN1
Kopsia,arborea,tree,20,NA,berry,NA,NA,18,30,8,16,17,29,Kopsia arborea,NNNNNNNN1111,NNNN11111111
Marsdenia,connivens,vine,NA,NA,follicle,NA,NA,30,60,5,7,5,6,Marsdenia connivens,111NNNNNNNN1,NN1111NNNNNN
Marsdenia,cymulosa,vine,NA,NA,follicle,NA,NA,65,100,15,18,5,12,Marsdenia cymulosa,1111NNNNNN11,NNNN111NNNNN
Marsdenia,geminata,vine,NA,NA,follicle,NA,NA,25,50,16,25,5,8,Marsdenia geminata,1111NNNNNN11,N1111111NNNN
Marsdenia,glandulifera,vine,NA,NA,follicle,NA,NA,70,70,50,50,NA,NA,Marsdenia glandulifera,NNNNN11111NN,1NNNNNNN1111
Marsdenia,hemiptera,vine,NA,NA,follicle,NA,NA,100,100,25,25,7,8,Marsdenia hemiptera,111NNNNNNN11,N111111NNNNN
Marsdenia,jensenii,vine,NA,NA,follicle,NA,NA,145,145,55,55,NA,NA,Marsdenia jensenii,N11NNNNNNNNN,NNNNNN1NNNNN
Marsdenia,lloydii,vine,NA,NA,follicle,NA,NA,40,60,30,35,NA,NA,Marsdenia lloydii,111NNNNNNN11,NNN1111NNNNN
Marsdenia,longipedicellata,vine,NA,NA,follicle,NA,NA,50,65,8,9,12,13,Marsdenia longipedicellata,111NNNNNNNN1,NNNNNNN1NNNN
Marsdenia,micradenia,vine,NA,NA,follicle,NA,NA,40,50,30,40,5,6,Marsdenia micradenia,1111NNNNN111,NNN1111NNNNN
Marsdenia,microlepis,vine,NA,NA,follicle,NA,NA,60,75,25,30,6,8,Marsdenia microlepis,1111NNNNNN11,N1111111NNNN
Marsdenia,paludicola,vine,NA,NA,follicle,NA,NA,170,200,50,60,10,10,Marsdenia paludicola,NNNNNNNNNNN1,NA
Marsdenia,pleiadenia,vine,NA,NA,follicle,NA,NA,50,80,4,7,7,8,Marsdenia pleiadenia,111111NN1111,NN11111NNNNN
Marsdenia,rostrata,vine,NA,NA,follicle,NA,NA,55,100,15,40,7,10,Marsdenia rostrata,1111NNNN1111,111111111NNN
Marsdenia,straminea,vine,NA,NA,follicle,NA,NA,80,95,6,7,10,12,Marsdenia straminea,11NNNNNNNN11,NNNNNNNNN1NN
Marsdenia,suborbicularis,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marsdenia suborbicularis,NA,NA
Marsdenia,tricholepis,vine,NA,NA,follicle,NA,NA,50,60,40,45,5,6,Marsdenia tricholepis,111NNNNNNN11,NNN111NNNNNN
Marsdenia,velutina,vine,NA,NA,follicle,NA,NA,40,80,14,25,7,9,Marsdenia velutina,11NNNNNNNN11,NN11111NNNNN
Marsdenia,viridiflora,vine,NA,NA,follicle,NA,NA,70,95,22,28,NA,NA,Marsdenia viridiflora,1111NNNNNN11,NNN111111NNN
Melodinus,acutiflorus,vine,NA,NA,berry,NA,NA,28,70,25,70,3,5,Melodinus acutiflorus,1111111NNNN1,NNN11NNNNNNN
Melodinus,australis,vine,NA,NA,berry,"Cassowary, Sulphur-crested Cockatoo, Spotted Catbird, Lewin's Honeyeater & Musky Rat-kangaroo",birds mammals cassowary,60,150,15,50,5,7,Melodinus australis,1111NNNNNNN1,1111NNNNNNN1
Melodinus,bacellianus,vine,NA,NA,berry,NA,NA,50,72,25,60,7,11,Melodinus bacellianus,1.11111E+11,N111111111NN
Melodinus,forbesii,vine,NA,NA,berry,NA,NA,40,62,45,62,NA,NA,Melodinus forbesii,NNNNNNNNN1NN,NNNNNNNNN1NN
Neisosperma,kilneri,tree,20,NA,drupe,NA,NA,45,73,25,45,48,70,Neisosperma kilneri,NNN11NNNNNNN,NNNN111NNNNN
Neisosperma,poweri,tree,10,0.15,drupe,Musky Rat-kangaroo & Giant White-tailed Rat,mammals,25,45,10,20,22,40,Neisosperma poweri,1.11111E+11,1.11111E+11
