Merged Column,Original column,AusTraits_notes,AusTraits metadata or trait_name,grouping,data_type,Tabs Using This Column,Status,Merged/Renamed From,additional merges
Polllination_Consistency,Eremophila: 'Consistent data'; Fabaceae: 'Consistancy'; Myrtaceae: 'Consistancy'; Proteaceae: 'Consistancy',Polllination_Consistency,method context: pollination consistency,pollination,YN,"Eremophila, Fabaceae, Myrtaceae, Proteaceae",Merged from 2 columns,Eremophila (as 'Consistent data'); Fabaceae (as 'Consistancy'); Myrtaceae (as 'Consistancy'); Proteaceae (as 'Consistancy'),
GDM_&_Bird,Myrtaceae: 'GDM & Bird',GDM_&_Bird,"merge `birds` into pollination_vector_possible column; GDM - unsure of meaning, add question to end of metadata",pollination,binary,Myrtaceae,Retained as-is,,
pollinators_insects_generic_GIP,Apiaceae: 'GIP'; Araliaceae: 'GIP'; Eremophila: 'GIP'; Euphorbiaceae: 'GIP'; Fabaceae: 'General Insect'; Goodeniaceae: 'GIP'; Haemodoraceae: 'GIP'; Haloragaceae: 'GIP'; Malvaceae: 'GIP'; Myrtaceae: 'GIP'; Pittosporaceae: 'GIP'; Proteaceae: 'GIP'; Rutaceae: 'GIP',pollinators_insects_generic_GIP,merge `insect` into pollination_vector_possible column,pollination,categorical,"Apiaceae, Araliaceae, Eremophila, Euphorbiaceae, Goodeniaceae, Haemodoraceae, Haloragaceae, Malvaceae, Myrtaceae, Pittosporaceae, Proteaceae, Rutaceae",Merged from 2 columns,General Insect (additional merge),
Insect_group,Ericaceae: 'Insect'; Fabaceae: 'Insect'; Proteaceae: 'Insect',Insect_group,"method context: insect type; if specific insect is a pollition_vector value, add to pollination_vector_possible - as well as `insect`",pollination,categorical,"Ericaceae, Fabaceae, Proteaceae",Retained as-is,,
Insect_Records,Eremophila: 'Insect rec'; Ericaceae: 'Insect rec'; Goodeniaceae: 'Insect rec'; Lamiaceae: 'Insect rec'; Rutaceae: 'Insect records',Insect_Records,method context: records count (insect),pollination,count,"Eremophila, Ericaceae, Goodeniaceae, Lamiaceae, Rutaceae",Merged from 2 columns,Eremophila (as 'Insect rec'); Ericaceae (as 'Insect rec'); Goodeniaceae (as 'Insect rec'); Lamiaceae (as 'Insect rec'); Rutaceae (as 'Insect records'),
Insect_Type,Goodeniaceae: 'Insect type'; Haemodoraceae: 'Insect type'; Myrtaceae: 'Insect type'; Petaloid Monocots: 'Insect type'; Rutaceae: 'Insect types',Insect_Type,"method context: insect type; if specific insect is a pollition_vector value, add to pollination_vector_possible - as well as `insect`",pollination,categorical,"Goodeniaceae, Haemodoraceae, Myrtaceae, Petaloid Monocots, Rutaceae",Merged from 2 columns,Goodeniaceae (as 'Insect type'); Haemodoraceae (as 'Insect type'); Myrtaceae (as 'Insect type'); Petaloid Monocots (as 'Insect type'); Rutaceae (as 'Insect types'),
Insects,"Apiaceae: 'insects, etc.'; Lamiaceae: 'Insects'; Petaloid Monocots: 'Insects'",Insects,merge `insect` into pollination_vector_possible column,pollination,categorical,"Lamiaceae, Petaloid Monocots",Merged from 2 columns,"insects, etc. (additional merge)",
non_flying_mammals&birds,Proteaceae: 'NFM & Bird',non_flying_mammals&birds_NFM,merge `birds mammals` into pollination_vector_possible column,pollination,binary,Proteaceae,Retained as-is,,
non_flying_mammals_rec,Ericaceae: 'NFM rec'; Fabaceae: 'NFM rec'; Myrtaceae: 'NFM rec'; Proteaceae: 'NFM rec',non_flying_mammals_rec_NFM,merge `mammals` into pollination_vector_possible column,pollination,count,"Ericaceae, Fabaceae, Myrtaceae, Proteaceae",Retained as-is,,
Other_Insect_Records,Fabaceae: 'Other insects'; Myrtaceae: 'Other insect rec'; Proteaceae: 'Other insect rec'; Thymelaeaceae: 'other insects',Other_Insect_Records,merge `insect` into pollination_vector_possible column,pollination,count,"Fabaceae, Myrtaceae, Proteaceae, Thymelaeaceae",Merged from 2 columns,Fabaceae (as 'Other insects'); Myrtaceae (as 'Other insect rec'); Proteaceae (as 'Other insect rec'); Thymelaeaceae (as 'other insects'),
Pollination_summary,Apiaceae: 'Pollination'; Araliaceae: 'Pollination'; Asteracea: 'Polination'; Celastraceae: 'Pollination'; Eremophila: 'Pollination'; Ericaceae: 'Pollintion'; Euphorbiaceae: 'Pollination'; Fabaceae: 'Pollination'; Goodeniaceae: 'Pollination'; Haemodoraceae: 'Pollination'; Haloragaceae: 'Pollination'; Lamiaceae: 'Pollination'; Malvaceae: 'Pollination'; Myrtaceae: 'Pollination'; Orchidacae: 'Pollination'; Petaloid Monocots: 'Pollination'; Phyllanthaceae: 'Pollination'; Pittosporaceae: 'Pollination'; Polygonaceae: 'Pollination'; Proteaceae: 'Pollination'; Rhamnaceae: 'Pollination'; Rutaceae: 'Pollination'; Thymelaeaceae: 'Pollination',Pollination_summary,"if any additional trait values in here that are not already in `pollination_vector_possible`, merge them in",pollination_1,categorical,"Apiaceae, Araliaceae, Asteracea, Celastraceae, Eremophila, Ericaceae, Euphorbiaceae, Fabaceae, Goodeniaceae, Haemodoraceae, Haloragaceae, Lamiaceae, Malvaceae, Myrtaceae, Orchidacae, Petaloid Monocots, Phyllanthaceae, Pittosporaceae, Polygonaceae, Proteaceae, Rhamnaceae, Rutaceae, Thymelaeaceae",Retained (header standardized),Asteracea (as 'Polination'); Ericaceae (as 'Pollintion'),
post_pollination_colour_change_PPCC,Myrtaceae: 'PPCC'; Proteaceae: 'PPCC',post_pollination_colour_change_PPCC,map as trait `flower_post_pollination_colour_change`,pollination,count,"Myrtaceae, Proteaceae",Retained as-is,,
relatively_specialised_insect_pollination_RSIP,Ericaceae: 'RSIP'; Goodeniaceae: 'RSIP'; Lamiaceae: 'RSIP'; Malvaceae: 'RSIP'; Rutaceae: 'RSIP'; Thymelaeaceae: 'RSIP',relatively_specialised_insect_pollination_RSIP,merge `insect` into pollination_vector_possible column,pollination,binary,"Ericaceae, Goodeniaceae, Lamiaceae, Malvaceae, Rutaceae, Thymelaeaceae",Retained as-is,,
selfing_SP,Apiaceae: 'Selfing'; Araliaceae: 'Selfing',selfing_SP,merge `self` into pollination_vector_possible column,pollination,binary,"Apiaceae, Araliaceae",Retained as-is,,
specialised_insect_pollination_SIP,Ericaceae: 'SIP'; Fabaceae: 'Specialised Insect'; Haemodoraceae: 'SIP'; Lamiaceae: 'SIP'; Malvaceae: 'SIP'; Myrtaceae: 'SIP'; Petaloid Monocots: 'Specilaised insect'; Pittosporaceae: 'SIP'; Proteaceae: 'SIP'; Rutaceae: 'SIP',specialised_insect_pollination_SIP,merge `insect` into pollination_vector_possible column,pollination,binary,"Ericaceae, Haemodoraceae, Lamiaceae, Malvaceae, Myrtaceae, Pittosporaceae, Proteaceae, Rutaceae",Merged from 3 columns,"Fabaceae (as 'Specialised Insect'); Petaloid Monocots (as 'Specilaised insect'), specialised_insect_pollination_SIP",
Specific_pollintor,Orchidacae: 'Specific pollintor',Specific_pollintor,merge any new details into pollination_vector_possible column; and also into method context: insect type,pollination,categorical,Orchidacae,Retained as-is,,
Pollination_Water,Petaloid Monocots: 'Water',Pollination_Water,merge `water` into pollination_vector_possible column,pollination,binary,Petaloid Monocots,Retained as-is,,
Pollination_Wind,Euphorbiaceae: 'Wind'; Malvaceae: 'Wind'; Proteaceae: 'Wind',Pollination_Wind,merge `wind` into pollination_vector_possible column,pollination,binary,"Euphorbiaceae, Malvaceae, Proteaceae",Retained as-is,,
Pollen_refs_&_notes,Asteracea: 'Notes & References'; Ericaceae: 'Notes & References'; Fabaceae: 'Notes & refs'; Goodeniaceae: 'Ref'; Myrtaceae: 'Pollen refs & notes'; Orchidacae: 'Pollinator refs'; Petaloid Monocots: 'Other'; Pittosporaceae: 'Visitor records'; Proteaceae: 'Pollination Notes'; Rhamnaceae: 'Records'; Rutaceae: 'Comments',Pollen_refs_&_notes,,pollination,verbal,"Myrtaceae, Proteaceae, Asteracea, Ericaceae, Fabaceae, Goodeniaceae, Orchidacae, Rutaceae",Merged from 5 columns,"Other (additional merge); Records (additional merge); Visitor records (additional merge), Pollination_Notes, Notes_&_References, Fabaceae (as 'Notes & refs'); Ref; Pollinator_refs; Comments",
Breeding,Araliaceae: 'Breeding',Breeding,merge information into trait `breeding_system`,breeding_system,categorical,Araliaceae,Retained as-is,,
Dioecy,Euphorbiaceae: 'Dioecy'; Haloragaceae: 'Dioecy'; Phyllanthaceae: 'Dioecy',Dioecy,"merge information into column for trait `sex_type`, with Y's = value ""dioecious`",breeding_system,binary,"Euphorbiaceae, Haloragaceae, Phyllanthaceae",Retained as-is,,
Anther_Length,Haemodoraceae: 'Anther length'; Haloragaceae: 'Anther l',Anther_Length,trait = `anther_length`,morphology,length,"Haemodoraceae, Haloragaceae",Merged from 2 columns,Haemodoraceae (as 'Anther length'); Haloragaceae (as 'Anther l'),
Bract_length,Myrtaceae: 'Bract length'; Thymelaeaceae: 'Bract length',Bract_length,trait = `bract_length`,morphology,length,"Myrtaceae, Thymelaeaceae",Retained as-is,,
Bud_width,Myrtaceae: 'Bud width',Bud_width,trait = `bud_width`,morphology,length,Myrtaceae,Retained as-is,,
Flower_Colour,Apiaceae: 'Colour'; Araliaceae: 'Colour'; Eremophila: 'Colour'; Ericaceae: 'Colour'; Fabaceae: 'Colour'; Goodeniaceae: 'Colour'; Haemodoraceae: 'Colour'; Haloragaceae: 'Colour'; Lamiaceae: 'Colour'; Myrtaceae: 'Colour'; Petaloid Monocots: 'Colour'; Pittosporaceae: 'Colour'; Proteaceae: 'Colour'; Rutaceae: 'Colour',Flower_Colour,trait = `flower_colour`,morphology,categorical,"Apiaceae, Araliaceae, Eremophila, Ericaceae, Fabaceae, Goodeniaceae, Haemodoraceae, Haloragaceae, Lamiaceae, Myrtaceae, Petaloid Monocots, Pittosporaceae, Proteaceae, Rutaceae",Retained as-is,,
Corolla_length,Eremophila: 'Corolla l mm'; Fabaceae: 'Corolla length'; Haemodoraceae: 'Corolla length'; Lamiaceae: 'Corollola lenght'; Myrtaceae: 'Corolla l mm'; Petaloid Monocots: 'Corolla length'; Pittosporaceae: 'Corolla length'; Proteaceae: 'Corolla length'; Rhamnaceae: 'Corolla mm'; Rutaceae: 'Corolla length',Corolla_length,`trait = corolla_lengh`; value_type = mean,morphology,length,"Eremophila, Fabaceae, Haemodoraceae, Lamiaceae, Myrtaceae, Petaloid Monocots, Pittosporaceae, Proteaceae, Rhamnaceae, Rutaceae",Merged from 3 columns,Eremophila (as 'Corolla l mm'); Fabaceae (as 'Corolla length'); Haemodoraceae (as 'Corolla length'); Lamiaceae (as 'Corollola lenght'); Myrtaceae (as 'Corolla l mm'); Petaloid Monocots (as 'Corolla length'); Pittosporaceae (as 'Corolla length'); Proteaceae (as 'Corolla length'); Rhamnaceae (as 'Corolla mm'); Rutaceae (as 'Corolla length'),
Corolla_length_male,Haloragaceae: 'Corolla male',Corolla_length_male,`trait = corolla_lengh`; value_type = mean; add entity_context: sex = male,morphology,length,Haloragaceae,Retained as-is,,
Corolla_length_min,Eremophila: 'Corolla min',Corolla_length_min,`trait = corolla_lengh`; value_type = minimum,morphology,length,Eremophila,Retained as-is,,
Flower_display,Proteaceae: 'Display',Flower_display,split into `inflorescence_type` and `inflorescence_shape`,morphology,categorical,Proteaceae,Retained as-is,,
filament,Proteaceae: 'filament',filament,(skip for now),morphology,categorical,Proteaceae,Retained as-is,,
Filament_length,Eremophila: 'Filament L',Filament_length,"trait = ""filament_length""",morphology,length,Eremophila,Retained as-is,,
Floral_tube_length,Thymelaeaceae: 'Floral tube',Floral_tube_length,"trait = ""floral_tube_length""",morphology,categorical/length,Thymelaeaceae,Retained as-is,,
Flower_length,Goodeniaceae: 'Flower length',Flower_length,"trait = ""flower_length""",morphology,categorical/length,Goodeniaceae,Retained as-is,,
Flower_Size,Ericaceae: 'Flower size'; Fabaceae: 'Fl Size',Flower_Size,"trait = ""flower_length""",morphology,categorical,"Ericaceae, Fabaceae",Merged from 2 columns,Ericaceae (as 'Flower size'); Fabaceae (as 'Fl Size'),
Fruit_morphology,Haloragaceae: 'Fruit',Fruit_morphology,"trait = ""fruit_type""",morphology,categorical,Haloragaceae,Retained as-is,,
Inflorescence,Myrtaceae: 'Inflorescence',Inflorescence,"trait = ""inflorescence_type""",morphology,categorical,Myrtaceae,Retained as-is,,
Inflorescence_size,Proteaceae: 'Inflorescence size',Inflorescence_size,"trait = ""inflorescence_length""",morphology,length,Proteaceae,Retained as-is,,
Corolla_length_max,Eremophila: 'max',Corolla_length_max,`trait = corolla_lengh`; value_type = maximum,morphology,length,Eremophila,Retained as-is,,
Pistil_Length,Eremophila: 'Pistil L'; Haemodoraceae: 'Pistil length'; Lamiaceae: 'Pistil l mm'; Myrtaceae: 'Pistol'; Proteaceae: 'Pistil length'; Rutaceae: 'Pistol length',Pistil_Length,"trait = ""pistil_length""",morphology,length,"Eremophila, Haemodoraceae, Lamiaceae, Myrtaceae, Proteaceae, Rutaceae",Merged from 5 columns,Eremophila (as 'Pistil L'); Haemodoraceae (as 'Pistil length'); Lamiaceae (as 'Pistil l mm'); Myrtaceae (as 'Pistol'); Proteaceae (as 'Pistil length'); Rutaceae (as 'Pistol length'),
Pollen_presenter,Proteaceae: 'Pollen presenter',Pollen_presenter,"trait = ""pollen_presenter_length""",morphology,length,Proteaceae,Retained as-is,,
Sepal_female,Haloragaceae: 'Sepal female',Sepal_female,"trait = ""sepal_length""; add entity_context, column  = sex, value = female",morphology,length,Haloragaceae,Retained as-is,,
Flower_shape,Fabaceae: 'Shape'; Pittosporaceae: 'Shape',Flower_shape,"trait = ""flower_shape""",morphology,categorical,"Fabaceae, Pittosporaceae",Retained as-is,,
Stamen,Myrtaceae: 'Stamen',Stamen,"trait = ""stamen_length""",morphology,length,Myrtaceae,Retained as-is,?multiple,
Stamen_Length,Pittosporaceae: 'Stamen length'; Proteaceae: 'Stamen length'; Rutaceae: 'Stamen l',Stamen_Length,"trait = ""stamen_length""",morphology,length,"Pittosporaceae, Proteaceae, Rutaceae",Merged from 2 columns,Pittosporaceae (as 'Stamen length'); Proteaceae (as 'Stamen length'); Rutaceae (as 'Stamen l'),
Stigma,Haloragaceae: 'Stigma',Stigma,some information to `stigma_length`; skip rest for now?,morphology,categorical/length,Haloragaceae,Retained as-is,,
Style_hairy,Myrtaceae: 'Style hairy',Style_hairy,,morphology,count,Myrtaceae,Retained as-is,,
Style_Length,Goodeniaceae: 'Style length'; Thymelaeaceae: 'Style',Style_Length,"trait = ""style_length""",morphology,length,"Goodeniaceae, Thymelaeaceae",Merged from 2 columns,Goodeniaceae (as 'Style length'); Thymelaeaceae (as 'Style'),
Anther_type,Haloragaceae: 'Anthers',Anther_type,trait - information applies to a mix of traits beginning with `flower_anther…`,morphology,verbal,Haloragaceae,Retained as-is,,
Flower,Apiaceae: 'Flower'; Araliaceae: 'Flower'; Asteracea: 'Flower'; Celastraceae: 'Flower'; Eremophila: 'Flower'; Goodeniaceae: 'Flower'; Haemodoraceae: 'Flower'; Haloragaceae: 'Flower'; Lamiaceae: 'Flower'; Malvaceae: 'Flowers'; Petaloid Monocots: 'Flower'; Phyllanthaceae: 'Flower'; Pittosporaceae: 'Flowers'; Polygonaceae: 'Flowers'; Rhamnaceae: 'Flower'; Rutaceae: 'Flower'; Thymelaeaceae: 'Flower',Flower,"map to any appropriate flower traits (color, etc)",morphology,verbal,"Apiaceae, Araliaceae, Asteracea, Celastraceae, Eremophila, Goodeniaceae, Haemodoraceae, Haloragaceae, Lamiaceae, Petaloid Monocots, Phyllanthaceae, Rhamnaceae, Rutaceae, Thymelaeaceae",Merged from 2 columns,Flowers (additional merge),
Flower_studied_in_herbarium,Euphorbiaceae: 'Flower morphology studied in herbarium',Flower_studied_in_herbarium,,morphology,verbal,Euphorbiaceae,Retained as-is,,
canopy_seed_bank_CSB,Myrtaceae: 'CSB'; Proteaceae: 'CSS',canopy_seed_bank_CSB,"trait = ""seedbank_location""; value = ""canopy_seedbank"" if 1",fire_ecology,binary,"Myrtaceae, Proteaceae",Merged from 2 columns,CSS (additional merge),
Fire_flowering,Orchidacae: 'Fire flowering',Fire_flowering,"trait = ""fire_cued_flowering""",fire_ecology,categorical,Orchidacae,Retained as-is,,
Fire_impact,Orchidacae: 'Fire impact',Fire_impact,,fire_ecology,categorical,Orchidacae,Retained as-is,,
FPBuds,Proteaceae: 'FPBuds',FPBuds,"trait = ""fire_cued_buds"" (new trait)",fire_ecology,binary,Proteaceae,Retained as-is,,
fire_promoted_flowering_FPF,Fabaceae: 'FPF'; Myrtaceae: 'FPF'; Proteaceae: 'FPF',fire_promoted_flowering_FPF,"trait = ""fire_cued_flowering""",fire_ecology,binary,"Fabaceae, Myrtaceae, Proteaceae",Retained as-is,,
fire_promoted_germination_FPG,Ericaceae: 'FPG',fire_promoted_germination_FPG,"trait = ""fire_cued_germination""",fire_ecology,binary,Ericaceae,Retained as-is,,
MFT,Myrtaceae: 'MFT',MFT,??NO IDEA ,fire_ecology,binary,Myrtaceae,Retained as-is,,
resprouts_epicormic_buds_REB,Proteaceae: 'REB',resprouts_epicormic_buds_REB,bud_bank location and maybe storage_organ,fire_ecology,binary,Proteaceae,Retained as-is,,
