species,tissue,leaf_N_%,leaf_P_%,leaf_K_%,leaf_S_%,leaf_Ca_%,leaf_Mg_%,leaf_Na_%,leaf_Fe_ppm,leaf_Cu_ppm,leaf_Mn_ppm,leaf_Zn_ppm,leaf_Cl_ppm,wood_N_%,wood_P_%,wood_K_%,wood_Ca_%,wood_Mg_%,wood_Na_%,wood_Fe_ppm,wood_Cu_ppm,wood_Mn_ppm,wood_Zn_ppm,wood_Cl_ppm,bark_N_%,bark_P_%,bark_K_%,bark_Ca_%,bark_Mg_%,bark_Na_%,bark_Fe_ppm,bark_Cu_ppm,bark_Mn_ppm,bark_Zn_ppm,bark_Cl_ppm,dead_wood_N_%,dead_wood_P_%,dead_wood_K_%,dead_wood_Ca_%,dead_wood_Mg_%,dead_wood_Na_%,dead_wood_Fe_ppm,dead_wood_Cu_ppm,dead_wood_Mn_ppm,dead_wood_Zn_ppm,dead_wood_Cl_ppm,dead_bark_N_%,dead_bark_P_%,dead_bark_K_%,dead_bark_Ca_%,dead_bark_Mg_%,dead_bark_Na_%,dead_bark_Fe_ppm,dead_bark_Cu_ppm,dead_bark_Mn_ppm,dead_bark_Zn_ppm,dead_bark_Cl_ppm,flower_N_%,flower_P_%,flower_K_%,flower_S_%,flower_Ca_%,flower_Mg_%,flower_Na_%,flower_Fe_ppm,flower_Cu_ppm,flower_Mn_ppm,flower_Zn_ppm
Pultenaea villosa,current leaves,2.6,0.09,0.6,0.17,0.55,0.28,0.13,192,7,160,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristania conferta,current leaves,1.6,0.08,0.8,1.2,0.73,0.25,0.1,92,6,49,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia concurrens,older leaves,2.3,0.08,0.8,0.14,0.6,0.16,0.15,43,8,53,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,older leaves,1,0.04,0.4,0.1,0.13,0.1,0.13,120,5,62,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,older leaves,1.4,0.075,0.5,0.1,0.38,0.185,0.145,53,6,76,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,older leaves,1.1,0.05,0.5,0.09,0.355,0.2,0.14,88,5,51,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibbertia vestita,older leaves,1.3,0.04,1.4,,1.3,400,1.92,200,10.4,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucopogon margarodes,older leaves,0.93,0.043,0.44,,0.55,0.08,0.06,80,7,135,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monotoca scoparia,older leaves,0.95,0.023,0.78,,0.62,0.194,0.2,140,15,164,15.4,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persoonia virgata,older leaves,0.96,0.095,0.5,,0.225,0.09,0.381,93,1.4,46,10,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrophile sessilis,older leaves,0.82,0.03,0.53,,0.38,0.172,0.044,186,5.2,96,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristania conferta,older leaves,1.7,0.07,0.7,0.14,0.87,0.29,0.09,112,6,72,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,stem,,,,,,,,,,,,,0.1,0.005,0.01,0.15,0.021,0.074,110,1.4,12,4.2,1250,0.2,0.005,0.05,0.35,0.123,0.202,252,0.6,62,7,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,stem,,,,,,,,,,,,,0.21,0.005,0.01,0.075,0.003,0.171,70,0.6,4,2.4,,0.26,0.008,1.6,1.5,0.2,0.202,144,4,172,11,4400,0.27,0.005,0.02,0.175,0.043,0.062,150,6.5,4,9.4,350,0.38,0.01,0.06,0.9,0.1,0.09,350,3.5,18,12,700,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,stem,,,,,,,,,,,,,0.2,0.005,0.01,0.15,0.003,0.076,195,1.4,4,12,250,0.31,0.005,0.07,0.55,0.042,0.21,288,2.8,76,7.6,1700,0.23,0.005,0.03,0.175,0.043,0.064,140,2.6,18,5,800,0.41,0.005,0.02,0.35,0.11,0.06,140,1.4,28,9.4,350,,,,,,,,,,,
Monotoca scoparia,stem,,,,,,,,,,,,,0.31,0.005,0.21,0.35,0.039,0.096,250,2.8,44,16,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrophile sessilis,stem,,,,,,,,,,,,,0.3,0.034,0.25,0.75,0.02,0.052,140,5.2,740,14,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,primary branch,,,,,,,,,,,,,0.1,0.005,0.05,0.2,0.044,0.071,160,33,27,25,1400,0.19,0.005,0.14,0.35,0.298,0.298,144,2.6,56,5,6350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,primary branch,,,,,,,,,,,,,0.16,0.005,0.01,0.1,0.003,0.048,93,0.6,3,6.7,250,0.46,0.005,0.25,1.1,0.14,0.179,106,1.4,80,12,4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,primary branch,,,,,,,,,,,,,0.19,0.005,0.02,0.175,0.001,0.026,184,21.1,6,17,250,0.3,0.005,0.09,0.225,0.039,0.09,70,1.4,25,14,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,secondary branch,,,,,,,,,,,,,0.11,0.005,0.02,0.225,0.085,0.107,120,4,35,10,2350,0.26,0.005,0.07,0.375,0.24,0.155,120,4.5,52,8,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,secondary branch,,,,,,,,,,,,,0.15,0.005,0.02,0.125,0.014,0.062,89,3.4,9,5,700,0.3,0.014,2.7,1.425,0.192,0.19,100,13,60,16.4,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,secondary branch,,,,,,,,,,,,,0.12,0.005,0.01,0.2,0.001,0.029,93,11,9,7.6,250,0.3,0.012,0.14,0.3,0.117,0.131,120,4.5,74,15.7,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,tertiary (terminal) branch,,,,,,,,,,,,,0.26,0.028,0.23,0.4,0.07,0.179,500,2.6,40,13.3,2750,0.25,0.014,0.25,0.425,0.192,0.226,255,1.4,56,8,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,tertiary (terminal) branch,,,,,,,,,,,,,0.26,0.016,0.14,0.25,0.63,0.286,62,2.6,28,9,1800,0.48,0.016,0.3,0.8,0.168,0.143,140,4,72,16.3,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,tertiary (terminal) branch,,,,,,,,,,,,,0.44,0.01,0.07,0.25,0.06,0.1,110,2,36,5,1650,0.42,0.014,0.14,0.7,0.23,0.143,237,2.6,121,22,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,root crown,,,,,,,,,,,,,0.22,0.005,0.02,0.2,0.04,0.067,250,2.6,12,3.38,1150,0.26,0.005,0.04,0.225,0.064,0.167,780,3.3,32,7.7,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,root crown,,,,,,,,,,,,,0.17,0.005,0.01,0.075,0.003,0.036,500,4,2,7,250,0.28,0.015,2.1,1.775,0.189,0.19,300,4,135,12.6,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,root crown,,,,,,,,,,,,,0.22,0.005,0.01,0.1,0.001,0.033,164,4,1,10.3,250,0.37,0.005,0.03,0.375,0.018,0.071,950,4,21,12,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,tap root,,,,,,,,,,,,,0.11,0.005,0.01,0.125,0.026,0.061,262,4,7,8,800,0.24,0.005,0.02,0.225,0.07,0.095,1080,4.5,16,5.9,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,tap root,,,,,,,,,,,,,0.18,0.004,0.01,0.15,0.01,0.048,320,1.4,8,5,250,0.33,0.007,0.06,0.5,0.03,0.076,260,1.4,25,6.1,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,tap root,,,,,,,,,,,,,0.17,0.004,0.01,0.1,0.01,0.04,660,1.4,6,18,250,0.35,0.008,0.03,0.325,0.02,0.071,180,1.4,6,8.2,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,lateral root,,,,,,,,,,,,,0.1,0.006,0.04,0.05,0.025,0.107,144,1.4,6,2.4,1500,0.16,0.006,0.02,0.125,0.07,0.16,380,1.4,16,3.3,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,lateral root,,,,,,,,,,,,,0.31,0.018,0.12,0.175,0.05,0.071,164,2,16,14,2400,0.35,0.011,0.12,0.45,0.14,0.119,558,2.6,20,19.7,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,lateral root,,,,,,,,,,,,,0.38,0.024,0.09,0.1,0.044,0.071,200,1.4,18,15.6,800,0.34,0.013,0.13,0.4,0.09,0.107,680,1.4,30,21,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.08,0.5,0.08,0.08,0.08,0.14,102,4,21,37
Eucalyptus signata,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.09,0.5,0.09,0.39,0.21,0.13,35,6,72,36
