Treatment,Species,Rep.,ET Per day(g H2O pot -1 day -1),Total leaf area(cm2),ET (g H2O/day/cm2),SLA (m2/kg leaf),LAR (m2leaf/kg plant,RGR(mg g-1day-1),WP-PD(-Mpa),WP-MD(-Mpa),site
Well Watered,Derwentia perfoliata,2,157.81,2948.93,0.053514164,11.02,7.31,1.11,,,The University of Melbourne Burnley campus
Well Watered,Derwentia perfoliata,3,142.23,2448.59,0.058084935,11.39,7.26,1.68,,,The University of Melbourne Burnley campus
Well Watered,Derwentia perfoliata,4,184.88,2783.8,0.066413159,11.02,7.18,1.67,,,The University of Melbourne Burnley campus
Well Watered,Derwentia perfoliata,5,135.28,2250.85,0.060101105,9.09,5.75,1.12,,,The University of Melbourne Burnley campus
Well Watered,Dillwynia sericea,1,52.82,3.42,15.44444444,0.32,0.18,0.46,,,The University of Melbourne Burnley campus
Well Watered,Dillwynia sericea,2,112.86,87.5,1.289828571,0.88,0.41,7.73,,,The University of Melbourne Burnley campus
Well Watered,Dillwynia sericea,3,102.44,118.76,0.862582198,1.16,0.73,3.39,,,The University of Melbourne Burnley campus
Well Watered,Dillwynia sericea,4,101.78,31.07,3.275307971,0.47,0.24,2.78,,,The University of Melbourne Burnley campus
Well Watered,Dillwynia sericea,5,71.95,31.82,2.261245335,0.86,0.19,2.29,,,The University of Melbourne Burnley campus
Well Watered,Dodonaea stenozyga,1,147.31,90.81,1.622180798,0.46,0.36,2.41,,,The University of Melbourne Burnley campus
Well Watered,Dodonaea stenozyga,2,46.54,10.46,4.449603933,0.88,0.57,0.53,,,The University of Melbourne Burnley campus
Well Watered,Dodonaea stenozyga,3,54.41,10.1,5.387128713,0.71,0.45,3.06,,,The University of Melbourne Burnley campus
Well Watered,Dodonaea stenozyga,4,128.15,44.77,2.862547127,0.5,0.31,4.67,,,The University of Melbourne Burnley campus
Well Watered,Daviesia ulicifolia,1,91.51,307.06,0.29803535,4.83,1.81,1.85,,,The University of Melbourne Burnley campus
Well Watered,Daviesia ulicifolia,2,149.37,457.07,0.326804792,2.61,1.32,2.76,,,The University of Melbourne Burnley campus
Well Watered,Daviesia ulicifolia,3,112.01,334.79,0.334566804,4.84,2.14,2.19,,,The University of Melbourne Burnley campus
Well Watered,Daviesia ulicifolia,4,94.06,224.94,0.418128759,4.52,1.97,5,,,The University of Melbourne Burnley campus
Well Watered,Daviesia ulicifolia,5,92.7,4.43,20.91088674,0.51,0.01,5.06,,,The University of Melbourne Burnley campus
Well Watered,Eremophila divaricata,1,104.88,335.84,0.312304431,6.1,1.58,1.13,,,The University of Melbourne Burnley campus
Well Watered,Eremophila divaricata,2,118.76,436.14,0.272301019,5.62,1.72,0.81,,,The University of Melbourne Burnley campus
Well Watered,Eremophila divaricata,3,134.44,425.64,0.315858052,4.87,1.82,0.94,,,The University of Melbourne Burnley campus
Well Watered,Eremophila divaricata,4,99.84,367.88,0.271401563,5.74,1.93,0.74,,,The University of Melbourne Burnley campus
Well Watered,Eremophila divaricata,5,96.12,390.62,0.246067456,5.08,2.06,0.83,,,The University of Melbourne Burnley campus
Well Watered,Eremophila gibbifolia,1,97.6,138.17,0.706397866,1.94,0.68,0.82,,,The University of Melbourne Burnley campus
Well Watered,Eremophila gibbifolia,2,99.41,123.58,0.804438312,1.76,0.57,1.89,,,The University of Melbourne Burnley campus
Well Watered,Eremophila gibbifolia,3,120.1,205.14,0.585468645,2.63,0.89,2.03,,,The University of Melbourne Burnley campus
Well Watered,Eremophila gibbifolia,4,79.07,80.47,0.982556531,1.92,0.64,0.93,,,The University of Melbourne Burnley campus
Well Watered,Eremophila gibbifolia,5,113.16,161.03,0.702706592,2.19,0.72,0.97,,,The University of Melbourne Burnley campus
Well Watered,Eutaxia microphylla,1,44.01,67.93,0.647863644,1.38,0.59,,,,The University of Melbourne Burnley campus
Well Watered,Eutaxia microphylla,2,96.9,59.92,1.616964096,2.22,0.97,1.26,,,The University of Melbourne Burnley campus
Well Watered,Eutaxia microphylla,3,67.03,62.92,1.065277175,2.16,1.18,0.92,,,The University of Melbourne Burnley campus
Well Watered,Eutaxia microphylla,4,77.32,90.25,0.8567933,1.51,0.55,1.95,,,The University of Melbourne Burnley campus
Well Watered,Eutaxia microphylla,5,84.68,0.27,313.6402116,0.27,0.04,0.51,,,The University of Melbourne Burnley campus
Well Watered,Eremophila polyclada,1,156.35,669.97,0.233367732,5.5,1.96,1.5,,,The University of Melbourne Burnley campus
Well Watered,Eremophila polyclada,2,174.61,793.66,0.220011448,7.63,2.5,1,,,The University of Melbourne Burnley campus
Well Watered,Eremophila polyclada,3,199.59,1096.59,0.182010181,10.04,2.85,0.95,,,The University of Melbourne Burnley campus
Well Watered,Eremophila polyclada,4,181.53,649.61,0.279442063,4.53,1.95,0.9,,,The University of Melbourne Burnley campus
Well Watered,Eremophila polyclada,5,188.49,711.71,0.264847536,5.29,2.08,0.67,,,The University of Melbourne Burnley campus
Well Watered,Grevillea alpina,1,84.61,413.03,0.204850112,5.19,2.84,0.32,,,The University of Melbourne Burnley campus
Well Watered,Grevillea alpina,2,,744.03,,3.6,2.22,0.55,,,The University of Melbourne Burnley campus
Well Watered,Grevillea alpina,3,138.12,,,,,0.88,,,The University of Melbourne Burnley campus
Well Watered,Grevillea alpina,4,151.68,895.31,0.169421144,5.29,2.56,,,,The University of Melbourne Burnley campus
Well Watered,Grevillea alpina,5,119,495.11,0.240352378,3.03,2.06,0.72,,,The University of Melbourne Burnley campus
Well Watered,Goodenia benthamiana,1,66.35,417.41,0.158948862,12.81,5.6,1.79,,,The University of Melbourne Burnley campus
Well Watered,Goodenia benthamiana,2,121.61,1058.16,0.114924062,13.3,5.44,1.54,,,The University of Melbourne Burnley campus
Well Watered,Goodenia benthamiana,3,92.83,740.54,0.125359888,12.77,6.13,1.3,,,The University of Melbourne Burnley campus
Well Watered,Goodenia benthamiana,4,105.49,788.98,0.133702441,13.67,6.23,0.75,,,The University of Melbourne Burnley campus
Well Watered,Goodenia benthamiana,5,65.49,412.33,0.15883576,12.38,6.39,1.64,,,The University of Melbourne Burnley campus
Well Watered,Grevillea rosmarinifolia,1,80.57,71.07,1.133675232,1.57,0.82,1.23,,,The University of Melbourne Burnley campus
Well Watered,Grevillea rosmarinifolia,2,102.97,233.14,0.441652954,1.89,0.86,1.44,,,The University of Melbourne Burnley campus
Well Watered,Grevillea rosmarinifolia,3,118.42,259.53,0.456288352,2.61,1.05,1.81,,,The University of Melbourne Burnley campus
Well Watered,Grevillea rosmarinifolia,4,173.38,379.2,0.457225572,2.71,1.16,0.89,,,The University of Melbourne Burnley campus
Well Watered,Grevillea rosmarinifolia,5,99.37,220.55,0.450543191,2.19,1.1,0.9,,,The University of Melbourne Burnley campus
Well Watered,Hardenbergia violacea,1,147.77,1824.49,0.080990235,13.44,6.27,1.58,,,The University of Melbourne Burnley campus
Well Watered,Hardenbergia violacea,2,111.68,1763.96,0.063311733,13.17,8.32,1.76,,,The University of Melbourne Burnley campus
Well Watered,Hardenbergia violacea,3,124.65,1387.14,0.08985772,13.1,6.26,1.5,,,The University of Melbourne Burnley campus
Well Watered,Hardenbergia violacea,4,108.5,834.37,0.130042988,13.16,6.88,1.48,,,The University of Melbourne Burnley campus
Well Watered,Hardenbergia violacea,5,111.88,1968.14,0.056844017,13.1,7.93,1.73,,,The University of Melbourne Burnley campus
Well Watered,Indigofera australis,1,256.22,1413.34,0.181286768,9.04,3.76,0.13,,,The University of Melbourne Burnley campus
Well Watered,Indigofera australis,2,298.81,2026.96,0.147417573,12.37,5.92,0.74,,,The University of Melbourne Burnley campus
Well Watered,Indigofera australis,3,75.6,302.66,0.249779993,10.37,4.54,1.36,,,The University of Melbourne Burnley campus
Well Watered,Indigofera australis,4,167.95,,,,,2.23,,,The University of Melbourne Burnley campus
Well Watered,Indigofera australis,5,,649.82,,11.24,5.44,1.77,,,The University of Melbourne Burnley campus
Well Watered,Olearia axillaris,1,174.58,1183.53,0.147510354,4.64,2.69,0.38,,,The University of Melbourne Burnley campus
Well Watered,Olearia axillaris,2,120.68,895.51,0.13475938,4.21,2.65,0.4,,,The University of Melbourne Burnley campus
Well Watered,Olearia axillaris,3,139.97,915.54,0.152886572,4.67,2.95,0.54,,,The University of Melbourne Burnley campus
Well Watered,Olearia axillaris,4,119.18,725.13,0.164355398,4.19,2.84,0.57,,,The University of Melbourne Burnley campus
Well Watered,Olearia axillaris,5,123.03,592.24,0.207741299,3.98,2.45,0.61,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera aspalathoides,1,183.06,322.98,0.566773748,2.62,1.14,1.56,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera aspalathoides,2,218.17,429.24,0.50826913,2.91,1.32,1.25,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera aspalathoides,3,176.3,468.32,0.376445502,3.16,1.5,1.4,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera aspalathoides,4,182.2,312.35,0.583320557,2.83,1.24,1.29,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera aspalathoides,5,218.3,517.57,0.421774815,3.07,1.56,1.18,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera incisa,1,202.33,2030.52,0.099643618,12.07,6,5.51,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera incisa,2,177.37,1488.19,0.119183765,9.63,5.02,1.65,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera incisa,3,188.6,1098.85,0.171635262,8.29,3.22,1.84,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera incisa,4,172.85,1394.71,0.12393394,9.78,4.84,1.44,,,The University of Melbourne Burnley campus
Well Watered,Prostanthera incisa,5,239.16,1465.87,0.163153126,7.28,3.94,1.25,,,The University of Melbourne Burnley campus
Water deficit,Correa glabra,1,110.7,,,11.66,5.89,1.61,,,The University of Melbourne Burnley campus
Water deficit,Correa glabra,2,110.73,,,11.08,5.73,1.75,,,The University of Melbourne Burnley campus
Water deficit,Correa glabra,3,112.54,,,13.25,6.63,1.35,,,The University of Melbourne Burnley campus
Water deficit,Correa glabra,4,114.07,,,12.27,5.91,1.1,,,The University of Melbourne Burnley campus
Water deficit,Correa glabra,5,110.99,,,13.09,6.78,0.76,,,The University of Melbourne Burnley campus
Water deficit,Cheiranthera linearis,1,26.1,,,0.25,0.06,4.23,,,The University of Melbourne Burnley campus
Water deficit,Cheiranthera linearis,2,27.89,,,0.16,0.04,0.65,,,The University of Melbourne Burnley campus
Water deficit,Cheiranthera linearis,3,31.8,,,0.24,0.11,,,,The University of Melbourne Burnley campus
Water deficit,Cheiranthera linearis,4,40.4,,,0.13,0.06,,,,The University of Melbourne Burnley campus
Water deficit,Cheiranthera linearis,5,28.99,,,0.17,0.09,0.24,,,The University of Melbourne Burnley campus
Water deficit,Calytrix tetragona,1,61.93,,,1.22,0.64,1.72,,,The University of Melbourne Burnley campus
Water deficit,Calytrix tetragona,2,64.8,,,1.46,0.94,0.31,,,The University of Melbourne Burnley campus
Water deficit,Calytrix tetragona,3,65.65,,,1.36,0.89,0.64,,,The University of Melbourne Burnley campus
Water deficit,Calytrix tetragona,4,59.31,,,1.42,0.92,0.71,,,The University of Melbourne Burnley campus
Water deficit,Calytrix tetragona,5,60.14,,,1.28,0.73,1.14,,,The University of Melbourne Burnley campus
Water deficit,Derwentia derwentiana,1,110.15,,,7.76,5.15,3.03,,,The University of Melbourne Burnley campus
Water deficit,Derwentia derwentiana,2,101.27,,,5.78,3.39,0.17,,,The University of Melbourne Burnley campus
Water deficit,Derwentia derwentiana,3,103.4,,,6.56,3.48,0.36,,,The University of Melbourne Burnley campus
Water deficit,Derwentia derwentiana,4,98.28,,,6.12,3.03,0.39,,,The University of Melbourne Burnley campus
Water deficit,Derwentia derwentiana,5,101.7,,,8.25,5.15,0.2,,,The University of Melbourne Burnley campus
Water deficit,Derwentia perfoliata,1,93.32,,,9.44,6.15,0.26,,,The University of Melbourne Burnley campus
Water deficit,Derwentia perfoliata,2,87.72,,,9.85,5.74,0.47,,,The University of Melbourne Burnley campus
Water deficit,Derwentia perfoliata,3,92.89,,,9.96,6.06,1.14,,,The University of Melbourne Burnley campus
Water deficit,Derwentia perfoliata,4,92.95,,,9.41,6.47,0.66,,,The University of Melbourne Burnley campus
Water deficit,Derwentia perfoliata,5,91.63,,,7.68,4.08,0.73,,,The University of Melbourne Burnley campus
Water deficit,Dillwynia sericea,1,43.41,,,0.23,0.05,,,,The University of Melbourne Burnley campus
Water deficit,Dillwynia sericea,2,45.77,,,0.66,0.26,1.86,,,The University of Melbourne Burnley campus
Water deficit,Dillwynia sericea,3,47.09,,,0.15,0.06,0.76,,,The University of Melbourne Burnley campus
Water deficit,Dillwynia sericea,4,50.34,,,,,0.74,,,The University of Melbourne Burnley campus
Water deficit,Dillwynia sericea,5,44.78,,,0.26,0.12,0.37,,,The University of Melbourne Burnley campus
Water deficit,Dodonaea stenozyga,1,43.13,,,1.23,0.63,4.98,,,The University of Melbourne Burnley campus
Water deficit,Dodonaea stenozyga,2,42.62,,,0.79,0.45,1.3,,,The University of Melbourne Burnley campus
Water deficit,Dodonaea stenozyga,3,42.64,,,0.73,0.41,0.07,,,The University of Melbourne Burnley campus
Water deficit,Dodonaea stenozyga,4,43.14,,,0.28,0.06,0.19,,,The University of Melbourne Burnley campus
Water deficit,Daviesia ulicifolia,1,56.27,,,3.09,0.56,0.73,,,The University of Melbourne Burnley campus
Water deficit,Daviesia ulicifolia,2,56.44,,,3.32,0.35,0.79,,,The University of Melbourne Burnley campus
Water deficit,Daviesia ulicifolia,3,57.46,,,2.47,0.8,0.59,,,The University of Melbourne Burnley campus
Water deficit,Daviesia ulicifolia,4,57.4,,,4.29,0.55,1.01,,,The University of Melbourne Burnley campus
Water deficit,Daviesia ulicifolia,5,52.33,,,,,1.12,,,The University of Melbourne Burnley campus
Water deficit,Eremophila divaricata,1,71.74,,,1.79,0.58,0.62,,,The University of Melbourne Burnley campus
Water deficit,Eremophila divaricata,2,68.55,,,1.6,0.55,0.4,,,The University of Melbourne Burnley campus
Water deficit,Eremophila divaricata,3,69.31,,,1.07,0.29,0.5,,,The University of Melbourne Burnley campus
Water deficit,Eremophila divaricata,4,72,,,0.88,0.21,0.22,,,The University of Melbourne Burnley campus
Water deficit,Eremophila divaricata,5,70.48,,,1.79,0.53,0.19,,,The University of Melbourne Burnley campus
Water deficit,Eremophila gibbifolia,1,48.56,,,2.23,0.66,0.07,,,The University of Melbourne Burnley campus
Water deficit,Eremophila gibbifolia,2,,,,2.23,0.66,0.91,,,The University of Melbourne Burnley campus
Water deficit,Eremophila gibbifolia,3,,,,,,1.06,,,The University of Melbourne Burnley campus
Water deficit,Eremophila gibbifolia,4,,,,,,0.67,,,The University of Melbourne Burnley campus
Water deficit,Eremophila gibbifolia,5,52.97,,,,,0.93,,,The University of Melbourne Burnley campus
Water deficit,Eutaxia microphylla,1,40.06,,,0.21,0.08,0.11,,,The University of Melbourne Burnley campus
Water deficit,Eutaxia microphylla,2,40.56,,,,,,,,The University of Melbourne Burnley campus
Water deficit,Eutaxia microphylla,3,,,,,,,,,The University of Melbourne Burnley campus
Water deficit,Eutaxia microphylla,4,39.92,,,1.68,0.43,0.34,,,The University of Melbourne Burnley campus
Water deficit,Eutaxia microphylla,5,39,,,,,,,,The University of Melbourne Burnley campus
Water deficit,Eremophila polyclada,1,99.59,,,4.08,1.3,0.65,,,The University of Melbourne Burnley campus
Water deficit,Eremophila polyclada,2,102.38,,,5.99,1.82,0.49,,,The University of Melbourne Burnley campus
Water deficit,Eremophila polyclada,3,101.25,,,5.51,1.41,0.54,,,The University of Melbourne Burnley campus
Water deficit,Eremophila polyclada,4,97.63,,,3.8,1.17,0.59,,,The University of Melbourne Burnley campus
Water deficit,Eremophila polyclada,5,99.48,,,6.66,2.16,0.25,,,The University of Melbourne Burnley campus
Water deficit,Grevillea alpina,1,56.72,,,4.05,1.62,0.67,,,The University of Melbourne Burnley campus
Water deficit,Grevillea alpina,2,59.85,,,3.11,1.5,0.49,,,The University of Melbourne Burnley campus
Water deficit,Grevillea alpina,3,,,,,,0.11,,,The University of Melbourne Burnley campus
Water deficit,Grevillea alpina,4,59.01,,,1.91,0.89,,,,The University of Melbourne Burnley campus
Water deficit,Grevillea alpina,5,59.66,,,,,0.14,,,The University of Melbourne Burnley campus
Water deficit,Goodenia benthamiana,1,49.23,,,,,0.59,,,The University of Melbourne Burnley campus
Water deficit,Goodenia benthamiana,2,51.68,,,,,0.98,,,The University of Melbourne Burnley campus
Water deficit,Goodenia benthamiana,3,44.29,,,0.25,0.1,0.67,,,The University of Melbourne Burnley campus
Water deficit,Goodenia benthamiana,4,45.1,,,9.2,3.08,0.22,,,The University of Melbourne Burnley campus
Water deficit,Goodenia benthamiana,5,48.46,,,10.19,3.75,0.85,,,The University of Melbourne Burnley campus
Water deficit,Grevillea rosmarinifolia,1,61.43,,,0.48,0.18,1.25,,,The University of Melbourne Burnley campus
Water deficit,Grevillea rosmarinifolia,2,60.11,,,0.84,0.38,0.33,,,The University of Melbourne Burnley campus
Water deficit,Grevillea rosmarinifolia,3,53.84,,,1,0.45,0.65,,,The University of Melbourne Burnley campus
Water deficit,Grevillea rosmarinifolia,4,61.18,,,1.23,0.58,0.22,,,The University of Melbourne Burnley campus
Water deficit,Grevillea rosmarinifolia,5,57.48,,,2.6,0.49,0.6,,,The University of Melbourne Burnley campus
Water deficit,Hardenbergia violacea,1,74.72,,,10.18,4.26,1.57,,,The University of Melbourne Burnley campus
Water deficit,Hardenbergia violacea,2,75.89,,,10.84,5.85,1.14,,,The University of Melbourne Burnley campus
Water deficit,Hardenbergia violacea,3,76.65,,,12.44,5.75,0.87,,,The University of Melbourne Burnley campus
Water deficit,Hardenbergia violacea,4,77.08,,,12.85,6.29,0.67,,,The University of Melbourne Burnley campus
Water deficit,Hardenbergia violacea,5,74.04,,,12.42,7.28,0.61,,,The University of Melbourne Burnley campus
Water deficit,Indigofera australis,1,95.2,,,10.02,3.31,0.41,,,The University of Melbourne Burnley campus
Water deficit,Indigofera australis,2,98.05,,,12.14,3.04,1.63,,,The University of Melbourne Burnley campus
Water deficit,Indigofera australis,3,107.08,,,13.09,3.88,1.65,,,The University of Melbourne Burnley campus
Water deficit,Indigofera australis,4,98.3,,,12.2,3.41,1.02,,,The University of Melbourne Burnley campus
Water deficit,Indigofera australis,5,100.65,,,14,3.13,0.8,,,The University of Melbourne Burnley campus
Water deficit,Olearia axillaris,1,83.53,,,4.86,2.62,0.21,,,The University of Melbourne Burnley campus
Water deficit,Olearia axillaris,2,87.08,,,4.31,2.51,0.56,,,The University of Melbourne Burnley campus
Water deficit,Olearia axillaris,3,87.09,,,4.41,2.41,0.45,,,The University of Melbourne Burnley campus
Water deficit,Olearia axillaris,4,84.08,,,3.69,2.23,0.61,,,The University of Melbourne Burnley campus
Water deficit,Olearia axillaris,5,84.23,,,3.51,1.87,0.27,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera aspalathoides,1,110.01,,,1.26,0.62,1.15,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera aspalathoides,2,109.61,,,1.39,0.63,0.74,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera aspalathoides,3,110.28,,,1.46,0.68,0.82,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera aspalathoides,4,117.05,,,2.04,0.97,0.89,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera aspalathoides,5,108.24,,,1.74,0.75,1.02,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera incisa,1,110.12,,,7.88,3.94,3.81,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera incisa,2,114.65,,,14.55,6.84,1.41,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera incisa,3,109.11,,,8.36,3.52,1.29,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera incisa,4,117.21,,,9.67,4.21,1.01,,,The University of Melbourne Burnley campus
Water deficit,Prostanthera incisa,5,114.38,,,8.41,3.33,0.88,,,The University of Melbourne Burnley campus
Well Watered,Derwentia derwentiana,,,,,,,,0.5,0.86,The University of Melbourne Burnley campus
Well Watered,Prostanthera incisa,,,,,,,,0.47,0.94,The University of Melbourne Burnley campus
Well Watered,Derwentia perfoliata,,,,,,,,0.51,0.92,The University of Melbourne Burnley campus
Well Watered,Daviesia ulicifolia,,,,,,,,0.33,0.98,The University of Melbourne Burnley campus
Well Watered,Hardenbergia violacea,,,,,,,,0.24,0.67,The University of Melbourne Burnley campus
Well Watered,Indigofera australis,,,,,,,,0.42,1.13,The University of Melbourne Burnley campus
Well Watered,Dillwynia sericea,,,,,,,,0.38,0.77,The University of Melbourne Burnley campus
Well Watered,Cheiranthera linearis,,,,,,,,0.37,1.18,The University of Melbourne Burnley campus
Well Watered,Grevillea alpina,,,,,,,,0.36,1.24,The University of Melbourne Burnley campus
Well Watered,Grevillea rosmarinifolia,,,,,,,,0.31,0.88,The University of Melbourne Burnley campus
Well Watered,Calytrix tetragona,,,,,,,,0.46,0.84,The University of Melbourne Burnley campus
Well Watered,Correa glabra,,,,,,,,0.48,1.38,The University of Melbourne Burnley campus
Well Watered,Olearia axillaris,,,,,,,,0.51,1.03,The University of Melbourne Burnley campus
Well Watered,Eremophila gibbifolia,,,,,,,,0.72,1.09,The University of Melbourne Burnley campus
Well Watered,Goodenia benthamiana,,,,,,,,0.59,1.19,The University of Melbourne Burnley campus
Well Watered,Eutaxia microphylla,,,,,,,,0.45,1.11,The University of Melbourne Burnley campus
Well Watered,Prostanthera aspalathoides,,,,,,,,0.58,1.07,The University of Melbourne Burnley campus
Well Watered,Dodonaea stenozyga,,,,,,,,0.98,2.02,The University of Melbourne Burnley campus
Well Watered,Eremophila polyclada,,,,,,,,0.47,0.79,The University of Melbourne Burnley campus
Well Watered,Eremophila divaricata,,,,,,,,0.4,0.64,The University of Melbourne Burnley campus
Water deficit,Derwentia derwentiana,,,,,,,,2.17,2.89,The University of Melbourne Burnley campus
Water deficit,Prostanthera incisa,,,,,,,,1.68,2.63,The University of Melbourne Burnley campus
Water deficit,Derwentia perfoliata,,,,,,,,2.06,3.13,The University of Melbourne Burnley campus
Water deficit,Daviesia ulicifolia,,,,,,,,3.42,3.92,The University of Melbourne Burnley campus
Water deficit,Hardenbergia violacea,,,,,,,,0.93,1.67,The University of Melbourne Burnley campus
Water deficit,Indigofera australis,,,,,,,,1.47,2.62,The University of Melbourne Burnley campus
Water deficit,Dillwynia sericea,,,,,,,,2.54,3.26,The University of Melbourne Burnley campus
Water deficit,Cheiranthera linearis,,,,,,,,1.18,1.58,The University of Melbourne Burnley campus
Water deficit,Grevillea alpina,,,,,,,,1.95,2.9,The University of Melbourne Burnley campus
Water deficit,Grevillea rosmarinifolia,,,,,,,,2.9,3.82,The University of Melbourne Burnley campus
Water deficit,Calytrix tetragona,,,,,,,,1.29,2.51,The University of Melbourne Burnley campus
Water deficit,Correa glabra,,,,,,,,1.54,2.5,The University of Melbourne Burnley campus
Water deficit,Olearia axillaris,,,,,,,,1.69,2.24,The University of Melbourne Burnley campus
Water deficit,Eremophila gibbifolia,,,,,,,,2.6,3.3,The University of Melbourne Burnley campus
Water deficit,Goodenia benthamiana,,,,,,,,2.17,3.03,The University of Melbourne Burnley campus
Water deficit,Eutaxia microphylla,,,,,,,,1.96,4.12,The University of Melbourne Burnley campus
Water deficit,Prostanthera aspalathoides,,,,,,,,1.86,2.88,The University of Melbourne Burnley campus
Water deficit,Dodonaea stenozyga,,,,,,,,1.92,3.4,The University of Melbourne Burnley campus
Water deficit,Eremophila polyclada,,,,,,,,0.88,2.04,The University of Melbourne Burnley campus
Water deficit,Eremophila divaricata,,,,,,,,1.65,2.43,The University of Melbourne Burnley campus
