"species","trait_name","trait_value","trait_name_standardised","trait_value_standardised","value_type","flowering_time_type","number_records","number_obs","percent_records","commonness","notes"
"Banksia audax","growth_response","ground resprout","bud_bank_location","basal_buds",,,2,2,100,,
"Banksia audax","growth_response","unspecified",,,,,4,,50,,""
"Banksia audax","flowering_response","occurred after fire",,,,,4,,,,""
"Banksia audax","flowering_response","median time to flowering: 25-36 months","fire_time_from_fire_to_flowering","30.5","median",,4,,,,""
"Banksia audax","flowering_response","minimum time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","minimum",,4,,,,""
"Banksia audax","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia audax","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,1,1,100,"usually",""
"Banksia audax","months_flowering_range","Jan","flowering_time","YNNNNNNNNNNN",,"full range",1,,,,"main summer record per text ('flowers in summer'); a second minor record in May also shows a small 'fully open' bar in the chart (low confidence, not reflected in Discussion text)"
"Banksia audax","months_flowering_peak","Jan","flowering_time","YNNNNNNNNNNN",,"peak flowering",1,,,,""
"Banksia audax","months_fruiting_cones_present","none evident in chart",,,,,,,,,"chart shows 'majority in bud' pattern for most other months, no clear fruiting-cone pattern"
"Banksia baueri","growth_form","shrub","plant_growth_form","shrub",,,132,,96,"usually",""
"Banksia baueri","growth_form","tree","plant_growth_form","tree",,,132,,2,"rarely",""
"Banksia baueri","growth_form","unspecified",,,,,132,,2,"rarely",""
"Banksia baueri","growth_response","killed, new seedlings; killed, new seedlings and trunk resprout","resprouting_capacity","fire_killed",,,2,2,100,,
"Banksia baueri","growth_response","killed, new seedlings and trunk resprout","resprouting_capacity","resprouts",,,2,1,50,,
"Banksia baueri","growth_response","killed, new seedlings; killed, new seedlings and trunk resprout","post_fire_recruitment","post_fire_recruitment",,,2,2,100,,
"Banksia baueri","growth_response","killed, new seedlings and trunk resprout","bud_bank_location","epicormic_buds",,,2,1,50,,
"Banksia baueri","growth_response","unspecified",,,,,3,,33,,""
"Banksia baueri","flowering_response","occurred after fire",,,,,2,,,,""
"Banksia baueri","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,2,,,,""
"Banksia baueri","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,2,,,,""
"Banksia baueri","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia baueri","pollinator_type","no pollinator observed",,,,,21,20,,,""
"Banksia baueri","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,1,1,100,"usually",""
"Banksia baueri","specific_pollinator","ant","flower_visitor","ant",,,1,1,100,"usually",""
"Banksia baueri","months_flowering_range","Mar-Sep","flowering_time","NNYYYYYYYNNN",,"full range",,,,,"from monthly chart ('fully open' bars); text: 'Flowering occurs in autumn and winter'"
"Banksia baueri","months_flowering_peak","Jul","flowering_time","NNNNNNYNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~100%)"
"Banksia baueri","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia baxteri","growth_form","tree","plant_growth_form","tree",,,188,,29,"commonly",""
"Banksia baxteri","growth_form","shrub","plant_growth_form","shrub",,,188,,69,"usually",""
"Banksia baxteri","growth_form","unspecified",,,,,188,,2,"rarely",""
"Banksia baxteri","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","resprouting_capacity","fire_killed",,,16,16,100,,
"Banksia baxteri","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,16,1,6,,
"Banksia baxteri","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,16,16,100,,
"Banksia baxteri","growth_response","ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,16,1,6,,
"Banksia baxteri","growth_response","unspecified",,,,,24,,33,,""
"Banksia baxteri","flowering_response","occurred after fire",,,,,12,,,,""
"Banksia baxteri","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,12,,,,""
"Banksia baxteri","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,12,,,,""
"Banksia baxteri","flowering_response","not occurred after fire",,,,,5,,,,""
"Banksia baxteri","flowering_response","median time to no flowering: 37-48 months","fire_time_from_fire_to_no_flowering","42.5","median",,5,,,,""
"Banksia baxteri","flowering_response","maximum time to no flowering: 61-72 months","fire_time_from_fire_to_no_flowering","66","maximum",,5,,,,""
"Banksia baxteri","pollinator_type","no pollinator observed",,,,,61,43,,,""
"Banksia baxteri","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,18,4,22,"occasionally",""
"Banksia baxteri","pollinator_type","bird","flower_visitor","bird",,,18,14,78,"usually",""
"Banksia baxteri","specific_pollinator","ant","flower_visitor","ant",,,18,1,6,"rarely",""
"Banksia baxteri","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; White-cheeked Honeyeater; Little Wattlebird; Western Spinebill","flower_visitor","honeyeater",,,18,11,61,"usually",""
"Banksia baxteri","specific_pollinator","Red-tailed Black Cockatoo","flower_visitor","parrot",,,18,2,11,"occasionally",""
"Banksia baxteri","months_flowering_range","Sep-Jun","flowering_time","YYYYYYNNYYYY",,"full range",,,,,"text: 'peak in January and February. Some flowers were recorded as late as June, a few as early as September' (i.e. low/no flowering Jul-Aug)"
"Banksia baxteri","months_flowering_peak","Jan-Feb","flowering_time","YYNNNNNNNNNN",,"peak flowering",,,,,"text and chart agree (Jan ~92%, Feb ~98%)"
"Banksia baxteri","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia benthamiana","growth_form","tree","plant_growth_form","tree",,,36,,36,"commonly",""
"Banksia benthamiana","growth_form","shrub","plant_growth_form","shrub",,,36,,58,"usually",""
"Banksia benthamiana","growth_form","unspecified",,,,,36,,6,"rarely",""
"Banksia benthamiana","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,2,2,100,,
"Banksia benthamiana","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,2,2,100,,
"Banksia benthamiana","growth_response","killed, new seedlings","bud_bank_location","none",,,2,2,100,,
"Banksia benthamiana","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia benthamiana","flowering_response","minimum time to flowering: 85-96 months","fire_time_from_fire_to_flowering","90.5","minimum",,1,,,,""
"Banksia benthamiana","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia benthamiana","pollinator_type","no pollinator observed",,,,,6,5,,,""
"Banksia benthamiana","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,1,1,100,"usually",""
"Banksia benthamiana","months_flowering_range","Nov-Dec","flowering_time","NNNNNNNNNNYY",,"full range",,,,,"text: 'summer appears to be the main season'; chart shows 'fully open' only in Nov (1 record) and Dec (2 records) - THIN SAMPLE, low confidence"
"Banksia benthamiana","months_flowering_peak","Nov-Dec","flowering_time","NNNNNNNNNNYY",,"peak flowering",,,,,"THIN SAMPLE (1-2 records) - low confidence"
"Banksia benthamiana","months_fruiting_cones_present","none evident in chart",,,,,,,,,""
"Banksia blechnifolia","growth_form","shrub","plant_growth_form","shrub",,,37,,100,"usually",""
"Banksia blechnifolia","growth_response","killed, no seedlings and killed, new seedlings","resprouting_capacity","fire_killed",,,1,1,100,,
"Banksia blechnifolia","growth_response","killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,1,1,100,,
"Banksia blechnifolia","growth_response","killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,1,1,100,,
"Banksia blechnifolia","growth_response","killed, no seedlings and killed, new seedlings","bud_bank_location","none",,,1,1,100,,
"Banksia blechnifolia","growth_response","unspecified",,,,,2,,50,,""
"Banksia blechnifolia","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia blechnifolia","flowering_response","minimum time to flowering: 85-96 months","fire_time_from_fire_to_flowering","90.5","minimum",,1,,,,""
"Banksia blechnifolia","flowering_response","not occurred after fire",,,,,1,,,,""
"Banksia blechnifolia","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,1,,,,""
"Banksia blechnifolia","pollinator_type","no pollinator observed",,,,,12,8,,,""
"Banksia blechnifolia","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,4,2,50,"usually",""
"Banksia blechnifolia","pollinator_type","flies","flower_visitor","fly",,,4,2,50,"usually",""
"Banksia blechnifolia","specific_pollinator","ant","flower_visitor","ant",,,4,2,50,"usually",""
"Banksia blechnifolia","specific_pollinator","blowfly","flower_visitor","carrion_fly",,,4,1,25,"commonly",""
"Banksia blechnifolia","months_flowering_range","Jun-Nov","flowering_time","NNNNNYYYYYYN",,"full range",,,,,"text: 'Flowering is mainly in spring although it may begin as early as June'; chart shows 'fully open' bars Jun-Nov"
"Banksia blechnifolia","months_flowering_peak","Sep-Nov","flowering_time","NNNNNNNNYYYN",,"peak flowering",,,,,"DISCREPANCY FLAGGED: text says 'mainly in spring' (Sep-Nov) but the single tallest bar in the chart was July (~70%); reporting the text-based spring peak as primary, chart peak noted here for reference"
"Banksia blechnifolia","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia brownii","growth_form","tree","plant_growth_form","tree",,,18,,56,"usually",""
"Banksia brownii","growth_form","shrub","plant_growth_form","shrub",,,18,,39,"commonly",""
"Banksia brownii","growth_form","unspecified",,,,,18,,5,"rarely",""
"Banksia brownii","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,1,1,100,,
"Banksia brownii","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,1,1,100,,
"Banksia brownii","growth_response","killed, new seedlings","bud_bank_location","none",,,1,1,100,,
"Banksia brownii","growth_response","unspecified",,,,,2,,50,,""
"Banksia brownii","flowering_response","occurred after fire",,,,,2,,,,""
"Banksia brownii","flowering_response","minimum time to flowering: 61-72 months","fire_time_from_fire_to_flowering","66","minimum",,2,,,,""
"Banksia brownii","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia brownii","pollinator_type","no pollinator observed",,,,,2,2,,,""
"Banksia brownii","months_flowering_range","Apr, Jul","flowering_time","NNNYNNYNNNNN",,"full range",,,,,"text: 'Flowering appears to be in winter'; chart shows 'fully open' solid bars in Apr (~100%) and Jul (~100%), plus a small Jan record - THIN SAMPLE (18 total records)"
"Banksia brownii","months_flowering_peak","Apr and Jul (tied)","flowering_time","NNNYNNYNNNNN",,"peak flowering",,,,,"THIN SAMPLE - low confidence"
"Banksia brownii","months_fruiting_cones_present","Aug-Nov","fruiting_time","NNNNNNNYYYYN",,,,,,,"from monthly chart ('fruiting cones present' pattern); moderate confidence"
"Banksia burdettii","growth_form","tree","plant_growth_form","tree",,,81,,17,"occasionally",""
"Banksia burdettii","growth_form","shrub","plant_growth_form","shrub",,,81,,26,"commonly",""
"Banksia burdettii","growth_form","unspecified",,,,,81,,57,"usually",""
"Banksia burdettii","growth_response","unspecified",,,,,1,,100,,""
"Banksia burdettii","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia burdettii","flowering_response","minimum time to flowering: 49-60 months","fire_time_from_fire_to_flowering","54.5","minimum",,1,,,,""
"Banksia burdettii","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia burdettii","pollinator_type","bird","flower_visitor","bird",,,2,2,100,"usually",""
"Banksia burdettii","specific_pollinator","Brown Honeyeater","flower_visitor","honeyeater",,,2,1,50,"usually",""
"Banksia burdettii","months_flowering_range","Jan-Apr","flowering_time","YYYYNNNNNNNN",,"full range",,,,,"from monthly chart ('fully open' bars, Jan/Feb 100%, Apr ~15%); a small secondary record in Aug also shows partial 'fully open'. NOTE: Discussion text states 'Flowering is in summer and early autumn' which matches Jan-Apr well"
"Banksia burdettii","months_flowering_peak","Jan-Feb","flowering_time","YYNNNNNNNNNN",,"peak flowering",,,,,"chart shows Jan and Feb both at 100% 'fully open'"
"Banksia burdettii","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia caleyi","growth_form","tree","plant_growth_form","tree",,,100,,2,"rarely",""
"Banksia caleyi","growth_form","shrub","plant_growth_form","shrub",,,100,,95,"usually",""
"Banksia caleyi","growth_form","unspecified",,,,,100,,3,"rarely",""
"Banksia caleyi","growth_response","killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,2,2,100,,
"Banksia caleyi","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,2,1,50,,
"Banksia caleyi","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,2,1,50,,
"Banksia caleyi","growth_response","killed, new seedlings; killed, no seedlings","bud_bank_location","none",,,2,2,100,,
"Banksia caleyi","growth_response","unspecified",,,,,3,,33,,""
"Banksia caleyi","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia caleyi","flowering_response","median time to flowering: 25-36 months","fire_time_from_fire_to_flowering","30.5","median",,1,,,,""
"Banksia caleyi","flowering_response","not occurred after fire",,,,,1,,,,""
"Banksia caleyi","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,1,,,,""
"Banksia caleyi","pollinator_type","no pollinator observed",,,,,29,28,,,""
"Banksia caleyi","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,1,1,100,"usually",""
"Banksia caleyi","specific_pollinator","ant","flower_visitor","ant",,,1,1,100,"usually",""
"Banksia caleyi","months_flowering_range","Sep-Jan","flowering_time","YNNNNNNNYYYY",,"full range",,,,,"text: 'Flowering is from September to January'"
"Banksia caleyi","months_flowering_peak","Nov-Dec","flowering_time","NNNNNNNNNNYY",,"peak flowering",,,,,"from monthly chart ('fully open' bars: Nov ~75%, Dec ~85%, tallest of the season)"
"Banksia caleyi","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia candolleana","growth_form","shrub","plant_growth_form","shrub",,,95,,99,"usually",""
"Banksia candolleana","growth_form","unspecified",,,,,95,,1,"rarely",""
"Banksia candolleana","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","fire_killed",,,10,1,10,,
"Banksia candolleana","growth_response","ground resprout; ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,10,10,100,,
"Banksia candolleana","growth_response","ground resprout and killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,10,1,10,,
"Banksia candolleana","growth_response","ground resprout; ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,10,10,100,,
"Banksia candolleana","growth_response","unspecified",,,,,15,,33,,""
"Banksia candolleana","flowering_response","occurred after fire",,,,,10,,,,""
"Banksia candolleana","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,10,,,,""
"Banksia candolleana","flowering_response","minimum time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","minimum",,10,,,,""
"Banksia candolleana","flowering_response","not occurred after fire",,,,,3,,,,""
"Banksia candolleana","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,3,,,,""
"Banksia candolleana","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,3,,,,""
"Banksia candolleana","pollinator_type","no pollinator observed",,,,,26,23,,,""
"Banksia candolleana","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,3,3,100,"usually",""
"Banksia candolleana","specific_pollinator","ant","flower_visitor","ant",,,3,2,67,"usually",""
"Banksia candolleana","specific_pollinator","European honey bee","flower_visitor","honeybee",,,3,1,33,"commonly",""
"Banksia candolleana","months_flowering_range","Mar-Jul, plus a single Dec record","flowering_time","NNYYYYYNNNNY",,"full range",,,,,"text: 'Flowering is from March to July. There is also a single record of flowering in December'"
