Species,Replicate,Root fresh mass (g),Root projected area (mm2),Root perimeter (mm),Root dry mass (g),Root Dry Matter Content (RDMC: dry mass / fresh mass),Specific Root Area (SRA: root surface area / dry mass) (mm2.g-1),Total root length (cm) ,Specific Root Length (SRL: root length/root dry weight) (cm.g-1),Root Projected Area (cm2),Root Surface Area (cm2) [winrhizo],Average root diameter (cm),Total root volume (cm3),Number of root tips,Number of root forks,fine:coarse root ratio (volume of fine root (<0.5mm diametre) / volume of coarse root (>0.5mm diametre))
Hypochaeris radicata,3,0.1242,560.41,3016.9,0.0158,0.127214171,11.34208861,191.6804,12132,5.7043,17.9205,0.0298,0.133,114,370,1.094191523
Joycea pallida,1,0.148,516.11,2158,0.0439,0.296621622,3.736651481,111.2149,2533,5.2215,16.4039,0.048,0.197,312,598,0.794895169
Joycea pallida,2,0.1064,580.81,3437.1,0.0286,0.268796992,6.540804196,167.575,5859,5.9545,18.7067,0.036,0.168,486,822,1.266487214
Joycea pallida,3,0.1914,911.82,4869.6,0.0461,0.240856844,6.350412148,267.9059,5811,9.3186,29.2754,0.0349,0.256,701,1583,1.095159967
Lomandra filiformis,1,0.1849,336.69,1442.1,0.0306,0.165494862,3.464281046,66.8316,2184,3.3743,10.6007,0.0505,0.134,66,92,0.444924406
Lomandra filiformis,2,0.1865,310.36,1222.5,0.044,0.235924933,2.216181818,59.414,1350,3.1039,9.7512,0.0527,0.128,93,134,0.268509378
Lomandra filiformis,3,0.1233,390.6,1971,0.0316,0.256285483,3.92056962,99.487,3148,3.9436,12.389,0.0396,0.123,111,198,1.018092105
Plantago varia,1,0.3117,332.19,1089.3,0.05,0.160410651,2.09814,52.3535,1047,3.3393,10.4907,0.0639,0.168,53,100,0.099737533
Plantago varia,2,0.2004,275.04,1049,0.0346,0.172654691,2.508901734,50.9898,1474,2.7632,8.6808,0.0545,0.118,55,133,0.179461615
Plantago varia,3,0.4027,381.79,1299.7,0.0588,0.146014403,2.049217687,62.7797,1068,3.8354,12.0494,0.0613,0.185,52,87,0.119466343
Poa labillardieri,1,0.0439,465.47,4648,0.0212,0.482915718,6.920707547,221.9547,10470,4.6702,14.6719,0.0211,0.077,771,1454,1.227665706
Poa labillardieri,2,0.0204,250.55,1750,0.0102,0.5,7.865980392,89.1209,8737,2.5539,8.0233,0.0291,0.058,302,628,0.90228013
Poa labillardieri,3,0.0548,560.39,4965.8,0.0164,0.299270073,11.12335366,246.8434,15051,5.8067,18.2423,0.0236,0.107,579,1350,1.457665904
Themeda australis,1,0.0306,168.63,907.85,0.0079,0.258169935,6.790506329,44.4586,5628,1.7076,5.3645,0.0385,0.052,165,200,0.27970297
Themeda australis,2,0.161,892.67,4832.1,0.0319,0.198136646,8.91492163,252.9589,7930,9.0523,28.4386,0.0358,0.254,704,1034,0.671484888
Themeda australis,3,0.0681,437.26,3045.9,0.0183,0.268722467,7.700273224,151.1702,8261,4.4855,14.0915,0.0297,0.105,523,873,1.492857143
Trifolium dubium,1,0.0207,242.41,1689.4,0.0032,0.154589372,24.0940625,81.8782,25587,2.4542,7.7101,0.03,0.058,93,198,4.548076923
Trifolium dubium,2,0.0177,180.35,1293.3,0.0036,0.203389831,16.14333333,62.4124,17337,1.8499,5.8116,0.0296,0.043,103,182,2.981481481
Trifolium dubium,3,0.0338,247.08,2175.9,0.0067,0.198224852,11.62238806,103.2594,15412,2.4787,7.787,0.024,0.047,218,352,1.476190476
Trifolium subterraneum,1,0.0444,273.4,1665.7,0.0068,0.153153153,12.80602941,80.5991,11853,2.7719,8.7081,0.0344,0.075,182,358,1.077562327
Trifolium subterraneum,2,0.0637,344.03,2146.1,0.0094,0.147566719,11.96297872,105.9827,11275,3.5795,11.2452,0.0338,0.095,162,305,0.725952813
Trifolium subterraneum,3,0.045,249.57,1496.1,0.0079,0.175555556,10.06,73.7208,9332,2.5297,7.9474,0.0344,0.068,153,331,1.020710059
Vulpia bromoides,1,0.0082,126.6,1100.4,0.0015,0.182926829,27.53866667,52.4629,34975,1.3149,4.1308,0.0251,0.026,376,683,0.703947368
Vulpia bromoides,2,0.0055,140.63,1259.7,0.0013,0.236363636,35.45769231,60.409,46468,1.4673,4.6095,0.0244,0.028,393,698,6.805555556
Vulpia bromoides,3,0.0101,289.16,2773.6,0.0015,0.148514851,64.702,132.2269,88151,3.0893,9.7053,0.0234,0.057,1011,2133,1.469565217
