species,site,specific_leaf_area_mm2/mg,leaf_dry_matter_content_g/g,area_of_leaf_mm2
Calotis cuneifolia,Trangie,25.11,0.181,54
Calotis cuneifolia,Trangie,21.52,0.181,172.6
Calotis cuneifolia,Trangie,24.77,0.173,169.5
Calotis lappulacea,Whooey Tank,24.3,0.168,NA
Calotis lappulacea,Whooey Tank,22.98,0.195,NA
Calotis lappulacea,Whooey Tank,18.1,0.187,NA
Calotis lappulacea,Whooey Tank,22.56,0.191,NA
Calotis lappulacea,Whooey Tank,13.94,0.235,NA
Cassinia laevis,Mallee 2,8.9,0.338,NA
Cassinia laevis,Mallee 2,8.99,0.34,NA
Cassinia laevis,Mallee 2,7.29,0.368,NA
Cassinia laevis,Mallee 2,7.3,0.294,NA
Cassinia laevis,Mallee 2,7.06,0.356,NA
Cheilanthes tenuifolia,Booberoi,9.18,0.231,NA
Cheilanthes tenuifolia,Booberoi,6.52,0.258,NA
Cheilanthes tenuifolia,Booberoi,8.12,0.246,NA
Cheilanthes tenuifolia,Booberoi,9.5,0.257,NA
Cheilanthes tenuifolia,Booberoi,9.85,0.243,NA
Chenopodium desertorum,Whooey Tank,14.9,0.133,NA
Chenopodium desertorum,Whooey Tank,16.2,0.113,NA
Chenopodium desertorum,Whooey Tank,16.36,0.106,NA
Chenopodium desertorum,Whooey Tank,15.15,0.116,NA
Chenopodium desertorum,Whooey Tank,13.27,NA,NA
Chenopodium desertorum microphyllum,Whooey Tank,10.39,0.273,NA
Chenopodium desertorum microphyllum,Whooey Tank,9.35,0.293,NA
Chenopodium desertorum microphyllum,Whooey Tank,9.18,0.282,NA
Chenopodium desertorum microphyllum,Whooey Tank,8.31,0.314,NA
Chenopodium desertorum microphyllum,Whooey Tank,10.05,NA,NA
Chloris truncata,Trangie,20.2,0.327,187.4
Chloris truncata,Trangie,20.7,0.31,140.4
Chloris truncata,Trangie,20.6,0.314,133.9
Chloris truncata,Trangie,25.82,0.267,149.8
Chloris truncata,Trangie,22.2,0.316,179.8
Chloris ventricosa,Trangie,12.28,0.354,NA
Chloris ventricosa,Trangie,10.84,0.341,124.3
Chloris ventricosa,Trangie,11.83,0.294,102.9
Chloris ventricosa,Trangie,9.91,0.368,162.6
Chrysocephalum semipapposum,Hill,14.85,0.256,NA
Chrysocephalum semipapposum,Hill,13.09,0.224,NA
Chrysocephalum semipapposum,Hill,15.73,0.239,NA
Chrysocephalum semipapposum,Hill,12.98,0.221,NA
Chrysocephalum semipapposum,Hill,16.49,NA,NA
Danthonia caespitosa,Booberoi,8.33,0.34,NA
Danthonia caespitosa,Booberoi,7.38,0.342,NA
Danthonia caespitosa,Booberoi,6.78,0.361,NA
Danthonia caespitosa,Booberoi,7.39,0.358,NA
Danthonia caespitosa,Booberoi,6.29,0.401,NA
Danthonia caespitosa,Trangie Cemetery,22.3,0.277,321.6
Danthonia caespitosa,Trangie Cemetery,21.9,0.257,481.7
Danthonia caespitosa,Trangie Cemetery,21.05,0.264,344.7
Danthonia caespitosa,Trangie Cemetery,14.85,0.314,296
Danthonia caespitosa,Trangie Cemetery,21.83,0.27,362.9
Danthonia pilosa,Trangie,13.89,0.315,149.7
Danthonia pilosa,Trangie,16.23,0.311,188.6
Danthonia pilosa,Trangie,17.41,0.321,221.1
Danthonia pilosa,Trangie,18.82,0.292,216.1
Danthonia pilosa,Trangie,19.58,0.283,205.6
Digitaria ammophila,Trangie,19.86,0.226,120.3
Digitaria ammophila,Trangie,17.15,0.255,139.5
Digitaria ammophila,Trangie,24.53,0.196,107.9
Digitaria ammophila,Trangie,19.74,0.226,165.5
Digitaria ammophila,Trangie,20.27,0.214,115.1
Digitaria brownii,Trangie,35.08,0.147,208.4
Digitaria brownii,Trangie,28.64,0.157,391.9
Digitaria brownii,Trangie,25.95,0.199,200.3
Digitaria brownii,Trangie,38.54,0.126,259
Digitaria brownii,Trangie,31.07,0.159,148.5
Digitaria coenicola,Booberoi,16.09,0.292,NA
Digitaria coenicola,Booberoi,15.65,0.262,NA
Digitaria coenicola,Booberoi,17.58,0.266,NA
Digitaria coenicola,Booberoi,21.97,0.235,NA
Digitaria coenicola,Booberoi,15.03,0.26,NA
Digitaria coenicola,Trangie,19.71,0.264,240.5
Digitaria coenicola,Trangie,25.74,0.214,158.5
Digitaria coenicola,Trangie,20,0.258,109.6
Digitaria coenicola,Trangie,17.57,0.352,204.5
Digitaria coenicola,Trangie,21.48,0.25,199.7
Dodonaea viscosa angustissima,Round Hill Camp,7.96,0.303,NA
Dodonaea viscosa angustissima,Round Hill Camp,13.47,0.247,NA
Dodonaea viscosa angustissima,Round Hill Camp,9.01,0.314,NA
Dodonaea viscosa angustissima,Round Hill Camp,11.77,0.245,NA
Dodonaea viscosa angustissima,Round Hill Camp,9.56,0.284,NA
Dodonaea viscosa cuneata,Birdos,12.36,0.302,NA
Dodonaea viscosa cuneata,Birdos,13.06,0.284,NA
Dodonaea viscosa cuneata,Birdos,9.06,0.364,NA
Dodonaea viscosa cuneata,Birdos,8.88,0.388,NA
Dodonaea viscosa cuneata,Birdos,9.54,0.379,NA
Dodonaea viscosa spatulata,Round Hill Camp,12.02,0.315,NA
Dodonaea viscosa spatulata,Round Hill Camp,8.83,0.362,NA
Dodonaea viscosa spatulata,Round Hill Camp,10.62,0.351,NA
Dodonaea viscosa spatulata,Round Hill Camp,11.47,0.344,NA
Dodonaea viscosa spatulata,Round Hill Camp,11.59,0.327,NA
Dodonaea viscosa spatulata,Round Hill Camp,9.78,NA,NA
Einadia nutans,Whooey Tank,16.66,0.1,NA
Einadia nutans,Whooey Tank,23.14,0.067,NA
Einadia nutans,Whooey Tank,11.45,0.109,NA
Einadia nutans,Whooey Tank,17.71,0.098,NA
Einadia nutans,Whooey Tank,16.09,0.095,NA
Enchylaena tomentosa,Whooey Tank,11.23,0.108,NA
Enchylaena tomentosa,Whooey Tank,11.15,0.124,NA
Enchylaena tomentosa,Whooey Tank,9.57,0.121,NA
Enchylaena tomentosa,Whooey Tank,13.21,0.114,NA
Enchylaena tomentosa,Whooey Tank,12.54,0.094,NA
Enneapogon avenaceus,Sturt National Park,12.16,0.322,34.1
Enneapogon avenaceus,Sturt National Park,16.28,0.323,68.8
Enneapogon avenaceus,Sturt National Park,20.76,0.322,64.7
Enneapogon avenaceus,Sturt National Park,24.42,0.271,77.4
Enneapogon avenaceus,Sturt National Park,21.75,0.317,90.7
Enneapogon flavescens,Trangie,11.84,0.327,66.3
Enneapogon flavescens,Trangie,11.04,0.349,81.4
Enneapogon flavescens,Trangie,12.25,0.333,76.2
Enneapogon flavescens,Trangie,14.13,0.333,85.1
Enneapogon flavescens,Trangie,13.89,0.36,72.9
Enteropogon acicularis,Booberoi,14,0.402,NA
Enteropogon acicularis,Booberoi,13.28,0.411,NA
Enteropogon acicularis,Booberoi,12.3,0.394,NA
Enteropogon acicularis,Booberoi,16.82,0.336,NA
Enteropogon acicularis,Trangie,17.07,0.392,286.1
Enteropogon acicularis,Trangie,18.29,0.367,248.1
Enteropogon acicularis,Trangie,18.63,0.375,228.8
Enteropogon acicularis,Trangie,19.42,0.394,227.6
Enteropogon acicularis,Trangie,16.44,0.386,237.1
Eragrostis cilianensis,Trangie,14.85,0.35,53.4
Eragrostis cilianensis,Trangie,14.5,0.363,51.3
Eragrostis cilianensis,Trangie,19.57,0.332,91.6
Eragrostis cilianensis,Trangie,17.98,0.33,65.8
Eragrostis cilianensis,Trangie,21.17,0.315,97.4
Eragrostis eriopoda,Sturt National Park,5.71,0.416,22.2
Eragrostis eriopoda,Sturt National Park,5.47,0.474,30.4
Eragrostis eriopoda,Sturt National Park,7.65,0.455,35.2
Eragrostis eriopoda,Sturt National Park,6.03,0.433,22.8
Eragrostis eriopoda,Sturt National Park,6.02,0.459,33.5
Eragrostis lacunaria,Trangie,14.13,0.361,28.3
Eragrostis lacunaria,Trangie,12.49,0.332,37.7
Eragrostis lacunaria,Trangie,15.49,0.368,26.3
Eragrostis lacunaria,Trangie,12.64,0.366,26.3
Eragrostis lacunaria,Trangie,18.71,0.346,31.1
Eremophila glabra,Birdos,10.88,0.226,NA
Eremophila glabra,Birdos,6.25,0.3,NA
Eremophila glabra,Birdos,8.76,0.258,NA
Eremophila glabra,Birdos,7.36,0.282,NA
Eremophila glabra,Birdos,7.05,0.28,NA
Eremophila longifolia,Whooey Tank,6.98,0.274,NA
Eremophila longifolia,Whooey Tank,6.85,0.29,NA
Eremophila longifolia,Whooey Tank,4.91,0.348,NA
Eremophila longifolia,Whooey Tank,6.39,0.283,NA
Eremophila longifolia,Whooey Tank,4.67,0.36,NA
Erodium cygnorum,Trangie,27.15,0.164,744.9
Erodium cygnorum,Trangie,25.62,0.16,577.2
Erodium cygnorum,Trangie,22.41,0.16,702.4
Erodium cygnorum,Trangie,20.17,0.18,418.2
Erodium cygnorum,Trangie,26.86,0.162,341.1
Eutaxia microphylla,Bay Area,13.46,0.429,NA
Eutaxia microphylla,Bay Area,11.95,0.471,NA
Eutaxia microphylla,Bay Area,9.18,0.458,NA
Eutaxia microphylla,Bay Area,11.38,0.401,NA
Eutaxia microphylla,Bay Area,14.22,0.42,NA
Gonocarpus elatus,Micromyrtus,15.98,0.244,NA
Gonocarpus elatus,Micromyrtus,11.2,0.278,NA
Gonocarpus elatus,Micromyrtus,12.02,0.291,NA
Gonocarpus elatus,Micromyrtus,11.37,0.301,NA
Gonocarpus elatus,Micromyrtus,14.11,0.25,NA
Grevillea anethifolia,Lake Road,4.77,0.466,NA
Grevillea anethifolia,Lake Road,4.05,0.493,NA
Grevillea anethifolia,Lake Road,3.87,0.495,NA
Grevillea anethifolia,Lake Road,4.06,0.502,NA
Grevillea anethifolia,Lake Road,4.23,0.476,NA
Grevillea anethifolia,Lake Road,3.19,NA,NA
Hakea tephrosperma,Whooey Tank,2.45,0.533,NA
Hakea tephrosperma,Whooey Tank,2.22,0.548,NA
Hakea tephrosperma,Whooey Tank,2.03,0.565,NA
Hakea tephrosperma,Whooey Tank,1.8,0.525,NA
Hakea tephrosperma,Whooey Tank,2.22,0.565,NA
Hordeum leporinum,Trangie,39.6,0.171,175.2
Hordeum leporinum,Trangie,37.97,0.189,212.7
Hordeum leporinum,Trangie,37.65,0.198,151.9
Hordeum leporinum,Trangie,37.13,0.184,106.4
Hordeum leporinum,Trangie,35.41,0.221,105.1
Lomandra leucocephala subsp robusta,Mallee 1,3.21,0.521,NA
Lomandra leucocephala subsp robusta,Mallee 1,3.06,0.538,NA
Lomandra leucocephala subsp robusta,Mallee 1,3.03,0.527,NA
Lomandra leucocephala subsp robusta,Mallee 1,2.81,0.528,NA
Lomandra leucocephala subsp robusta,Mallee 1,2.97,0.533,NA
Micromyrtus sessilis,Micromyrtus,10.63,0.451,NA
Micromyrtus sessilis,Micromyrtus,12.4,0.447,NA
Micromyrtus sessilis,Micromyrtus,12.81,0.419,NA
Micromyrtus sessilis,Micromyrtus,9.71,0.501,NA
Micromyrtus sessilis,Micromyrtus,11.04,0.42,NA
Minuria leptophylla,Whooey Tank,21.07,0.138,NA
Minuria leptophylla,Whooey Tank,19.91,0.147,NA
Minuria leptophylla,Whooey Tank,23.87,0.129,NA
Minuria leptophylla,Whooey Tank,22.15,0.131,NA
Minuria leptophylla,Whooey Tank,20.69,0.133,NA
Monachather paradoxa,Barrier Hwy 1,14.49,0.249,412.5
Monachather paradoxa,Barrier Hwy 1,12.61,0.328,219.3
Monachather paradoxa,Barrier Hwy 1,12.77,0.287,319.2
Monachather paradoxa,Barrier Hwy 1,13.47,0.286,477.5
Monachather paradoxa,Barrier Hwy 1,11.77,0.328,314.3
Olearia pimeleoides,Mallee 2,14.11,0.25,NA
Olearia pimeleoides,Mallee 2,9.55,0.315,NA
Olearia pimeleoides,Mallee 2,12.24,0.256,NA
Olearia pimeleoides,Mallee 2,15.13,0.221,NA
Olearia pimeleoides,Mallee 2,14.82,0.232,NA
Panicum effusum,Trangie,9.76,0.42,NA
Panicum effusum,Trangie,15.71,0.327,194.8
Panicum effusum,Trangie,14.07,0.328,267.4
Panicum queenslandicum var queenslandicum,Booberoi,12.28,0.355,NA
Panicum queenslandicum var queenslandicum,Booberoi,15.52,0.33,NA
Panicum queenslandicum var queenslandicum,Booberoi,16.09,0.335,NA
Panicum queenslandicum var queenslandicum,Booberoi,15.74,0.323,NA
Panicum queenslandicum var queenslandicum,Booberoi,13.18,0.335,NA
Paspalidium constrictum,Trangie Paddock,30.94,0.206,95.9
Paspalidium constrictum,Trangie Paddock,25.53,0.209,137.9
Paspalidium constrictum,Trangie Paddock,24.76,0.235,88.3
Paspalidium constrictum,Trangie Paddock,21.93,0.28,84.8
Paspalidium constrictum,Trangie Cemetery,25.04,0.234,169.3
Paspalidium constrictum,Trangie Cemetery,33.91,0.201,175
Paspalidium constrictum,Trangie Cemetery,31.81,0.201,157.1
Paspalidium constrictum,Trangie Cemetery,20.65,0.233,122.2
Paspalidium constrictum,Trangie Cemetery,24.2,0.259,140.3
Pimelea microcephala,Birdos,14.97,0.174,NA
Pimelea microcephala,Birdos,15.41,0.19,NA
Pimelea microcephala,Birdos,16.52,0.177,NA
Pimelea microcephala,Birdos,14.54,0.222,NA
Pimelea microcephala,Birdos,16.56,0.184,NA
Rhagodia spinescens,Booberoi,10.48,0.173,NA
Rhagodia spinescens,Booberoi,13,0.127,NA
Rhagodia spinescens,Booberoi,9.3,0.155,NA
Rhagodia spinescens,Booberoi,8.72,0.202,NA
Rhagodia spinescens,Booberoi,11.49,0.155,NA
Sclerolaena diacantha,Whooey Tank,8.3,0.138,NA
Sclerolaena diacantha,Whooey Tank,9.2,0.124,NA
Sclerolaena diacantha,Whooey Tank,8.72,0.123,NA
Sclerolaena diacantha,Whooey Tank,8.62,0.13,NA
Sclerolaena diacantha,Whooey Tank,7.57,0.126,NA
Senna artemisioides,Birdos,3.76,0.388,NA
Senna artemisioides,Birdos,4.57,0.35,NA
Senna artemisioides,Birdos,3.29,0.398,NA
Senna artemisioides,Birdos,4.21,0.375,NA
Senna artemisioides,Birdos,3.9,0.374,NA
Sida cunninghamii,Whooey Tank,6.59,0.288,NA
Sida cunninghamii,Whooey Tank,7.58,0.259,NA
Sida cunninghamii,Whooey Tank,8.75,0.249,NA
Sida cunninghamii,Whooey Tank,8.15,0.262,NA
Sida cunninghamii,Whooey Tank,7.55,0.269,NA
Solanum ellipticum,Whooey Tank,13.66,0.156,NA
Solanum ellipticum,Whooey Tank,11.32,0.154,NA
Solanum ellipticum,Whooey Tank,10.83,0.139,NA
Solanum ellipticum,Whooey Tank,9.4,0.169,NA
Solanum ellipticum,Whooey Tank,9.31,0.167,NA
Solanum ferocissimum,Hill,20.97,0.173,NA
Solanum ferocissimum,Hill,11.84,0.23,NA
Solanum ferocissimum,Hill,14.91,0.203,NA
Solanum ferocissimum,Hill,14.25,0.225,NA
Solanum ferocissimum,Hill,13.59,0.241,NA
Spartothamnella puberula,Birdos,12.36,0.381,NA
Spartothamnella puberula,Birdos,10.67,0.383,NA
Spartothamnella puberula,Birdos,11.45,0.354,NA
Spartothamnella puberula,Birdos,11.52,0.372,NA
Spartothamnella puberula,Birdos,12.03,NA,NA
Sporobolus caroli,Trangie,23.45,0.287,180.4
Sporobolus caroli,Trangie,20.92,0.288,578.5
Sporobolus caroli,Trangie,20.39,0.29,354.7
Sporobolus caroli,Trangie,15.85,0.318,NA
Stipa aristiglumis,Trangie,20.2,0.251,36
Stipa aristiglumis,Trangie,17.06,0.277,71.1
Stipa aristiglumis,Trangie,19.22,0.262,127.2
Stipa aristiglumis,Trangie,17.65,0.27,353.1
Stipa aristiglumis,Trangie,21.64,0.279,385.8
Stipa bigeniculata,Trangie,8.73,0.334,NA
Stipa bigeniculata,Trangie,10.59,0.347,818
Stipa bigeniculata,Trangie,14.3,0.341,NA
Stipa bigeniculata,Trangie,11.2,0.347,1408
Stipa bigeniculata,Trangie,11.35,0.321,899.8
Stipa elegantissima,Trangie Cemetery,14.05,0.324,35.1
Stipa elegantissima,Trangie Cemetery,18.82,0.329,59.1
Stipa elegantissima,Trangie Cemetery,17.43,0.25,NA
Stipa elegantissima,Trangie Cemetery,27.28,0.258,94.4
Stipa elegantissima,Trangie Cemetery,22.22,0.258,110.5
Stipa elegantissima,Trangie Cemetery,29.8,0.255,121
Stipa falcata,Trangie,9.46,0.371,159.2
Stipa falcata,Trangie,8.25,0.362,182.7
Stipa falcata,Trangie,11.73,0.364,167.7
Stipa falcata,Trangie,11.04,0.391,202.6
Stipa falcata,Trangie,8.91,0.373,407.7
Stipa setacea,Trangie,10.45,0.358,57.3
Stipa setacea,Trangie,8.37,0.373,88.4
Stipa setacea,Trangie,8.34,0.389,88.4
Stipa setacea,Trangie,9.39,0.38,87.9
Stipa setacea,Trangie,8.92,0.407,108.5
Stipa variabilis,Barrier Hwy 2,9.13,0.361,86.4
Stipa variabilis,Barrier Hwy 2,9.4,0.397,97.6
Stipa variabilis,Barrier Hwy 2,9.55,0.357,98.3
Stipa variabilis,Barrier Hwy 2,9.26,0.381,121.0
Stipa variabilis,Barrier Hwy 2,8.22,0.415,138.2
Themeda triandra,Booberoi,11.93,0.376,NA
Themeda triandra,Booberoi,11.46,0.385,NA
Themeda triandra,Booberoi,11.66,0.371,NA
Themeda triandra,Booberoi,9.37,0.415,NA
Themeda triandra,Trangie Cemetery,14.44,0.355,NA
Themeda triandra,Trangie Cemetery,17.36,0.38,NA
Themeda triandra,Trangie Cemetery,13.99,0.376,703.2
Themeda triandra,Trangie Cemetery,12.95,0.34,479.9
Themeda triandra,Trangie Cemetery Lawn,22,0.305,228.8
Themeda triandra,Trangie Cemetery Lawn,19.31,0.31,262.6
Themeda triandra,Trangie Roadside,17.53,0.318,239.5
Themeda triandra,Trangie Roadside,18.43,0.336,1083.4
Themeda triandra,Trangie Roadside,10.24,0.351,479.4
Themeda triandra,Trangie Roadside,15.05,0.337,730.5
Thyridolepis mitchelliana,Whooey Tank,18.62,0.312,NA
Thyridolepis mitchelliana,Whooey Tank,18.22,0.318,NA
Thyridolepis mitchelliana,Whooey Tank,17.16,0.308,NA
Thyridolepis mitchelliana,Whooey Tank,15.32,0.354,NA
Thyridolepis mitchelliana,Whooey Tank,15.22,0.338,NA
Thyridolepis mitchelliana,Trangie,17.66,0.302,81.1
Thyridolepis mitchelliana,Trangie,17.78,0.303,108.1
Thyridolepis mitchelliana,Trangie,16.02,0.298,79.4
Thyridolepis mitchelliana,Trangie,14.44,0.336,128.2
Thyridolepis mitchelliana,Trangie,15.6,0.344,56.2
Thyridolepis mitchelliana,Barrier Hwy 1,21.91,0.238,113.2
Thyridolepis mitchelliana,Barrier Hwy 1,21.33,0.269,124.8
Thyridolepis mitchelliana,Barrier Hwy 1,21.02,0.289,186.2
Thyridolepis mitchelliana,Barrier Hwy 1,19.2,0.330,78.7
Thyridolepis mitchelliana,Barrier Hwy 1,19.73,0.304,104.9
Vittadinia cuneata,Whooey Tank,19.92,0.24,NA
Vittadinia cuneata,Whooey Tank,25.83,0.217,NA
Vittadinia cuneata,Whooey Tank,19.25,0.244,NA
Vittadinia cuneata,Whooey Tank,21.44,0.224,NA
Vittadinia cuneata,Whooey Tank,23.66,0.231,NA
Vittadinia triloba,Mallee 2,23.49,0.26,NA
Vittadinia triloba,Mallee 2,24.35,0.238,NA
Vittadinia triloba,Mallee 2,17.8,0.282,NA
Vittadinia triloba,Mallee 2,15.27,0.31,NA
Vittadinia triloba,Mallee 2,18.02,0.302,NA
Vulpia bromoides,Trangie,27.44,0.229,18.5
Vulpia bromoides,Trangie,41.29,0.181,38.5
