Species,tree,branch,Id,leaves_1st,leaves_dead_2,leaves_new_2,leaves_2nd,leaves_dead_3,leaves_new_3,leaves_end,dead_all,new_all,turnover,lifespan,lifespan_birth,diam_1,diam_1.end,diam_2,diam_2.end,diam_3,diam_3.end,branch_start,branch_end
CA,_d,1,CA_d_1,64,9,4,59,4,4,59,13,8,0.203125,4.923076923,8,9.21,9.56,6.12,6.34,,,15.33,15.9
CA,_d,2,CA_d_2,77,14,6,69,2,8,75,16,14,0.207792208,4.8125,5.5,7.05,7.02,2.53,2.35,5.95,6,15.53,15.37
CA,_d,3,CA_d_3,84,7,2,79,6,12,85,13,14,0.154761905,6.461538462,6,7.43,7.58,3.8,3.8,5.87,5.9,17.1,17.28
CA,_e,1,CA_e_1,55,5,7,57,8,12,61,13,19,0.236363636,4.230769231,2.894736842,7.61,7.74,6.5,6.77,5.35,5.44,19.46,19.95
CA,_e,2,CA_e_2,48,4,1,45,9,15,51,13,16,0.270833333,3.692307692,3,6.15,6.93,3.51,3.6,5.21,5.52,14.87,16.05
CS,_a,1,CS_a_1,38,5,7,40,7,22,55,12,29,0.315789474,3.166666667,1.310344828,4.4,4.71,3.51,3.54,3.65,3.8,11.56,12.05
CS,_a,2,CS_a_2,30,3,3,30,6,29,53,9,32,0.3,3.333333333,0.9375,5.53,5.45,2.65,2.69,5.88,5.9,14.06,14.04
CS,_a,3,CS_a_3,40,4,14,50,7,12,55,11,26,0.275,3.636363636,1.538461538,4.82,5.24,7.44,7.47,3.35,3.48,15.61,16.19
CS,_b,1,CS_b_1,41,9,3,35,35,0,0,44,3,,,13.66666667,5.78,5.78,,,,,5.78,5.78
CS,_b,2,CS_b_2,29,5,8,32,9,14,37,14,22,0.482758621,2.071428571,1.318181818,3.78,3.8,,,,,3.78,3.8
CS,_c,1,CS_c_1,19,0,2,21,10,8,19,10,10,0.526315789,1.9,1.9,3.56,3.75,7.47,7.55,,,11.03,11.3
CS,_c,2,CS_c_2,35,7,4,32,10,6,28,17,10,0.485714286,2.058823529,3.5,4.42,4.72,5.51,5.62,2.82,3,12.75,13.34
CS,_c,3,CS_c_3,17,0,4,21,5,6,22,5,10,0.294117647,3.4,1.7,3.86,4.24,7.16,7.46,,,11.02,11.7
CS,_d,1,CS_d_1,65,10,10,65,11,50,104,21,60,0.323076923,3.095238095,1.083333333,8.66,9.43,6.16,6.46,4.06,4.35,18.88,20.24
CS,_d,2,CS_d_2,39,14,2,27,7,25,45,21,27,0.538461538,1.857142857,1.444444444,4.42,4.68,2.87,2.94,,,7.29,7.62
CS,_e,1,CS_e_1,101,9,0,92,30,25,87,39,25,0.386138614,2.58974359,4.04,7.92,7.94,5.87,5.87,,,13.79,13.81
EH,_a,1,EH_a_1,34,3,0,31,17,10,24,20,10,0.588235294,1.7,3.4,7.89,7.91,3.31,3.34,5.42,5.62,16.62,16.87
EH,_a,2,EH_a_2,11,0,3,14,3,9,20,3,12,0.272727273,3.666666667,0.916666667,6.22,5.93,3.79,4.7,,,10.01,10.63
EH,_b,1,EH_b_1,26,3,0,23,2,3,24,5,3,0.192307692,5.2,8.666666667,22.69,23.29,5.41,5.96,3.02,3.36,31.12,32.61
EH,_b,2,EH_b_2,26,2,6,30,3,12,39,5,18,0.192307692,5.2,1.444444444,21.05,22.11,7.85,7.81,6.25,6.32,35.15,36.24
EH,_c,1,EH_c_1,24,3,0,21,6,20,35,9,20,0.375,2.666666667,1.2,30.61,33.03,7.91,8.52,4.61,5.72,43.13,47.27
EH,_c,2,EH_c_2,30,4,1,27,9,9,27,13,10,0.433333333,2.307692308,3,5.89,6.52,,,,,5.89,6.52
EH,_c,3,EH_c_3,36,1,2,37,6,13,44,7,15,0.194444444,5.142857143,2.4,9.16,9.61,5.85,5.94,,,15.01,15.55
EH,_d,1,EH_d_1,52,15,0,37,14,29,52,29,29,0.557692308,1.793103448,1.793103448,9.02,9.41,5.31,5.25,5.08,5.07,19.41,19.73
EH,_d,2,EH_d_2,32,2,0,30,6,6,30,8,6,0.25,4,5.333333333,5.17,5.97,,,,,5.17,5.97
EH,_e,1,EH_e_1,49,5,3,47,16,27,58,21,30,0.428571429,2.333333333,1.633333333,7.66,9.16,5.34,6.12,7.88,8.61,20.88,23.89
EH,_e,2,EH_e_2,36,4,9,41,13,20,48,17,29,0.472222222,2.117647059,1.24137931,10.49,10.22,6.45,7.1,6.71,8,23.65,25.32
EP,_a,1,EP_a_1,61,14,2,49,17,10,42,31,12,0.508196721,1.967741935,5.083333333,9.63,10.05,8.6,9.06,4.36,4.43,22.59,23.54
EP,_a,2,EP_a_2,66,13,1,54,4,5,55,17,6,0.257575758,3.882352941,11,11.57,11.16,7.65,7.73,,,19.22,18.89
EP,_a,3,EP_a_3,142,25,22,139,6,47,180,31,69,0.218309859,4.580645161,2.057971014,10.55,11.78,7.95,8.06,6.61,6.59,25.11,26.43
EP,_b,1,EP_b_1,36,5,5,36,8,15,43,13,20,0.361111111,2.769230769,1.8,8.07,8.75,5.71,6.4,3.23,4.61,17.01,19.76
EP,_b,2,EP_b_2,35,1,4,38,5,13,46,6,17,0.171428571,5.833333333,2.058823529,7.84,8.47,5.23,7.18,3.02,6.33,16.09,21.98
EP,_c,1,EP_c_1,42,7,11,46,9,1,38,16,12,0.380952381,2.625,3.5,5.72,5.84,,,,,5.72,5.84
EP,_c,2,EP_c_2,36,14,13,35,11,0,24,25,13,0.694444444,1.44,2.769230769,10.73,11.91,7.53,7.34,5.54,6.08,23.8,25.33
EP,_d,1,EP_d_1,112,16,2,98,22,0,76,38,2,0.339285714,2.947368421,56,7.19,7.54,5.95,5.74,,,13.14,13.28
EP,_e,1,EP_e_1,41,2,8,47,13,0,34,15,8,0.365853659,2.733333333,5.125,6.49,7.45,5.09,5.26,3.64,3.81,15.22,16.52
EP,_e,2,EP_e_2,64,1,4,67,5,13,75,6,17,0.09375,10.66666667,3.764705882,6.28,7.97,6.28,6.84,3.58,4.55,16.14,19.36
ES,_a,1,ES_a_1,81,15,0,66,15,27,78,30,27,0.37037037,2.7,3,7.11,7.38,6.62,7.19,3.57,3.78,17.3,18.35
ES,_a,2,ES_a_2,75,2,3,76,19,1,58,21,4,0.28,3.571428571,18.75,6.31,6.74,5.71,5.9,3.53,3.7,15.55,16.34
ES,_b,1,ES_b_1,70,5,3,68,2,18,84,7,21,0.1,10,3.333333333,5.25,6.05,3.98,4.15,,,9.23,10.2
ES,_b,2,ES_b_2,52,5,5,52,2,1,51,7,6,0.134615385,7.428571429,8.666666667,4.74,5.76,6.66,7.29,,,11.4,13.05
ES,_c,1,ES_c_1,49,7,0,42,10,5,37,17,5,0.346938776,2.882352941,9.8,4.54,4.72,3.45,3.54,2.2,2.63,10.19,10.89
ES,_c,2,ES_c_2,35,1,2,36,3,16,49,4,18,0.114285714,8.75,1.944444444,4.02,4.95,2.48,2.71,1.6,2.14,8.1,9.8
ES,_d,1,ES_d_1,21,3,0,18,1,11,28,4,11,0.19047619,5.25,1.909090909,3.64,3.96,2.22,2.37,,,5.86,6.33
ES,_d,2,ES_d_2,25,1,0,24,2,7,29,3,7,0.12,8.333333333,3.571428571,4.01,4.12,4.94,5.07,,,8.95,9.19
ES,_e,1,ES_e_1,28,0,0,28,3,0,25,3,0,0.107142857,9.333333333,,4.47,3.87,3,3.15,,,7.47,7.02
ES,_e,2,ES_e_2,41,0,0,41,5,58,94,5,58,0.12195122,8.2,0.706896552,3.6,4.18,2.87,4.01,1.85,2.03,8.32,10.22
LP,_a,1,LP_a_1,210,88,28,150,54,140,236,142,168,0.676190476,1.478873239,1.25,2.13,3.15,1.69,2.02,,,3.82,5.17
LP,_a,2,LP_a_2,102,21,17,98,98,0,0,119,17,1.166666667,0.857142857,6,1.22,1.22,,,,,1.22,1.22
LP,_b,1,LP_b_1,321,29,41,333,161,570,742,190,611,0.591900312,1.689473684,0.525368249,1.68,2.34,,,,,1.68,2.34
LP,_b,2,LP_b_2,128,15,10,123,61,56,118,76,66,0.59375,1.684210526,1.939393939,2.18,2.94,1.53,1.73,,,3.71,4.67
LP,_c,1,LP_c_1,419,63,50,406,112,333,627,175,383,0.417661098,2.394285714,1.093994778,2.51,3.44,1.69,1.89,,,4.2,5.33
LP,_c,2,LP_c_2,217,14,21,224,113,162,273,127,183,0.585253456,1.708661417,1.18579235,2.73,3.69,1.55,2.18,,,4.28,5.87
LP,_d,1,LP_d_1,478,77,67,468,257,67,278,334,134,0.69874477,1.431137725,3.567164179,1.91,2.04,2.05,2.38,,,3.96,4.42
LP,_d,2,LP_d_2,394,28,59,425,263,177,339,291,236,0.73857868,1.35395189,1.669491525,2.04,2.73,2.33,3.07,,,4.37,5.8
LP,_e,1,LP_e_1,299,34,62,327,108,781,1000,142,843,0.474916388,2.105633803,0.354685647,1.85,3.37,1.18,2.41,,,3.03,5.78
LP,_e,2,LP_e_2,161,27,63,197,60,410,547,87,473,0.540372671,1.850574713,0.34038055,1.71,3.04,2.07,3.16,0.92,2.4,4.7,8.6
PL,_a,1,PL_a_1,278,125,20,173,16,155,312,141,175,0.507194245,1.971631206,1.588571429,5.08,5.2,3.01,3.29,,,8.09,8.49
PL,_a,2,PL_a_2,269,57,7,219,16,134,337,73,141,0.271375465,3.684931507,1.907801418,4.79,5.18,4.19,4.43,3.19,3.59,12.17,13.2
PL,_a,3,PL_a_3,62,14,1,49,8,19,60,22,20,0.35483871,2.818181818,3.1,3.09,2.83,,,,,3.09,2.83
PL,_b,1,PL_b_1,622,191,17,448,29,196,615,220,213,0.353697749,2.827272727,2.920187793,8.5,8.41,5.6,5.68,3.47,3.61,17.57,17.7
PL,_b,2,PL_b_2,589,169,23,443,65,335,713,234,358,0.397283531,2.517094017,1.645251397,8.55,8.65,6.62,7.68,4.1,4.97,19.27,21.3
PL,_c,1,PL_c_1,257,99,65,223,21,95,297,120,160,0.46692607,2.141666667,1.60625,4.36,4.36,5.73,5.95,3.34,3.69,13.43,14
PL,_c,2,PL_c_2,283,73,19,229,12,61,278,85,80,0.300353357,3.329411765,3.5375,4.78,4.63,2.33,2.31,,,7.11,6.94
PL,_d,1,PL_d_1,490,271,15,234,11,26,249,282,41,0.575510204,1.737588652,11.95121951,6.02,6.06,3.87,3.78,,,9.89,9.84
PL,_d,2,PL_d_2,757,254,4,507,52,120,575,306,124,0.404227213,2.473856209,6.10483871,9.13,9.67,,,,,9.13,9.67
PL,_e,1,PL_e_1,751,69,81,763,34,196,925,103,277,0.137150466,7.291262136,2.711191336,7.98,7.68,4.55,4.61,5.93,6,18.46,18.29
PU,_a,1,PU_a_1,58,5,19,72,8,4,68,13,23,0.224137931,4.461538462,2.52173913,5.9,6.51,4.86,5.53,3.37,3.51,14.13,15.55
PU,_a,2,PU_a_2,35,4,3,34,1,0,33,5,3,0.142857143,7,11.66666667,6.56,6.41,4.64,4.92,3.88,3.93,15.08,15.26
PU,_b,1,PU_b_1,48,2,7,53,21,7,39,23,14,0.479166667,2.086956522,3.428571429,5.8,6.41,3.77,3.83,5.5,5.55,15.07,15.79
PU,_c,1,PU_c_1,43,24,31,50,1,1,50,25,32,0.581395349,1.72,1.34375,6.31,6.41,4.6,4.82,,,10.91,11.23
PU,_c,2,PU_c_2,41,12,18,47,2,0,45,14,18,0.341463415,2.928571429,2.277777778,5.64,5.81,3.74,3.74,5.11,5.31,14.49,14.86
PU,_c,3,PU_c_3,69,17,41,93,3,0,90,20,41,0.289855072,3.45,1.682926829,7.72,8.27,4.72,5.02,,,12.44,13.29
PU,_c,4,PU_c_4,119,21,31,129,10,1,120,31,32,0.260504202,3.838709677,3.71875,9.17,9.19,6.35,6.61,4.82,4.86,20.34,20.66
PU,_d,1,PU_d_1,57,23,31,65,9,0,56,32,31,0.561403509,1.78125,1.838709677,7.12,7.2,6.3,6.58,4.6,4.85,18.02,18.63
PU,_e,1,PU_e_1,29,5,8,32,5,0,27,10,8,0.344827586,2.9,3.625,5.8,5.77,3.62,3.87,,,9.42,9.64
PU,_f,1,PU_f_1,43,9,26,60,6,0,54,15,26,0.348837209,2.866666667,1.653846154,6.93,7.24,5.78,6.26,3.44,3.74,16.15,17.24
SA,_a,1,SA_a_1,31,0,1,32,11,3,24,11,4,0.35483871,2.818181818,7.75,9.92,9.79,7.89,8.72,4.85,5.5,22.66,24.01
SA,_b,1,SA_b_1,41,1,0,40,4,16,52,5,16,0.12195122,8.2,2.5625,10.62,10.65,7.86,8.39,4.71,5.04,23.19,24.08
SA,_b,2,SA_b_2,44,0,0,44,5,29,68,5,29,0.113636364,8.8,1.517241379,11.59,12.65,9.22,10.4,5.68,7.24,26.49,30.29
SA,_b,3,SA_b_3,27,1,0,26,3,9,32,4,9,0.148148148,6.75,3,9.7,9.71,3.61,3.85,7.14,7.88,20.45,21.44
SA,_c,1,SA_c_1,37,2,1,36,7,11,40,9,12,0.243243243,4.111111111,3.083333333,10.31,10.54,7.27,8.25,4.33,4.9,21.91,23.69
SA,_c,2,SA_c_2,19,0,0,19,3,49,65,3,49,0.157894737,6.333333333,0.387755102,8.27,11.37,5.28,8.65,,,13.55,20.02
SA,_d,1,SA_d_1,63,1,3,65,21,28,72,22,31,0.349206349,2.863636364,2.032258065,12.64,11.51,8.41,8.61,4.16,6.01,25.21,26.13
SA,_d,2,SA_d_2,33,6,1,28,10,13,31,16,14,0.484848485,2.0625,2.357142857,11.08,11.15,7.94,8.67,3.34,4.85,22.36,24.67
SA,_e,1,SA_e_1,69,3,4,70,4,1,67,7,5,0.101449275,9.857142857,13.8,12.1,12.49,9.03,9.57,6.53,6.97,27.66,29.03
SA,_e,2,SA_e_2,44,4,0,40,2,18,56,6,18,0.136363636,7.333333333,2.444444444,13.44,13.44,4.1,4.13,6.1,6.36,23.64,23.93
SG,_a,1,SG_a_1,158,34,63,187,12,37,212,46,100,0.291139241,3.434782609,1.58,7.89,8.43,3.3,3.38,5.26,5.85,16.45,17.66
SG,_a,2,SG_a_2,62,10,18,70,8,6,68,18,24,0.290322581,3.444444444,2.583333333,5.39,5.46,5.29,5.01,,,10.68,10.47
SG,_b,1,SG_b_1,115,39,48,124,8,32,148,47,80,0.408695652,2.446808511,1.4375,8.15,8.64,4.19,4.25,6.68,6.83,19.02,19.72
SG,_b,2,SG_b_2,55,28,32,59,6,12,65,34,44,0.618181818,1.617647059,1.25,5.7,5.33,4.5,4.99,2.11,2.07,12.31,12.39
SG,_c,1,SG_c_1,88,23,10,75,2,24,97,25,34,0.284090909,3.52,2.588235294,7.5,6.42,3.77,3.78,,,11.27,10.2
SG,_c,2,SG_c_2,88,15,4,77,5,13,85,20,17,0.227272727,4.4,5.176470588,6.73,6.94,5.55,5.92,4.39,4.49,16.67,17.35
SG,_d,1,SG_d_1,79,8,33,104,6,28,126,14,61,0.17721519,5.642857143,1.295081967,6.18,6.43,5.22,5.62,4.21,4.38,15.61,16.43
SG,_d,2,SG_d_2,103,21,20,102,4,54,152,25,74,0.242718447,4.12,1.391891892,6.34,6.68,6.15,6.2,,,12.49,12.88
SG,_e,1,SG_e_1,99,39,30,90,5,17,102,44,47,0.444444444,2.25,2.106382979,6.12,6.55,,,,,6.12,6.55
SO,_a,1,SO_a_1,46,4,12,54,1,3,56,5,15,0.108695652,9.2,3.066666667,4.78,4.66,4.51,4.65,3.45,3.62,12.74,12.93
SO,_a,2,SO_a_2,33,1,6,38,2,2,38,3,8,0.090909091,11,4.125,4.49,4.6,3.36,3.6,,,7.85,8.2
SO,_b,1,SO_b_1,46,3,12,55,10,2,47,13,14,0.282608696,3.538461538,3.285714286,4.69,5.48,3.7,3.73,2.42,2.47,10.81,11.68
SO,_b,2,SO_b_2,79,4,6,81,16,3,68,20,9,0.253164557,3.95,8.777777778,5.34,5.61,3.25,3.33,1.81,1.86,10.4,10.8
SO,_c,1,SO_c_1,28,1,6,33,4,2,31,5,8,0.178571429,5.6,3.5,6.06,6.09,3.42,3.8,,,9.48,9.89
SO,_c,2,SO_c_2,32,3,10,39,1,2,40,4,12,0.125,8,2.666666667,4.86,5.49,2.34,2.62,,,7.2,8.11
SO,_d,1,SO_d_1,38,4,5,39,5,0,34,9,5,0.236842105,4.222222222,7.6,4.67,4.72,3.01,3.04,3.85,3.97,11.53,11.73
SO,_d,2,SO_d_2,40,3,0,37,2,0,35,5,0,0.125,8,,5.18,4.87,2.95,3.36,,,8.13,8.23
SO,_e,1,SO_e_1,39,3,0,36,3,0,33,6,0,0.153846154,6.5,,5.04,4.91,4.11,4.24,2.27,2.45,11.42,11.6
SO,_e,2,SO_e_2,49,2,7,54,5,3,52,7,10,0.142857143,7,4.9,4.74,4.81,4.62,4.76,,,9.36,9.57
SYG,_a,1,SYG_a_1,40,4,7,43,13,13,43,17,20,0.425,2.352941176,2,7.27,7.93,6.06,6.07,5.21,5.21,18.54,19.21
SYG,_a,2,SYG_a_2,39,6,4,37,10,12,39,16,16,0.41025641,2.4375,2.4375,7.62,7.87,5.56,5.82,4.97,5.06,18.15,18.75
SYG,_b,1,SYG_b_1,33,3,2,32,7,9,34,10,11,0.303030303,3.3,3,9.56,9.2,6.59,6.87,6.38,6.44,22.53,22.51
SYG,_b,2,SYG_b_2,21,0,0,21,4,8,25,4,8,0.19047619,5.25,2.625,12.78,14.34,7.2,8.09,5.18,5.89,25.16,28.32
SYG,_b,3,SYG_b_3,20,0,1,21,3,6,24,3,7,0.15,6.666666667,2.857142857,7.26,7.31,10.82,11.63,5.54,5.75,23.62,24.69
SYG,_c,1,SYG_c_1,52,5,6,53,30,4,27,35,10,0.673076923,1.485714286,5.2,8.74,8.67,12.76,13.18,5.8,6.01,27.3,27.86
SYG,_c,2,SYG_c_2,14,0,4,18,3,0,15,3,4,0.214285714,4.666666667,3.5,6.13,6.67,7.76,8.35,6.13,6.67,20.02,21.69
SYG,_c,3,SYG_c_3,25,3,3,25,11,4,18,14,7,0.56,1.785714286,3.571428571,6.47,6.52,4.01,4.08,,,10.48,10.6
SYG,_e,1,SYG_e_1,38,0,3,41,6,22,57,6,25,0.157894737,6.333333333,1.52,9.75,10.8,7.41,8.16,4.53,5.07,21.69,24.03
SYG,_f,1,SYG_f_1,23,0,3,26,7,8,27,7,11,0.304347826,3.285714286,2.090909091,8.45,9.25,5.8,6.03,4.45,4.59,18.7,19.87
TL,_a,1,TL_a_1,49,0,0,49,7,11,53,7,11,0.142857143,7,4.454545455,4.57,4.51,3.49,3.58,,,8.06,8.09
TL,_a,2,TL_a_2,78,6,1,73,4,2,71,10,3,0.128205128,7.8,26,4.35,4.53,3.9,4.15,3.37,3.43,11.62,12.11
TL,_a,3,TL_a_3,77,13,1,65,6,3,62,19,4,0.246753247,4.052631579,19.25,4.33,4.57,1.79,1.91,1.72,1.8,7.84,8.28
TL,_b,1,TL_b_1,37,10,0,27,3,16,40,13,16,0.351351351,2.846153846,2.3125,3.56,3.87,2.67,2.68,,,6.23,6.55
TL,_b,2,TL_b_2,63,2,2,63,3,9,69,5,11,0.079365079,12.6,5.727272727,3.11,3.18,2.39,2.69,1.89,1.87,7.39,7.74
TL,_c,1,TL_c_1,45,8,0,37,3,3,37,11,3,0.244444444,4.090909091,15,2.79,2.81,1.98,1.95,1.67,1.67,6.44,6.43
TL,_c,2,TL_c_2,47,5,0,42,6,1,37,11,1,0.234042553,4.272727273,47,2.8,2.78,2.26,2.39,2.01,2.04,7.07,7.21
TL,_d,1,TL_d_1,40,2,0,38,4,10,44,6,10,0.15,6.666666667,4,2.6,2.66,3.77,3.85,1.92,2.01,8.29,8.52
TL,_d,2,TL_d_2,51,4,2,49,1,28,76,5,30,0.098039216,10.2,1.7,3.65,3.89,2.81,3.22,2.16,2.13,8.62,9.24
TL,_e,1,TL_e_1,74,3,1,72,12,43,103,15,44,0.202702703,4.933333333,1.681818182,4.9,4.96,2.96,3,,,7.86,7.96
TL,_e,2,TL_e_2,74,5,2,71,2,65,134,7,67,0.094594595,10.57142857,1.104477612,4.87,5.12,3.12,3.94,,,7.99,9.06
