Plot,latitude (deg),longitude (deg),description,nutrient status,soil_N,soil_P,soil_Ptot
tree_at_-33.3718_S_and_151.321_E,-33.371804,151.320982,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3718_S_and_151.3211_E,-33.37175698,151.321087,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3722_S_and_151.3211_E,-33.37221597,151.321149,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3722_S_and_151.3212_E,-33.372235,151.321169,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3723_S_and_151.3211_E,-33.37234698,151.321082,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3724_S_and_151.321_E,-33.37236802,151.321017,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3725_S_and_151.3212_E,-33.37247699,151.321234,sclerophyll forest on sandstone,low P,,,
tree_at_-33.374_S_and_151.3234_E,-33.37397098,151.323368,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3741_S_and_151.3243_E,-33.37407399,151.324325,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3741_S_and_151.3244_E,-33.37406502,151.324407,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3741_S_and_151.3245_E,-33.37414498,151.324476,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3742_S_and_151.3237_E,-33.374177,151.323731,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3742_S_and_151.3238_E,-33.37417399,151.323805,sclerophyll forest on sandstone,low P,,,
tree_at_-33.3742_S_and_151.3239_E,-33.37421003,151.323899,sclerophyll forest on sandstone,low P,,,
