species,site,rainfall,soil tex,LMA,SRI_Huw,tip_RML,Psi_mdHuw,Psi_pdHuw,root wood density (g cm-3),stem wood density (g cm-3),leaf size (mm2),max_height_m
Lambertia formosa,ourimbah,high,coarse,214,0.13,15.33,,,0.72,0.75,185,1.9
Leptomeria acida,ourimbah,high,coarse,284.17,0.037,5.65,,,0.63,0.78,94,3.5
Leptospermum parvifolium,ourimbah,high,coarse,142.33,0.014,7.1,,,0.92,0.78,22,2.6
Leucopogon lanceolatus,olney,high,fine,127.33,0.214,0.92,,,0.88,0.71,73,1.75
Melaleuca uncinata,mallee,low,coarse,219.4,0.481,11.24,,,0.8,0.78,26,1.95
Melicope micrococca,olney,high,fine,89.5,0.013,32.79,,,0.7,0.36,7128,3.54
Myoporum  platycarpum,mallee,low,coarse,250.58,0.706,,,,,0.83,314,1.8
Olearia decurrens,mallee,low,coarse,153.8,0.117,17.61,,,0.76,0.82,25,1.85
Olearia pimeleoides,mallee,low,coarse,121,0.154,21.19,,,0.79,0.9,7,1
Oxylobium aciculiferum,olney,high,fine,126.5,0.099,8.8,,,0.71,0.87,67,2.78
Oxylobium ilicifolium,olney,high,fine,150.67,0.089,10.82,,,0.88,0.9,175,2.27
Persoonia isophylla,ourimbah,high,coarse,210,0.364,29.24,,,0.71,0.79,21,1.98
Persoonia levis,ourimbah,high,coarse,244,0.593,15.2,,,0.6,0.67,3575,2.8
Persoonia linearis,olney,high,fine,154,0.488,6.95,,,0.62,0.67,182,3.7
Petrophile pulchella,ourimbah,high,coarse,245.17,0.707,6.03,,,0.54,0.66,331,3.1
Philotheca difformis,mallee,low,coarse,275.2,0.032,18.92,,,0.85,0.95,7,1.2
Philotheca difformis,woodland,low,fine,272.6,,24.01,,,0.86,0.92,6,
Phyllota phylicoides,ourimbah,high,coarse,137.14,0.181,4.49,,,0.59,0.87,10,1.6
Prostanthera incisa,olney,high,fine,40.33,0.093,6.8,,,0.75,0.65,48,1.3
Senna artemisiodes,mallee,low,coarse,321.8,0.145,7.3,,,0.79,0.9,87,1.9
Senna artemisiodes,woodland,low,fine,334.64,0.108,18.69,-4.67,-3.85,0.8,0.86,113,2.03
