species_name,original_name,Tasmania,Tasmania_rounded,Barlow,CPBR,GrassBase,RBGSYD,SAH,TMAG,WAH,Barlow_yes,CPBR_yes,GrassBase_yes,RBGSYD_yes,SAH_yes,TMAG_yes,WAH_yes,sum_matches,plant_height_outcome
Rumex acetosella,Acetosella vulgaris,0.5,0.5,NA,NA,NA,0.3,0.6,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Acianthus caudatus,Acianthus caudatus,0.25,0.25,NA,NA,NA,NA,0.0785,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Acianthus exsertus,Acianthus exsertus,0.24,0.24,NA,NA,NA,NA,0.0835,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Acianthus exsertus,Acianthus pusillus,0.18,0.18,NA,NA,NA,NA,0.0835,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Acrothamnus hookeri,Acrothamnus hookeri,0.5,0.5,NA,NA,NA,0.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acrotriche serrulata,Acrotriche serrulata,0.6,0.6,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Actinotus bellidioides,Actinotus bellidioides,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Actinotus moorei,Actinotus moorei,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Actinotus suffocata,Actinotus suffocatus,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Actites megalocarpus,Actites megalocarpus,0.4,0.4,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,0,0,keep
Adiantum chilense,Adiantum aethiopicum,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Agastachys odorata,Agastachys odorata,8,8,9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Agrostis aemula,Agrostis aemula,0.6,0.6,NA,NA,NA,0.4,0.3125,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Agrostis parviflora,Agrostis aff parviflora,0.35,0.35,NA,NA,NA,0.2665,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Agrostis aff. scabra,Agrostis aff scabra,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Agrostis avenacea,Agrostis avenacea,0.65,0.65,NA,NA,NA,0.46649999999999997,0.4716666666666666,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Agrostis billardierei,Agrostis billardierei,0.75,0.75,NA,NA,0.15000000000000002,0.3335,0.6,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Agrostis venusta,Agrostis venusta,0.4,0.4,NA,NA,NA,0.2665,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Ajuga australis,Ajuga australis,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Allocasuarina littoralis,Allocasuarina littoralis,15,15,10,NA,NA,10,NA,10,NA,0,NA,NA,0,NA,0,NA,0,keep
Allocasuarina monilifera,Allocasuarina monilifera,4,4,2.75,NA,NA,NA,NA,5,NA,0,NA,NA,NA,NA,0,NA,0,keep
Allocasuarina verticillata,Allocasuarina verticillata,10,10,7,NA,NA,7,4.5025,9,NA,0,NA,NA,0,0,0,NA,0,keep
Allocasuarina zephyrea,Allocasuarina zephyrea,6,6,1.25,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,0,NA,0,keep
Almaleea subumbellata,Almaleea subumbellata,1.2,1.2,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Alternanthera sessilis,Alternanthera denticulata,0.4,0.4,NA,NA,NA,NA,NA,0.9,0.3566666666666667,NA,NA,NA,NA,NA,0,0,0,keep
Alyxia buxifolia,Alyxia buxifolia,2,2,NA,NA,NA,0.3335,2,NA,2,NA,NA,NA,0,1,NA,1,2,omit
Ammophila arenaria,Ammophila arenaria,1.2,1.2,NA,NA,NA,0.8,0.63,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Amperea xiphoclada,Amperea xiphoclada var xiphoclada,0.6,0.6,NA,NA,NA,0.4,0.31,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Amphibromus archeri,Amphibromus archeri,1.2,1.2,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,omit
Helictotrichon neesii,Amphibromus neesii,1.5,1.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Helictotrichon recurvatum,Amphibromus recurvatus,1,1,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,0,NA,0,NA,NA,0,keep
Anemone crassifolia,Anemone crassifolia,0.35,0.35,0.215,NA,NA,NA,NA,0.35,NA,0,NA,NA,NA,NA,1,NA,1,omit
Anodopetalum biglandulosum,Anodopetalum biglandulosum,15,15,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,1,NA,1,omit
Anopterus glandulosus,Anopterus glandulosus,10,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,1,omit
Aotus ericoides,Aotus ericoides,2,2,NA,NA,NA,1.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Apalochlamys spectabilis,Apalochlamys spectabilis,2,2,NA,NA,NA,1.5,2,NA,NA,NA,NA,NA,0,1,NA,NA,1,omit
Aphanes australiana,Aphanes australiana,0.1,0.1,NA,NA,NA,0.0615,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Aphelia gracilis,Aphelia gracilis,0.04,0.04,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Aphelia pumilio,Aphelia pumilio,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Apium insulare,Apium insulare,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Apium prostratum,Apium prostratum,1,1,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,0,0,keep
Apodasmia brownii,Apodasmia brownii,1.5,1.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Apteropteris applanata,Apteropteris applanata,0.1375,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Caladenia dilatata,Arachnorchis dilatata,0.35,0.35,NA,NA,NA,NA,0.255,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Archeria comberi,Archeria comberi,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Archeria eriocarpa,Archeria eriocarpa,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Archeria hirtella,Archeria hirtella,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Archeria serpyllifolia,Archeria serpyllifolia,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Argentipallium dealbatum,Argentipallium dealbatum,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Argyrotegium fordianum,Argyrotegium fordianum,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Argyrotegium poliochlorum,Argyrotegium poliochlorum,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Aristotelia peduncularis,Aristotelia peduncularis,4,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,1,omit
Arrhenatherum elatius,Arrhenatherum elatius,1.5,1.5,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Arthropodium milleflorum,Arthropodium milleflorum,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Arthropodium minus,Arthropodium minus,55,55,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Dichopogon strictus,Arthropodium strictum,1,1,0.65,NA,NA,0.6665,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,keep
Asperula conferta,Asperula conferta,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asperula gunnii,Asperula gunnii,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asperula pusilla,Asperula pusilla,0.1,0.1,NA,NA,NA,0.0615,0.05,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Asplenium appendiculatum,Asplenium appendiculatum,0.51,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asplenium bulbiferum,Asplenium bulbiferum,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asplenium flabellifolium,Asplenium flabellifolium,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asplenium flaccidum,Asplenium flaccidum,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asplenium obtusatum,Asplenium obtusatum,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asplenium terrestre,Asplenium terrestre,0.51,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Asplenium trichomanes,Asplenium trichomanes,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Astelia alpina,Astelia alpina,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,omit
Asterotrichion discolor,Asterotrichion discolor,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Astroloma humifusum,Astroloma humifusum,0.5,0.5,NA,NA,NA,0.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Astroloma pinifolium,Astroloma pinifolium,1,1,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Atherosperma moschatum,Atherosperma moschatum subsp moschatum,15,15,30,NA,NA,NA,NA,30,NA,0,NA,NA,NA,NA,0,NA,0,keep
Athrotaxis cupressoides,Athrotaxis cupressoides,20,20,15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Athrotaxis laxifolia,Athrotaxis laxifolia,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Athrotaxis selaginoides,Athrotaxis selaginoides,30,30,27.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Atriplex cinerea,Atriplex cinerea,2,2,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,0,0,NA,0,keep
Atriplex paludosa,Atriplex paludosa,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,omit
Atriplex prostrata,Atriplex prostrata,0.8,0.8,NA,NA,NA,0.5335000000000001,0.5,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Australina pusilla,Australina pusilla,0.6,0.6,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Agropyron brownei,Australopyrum pectinatum,0.9,0.9,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Agropyron velutinum,Australopyrum velutinum,0.5,0.5,NA,NA,NA,0.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Rytidosperma caespitosum,Austrodanthonia caespitosa,0.9,0.9,NA,NA,0.515,0.6665,0.46,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Rytidosperma carphoides,Austrodanthonia carphoides,0.15,0.15,NA,NA,0.3,0.3335,0.20500000000000002,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Rytidosperma diemenicum,Austrodanthonia diemenica,0.35,0.35,NA,NA,0.565,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,keep
Rytidosperma indutum,Austrodanthonia induta,1.2,1.2,NA,NA,0.975,0.8,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Rytidosperma laeve,Austrodanthonia laevis,0.6,0.6,NA,NA,0.4,0.4,0.31,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Rytidosperma penicillatum,Austrodanthonia penicillata,0.3,0.3,NA,NA,0.435,0.5335000000000001,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Rytidosperma pilosum,Austrodanthonia pilosa,0.5,0.5,NA,NA,0.42,0.3335,0.9,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Rytidosperma racemosum,Austrodanthonia racemosa,0.6,0.6,NA,NA,0.38,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,keep
Rytidosperma setaceum,Austrodanthonia setacea,0.5,0.5,NA,NA,0.375,0.46649999999999997,0.305,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Rytidosperma tenuius,Austrodanthonia tenuior,1.2,1.2,NA,NA,0.5650000000000001,0.27849999999999997,0.455,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Austrofestuca littoralis,Austrofestuca littoralis,0.3,0.3,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Stipa aphylla,Austrostipa aphylla,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Stipa bigeniculata,Austrostipa bigeniculata,1,1,NA,NA,NA,0.6665,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Stipa flavescens,Austrostipa flavescens,1.2,1.2,NA,NA,NA,0.8,1.2,NA,NA,NA,NA,NA,0,1,NA,NA,1,omit
Stipa mollis,Austrostipa mollis,0.3,0.3,NA,NA,NA,0.6665,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Stipa nodosa,Austrostipa nodosa,1,1,NA,NA,NA,0.6665,1,NA,NA,NA,NA,NA,0,1,NA,NA,1,omit
Stipa pubinodis,Austrostipa pubinodis,1,1,NA,NA,0.8500000000000001,0.6665,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Stipa rudis,Austrostipa rudis,1.2,1.2,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Stipa scabra,Austrostipa scabra,0.6,0.6,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Stipa semibarbata,Austrostipa semibarbata,1,1,NA,NA,0.65,0.6665,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Stipa stipoides,Austrostipa stipoides,1.2,1.2,NA,NA,0.75,0.8,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Stipa stuposa,Austrostipa stuposa,1,1,NA,NA,1.1,0.6665,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Azolla filiculoides,Azolla filiculoides,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Baeckea gunniana,Baeckea gunniana,1,1,NA,NA,NA,0.6665,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Baeckea leptocaulis,Baeckea leptocaulis,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Euryomyrtus ramosissima,Baeckea ramosissima,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Baloskion australe,Baloskion australe,0.7,0.7,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,omit
Baloskion tetraphyllum,Baloskion tetraphyllum,1.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Banksia marginata,Banksia marginata,12,12,12,NA,NA,8,10,NA,NA,1,NA,NA,0,0,NA,NA,1,omit
Ranunculus aquatilis var. diffusus,Batrachium trichophyllum,1.28333,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Bauera rubioides,Bauera rubioides,2,2,NA,NA,NA,0.76675,2,6,NA,NA,NA,NA,0,1,0,NA,1,omit
Machaerina acuta,Baumea acuta,0.3,0.3,NA,NA,NA,0.25,NA,NA,0.30000000000000004,NA,NA,NA,0,NA,NA,0,0,keep
Machaerina arthrophylla,Baumea arthrophylla,1,1,NA,NA,NA,0.65,1.0005,NA,0.7749999999999999,NA,NA,NA,0,0,NA,0,0,keep
Machaerina gunnii,Baumea gunnii,0.7,0.7,NA,NA,NA,0.6,0.515,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Machaerina juncea,Baumea juncea,1.2,1.2,NA,NA,NA,0.55,0.515,NA,0.7,NA,NA,NA,0,0,NA,0,0,keep
Machaerina rubiginosa,Baumea rubiginosa,0.8,0.8,NA,NA,NA,0.195,0.515,NA,1.9666666666666668,NA,NA,NA,0,0,NA,0,0,keep
Machaerina tetragona,Baumea tetragona,0.8,0.8,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Bedfordia linearis,Bedfordia linearis,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Bedfordia salicina,Bedfordia salicina,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Bellendena montana,Bellendena montana,0.6,0.6,0.9500000000000001,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Beyeria lechenaultii,Beyeria lechenaultii,1.5,1.5,NA,NA,NA,1,0.775,NA,1.25,NA,NA,NA,0,0,NA,0,0,keep
Beyeria viscosa,Beyeria viscosa,4,4,NA,NA,NA,3.5,NA,NA,3,NA,NA,NA,0,NA,NA,0,0,keep
Billardiera longiflora,Billardiera longiflora,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Billardiera mutabilis,Billardiera mutabilis,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Billardiera nesophila,Billardiera nesophila,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Billardiera scandens,Billardiera scandens,0.5,0.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Blandfordia punicea,Blandfordia punicea,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Blechnum chambersii,Blechnum chambersii,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Blechnum fluviatile,Blechnum fluviatile,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Blechnum minus,Blechnum minus,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Blechnum nudum,Blechnum nudum,0.466667,0.47,NA,NA,NA,0.6665,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Blechnum patersonii,Blechnum patersonii,0.466667,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Blechnum penna-marina,Blechnum penna-marina,0.466667,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Blechnum wattsii,Blechnum wattsii,0.466667,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Bolboschoenus caldwellii,Bolboschoenus caldwellii,0.9,0.9,NA,NA,NA,0.6,0.465,NA,0.75,NA,NA,NA,0,0,NA,0,0,keep
Boronia anemonifolia,Boronia anemonifolia,2,2,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Boronia citriodora,Boronia citriodora,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,0,keep
Boronia gunnii,Boronia gunnii,1.2,1.2,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1,NA,1,omit
Boronia nana,Boronia nana,25,25,NA,NA,NA,0.165,0.25,1,NA,NA,NA,NA,0,0,0,NA,0,keep
Boronia parviflora,Boronia parviflora,1,1,NA,NA,NA,0.55,0.3,0.5,NA,NA,NA,NA,0,0,0,NA,0,keep
Boronia pilosa,Boronia pilosa,1,1,NA,NA,NA,NA,0.5,3,NA,NA,NA,NA,NA,0,0,NA,0,keep
Boronia rhomboidea,Boronia rhomboidea,0.5,0.5,NA,NA,NA,0.325,NA,1,NA,NA,NA,NA,0,NA,0,NA,0,keep
Bossiaea cinerea,Bossiaea cinerea,1,1,NA,NA,NA,0.6665,0.515,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Bossiaea cordigera,Bossiaea cordigera,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Bossiaea prostrata,Bossiaea prostrata,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Bossiaea riparia,Bossiaea riparia,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Brachyloma ciliatum,Brachyloma ciliatum,0.2,0.2,NA,NA,NA,NA,0.10250000000000001,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Brachyscome aculeata,Brachyscome aculeata,0.6,0.6,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Allittia cardiocarpa,Brachyscome cardiocarpa,0.3,0.3,NA,NA,NA,0.3,0.45,NA,NA,NA,NA,NA,1,0,NA,NA,1,omit
Brachyscome ciliaris,Brachyscome ciliaris var ciliaris,0.45,0.45,NA,NA,NA,0.3,NA,NA,0.4,NA,NA,NA,0,NA,NA,0,0,keep
Brachyscome decipiens,Brachyscome decipiens,0.2,0.2,NA,NA,NA,0.1335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Paquerina graminea,Brachyscome graminea,0.7,0.7,NA,NA,NA,0.46649999999999997,0.7,NA,NA,NA,NA,NA,0,1,NA,NA,1,omit
Brachyscome sieberi var. gunnii,Brachyscome sieberi var gunnii,0.444286,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Brachyscome spathulata,Brachyscome spathulata,0.6,0.6,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Brachyscome tenuiscapa,Brachyscome tenuiscapa,0.26,0.26,NA,NA,NA,0.1735,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Xerochrysum bracteatum,Bracteantha bracteata,0.8,0.8,NA,NA,NA,0.5,NA,NA,0.9,NA,NA,NA,0,NA,NA,0,0,keep
Xerochrysum subundulatum,Bracteantha subundulata,0.6,0.6,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Bromus catharticus,Bromus catharticus,1,1,NA,NA,NA,0.6665,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
