taxon_name,entity_type,entity_context,location_code,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes,collection_date,basis_of_record
Thysanotus manglesianus,population,,NR,pollination_syndrome,"dimorphic stamens with apical pores, hooked style -- 'this indicates T. manglesianus should be buzz pollinated'",bee,bee,mode,,,,,,Discussion p.8,"floral-form-predicted syndrome only -- the paper's whole point is that the ACTUAL pollinator (pollination_system, below) is a beetle, not a bee. Keep these two rows distinct; do not collapse to one value.; site not stated in source; NR used as T. manglesianus's primary/most-studied site (all breeding-system trials and most other T. manglesianus work occurred there per Methods).; collection_date approximated as the site's documented study span (2015/2021); exact year for this specific finding not stated.",2015/2021,field
Thysanotus manglesianus,population,,NR,pollination_vector_known,beetles (Notobrachypterus sp.) are likely to be involved in pollination and have characteristics of a brood pollination mutualism; no bee pollinator ever observed at NR despite consistently high fruit set,beetle,beetle,mode,,,,,,Results p.2; Discussion p.8-9,mapped to pollination_vector_known (not a real trait named 'pollination_system'). Paper states this is the first report of a beetle (rather than a moth or weevil) as a brood pollinator.; site not stated in source; NR used as T. manglesianus's primary/most-studied site (all breeding-system trials and most other T. manglesianus work occurred there per Methods).; collection_date approximated as the site's documented study span (2015/2021); exact year for this specific finding not stated.,2015/2021,field
Thysanotus manglesianus,population,,NR,flower_pollinator_reward,"beetles eat parts of the flower, such as the anthers, and ingest the pollen",pollen,pollen,mode,,,,,,Results p.2,genus-level intro also states Thysanotus 'provide no nectar and restrict access to pollen'; not mapped for T. patersonii since no equivalent statement is made for it specifically.; site not stated in source; NR used as T. manglesianus's primary/most-studied site (all breeding-system trials and most other T. manglesianus work occurred there per Methods).; collection_date approximated as the site's documented study span (2015/2021); exact year for this specific finding not stated.,2015/2021,field
Thysanotus manglesianus,population,Notobrachypterus sp.,NR,pollination_vector_possible,Notobrachypterus sp. (beetle),beetle,beetle,mode,,,,,"most frequent, repeated visitor; gathers, fights and mates on open flowers",Results p.2; Fig. 1c,site not stated in source; NR used as T. manglesianus's primary/most-studied site (all breeding-system trials and most other T. manglesianus work occurred there per Methods).; collection_date approximated as the site's documented study span (2015/2021); exact year for this specific finding not stated.,2015/2021,field
Thysanotus patersonii,population,Notobrachypterus sp.,KH,pollination_vector_possible,Notobrachypterus sp. (beetle),beetle,beetle,mode,,,,,,Results p.2,"site not stated in source; KH used as T. patersonii's primary long-term monitored population (7 years of study per Results p.5), the most-studied of its two sites.",unknown,field
Thysanotus manglesianus,population,Apis mellifera,NR,pollination_vector_possible,Apis mellifera (introduced honeybee),honeybee,honeybee,mode,,,,,infrequently recorded; no native bees ever recorded at NR,Results p.4-5,,unknown,field
Thysanotus patersonii,population,Leioproctus sp. (2 species); Lasioglossum sp. (1 species),MH,pollination_vector_possible,"Leioproctus sp. (2 species), Lasioglossum sp.",bee,bee,mode,,,,,native bee visitors,Results p.4-5,,unknown,field
Thysanotus patersonii,population,Leioproctus sp. (1 species),FR,pollination_vector_possible,Leioproctus sp. (1 species),bee,bee,mode,,,,,native bee visitor,Results p.4-5,,unknown,field
Thysanotus patersonii,species,,,inflorescence_type,solitary,solitary,solitary,mode,,,,,,"Table 1, p.3","matches AusTraits inflorescence_type directly; flowers borne singly, not in a defined inflorescence.",unknown,field
Thysanotus manglesianus,species,,,inflorescence_type,solitary,solitary,solitary,mode,,,,,,"Table 1, p.3","matches AusTraits inflorescence_type directly; flowers borne singly, not in a defined inflorescence.",unknown,field
Thysanotus patersonii,species,,,storage_organ,rootstock tubers,root_tuber,root_tuber,mode,,,,,,"Table 1, p.3","described alongside plant_growth_form as 'perennial geophytic climbers with rootstock tubers'; 'rootstock' indicates a root-derived tuber, matched to storage_organ's root_tuber.",unknown,field
Thysanotus manglesianus,species,,,storage_organ,rootstock tubers,root_tuber,root_tuber,mode,,,,,,"Table 1, p.3","described alongside plant_growth_form as 'perennial geophytic climbers with rootstock tubers'; 'rootstock' indicates a root-derived tuber, matched to storage_organ's root_tuber.",unknown,field
Thysanotus patersonii,population,,KH,breeding_system,basically autogamous and does not need a pollinator to produce fruit,autogamy self-compatible,autogamy,mode,,,,,,Methods p.3; Discussion p.8,"confirmed autogamous by comparing pollen loads on stigmas of insect-excluded vs open flowers (same evidence as pollination_vector_known=autonomous); site not stated in source, KH used as T. patersonii's primary site (see pollination_vector_known row).",unknown,field_experiment
Thysanotus manglesianus,population,,NR,breeding_system,mating-system trial: Auto (autogamy) treatment fruit set 0.16; OCL/OCS (hand outcross) and Supp (pollen supplementation) treatments fruit set up to 0.70,allogamy self-compatible,self-compatible,mode,,,,,,Results p.4-5; Fig. 5A,"derived from the mating-system trial's fruit-set-by-treatment results (excluded from data.csv as fruit_set_proportion is not an AusTraits trait, see metadata notes): the Auto treatment (self-pollination, no vector) set fruit at 0.16, evidencing autogamy and self-compatibility; the OCL/OCS (hand outcross) and Supp (pollen supplementation) treatments set fruit up to 0.70, evidencing allogamy also succeeds. Not scored as `mixed_mating_system` since that value's definition is still a placeholder ('XX') in traits.yml.",unknown,field_experiment
