Species name,ID,LMA (g m-2),LDMC (mg g-1),% C,C:N,d13C (per mille),psi100 (Mpa),Dmean (mm-1),VD # (mm-2),SSD (g cm-3),Elevation (m),Inundation (days),yPD (MPa),leaf_phenology
Eucalyptus camaldulensis subsp. obtusa,EC09,154.165,473.877,46.6,70.7,-31.9,-1.889084,21.5,148.8,0.643,7.92,36,,
Eucalyptus camaldulensis subsp. obtusa,EC10,196.5,524.149,47.4,51.7,-32.46,-2.180277,30.4,93.6,0.601,8.6,34,-0.95,
Eucalyptus microtheca,EM01,186.887,500.413,46.9,60.2,-31.84,-2.37359,20.89552,46.4,0.672,6.63,12,-0.9,evergreen
Eucalyptus microtheca,EM02,205.4,490.077,45.5,69.4,-32.44,-2.155807,23.64104,183.2,0.667,7.12,38,-0.85,
Eucalyptus microtheca,EM03,227.68,546.097,46.3,74,-29.92,-2.116655,20.87663,116.8,0.681,8,6,-1.5,
Eucalyptus microtheca,EM04,227.097,494.672,44.9,86.2,-30.39,-2.855649,25.70117,124.8,0.681,9.54,3,,
Eucalyptus microtheca,EM05,245.023,518.736,46.9,85.1,-28.08,-3.061197,17.7949,200,0.692,11.04,3,,
Eucalyptus microtheca,EM06,198.332,504.218,45.4,48.2,-29.53,-2.22677,24.70963,60.8,0.52,10.56,5,-3.5,
Eucalyptus microtheca,EM07,256.972,544.957,46.8,55.1,-29.44,-2.351567,30.19653,59.2,0.639,10.54,5,,
Eucalyptus microtheca,EM08,198.796,510.806,46.5,52.3,-30.65,-2.752875,18.47578,278,0.614,10.63,5,-1.55,
Eucalyptus microtheca,EM09,189.49,506.164,46.4,61.4,-30.34,-2.515516,19.01273,154.4,0.655,9.93,38,,
Eucalyptus microtheca,EM10,225.986,559.997,45.3,102.1,-31.99,-2.412742,22.75295,205,0.788,8.17,15,,
Ficus coronulata,FC01,98.577,373.781,36.7,21.3,-29.2,-2.689253,28.48997,127.2,0.418,8.18,36,,deciduous
Ficus coronulata,FC02,74.932,332.163,32.8,39.8,-33.18,-1.749605,36.63863,33.6,0.367,6.62,38,,
Ficus coronulata,FC03,83.046,323.189,36.9,42.4,-31.41,-1.901319,31.32401,122,0.369,5.42,19,,
Ficus coronulata,FC04,73.451,334.883,39.2,22,-29.87,-1.612573,24.05173,142.4,0.417,7.45,19,,
Ficus coronulata,FC05,75.462,312.851,35.9,26,-30.69,-1.73737,27,105.6,0.408,7.5,18,-0.25,
Ficus coronulata,FC06,68.002,300.143,33.2,34.5,-32.8,-2.963317,22,108,0.346,4.24,38,-0.35,
Ficus coronulata,FC07,90.121,362.678,35.1,26.2,-29.7,-1.710453,22.7,152,0.396,5.53,37,-0.3,
Ficus coronulata,FC08,91.586,349.331,37.1,15.7,-29.99,-1.749605,39.6,79.2,0.42,7.22,38,-0.3,
Ficus coronulata,FC09,74.848,332.52,37.6,23.1,-32.25,-1.519587,33.2,65.6,0.384,5.26,38,,
Ficus coronulata,FC10,76.713,339.032,37.6,16.9,-29.81,-1.766734,31.2,54.4,0.412,10.06,11,-0.2,
Melaleuca argentea,MA01,226.992,493.792,48.1,95,-31.7,-1.389896,20.28935,142.4,0.658,4,38,,evergreen
Melaleuca argentea,MA02,172.079,429.535,48.8,104.5,-35.35,-1.387449,41.84744,60.8,0.551,7.67,38,,
Melaleuca argentea,MA03,192.977,515.911,46.9,57.1,-32.47,-1.7129,24.07462,82.4,0.619,4,36,-0.15,
Melaleuca argentea,MA04,158.162,409.737,46.7,49.9,-36.02,-1.32138,23.2296,112,0.54,6.48,38,-0.45,
Melaleuca argentea,MA05,194.809,442.24,50.1,60.3,-34.05,-1.544057,22.50765,133.6,0.531,5.11,38,-0.4,
Melaleuca argentea,MA06,206.707,489.427,49,109.7,-33.89,-1.441283,22.70738,97.6,0.57,3.84,38,-0.35,
Melaleuca argentea,MA07,182.631,472.081,49.6,93.2,-34.54,-1.61502,26.69058,95.2,0.601,6.33,36,-0.5,
Melaleuca argentea,MA08,203.309,498.004,46,58.1,-31.47,-2.197406,28.92469,56.8,0.638,7.21,34,,
Melaleuca argentea,MA09,228.072,541.238,50.4,98.9,-30.42,-1.588103,26.06761,92.8,0.573,6.89,37,,
Melaleuca argentea,MA10,222.751,492.013,46,105.4,-33.72,-1.668854,19.69695,227,0.569,4.74,38,,
Melaleuca leucadendra,ML01,273.066,467.753,46.2,82.4,-33.04,-1.553845,30.68985,81.6,0.471,3.94,38,,evergreen
Melaleuca leucadendra,ML02,157.792,407.316,47.1,82,-33.47,-1.54161,23.33433,77.6,0.507,4.54,38,-0.55,
Melaleuca leucadendra,ML03,148.666,438.381,46.9,60.7,-34.42,-1.41926,19.10508,110,0.523,5.72,38,-0.15,
Melaleuca leucadendra,ML04,147.33,408.542,48.1,69.3,-33.64,-1.482882,16.771061,232,0.579,5.26,38,,
Melaleuca leucadendra,ML05,192.898,503.746,45.6,94.2,-35.59,-1.869508,35.7071,40.8,0.64,6.48,38,,
Melaleuca leucadendra,ML06,175.243,468.176,47.6,94.9,-34.89,-1.485329,33.08202,44,0.559,4.07,38,-0.9,
Melaleuca leucadendra,ML07,232.578,465.617,47.5,70.7,-30.73,-1.781416,23.88461,54.4,0.608,6.1,34,,
Melaleuca leucadendra,ML08,212.481,444.931,47.4,81.9,-29.62,-1.827909,28.78625,77.6,0.561,6.27,34,,
Melaleuca leucadendra,ML09,230.094,539.679,47.4,88.9,-32.9,-1.421707,32.19217,40.8,0.578,5.1,37,-0.85,
Melaleuca leucadendra,ML10,246.971,481.92,46.3,69.9,-32.96,-1.659066,29.34985,39.2,0.533,5.93,38,-0.5,
Terminalia platyphylla,TP01,100.975,439.922,40.6,59.3,-31.68,-2.459235,22.07697,147,0.639,5.11,19,-2.4,deciduous
Terminalia platyphylla,TP02,126.018,494.844,44.3,125.4,-30.13,-1.918448,25.65541,116,0.606,6.82,19,,
Terminalia platyphylla,TP03,110.95,473.316,44.6,64.6,-29.38,-1.734923,22.15094,168.8,0.616,7.58,6,-2.45,
Terminalia platyphylla,TP04,128.056,457.37,45,61.1,-29.56,-1.800992,21.32876,165.6,0.589,9.18,6,,
Terminalia platyphylla,TP05,138.383,493.052,46.5,59.3,-29.85,-2.065268,21.8233,245.6,0.577,8.38,5,,
Terminalia platyphylla,TP06,113.942,444.314,45.1,54.9,-29.01,-2.087291,27.60695,88.8,0.546,7.98,18,-3.6,
Terminalia platyphylla,TP07,149.071,519.615,48.2,53.5,-27.17,-1.776522,32.75968,48.8,0.663,10.61,5,,
Terminalia platyphylla,TP08,117.306,475.533,43.2,56.5,-30.54,-2.084844,26.81378,72,0.565,5.28,36,-1.65,
Terminalia platyphylla,TP09,118.544,454.361,44.9,67.4,-29.14,-2.383378,36.01741,46.4,0.578,11.32,10,-2.95,
Terminalia platyphylla,TP10,132.36,469.481,44.6,44.9,-30.54,-2.094632,41.46362,31.2,0.577,8.38,12,,
