name original,growth form,flowering duration,maximum height (m),dispersal mode,seritony,plant longevity
Xyris juncea,Graminoid,Nov - Dec,0.20,,,
Juncus krausii,Graminoid,Nov - Feb,1.00,,,
Haemodorum planifolium,Graminoid,Nov - Jan,0.40,,,
Xyris gracilis,Graminoid,Nov - Jan,0.60,,,
Juncus planifolius,Graminoid,Nov - March,0.40,,,
Lomandra brevis,Graminoid,Sept - Dec,0.15,,,
Tricoryne simplex,Graminoid,Sept - Dec,0.30,,,
Hypolaena fastigiata,Graminoid,Sept - Dec,0.80,,,
Juncus usitatus,Graminoid,Sept - Jan,1.00,,,
Burchardia umbellata,Graminoid,Sept - Nov,0.35,,,
Empodisma minus,Graminoid,Sept - Nov,0.50,,,
Libertia paniculata,Graminoid,Sept - Oct,0.60,,,
Juncus polyanthemus,Graminoid,Summer,0.80,,,
Haemodorum corymbosum,Graminoid,Nov - Jan,0.50,anemochory,,
Dianella laevis,Graminoid,Oct - Dec,0.60,endozoochory,,
Dianella caerulea,Graminoid,Oct - Feb,0.50,endozoochory,,
Dianella revoluta,Graminoid,Oct - Jan,0.60,endozoochory,,
Dianella tasmanica,Graminoid,Summer,0.60,endozoochory,,
Lomandra longifolia,Graminoid,Aug - Dec,0.80,myrmecochory,,
Patersonia sericea,Graminoid,July - Dec,0.40,myrmecochory,,
Lomandra confertifolia,Graminoid,July - Nov,0.40,myrmecochory,,
Caesia vittata,Graminoid,Nov - Dec,0.30,myrmecochory,,
Lomandra filiformis,Graminoid,Oct - Dec,0.30,myrmecochory,,
Thysanotus juncifolius,Graminoid,Oct - Dec,0.40,myrmecochory,,
Thysanotus tuberosus,Graminoid,Oct - Dec,0.40,myrmecochory,,
Schelhammera undulata,Graminoid,Oct - Nov,0.20,myrmecochory,,
Restio dimorphus,Graminoid,Sept - Dec,0.50,myrmecochory,,
Lomandra cylindrica,Graminoid,Sept - Dec,0.60,myrmecochory,,
Restio fastigiatus,Graminoid,Sept - Dec,0.70,myrmecochory,,
Lomandra multiflora,Graminoid,Sept - Jan,0.30,myrmecochory,,
Lomandra obliqua,Graminoid,Sept - Nov,0.30,myrmecochory,,
Patersonia glabrata,Graminoid,Sept - Nov,0.30,myrmecochory,,
Lomandra gracilis,Graminoid,Sept - Oct,0.60,myrmecochory,,
Patersonia sericea  var,Graminoid,Oct - Dec,0.30,,,
Sorghum leiocladum,Grass,Summer,1.00,,,
Eragrostis brownii,Grass,Summer,0.40,,,
Agrostis avenacea,Grass,Oct - Dec,0.70,,,annual
Echinopogon caespitosus,Grass,Nov - Jan,0.60,,,
Entolasia stricta,Grass,Oct - Mar,0.40,,,
Anisopogon avenaceus,Grass,Oct - Nov,0.50,,,
Sporobolus virginicus,Grass,Spring - Summer,0.20,,,
Panicum effusum,Grass,Spring - Summer,0.50,,,
Entolasia marginata,Grass,Spring - Summer,0.60,,,
Microlaena stipoides,Grass,Summer,0.30,,,
Paspalidium radiatum,Grass,Summer,0.30,,,
Panicum simile,Grass,Summer,0.40,,,
Oplismenus aemulus,Grass,Summer - Autumn,0.10,,,
Oplismenus imbecillus,Grass,Summer - Autumn,0.20,,,
Pennisetum alopecuroides,Grass,Dec - Mar,1.00,,,
Cymbopogon refractus,Grass,Spring - Summer,0.25,,,
Danthonia purpurascens,Grass,Spring - Summer,0.90,,,
Chloris ventricosa,Grass,Summer,1.00,,,
Hemarthria uncinata,Grass,Summer,0.10,,,
Danthonia paradoxa,Grass,Summer,0.40,,,
Stipa pubescens,Grass,Summer,0.40,,,
Dichelachne micrantha,Grass,Summer,0.60,,,
Dicanthium sericeum,Grass,Summer,0.70,,,
Aristida benthamii,Grass,Summer,0.80,,,
Aristida ramosa,Grass,Summer - Autumn,0.30,,,
Aristida vagans,Grass,Summer - Autumn,0.80,,,
Danthonia longifolia,Grass,,0.70,,,
Digitaria parviflora,Grass,,0.70,,,
Phragmites australis,Grass,Jan - Apr,3.00,anemochory,,
Imperata cylindrica,Grass,Nov - Feb,0.80,anemochory,,
Spinifex sericeus,Grass,Oct - Mar,1.00,anemochory,,
Themeda australis,Grass,Sept - Mar,0.50,exo-zoochory,,
Cenchrus caliculatus,Grass,Summer,0.20,exo-zoochory,,
Rorippa laciniata,herb,,0.30,,no,annual
Drosera peltata,herb,Sept - Dec,0.25,,no,
Ranunculus lappaceus,herb,Aug - Dec,0.50,,no,
Tetragonia tetragoniodes,herb,Aug - Sept,0.30,,no,
Drosera binata,herb,Dec - Jan,0.30,,no,
Sarcocornia quinqueflora,herb,Nov - Feb,0.25,,no,
Drosera pygmaea,herb,Oct - Dec,0.05,,no,
Drosera spathulata,herb,Oct - Feb,0.10,,no,
Sueda australis,herb,Sept - Dec,0.80,,no,
Crassula sieberana,herb,Sept - Nov,0.20,,no,
Drosera auriculata,herb,Sept - Dec,0.25,,no,
Gonocarpus micrantha,Herb,All year,0.10,,,
Pterostylis acuminata,Herb,Apr - May,0.15,,,
Pterostylis daintreana,Herb,April - July,0.30,,,
Pterostylis longifolia,Herb,April - Oct,0.90,,,
Caladenia caerulea,Herb,Aug - Sept,0.10,,,
Caladenia testacea,Herb,Aug - Sept,0.10,,,
Glossodia minor,Herb,Aug - Sept,0.15,,,
Glossodia major,Herb,Aug - Sept,0.20,,,
Pseuderantheum variabile,Herb,Dec - Jan,0.15,,,
Gonocarpus teucrioides,Herb,Dec - Jan,0.40,,,
Pterostylis obtusa,Herb,Feb - June,0.25,,,
Cotula coronopifolia,Herb,July - Oct,0.10,,,
Cotula australis,Herb,July - Oct,0.10,,,
Pterostylis nutans,Herb,June - Sept,0.40,,,
Pterostylis grandiflora,Herb,May - July,0.25,,,
Rimacola elliptica,Herb,Nov - Dec,0.15,,,
Cymbidium suave,Herb,Oct - Dec,0.40,,,
Stylidium graminifolium,Herb,Oct - Dec,0.40,,,
Wahlenbergia sp,Herb,Oct - Jan,0.50,,,
Stylidium lineare,Herb,Sept - Dec,0.20,,,
Mitrasacme polymorpha,Herb,Sept - Dec,0.25,,,
Actinotus helianthi,Herb,Sept - Dec,0.40,,,
Pomax umbellata,Herb,Sept - Nov,0.20,,,
Caladenia carnea,Herb,Spring,0.20,,,
Gonocarpus tetragyna,Herb,,0.40,,,
Centipeda minima,Herb,,0.20,,,
Utricularia dichotoma,Herb,Aug - Mar,0.20,,,
Goodenia paniculata,Herb,Dec - Feb,0.50,,,
Pratia pendunculata,Herb,Dec - Mar,0.02,,,
Pratia purpurescens,Herb,Dec - May,12.00,,,
Utricularia lateriflora,Herb,Feb - Mar,0.08,,,
Utricularia uliginosa,Herb,Feb - Mar,0.08,,,
Goodenia stelligera,Herb,July - Dec,0.40,,,
Lobelia dentata,Herb,July - Feb,0.40,,,
Velleia lyrata,Herb,June - July,0.30,,,
Laxmannia gracilis,Herb,Nov - Dec,0.30,,,
Triglochin striata,Herb,Nov - Dec,0.30,,,
Lobelia alata,Herb,Nov - Jan,0.20,,,
Scaevola ramosissima,Herb,Nov - Jan,0.30,,,
Goodenia dimorpha,Herb,Nov - MAr,0.30,,,
Brunoniella australis,Herb,Oct - Dec,0.20,,,
Goodenia heterophylla,Herb,Oct - Feb,0.40,,,
Velleia spathulata,Herb,Oct - Jan,0.20,,,
Scutellaria mollis,Herb,Sept - Dec,0.30,,,
Opercularia varia,Herb,Sept - Nov,0.30,,,
Centella asiatica,Herb,Dec - Jan,0.10,,,
Senecio glomeratus,Herb,Summer,0.50,anemochory,,annual
Epilobium billardierianum,Herb,Dec - Feb,0.30,anemochory,,
Senecio lautus ssp dissec,Herb,May - Oct,0.70,anemochory,,
Vernonia cinerea,Herb,Nov - April,0.50,anemochory,,
Lagenifera stipitata,Herb,Oct - Dec,0.40,anemochory,,
Helichrysum apiculatum,Herb,Oct - Dec,0.50,anemochory,,
Vittadinia triloba,Herb,Oct - Feb,0.30,anemochory,,
Senecio linearifolius,Herb,Sept - Nov,1.00,anemochory,,
Helichrysum scorpioides,Herb,Sept - Nov,0.30,anemochory,,
Poranthera microphylla,herb,Sept - Dec,0.10,ballistic + ant,no,annual
Carpobrotus glaucesens,herb,All year,0.25,endozoochory,no,
Peperomia leptostachya,HERB,Nov - Dec,0.30,endozoochory,,
Ranunculus plebius,herb,Dec - Jan,0.30,exo-zoochory,no,
Daucus glochidiatus,Herb,Spring,0.10,exo-zoochory,,
Actinotus minor,Herb,All year,0.30,myrmecochory,,
Xanthosia pilosa,Herb,Aug - Feb,0.60,myrmecochory,,
Goodenia bellidifolia,Herb,Nov - Feb,0.30,myrmecochory,,
Viola hederacea,Herb,Sept - Dec,0.10,myrmecochory,,
Opercularia aspera,Herb,Sept - Nov,0.30,myrmecochory,,
Opercularia hispida,Herb,Sept - Nov,0.30,myrmecochory,,
Pelargonium inodorum,herb,,0.40,,no,annual
Pelargonium australe,herb,Dec - Jan,0.50,,no,
Geranium solanderi,herb,Sept - Feb,0.50,,no,
Trachymene procumbens,Herb,Aug - Dec ?,0.10,,,
Plectranthus parviflorus,Herb,Aug - Mar,0.40,,,
Ludwigia peploides,Herb,Jan - Apr,0.10,,,
Samolus repens,Herb,Oct - Jan,0.30,,,
Hypericum japonicum,Herb,Sept - Feb,0.15,,,
Apium prostratum,Herb,Sept - Nov,0.10,,,
Vittadinia scabra,Herb,Summer,0.30,,,
Verbena officinalis,Herb,,,,,
Dichondra repens,"Herb, cree",Sept - Dec,0.02,,,
Alocasia macrorrhizos,"Herb, Pere",Dec - Mar,1.00,endozoochory,,
Xanthosia tridentata,"Herb, wood",Mar - Nov,0.20,myrmecochory,,
Eucalyptus obtusiflora,mallee,Aug - Dec,6.00,,,
Eucalyptus stricta,mallee,Dec - Apr,3.00,,,
Eucalyptus luehmanniana,mallee,July - Nov,6.00,,,
Notothixos subaureus,PARA,All year,,endozoochory,no,
Amyema pendulum,PARA,Aug - Nov,,endozoochory,no,
Muellerina eucalyptoides,PARA,Dec. - Feb,,endozoochory,no,
Dendrophthoe vitellina,PARA,July - Sept,,endozoochory,no,
Amyema congener,PARA,June - Nov,,endozoochory,no,
Cassytha glabella,para,Nov - Mar,,endozoochory,no,
Cassytha paniculata,para,Oct - Dec,,endozoochory,no,
Cassytha pubescens,para,Oct - Dec,,endozoochory,no,
Typha domingensis,Reed,Dec - Feb,2.00,anemochory,,
Dipodium punctatum,Saprophyte,Nov - Jan,0.50,,,
Cyathochaeta diandra,Sedge,,0.90,,,
Schoenus melanostachys,Sedge,Aug - Feb,0.40,,,
Schoenus ericetorum,Sedge,Oct - Nov,0.30,,,
Schoenus imberbis,Sedge,Oct - Nov,0.30,,,
Ptilanthelium deustum,Sedge,Sept - Nov,0.40,,,
Lepidosperma viscidium,Sedge,"Dec - Feb, fire",0.70,,,
Schoenus brevifolius,Sedge,Dec - Mar,0.70,,,
Schoenus villosus,Sedge,May - June,0.20,,,
Schoenus paludosus,Sedge,May - June,0.40,,,
Lepidosperma longitudinal,sedge,Nov - Jan,2.00,,,
Baumea rubiginosa,Sedge,Oct - Dec,1.00,,,
Baumea juncea,Sedge,Oct - Dec,0.70,,,
Lepidosperma laterale,Sedge,Sept - Mar,1.00,myrmecochory,,
Cyperus sanguinolentus,Sedge,Dec - Apr,0.30,,,
Gahnia erythrocarpa,Sedge,irregular,2.00,,,
Gahnia melanocarpa,Sedge,June - July,2.00,,,
Isolepis inundata,Sedge,Aug - Dec,0.30,,,annual
Isolepis nodosa,Sedge,Oct - Feb,0.90,,,annual
Baumea acuta,Sedge,,1.00,,,
Schoenus moorei,Sedge,,0.15,,,
Lepidosperma lineare,Sedge,,0.60,,,
Lepidosperma filiforme,Sedge,,0.70,,,
Cyperus difformis,Sedge,Dec - Mar,0.50,,,
Gahnia clarkei,Sedge,irregular,2.00,,,
Eleocharis sphacelata,Sedge,Nov - Apr,2.00,,,
Schoenus apogon,Sedge,Nov - Dec,0.25,,,
Schoenus turbinatus,Sedge,Oct - Feb,0.40,,,
Gahnia sieberana,Sedge,Sept - Dec,2.00,,,
Chorizandra cymbaria,Sedge,Sept - Nov,1.00,,,
Schoenus pachylepis,Sedge,,0.30,,,
Carex pumila,Sedge,Sept - Dec,0.30,,,
Tricostularia pauciflora,Sedge,,0.30,myrmecochory,,
Lepidosperma flexuosum,Sedge,April - May,1.00,myrmecochory,,
Caustis pentandra,Sedge,April - May,2.00,myrmecochory,,
Lepidosperma urophorum,Sedge,July - Aug,1.00,myrmecochory,,
Caustis flexuosa,Sedge,Sept - Nov,0.80,myrmecochory,,
Lepidosperma neesii,Sedge,May - June,0.80,,,
Leptospermum attenuatum,Shrub,Aug - Dec,4.00,,,
Angophora hispida,shrub,Oct - Dec,2.50,,,
Phyllanthus thymoides,shrub,July - Nov,0.40,,no,
Banksia spinulosa,shrub,Mar - Sept,2.00,anemochory,yes,
Rubus rosifolius,shrub,All year,1.00,endozoochory,no,
Rubus parvifolius,shrub,Oct - Dec,1.00,endozoochory,no,
Pomaderris lanigera,shrub,Aug - Sept,2.00,,no,
Petrophile pulchella,shrub,Dec - Mar,3.00,,yes,
Isopogon anethifolius,shrub,Sept - Dec,2.00,,yes,
Lambertia formosa,shrub,Sept - May,2.00,,yes,
Isopogon anemonifolius,shrub,Sept - Nov,2.00,,yes,
Conospermum longifolium,shrub,July - Nov,1.00,,no,
Conospermum taxifolium,shrub,July - Oct,1.00,,no,
Acacia ulicifolia,shrub,June - Sept,2.00,,no,
Stackhousia nuda,shrub,Nov - Feb,0.80,,no,
Stackhousia viminea,shrub,Oct - Dec,0.60,,no,
Conospermum tenuifolium,shrub,Sept - Jan,1.00,,no,
Viminaria juncea,shrub,Sept - Nov,3.00,,no,
Sphaerolobium vimineum,shrub,Sept - Nov,0.50,,no,
Epacris longiflora,shrub,Apr - Nov,1.00,,,
Darwinia leptantha,Shrub,Apr - Sept,0.80,,,
Xanthorrhoea media,Shrub,Aug - Mar,1.00,,,
Micromyrtus ciliata,Shrub,Aug - Sept,0.50,,,
Tristania neriifolia,Shrub,Dec - Jan,3.00,,,
Baeckia densifolia,Shrub,Dec - May,2.00,,,
Baeckia brevifolia,Shrub,Feb - Apr;July - Aug,0.80,,,
Baeckia imbricata,Shrub,Feb - May,0.80,,,
Leptospermum squarrosum,Shrub,Jan - Apr,3.00,,,
Baeckia linifolia,Shrub,Jan - Feb,2.00,,,
Darwinia biflora,Shrub,July - Nov,0.80,,,
Sprengelia incarnata,shrub,July - Oct,1.00,,,
Darwinia procera,Shrub,July - Oct,2.00,,,
Leptospermum laevigatum,Shrub,July - Oct,4.00,,,
Epacris microphylla,shrub,June - Nov,0.60,,,
Epacris obtusifolia,shrub,June - Nov,0.80,,,
Darwinia fascicularis,Shrub,June - Sept,2.00,,,
Epacris pulchella,shrub,Mar - June,1.00,,,
Callistemon citrinus,Shrub,Mar - May; Oct - Dec,2.00,,,
Woollsia pungens,shrub,May - Sept,1.00,,,
Leptospermum arachnoides,Shrub,Nov - Dec,1.00,,,
Epacris crassifolia,shrub,Nov - Jan,1.00,,,
Xanthorrhoea arborea,Shrub,Nov - Jan,2.00,,,
Melaleuca erubescens,Shrub,Nov - Jan,4.00,,,
Callistemon linearis,Shrub,Oct - Dec,2.00,,,
Kunzea ambigua,Shrub,Oct - Dec,5.00,,,
Melaleuca hypericifolia,Shrub,Oct - Jan,1.00,,,
Leptospermum juniperinum,Shrub,Oct - Jan,2.00,,,
Melaleuca thymifolia,Shrub,Oct - Jan,2.00,,,
Callistemon linearifolius,Shrub,Oct - Nov,2.00,,,
Callistemon rigidus,Shrub,Oct - Nov,2.00,,,
Leptospermum lanigerum,Shrub,Oct - Nov,3.00,,,
Baeckia diosmifolia,Shrub,Sept - Dec,1.00,,,
Leptospermum polygalifoli,Shrub,Sept - Dec,2.00,,,
Callistemon pinifolius,Shrub,Sept - Nov,2.00,,,
Melaleuca deanei,Shrub,Sept - Nov,3.00,,,
Epacris purpurascens,shrub,Sept - Oct,1.00,,,
Kunzea capitata,Shrub,Sept - Oct,2.00,,,
Callistemon shiressii,Shrub,Sept - Oct,3.00,,,
Leptospermum parvifolium,Shrub,Sept -Nov,1.00,,,
Westringia fruticosa,Shrub,All year,1.50,,,
Goodenia ovata,Shrub,Oct - Dec,1.00,,,
Astrotricha floccosa,shrub,Oct - Jan,3.00,,,
Dampiera purpurea,Shrub,Oct - Nov,1.00,,,
Breynia oblongifolia,shrub,Oct - Dec,2.00,,no,
Pultenaea ferruginea,shrub,Sept - Nov,2.00,,no,
Billardiera procumbens,shrub,Sept - Nov,0.25,,no,
Gompholobium minus,shrub,Sept - Nov,0.30,,no,
Mirbelia rubiifolia,shrub,Sept - Nov,0.50,,no,
Prostanthera linearis,Shrub,Aug - Mar,3.00,,,
Dracophyllum secundum,shrub,July - Sept,1.00,,,
Prostanthera denticulata,Shrub,Sept - Oct,1.00,,,
Aegiceras corniculatum,shrub,June - Nov,2.00,,,
Banksia ericifolia,shrub,Apr - Aug,3.00,anemochory,yes,
Banksia marginata,shrub,Feb - July,5.00,anemochory,yes,
Hakea teretifolia,shrub,Jan - Apr,3.00,anemochory,yes,
Banksia robur,shrub,Jan - July,2.00,anemochory,yes,
Allocasuarina distyla,shrub,July - Sept,3.00,anemochory,yes,
Hakea propinqua,shrub,June - Oct,2.00,anemochory,yes,
Hakea gibbosa,shrub,June - Sept,2.00,anemochory,yes,
Hakea sericea,shrub,June - Sept,3.00,anemochory,yes,
Xylomelum pyriforme,shrub,Oct - Nov,5.00,anemochory,yes,
Hakea dactyloides,shrub,Sept - Nov,3.00,anemochory,yes,
Banksia asplenifolia,shrub,,2.00,anemochory,yes,
Lomatia myricoides,shrub,Dec - Jan,4.00,anemochory,no,
Bursaria spinosa,shrub,Jan - Apr,2.00,anemochory,no,
Lomatia silaifolia,shrub,Nov - Feb,1.00,anemochory,no,
Ceratopetalum gummiferum,shrub,Oct - Nov,4.00,anemochory,no,
Telopea speciosissima,shrub,Sept - Oct,4.00,anemochory,no,
Olearia microphylla,Shrub,Aug - Nov,1.00,anemochory,,
Doryanthes exelsa,Shrub,Aug - Nov,2.00,anemochory,,
Helichrysum elatum,Shrub,Aug - Oct,1.00,anemochory,,
Cassinia aculeata,Shrub,Dec - MAr,2.00,anemochory,,
Calytix tetragona,Shrub,July - Dec,2.00,anemochory,,
Cassinia aureonitens,Shrub,Oct - Dec,2.00,anemochory,,
Helichrysum diosmifolium,Shrub,Oct - Dec,2.00,anemochory,,
Cassinia denticulata,Shrub,Oct - Nov,2.00,anemochory,,
Cassinia compacta,Shrub,Spring- summer,2.00,anemochory,,
Boronia parviflora,shrub,All year,1.00,ballistic + ant,no,
Boronia serrulata,shrub,Aug - Nov,1.00,ballistic + ant,no,
Eriostemon buxifolius,shrub,Aug - Nov,1.00,ballistic + ant,no,
Phebalium squamulosum,shrub,Aug - Nov,2.00,ballistic + ant,no,
Boronia pinnata,shrub,Aug - Oct,1.00,ballistic + ant,no,
Boronia mollis,shrub,Aug - Oct,2.00,ballistic + ant,no,
Eriostemon australasius,shrub,Aug - Oct,2.00,ballistic + ant,no,
Ziera smithii,shrub,Aug - Oct,2.00,ballistic + ant,no,
Crowea saligna,shrub,Feb - June,1.00,ballistic + ant,no,
Philotheca salsolifolia,shrub,July - Dec,1.00,ballistic + ant,no,
Ziera laevigata,shrub,July - Oct,0.60,ballistic + ant,no,
Boronia ledifolia,shrub,July - Sept,1.00,ballistic + ant,no,
Acacia myrtifolia,shrub,May - Aug,1.00,ballistic + ant,no,
Ziera pilosa,shrub,May - Oct,0.60,ballistic + ant,no,
Correa reflexa,shrub,May - Sept,0.80,ballistic + ant,no,
Boronia floribunda,shrub,Sept - Nov,1.00,ballistic + ant,no,
Poranthera ericifolia,shrub,Sept - Nov,0.20,ballistic + ant,no,
Boronia fraseri,shrub,Sept - Oct,2.00,ballistic + ant,no,
Olax stricta,shrub,All year,1.00,endozoochory,no,
Persoonia lanceolata,shrub,All year,2.00,endozoochory,no,
Wilkiea huegeliana,shrub,Dec - Feb,4.00,endozoochory,no,
Muellerina celastroides,shrub,Dec - Feb,,endozoochory,no,
Persoonia linearis,shrub,Dec - July,5.00,endozoochory,no,
Leptomeria acida,shrub,Feb - Apr,2.00,endozoochory,no,
Persoonia pinifolia,shrub,Mar - MAy,2.00,endozoochory,no,
Persoonia hirsuta,shrub,Nov. - Jan,,endozoochory,no,
Citriobatus pauciflorus,shrub,Sept - Dec,1.00,endozoochory,no,
Tasmannia insipida,shrub,Sept - Dec,2.00,endozoochory,no,
Persoonia levis,shrub,Sept - Dec,2.50,endozoochory,no,
Persoonia isophylla,shrub,,2.00,endozoochory,no,
Exocarpus cupressiformis,shrub,,8.00,endozoochory,no,
Myoporum insulare,Shrub,Oct - Mar,2.00,endozoochory,,
Myoporum acuminatum,Shrub,Aug - Oct,2.00,endozoochory,,
Leucopogon setiger,shrub,Aug - Oct,0.80,endozoochory,,
Polyscias sambucifolius,Shrub,Dec - Jan,3.00,endozoochory,,
Astroloma humifusum,shrub,Feb - June,0.20,endozoochory,,
Styphelia triflora,Shrub,July - Oct,2.00,endozoochory,,
Leucopogon ericoides,shrub,July - Oct,0.80,endozoochory,,
Acrotriche divaricata,shrub,July - Sept,2.00,endozoochory,,
Rapana variabilis,shrub,July - Sept,3.00,endozoochory,,
Monotoca elliptica,Shrub,July - Sept,4.00,endozoochory,,
Styphelia longifolia,Shrub,May - June,2.00,endozoochory,,
Austromyrtus tenuifolia,Shrub,Nov - Dec,1.50,endozoochory,,
Wikstroemia indica,Shrub,Nov - Dec,1.50,endozoochory,,
Ampera xiphoclada,shrub,All year,0.40,myrmecochory,no,
Bossiaea heterophylla,shrub,April - June,1.00,myrmecochory,no,
Monotoca scoparia,Shrub,April - Sept,1.00,myrmecochory,no,
Dillwynia sericea ssp B,shrub,Aug - Dec,1.00,myrmecochory,no,
Aotus ericoides,shrub,Aug - Nov,1.00,myrmecochory,no,
Gompholobium grandiflorum,shrub,Aug - Nov,1.00,myrmecochory,no,
Gompholobium latifolium,shrub,Aug - Nov,1.00,myrmecochory,no,
Platylobium formosum,shrub,Aug - Nov,1.00,myrmecochory,no,
Grevillea buxifolia,shrub,Aug - Nov,2.00,myrmecochory,no,
Ricinocarpus pinifolius,shrub,Aug - Nov,2.00,myrmecochory,no,
Pultenaea daphnoides,shrub,Aug - Nov,3.00,myrmecochory,no,
Gompholobium glabratum,shrub,Aug - Nov,0.30,myrmecochory,no,
Bossiaea ensata,shrub,Aug - Nov,0.50,myrmecochory,no,
Daviesia alata,shrub,Aug - Nov,0.50,myrmecochory,no,
Micrantheum ericoides,shrub,Aug - Nov,0.50,myrmecochory,no,
Pultenaea linophylla,shrub,Aug - Nov,0.80,myrmecochory,no,
Bossiaea scolopendria,shrub,Aug - Oct,1.00,myrmecochory,no,
Phyllota phylicoides,shrub,Aug - Oct,1.00,myrmecochory,no,
Eriostemon myoporoides,shrub,Aug - Oct,2.00,myrmecochory,no,
Pultenaea stipularis,shrub,Aug - Oct,2.00,myrmecochory,no,
Acacia paradoxa,shrub,Aug - Oct,3.00,myrmecochory,no,
Pultenaea flexilis,shrub,Aug - Oct,3.00,myrmecochory,no,
Bossiaea obcordata,shrub,Aug - Oct,0.50,myrmecochory,no,
Acacia floribunda,shrub,Aug - Sept,4.00,myrmecochory,no,
Acacia linifolia,shrub,Jan - Apr,4.00,myrmecochory,no,
Hovea linearis,shrub,July - Aug,1.00,myrmecochory,no,
Bauera rubioides,shrub,July - Dec,2.00,myrmecochory,no,
Dillwynia retorta,shrub,July - Dec,2.00,myrmecochory,no,
Grevillea sericea,shrub,July - Nov,2.00,myrmecochory,no,
Tetratheca ericifolia,shrub,July - Nov,0.40,myrmecochory,no,
Dillwynia floribunda,shrub,July - Oct,1.00,myrmecochory,no,
Acacia oxycedrus,shrub,July - Oct,3.00,myrmecochory,no,
Dodonaea triquetra,shrub,July - Oct,3.00,myrmecochory,no,
Grevillea linearifolia,shrub,July - Oct,3.00,myrmecochory,no,
Tetratheca glandulosa,shrub,July - Oct,0.50,myrmecochory,no,
Cryptandra amara,shrub,June - Aug,0.30,myrmecochory,no,
Acacia longifolia,shrub,June - Nov,4.00,myrmecochory,no,
Grevillea speciosa,shrub,June - Sept,2.00,myrmecochory,no,
Cryptandra ericoides,shrub,Mar - April,0.50,myrmecochory,no,
Acacia suaveolens,shrub,Mar - Aug,3.00,myrmecochory,no,
Acacia terminalis,shrub,Mar - July,3.00,myrmecochory,no,
Comesperma sphaerocarpum,shrub,Nov - Feb,0.20,myrmecochory,no,
Grevillea caleyi,shrub,Oct - Dec,3.00,myrmecochory,no,
Maytenus silvestris,shrub,Oct - Jan,3.00,myrmecochory,no,
Pomaderris aspera,shrub,Oct - Nov,3.00,myrmecochory,no,
Comesperma ericinum,shrub,Sept - Dec,1.00,myrmecochory,no,
Pultenaea elliptica,shrub,Sept - Dec,1.00,myrmecochory,no,
