taxon_name,dataset_id,taxonomic_reference,taxon_rank
Calothamnus pallidifolius,WAH_2023_2,APC,Genus
Carex preissii,WAH_2023_2,APC,Genus
Caulerpa sp. [Caulerpa scalpelliformis; WAH_2022_2],WAH_2023_2,APNI,Genus
Cenchrus incertus,WAH_2023_2,APC,Genus
Centaurium clementii,WAH_2023_2,APC,Genus
Chamelaucium croxfordiae,WAH_2023_2,APC,Genus
Chamelaucium drummondii subsp. drummondii,WAH_2023_2,APC,Genus
Chamelaucium floriferum subsp. diffusum,WAH_2023_2,APC,Genus
Chamelaucium forrestii,WAH_2023_2,APC,Genus
Chamelaucium forrestii subsp. forrestii,WAH_2023_2,APC,Genus
Chamelaucium forrestii subsp. orarium,WAH_2023_2,APC,Genus
Chamelaucium griffinii,WAH_2023_2,APC,Genus
Chamelaucium halophilum,WAH_2023_2,APC,Genus
Chamelaucium hamatum,WAH_2023_2,APC,Genus
Chamelaucium juniperinum,WAH_2023_2,APC,Genus
Chamelaucium leptocaulum,WAH_2023_2,APC,Genus
Chamelaucium naviculum,WAH_2023_2,APC,Genus
Chamelaucium oenanthum,WAH_2023_2,APC,Genus
Chamelaucium pauciflorum subsp. pauciflorum,WAH_2023_2,APC,Genus
Chamelaucium psammophilum,WAH_2023_2,APC,Genus
Chamelaucium roycei,WAH_2023_2,APC,Genus
Chenopodium cristatum,WAH_2023_2,APC,Genus
Chenopodium multifidum,WAH_2023_2,APC,Genus
Chenopodium saxatile,WAH_2023_2,APC,Genus
Chrysanthemum coronarium,WAH_2023_2,APC,Genus
Cleome gynandra,WAH_2023_2,APC,Genus
Cortaderia jubata,WAH_2023_2,APC,Genus
Corymbia byrnesii,WAH_2023_2,APC,Genus
Corymbia chlorolampra,WAH_2023_2,APC,Genus
Crinum angustifolium,WAH_2023_2,APC,Genus
Cynanchum carnosum,WAH_2023_2,APC,Genus
Cyperus tenellus,WAH_2023_2,APC,Genus
Darwinia halophila,WAH_2023_2,APC,Genus
Darwinia inconspicua,WAH_2023_2,APC,Genus
Daviesia elongata subsp. implexa,WAH_2023_2,APC,Genus
Dendrobium affine,WAH_2023_2,APC,Genus
Desmodium brownii,WAH_2023_2,APC,Genus
Desmodium filiforme,WAH_2023_2,APC,Genus
Desmodium flagellare,WAH_2023_2,APC,Genus
Desmodium gangeticum,WAH_2023_2,APC,Genus
Desmodium glareosum,WAH_2023_2,APC,Genus
Desmodium hannii,WAH_2023_2,APC,Genus
Desmodium heterocarpon,WAH_2023_2,APC,Genus
Desmodium heterocarpon var. strigosum,WAH_2023_2,APC,Genus
Desmodium pullenii,WAH_2023_2,APC,Genus
Desmodium triflorum,WAH_2023_2,APC,Genus
Digitaria coenicola,WAH_2023_2,APC,Genus
Digitaria marianensis,WAH_2023_2,APC,Genus
Diuris nicholsoniana,WAH_2023_2,APC,Genus
Dodonaea ptarmicaefolia,WAH_2023_2,APC,Genus
Drosera erythrorhiza subsp. magna,WAH_2023_2,APC,Genus
Drosera erythrorhiza subsp. squamosa,WAH_2023_2,APC,Genus
Drosera macrophylla subsp. monantha,WAH_2023_2,APC,Genus
Drosera marchantii subsp. prophylla,WAH_2023_2,APC,Genus
Drosera menziesii subsp. thysanosepala,WAH_2023_2,APC,Genus
Epaltes australis,WAH_2023_2,APNI,Genus
Eragrostis amabilis,WAH_2023_2,APC,Genus
Eremophila ostrina,WAH_2023_2,APC,Genus
Eremophila parvifolia subsp. auricampa,WAH_2023_2,APC,Genus
Eremophila pensilis,WAH_2023_2,APC,Genus
Eremophila ringens,WAH_2023_2,APC,Genus
Eryngium pinnatifidum subsp. palustre,WAH_2023_2,APC,Genus
Eryngium pinnatifidum subsp. pinnatifidum,WAH_2023_2,APC,Genus
Eucalyptus barklyensis,WAH_2023_2,APC,Genus
Eucalyptus brachycorys,WAH_2023_2,APC,Genus
Eucalyptus clelandii,WAH_2023_2,APC,Genus
Eucalyptus goniantha subsp. notactites,WAH_2023_2,APC,Genus
Eucalyptus sp. [Eucalyptus trichopoda],WAH_2023_2,APC,Genus
Euphorbia alsiniflora,WAH_2023_2,APC,Genus
Euphorbia atoto,WAH_2023_2,APC,Genus
Euphorbia comans,WAH_2023_2,APC,Genus
Euryomyrtus ciliata,WAH_2023_2,APC,Genus
Eutaxia epacridoides subsp. epacridoides,WAH_2023_2,APC,Genus
Fatoua pilosa,WAH_2023_2,APC,Genus
Festuca arundinacea,WAH_2023_2,APC,Genus
Festuca pratensis,WAH_2023_2,APC,Genus
Filago gallica,WAH_2023_2,APC,Genus
Fimbristylis miliacea,WAH_2023_2,APC,Genus
Flaveria australasica,WAH_2023_2,APC,Genus
Flemingia involucrata,WAH_2023_2,APC,Genus
Geleznowia verrucosa subsp. verrucosa,WAH_2023_2,APC,Genus
Gnephosis intonsa,WAH_2023_2,APC,Genus
Gonocarpus benthamii subsp. benthamii,WAH_2023_2,APC,Genus
Gonocarpus hexandrus,WAH_2023_2,APC,Genus
Gonocarpus hexandrus subsp. integrifolius,WAH_2023_2,APC,Genus
Gonocarpus hexandrus subsp. serratus,WAH_2023_2,APC,Genus
Grevillea dissecta,WAH_2023_2,APC,Genus
Grevillea sp. [Grevillea sp. Trayning (W. Johnston WJ 071); WAH_2022_2],WAH_2023_2,APC,Genus
Habenaria ochroleuca,WAH_2023_2,APC,Genus
Halgania gustafsenii var. gustafsenii,WAH_2023_2,APC,Genus
Halgania solanacea var. solanacea,WAH_2023_2,APC,Genus
Haloragis brownii,WAH_2023_2,APC,Genus
Helichrysum macranthum,WAH_2023_2,APC,Genus
Helicteres dentata,WAH_2023_2,APC,Genus
Hemiandra australis,WAH_2023_2,APC,Genus
Hemiandra bellairsiana,WAH_2023_2,APC,Genus
Hemiandra glabra subsp. chimaera,WAH_2023_2,APC,Genus
Hemiandra glabra subsp. glabra,WAH_2023_2,APC,Genus
Hemiandra hancocksiana,WAH_2023_2,APC,Genus
Hemichroa diandra,WAH_2023_2,APC,Genus
Hemigenia eutaxioides,WAH_2023_2,APC,Genus
Hibiscus gardneri,WAH_2023_2,APC,Genus
Hordeum geniculatum,WAH_2023_2,APC,Genus
Hypocalymma cordifolium subsp. minus,WAH_2023_2,APC,Genus
Hypoxis gardneri,WAH_2023_2,APC,Genus
Hypoxis glabella,WAH_2023_2,APC,Genus
Hypoxis glabella var. leptantha,WAH_2023_2,APC,Genus
Hypoxis occidentalis,WAH_2023_2,APC,Genus
Hypoxis occidentalis var. quadriloba,WAH_2023_2,APC,Genus
Hypoxis salina,WAH_2023_2,APC,Genus
Hypoxis vaginata var. vaginata,WAH_2023_2,APC,Genus
Hyptis suaveolens,WAH_2023_2,APC,Genus
Indigofera gilesii subsp. gilesii,WAH_2023_2,APC,Genus
Isolepis hookeriana,WAH_2023_2,APC,Genus
Isopogon buxifolius var. linearis,WAH_2023_2,APC,Genus
Isotoma armstrongii,WAH_2023_2,APC,Genus
Isotoma hypocrateriformis var. hypocrateriformis,WAH_2023_2,APC,Genus
Lambertia orbifolia subsp. orbifolia,WAH_2023_2,APC,Genus
Lasiopetalum cordifolium subsp. acuminatum,WAH_2023_2,APC,Genus
Lasiopetalum cordifolium subsp. cordifolium,WAH_2023_2,APC,Genus
Lasiopetalum miseryense,WAH_2023_2,APC,Genus
Lasiopetalum molle subsp. molle,WAH_2023_2,APC,Genus
Lasiopetalum oldfieldii subsp. biloculatum,WAH_2023_2,APC,Genus
Lasiopetalum oldfieldii subsp. oldfieldii,WAH_2023_2,APC,Genus
Lepidosperma aphyllum,WAH_2023_2,APC,Genus
Lepidosperma brunonianum,WAH_2023_2,APC,Genus
Leucopogon minutifolius,WAH_2023_2,APC,Genus
Leucopogon sp. [Leucopogon striatus],WAH_2023_2,APC,Genus
Lindernia crustacea,WAH_2023_2,APC,Genus
Livistona kimberleyana,WAH_2023_2,APC,Genus
Logania biloba,WAH_2023_2,APC,Genus
Logania campanulata,WAH_2023_2,APC,Genus
Logania exilis,WAH_2023_2,APC,Genus
Logania judithiana,WAH_2023_2,APC,Genus
Logania serpyllifolia subsp. angustifolia,WAH_2023_2,APC,Genus
Logania spermacocea,WAH_2023_2,APC,Genus
Logania tortuosa,WAH_2023_2,APC,Genus
Melaleuca apodocephala subsp. calcicola,WAH_2023_2,APC,Genus
Melaleuca coronicarpa,WAH_2023_2,APC,Genus
Micromyrtus triptycha subsp. triptycha,WAH_2023_2,APC,Genus
Microtis media subsp. quadrata,WAH_2023_2,APC,Genus
Mimulus clementii,WAH_2023_2,APC,Genus
Mimulus uvedaliae var. lutea,WAH_2023_2,APC,Genus
Mollugo molluginea,WAH_2023_2,APC,Genus
Monotoca aristata,WAH_2023_2,APC,Genus
Nymphaea immutabilis subsp. kimberleyensis,WAH_2023_2,APC,Genus
Olearia conspicua,WAH_2023_2,APC,Genus
Olearia dampieri subsp. dampieri,WAH_2023_2,APC,Genus
Ozothamnus ramosus,WAH_2023_2,APC,Genus
Paraceterach reynoldsii,WAH_2023_2,APC,Genus
Patersonia drummondii subsp. drummondii,WAH_2023_2,APC,Genus
Pelargonium littorale subsp. littorale,WAH_2023_2,APC,Genus
Petalostigma nummularium,WAH_2023_2,APC,Genus
Pityrodia atriplicina,WAH_2023_2,APC,Genus
Pityrodia cuneata,WAH_2023_2,APC,Genus
Pityrodia dilatata,WAH_2023_2,APC,Genus
Pityrodia loxocarpa,WAH_2023_2,APC,Genus
Pityrodia oldfieldii,WAH_2023_2,APC,Genus
Pityrodia verbascina,WAH_2023_2,APC,Genus
Ptilotus helipteroides var. minor,WAH_2023_2,APC,Genus
Ruschia sp. [Ruschia macowanii; WAH_2022_2],WAH_2023_2,APC,Genus
Sauropus salignus,WAH_2023_2,APC,Genus
Sauropus trachyspermus,WAH_2023_2,APC,Genus
Scabiosa atropurpurea,WAH_2023_2,APC,Genus
Schoenoplectus litoralis,WAH_2023_2,APC,Genus
Schoenus sp. [Schoenus sp. Beaufort (G.J. Keighery 6291); WAH_2022_2],WAH_2023_2,APC,Genus
Scholtzia leptantha,WAH_2023_2,APC,Genus
Sclerolaena sp. [Sclerolaena sp. Koolanooka Hills (R. Meissner & Y. Caruso 437); WAH_2022_2],WAH_2023_2,APC,Genus
Sida pilbarensis,WAH_2023_2,APC,Genus
Sida sp. [Sida sp. Pilbara (S. van Leeuwen 4377); WAH_2022_2],WAH_2023_2,APC,Genus
Sisyrinchium exile,WAH_2023_2,APC,Genus
Sisyrinchium iridifolium,WAH_2023_2,APC,Genus
Stylidium emarginatum subsp. exappendiculatum,WAH_2023_2,APC,Genus
Synaphea sp. [Synaphea sp. Pinjarra Plain (A.S. George 17182)],WAH_2023_2,APC,Genus
Tetratheca nuda var. spartea,WAH_2023_2,APC,Genus
Thryptomene ninghanensis,WAH_2023_2,APC,Genus
Trianthema glossostigma,WAH_2023_2,APC,Genus
Trianthema triquetra,WAH_2023_2,APC,Genus
Trianthema turgidifolia,WAH_2023_2,APC,Genus
Tricoryne sp. [Tricoryne sp. Great Victoria Desert western dunes (C. Slee 645-211); WAH_2022_2],WAH_2023_2,APC,Genus
Tripterococcus brachylobus,WAH_2023_2,APC,Genus
Trymalium floribundum,WAH_2023_2,APC,Genus
Uraria cylindracea,WAH_2023_2,APC,Genus
Vallisneria americana,WAH_2023_2,APC,Genus
Vigna radiata var. setulosa,WAH_2023_2,APC,Genus
Xanthosia bungei,WAH_2023_2,APC,Genus
