error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Meers_2010_054,Williams_2020_1,Eucalyptus dives,NA,NA,Williams_2020_1_738,seed_mass,0.79,mg,NA,site_mean,unknown,Eucalyptus dives
Duplicate of Meers_2010_056,Williams_2020_1,Eucalyptus goniocalyx,NA,NA,Williams_2020_1_288,seed_mass,0.33,mg,NA,site_mean,unknown,Eucalyptus goniocalyx
Duplicate of Meers_2010_057,Williams_2020_1,Eucalyptus macrorhyncha,NA,NA,Williams_2020_1_744,seed_mass,1.11,mg,NA,site_mean,unknown,Eucalyptus macrorhyncha
Duplicate of Meers_2010_058,Williams_2020_1,Eucalyptus melliodora,NA,NA,Williams_2020_1_745,seed_mass,0.023,mg,NA,site_mean,unknown,Eucalyptus melliodora
Duplicate of Meers_2010_061,Williams_2020_1,Eucalyptus rubida,NA,NA,Williams_2020_1_291,seed_mass,0.05,mg,NA,site_mean,unknown,Eucalyptus rubida
Duplicate of Meers_2010_062,Williams_2020_1,Euchiton collinus,NA,NA,Williams_2020_1_518,seed_mass,0.007,mg,NA,site_mean,unknown,Euchiton collinus
Duplicate of Meers_2010_065,Williams_2020_1,Geranium potentilloides,NA,NA,Williams_2020_1_199,seed_mass,1.75,mg,NA,site_mean,unknown,Geranium potentilloides
Duplicate of Meers_2010_066,Williams_2020_1,Glycine clandestina,NA,NA,Williams_2020_1_183,seed_mass,3.01,mg,NA,site_mean,unknown,Glycine clandestina
Duplicate of Meers_2010_067,Williams_2020_1,Gompholobium huegelii,NA,NA,Williams_2020_1_649,seed_mass,3.17,mg,NA,site_mean,unknown,Gompholobium huegelii
Duplicate of Meers_2010_068,Williams_2020_1,Gonocarpus tetragynus,NA,NA,Williams_2020_1_211,seed_mass,0.47,mg,NA,site_mean,unknown,Gonocarpus tetragynus
Duplicate of Meers_2010_069,Williams_2020_1,Hardenbergia violacea,NA,NA,Williams_2020_1_187,seed_mass,35.03,mg,NA,site_mean,unknown,Hardenbergia violacea
Duplicate of Meers_2010_070,Williams_2020_1,Helichrysum scorpioides,NA,NA,Williams_2020_1_042,seed_mass,0.12,mg,NA,site_mean,unknown,Helichrysum scorpioides
Duplicate of Meers_2010_071,Williams_2020_1,Hibbertia obtusifolia,NA,NA,Williams_2020_1_620,seed_mass,6.12,mg,NA,site_mean,unknown,Hibbertia obtusifolia
Duplicate of Meers_2010_073,Williams_2020_1,Hydrocotyle callicarpa,NA,NA,Williams_2020_1_017,seed_mass,0.41,mg,NA,site_mean,unknown,Hydrocotyle callicarpa
Duplicate of Meers_2010_074,Williams_2020_1,Hydrocotyle foveolata,NA,NA,Williams_2020_1_019,seed_mass,0.22,mg,NA,site_mean,unknown,Hydrocotyle foveolata
Duplicate of Meers_2010_075,Williams_2020_1,Hydrocotyle setulosa,NA,NA,Williams_2020_1_021,seed_mass,0.24,mg,NA,site_mean,unknown,Hydrocotyle laxiflora
Duplicate of Meers_2010_077,Williams_2020_1,Hypericum gramineum,NA,NA,Williams_2020_1_108,seed_mass,0.015,mg,NA,site_mean,unknown,Hypericum gramineum
Duplicate of Meers_2010_078,Williams_2020_1,Indigofera australis,NA,NA,Williams_2020_1_188,seed_mass,7.13,mg,NA,site_mean,unknown,Indigofera australis
Duplicate of Meers_2010_079,Williams_2020_1,Juncus bufonius,NA,NA,Williams_2020_1_222,seed_mass,0.012,mg,NA,site_mean,unknown,Juncus bufonius
Duplicate of Meers_2010_080,Williams_2020_1,Kunzea ericoides,NA,NA,Williams_2020_1_754,seed_mass,0.034,mg,NA,site_mean,unknown,Kunzea ericoides
Duplicate of Meers_2010_081,Williams_2020_1,Agrostis avenacea,NA,NA,Williams_2020_1_836,seed_mass,0.1,mg,NA,site_mean,unknown,Lachnagrostis filiformis
Duplicate of Meers_2010_082,Williams_2020_1,Lagenophora huegelii,NA,NA,Williams_2020_1_045,seed_mass,0.66,mg,NA,site_mean,unknown,Lagenophora huegelii
Duplicate of Meers_2010_083,Williams_2020_1,Lagenophora stipitata,NA,NA,Williams_2020_1_046,seed_mass,0.23,mg,NA,site_mean,unknown,Lagenophora stipitata
Duplicate of Meers_2010_084,Williams_2020_1,Lepidosperma laterale,NA,NA,Williams_2020_1_151,seed_mass,4.12,mg,NA,site_mean,unknown,Lepidosperma laterale
Duplicate of Meers_2010_085,Williams_2020_1,Leucopogon virgatus,NA,NA,Williams_2020_1_176,seed_mass,1.34,mg,NA,site_mean,unknown,Leucopogon virgatus
Duplicate of Meers_2010_086,Williams_2020_1,Lomandra filiformis,NA,NA,Williams_2020_1_952,seed_mass,12.97,mg,NA,site_mean,unknown,Lomandra filiformis
Duplicate of Meers_2010_088,Williams_2020_1,Luzula meridionalis,NA,NA,Williams_2020_1_231,seed_mass,0.29,mg,NA,site_mean,unknown,Luzula meridionalis
Duplicate of Meers_2010_090,Williams_2020_1,Ehrharta stipoides,NA,NA,Williams_2020_1_397,seed_mass,3.86,mg,NA,site_mean,unknown,Microlaena stipoides
Duplicate of Meers_2010_092,Williams_2020_1,Millotia tenuifolia,NA,NA,Williams_2020_1_049,seed_mass,0.13,mg,NA,site_mean,unknown,Millotia tenuifolia
Duplicate of Meers_2010_093,Williams_2020_1,Monotoca scoparia,NA,NA,Williams_2020_1_632,seed_mass,1.21,mg,NA,site_mean,unknown,Monotoca scoparia
Duplicate of Meers_2010_095,Williams_2020_1,Opercularia varia,NA,NA,Williams_2020_1_447,seed_mass,0.8,mg,NA,site_mean,unknown,Opercularia varia
Duplicate of Meers_2010_096,Williams_2020_1,Oxalis perennans,NA,NA,Williams_2020_1_350,seed_mass,0.32,mg,NA,site_mean,unknown,Oxalis perennans
Duplicate of Meers_2010_097,Williams_2020_1,Pimelea linifolia,NA,NA,Williams_2020_1_471,seed_mass,2.79,mg,NA,site_mean,unknown,Pimelea linifolia ssp linifolia
Duplicate of Meers_2010_098,Williams_2020_1,Plantago debilis,NA,NA,Williams_2020_1_811,seed_mass,0.27,mg,NA,site_mean,unknown,Plantago debilis
Duplicate of Meers_2010_099,Williams_2020_1,Platylobium formosum,NA,NA,Williams_2020_1_652,seed_mass,9.23,mg,NA,site_mean,unknown,Platylobium formosum
Duplicate of Meers_2010_100,Williams_2020_1,Poa sieberiana,NA,NA,Williams_2020_1_844,seed_mass,0.07,mg,NA,site_mean,unknown,Poa sieberiana
Duplicate of Meers_2010_101,Williams_2020_1,Poranthera microphylla,NA,NA,Williams_2020_1_177,seed_mass,0.07,mg,NA,site_mean,unknown,Poranthera microphylla
Duplicate of Meers_2010_102,Williams_2020_1,Laphangium luteoalbum,NA,NA,Williams_2020_1_053,seed_mass,0.003,mg,NA,site_mean,unknown,Pseudognaphalium luteoalbum
Duplicate of Meers_2010_103,Williams_2020_1,Ranunculus lappaceus,NA,NA,Williams_2020_1_432,seed_mass,2.29,mg,NA,site_mean,unknown,Ranunculus lappaceus
Duplicate of Meers_2010_106,Williams_2020_1,Rumex brownii,NA,NA,Williams_2020_1_418,seed_mass,1.58,mg,NA,site_mean,unknown,Rumex brownii
Duplicate of Meers_2010_107,Williams_2020_1,Senecio hispidulus,NA,NA,Williams_2020_1_054,seed_mass,0.05,mg,NA,site_mean,unknown,Senecio hispidulus
Duplicate of Meers_2010_108,Williams_2020_1,Erechtites minima,NA,NA,Williams_2020_1_055,seed_mass,0.17,mg,NA,site_mean,unknown,Senecio minimus
Duplicate of Meers_2010_109,Williams_2020_1,Senecio quadridentatus,NA,NA,Williams_2020_1_057,seed_mass,0.18,mg,NA,site_mean,unknown,Senecio quadridentatus
Duplicate of Meers_2010_110,Williams_2020_1,Senecio tenuiflorus,NA,NA,Williams_2020_1_059,seed_mass,0.28,mg,NA,site_mean,unknown,Senecio tenuiflorus
Duplicate of Meers_2010_111,Williams_2020_1,Solenogyne dominii,NA,NA,Williams_2020_1_060,seed_mass,0.25,mg,NA,site_mean,unknown,Solenogyne dominii
Duplicate of Meers_2010_112,Williams_2020_1,Stellaria pungens,NA,NA,Williams_2020_1_574,seed_mass,0.57,mg,NA,site_mean,unknown,Stellaria pungens
Duplicate of Meers_2010_113,Williams_2020_1,Stuartina muelleri,NA,NA,Williams_2020_1_062,seed_mass,0.13,mg,NA,site_mean,unknown,Stuartina muelleri
Duplicate of Meers_2010_114,Williams_2020_1,Stylidium graminifolium,NA,NA,Williams_2020_1_465,seed_mass,0.17,mg,NA,site_mean,unknown,Stylidium graminifolium
Duplicate of Meers_2010_117,Williams_2020_1,Veronica calycina,NA,NA,Williams_2020_1_894,seed_mass,0.27,mg,NA,site_mean,unknown,Veronica calycina
Duplicate of Meers_2010_118,Williams_2020_1,Viola hederacea,NA,NA,Williams_2020_1_480,seed_mass,0.34,mg,NA,site_mean,unknown,Viola hederacea
Duplicate of Meers_2010_119,Williams_2020_1,Wahlenbergia gracilenta,NA,NA,Williams_2020_1_080,seed_mass,0.003,mg,NA,site_mean,unknown,Wahlenbergia gracilenta
Duplicate of Meers_2010_120,Williams_2020_1,Wahlenbergia multicaulis,NA,NA,Williams_2020_1_083,seed_mass,0.008,mg,NA,site_mean,unknown,Wahlenbergia multicaulis
Duplicate of Meers_2010_121,Williams_2020_1,Wahlenbergia stricta,NA,NA,Williams_2020_1_084,seed_mass,0.005,mg,NA,site_mean,unknown,Wahlenbergia stricta ssp stricta
Duplicate of Morgan_2011_2_001,Williams_2020_1,Acacia mearnsii,NA,NA,Williams_2020_1_276,seed_mass,13.35,mg,NA,site_mean,unknown,Acacia mearnsii
Duplicate of Morgan_2011_2_004,Williams_2020_1,Acacia pycnantha,NA,NA,Williams_2020_1_280,seed_mass,17.79,mg,NA,site_mean,unknown,Acacia pycnantha
Duplicate of Morgan_2011_2_008,Williams_2020_1,Dichopogon fimbriatus,NA,NA,Williams_2020_1_243,seed_mass,1.02,mg,NA,site_mean,unknown,Arthropodium fimbriatum
Duplicate of Morgan_2011_2_009,Williams_2020_1,Arthropodium minus,NA,NA,Williams_2020_1_244,seed_mass,1.571,mg,NA,site_mean,unknown,Arthropodium minus
Duplicate of Morgan_2011_2_012,Williams_2020_1,Rytidosperma pilosum,NA,NA,Williams_2020_1_364,seed_mass,0.64,mg,NA,site_mean,unknown,Austrodanthonia pilosa
Duplicate of Morgan_2011_2_013,Williams_2020_1,Rytidosperma racemosum,NA,NA,Williams_2020_1_365,seed_mass,0.636,mg,NA,site_mean,unknown,Austrodanthonia racemosa
Duplicate of Morgan_2011_2_014,Williams_2020_1,Stipa curticoma,NA,NA,Williams_2020_1_370,seed_mass,4.6,mg,NA,site_mean,unknown,Austrostipa curticoma
Duplicate of Morgan_2011_2_015,Williams_2020_1,Bossiaea prostrata,NA,NA,Williams_2020_1_178,seed_mass,2.94,mg,NA,site_mean,unknown,Bossiaea prostrata
