site_name_Richards,AusTraits_site_name,AusTraits_key,latitude (deg),longitude (deg),description,MAP (mm),MAT (),source lat/lon,soil,soil_pH,geology,elevation (m),soil total P
BevegeandJohnston1978 _Millmerran,Bevege_1978_Millmerran,Bevege_1978,,,,,,,,,,,
BirkandTurner1992_WeddingBells,Birk_1992_Wedding Bells,Birk_1992,-30.133,153.117,plantation,1500,,Birk_1992,Shallow (< 70 cm) brown earth soils were typical of the upper slope positions but changed to deep (> 2 m) red earths on the lower slopes,,massive Greywacke parent material ofthe Lower Permian Coromba Beds,110-140,
Cromeretal1975_Morwell,Cromer_1975_Morwell,Cromer_1975,,,,,,,,,,,
Feller1980_MaroondahEO,Feller_1980_Maroondah_EO,Feller_1980,-37.633,145.583,"dry sclerophyll or open forest containing several dominant
eucalypt species",1200,15.5,Feller_1980,intermediate between krasnozems and podzolics designated as Gn 4.54,,quartz-biotite-dacite,180,5.7-6.0
Feller1980_MaroondahER,Feller_1980_Maroondah_ER,Feller_1980,-37.633,145.583,wet sclerophyll or tall open forest of Eucalyptus regnans with a closed canopy and shrub understory,1660,10.7,Feller_1980,krasnozem designated Gn 4.31,,igneous quartz-dacite with more biotite,560,4.7-5.0
Hatch1955_Dwellingup,Hatch_1955_Dwellingup,Hatch_1955,,,,,,,,,,,
Hopmansetal1993_Maramingo,Hopmans_1993_Maramingo,Hopmans_1993,,,,,,,,,,,
Lambert1979thesis_BagoSF,Lambert_1979_Bago State Forest,Lambert_1979,,,,,,,,,,,
Lambert1979thesis_LidsdaleSF,Lambert_1979_Lidsdale State Forest,Lambert_1979,,,,,,,,,,,
Leigh&Nicotra2003_LakeTyrrell,Leigh_2003_Lake Tyrrell,Leigh_2003,,,,,,,,,,,
Leigh2006_ACT,Leigh_2006_ACT,Leigh_2006,,,,,,,,,,,
Leuningetal1991_Toolara,Leuning_1991_Toolara,Leuning_1991,,,,,,,,,,,
Marsh&Adams1995_Moormung,Marsh_1995_Moormung,Marsh_1995,,,,,,,,,,,
Meakinsunpub_Brindabella1,Meakins_0000_Brindabella_1,Meakins_0000,,,,,,,,,,,
Meakinsunpub_Brindabella2,Meakins_0000_Brindabella_2,Meakins_0000,,,,,,,,,,,
Meakinsunpub_Brindabella3,Meakins_0000_Brindabella_3,Meakins_0000,,,,,,,,,,,
Mooreetal1967_Meandarra,Moore_1967_Meandarra,Moore_1967,,,,,,,,,,,
Pearcy1987_CurtinFig,Pearcy_1987_Curtin_Fig,Pearcy_1987,,,,,,,,,,,
RichardsAustralia_Hooppineplantation25,Richards_2008_2_Hooppine_plantation_25,Richards_2008_2,,,,,,,,,,,
RichardsAustralia_Hooppineplantation34,Richards_2008_2_Hooppine_plantation_34,Richards_2008_2,,,,,,,,,,,
RichardsAustralia_Hooppineplantation50,Richards_2008_2_Hooppine_plantation_50,Richards_2008_2,,,,,,,,,,,
RichardsAustralia_Hooppineplantation63,Richards_2008_2_Hooppine_plantation_63,Richards_2008_2,,,,,,,,,,,
RichardsAustralia_Maleny,Richards_2008_2_Maleny,Richards_2008_2,,,,,,,,,,,
RichardsAustralia_NorthQueensland1,Richards_2008_2_North_Queensland_1,Richards_2008_2,,,,,,,,,,,
RichardsAustralia_NorthQueensland2,Richards_2008_2_North_Queensland_2,Richards_2008_2,,,,,,,,,,,
RichardsAustralia_NorthQueensland3,Richards_2008_2_North_Queensland_3,Richards_2008_2,,,,,,,,,,,
TurnerandLambert1983_Conglomerate,Turner_1983_Conglomerate,Turner_1983,,,,,,,,,,,
Westman&Rogers1977_Stradbroke,Westman_1977_Stradbroke,Westman_1977,,,,,,,,,,,
Schortemeyeretalunpub_NATT_Kunoth Paddock,Schortemeyer_0000_NATT_Kunoth Paddock,Schortemeyer_0000,-23.51694,133.6492,Acacia-dominated mulga woodland,,,Soper_2014,,,,,
Schortemeyeretalunpub_NATT_Newcastle Waters,Schortemeyer_0000_NATT_Newcastle Waters,Schortemeyer_0000,-17.3775,133.4097,dominated by either Acacia or Eucalyptus,,,Soper_2014,,,,,
Schortemeyeretalunpub_NATT_Katherine,Schortemeyer_0000_NATT_Katherine,Schortemeyer_0000,-14.47306,132.3031,,,,Soper_2014,,,,,
Schortemeyeretalunpub_NATT_Berrimah,Schortemeyer_0000_NATT_Berrimah,Schortemeyer_0000,-12.43389,130.9228,Eucalyptus-dominated,,,Soper_2014,,,,,
