Family,Nameinfra,Fire_Response_Adult,Resprout_Type
MIMOSACEAE,Acacia sp. Graveside Gorge (V.J.Levitzke 806),NA,NA
MIMOSACEAE,Acacia sp. Indiana Station (P.K.Latz 4430),NA,NA
MIMOSACEAE,Acacia sp. Jim Jim Falls (M.Lazarides 9075),NA,NA
MIMOSACEAE,Acacia sp. Krichauff Range (A.Soos 241),4,7
MIMOSACEAE,Acacia sp. Kulgera (P.K.Latz 12460),NA,NA
MIMOSACEAE,Acacia sp. Lake Mackay (P.K.Latz 12836),NA,NA
MIMOSACEAE,Acacia sp. laterite (I.D.Cowie 8754),NA,NA
MIMOSACEAE,Acacia sp. Tanami (D.E.Albrecht 6176),NA,NA
MIMOSACEAE,Acacia spondylophylla,2,2
MIMOSACEAE,Acacia stellaticeps,NA,NA
MIMOSACEAE,Acacia stenophylla,NA,NA
MIMOSACEAE,Acacia stigmatophylla,NA,NA
MIMOSACEAE,Acacia stipuligera,4,20
MIMOSACEAE,Acacia stipulosa,NA,NA
MIMOSACEAE,Acacia stowardii,4,2
MIMOSACEAE,Acacia strongylophylla,1,2
MIMOSACEAE,Acacia suberosa,NA,NA
MIMOSACEAE,Acacia sublanata,8,2
MIMOSACEAE,Acacia subternata,1,5
MIMOSACEAE,Acacia sutherlandii,2,2
MIMOSACEAE,Acacia symonii,NA,NA
MIMOSACEAE,Acacia synchronicia,NA,NA
MIMOSACEAE,Acacia tenuispica,NA,NA
MIMOSACEAE,Acacia tenuissima,NA,NA
MIMOSACEAE,Acacia tephrina,NA,NA
MIMOSACEAE,Acacia tetragonophylla,4,22
MIMOSACEAE,Acacia thomsonii,NA,NA
MIMOSACEAE,Acacia tolmerensis,NA,NA
MIMOSACEAE,Acacia torulosa,4,20
MIMOSACEAE,Acacia translucens,1,5
MIMOSACEAE,Acacia tropica,NA,NA
MIMOSACEAE,Acacia tumida var. indeterminate,3,2
MIMOSACEAE,Acacia turbata,NA,NA
MIMOSACEAE,Acacia umbellata,1,5
MIMOSACEAE,Acacia undoolyana,5,7
MIMOSACEAE,Acacia validinervia,2,1
MIMOSACEAE,Acacia victoriae subsp. arida,2,2
MIMOSACEAE,Acacia victoriae subsp. indeterminate,NA,NA
MIMOSACEAE,Acacia victoriae subsp. victoriae,2,2
MIMOSACEAE,Acacia wickhamii subsp. indeterminate,1,5
MIMOSACEAE,Acacia wickhamii subsp. parviphyllodinea,NA,NA
MIMOSACEAE,Acacia wickhamii subsp. viscidula,NA,NA
MIMOSACEAE,Acacia wickhamii subsp. wickhamii,NA,NA
MIMOSACEAE,Acacia wiseana,2,NA
MIMOSACEAE,Acacia yirrkallensis,1,5
EUPHORBIACEAE,Acalypha lanceolata,NA,NA
EUPHORBIACEAE,Acalypha pubiflora subsp. australica,NA,NA
ASTERACEAE,Acanthospermum hispidum,1,5
ACANTHACEAE,Acanthus ebracteatus subsp. ebarbatus,NA,NA
ACANTHACEAE,Acanthus ilicifolius,NA,NA
POLYGONACEAE,Acetosa vesicaria,1,NA
AMARANTHACEAE,Achyranthes aspera,1,5
ASTERACEAE,Acmella grandiflora var. brachyglossa,NA,NA
ASTERACEAE,Acmella grandiflora var. discoides,NA,NA
ASTERACEAE,Acmella grandiflora var. grandiflora,NA,NA
ASTERACEAE,Acmella grandiflora var. indeterminate,NA,NA
MYRTACEAE,Acmena hemilampra subsp. hemilampra,NA,NA
MYRTACEAE,Acmena hemilampra subsp. indeterminate,3,7
MYRTACEAE,Acmenosperma claviflorum,3,7
ASTERACEAE,Acomis kakadu,NA,NA
POACEAE,Acrachne racemosa,NA,NA
PTERIDACEAE,Acrostichum aureum,3,1
PTERIDACEAE,Acrostichum speciosum,3,1
EUPHORBIACEAE,Actephila lindleyi,3,2
ASTERACEAE,Actinobole uliginosum,1,NA
CYPERACEAE,Actinoscirpus grossus,NA,NA
SCHIZAEACEAE,Actinostachys digitata,1,5
SCHIZAEACEAE,Actinostachys wagneri,NA,NA
APIACEAE,Actinotus schwarzii,NA,NA
BOMBACACEAE,Adansonia gregorii,2,3
MIMOSACEAE,Adenanthera pavonina,2,3
PASSIFLORACEAE,Adenia heterophylla subsp. australis,2,2
SCROPHULARIACEAE,Adenosma muelleri,NA,NA
ASTERACEAE,Adenostemma lavenia,1,5
ADIANTACEAE,Adiantum aethiopicum,1,2
ADIANTACEAE,Adiantum atroviride,NA,NA
ADIANTACEAE,Adiantum capillus-veneris,NA,NA
ADIANTACEAE,Adiantum diaphanum,NA,NA
ADIANTACEAE,Adiantum hispidulum var. hispidulum,2,2
ADIANTACEAE,Adiantum philippense,1,2
EUPHORBIACEAE,Adriana glabrata var. subglabrata,NA,NA
EUPHORBIACEAE,Adriana tomentosa var. hookeri,2,1
EUPHORBIACEAE,Adriana tomentosa var. indeterminate,NA,NA
EUPHORBIACEAE,Adriana tomentosa var. tomentosa,NA,NA
PLUMBAGINACEAE,Aegialitis annulata,NA,NA
MYRSINACEAE,Aegiceras corniculatum,NA,NA
OROBANCHACEAE,Aeginetia saccharicola,NA,NA
RUTACEAE,Aegle marmelos,NA,NA
FABACEAE,Aenictophyton reconditum,2,1
AMARANTHACEAE,Aerva javanica,NA,NA
FABACEAE,Aeschynomene americana,NA,NA
FABACEAE,Aeschynomene aspera,NA,NA
FABACEAE,Aeschynomene indica,1,5
FABACEAE,Aeschynomene villosa,NA,NA
AGAVACEAE,Agave attenuata,NA,NA
ASTERACEAE,Ageratum conyzoides,1,5
MELIACEAE,Aglaia brownii,2,10
MELIACEAE,Aglaia elaeagnoidea,NA,NA
MELIACEAE,Aglaia sapindina,3,2
POACEAE,Agrostis avenacea,NA,NA
POACEAE,Agrostis viridis,NA,NA
RUBIACEAE,Aidia racemosa,2,3
SIMAROUBACEAE,Ailanthus triphysa,NA,NA
MIMOSACEAE,Albizia canescens,NA,NA
MIMOSACEAE,Albizia lebbeck,2,6
MIMOSACEAE,Albizia procera,2,6
MIMOSACEAE,Albizia saman,NA,NA
DROSERACEAE,Aldrovanda vesiculosa,NA,NA
SAPINDACEAE,Alectryon kimberleyanus,2,7
SAPINDACEAE,Alectryon oleifolius subsp. elongatus,2,2
SAPINDACEAE,Alectryon tropicus,2,7
EUPHORBIACEAE,Aleurites molucanna,NA,NA
CASUARINACEAE,Allocasuarina decaisneana,2,3
SAPINDACEAE,Allophylus cobbe,2,2
ASTERACEAE,Allopterigeron filifolius,NA,NA
MYRTACEAE,Allosyncarpia ternata,2,7
POACEAE,Alloteropsis semialata,2,2
ALOEACEAE,Aloe vera,NA,NA
ALOEACEAE,Aloe vera var. officinalis,NA,NA
RHAMNACEAE,Alphitonia excelsa,2,2
RHAMNACEAE,Alphitonia incana,NA,NA
RHAMNACEAE,Alphitonia obtusifolia var. tenuis,NA,NA
APOCYNACEAE,Alstonia actinophylla,2,7
APOCYNACEAE,Alstonia spectabilis subsp. ophioxyloides,2,7
AMARANTHACEAE,Alternanthera angustifolia var. lanata,1,5
AMARANTHACEAE,Alternanthera dentata cv. indeterminate,NA,NA
AMARANTHACEAE,Alternanthera dentata cv. rubra,NA,NA
AMARANTHACEAE,Alternanthera denticulata,NA,NA
AMARANTHACEAE,Alternanthera micrantha,NA,NA
AMARANTHACEAE,Alternanthera nana,NA,NA
AMARANTHACEAE,Alternanthera nodiflora,1,5
AMARANTHACEAE,Alternanthera pungens,NA,NA
AMARANTHACEAE,Alternanthera sessilis,NA,NA
AMARANTHACEAE,Alternanthera tenella,NA,NA
MYRTACEAE,Aluta maisonneuvei subsp. maisonneuvei,1,NA
MALVACEAE,Alyogyne cravenii,NA,NA
MALVACEAE,Alyogyne pinoniana,2,2
FABACEAE,Alysicarpus brownii,NA,NA
FABACEAE,Alysicarpus muelleri,1,5
FABACEAE,Alysicarpus ovalifolius,4,4
FABACEAE,Alysicarpus schomburgkii,1,5
FABACEAE,Alysicarpus vaginalis,1,5
APOCYNACEAE,Alyxia evansii,NA,NA
APOCYNACEAE,Alyxia spicata,2,6
APOCYNACEAE,Alyxia tropica,1,5
AMARANTHACEAE,Amaranthus cochleitepalus,1,5
AMARANTHACEAE,Amaranthus cruentus,NA,NA
AMARANTHACEAE,Amaranthus cuspidifolius,NA,NA
AMARANTHACEAE,Amaranthus grandiflorus,NA,NA
AMARANTHACEAE,Amaranthus hybridus,NA,NA
AMARANTHACEAE,Amaranthus interruptus,1,NA
AMARANTHACEAE,Amaranthus leptostachyus,NA,NA
AMARANTHACEAE,Amaranthus macrocarpus,NA,NA
AMARANTHACEAE,Amaranthus mitchellii,1,5
AMARANTHACEAE,Amaranthus pallidiflorus,1,5
AMARANTHACEAE,Amaranthus sp. Alice Springs (D.E.Albrecht 8892),1,NA
AMARANTHACEAE,Amaranthus sp. Birrindudu (J.L.Egan 4244),NA,NA
AMARANTHACEAE,Amaranthus spinosus,NA,NA
AMARANTHACEAE,Amaranthus tricolor,NA,NA
AMARANTHACEAE,Amaranthus viridis,NA,NA
LYTHRACEAE,Ammannia auriculata,NA,NA
LYTHRACEAE,Ammannia baccifera,1,5
LYTHRACEAE,Ammannia multiflora,1,5
LYTHRACEAE,Ammannia pubiflora,NA,NA
ARACEAE,Amorphophallus galbra,2,4
ARACEAE,Amorphophallus paeoniifolius,2,4
VITACEAE,Ampelocissus acetosa,2,4
VITACEAE,Ampelocissus frutescens,2,2
THELYPTERIDACEAE,Ampelopteris prolifera,2,1
EUPHORBIACEAE,Amperea spicata,NA,NA
POACEAE,Amphipogon caricinus var. caricinus,NA,NA
POACEAE,Amphipogon caricinus var. indeterminate,NA,NA
POACEAE,Amphipogon caricinus var. sericeus,NA,NA
BORAGINACEAE,Amsinckia calycina,NA,NA
LORANTHACEAE,Amyema benthamii,1,5
LORANTHACEAE,Amyema bifurcata var. bifurcata,1,NA
LORANTHACEAE,Amyema bifurcata var. eburnea,NA,NA
LORANTHACEAE,Amyema bifurcata var. indeterminate,NA,NA
LORANTHACEAE,Amyema conspicua subsp. indeterminate,NA,NA
LORANTHACEAE,Amyema conspicua subsp. obscurinervis,NA,NA
LORANTHACEAE,Amyema dolichopodum,NA,NA
LORANTHACEAE,Amyema gibberula var. gibberula,1,5
LORANTHACEAE,Amyema haematodes,NA,NA
LORANTHACEAE,Amyema herbertiana,NA,NA
LORANTHACEAE,Amyema hilliana,1,5
LORANTHACEAE,Amyema mackayensis subsp. cycnei-sinus,NA,NA
LORANTHACEAE,Amyema maidenii subsp. maidenii,1,NA
LORANTHACEAE,Amyema miquelii,1,5
LORANTHACEAE,Amyema miraculosa subsp. boormanii,1,5
LORANTHACEAE,Amyema preissii,1,5
LORANTHACEAE,Amyema quandang var. quandang,1,5
LORANTHACEAE,Amyema sanguinea var. indeterminate,1,5
LORANTHACEAE,Amyema sanguinea var. pulchra,NA,NA
LORANTHACEAE,Amyema sanguinea var. sanguinea,1,5
LORANTHACEAE,Amyema sp. Alligator (J.Russell-Smith 5448),NA,NA
LORANTHACEAE,Amyema subcapitata,1,5
LORANTHACEAE,Amyema thalassia,NA,NA
LORANTHACEAE,Amyema tridactyla,NA,NA
LORANTHACEAE,Amyema villiflora subsp. indeterminate,NA,NA
LORANTHACEAE,Amyema villiflora subsp. tomentilla,NA,NA
LORANTHACEAE,Amyema villiflora subsp. villiflora,NA,NA
ANACARDIACEAE,Anacardium occidentale,NA,NA
PRIMULACEAE,Anagallis pumila,NA,NA
ACANTHACEAE,Andrographis paniculata,NA,NA
POACEAE,Andropogon gayanus,NA,NA
COMMELINACEAE,Aneilema siliculosum,2,4
ASTERACEAE,Anemocarpa podolepidium,NA,NA
ASTERACEAE,Anemocarpa saxatilis,2,NA
ASTERACEAE,Angianthus cyathifer,NA,NA
MARATTIACEAE,Angiopteris evecta,3,2
CONVOLVULACEAE,Aniseia martinicensis,1,5
LAMIACEAE,Anisomeles malabarica,1,5
ANNONACEAE,Annona reticulata,NA,NA
COMBRETACEAE,Anogeissus leiocarpa,NA,NA
SANTALACEAE,Anthobolus filifolius,2,2
SANTALACEAE,Anthobolus leptomerioides,2,1
MORACEAE,Antiaris toxicaria var. macrophylla,2,6
EUPHORBIACEAE,Antidesma ghesaembilla,2,6
EUPHORBIACEAE,Antidesma parvifolium,2,6
POLYGONACEAE,Antigonon leptopus,NA,NA
FABACEAE,Aphyllodium biarticulatum,NA,NA
FABACEAE,Aphyllodium schindleri,NA,NA
FABACEAE,Aphyllodium stylosanthoides,NA,NA
APIACEAE,Apium graveolens,NA,NA
APONOGETONACEAE,Aponogeton euryspermus,NA,NA
APONOGETONACEAE,Aponogeton euryspermus / vanbruggenii,NA,NA
APONOGETONACEAE,Aponogeton queenslandicus,NA,NA
APONOGETONACEAE,Aponogeton vanbruggenii,NA,NA
BRASSICACEAE,Arabidella glaucescens,NA,NA
BRASSICACEAE,Arabidella nasturtium,NA,NA
BRASSICACEAE,Arabidella procumbens,NA,NA
BRASSICACEAE,Arabidella trisecta,NA,NA
FABACEAE,Arachis hypogaea,NA,NA
ARCHIDIACEAE,Archidium indicum,NA,NA
ARCHIDIACEAE,Archidium ohioense,NA,NA
ASTERACEAE,Arctotheca calendula,NA,NA
MYRSINACEAE,Ardisia humilis,NA,NA
ARECACEAE,Arenga australasica,3,2
ARECACEAE,Arenga microcarpa,NA,NA
PAPAVERACEAE,Argemone ochroleuca subsp. ochroleuca,NA,NA
BORAGINACEAE,Argusia argentea,NA,NA
POACEAE,Aristida anthoxanthoides,NA,NA
POACEAE,Aristida arida,2,NA
POACEAE,Aristida biglandulosa var. biglandulosa,NA,NA
POACEAE,Aristida biglandulosa var. indeterminate,2,NA
POACEAE,Aristida biglandulosa var. laevis,NA,NA
POACEAE,Aristida calycina var. calycina,NA,NA
POACEAE,Aristida calycina var. indeterminate,NA,NA
POACEAE,Aristida capillifolia,2,2
POACEAE,Aristida contorta,4,2
POACEAE,Aristida dominii,3,NA
POACEAE,Aristida exserta,2,NA
POACEAE,Aristida holathera var. holathera,4,2
POACEAE,Aristida holathera var. indeterminate,3,NA
POACEAE,Aristida holathera var. latifolia,NA,NA
POACEAE,Aristida hygrometrica,1,5
POACEAE,Aristida inaequiglumis,2,2
POACEAE,Aristida ingrata,NA,NA
POACEAE,Aristida jerichoensis var. subspinulifera,2,NA
POACEAE,Aristida kimberleyensis,NA,NA
POACEAE,Aristida latifolia,2,2
POACEAE,Aristida latzii,2,NA
POACEAE,Aristida lazaridis,NA,NA
POACEAE,Aristida longicollis,NA,NA
POACEAE,Aristida macroclada subsp. indeterminate,NA,NA
POACEAE,Aristida macroclada subsp. macroclada,NA,NA
POACEAE,Aristida nitidula,2,NA
POACEAE,Aristida obscura,2,2
POACEAE,Aristida perniciosa,NA,NA
POACEAE,Aristida polyclados,NA,NA
POACEAE,Aristida pruinosa,2,NA
POACEAE,Aristida queenslandica var. indeterminate,NA,NA
POACEAE,Aristida queenslandica var. queenslandica,NA,NA
POACEAE,Aristida schultzii,NA,NA
POACEAE,Aristida sp. Bradshaw (C.R.Michell 2302),NA,NA
POACEAE,Aristida sp. Upper Fergusson (C.R.Michell 3717),NA,NA
POACEAE,Aristida strigosa,2,2
POACEAE,Aristida superpendens,3,2
POACEAE,Aristida utilis var. utilis,NA,NA
ARISTOLOCHIACEAE,Aristolochia elegans,NA,NA
ARISTOLOCHIACEAE,Aristolochia holtzei,1,5
ARISTOLOCHIACEAE,Aristolochia indica,2,6
ARISTOLOCHIACEAE,Aristolochia pubera,2,2
ARISTOLOCHIACEAE,Aristolochia tagala,NA,NA
ARISTOLOCHIACEAE,Aristolochia thozetii var. indeterminate,NA,NA
THYMELAEACEAE,Arnhemia cryptantha,2,2
ORCHIDACEAE,Arthrochilus latipes,2,4
LILIACEAE,Arthropodium strictum,NA,NA
CYPERACEAE,Arthrostylis aphylla,2,2
MORACEAE,Artocarpus glaucus,2,6
POACEAE,Arundinella nepalensis,1,5
POACEAE,Arundinella setosa,NA,NA
POACEAE,Arundo donax var. donax,2,NA
SAPINDACEAE,Arytera bifoliolata,2,2
ASCLEPIADACEAE,Asclepias curassavica,NA,NA
LILIACEAE,Asphodelus fistulosus,NA,NA
ASPLENIACEAE,Asplenium sp. Litchfield (J.Russell-Smith 6470),NA,NA
ASPLENIACEAE,Asplenium sp. Nabarlek (J.Russell-Smith 3875),1,5
MYRTACEAE,Astartea intratropica,NA,NA
