taxon_name,original_text,text,leaf_lamina_posture_a,leaf_lamina_posture_f,checked leaf_lamina_posture,leaf_margin_posture_a,leaf_margin_posture_f,checked leaf_margin_posture,plant_photsynthetic_organ_a,plant_photsynthetic_organ_f,checked photosynthetic_organ
Oreomyrrhis ciliata,"Description: Tufted perennial herb, 15-45 cm, with slender taproot, mostly glabrous. Leaves in basal rosette, pinnate, oblong in outline, 1-9 cm long, 5-30 mm wide; leaflets 9-19  lanceolate, 3-15 mm long, 2-10 mm wide, acute, mucronate, margins ciliate, otherwise glabrous; leaf sheath glabrous; petiole 5-15 cm long, base scarious, sheathing. Umbels 5-25-flowered; peduncle 3-30 cm long, densely hirsute, longer than leaves in fruit; bracts 6-8, ovate, 4.5-5 mm long. Petals c. 1 mm long, white with yellow midvein, glabrous or pubescent on outside. Fruit usually 5-18 per umbel,  ovoid, 2-5 mm long, 1-2 mm wide, glabrous; mericarps with prominent rounded ribs."," ; leaflets 9-19  lanceolate, 3-15 mm long, 2-10 mm wide, acute, mucronate, margins ciliate, otherwise glabrous; leaf sheath glabrous; petiole 5-15 cm long, base scarious, sheathing. ",,,,,,,leaf,leaf leaflets,checked
Oreomyrrhis eriopoda,"Description: Perennial herb, 5-50 cm high, with slender tap root. Leaves pinnate,  ovate in outline, 2.5-15 cm long, 10-80 mm wide; leaflets 15-25,  oblong, 3-40 mm long, abruptly acute, villous; leaf sheaths ciliate and often hirsute; petiole 2-20 cm long, villous. Umbels 15-35-flowered; peduncle 3-38 cm long, hirsute, to twice as long as leaves in fruit; bracts 8-12,  elliptic, 3-5 mm long, hirsute. Petals c. 0.5 mm long, white or tinged pink, midvein darker, hirsute on outside. Fruit 15-25,  lanceolate, 3-6 mm long, 1-2 mm wide, glabrous; mericarps with prominent, rounded, thickened ribs."," ; leaflets 15-25,  oblong, 3-40 mm long, abruptly acute, villous; leaf sheaths ciliate and often hirsute; petiole 2-20 cm long, villous. ",,,,,,,leaf,leaf leaflets,checked
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228),"Description: An inconspicuous small single- or multistemmed shrub up to 1 m (rarely to 1.8 m) tall, stems more or less erect; branchlets, leaf undersurfaces, and inflorescence axes covered with small stellate hairs. Leaves spreading, linear or sometimes broadening a little near the rounded tip, 20-40 mm long (to 60 mm in juveniles) and 1.5-2 mm wide; leaf upper surface convex with conspicuous short wrinkles, these often each capped with a small asperity, leaf margin recurved; leaf lower surface densely packed with stellate hairs. Inflorescence a loose compound panicle 30-100 (rarely 200) mm long, made up of pedunculate (stalked) umbels; petals 5, pale green, those of the terminal umbel slightly darker; stamens 5, soon falling. Fruit a laterally compressed obovoid schizocarp 3-3.5 mm long, c. 3 mm wide."," leaves spreading, linear or sometimes broadening a little near the rounded tip, 20-40 mm long (to 60 mm in juveniles) and 1.5-2 mm wide; leaf upper surface convex with conspicuous short wrinkles, these often each capped with a small asperity, leaf margin recurved; leaf lower surface densely packed with stellate hairs. ",convex recurved,convex recurved;,checked,recurved,margin recurved;,checked,leaf,leaf leaves,checked
Lomandra collina,"Description: Perennial herb with short stems forming dense tussocks or mats, or stems more extensive and forming sparse or open tussocks. Leaves flat or plano-convex to almost terete, usually 10-30 cm long, to 1.5 mm wide  glaucous; apex long-acute to acuminate, at first with 2 or 3 minute points; sheath margins gradually narrowed at top, readily lacerated, lattice-like, whitish or white, sometimes developing a pink to brown stripe along junction with leaf base. Male inflorescence much shorter than leaves; scape exposed for up to 5 cm; rachis usually well branched, 2.5-10 cm long. Female inflorescence 5-10 mm diam; scape usually exposed for up to 3 cm. Cluster bracts thin, pale golden brown, obscured by flowers. Bracts whitish, becoming chestnut brown after anthesis. Flowers yellow. Male perianth c. 2 mm long; tube 1 mm long or slightly less. Female perianth c. 3 mm long."," leaves flat or plano-convex to almost terete, usually 10-30 cm long, to 1.5 mm wide  glaucous; apex long-acute to acuminate, at first with 2 or 3 minute points; sheath margins gradually narrowed at top, readily lacerated, lat, whitish or white, sometimes developing a pink to brown stripe along junction with leaf base. ",flat convex,flat -convex,checked,,,,leaf,leaf leaves,checked
Lomandra confertifolia subsp. pallida,"Description: Stem short, largely concealed by the leaves, or elongated, relatively stout (old part of stem 4.5 mm diam. or more); leaves >20 cm long. Scape shorter than, or about as long as rachis. Bracts whitish; leaf sheath margins usually whitish, occasionally reddish brown. Plant tufted with short stems or stems elongated, erect or decumbent, sometimes branched. Leaves flat, concavo-convex or channelled, sometimes inrolled, 30-70 cm long, 1-2.5 mm wide; sheath margins intact or lacerated, usually whitish, occasionally reddish brown. Male inflorescence mostly about a quarter or occasionally half as long as leaves, usually branched; branches opposite or alternate; scape concealed or exserted, shorter than or equal to rachis; flower clusters whorled. Female inflorescence smaller, unbranched; scape concealed. Cluster bracts much longer than flowers, often fine, whitish; bract and inner bract whitish."," leaves >20 cm long. leaf sheath margins usually whitish, occasionally reddish brown. leaves flat, concavo-convex or channelled, sometimes inrolled, 30-70 cm long, 1-2.5 mm wide; sheath margins intact or lacerated, usually whitish, occasionally reddish brown. ",flat convex involute,"flat, -convex inrolled,",checked,,,,leaf,leaf leaves,checked
Strobilanthes anisophylla,"Description: Shrub to c. 1.5 m high; stems prominently ridged, often square in cross section, glabrous, nodes swollen. Leaves opposite, glabrous, strongly unequal in size, the smaller leaf often deciduous and leaves appearing alternate; narrowly ovate to lanceolate, up to c. 11 cm long and c. 2 cm wide, margins shallowly toothed, upper surface darker green than lower surface, both surfaces with numerous linear cystoliths, more prominent above due to darker leaf colour; petiole up to 8 mm long. Inflorescences axillary, of long-pedunculate cymes forming panicles, up to 5 cm long; pedicels c. 1 mm long; bracts usually 2-3 mm long, occasionally leaf-like. Sepals 5-8 mm long, united at base, glandular-hairy, reddish, tipped purple. Corolla mauve, glabrous; tube purple veined, c. 2 cm long; lips c. 5 mm long. Capsule 7-10 mm long, glandular hairy."," leaves opposite, glabrous, strongly unequal in size, the smaller leaf often deciduous and leaves appearing alternate; narrowly ovate to lanceolate, up to circa 11 cm long and circa 2 cm wide, margins shallowly toothed, upper surface darker green than lower surface, both surfaces with numerous linear cystoliths, more prominent above due to darker leaf colour; petiole up to 8 mm long. ",,,,,,,leaf,leaf leaves,checked
Trianthema portulacastrum,"Description: Procumbent or ascending herb; stems 50 c. or more long, glabrous or sparsely hairy. Leaves elliptic to obovate; lamina to 50 mm long, to 40 mm wide, sometimes apiculate; petiole 2-5 mm long, expanded and fused with leaf base to form a cup. Flowers  hidden in and fused to leaf sheath. Perianth lobes 2-4 mm long, pink to white. Stamens 10-20. Fruit with 3 or 4 irregular projections; operculum truncate with a toothed rim, 2-3 mm long; seeds 3-12, dull black, 1 or 2 in operculum, others in base."," leaves elliptic to obovate; lamina to 50 mm long, to 40 mm wide, sometimes apiculate; petiole 2-5 mm long, expanded and fused with leaf base to form a cup. ",,,,,,,leaf,leaf leaves,checked
Anacampseros australiana,"Description: Procumbent herb. Flowering stems to 20 cm long. Leaves oblanceolate to obovate, rarely elliptic, 1-2.5 cm long, 5-12 mm wide, acute; with fascicles of hairs 1-2 mm long in the leaf axils. Cymes few-flowered, pedicels 3-7 mm long, erect. Sepals 5-10 mm long. Petals 8-20 mm long, pale pink, almost transparent, enclosed in sepals. Stigmas 3, on a style 0.5-1 mm long. Capsule ovoid to oblong, 5-12 mm long; seeds pyramidal-trigonous, c. 0.7 mm long, c. 0.5 mm wide, light to red-brown, dull, tuberculate."," leaves oblanceolate to obovate, rarely elliptic, 1-2.5 cm long, 5-12 mm wide, acute; with fascicles of hairs 1-2 mm long in the leaf axils. ",,,,,,,leaf,leaf leaves,checked
Ochrosia moorei,"Description: Erect shrub or small tree to 9 m high, shoots glabrous; terminal leaf buds enclosed in a sticky exudate. Leaves oblanceolate to narrow-oblanceolate, 6-18 cm long, 18-40 mm wide, apex acuminate, gradually tapering to the base, lamina soft, with 16-40 pairs secondary veins, upper surface dark green and glossy, lower surface paler; petiole 2-14 mm long, green. Flowers white, c. 14 mm diam. Calyx c. 3 mm long. Corolla tube c. 8 mm long. Drupes  ellipsoid to ovoid, 4-8 cm long, 20-25 mm diam., bright red, the endocarp hard, with smooth fine grooves or shallow ribs."," terminal leaf buds enclosed in a sticky exudate. leaves oblanceolate to narrowlyoblanceolate, 6-18 cm long, 18-40 mm wide, apex acuminate, gradually tapering to the base, lamina soft, with 16-40 pairs secondary veins, upper surface dark green and glossy, lower surface paler; petiole 2-14 mm long, green. ",,,,,,,leaf,leaf leaves,checked
Hydrocotyle pedicellosa,"Description: Creeping, slender succulent herb, mostly glabrous; rhizomes and petioles often wine red. Leaves circular to cordate or reniform, usually 30-120 mm diam., margins shallowly lobed, crenate, lamina discolorous, upper surface dark dull green, lower surface pale glossy green and scabrous with hairs concentrated along veins,; petiole 4-35 cm long, densely hispid apically, often with some longer hairs at leaf base; stipules scarious undulate,  encircling stem. Inflorescence prostrate below leaves, umbels solitary or several arising from each node or flowers sometimes in panicles of umbels, usually 30-50-flowered, mostly 12-18 mm diam.; peduncle c. 15-60 mm; pedicels 4-10 mm. Flowers bisexual. Petals c. 0.5 mm long, creamy-white or greenish. Mericarps convex with prominent dorsal ribs and faint curved lateral ribs, surface roughish between, c. 1 mm long, 1-1.5 mm diam."," leaves circular to cordate or reniform, usually 30-120 mm diam., margins shallowly lobed, crenate, lamina discolorous, upper surface dark dull green, lower surface pale glossy green and scabrous with hairs concentrated along veins,; petiole 4-35 cm long, densely hispid apically, often with some longer hairs at leaf base; ",,,,,,,leaf,leaf leaves,checked
Arthropodium fimbriatum,"Description: Erect herb to c. 1 m high; fibrous roots to 9 cm long ending in fusiform tubers. Leaves 2-10, linear, 5-35 cm long, usually 1-4 mm wide, surrounded by leaf fibres. Inflorescence racemose or paniculately 3-branched, 15-100 cm long with lanceolate bracts at the base of each branch; flowers 2-6 per node, usually chocolate-scented; pedicels erect to nodding, 5-15 mm long, articulate 1-6 mm from flower, becoming nodding and  parallel to axis in fruit; bracts 2.5-15 mm long. Tepals 5-15 mm long, usually  purple; outer tepals 2.5-4 mm wide; inner tepals 4-6 mm wide. Anthers 3.5-5 mm long, purple; appendages 2, 0.3-1.5 mm long, usually purple; filaments 2-4 mm long, geniculate in upper part. Style 4-7 mm long. Capsule  cylindrical, c. 5-7 mm long, enclosed by persistent perianth."," leaves 2-10, linear, 5-35 cm long, usually 1-4 mm wide, surrounded by leaf fibres. ",,,,,,,leaf,leaf leaves,checked
Arthropodium sp. Albury (A.D.J.Piesse 9),"Description: Erect herb to c. 0.5 m high; roots to 5 cm long ending in fusiform tubers. Leaves 5-20,  erect, linear to lanceolate, 10-25 cm long, 3-5 mm wide, margins finely ciliate, bases surrounded by leaf fibres. Inflorescence racemose 20-50 cm long; sometimes branched, with short leafy bracts at the base of each branch; flowers usually 2-9 per node; pedicels erect, 5-8 mm long, articulate c. 2 mm from flower; bracts lanceolate. usually 6-15 mm long. Tepals 6-14 mm long, usually  purple; outer tepals 2-4 mm wide; inner tepals 4-8 mm wide. Anthers 3-5 mm long, purple; appendiges 2, 0.5-1.5 mm long, usually yellow; filaments 1.7-3 mm long, geniculate in upper part. Style 3.5-6 mm long. Capsule  globose, 4-8 mm diam., initially enclosed by perianth."," leaves 5-20,  erect, linear to lanceolate, 10-25 cm long, 3-5 mm wide, margins finely ciliate, bases surrounded by leaf fibres. ",,,,,,,leaf,leaf leaves,checked
Arthropodium strictum,"Description: Erect herb to c. 1 m high; roots to 5 cm long ending in fusiform tubers. Leaves 2-12, linear to lanceolate, 9-65 cm long, 1-12 mm wide, surrounded by leaf fibres. Inflorescence racemose, 20-100 cm long; sometimes branched, with long leafy bracts at the base of each branch; flowers 1 per node, usually chocolate scented; pedicels up to 37 mm long, erect or articulate to 2 mm from flower; bracts lanceolate, usually 6-15 mm long. Tepals 6-14 mm long, usually  purple; outer tepals 2-4 mm wide; inner tepals 4-8 mm wide. Anthers 3-5 mm long, usually purple; appendages 2, 0.5-1.5 mm long, usually yellow; filaments 1.7-3 mm long, straight. Style 3.5-6 mm long. Capsule  globose, 4-8 mm diam., initially enclosed by perianth."," leaves 2-12, linear to lanceolate, 9-65 cm long, 1-12 mm wide, surrounded by leaf fibres. ",,,,,,,leaf,leaf leaves,checked
Lomandra leucocephala subsp. leucocephala,"Description: Plant slender, often <40 cm high. Leaves usually 1-2 mm wide. Leaf sheath margins long-decurrent, white, readily lacerating into abundant loose, silky or woolly, fragments; male inflorescence usually with 1 or 2 segments (north-eastern part of range). Male inflorescence usually with 1, 2 or 3 segments; female inflorescence usually not segmented, globose; scape minutely hirsute."," leaves usually 1-2 mm wide. leaf sheath margins long-decurrent, white, readily lacerating into abundant loose, silky or woolly, fragments; ",,,,,,,leaf,leaf leaves,checked
Lomandra leucocephala subsp. robusta,"Description: Plant generally robust, often 40-60 cm high. Leaves tough c. 1.5-5 mm wide. Leaf sheath margins short, yellowish to orange-brown, the fragments few, woolly or fibrous. Male inflorescence usually with more than 3 segments (southern and western parts of range); female inflorescence segmented or often entire, cylindrical; scape glabrous."," leaves tough circa 1.5-5 mm wide. leaf sheath margins short, yellowish to orange-brown, the fragments few, woolly or fibrous. ",,,,,,,leaf,leaf leaves,checked
