taxon_name,original_text,text,absolute_min,min,max,absolute_max,units,checked
Amaranthus quitensis,"Description: Erect annual, often over 1 m high, glabrous. Leaves rhombic to ovate, to 20 cm long, acute or obtuse; long-petiolate. Inflorescence terminal, dense, often quite large. Bracts spinescent, 3â€“5 mm long. Perianth segments oblong, 1.5â€“2.5 mm long, outer whorl ± recurved at the apices when mature, mucronate. Stamens 5. Ovary cm long as the perianth, square-shouldered, circumsciss. Uncommon weed.","erect annual often over 1 m high, glabrous.",,,1,,m,checked
Amaranthus retroflexus,"Description: Erect annual to c. 1 m high, hairy, with the base of the stem and the taproot red. Leaves ovate to lanceolate, to c. 7 cm long, acute; petiolate. Inflorescence terminal with branches in the upper leaf axils. Bracts spinescent, (3.5-)5â€“6 mm long. Perianth segments 5, oblong, c. 3 mm long, mucronate or entire when young, obtuse and notched at maturity. Stamens 5. Ovary nearly as long as perianth, circumsciss. Weed of roadsides and cultivation.",erect annual to circa 1 m high,,,1,,m,checked
Amaranthus spinosus,"Description: Erect annual herb to c. 1 m high, glabrous or finely hairy. Leaves ovate to rhombic, to c. 15 cm long; long-petiolate. Inflorescence terminal, spinescent. Bracts ovate, c. 1.5 mm long, oblong, acute. Stamens 4 or 5. Ovary c. as long as perianth, circumsciss. Weed of higher rainfall areas.",erect annual herb to circa 1 m high,,,1,,m,checked
Amaranthus viridis,"Description: Spreading annual to c. 40 cm high, glabrous. Leaves ovate to lanceolate, to 15 cm long; long-petiolate. Inflorescence terminal, spicate. Bracts usually less than or equal to 1 mm long, acute. Perianth segments 3, spathulate to oblong, 1.5â€“2 mm long. Stamens 3. Ovary indehiscent, wrinkled, c. as long as perianth. Weed of closely settled areas.",spreading annual to circa 40 cm high glabrous.,,,40,,cm,checked
Apium graveolens,"Description: Erect biennial to 1 m high, with ribbed stems, aromatic, glabrous. Leaves usually 1-pinnate, upper leaves much smaller; leaflets 3â€“5, ovate-cuneate, to 5 cm long, each ± deeply 3-lobed, with crenate to toothed margins. Umbels 3â€“4 cm diam., sessile or subsessile with 4â€“8 unequal rays. Petals 0.5â€“0.7 mm long, white. Fruit broadly ovoid, 1.5â€“2.5 mm long; mericarps with 5 slender whitish ribs.",erect biennial to 1 m high,,,1,,m,checked
Araucaria cunninghamii,"Description: Tree to 50 m high with stem to 1.5 m diam.; bark dark greyish brown, horizontally wrinkled; leaves clustered at the end of branches. Leaves curved, keeled, ± erect, mostly 0.5â€“1 cm long, loosely imbricate; juvenile leaves needle-like, flattened, mostly 1â€“2 cm long, ± at right angles to the branches. Male cones cylindrical, to 5 cm long, terminal, solitary. Female cones ovoid, c. 10 cm long on long peduncles, the cone scales samara-like, thinly winged, indehiscent, the seed retained on the scale at shedding; cones green, turning brown at maturity, seeds shed in summer.",tree to 50 m high with stem to 1.5 m diam.;,,,50,,m,checked
Araucaria heterophylla,"Description: Tree to 70 m tall with trunk to 2 m diam. Bark peeling in thin flakes. Branches horizontal; ultimate shoots horizontal or somewhat pendulous; shoots, including leaves, 7â€“10 mm diam. Juvenile leaves subulate, 1â€“1.25 cm long, incurved, transitional to mature leaves. Mature leaves in imbricate series encircling stems, broadly ovate, 4â€“7 mm long, 3â€“6 mm wide, minutely ciliolate, with slightly incurved, blunt, horny apex. Male cones solitary, 4â€“5 cm long, 1â€“1.3 cm diam. Female cones subglobose, 7.5â€“10 cm long, 8â€“10 cm diam.; scales 3.5â€“4 cm long, upper half with wings 7â€“10 mm wide, and an upturned, soft, apical spine 5â€“8 mm long . Seeds 2.5â€“3 cm long, 1.3â€“1.5 cm wide.",tree to 70 m tall with trunk to 2 m diam.,,,70,,m,checked
Araujia sericifera,"Description: Climber with twining stems to 5 m high; milky latex copious from cut stems. Leaves with lamina ± triangular to ovate or oblong ovate 3â€“11 cm long, 1.5â€“6 cm wide, apex ± acuminate, mucronate, base truncate to slightly cordate, upper surface green and sparsely hairy, lower surface glaucous and minutely pubescent; lamina glands 1â€“5; petiole 10â€“40 mm long. Cymes 2â€“5-flowered. Flowers 2â€“2.5 cm diam., white or pale pink. Sepals 8â€“13 mm long. Corolla lobes c. 10 mm long, slightly shorter than tube. Follicles broad-ovoid, 6â€“10 cm long, 5â€“7 cm diam., pale glaucous-green, ribbed, wall thick, at first rather soft and fleshy.",climber with twining stems to 5 m high;,,,5,,m,checked
Argophyllum nullumense,"Description: Shrub or small tree to 7 m high, young branches and lower surface of leaves silky with short silvery hairs. Leaves narrow-elliptic, 5â€“15 cm long, 2â€“5 cm wide, apex acuminate, base cuneate, margins entire or toothed, upper surface dark green and glabrous, lower surface silvery-silky; petiole 5â€“15 mm long. Panicles terminal and longer than the leaves or axillary and shorter than the leaves. Calyx teeth c. 1 mm long. Petals c. 3 mm long, yellow. Capsule ± globose, c. 4 mm diam., mostly 3-valved.",shrub or small tree to 7 m high,,,7,,m,checked
Arisarum vulgare,"Description: Herbaceous perennial to 0.5 m high, monoecious, with an underground tuber ovoid in shape. Leaves with ovate to arrow-shaped sagittate leaves, 10â€“15 cm long, 5â€“8 cm wide, venation obvious; petiole 5.5â€“37.5 cm long. Inflorescence is an erect spadix, with a peduncle 9â€“36 cm long, spathe with a purplish-brown or olive green striped tube, 2.9â€“7.5 cm long, 0.6â€“4 cm wide, cucullate, tubular, at the top of the spadix is club-shaped and curved. Fruit is a green round berry containing light brown seeds that have distinct longitudinal ridges.",perennial herb to 0.5 m high monoecious,,,0.5,,m,checked
Arisarum vulgare subsp. vulgare,"Description: Herbaceous perennial to 0.5 m high, monoecious, with an underground tuber ovoid in shape. Leaves with ovate to arrow-shaped sagittate leaves, 10â€“15 cm long, 5â€“8 cm wide, venation obvious; petiole 5.5â€“37.5 cm long. Inflorescence is an erect spadix, with a peduncle 9â€“36 cm long, spathe with a purplish-brown or olive green striped tube, 2.9â€“7.5 cm long, 0.6â€“4 cm wide, cucullate, tubular, at the top of the spadix is club-shaped and curved. Fruit is a green round berry containing light brown seeds that have distinct longitudinal ridges.",perennial herb to 0.5 m high monoecious,,,0.5,,m,checked
Arthropodium fimbriatum,"Description: Erect herb to c. 1 m high; fibrous roots to 9 cm long ending in fusiform tubers. Leaves 2â€“10, linear, 5â€“35 cm long, usually 1â€“4 mm wide, surrounded by leaf fibres. Inflorescence racemose or paniculately 3-branched, 15â€“100 cm long with lanceolate bracts at the base of each branch; flowers 2â€“6 per node, usually chocolate-scented; pedicels erect to nodding, 5â€“15 mm long, articulate 1â€“6 mm from flower, becoming nodding and ± parallel to axis in fruit; bracts 2.5â€“15 mm long. Tepals 5â€“15 mm long, usually ± purple; outer tepals 2.5â€“4 mm wide; inner tepals 4â€“6 mm wide. Anthers 3.5â€“5 mm long, purple; appendages 2, 0.3â€“1.5 mm long, usually purple; filaments 2â€“4 mm long, geniculate in upper part. Style 4â€“7 mm long. Capsule ± cylindrical, c. 5â€“7 mm long, enclosed by persistent perianth.",erect herb to circa 1 m high;,,,1,,m,checked
Arthropodium sp. Albury (A.D.J.Piesse 9),"Description: Erect herb to c. 0.5 m high; roots to 5 cm long ending in fusiform tubers. Leaves 5â€“20, ± erect, linear to lanceolate, 10â€“25 cm long, 3â€“5 mm wide, margins finely ciliate, bases surrounded by leaf fibres. Inflorescence racemose 20â€“50 cm long; sometimes branched, with short leafy bracts at the base of each branch; flowers usually 2â€“9 per node; pedicels erect, 5â€“8 mm long, articulate c. 2 mm from flower; bracts lanceolate. usually 6â€“15 mm long. Tepals 6â€“14 mm long, usually ± purple; outer tepals 2â€“4 mm wide; inner tepals 4â€“8 mm wide. Anthers 3â€“5 mm long, purple; appendiges 2, 0.5â€“1.5 mm long, usually yellow; filaments 1.7â€“3 mm long, geniculate in upper part. Style 3.5â€“6 mm long. Capsule ± globose, 4â€“8 mm diam., initially enclosed by perianth.",erect herb to circa 0.5 m high;,,,0.5,,m,checked
Arthropodium strictum,"Description: Erect herb to c. 1 m high; roots to 5 cm long ending in fusiform tubers. Leaves 2â€“12, linear to lanceolate, 9â€“65 cm long, 1â€“12 mm wide, surrounded by leaf fibres. Inflorescence racemose, 20â€“100 cm long; sometimes branched, with long leafy bracts at the base of each branch; flowers 1 per node, usually chocolate scented; pedicels up to 37 mm long, erect or articulate to 2 mm from flower; bracts lanceolate, usually 6â€“15 mm long. Tepals 6â€“14 mm long, usually ± purple; outer tepals 2â€“4 mm wide; inner tepals 4â€“8 mm wide. Anthers 3â€“5 mm long, usually purple; appendages 2, 0.5â€“1.5 mm long, usually yellow; filaments 1.7â€“3 mm long, straight. Style 3.5â€“6 mm long. Capsule ± globose, 4â€“8 mm diam., initially enclosed by perianth.",erect herb to circa 1 m high;,,,1,,m,checked
Asclepias curassavica,"Description: Perennial herb to 1 m high; young stems finely hairy, older stems glabrous. Leaves with lamina lanceolate, linear-lanceolate or narrow-elliptic, 6â€“15 cm long, 0.8â€“3 cm wide, apex acute, base attenuate, soft, thin, glabrous when mature; petiole 2â€“20 mm long. Flowers red with an orange-yellow corona, 8â€“11 mm diam.; pedicels 10â€“15 mm long. Calyx hairy. Corolla lobes c. 8 mm long. Follicles narrow-ovoid, 6â€“9 cm long, tapered into a narrow beak; seeds with a silky coma.",perennial herb to 1 m high;,,,1,,m,checked
Astrotricha asperifolia,"Description: Erect diffuse shrub to c. 2 m high; branches with a dense, non-floccose indumentum. Leaves very narrow-elliptic to sublinear, 50â€“135 mm long, 2.1â€“4.8 mm wide; apex obtuse to subacute, occasionally with a slight mucro; margins recurved; upper surface rough, usually with both small granules and larger (to 0.2 mm high) subconical asperities, often the latter linked by short wandering ridges; lower surface densely hairy; petiole 2â€“3 mm long. Inflorescence 6â€“30 cm long, hairy throughout. Petals not reflexed, cream to very pale green. Fruit not winged.",erect diffuse shrub to circa 2 m high;,,,2,,m,checked
Astrotricha cordata,"Description: Erect shrub to 3 m high, branches lacking or few and strongly ascending, branchlets woolly to floccose. Leaves deciduous at fruiting stage; lamina cordate to ovate, sometimes ± peltate, 12â€“30 cm long, 7â€“20 cm wide; apex acute to acuminate or rarely obtuse; margins entire; upper surface smooth; lower surface with a dense sometimes floccose indumentum; petiole 7â€“23 cm long. Inflorescence up to 1.2 m long, glabrescent and sometimes nearly glabrous; flowers and usually peduncles deep purple beneath the indumentum. Petals purple. Fruit winged.",erect shrub to 3 m high,,,3,,m,checked
Astrotricha crassifolia,"Description: Shrub to 2.4 m high, root-suckering; branchlets with a dense, deep, firm indumentum. Leaves broad-linear, 2â€“6 cm long, 0.25â€“0.4 cm wide; apex obtuse; margins entire; upper surface smooth or occasionally wrinkled, convex except for midvein groove; lower surface hairy; petiole 1â€“2 mm long. Inflorescence up to c. 10 cm long, usually with a few ascending branches, few-flowered, indumentum dense and shortly floccose throughout. Petals erect to spreading, sometimes becoming reflexed, white to cream. Fruit not winged.",shrub to 2.4 m high,,,2.4,,m,checked
Astrotricha floccosa,"Description: Erect, usually few-branched shrub to 4 m high; branchlets floccose. Leaves elliptic to narrow-ovate, 7.5â€“27 cm long, usually 2â€“5 cm wide; apex acute to acuminate; margins entire; upper surface smooth, light green, not shiny; lower surface floccose, midvein and lateral veins evident in relief through the hairs; petiole 10â€“25 (rarely to 30) mm long. Inflorescence up to 70 cm long, usually floccose throughout. Petals white to cream, not reflexed. Fruit not winged.",erect usually few-branched shrub to 4 m high;,,,4,,m,checked
Astrotricha latifolia,"Description: Large shrub 2â€“4 or rarely to 9 m high, usually with many spreading to ascending branches; younger branches with a loose, sometimes floccose indumentum. Leaves oblong-ovate to oblong-elliptic, sometimes peltate, 8â€“22 cm long, 2â€“8 cm wide; apex acute to mucronate; upper surface smooth, rich mid-green, sometimes shiny; lower surface with a close, thin indumentum, the reticulum evident through the hairs; margins sometimes slightly crisped; petiole usually 2.5â€“8 cm long. Inflorescence up to c. 30 cm long; lower order axes sometimes glabrescent, apical parts usually retaining a loose indumentum. Petals strongly reflexed, yellowish green. Fruit not winged.",large shrub 2â€“4 to 9 m high,,,9,,m,checked
Astrotricha ledifolia,"Description: Shrub to 1.5 m high; branchlets hairy. Leaves narrow-oblong to subelliptic or rarely sublinear, 2â€“4.5 cm long, 0.3â€“0.7 cm wide; apex obtuse; margins entire; upper surface rough, granulate with the grains usually evenly distributed and small and just detectable with a fingernail, occasionally also with larger subconical projections to 0.3 mm high, sometimes projections confined to near margins; lower surface with a firm indumentum; petiole 1â€“2 mm long. Inflorescence many-branched, 7â€“15 cm long. Petals creamy-green to white, spreading to reflexed, purple-flowered populations are known from mountains in the A.C.T. Fruit not winged.",shrub to 1.5 m high;,,,1.5,,m,checked
Astrotricha linearis,"Description: Shrub to 1.5 m high; branchlets with a close non-floccose indumentum. Leaves linear, 2â€“6.5 cm long, 1.0â€“1.5 mm wide; apex obtuse, sometimes with a very short blunt mucro; margins recurved to revolute; upper surface variably rough, the projections subconical and c. 0.2 mm long (sometimes these only), and/or granulate and < 0.1 mm high; lower surface with a dense woolly indumentum; subsessile or petiole to 5 mm long. Inflorescences 3â€“12 cm long, several- to many-branched. Petals erect to spreading, whitish to pale cream-green. Fruit not winged.",shrub to 1.5 m high;,,,1.5,,m,checked
