source,taxon_name,original_text,text,category,l_absolute_min,l_min,l_max,l_absolute_max,l_units,w_absolute_min,w_min,w_max,w_absolute_max,w_units,checked
missed_pn,Actinotus paddisonii,"Description: Prostrate perennial herb, with slender, diffuse or ascending branches 25-50 cm long. Leaves few, 3-partite, lamina 7.5-18 mm long; segments undivided or 2-3-lobed, linear-cuneate, or oblong-linear, acute, 2-6 mm long, plumose-hairy; petiole 3-25 mm long, broadening and stem-clasping at the base Umbels head-like, 5-8.5 mm diam., or to 18 mm diam. including bracts; peduncle 2.5-5.5 mm long. Bracts 12-20, lanceolate, joined for about half their length, 3.5-11 mm long, c. 1.5 mm wide, silky overall with plumose hairs; pedicels ± absent. Flowers green, mostly bisexual. Sepals acute, villous outside. Petals absent. Fruit ± circular, 1.9-2.7 mm long, 1.5-2.2 mm wide, black, ± glabrous."," fruit ± circular, 1.9-2.7 mm long, 1.5-2.2 mm wide, black, ± glabrous.",fruit,,1.9,2.7,,mm,,1.5,2.2,,mm,checked
missed_pn,Aerva javanica,"Description: Erect Ã‚Â± woody, branched shrub to 1 m high, younger parts whitish-tomentose. Leaves linear to narrow-obovate, 2-7 cm long, tomentose. Flowering spikes to 10 cm long; bracts and bracteoles lanceolate to ovate, white, and partly woolly-tomentose, c. 1-2 mm long, persistent after the perianth has fallen. Perianth segments obovate, the outer 2 larger than the inner, to 3 mm long, very hairy on the outside; perianth of male flowers smaller than the female flowers. Fruit 1-1.5 mm long.", fruit 1-1.5 mm long.,fruit,,1,1.5,,mm,,,,,,checked
missed_pn,Agave americana,"Description: Giant rosette plant with rosette 1-2 m high and 2-4 m diam.; stem very short, often freely suckering to form a large clump. Leaves Ã‚Â± narrow-lanceolate, 1-2 m long, 15-25 cm wide, apex acute with terminal spine 3-5 cm long, margins coarsely toothed with teeth to 1 cm long; lamina succulent, bluish grey to light green. Scape robust, 2-5 m high; panicle 1-3 m high, many-flowered, flowers on umbellate branches; pedicels 2-4 cm long. Flowers 7-10 cm long, yellow. Tepals fused basally into a tube 1-2 cm long; free segments unequal, 2-3.5 cm long. Stamens 6-10 cm long. Capsule oblong, 4-6 cm long; seeds black."," capsule oblong, 4-6 cm long;",capsule,,4,6,,cm,,,,,,checked
missed_pn,Aggreflorum benwellii,"Description: Spreading shrub to 3 m. high; bark smooth and deciduous throughout, orange or green coloured, peeling in ribbons. Branchlets with conspicuous stem flanges, pubescence sparse and mainly on margins of stem flanges. Leaves alternate, subsessile, discolorous, narrowly elliptic, 18-25 x 2.7-5.0 mm, apex obtuse or mucronate, margins of young leaves with silky hairs, otherwise glabrous. Inflorescence axillary, comprising 1-3 bracteolate monads, floral bracts shed before anthesis. Flowers with pedicels c. 1.2 mm long at anthesis; hypanthium glabrous, c. 3 mm long, sepals obtuse, 1.2-1.4 mm long, inner and outer surfaces glabrous, margins ciliate; petals white, obovate to orbicular, 2.6-2.7 mm long, oil glands present. Stamens 1.5-2 mm long, anthers versatile, cells parallel; stigma capitate; roof of ovary glabrous. Ovary three locular. Fruit thin walled, campanulate to hemisherical, 2.5-3 mm long, 4-4.7 mm diameter, glabrous; sepals sparsely hairy, persistent. Seeds pale brown, obovoid to ellipsoidal, reticulate, 0.8-0.9 mm long."," fruit thin walled, campanulate to hemisherical, 2.5-3 mm long, 4-4.7 mm diameter, glabrous;",fruit,,2.5,3,,mm,,4,4.7,,mm,checked
missed_pn,Aggreflorum ellipticum,"Description: Shrub to over 3 m high with fibrous flaking bark, younger stems pubescent. Leaves usually broad- to narrow-elliptic, to 30 mm long, 3-4(-5) mm wide, mostly glabrescent, apex usually tapering, acute, point blunt, incurved, base tapering, scarcely petiolate. Flowers several together, c. 10 mm diam., white. Hypanthium 2-3 mm long, silky. Sepals c. 1.5 mm long, pubescent. Petals 3-5 mm long. Stamens c. 1.5 mm long. Ovary 3-locular. Fruit 3-4 mm diam., pubescent, valves not exserted, later raised slightly."," fruit 3-4 mm diam., pubescent, valves , later raised slightly.",fruit,,,,,,,3,4,,mm,checked
missed_pn,Akania bidwillii,"Description: Tree to c. 12 m high; bark grey to dark brown, finely scaled and wrinkled. Leaves mostly paripinnate, to 75 cm long; leaflets 8-31 per leaf, lanceolate, 10-28 cm long, 2-4.5 cm wide, apex acuminate, base obtuse to ± cordate, margins regularly spinose-toothed, upper surface dark green and shiny, lower surface paler and dull; venation prominent, finely reticulate; petiole 10-15 cm long; petiolules swollen, 5-15 mm long; stipules subulate. Panicles usually 8-15 cm long; pedicels 5-20 mm long. Flowers white or pink, fragrant. Calyx 3-4 mm long. Corolla 8-12 mm long, pubescent. Capsule ± ovoid to pyriform; 20-30 mm long, dull-red; seeds 1 or 2, 10-12 mm long, yellow, hanging ± outside capsule on a thread at maturity."," capsule ± ovoid to pyriform; 20-30 mm long, dull-red;",capsule,,20,30,,mm,,,,,,checked
missed_pn,Albuca bracteata,"Description: Erect herb, 1-1.5 m high; bulb exposed, green, to 6 cm diam., bulbils (offsets) numerous. Leaves 8-12, flat, 40-100 cm long, 20-50 mm wide. Inflorescence an elongated raceme with up to 300 flowers, up to 100 cm long, as long as leaves; bracts longer than flowers; lower pedicels to 5-15 mm long in fruit. Flowers flat cup-shaped; tepals c. 9 mm long, white with a green stripe on outer surface, not reflexed at fruiting. Staminal filaments narrowly aristate to acuminate. Ovary globose, yellow-green. Capsule globose, erect to 10 mm long, apex obtuse."," capsule globose, erect to 10 mm long, apex obtuse.",capsule,,,10,,mm,,,10,,mm,checked
missed_pn,Alisma lanceolatum,"Description: Erect emergent aquatic perennial to c. 1 m high. Petioles to c. 80 cm long, flattened on one side and with small wings at the base; lamina lanceolate, acute, tapering gradually into the petiole, to 20 cm long and 4 cm wide, with up to 7 prominent parallel veins connected by numerous transverse veins. Inflorescence to 60 cm long and 40 cm wide. Flowers c. 10 mm diam. Sepals to 2 mm long. Petals c. 4 mm long, white or pink. Carpels c. 20, free; style curved in lower part. Nutlets 2-2.5 mm long, falling singly."," nutlets 2-2.5 mm long, falling singly.",nutlet,,2,2.5,,mm,,,,,,checked
missed_pn,Alisma plantago-aquatica,"Description: Erect emergent aquatic perennial or annual to 1.5 m high. Leaves with lamina ovate, rounded to cordate at the base, 10-25 cm long and 7-10 cm wide, with usually 7 prominent parallel veins connected by numerous transverse veins; petiole to c. 80 cm long, flattened on one side and with small wings at the base. Inflorescence to 60 cm long and 40 cm wide. Flowers c. 10 mm diam. Sepals to 2 mm long. Petals c. 4 mm long, pale pink or almost white. Carpels c. 20, free; style Ã‚Â± straight. Nutlets 2-2.5 mm long, falling singly."," nutlets 2-2.5 mm long, falling singly.",nutlet,,2,2.5,,mm,,,,,,checked
missed_pn,Allium ampeloprasum,"Description: Erect herb to 110 cm high; bulb broad-ovoid to subglobose, 10-35 mm diam. Leaves 5 or 6, 10-80 cm long, 5-40 mm wide, with 30-40 longitudinal veins, glabrous with smooth margins. Umbel 6.5-9 cm diam., many-flowered; scape 50-140 cm long; pedicels 25-45 mm long; spathe entire, twice as long as pedicels. Perianth narrow-campanulate; tepals 4-5 mm long, acute, white with prominent green midvein. Stigma entire. Stamens exserted; outer 3 filaments simple, 3-5 mm long, 0.8-1 mm wide at base; inner ones 3-fid, 4-6.5 mm long, 1.2-1.4 mm wide. Capsule c. 4 mm long.", capsule   4 mm long.,capsule,,,4,,mm,,,,,,checked
missed_pn,Allium neapolitanum,"Description: Erect herb, mostly 30-55 cm high; bulb subglobose, 15-20 mm diam., bulblets present. Leaves often 2, 8-35 cm long, 5-30 mm wide, flat with 19-21 longitudinal veins, glabrous with ciliate margins. Umbel 6-8 cm diam., many-flowered; scape 25-50 cm long; pedicels 20-35 mm long; spathe entire, shorter than or as long as pedicels. Perianth broadly cup-shaped; tepals 8-12 mm long, obtuse, white; bulbils absent. Stamens included; filaments simple, broader at base, 4-5 mm long, 1.2-1.5 mm wide. Capsule 4-5 mm long.", capsule 4-5 mm long.,capsule,,4,5,,mm,,,,,,checked
missed_pn,Allium triquetrum,"Description: Erect herb, mostly 18-40 cm high; bulb subglobose, 7-15 mm diam., bulblets present. Leaves 2-11, 20-42 cm long, 4-17 mm wide, flat with 9-15 longitudinal veins, glabrous with smooth margins. Umbel 3.5-7.5 cm diam., many-flowered; scape 10-45 cm long; pedicels 15-30 mm long; spathe entire, usually shorter than pedicels. Perianth narrow-campanulate; tepals 10-15 mm long, acute to obtuse, white with a prominent green midvein; bulbils absent. Stamens included; filaments Ã‚Â± linear, slightly broader at base, 5-6 mm long, c. 0.5 mm wide. Capsule 6-7 mm long.", capsule 6-7 mm long.,capsule,,6,7,,mm,,,,,,checked
missed_pn,Allium vineale,"Description: Erect herb, mostly 35-75 cm high; bulb ovoid, 15-30 mm diam. Leaves 3-5, 15-60 cm long, 2-6 mm wide, with 15-30 longitudinal veins, glabrous with smooth margins. Umbel 2-5 cm diam., few-flowered; scape 17-75 cm long; pedicels 15-19 mm long; spathe entire, caducous. Perianth campanulate; tepals 3-4 mm long, obtuse or subacute, pink to greenish white. Stigma entire. Stamens slightly exserted; outer 3 filaments simple, 3.5-4 mm long, c. 0.8 mm wide; inner ones 3-fid, 4-5 mm long, c. 1.5 mm wide. Capsule 3-4 mm long.", capsule 3-4 mm long.,capsule,,3,4,,mm,,,,,,checked
missed_pn,Alocasia brisbanensis,"Description: Massive erect to decumbent herb 1-1.8 m high; stem c. 12 cm diam., covered in old leaf bases. Leaves sagittate to ovate-sagittate, to c. 70 cm long and 60 cm wide, glossy green, glabrous; petiole to c. 1.1 m long, purplish brown to green. Peduncle about as long as the petioles. Spathe c. 25 cm long, constricted about a third of the length from the base, the limb ovate to lanceolate, spoon-like (rarely reflexed), usually green, withering away. Spadix slightly shorter than the spathe, tapering, highly fragrant. Male flowers usually linear with up to 40 fused anthers. Fruit ovoid, 8-15 mm long, red when ripe; fruiting head enclosed by lower part of spathe."," fruit ovoid, 8-15 mm long, red when ripe;",fruit,,8,15,,mm,,,,,,checked
missed_pn,Aloe arborescens,"Description: Erect dense succulent shrub to 3 m high when in flower; stem to 2 m high, woody, branching from base and rebranching. Leaves falcate to lanceolate, to 50 cm long, 4-7 cm wide, margins with pale teeth 3-5 mm long, surfaces without paler blotches, upper surface glaucous to yellow-green, lower surface dull green. Scapes at least 20 cm long, 4-5 mm diam.; raceme 2-4, conical, to 80 cm long, 60-125-flowered; pedicels 8-45 mm long; bracts 5-15 mm long, 3-7 mm wide. Perianth yellow-brown or sometimes red or orange; tube 27-35 mm long, 2-6 mm diam., lobes 10-17 mm long, 2-4 mm wide. Stamens exserted c. 5 mm, 23-35 mm long; anthers 2.5-4 mm long. Stigma exserted c. 5 mm. Capsule linear to narrow-ellipsoid, 10-14 mm long, 1.5-4 mm diam., dark brown to black; seeds linear to elliptic, c. 4 mm long, red-brown."," capsule linear to narrow-ellipsoid, 10-14 mm long, 1.5-4 mm diam., dark brown to black;",capsule,,10,14,,mm,,1.5,4,,mm,checked
missed_pn,Aloe maculata,"Description: Erect succulent to c. 1.2 m high when in flower, usually without a stem; freely suckering and forming dense clumps. Leaves lanceolate to ovate, 10-30 cm long, 5-10 cm wide, margins with brown-tipped teeth to 4-5 mm long, upper surface pale to darker green with white blotches; lower surface paler green without blotches. Scapes to 1 m high, 2-13 mm diam., simple or branched; raceme capitate 5-10 cm long, 20-65-flowered; pedicels 30-55 mm long; bracts 7-45 mm long, 1.5-11 mm wide. Young buds erect, older flowers pendent. Perianth red to salmon-orange; tube 25-45 mm long, 2-10 mm diam., greatly constricted above ovary; lobes 5-10 mm long, 1.5-3 mm wide. Stamens exserted 1-3 mm, unequal, outer ones 25-30 mm long, inner 30-35 mm long; anthers 4-5 mm long. Stigma exserted 2-5 mm. Capsule oblong, 20-35 mm long, 8-16 mm diam., red-brown; seeds 2-4 mm long, c. 2 mm diam., with membranous wing 2-4 mm wide, blackish brown."," capsule oblong, 20-35 mm long, 8-16 mm diam., red-brown;",capsule,,20,35,,mm,,8,16,,mm,checked
missed_pn,Alstonia constricta,"Description: Erect shrub or tree to 12 m high, often suckering and forming thickets; bark fissured, corky. Leaves opposite, narrow-lanceolate to narrow-elliptic or oblong-elliptic, 6-18 cm long, 7-45 mm wide, apex Ã‚Â± acuminate, margins undulate, soft and thin, glabrous to pubescent; petiole 1-5 cm long. Flowers whitish, scented. Calyx lobes 1 mm long. Corolla tube 2-3 mm long, lobes 6-10 mm long, narrow, obtuse. Follicles compressed, 6-24 cm long, c. 10 mm wide."," follicles compressed, 6-24 cm long,   10 mm wide.",follicle,,6,24,,cm,,,10,,mm,checked
missed_pn,Alstroemeria psittacina,"Description: Herb with many simple stems to 1 m long, from rhizome, with numerous white fleshy tuberous roots. Leaves spathulate, soft-textured, often slightly glaucous, 3-10 cm long, 10-35 mm wide, apex obtuse to bluntly acute; petiole 1-6 cm long. Inflorescence few-many-flowered; pedicels 10-15 mm long. Perianth dark red below, pale yellowish green near the apex, with green stripes and dark purplish blotches; tepals spathulate, overlapping to form a narrow tube 4-7 cm long; outer tepals 4-7 cm long, 15-20 mm wide; inner tepals 4-7 cm long, 7-10 mm wide. Stamens 3.5-6 cm long; anthers 4-6 mm long. Ovary 10-15 mm long, ribbed; style 3.5-6.5 mm long; stigmas 3-5 mm long. Capsule ± globose with prominent ribs, 10-15 mm diam.; seeds 2.5-3 mm diam., reddish brown."," capsule ± globose with prominent ribs, 10-15 mm diam.;",capsule,,10,15,,mm,,10,15,,mm,checked
missed_pn,Alyxia squamulosa,"Description: Shrub, tending to climb. Internodes of young stems glabrous, deeply grooved. Leaves in whorls of 5, obovate to broadly oblanceolate, 2-5 cm long, 1.5-2.5 cm wide, acute and attenuate at base, rounded, sometimes slightly emarginate at apex, coriaceous; venation usually obscure above and below; petiole 2-5 mm long. Inflorescence terminal, a dense rounded cluster, 2-4 cm diam., with numerous fetid flowers; pedicels usually completely covered by several to many imbricate, pointed bracteoles, resembling calyx lobes. Calyx lo bes narrowly triangular, 2 mm long, finely ciliolate, acute, keeled. Corolla white; tube 7 mm long, glabrous; lobes ovate, 4 mm long, obtuse. Fruit drupaceous, c. 2 cm long, slightly curved, pointed, sometimes 2 end to end, blue-black."," fruit drupaceous,   2 cm long, slightly curved, pointed, sometimes 2 end to end, blue-black.",drupe,,,2,,cm,,,,,,checked
missed_pn,Amaryllis belladonna,"Description: Clump-forming herb, flowering before the leaves emerge from the ground. Leaves 6-10, linear, 30-45 cm long, 15-30 mm wide, channelled, glabrous, margins entire. Umbel 2-14-flowered; scape 30-80 cm high, to 8-12 mm diam.; pedicels 1.5-5 cm long; bracteoles filiform, 3-5.5 cm long. Flowers slightly nodding, strongly fragrant. Tepals broad-lanceolate, 5-10 cm long, fused basally for 8-14 mm long, pale to bright pink. Stamens slightly shorter than perianth; filaments attached at rim of perianth tube; anthers crescent-shaped, 5-6 mm long. Ovary oblong. Capsule ± globose, 10-20 mm diam."," capsule ± globose, 10-20 mm diam.",capsule,,10,20,,mm,,10,20,,mm,checked
missed_pn,Ammi majus,"Description: Erect to spreading herb, 25-75 cm high, glabrous. Basal leaves 3-15 cm long with segments elliptic or obovate, 1-6 cm long, 2-20 mm wide, obtuse; upper stem leaves with segments linear-lanceolate or linear, all except uppermost with toothed margins. Umbels 4-7 cm diam.; peduncle to 20 cm long; rays 20-40, usually 2-6.5 cm long; bracts to 5 cm long, usually 3-fid or pinnatisect, sometimes entire; umbellules mostly c. 10 mm diam.; pedicels 1-10 mm long; bracteoles 1-8 mm long, broad and scarious at base, narrow and finely acuminate above. Petals c. 1.5 mm long, white. Fruit oblong to ovoid, 1.5-2 mm long, the mericarp ribs prominent, pale in colour."," fruit oblong to ovoid, 1.5-2 mm long, the mericarp ribs prominent, pale in colour.",fruit,,1.5,2,,mm,,,,,,checked
missed_pn,Ammi visnaga,"Description: Robust erect herb 45-70 cm high, glabrous. Leaves to 16 cm long with segments linear or filiform, 1-1.5 cm long, 0.4-1.5 mm wide, margins entire. Umbels 9-11 cm diam.; peduncle to 10 cm long; rays 40-100, 2.5-5 cm long; bracts c. 4 cm long, 1-3-pinnatisect, with narrow-linear segments; umbellules often to 15 mm diam.; pedicels to c. 8 mm long, bracteoles c. 10 mm long, linear-triangular. Petals c. 1 mm long, white. Fruit ovoid, 2-2.5 mm long, the mericarp with prominent whitish ribs."," fruit ovoid, 2-2.5 mm long, the mericarp with prominent whitish ribs.",fruit,,2,2.5,,mm,,,,,,checked
missed_pn,Anacampseros australiana,"Description: Procumbent herb. Flowering stems to 20 cm long. Leaves oblanceolate to obovate, rarely elliptic, 1-2.5 cm long, 5-12 mm wide, acute; with fascicles of hairs 1-2 mm long in the leaf axils. Cymes few-flowered, pedicels 3-7 mm long, erect. Sepals 5-10 mm long. Petals 8-20 mm long, pale pink, almost transparent, enclosed in sepals. Stigmas 3, on a style 0.5-1 mm long. Capsule ovoid to oblong, 5-12 mm long; seeds pyramidal-trigonous, c. 0.7 mm long, c. 0.5 mm wide, light to red-brown, dull, tuberculate."," capsule ovoid to oblong, 5-12 mm long;",capsule,,5,12,,mm,,,,,,checked
missed_pn,Anethum graveolens,"Description: Annual herb 40-170 cm high, glaucescent, strongly aromatic. Leaves 3-4-pinnate, oblong to obovate in outline, 13-35 cm long, 10-12 cm wide; lobes narrow-linear, 4-20 mm long, < 0.5 mm wide, often recurved and tangled; sheath broad, loosely clasping and often recurved. Compound umbels 7-12 cm diam.; peduncle 7-16 cm long; rays 10-45, unequal, 2.5-16 cm long; pedicels subequal, 6-20 mm long. Petals c. 0.7 mm long, yellow. Fruit ovoid or broad-oblong, 3.5-6 mm long, 2-2.5 mm wide, the broad back 3-ribbed between winged lateral ribs."," fruit ovoid or broad-oblong, 3.5-6 mm long, 2-2.5 mm wide, the broad back 3-ribbed between winged lateral ribs.",fruit,,3.5,6,,mm,,2,2.5,,mm,checked
missed_pn,Aphanopetalum resinosum,"Description: Straggling shrub or climber, glabrous, stems with raised lenticels. Leaves ovate to lanceolate or elliptic, mostly 4-8 cm long, 15-30 mm wide, margins crenate to regularly toothed; lamina green and glossy, lower surface paler; petiole 2-5 mm long; stipules very small. Flowers usually in axillary cymes. Calyx lobes 2 mm long, enlarging to c. 12 mm in fruit, greenish cream. Petals 1-3 mm long. Nut 2-3 mm long.", nut 2-3 mm long.,nut,,2,3,,mm,,,,,,checked
missed_pn,Apium graveolens,"Description: Erect biennial to 1 m high, with ribbed stems, aromatic, glabrous. Leaves usually 1-pinnate, upper leaves much smaller; leaflets 3-5, ovate-cuneate, to 5 cm long, each Ã‚Â± deeply 3-lobed, with crenate to toothed margins. Umbels 3-4 cm diam., sessile or subsessile with 4-8 unequal rays. Petals 0.5-0.7 mm long, white. Fruit broadly ovoid, 1.5-2.5 mm long; mericarp with 5 slender whitish ribs."," fruit broadly ovoid, 1.5-2.5 mm long; mericarp with 5 slender whitish ribs.",fruit,,1.5,2.5,,mm,,,,,,checked
missed_pn,Apium prostratum,"Description: Biennial or perennial prostrate herb with branches 30-70 cm long, glabrous. Leaves 1-2-pinnatisect, those near base 5-41 cm long, those opposite compound umbels 2-15 cm long; segments 3-lobed, 2-7 mm wide. Umbels 3.5-7 cm diam., sessile or peduncle 2-20 mm long; rays 2-15, 0.4-5.5 mm long. Petals ovate, 0.8-1.5 mm long, white. Fruit obovate to ± circular, 1.3-2.5 mm long and wide; mericarp with 5 thick longitudinal ribs which almost conceal the narrow furrows between them."," fruit obovate to ± circular, 1.3-2.5 mm longandwide; mericarp with 5 thick longitudinal ribs which almost conceal the narrow furrows between them.",fruit,,1.3,2.5,,mm,,1.3,2.5,,mm,checked
