TRY Data Explorer Output	2020-5-28
Trait List

TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum	
2624	Belowground plant organ construction cost per belowground plant organ dry mass	9	9	9	
2799	Belowground plant organ debris decomposition rate constant 	201	200	49	
3336	Belowground plant organ decomposition: fraction carbon (C) remaining	18	18	4	
3337	Belowground plant organ decomposition: fraction nitrogen (N) remaining	35	35	6	
2677	Belowground plant organ decomposition: fraction of belowground plant organ dry mass not decomposed t	26	26	6	
2550	Belowground plant organ diameter	9	9	9	
2562	Belowground plant organ dry mass per belowground plant organ fresh mass (belowground plant organ dry	9	9	9	
2563	Belowground plant organ dry mass per ground area	294	291	40	
2644	Belowground plant organ dry mass soluble in neutral solution per belowground plant organ dry mass	5	5	5	
2647	Belowground plant organ dry mass soluble in nonpolar extractives per belowground plant organ dry mas	10	10	10	
2771	Belowground plant organ dry mass to leaf dry mass ratio	51	51	22	
2723	Belowground plant organ dry mass turnover rate	71	71	16	
2703	Belowground plant organ growth: belowground plant organ dry mass production per ground area per day	4	4	1	
2700	Belowground plant organ growth: belowground plant organ dry mass production per ground area per year	8	8	7	
2717	Belowground plant organ growth: fraction of belowground plant organs recovering from pruning	6	6	6	
2622	Belowground plant organ hemicellulose content per belowground plant organ dry mass	32	32	22	
2572	Belowground plant organ iron (Fe) content per belowground plant organ dry mass	2		1	
2574	Belowground plant organ length per belowground plant organ dry mass (specific belowground plant orga	212	212	69	
2552	Belowground plant organ lignin content per belowground plant organ dry mass	116	116	56	
2575	Belowground plant organ magnesium (Mg) content per belowground plant organ dry mass	2		1	
2564	Belowground plant organ morphological adaptations: aerenchyma	3	3	3	
2786	Belowground plant organ necromass (dead dry mass) per ground area for specified soil depth increment	10	10	1	
2798	Belowground plant organ necromass to biomass ratio	10	10	1	
2547	Belowground plant organ nitrogen (N) content per belowground plant organ dry mass	450	448	126	
2787	Belowground plant organ nitrogen (N) per ground area	105	105	5	
2756	Belowground plant organ nitrogen (N) uptake per ground area per year	100	100	4	
2557	Belowground plant organ nitrogen (N) uptake rate	8	8	1	
2577	Belowground plant organ persistence (lifespan, longevity)	30	30	10	
2585	Belowground plant organ phenols content per belowground plant organ dry mass	5	5	5	
2561	Belowground plant organ phosphorus (P) content per belowground plant organ dry mass	70	68	35	
2651	Belowground plant organ polyphenol content per belowground plant organ dry mass	5	5	5	
2578	Belowground plant organ potassium (K) content per belowground plant organ dry mass	5	3	2	
2666	Belowground plant organ ratio of lignin to nitrogen (N)	7	7	7	
2559	Belowground plant organ respiration rate per belowground plant organ dry mass	86	86	38	
2545	Belowground plant organ rooting depth	55	55	32	
2549	Belowground plant organ tissue density (belowground plant organ dry mass per belowground plant organ	104	104	15	
2658	Belowground plant organ water soluble compounds per belowground plant organ dry mass	32	32	22	
2659	Belowground plant organ water soluble sugar content per belowground plant organ dry mass	5	5	5	
2546	Belowground plant organ/shoot ratio	228	225	61	
2980	Branch annual growth	99		1	
2973	Branch calcium (Ca) content per branch dry mass	33	33	6	
447	Branch carbon (C) content per branch dry mass	324	97	253	
2974	Branch copper (Cu) content per branch dry mass	30	30	5	
3386	Branch cross-sectional fraction of bark	641	524	117	
3066	Branch cross-sectional fraction of conduits (vessels)	292	292	106	
3067	Branch cross-sectional fraction of fiber	291	291	105	
3065	Branch cross-sectional fraction of parenchyma	292	292	106	
3387	Branch cross-sectional fraction of pith	641	524	117	
3388	Branch cross-sectional fraction of xylem	641	524	117	
3404	Branch diameter	380	380	24	
3389	Branch dry mass	550	550	117	
448	Branch dry mass per ground area	161	26	11	
3392	Branch hydraulic conductance	489	372	141	
2975	Branch iron (Fe) content per branch dry mass	30	30	5	
2976	Branch magnesium (Mg) content per branch dry mass	30	30	5	
2977	Branch manganese (Mn) content per branch dry mass	30	30	5	
450	Branch nitrogen (N) content per branch dry mass	72	57	11	
443	Branch nitrogen (N) content per branch dry mass per leaf nitrogen (N) content per leaf dry mass (bra	1	1	1	
451	Branch nitrogen (N) content per ground area	6	6	1	
861	Branch number of secondary branches at first branching	2365	2365	34	
862	Branch number per height along the shoot axis	4103	4103	5	
863	Branch phosphorus (P) content per branch dry mass 	31	30	6	
864	Branch potassium (K) content per branch dry mass	31	30	6	
442	Branch respiration rate per branch dry mass	104	104	5	
444	Branch respiration rate per branch nitrogen (N) content	54	54	2	
446	Branch respiration rate per branch surface area	100	100	4	
453	Branch respiration rate per branch volume	2	2	1	
445	Branch respiration temperature dependence	80	80	2	
2978	Branch sulfur (S) content per branch dry mass	30	30	5	
3390	Branch vessel density	640	523	117	
3391	Branch vessel diameter	640	523	117	
2979	Branch zinc (Zn) content per branch dry mass	30	30	5	
3104	Bud frost hardiness (leaf-buds)	71		40	
3103	Bud physical defence	16		10	
3102	Bud source	370		174	
153	Budbank height distribution	78314		4924	
865	Budbank seasonality	42224		2860	
3105	Budburst mean date	6	6	1	
1625	Coarse root 12 phenol content per coarse root carbon (C) content	14	14	1	
643	Coarse root aluminium (Al) content per coarse root dry mass	12	11	4	
649	Coarse root antimony (Sb) content per coarse root dry mass	1	1	1	
1609	Coarse root arabinans content per coarse root dry mass	7	7	2	
657	Coarse root arsenic (As) content per coarse root dry mass	1	1	1	
1611	Coarse root bound phenol content per coarse root carbon (C) content	14	14	1	
3176	Coarse root branching intensity 3: number of root tips per total coarse root length	4	4	3	
651	Coarse root cadmium (Cd) content per coarse root dry mass	1	1	1	
641	Coarse root calcium (Ca) content per coarse root dry mass	1	1	1	
1544	Coarse root calcium (Ca) content per coarse root dry mass	104	91	18	
1622	Coarse root carbon (C) content not hydrolyzable in acid extractives per coarse root carbon (C) conte	4	4	3	
1527	Coarse root carbon (C) content per coarse root dry mass	89	89	21	
456	Coarse root carbon (C) content per coarse root dry mass	346	117	256	
1761	Coarse root carbon (C) content per ground area	52	52	2	
166	Coarse root carbon/nitrogen (C/N) ) ratio	46	46	46	
1545	Coarse root carbon/nitrogen (C/N) ratio	190	182	25	
1599	Coarse root cellulose and hemicellulose content per coarse root dry mass	7	7	2	
1529	Coarse root cellulose content per coarse root dry mass	7	7	2	
658	Coarse root chromium (Cr) content per coarse root dry mass	1	1	1	
1612	Coarse root cinnamyl phenol content per coarse root carbon (C) content	2	2	1	
1605	Coarse root Cl- ion content per coarse root dry mass	4	4	1	
1577	Coarse root conduit diameter	13	13	1	
654	Coarse root copper (Cu) content per coarse root dry mass	7	7	2	
1563	Coarse root cortex thickness	2	2	2	
1570	Coarse root cross-sectional fraction of stele area to coarse root area	13	13	1	
1775	Coarse root debris decomposition rate constant 	72	72	17	
3189	Coarse root decomposition: fraction nitrogen (N) remaining	54	54	2	
1653	Coarse root decomposition: fraction of coarse root dry mass not decomposed to original coarse root d	143	143	7	
1759	Coarse root density on screen: number of coarse roots per area of in-growth screen	3	3	1	
1526	Coarse root diameter	73	73	36	
1750	Coarse root dry mass fraction in respective root diameter class	12	12	2	
1751	Coarse root dry mass fraction in respective root order	4	4	1	
457	Coarse root dry mass per ground area	2790	2788	58	
1757	Coarse root dry mass per soil volume	25	25	2	
1747	Coarse root dry mass to leaf dry mass ratio	4	4	3	
1698	Coarse root dry mass turnover	4	4	1	
1699	Coarse root dry mass turnover rate	114	113	37	
1613	Coarse root ethanol soluble compounds per coarse root dry mass	7	7	2	
1614	Coarse root free phenols content per coarse root carbon (C) content	14	14	1	
1615	Coarse root galactans content per coarse root dry mass	7	7	2	
1675	Coarse root growth: coarse root carbon (C) production per ground area and time	39	39	2	
1679	Coarse root growth: coarse root dry mass production per ground area per day	20	20	1	
1678	Coarse root growth: coarse root dry mass production per ground area per duration of exposition	20	20	1	
1676	Coarse root growth: coarse root dry mass production per ground area per year	131	130	36	
1682	Coarse root growth: coarse root elongation	30	30	1	
1685	Coarse root growth: coarse root length production per ground area per year	37	37	1	
1694	Coarse root growth: coarse root surface area produced per ground area per year	7	7	1	
1681	Coarse root growth: fraction of coarse root number that has elongated since last measurement to tota	30	30	1	
1598	Coarse root hemicellulose content per coarse root dry mass	7	7	2	
644	Coarse root iron (Fe) content per coarse root dry mass	12	11	4	
652	Coarse root lead (Pb) content per coarse root dry mass	1	1	1	
1768	Coarse root length density (RLD): coarse root length per ground area	16	16	6	
1752	Coarse root length fraction in respective root diameter class	7	7	2	
1550	Coarse root length per coarse root dry mass (specific coarse root length, SRL)	29	29	22	
1769	Coarse root length per soil volume	13	13	1	
1718	Coarse root length: distance from coarse root base to tip	14	14	13	
1658	Coarse root lifespan: fraction of coarse roots that live to the age in “coarse root age”	19	19	1	
1528	Coarse root lignin content per coarse root dry mass	74	74	8	
1616	Coarse root lignin phenol content per coarse root carbon (C) content	14	14	1	
1776	Coarse root lignin phenol vegetation index	2	2	1	
642	Coarse root magnesium (Mg) content per coarse root dry mass	87	74	15	
1559	Coarse root manganese (Mn) content per coarse root dry mass	17	17	4	
1619	Coarse root mannans content per coarse root dry mass	7	7	2	
648	Coarse root mercury (Hg) content per coarse root dry mass	1	1	1	
650	Coarse root molybdenum (Mo) content per coarse root dry mass	1	1	1	
1664	Coarse root mortality: coarse root dry mass mortality per ground area and time	3	3	2	
1762	Coarse root necromass (dead dry mass) per ground area for specified soil depth increment	71	71	3	
1774	Coarse root necromass to biomass ratio	67	67	3	
653	Coarse root nickel (Ni) content per coarse root dry mass	1	1	1	
459	Coarse root nitrogen (N) content per coarse root dry mass	630	612	59	
455	Coarse root nitrogen (N) content per ground area	49	49	3	
3196	Coarse root nitrogen (N) uptake of molar 15N-Glycine per shoot dry mass	5	5	5	
3197	Coarse root nitrogen (N) uptake of molar 15NH4+ per shoot dry mass	5	5	5	
3198	Coarse root nitrogen (N) uptake of molar 15NO3- per shoot dry mass	5	5	5	
3200	Coarse root nitrogen (N) uptake of molar inorganic N uptake per coarse root area	3	3	3	
3201	Coarse root nitrogen (N) uptake of molar NH4+ uptake per coarse root area	3	3	3	
3202	Coarse root nitrogen (N) uptake of molar NO3- uptake per coarse root area	3	3	3	
3203	Coarse root nitrogen (N) uptake of molar organic N uptake per coarse root area	3	3	3	
3199	Coarse root nitrogen (N) uptake of molar total 15N per shoot dry mass	5	5	5	
1732	Coarse root nitrogen (N) uptake per ground area per year	24	24	1	
1624	Coarse root p-hydroxy phenol content per coarse root carbon (C) content	2	2	1	
620	Coarse root phosphorus (P) content per coarse root dry mass	217	204	22	
646	Coarse root potassium (K) content per coarse root dry mass	99	86	16	
1639	Coarse root ratio of 3,5-dihydroxybenzoic acid groups to vanillyl phenols	2	2	1	
1637	Coarse root ratio of number of acid groups to number of aldehyde groups in syringyl phenols	2	2	1	
1638	Coarse root ratio of number of acid groups to number of aldehyde groups in vanillyl phenols	2	2	1	
1641	Coarse root ratio of of cinnamyl phenol to vanillyl phenol	2	2	1	
1645	Coarse root ratio of of syringyl phenol to vanillyl phenol	2	2	1	
1646	Coarse root ratio of vanillyl phenol to lignin phenol	2	2	1	
1535	Coarse root respiration rate per coarse root dry mass	58	58	8	
1628	Coarse root rhamnans content per coarse root dry mass	7	7	2	
1521	Coarse root rooting depth	8	8	4	
1773	Coarse root rooting depth: fraction of coarse root dry mass contained in depth interval	32	32	1	
1560	Coarse root silicon (Si) content per coarse root dry mass	4	4	1	
645	Coarse root sodium (Na) content per coarse root dry mass	17	17	4	
1606	Coarse root sodium (Na+) ion content per coarse root dry mass	4	4	1	
3187	Coarse root starch content per dry mass	16	16	2	
1569	Coarse root stele diameter	2	2	2	
1568	Coarse root stele fraction: stele diameter divided by coarse root diameter	9	9	6	
647	Coarse root sulfur (S) content per coarse root dry mass	32	32	6	
1754	Coarse root surface area fraction in respective root order	4	4	1	
1557	Coarse root surface area per coarse root dry mass (specific coarse root area)	38	38	17	
1630	Coarse root syringyl phenol content per coarse root carbon (C) content	2	2	1	
655	Coarse root thallium (Ti) content per coarse root dry mass	1	1	1	
1525	Coarse root tissue density (coarse root dry mass per coarse root volume)	27	27	13	
1019	Coarse root to fine root mass ratio	1728	1645	135	
1536	Coarse root total non-structural carbon (TNC) content per coarse root dry mass	101	101	3	
1632	Coarse root vanillyl phenol content per coarse root carbon (C) content	2	2	1	
1772	Coarse root volume per ground area	5	5	5	
1633	Coarse root water or ethanol soluble compounds per coarse root dry mass	7	7	2	
1634	Coarse root water soluble compounds per coarse root dry mass	7	7	2	
1636	Coarse root xylans content per coarse root dry mass	7	7	2	
1575	Coarse root xylem vessel density in stele: number of xylem vessels per square millimeter of coarse r	13	13	1	
656	Coarse root zinc (Zn) content per coarse root dry mass	7	7	2	
840	Coarse woody debris (CWD) branch: calcium (Ca) content per branch CWD dry mass	81	79	15	
841	Coarse woody debris (CWD) branch: carbon (C) content per branch CWD dry mass	83	81	11	
842	Coarse woody debris (CWD) branch: carbon/nitrogen (C/N) ratio	91	89	14	
843	Coarse woody debris (CWD) branch: cellulose content per branch CWD dry mass	1	1	1	
844	Coarse woody debris (CWD) branch: copper (Cu) content per branch CWD dry mass	33	33	8	
845	Coarse woody debris (CWD) branch: decomposition rate	182	161	43	
846	Coarse woody debris (CWD) branch: decomposition rate constant	394	376	64	
847	Coarse woody debris (CWD) branch: density	76	76	20	
848	Coarse woody debris (CWD) branch: hemicellulose content per branch CWD dry mass	2		1	
849	Coarse woody debris (CWD) branch: iron (Fe) content per branch CWD dry mass	38	38	9	
850	Coarse woody debris (CWD) branch: lignin content per branch CWD dry mass	8	6	6	
851	Coarse woody debris (CWD) branch: lignin/nitrogen (lignin/N) ratio	20	18	3	
852	Coarse woody debris (CWD) branch: magnesium (Mg) content per branch CWD dry mass	80	78	14	
853	Coarse woody debris (CWD) branch: manganese (Mn) content per branch CWD dry mass	47	47	10	
854	Coarse woody debris (CWD) branch: nitrogen (N) content per branch CWD dry mass	160	158	23	
855	Coarse woody debris (CWD) branch: phosphorus (P) content per branch CWD dry mass	89	87	16	
856	Coarse woody debris (CWD) branch: potassium (K) content per branch CWD dry mass	95	93	19	
857	Coarse woody debris (CWD) branch: rot type	5	5	3	
858	Coarse woody debris (CWD) branch: sodium (Na) content per branch CWD dry mass	7	7	4	
859	Coarse woody debris (CWD) branch: sulfur (S) content per branch CWD dry mass	36	36	8	
860	Coarse woody debris (CWD) branch: zinc (Zn) content per branch CWD dry mass	35	35	6	
1057	Coarse woody debris (CWD) root: calcium (Ca) content per coarse root CWD dry mass	33	30	9	
1058	Coarse woody debris (CWD) root: carbon (C) content per coarse root CWD dry mass	16	16	11	
1059	Coarse woody debris (CWD) root: carbon/nitrogen (C/N) ratio	11	11	7	
1060	Coarse woody debris (CWD) root: cellulose content per coarse root CWD dry mass	4	4	4	
1061	Coarse woody debris (CWD) root: decomposition rate	23	15	12	
1062	Coarse woody debris (CWD) root: decomposition rate constant	82	74	19	
1063	Coarse woody debris (CWD) root: density	34	34	5	
1064	Coarse woody debris (CWD) root: lignin content per coarse root CWD dry mass	4	4	4	
1065	Coarse woody debris (CWD) root: lignin/nitrogen (lignin/N) ratio	9	9	5	
1066	Coarse woody debris (CWD) root: magnesium (Mg) content per coarse root CWD dry mass	32	29	8	
1067	Coarse woody debris (CWD) root: manganese (Mn) content per coarse root CWD dry mass	5	2	3	
1262	Coarse woody debris (CWD) root: nitrogen (N) content per coarse root CWD dry mass	43	40	15	
1068	Coarse woody debris (CWD) root: phosphorus (P) content per coarse root CWD dry mass	33	30	9	
1069	Coarse woody debris (CWD) root: potassium (K) content per coarse root CWD dry mass	33	30	9	
1070	Coarse woody debris (CWD) root: rot type	5	5	1	
1071	Coarse woody debris (CWD) root: sodium (Na) content per coarse root CWD dry mass	1	1	1	
1072	Coarse woody debris (CWD) root: wood fraction	1	1	1	
1073	Coarse woody debris (CWD) root: zinc (Zn) content per coarse root CWD dry mass	2	2	2	
1147	Coarse woody debris (CWD) stem: acetals content per stem CWD	10	10	1	
1148	Coarse woody debris (CWD) stem: alkyls content per stem CWD	10	10	1	
1149	Coarse woody debris (CWD) stem: aluminium (Al) content per stem CWD	6	6	2	
1150	Coarse woody debris (CWD) stem: aromatic content per stem CWD	10	10	1	
1151	Coarse woody debris (CWD) stem: bark fraction	14	14	8	
1152	Coarse woody debris (CWD) stem: calcium (Ca) content per stem CWD	82	81	20	
1153	Coarse woody debris (CWD) stem: carbon (C) content per stem CWD	61	61	13	
1154	Coarse woody debris (CWD) stem: carbon/nitrogen (C/N) ratio	69	69	25	
1155	Coarse woody debris (CWD) stem: carboxyls content per stem CWD	10	10	1	
1156	Coarse woody debris (CWD) stem: cellulose content per stem CWD	30	29	13	
1157	Coarse woody debris (CWD) stem: decomposition rate	1199	1191	160	
1158	Coarse woody debris (CWD) stem: decomposition rate constant	1644	1587	284	
1159	Coarse woody debris (CWD) stem: iron (Fe) content per stem CWD	11	11	3	
1160	Coarse woody debris (CWD) stem: lignin content per stem CWD	35	34	16	
1161	Coarse woody debris (CWD) stem: lignin/nitrogen ratio	15	15	5	
1162	Coarse woody debris (CWD) stem: magnesium (Mg) content per stem CWD	82	81	20	
1163	Coarse woody debris (CWD) stem: manganese (Mn) content per stem CWD	24	24	6	
1164	Coarse woody debris (CWD) stem: N-alkyl content per stem CWD	10	10	1	
1165	Coarse woody debris (CWD) stem: nitrogen (N) content per stem CWD	142	141	37	
1166	Coarse woody debris (CWD) stem: O-alkyl content per stem CWD	10	10	1	
1167	Coarse woody debris (CWD) stem: pH	6	6	1	
1168	Coarse woody debris (CWD) stem: phenols content per stem CWD	14	14	5	
1169	Coarse woody debris (CWD) stem: phosphorus (P) content per stem CWD	87	86	20	
1170	Coarse woody debris (CWD) stem: potassium (K) content per stem CWD	90	89	20	
1171	Coarse woody debris (CWD) stem: protein content per stem CWD	4	4	4	
1172	Coarse woody debris (CWD) stem: rot type	445	445	115	
1173	Coarse woody debris (CWD) stem: sodium (Na) content per stem CWD	37	37	8	
1174	Coarse woody debris (CWD) stem: sulfur (S) content per stem CWD	12	12	3	
1175	Coarse woody debris (CWD) stem: wood fraction	14	14	8	
1259	Coarse woody debris (CWD) stem: zinc (Zn) content per stem CWD	5	5	1	
867	Coarse woody debris (CWD): calcium (Ca) content per CWD dry mass	35	35	1	
868	Coarse woody debris (CWD): carbon (C) content per CWD dry mass	42	18	1	
432	Coarse woody debris (CWD): carbon/nitrogen (C/N) ratio	37		32	
426	Coarse woody debris (CWD): cellulose content per CWD dry mass	30		26	
869	Coarse woody debris (CWD): decomposition rate	36		36	
871	Coarse woody debris (CWD): density	68	68	1	
425	Coarse woody debris (CWD): lignin content per CWD dry mass	93	39	27	
874	Coarse woody debris (CWD): magnesium (Mg) content per CWD dry mass	35	35	1	
875	Coarse woody debris (CWD): manganese (Mn) content per CWD dry mass	13	13	1	
876	Coarse woody debris (CWD): nitrogen (N) content per CWD dry mass	108	84	1	
878	Coarse woody debris (CWD): phosphorus (P) content per CWD dry mass	72	72	1	
879	Coarse woody debris (CWD): potassium (K) content per CWD dry mass	35	35	1	
882	Coarse woody debris (CWD): sodium (Na) content per CWD dry mass	16	16	1	
2981	Cone (strobilus) calcium (Ca) content per cone dry mass	13	13	3	
2982	Cone (strobilus) copper (Cu) content per cone dry mass	13	13	3	
885	Cone (strobilus) diameter	1525	1524	22	
888	Cone (strobilus) dry mass	1509	1508	22	
2983	Cone (strobilus) iron (Fe) content per cone dry mass	13	13	3	
886	Cone (strobilus) length	1511	1510	22	
2985	Cone (strobilus) magnesium (Mg) content per cone dry mass	13	13	3	
2986	Cone (strobilus) manganese (Mn) content per cone dry mass	13	13	3	
2987	Cone (strobilus) nitrogen (N) content per cone dry mass	13	13	3	
2988	Cone (strobilus) phosphorus (P) content per cone dry mass	13	13	3	
2984	Cone (strobilus) potassium (K) content per cone dry mass	13	13	3	
2989	Cone (strobilus) sulfur (S) content per cone dry mass	13	13	3	
2990	Cone (strobilus) zinc (Zn) content per cone dry mass	13	13	3	
889	Crown (canopy) base height (ground to base)	156	156	15	
722	Crown (canopy) density	10	10	10	
3047	Crown (canopy) exposure index	1193	1193	109	
3471	Crown (canopy) form	42	42	42	
480	Crown (canopy) ground area fraction covered by projected canopy	42	42	4	
773	Crown (canopy) height (base to top)	9842	9680	467	
324	Crown (canopy) length: diameter along the longest axis	13976	12413	819	
807	Crown (canopy) mass per ground area	10	10	10	
501	Crown (canopy) nitrogen (N) content per ground area	6	6	1	
489	Crown (canopy) radiation extinction coefficient	6	6	3	
436	Crown (canopy) rainfall (water) interception 	6	1	5	
36	Crown (canopy) structure	31		31	
749	Crown (canopy) transpiration	8	8	2	
325	Crown (canopy) width	6439	5053	536	
193	Dispersal distance	189		140	
890	Dispersal frequenzy	321		240	
3127	Dispersal kernel measurement (relative abundance at given distance)	5320		130	
891	Dispersal probability	11	11	11	
28	Dispersal syndrome	386761	15478	21717	
892	Dispersal unit appendages	13679		2603	
392	Dispersal unit color	47	47	46	
233	Dispersal unit dry mass	6023	1150	1822	
893	Dispersal unit exposure 	2662		2568	
1263	Dispersal unit floating capacity	159702		1352	
237	Dispersal unit length	19094	165	2956	
232	Dispersal unit shape	10831		2823	
894	Dispersal unit surface structure	1712		1671	
235	Dispersal unit thickness 	12541	138	2396	
231	Dispersal unit type	195200	141	6153	
236	Dispersal unit width	15087	213	2768	
2137	Fine root (absorptive) 12 phenol content per absorptive fine root carbon (C) content	21	21	1	
2120	Fine root (absorptive) acid hydrolyzable extractives per absorptive fine root dry mass	113	113	35	
2231	Fine root (absorptive) acid phosphatase activity per absorptive fine root dry mass	115		115	
2160	Fine root (absorptive) alkyl carbon (C) content per absorptive fine root carbon (C) content	4	4	1	
2053	Fine root (absorptive) aluminium (Al) content per absorptive fine root dry mass	8	8	4	
2054	Fine root (absorptive) arsenic (As) content per absorptive fine root dry mass	18	18	6	
2123	Fine root (absorptive) bound phenol content per absorptive fine root carbon (C) content	21	21	1	
2097	Fine root (absorptive) branching intensity 1 (branching ratio): number of absorptive fine roots per 	369	369	175	
2098	Fine root (absorptive) branching intensity 2: number of root tips per higher order root length	105	105	51	
3250	Fine root (absorptive) branching intensity 3: number of root tips per total fine root (absorptive) l	203	203	183	
2055	Fine root (absorptive) cadmium (Cd) content per absorptive fine root dry mass	18	18	6	
2056	Fine root (absorptive) calcium (Ca) content per absorptive fine root dry mass	201	201	84	
2134	Fine root (absorptive) carbon (C) content not hydrolyzable in acid extractives per absorptive fine r	103	103	73	
2039	Fine root (absorptive) carbon (C) content per absorptive fine root dry mass	724	664	414	
2273	Fine root (absorptive) carbon content per ground area	27	27	3	
2272	Fine root (absorptive) carbon content per soil dry mass	3	3	1	
2057	Fine root (absorptive) carbon/nitrogen (C/N) ratio	921	921	400	
2108	Fine root (absorptive) cellulose carbon (C) per absorptive fine root carbon (C) content	3	3	1	
2058	Fine root (absorptive) chromium (Cr) content per absorptive fine root dry mass	18	18	6	
2124	Fine root (absorptive) cinnamyl phenol content per absorptive fine root carbon (C) content	3	3	1	
2117	Fine root (absorptive) Cl- ion content per absorptive fine root dry mass	6	6	1	
2227	Fine root (absorptive) color	55	55	7	
3259	Fine root (absorptive) condensed tannins	8	8	1	
2093	Fine root (absorptive) conduit cell wall thickness	42	42	14	
2086	Fine root (absorptive) conduit density: number of conduits per stele cross-section area	15	15	5	
2089	Fine root (absorptive) conduit diameter	38	38	9	
2059	Fine root (absorptive) copper (Cu) content per absorptive fine root dry mass	18	18	6	
2075	Fine root (absorptive) cortex thickness	262	262	136	
3264	Fine root (absorptive) cross-sectional area	61	61	29	
3245	Fine root (absorptive) cross-sectional area of root stele	8	8	3	
3246	Fine root (absorptive) cross-sectional area of vessel	61	61	29	
3248	Fine root (absorptive) cross-sectional area of xylem	53	53	26	
2082	Fine root (absorptive) cross-sectional fraction of stele area to absorptive fine root area	83	83	34	
2287	Fine root (absorptive) debris decomposition rate constant	67	67	59	
2175	Fine root (absorptive) decomposition: absorptive fine root length decomposed per ground area during 	331	331	11	
3263	Fine root (absorptive) decomposition: fraction nitrogen (N) remaining	99	93	15	
2165	Fine root (absorptive) decomposition: fraction of absorptive fine root dry mass not decomposed to or	229	223	25	
2038	Fine root (absorptive) diameter	2698	2552	597	
2263	Fine root (absorptive) dry mass fraction in respective root order	129	129	25	
2133	Fine root (absorptive) dry mass not hydrolyzable in acid extractives per absorptive fine root dry ma	105	105	35	
2050	Fine root (absorptive) dry mass per absorptive fine root fresh mass (absorptive fine root dry matter	48	48	48	
2051	Fine root (absorptive) dry mass per ground area	345	345	35	
2135	Fine root (absorptive) dry mass soluble in nonpolar extractives per absorptive fine root dry mass	105	105	35	
2138	Fine root (absorptive) dry mass soluble in polar extractives per absorptive fine root dry mass	105	105	35	
2210	Fine root (absorptive) dry mass turnover	16	16	2	
2211	Fine root (absorptive) dry mass turnover rate	71	71	11	
2076	Fine root (absorptive) exodermal wall thickness	18	8	6	
2077	Fine root (absorptive) exodermis passage cell frequency per length of absorptive fine root circumfer	18	8	6	
3267	Fine root (absorptive) exudation rate per length	4	4	4	
2233	Fine root (absorptive) exudation: carbon (C) exudation as fraction of absorptive fine root dry mass	4	4	4	
2101	Fine root (absorptive) fractal dimension	34	34	34	
3249	Fine root (absorptive) fraction of cross-sectional area occupied by xylem	53	53	26	
2126	Fine root (absorptive) free phenols content per absorptive fine root carbon (C) content	21	21	1	
2188	Fine root (absorptive) growth: absorptive fine root dry mass production per ground area per year	3	3	1	
2194	Fine root (absorptive) growth: absorptive fine root elongation	55	55	1	
2196	Fine root (absorptive) growth: absorptive fine root length production per ground area per exposition	331	331	11	
2197	Fine root (absorptive) growth: absorptive fine root length production per ground area per year	11	11	11	
2199	Fine root (absorptive) growth: absorptive fine root length production per minirhizotron surface area	15	15	1	
2204	Fine root (absorptive) growth: absorptive fine root length recovery from pruning	60	60	15	
