taxon_name,entity_type,entity_context,location_code,trait,trait_value_raw,trait_value,value_type,unit,error_type,error_value,n,context,source_section,notes
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_style_curvature,Hooked,,mode,,,,,,"Table 1, p.5",candidate trait; no existing AusTraits match for style curvature/shape (distinct from flower_style_length)
Thysanotus triandrus,species,,,flower_style_curvature,Curved,,mode,,,,,,"Table 1, p.5",candidate trait; no existing AusTraits match for style curvature/shape (distinct from flower_style_length)
Thysanotus multiflorus,species,,,flower_style_curvature,Curved,,mode,,,,,,"Table 1, p.5",candidate trait; no existing AusTraits match for style curvature/shape (distinct from flower_style_length)
Thysanotus tenellus,species,,,infertile_fruit_retention,No,,mode,,,,,,"Table 1, p.5",candidate trait: whether infertile (unfertilised/aborted) fruit are retained on the plant for some time rather than abscising promptly; no existing AusTraits match
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,infertile_fruit_retention,No,,mode,,,,,,"Table 1, p.5",candidate trait: whether infertile (unfertilised/aborted) fruit are retained on the plant for some time rather than abscising promptly; no existing AusTraits match
Thysanotus triandrus,species,,,infertile_fruit_retention,Yes,,mode,,,,,,"Table 1, p.5",candidate trait: whether infertile (unfertilised/aborted) fruit are retained on the plant for some time rather than abscising promptly; no existing AusTraits match
Thysanotus multiflorus,species,,,infertile_fruit_retention,Yes,,mode,,,,,,"Table 1, p.5",candidate trait: whether infertile (unfertilised/aborted) fruit are retained on the plant for some time rather than abscising promptly; no existing AusTraits match
Thysanotus tenellus,species,,,pollen_per_flower,36 158 ± 3077,,mean,pollen grains/flower,CI,3077,,,"Table 1, p.5","candidate trait, no existing AusTraits pollen-count trait; confidence level (e.g. 95%) not specified in source; thousands separator (space) in raw value is as printed"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,pollen_per_flower,93 118 ± 11 201,,mean,pollen grains/flower,CI,11201,,,"Table 1, p.5","candidate trait, no existing AusTraits pollen-count trait; confidence level (e.g. 95%) not specified in source; thousands separator (space) in raw value is as printed"
Thysanotus triandrus,species,,,pollen_per_flower,361 806 ± 30 537,,mean,pollen grains/flower,CI,30537,,,"Table 1, p.5","candidate trait, no existing AusTraits pollen-count trait; confidence level (e.g. 95%) not specified in source; thousands separator (space) in raw value is as printed"
Thysanotus multiflorus,species,,,pollen_per_flower,374 445 ± 54 107,,mean,pollen grains/flower,CI,54107,,,"Table 1, p.5","candidate trait, no existing AusTraits pollen-count trait; confidence level (e.g. 95%) not specified in source; thousands separator (space) in raw value is as printed"
Thysanotus tenellus,species,,Area A,phenological_isolation_index_2013,abs,,,,,,,paired with Thysanotus sp. Coastal plain,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus tenellus and Thysanotus sp. Coastal plain, calculated for Area A following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus tenellus in Area A. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus tenellus,species,,Area B,phenological_isolation_index_2013,abs,,,,,,,paired with Thysanotus sp. Coastal plain,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus tenellus and Thysanotus sp. Coastal plain, calculated for Area B following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus tenellus in Area B. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus tenellus,species,,Area D,phenological_isolation_index_2013,0.057 (9 Oct),,raw,,,,,paired with Thysanotus sp. Coastal plain,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus tenellus and Thysanotus sp. Coastal plain, calculated for Area D following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus tenellus in Area D. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",Area A,phenological_isolation_index_2013,abs,,,,,,,paired with Thysanotus tenellus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus sp. Coastal plain and Thysanotus tenellus, calculated for Area A following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus sp. Coastal plain in Area A. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",Area B,phenological_isolation_index_2013,0.075 (16 Oct),,raw,,,,,paired with Thysanotus tenellus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus sp. Coastal plain and Thysanotus tenellus, calculated for Area B following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus sp. Coastal plain in Area B. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",Area D,phenological_isolation_index_2013,0.327 (5 Oct),,raw,,,,,paired with Thysanotus tenellus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus sp. Coastal plain and Thysanotus tenellus, calculated for Area D following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus sp. Coastal plain in Area D. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus triandrus,species,,Area A,phenological_isolation_index_2013,0.662 (18 Nov),,raw,,,,,paired with Thysanotus multiflorus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus triandrus and Thysanotus multiflorus, calculated for Area A following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus triandrus in Area A. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus triandrus,species,,Area B,phenological_isolation_index_2013,1 (18 Nov),,raw,,,,,paired with Thysanotus multiflorus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus triandrus and Thysanotus multiflorus, calculated for Area B following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus triandrus in Area B. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus triandrus,species,,Area D,phenological_isolation_index_2013,abs,,,,,,,paired with Thysanotus multiflorus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus triandrus and Thysanotus multiflorus, calculated for Area D following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus triandrus in Area D. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus multiflorus,species,,Area A,phenological_isolation_index_2013,0.549 (31 Oct),,raw,,,,,paired with Thysanotus triandrus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus multiflorus and Thysanotus triandrus, calculated for Area A following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus multiflorus in Area A. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus multiflorus,species,,Area B,phenological_isolation_index_2013,1 (27 Oct),,raw,,,,,paired with Thysanotus triandrus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus multiflorus and Thysanotus triandrus, calculated for Area B following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus multiflorus in Area B. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus multiflorus,species,,Area D,phenological_isolation_index_2013,na,,,,,,,paired with Thysanotus triandrus,"Table 1, p.5","phenological reproductive isolation index (0 = complete overlap, 1 = complete isolation) between Thysanotus multiflorus and Thysanotus triandrus, calculated for Area D following Martin & Willis (2007); value in parentheses (where present) is the 2013 date of maximum flowering for Thysanotus multiflorus in Area D. ""abs"" = species absent from this area (index not calculable); ""na"" = not assessed. Candidate trait, no existing AusTraits match."
Thysanotus tenellus,species,,,flower_colour,purple,blue_purple,mode,,,,,,"Material and methods, p.3","source: ""The flower colour is usually described as purple in published descriptions, but there may be slight variation between species""; colour spectra were quantified with a spectroradiometer but the numeric spectra are only given graphically in Supporting Information Fig. S2, not extracted (figure-only, Step 1a)"
Thysanotus tenellus,species,,,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,minimum,h,,,,,"Material and methods, p.3","source: ""Flowers last only a few hours, opening in the morning and closing c. 5-6 h later""; recorded here as minimum=5, maximum=6 h (see paired maximum row); AusTraits trait flower_lifespan uses units of days, unit kept as stated in source (h) here per extraction convention"
Thysanotus tenellus,species,,,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,maximum,h,,,,,"Material and methods, p.3",see paired minimum row
Thysanotus tenellus,species,,,flower_structural_carpels_count,trilocular,3,raw,{count},,,,,"Material and methods, p.3","source: ""All species have a gynoecium with a single papillate stigma, trilocular ovary and two ovules per locule"""
Thysanotus tenellus,species,,,flower_ovules_per_functional_carpel_count,two ovules per locule,2,raw,{count},,,,,"Material and methods, p.3",same sentence as flower_structural_carpels_count row above
Thysanotus tenellus,species,,,stigma_surface_texture,papillate,papillate,mode,,,,,,"Material and methods, p.3","candidate trait, no existing AusTraits match; source: ""single papillate stigma"""
Thysanotus tenellus,species,,,flower_nectar_production,No nectar is produced,nectar_absent,mode,,,,,,"Material and methods, p.3",
Thysanotus tenellus,species,,,flower_pollinator_reward,pollen being the only reward to the pollinator,pollen,mode,,,,,,"Material and methods, p.3",
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_colour,purple,blue_purple,mode,,,,,,"Material and methods, p.3","source: ""The flower colour is usually described as purple in published descriptions, but there may be slight variation between species""; colour spectra were quantified with a spectroradiometer but the numeric spectra are only given graphically in Supporting Information Fig. S2, not extracted (figure-only, Step 1a)"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,minimum,h,,,,,"Material and methods, p.3","source: ""Flowers last only a few hours, opening in the morning and closing c. 5-6 h later""; recorded here as minimum=5, maximum=6 h (see paired maximum row); AusTraits trait flower_lifespan uses units of days, unit kept as stated in source (h) here per extraction convention"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,maximum,h,,,,,"Material and methods, p.3",see paired minimum row
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_structural_carpels_count,trilocular,3,raw,{count},,,,,"Material and methods, p.3","source: ""All species have a gynoecium with a single papillate stigma, trilocular ovary and two ovules per locule"""
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_ovules_per_functional_carpel_count,two ovules per locule,2,raw,{count},,,,,"Material and methods, p.3",same sentence as flower_structural_carpels_count row above
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,stigma_surface_texture,papillate,papillate,mode,,,,,,"Material and methods, p.3","candidate trait, no existing AusTraits match; source: ""single papillate stigma"""
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_nectar_production,No nectar is produced,nectar_absent,mode,,,,,,"Material and methods, p.3",
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_pollinator_reward,pollen being the only reward to the pollinator,pollen,mode,,,,,,"Material and methods, p.3",
Thysanotus triandrus,species,,,flower_colour,purple,blue_purple,mode,,,,,,"Material and methods, p.3","source: ""The flower colour is usually described as purple in published descriptions, but there may be slight variation between species""; colour spectra were quantified with a spectroradiometer but the numeric spectra are only given graphically in Supporting Information Fig. S2, not extracted (figure-only, Step 1a)"
Thysanotus triandrus,species,,,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,minimum,h,,,,,"Material and methods, p.3","source: ""Flowers last only a few hours, opening in the morning and closing c. 5-6 h later""; recorded here as minimum=5, maximum=6 h (see paired maximum row); AusTraits trait flower_lifespan uses units of days, unit kept as stated in source (h) here per extraction convention"
Thysanotus triandrus,species,,,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,maximum,h,,,,,"Material and methods, p.3",see paired minimum row
Thysanotus triandrus,species,,,flower_structural_carpels_count,trilocular,3,raw,{count},,,,,"Material and methods, p.3","source: ""All species have a gynoecium with a single papillate stigma, trilocular ovary and two ovules per locule"""
Thysanotus triandrus,species,,,flower_ovules_per_functional_carpel_count,two ovules per locule,2,raw,{count},,,,,"Material and methods, p.3",same sentence as flower_structural_carpels_count row above
Thysanotus triandrus,species,,,stigma_surface_texture,papillate,papillate,mode,,,,,,"Material and methods, p.3","candidate trait, no existing AusTraits match; source: ""single papillate stigma"""
Thysanotus triandrus,species,,,flower_nectar_production,No nectar is produced,nectar_absent,mode,,,,,,"Material and methods, p.3",
Thysanotus triandrus,species,,,flower_pollinator_reward,pollen being the only reward to the pollinator,pollen,mode,,,,,,"Material and methods, p.3",
Thysanotus multiflorus,species,,,flower_colour,purple,blue_purple,mode,,,,,,"Material and methods, p.3","source: ""The flower colour is usually described as purple in published descriptions, but there may be slight variation between species""; colour spectra were quantified with a spectroradiometer but the numeric spectra are only given graphically in Supporting Information Fig. S2, not extracted (figure-only, Step 1a)"
Thysanotus multiflorus,species,,,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,minimum,h,,,,,"Material and methods, p.3","source: ""Flowers last only a few hours, opening in the morning and closing c. 5-6 h later""; recorded here as minimum=5, maximum=6 h (see paired maximum row); AusTraits trait flower_lifespan uses units of days, unit kept as stated in source (h) here per extraction convention"
Thysanotus multiflorus,species,,,flower_lifespan,"a few hours; opens in morning, closes c. 5-6 h later",,maximum,h,,,,,"Material and methods, p.3",see paired minimum row
Thysanotus multiflorus,species,,,flower_structural_carpels_count,trilocular,3,raw,{count},,,,,"Material and methods, p.3","source: ""All species have a gynoecium with a single papillate stigma, trilocular ovary and two ovules per locule"""
Thysanotus multiflorus,species,,,flower_ovules_per_functional_carpel_count,two ovules per locule,2,raw,{count},,,,,"Material and methods, p.3",same sentence as flower_structural_carpels_count row above
Thysanotus multiflorus,species,,,stigma_surface_texture,papillate,papillate,mode,,,,,,"Material and methods, p.3","candidate trait, no existing AusTraits match; source: ""single papillate stigma"""
Thysanotus multiflorus,species,,,flower_nectar_production,No nectar is produced,nectar_absent,mode,,,,,,"Material and methods, p.3",
Thysanotus multiflorus,species,,,flower_pollinator_reward,pollen being the only reward to the pollinator,pollen,mode,,,,,,"Material and methods, p.3",
Thysanotus tenellus,species,,,pollen_deposition_site_on_pollinator,ventral,,mode,,,,,,"Introduction, p.3","candidate trait, no existing AusTraits match; source: ""Pollen is deposited on the ventral surface of bees"" (general statement for the genus)"
Thysanotus tenellus,species,,,pollen_reception_site_from_pollinator,ventral (same surface pollen is picked up from),ventral,mode,,,,,,"Introduction, p.3","candidate trait, no existing AusTraits match; source: ""in T. tenellus, would be picked up from the same surface"""
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,pollen_reception_site_from_pollinator,dorsal,dorsal,mode,,,,,,"Introduction, p.3","candidate trait, no existing AusTraits match; source: ""in Thysanotus sp., pollen reception is from the dorsal surface of the visitor"""
Thysanotus triandrus,species,,,pollen_reception_site_from_pollinator,dorsal,dorsal,mode,,,,,,"Introduction, p.3","candidate trait, no existing AusTraits match; source: ""In T. triandrus, ... pollen reception is from the dorsal surface of the visitor"""
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,herkogamy_distance,>2 mm,,minimum,mm,,,,,"Discussion, p.9","candidate trait, no existing AusTraits match; source: ""the three non-autonomous species have herkogamy distances of >2 mm""; threshold value stated in source, not a precise measurement"
Thysanotus triandrus,species,,,herkogamy_distance,>2 mm,,minimum,mm,,,,,"Discussion, p.9","candidate trait, no existing AusTraits match; source: ""the three non-autonomous species have herkogamy distances of >2 mm""; threshold value stated in source, not a precise measurement"
Thysanotus multiflorus,species,,,herkogamy_distance,>2 mm,,minimum,mm,,,,,"Discussion, p.9","candidate trait, no existing AusTraits match; source: ""the three non-autonomous species have herkogamy distances of >2 mm""; threshold value stated in source, not a precise measurement"
Thysanotus triandrus,species,,,breeding_system,mixed mating system,self-compatible,mode,,,,,,"Results, p.6","source describes T. triandrus as having a ""mixed mating system""; mapped to closest existing allowed value self-compatible (self-pollen does set some fruit/seed, at reduced rate) - AusTraits breeding_system vocabulary has no ""mixed"" level; self_incompatibility_index below retains the actual reported ISI"
Thysanotus tenellus,species,,,breeding_system,"autogamous, with prior selfing",autogamy self-compatible,mode,,,,,,"Results, p.6","source: ""Thysanotus tenellus is autogamous at the Nicholson Reserve"" and ""no difference in fruit or seed set ... between autogamous, self- or outcross pollination""; both autogamy and self-compatible values apply simultaneously"
Thysanotus triandrus,species,,,self_incompatibility_index,0.56,,raw,{dimensionless},,,,,"Results, p.6","candidate trait, no existing AusTraits match; ISI = 1 - (hand self-pollination fruit or seed set / hand cross-pollination fruit or seed set), following Zapata & Arroyo (1978)"
Thysanotus tenellus,species,,,self_incompatibility_index,0.1,,raw,{dimensionless},,,,,"Results, p.6","candidate trait, no existing AusTraits match; ISI formula as above (Zapata & Arroyo, 1978)"
Thysanotus triandrus,species,,,pollen_limitation,T. triandrus is pollen limited,present,mode,,,,,,"Discussion, p.8-9","candidate trait, no existing AusTraits match"
Thysanotus tenellus,species,,,pollen_limitation,has escaped pollen limitation,absent,mode,,,,,,"Discussion, p.8-9","candidate trait, no existing AusTraits match"
Thysanotus tenellus,species,,,proportion_stigmas_with_pollen_at_opening,88%,,,,,,20,"just-opened, univisited flowers","Results, p.6","candidate trait, no existing AusTraits match; source: ""88% of stigmas (N = 20) from just opened (univisited) flowers carried ... pollen grains"""
Thysanotus tenellus,species,,,pollen_grains_per_stigma_at_opening,4.7 ± 1.0,,mean,grains/stigma,SE,1.0,20,"just-opened, univisited flowers","Results, p.6","candidate trait, no existing AusTraits match"
Thysanotus tenellus,species,,,proportion_pollen_tubes_emergent_at_opening,0.7%,,,,,,,"just-opened flowers, pollen grains on stigma","Discussion, p.9","candidate trait, no existing AusTraits match; source: ""only 0.7% of pollen grains on the stigmas had emergent pollen tubes and these were short"""
Thysanotus triandrus,species,,,seeds_per_fruit,one or two,,minimum,{count},,,,self-pollination treatment,"Discussion, p.6","source: ""Self-pollination results in only one or two seeds per fruit"""
Thysanotus triandrus,species,,,seeds_per_fruit,one or two,,maximum,{count},,,,self-pollination treatment,"Discussion, p.6",
Thysanotus triandrus,species,,,seeds_per_fruit,three to six,,minimum,{count},,,,outcross pollination treatment,"Discussion, p.6","source: ""outcross pollination generally produces three to six seeds"""
Thysanotus triandrus,species,,,seeds_per_fruit,three to six,,maximum,{count},,,,outcross pollination treatment,"Discussion, p.6",
Thysanotus triandrus,species,,,proportion_fruit_by_seed_count,61%,,,,,,,outcross pollen; 6 seeds/fruit,"Discussion, p.6","candidate trait, no existing AusTraits match; source: ""Sixty-one per cent of fruits from outcross pollen had six seeds"""
Thysanotus triandrus,species,,,proportion_fruit_by_seed_count,5%,,,,,,,outcross pollen; 1 seed/fruit,"Discussion, p.6","candidate trait, no existing AusTraits match; source: ""only 5% had one seed"""
Thysanotus triandrus,species,,,heterospecific_pollen_effect_on_fruit_seed_set,no effect,no_effect,mode,,,,,"HPT from Thysanotus sp. pollen, followed by conspecific pollen","Results, p.6-7","candidate trait, no existing AusTraits match; source: heterospecific pollen ""produced no effect on fruit ... or seed ... set"""
Thysanotus tenellus,species,,,heterospecific_pollen_effect_on_fruit_seed_set,"no effect (although not significantly lower) fruit and seed set, more variability",no_effect,mode,,,,,HPT from Thysanotus sp. pollen (HPT only treatment),"Results, p.6-7","candidate trait, no existing AusTraits match; source: ""HPT from Thysanotus sp. to T. tenellus produced lower (although not significantly lower) fruit and seed set with more variability than intraspecific pollination"""
Thysanotus tenellus,species,,,number_of_hand_crosses,184,,raw,{count},,,,pollen donor = Thysanotus sp. Coastal plain,"Table 2, p.8","candidate trait, no existing AusTraits match; number of hand pollinations performed with heterospecific pollen"
Thysanotus tenellus,species,,,heterospecific_cross_fruit_seed_set,No change,no_change,mode,,,,,pollen donor = Thysanotus sp. Coastal plain,"Table 2, p.8","candidate trait, no existing AusTraits match; qualitative fruit-and-seed-set outcome from Table 2 (""0"" = zero fruit and seed set)"
