,material,Species,rep,length incl pet. (mm),width (mm),curliness incl pet. (mm),comments,ALL MEASUREMENTS IN MM
1,dried ,Mac_com,6,140,10,3,cut,
1,dried ,Per_lev,1,103,20,12,,
1,dried ,Per_lev,2,159,25,12,,
1,dried ,Per_lev,3,136,33,12,,
1,dried ,Per_lev,4,138,34,8,,
1,dried ,Per_lev,5,126,22,13,,
1,dried ,Per_lev,6,123,32,9,,
1,dried ,San_acu,1,73,6,4,,
1,dried ,San_acu,2,67,8,7,,
1,dried ,San_acu,3,80,8,7,,
1,dried ,San_acu,4,77,10,9,,
1,dried ,San_acu,5,61,7,5,,
1,dried ,San_acu,6,65,7,10,,
1,dried ,Syn_glan,1,118,29,23,,
1,dried ,Syn_glan,2,91,22,11,,
1,dried ,Syn_glan,3,80,29,15,,
1,dried ,Syn_glan,4,90,24,9,,
1,dried ,Syn_glan,5,80,25,13,,
1,dried ,Syn_glan,6,92,25,27,,
1,dried ,Syn_glom,1,90,40,13,,
1,dried ,Syn_glom,2,97,42,11,,
1,dried ,Syn_glom,3,99,44,9,,
1,dried ,Syn_glom,4,109,54,10,,
1,dried ,Syn_glom,5,109,38,7,,
1,dried ,Syn_glom,6,100,52,15,,
1,dried ,Tri_sca,1,283,165,27,per cluster/bunch,
1,dried ,Tri_sca,2,280,110,80,per cluster/bunch,
1,dried ,Tri_sca,3,231,130,65,per cluster/bunch,
1,dried ,Tri_sca,4,255,190,31,per cluster/bunch,
1,dried ,Tri_sca,5,175,115,19,per cluster/bunch,
1,dried ,Tri_sca,6,215,110,17,per cluster/bunch,
2,senesced,Aca_dor,1,137,5,4,,
2,senesced,Aca_dor,2,122,5,4,,
2,senesced,Aca_dor,3,116,4,5,,
2,senesced,Aca_dor,4,132,4,2,,
2,senesced,Aca_dor,5,100,4,5,,
2,senesced,Aca_dor,6,104,6,5,,
2,senesced,Allocas,1,113,,7,,
2,senesced,Allocas,2,131,,7,,
2,senesced,Allocas,3,115,,7,,
2,senesced,Allocas,4,104,,5,,
2,senesced,Allocas,5,157,,7,,
2,senesced,Allocas,6,125,,3,,
2,senesced,Bra_pop,1,150,28,15,,
2,senesced,Bra_pop,2,132,28,35,,
2,senesced,Bra_pop,3,108,16,15,,
2,senesced,Bra_pop,4,92,22,9,,
2,senesced,Bra_pop,5,132,26,16,,
2,senesced,Bra_pop,6,122,19,25,,
2,senesced,Euc_int,1,100,15,13,,
2,senesced,Euc_int,2,105,17,8,,
2,senesced,Euc_int,3,112,18,9,,
2,senesced,Euc_int,4,98,22,23,,
2,senesced,Euc_int,5,107,10,8,,
2,senesced,Euc_int,6,115,19,10,,
2,senesced,Gei_par,1,150,8,11,,
2,senesced,Gei_par,2,128,6,12,,
2,senesced,Gei_par,3,140,6,10,,
2,senesced,Gei_par,4,97,6,7,,
2,senesced,Gei_par,5,92,7,4,,
2,senesced,Gei_par,6,118,7,6,,
2,senesced,Hak_tep,1,64,1.5,2,,
2,senesced,Hak_tep,2,65,1.5,2,,
2,senesced,Hak_tep,3,53,1.2,1,,
2,senesced,Hak_tep,4,53,1.5,1.5,,
2,senesced,Hak_tep,5,54,1.2,3,,
2,senesced,Hak_tep,6,60,1.5,4,,
2,senesced,Las_fer,1,109,30,9,,
2,senesced,Las_fer,2,133,29,12,,
2,senesced,Las_fer,3,107,26,12,,
2,senesced,Las_fer,4,120,29,12,,
2,senesced,Las_fer,5,101,25,10,,
2,senesced,Las_fer,6,95,23,12,,
2,senesced,Mac_com,1,150,9,3,,
2,senesced,Mac_com,2,151,9,8,,
2,senesced,Mac_com,3,148,10,20,,
2,senesced,Mac_com,4,102,7,4,,
2,senesced,Mac_com,5,149,7,4,,
2,senesced,Mac_com,6,109,8,5,,
2,senesced,San_acu,1,86,7,11,,
2,senesced,San_acu,2,74,7,22,,
2,senesced,San_acu,3,62,8,16,,
2,senesced,San_acu,4,88,8,13,,
2,senesced,San_acu,5,78,7,13,,
2,senesced,San_acu,6,85,7,10,,
2,senesced,Syn_glom,1,283,165,27,,
2,senesced,Syn_glom,2,280,110,80,,
2,senesced,Syn_glom,3,231,130,65,,
2,senesced,Syn_glom,4,255,190,31,,
2,senesced,Syn_glom,5,175,115,19,,
2,senesced,Syn_glom,6,215,110,17,,
