NDat,Taxon,Family,Order,trait_name,Reference,CharacterState,Value,Min,Max,Notes,NUsrcrDat,DcrDat,NUsrupDat,DupDat
154520,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,234. Perianth differentiation (D1),Watson & Dallwitz 2014 (website),234. Perianth differentiation (D1): (4) marked differentiation,NA,NA,NA,NA,Elisabeth Reyes,01-Jul-14,NA,NA
48082,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,330. Androecium structural phyllotaxy (D1),Ronse de Craene & Stuppy 2010 (IJPS),330. Androecium structural phyllotaxy (D1): (0) whorled,NA,NA,NA,NA,Hervé Sauquet,13-Mar-13,NA,NA
123538,Koeberlinia spinosa,Koeberliniaceae,Brassicales,100. Floral structural sex (D1),Moorhead & Farnsworth 2003 (book),100. Floral structural sex (D1): (0) bisexual,NA,NA,NA,NA,Rebeca Hernández Gutiérrez,05-Jul-13,NA,NA
123812,Koeberlinia spinosa,Koeberliniaceae,Brassicales,305. Filament (D1),Calderon de Rzedowski 1997 (FloraBajío),305. Filament (D1): (4) long and wide,NA,NA,NA,NA,Rebeca Hernández Gutiérrez,05-Jul-13,NA,NA
123761,Koeberlinia spinosa,Koeberliniaceae,Brassicales,207. Symmetry of perianth (D1),Calderon de Rzedowski 1997 (FloraBajío),207. Symmetry of perianth (D1): (3) disymmetric,NA,NA,NA,NA,Rebeca Hernández Gutiérrez,05-Jul-13,Rebeca Hernández Gutiérrez,05-Jul-13
124253,Koeberlinia spinosa,Koeberliniaceae,Brassicales,412. Placentation (D1),Calderon de Rzedowski 1997 (FloraBajío),412. Placentation (D1): (0) axile,NA,NA,NA,NA,Rebeca Hernández Gutiérrez,08-Jul-13,NA,NA
123751,Koeberlinia spinosa,Koeberliniaceae,Brassicales,234. Perianth differentiation (D1),Calderon de Rzedowski 1997 (FloraBajío),"234. Perianth differentiation (D1): (1) marked differentiation, outer sepaloid, inner petaloid",NA,NA,NA,NA,Rebeca Hernández Gutiérrez,05-Jul-13,NA,NA
200293,Pentadiplandra brazzeana,Pentadiplandraceae,Brassicales,311. Anther orientation (D1),Ronse De Craene 2002 (CanJBot),311. Anther orientation (D1): (1) latrorse,NA,NA,NA,NA,Maria von Balthazar,05-Jul-16,NA,NA
200285,Pentadiplandra brazzeana,Pentadiplandraceae,Brassicales,400. Gynoecium phyllotaxy (D1),Ronse De Craene 2002 (CanJBot),400. Gynoecium phyllotaxy (D1): (0) one whorl,NA,NA,NA,NA,Maria von Balthazar,05-Jul-16,NA,NA
200286,Pentadiplandra brazzeana,Pentadiplandraceae,Brassicales,404. Style differentiation (D1),Ronse De Craene 2002 (CanJBot),"404. Style differentiation (D1): (2) present, short and thick",NA,NA,NA,NA,Maria von Balthazar,05-Jul-16,NA,NA
124017,Barbeuia madagascariensis,Barbeuiaceae,Caryophyllales,312. Anther attachment (D1),Ramananjanahary et al 2010 (book),312. Anther attachment (D1): (1) dorsifixed,NA,NA,NA,NA,Julien Massoni,08-Jul-13,NA,NA
157310,Barbeuia madagascariensis,Barbeuiaceae,Caryophyllales,412. Placentation (D1),Watson & Dallwitz 2014 (website),412. Placentation (D1): (2) basal,NA,NA,NA,NA,Elisabeth Reyes,17-Jul-14,NA,NA
124020,Barbeuia madagascariensis,Barbeuiaceae,Caryophyllales,314. Connective extension (apical) (D1),Ramananjanahary et al 2010 (book),314. Connective extension (apical) (D1): (0) absent,NA,NA,NA,NA,Julien Massoni,08-Jul-13,NA,NA
207016,Drosophyllum lusitanicum,Drosophyllaceae,Caryophyllales,311. Anther orientation (D1),Kubitzki 2010 (book),311. Anther orientation (D1): (2) extrorse,NA,NA,NA,NA,Maria von Balthazar,16-Jan-18,NA,NA
118526,Drosophyllum lusitanicum,Drosophyllaceae,Caryophyllales,404. Style differentiation (D1),Anthos 2013 (website),"404. Style differentiation (D1): (4) present, long and wide",NA,NA,NA,NA,Julien Massoni,03-Jul-13,NA,NA
26284,Drosophyllum lusitanicum,Drosophyllaceae,Caryophyllales,5002. Aperture shape (D1),Erdtman 1986 (book),5002. Aperture shape (D1): (1) pore,NA,NA,NA,NA,Charlotte Prieu,16-Apr-12,NA,NA
127998,Halophytum ameghinoi,Halophytaceae,Caryophyllales,400. Gynoecium phyllotaxy (D1),Angiosperm Phylogeny Website 2013 (website),400. Gynoecium phyllotaxy (D1): (1) two or more whorls,NA,NA,NA,NA,Erica Barroso,09-Jul-13,NA,NA
128270,Halophytum ameghinoi,Halophytaceae,Caryophyllales,404. Style differentiation (D1),Angiosperm Phylogeny Website 2013 (website),404. Style differentiation (D1): (1) present (length and shape unknown),NA,NA,NA,NA,Erica Barroso,12-Jul-13,NA,NA
128262,Halophytum ameghinoi,Halophytaceae,Caryophyllales,312. Anther attachment (D1),Pozner & Cocucci 2006 (IJPS),312. Anther attachment (D1): (2) dorsifixed at base,NA,NA,NA,"""Anthers are versatile, with the filament inserted in their upper one-fourth to one-fifth""",Erica Barroso,12-Jul-13,Erica Barroso,12-Jul-13
128264,Halophytum ameghinoi,Halophytaceae,Caryophyllales,313. Anther dehiscence (D1),Angiosperm Phylogeny Website 2013 (website),313. Anther dehiscence (D1): (1) poricidal,NA,NA,NA,NA,Erica Barroso,12-Jul-13,NA,NA
37162,Simmondsia chinensis,Simmondsiaceae,Caryophyllales,5002. Aperture shape (D1),Erdtman 1986 (book),5002. Aperture shape (D1): (0) sulcus,NA,NA,NA,NA,Charlotte Prieu,29-Oct-12,NA,NA
186168,Aphloia theiformis,Aphloiaceae,Crossosomatales,412. Placentation (D1),Matthews & Endress 2005 (BJLS),412. Placentation (D1): (4) marginal,NA,NA,NA,NA,Maria von Balthazar,16-Sep-15,NA,NA
148454,Geissoloma marginatum,Geissolomataceae,Crossosomatales,234. Perianth differentiation (D1),Matthews & Endress 2005 (BJLS),234. Perianth differentiation (D1): (8) weak differentiation,NA,NA,NA,outer broader,Elisabeth Reyes,29-Apr-14,Elisabeth Reyes,20-Oct-14
148465,Ixerba brexioides,Strasburgeriaceae,Crossosomatales,102. Ovary position (D1),Matthews & Endress 2005 (BJLS),102. Ovary position (D1): (5) 1/4-inferior or less,NA,NA,NA,NA,Elisabeth Reyes,29-Apr-14,NA,NA
148464,Ixerba brexioides,Strasburgeriaceae,Crossosomatales,314. Connective extension (apical) (D1),Matthews & Endress 2005 (BJLS),314. Connective extension (apical) (D1): (4) present (general),NA,NA,NA,NA,Elisabeth Reyes,29-Apr-14,NA,NA
153570,Eucommia ulmoides,Eucommiaceae,Garryales,305. Filament (D1),Flora of China 2014 (website),305. Filament (D1): (3) short and narrow,NA,NA,NA,NA,Elisabeth Reyes,23-Jun-14,NA,NA
142584,Dipentodon sinicus,Dipentodontaceae,Huerteales,412. Placentation (D1),Watson & Dallwitz 2013 (website),412. Placentation (D1): (5) free-central,NA,NA,NA,NA,Elisabeth Reyes,19-Feb-14,NA,NA
119769,Plocosperma buxifolium,Plocospermataceae,Lamiales,207. Symmetry of perianth (D1),Struwe & Jensen 2004 (Kubitzki),207. Symmetry of perianth (D1): (2) zygomorphic,NA,NA,NA,NA,Erica Barroso,04-Jul-13,Hervé Sauquet,18-Aug-14
118862,Plocosperma buxifolium,Plocospermataceae,Lamiales,412. Placentation (D1),Struwe & Jensen 2004 (Kubitzki),412. Placentation (D1): (3) parietal,NA,NA,NA,described as basal-parietal or subapical-parietal,Erica Barroso,03-Jul-13,Erica Barroso,04-Jul-13
45322,Gomortega keule,Gomortegaceae,Laurales,102. Ovary position (D1),Heo et al 2004 (JPlRes),102. Ovary position (D1): (1) inferior,NA,NA,NA,NA,Julien Massoni,13-Feb-13,NA,NA
45313,Gomortega keule,Gomortegaceae,Laurales,313. Anther dehiscence (D1),Heo et al 2004 (JPlRes),313. Anther dehiscence (D1): (3) flap-valvate,NA,NA,NA,NA,Julien Massoni,13-Feb-13,Julien Massoni,23-Oct-14
151338,Gomortega keule,Gomortegaceae,Laurales,5002. Aperture shape (D1),Erdtman 1986 (book),5002. Aperture shape (D1): (6) absent,NA,NA,NA,NA,Béatrice Albert,27-May-14,NA,NA
174657,Gomortega keule,Gomortegaceae,Laurales,234. Perianth differentiation (D1),Watson & Dallwitz 2014 (website),234. Perianth differentiation (D1): (7) continuous differentiation among sepaloid tepals,NA,NA,NA,NA,Elisabeth Reyes,23-Oct-14,NA,NA
119283,Medusagyne oppositifolia,Ochnaceae,Malpighiales,404. Style differentiation (D1),Matthews et al 2012 (BJLS),"404. Style differentiation (D1): (5) present, long and narrow",NA,NA,NA,NA,Mario Coiro,03-Jul-13,NA,NA
119173,Medusagyne oppositifolia,Ochnaceae,Malpighiales,330. Androecium structural phyllotaxy (D1),Matthews et al 2012 (BJLS),330. Androecium structural phyllotaxy (D1): (2) irregular,NA,NA,NA,NA,Mario Coiro,03-Jul-13,NA,NA
20932,Hydrastis canadensis,Ranunculaceae,Ranunculales,404. Style differentiation (D1),Flora of North America 2012 (website),"404. Style differentiation (D1): (3) present, short and narrow",NA,NA,NA,NA,Laetitia Carrive,25-Jan-12,Hervé Sauquet,30-Aug-14
84713,Hedera helix,Araliaceae,Apiales,207. Symmetry of perianth (D1),Flora of China 2013 (website),207. Symmetry of perianth (D1): (5) actinomorphic (general),NA,NA,NA,NA,Florian Jabbour,27-Mar-13,NA,NA
82748,Juncus effusus,Juncaceae,Poales,234. Perianth differentiation (D1),Flora of China 2013 (website),234. Perianth differentiation (D1): (9) very weak differentiation,NA,NA,NA,NA,Thomas Haevermans,26-Mar-13,NA,NA
37998,Lactoris fernandeziana,Aristolochiaceae,Piperales,305. Filament (D1),Lammers et al 1986 (PlantSystEvol),305. Filament (D1): (1) present (general),NA,NA,NA,NA,Julien Massoni,29-Nov-12,NA,NA
180473,Lactoris fernandeziana,Aristolochiaceae,Piperales,314. Connective extension (apical) (D1),Bernardello et al 1999 (AmJBot),314. Connective extension (apical) (D1): (2) long extension,NA,NA,NA,NA,Maria von Balthazar,06-May-15,NA,NA
177098,Hypericum perforatum,Hypericaceae,Malpighiales,207. Symmetry of perianth (D1),Encyclopedia of Life 2014 (website),207. Symmetry of perianth (D1): (6) actinomorphic rotational,NA,NA,NA,http://media.eol.org/content/2010/03/24/03/37442_orig.jpg,Elisabeth Reyes,24-Nov-14,NA,NA
2676,Idiospermum australiense,Calycanthaceae,Laurales,305. Filament (D1),Staedler et al 2007 (IJPS),305. Filament (D1): (0) absent,NA,NA,NA,NA,Hervé Sauquet,05-May-11,NA,NA
41447,Idiospermum australiense,Calycanthaceae,Laurales,234. Perianth differentiation (D1),Staedler et al 2007 (IJPS),234. Perianth differentiation (D1): (2) marked differentiation among petaloid tepals,NA,NA,NA,NA,Hervé Sauquet,28-Jan-13,NA,NA
18679,Akebia quinata,Lardizabalaceae,Ranunculales,412. Placentation (D1),Flora of China 2012 (website),412. Placentation (D1): (6) laminar,NA,NA,NA,Female flowers.,Laetitia Carrive,02-Jan-12,NA,NA
125992,Centranthus ruber,Caprifoliaceae,Dipsacales,207. Symmetry of perianth (D1),Anthos 2013 (website),207. Symmetry of perianth (D1): (4) asymmetric,NA,NA,NA,NA,Patrícia dos Santos,09-Jul-13,NA,NA
83040,Olea europaea,Oleaceae,Lamiales,305. Filament (D1),Flora of China 2013 (website),305. Filament (D1): (B) short (general),NA,NA,NA,NA,Charlotte Prieu,26-Mar-13,NA,NA
167,Adoxa moschatellina,Adoxaceae,Dipsacales,305. Filament (D1),Flora of Pakistan 2010 (website),"305. Filament (D1): (A) long and narrow, deeply divided in two",NA,NA,NA,NA,Hervé Sauquet,26-Jul-10,NA,NA
205980,Adoxa moschatellina,Adoxaceae,Dipsacales,311. Anther orientation (D1),Roels & Smets 1994 (BelgJournBot),311. Anther orientation (D1): (3) apical,NA,NA,NA,NA,Maria von Balthazar,16-May-17,NA,NA
154,Adoxa moschatellina,Adoxaceae,Dipsacales,102. Ovary position (D1),Flora of Pakistan 2010 (website),102. Ovary position (D1): (2) half-inferior,NA,NA,NA,NA,Hervé Sauquet,26-Jul-10,NA,NA
156554,Actinidia chinensis,Actinidiaceae,Ericales,312. Anther attachment (D1),Caris 2013 (book),312. Anther attachment (D1): (3) ventrifixed,NA,NA,NA,NA,Stefan Löfstrand,15-Jul-14,NA,NA
82506,Nerium oleander,Apocynaceae,Gentianales,314. Connective extension (apical) (D1),Herrera 1991 (BJLS),314. Connective extension (apical) (D1): (3) very long extension,NA,NA,NA,NA,Charlotte Prieu,26-Mar-13,Maria von Balthazar,28-Jun-16
2908,Canna indica,Cannaceae,Zingiberales,305. Filament (D1),Flora of North America 2011 (website),305. Filament (D1): (7) petaloid,NA,NA,NA,NA,Hervé Sauquet,20-Jun-11,NA,NA
2912,Canna indica,Cannaceae,Zingiberales,404. Style differentiation (D1),Flora of North America 2011 (website),"404. Style differentiation (D1): (6) present, petaloid",NA,NA,NA,NA,Hervé Sauquet,20-Jun-11,NA,NA
155521,Clethra alnifolia,Clethraceae,Ericales,313. Anther dehiscence (D1),Kavaljian 1952 (BotGaz),313. Anther dehiscence (D1): (5) short basal slits,NA,NA,NA,"note that this applies to the morphological position of the anther, due to inversion at anthesis!",Stefan Löfstrand,11-Jul-14,Stefan Löfstrand,14-Jul-14
207051,Ricinus communis,Euphorbiaceae,Malpighiales,305. Filament (D1),Euphorbiaceae of Malesia 2018 (website),305. Filament (D1): (9) fused into fascicle stalks,NA,NA,NA,NA,Maria von Balthazar,18-Jan-18,NA,NA
186296,Cicer arietinum,Fabaceae,Fabales,305. Filament (D1),Taubert 1891 (book),305. Filament (D1): (8) fused into synandrium,NA,NA,NA,one free stamen,Maria von Balthazar,21-Sep-15,Maria von Balthazar,21-Sep-15
209758,Hamamelis virginiana,Hamamelidaceae,Saxifragales,404. Style differentiation (D1),Shoemaker 1905 (BotGaz),404. Style differentiation (D1): (7) continuous (apical extension of carpel with decurrent stigma),NA,NA,NA,NA,Maria von Balthazar,06-Feb-18,NA,NA
114041,Platanus occidentalis,Platanaceae,Proteales,313. Anther dehiscence (D1),Niedenzu 1910 (EnglerPrantl),313. Anther dehiscence (D1): (A) T-valvate (T-shaped stomium),NA,NA,NA,NA,Maria von Balthazar,02-May-13,Maria von Balthazar,02-May-13
82327,Cobaea scandens,Polemoniaceae,Ericales,400. Gynoecium phyllotaxy (D1),Schönenberger 2009 (IJPS),400_A. Gynoecium phyllotaxy (D2d): (0) whorled,NA,NA,NA,NA,Jürg Schönenberger,25-Mar-13,Jürg Schönenberger,29-Mar-19
80226,Saururus cernuus,Saururaceae,Piperales,5002. Aperture shape (D1),Zohreh 2010-2013 (personal observation),5002. Aperture shape (D1): (3) ring like,NA,NA,NA,NA,Zohreh Toghranegar,14-Mar-13,NA,NA
174446,Austrobaileya scandens,Austrobaileyaceae,Austrobaileyales,234. Perianth differentiation (D1),Watson & Dallwitz 2014 (website),"234. Perianth differentiation (D1): (5) continuous differentiation, outer sepaloid, inner petaloid",NA,NA,NA,NA,Elisabeth Reyes,21-Oct-14,NA,NA
188293,Bixa orellana,Bixaceae,Malvales,313. Anther dehiscence (D1),Venkatesh 1956 (AmMidNat),313. Anther dehiscence (D1): (6) short central slits,NA,NA,NA,NA,Maria von Balthazar,03-Nov-15,NA,NA
180751,Cananga odorata,Annonaceae,Magnoliales,313. Anther dehiscence (D1),Endress & Hufford 1989 (BJLS),313. Anther dehiscence (D1): (2) H-valvate,NA,NA,NA,hybrid situation: distal but no proximal bifurcation in this species; assumed to be homologous to H-valvate more than longitudinal,Hervé Sauquet,02-Jun-15,NA,NA
180740,Cananga odorata,Annonaceae,Magnoliales,234. Perianth differentiation (D1),Hervé Sauquet 2013 (personal observation),234. Perianth differentiation (D1): (3) marked differentiation among sepaloid tepals,NA,NA,NA,"personal observations on cultivated specimen in Yaoundé, Cameroon (see photographs)",Hervé Sauquet,02-Jun-15,NA,NA
80898,Peumus boldus,Monimiaceae,Laurales,234. Perianth differentiation (D1),Yannick Staedler 2013 (personal observation),234. Perianth differentiation (D1): (6) continuous differentiation among petaloid tepals,NA,NA,NA,NA,Yannick Städler,19-Mar-13,NA,NA
20879,Cocculus orbiculatus,Menispermaceae,Ranunculales,313. Anther dehiscence (D1),Flora of China 2012 (website),313. Anther dehiscence (D1): (4) transverse (horizontal) slit,NA,NA,NA,NA,Laetitia Carrive,24-Jan-12,NA,NA
205487,Cupaniopsis anacardioides,Sapindaceae,Sapindales,5002. Aperture shape (D1),Australasian Pollen and spore atlas 2017 (website),5002. Aperture shape (D1): (7) syncolpus,NA,NA,NA,NA,Béatrice Albert,14-Mar-17,NA,NA
165671,Misodendrum linearifolium,Misodendraceae,Santalales,313. Anther dehiscence (D1),Parasitic Plant Connection 2014 (website),313. Anther dehiscence (D1): (7) short apical slits,NA,NA,NA,NA,Charlotte Prieu,20-Aug-14,NA,NA
206415,Triphyophyllum peltatum,Dioncophyllaceae,Caryophyllales,5002. Aperture shape (D1),Porembski & Barthlott 2003 (Kubitzki),5002. Aperture shape (D1): (5) colpus,NA,NA,NA,NA,Maria von Balthazar,27-Jun-17,NA,NA
85868,Galax urceolata,Diapensiaceae,Ericales,313. Anther dehiscence (D1),Rönblom & Anderberg 2002 (SystBot),313. Anther dehiscence (D1): (B) common stomium of confluent thecae,NA,NA,NA,see fig. 1B; see also Palser 1963,Jürg Schönenberger,04-Apr-13,NA,NA
125884,Nuphar advena,Nymphaeaceae,Nymphaeales,230. Perianth phyllotaxy (D1),Endress 2001b (IJPS),230. Perianth phyllotaxy (D1): (2) irregular,NA,NA,NA,"inner tepals (""petals"")
Peter Endress, pers. comm. (4 May 2015): ""Phyllotaxis of the inner tepals and stamens is (somewhat irregularly) whorled. You can see that there are orthostichies but they are not always complete and not always exactly radial.""",Hervé Sauquet,08-Jul-13,Hervé Sauquet,12-May-15
84821,Altingia excelsa,Altingiaceae,Saxifragales,102. Ovary position (D1),Vink 1958 (FloraMalesiana),102. Ovary position (D1): (3) 3/4-inferior or more,NA,NA,NA,NA,Georg Tschan,27-Mar-13,NA,NA
124692,Pangium edule,Achariaceae,Malpighiales,305. Filament (D1),Warburg 1894 (EnglerPrantl),305. Filament (D1): (6) long and very wide,NA,NA,NA,NA,Maria von Balthazar,08-Jul-13,Maria von Balthazar,06-Jul-16
205586,Thunbergia alata,Acanthaceae,Lamiales,5002. Aperture shape (D1),paldat 2017 (database),5002. Aperture shape (D1): (8) spiraperturate,NA,NA,NA,NA,Béatrice Albert,28-Mar-17,NA,NA
