Site,Species,Latitude,Longitude,Reference.s.,Asat_area_micromol.m2.s,gsw_mmol.m2.s,CiCa,Vcmax25_micromol.m2.s,LMA_g.m2,LeafN_area_g.m2,LeafP_area_g.m2,PNUE,PPUE,MAP,MAT,MI,Radiation,AET,PET,GDD0,Isothermality,Max.Temp,Min.Temp,Temp.Seasonality,VPD,Soil.Phosphorus,Soil.Nitrogen,pH,X.Clay,X.Sand,X.Silt,ECE,BDW,SOC,source_id,collection_date
Alice Mulga,Acacia melleodora,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology",NA,231.6578031,0.639372821,107.475,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Nolan_2017_1; Nolan_2017_2,2017
Alice Mulga,Acacia murayana,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology",NA,144.5053726,0.537947446,115.425,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Nolan_2017_1; Nolan_2017_2,2017
Alice Mulga,Corymbia opaca,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology",NA,145.2385824,0.049549469,113.25,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Nolan_2017_1; Nolan_2017_2,2017
Alice Mulga,Corymbia terminalis,-22.35,133.33,Bloomfield et al. 2018 Functional Ecology,2.425,18.56,0.509,37.47834415,279.431,2.8008,0.5879,0.86582405,4.124851165,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018,2018
Alice Mulga,Eremophila latrobei,-22.35,133.33,Bloomfield et al. 2018 Functional Ecology,1.973,45.84,0.769,8.206109457,158.743,3.8709,0.13754,0.509700586,14.34491784,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018,2018
Alice Mulga,Eucalyptus camaldulensis,-22.35,133.33,Bloomfield et al. 2018 Functional Ecology,5.826,41,0.368,49.59737822,255.343,2.8126,0.15724,2.071393017,37.0516408,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018,2018
Alice Mulga,Eucalyptus camaldulensis var. obtusa,-22.35,133.33,Bloomfield et al. 2018 Functional Ecology,NA,223.0816476,0.584872968,86.475,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018,2018
Alice Mulga,Hakea leucoptera,-22.35,133.33,Bloomfield et al. 2018 Functional Ecology,5.218333333,47.7,0.513333333,31.98813242,408.5666667,7.215833333,0.14,0.723178196,37.27380952,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018,2018
Alice Mulga,Hakea macrocarpa,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology",NA,151.0265932,0.508392245,114.125,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Nolan_2017_1; Nolan_2017_2,2017
Alice Mulga,Psydrax latifolia,-22.35,133.33,Bloomfield et al. 2018 Functional Ecology,NA,2,0.806,0.36701428,244.985,4.443,0.140316667,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018,2018
Atherton,Acacia celsa,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",12.445,202.85,0.67,55.23170454,119.9428638,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Acronychia acidula,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",6.781666667,80.45,0.593333333,33.21906475,90.88190478,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Aleurites rockinghamensis,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",11.55,145.4333333,0.58,57.77943458,147.2036554,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Alphitonia petriei,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",13.885,165.7,0.555,70.90121935,109.053231,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Gillbeea adenopetala,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",6.34,119.4,0.74,25.19946525,131.2852829,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Litsea leefeana,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",10.77,157.3,0.66,46.70491359,137.5210285,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Myrsine porosa,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",8.67,78.65,0.445,57.2497315,129.1838305,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Neolitsea dealbata,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",7.646666667,92.7,0.593333333,38.58443337,112.9627055,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Atherton,Polyscias australiana,-17.26,145.46,"Gray, Wright et al 2019 AoB PLANTS",8.135,107.325,0.5775,40.84147732,96.20869674,NA,NA,NA,NA,1305.621322,20.12729313,0.873889072,17.68323824,979.2111367,1494.035528,248.746178,52.05261423,25.53776695,15.60792805,46.1194299,0.421501012,709.4583333,4005.833333,5.346666667,0.321031392,56.79015986,19.26117706,4.626368682,1.28760159,2.243067503,Gray_2019,2019
Bago,Coprosma hirtella,-35.66,148.15,Kietel Australia,17.44,310,0.690555556,83.65089866,NA,NA,NA,NA,NA,1510.568308,9.248799047,1.428190639,16.41720975,863.6186442,1057.679743,110.4263039,41.98074288,14.60491575,3.777971705,84.36387976,0.297691028,504.8675835,2125.751227,4.256211758,0.451201916,46.27327601,22.1954085,8.160529455,0.971686363,6.392282963,Keitel_unpub,2023
Bago,Daviesia latifolia,-35.66,148.15,Kietel Australia,17.66,472,0.789444444,75.44189533,NA,NA,NA,NA,NA,1510.568308,9.248799047,1.428190639,16.41720975,863.6186442,1057.679743,110.4263039,41.98074288,14.60491575,3.777971705,84.36387976,0.297691028,504.8675835,2125.751227,4.256211758,0.451201916,46.27327601,22.1954085,8.160529455,0.971686363,6.392282963,Keitel_unpub,2023
Bago,Eucalyptus delegatensis,-35.66,148.15,Kietel Australia,18.79333333,334.3333333,0.644444444,96.07814024,206.204438,NA,NA,NA,NA,1510.568308,9.248799047,1.428190639,16.41720975,863.6186442,1057.679743,110.4263039,41.98074288,14.60491575,3.777971705,84.36387976,0.297691028,504.8675835,2125.751227,4.256211758,0.451201916,46.27327601,22.1954085,8.160529455,0.971686363,6.392282963,Keitel_unpub,2023
Bago,Tasmannia lanceolata,-35.66,148.15,Kietel Australia,13.42,113,0.404166667,111.2014155,NA,NA,NA,NA,NA,1510.568308,9.248799047,1.428190639,16.41720975,863.6186442,1057.679743,110.4263039,41.98074288,14.60491575,3.777971705,84.36387976,0.297691028,504.8675835,2125.751227,4.256211758,0.451201916,46.27327601,22.1954085,8.160529455,0.971686363,6.392282963,Keitel_unpub,2023
Berrimah,Eucalyptus miniata,-12.42,130.92,"Eamus, D., Prichard, H. 1998. A cost-benefit alysis of leaves of four Australian savan species. Tree Physiol. 18: 537-545. [416]",16.13,1670,0.956944444,53.04886375,135.0803728,1.16,NA,13.90517241,NA,1787.638156,27.35284049,0.912231489,20.86640555,1143.699105,1959.632153,327.2132418,60.89577324,32.43941355,22.06969651,34.24174083,1.172221978,152.1767707,733.7707902,4.941539288,0.254596561,67.2226003,7.27985541,2.427206993,1.415928602,1.407806039,Eamus_1998,1998
Berrimah,Eucalyptus tetrodonta,-12.42,130.92,"Eamus, D., Prichard, H. 1998. A cost-benefit alysis of leaves of four Australian savan species. Tree Physiol. 18: 537-545. [416]",16.41,1080,0.9325,55.24814744,157.5299307,1.07,NA,15.3364486,NA,1787.638156,27.35284049,0.912231489,20.86640555,1143.699105,1959.632153,327.2132418,60.89577324,32.43941355,22.06969651,34.24174083,1.172221978,152.1767707,733.7707902,4.941539288,0.254596561,67.2226003,7.27985541,2.427206993,1.415928602,1.407806039,Eamus_1998,1998
Berrimah,Planchonia careya,-12.42,130.92,"Eamus, D., Prichard, H. 1998. A cost-benefit alysis of leaves of four Australian savan species. Tree Physiol. 18: 537-545. [416]",14,620,0.899722222,48.70668999,110.5827712,1.33,NA,10.52631579,NA,1787.638156,27.35284049,0.912231489,20.86640555,1143.699105,1959.632153,327.2132418,60.89577324,32.43941355,22.06969651,34.24174083,1.172221978,152.1767707,733.7707902,4.941539288,0.254596561,67.2226003,7.27985541,2.427206993,1.415928602,1.407806039,Eamus_1998,1998
Berrimah,Syzygium suborbiculare,-12.42,130.92,"Eamus, D., Prichard, H. 1998. A cost-benefit alysis of leaves of four Australian savan species. Tree Physiol. 18: 537-545. [416]",10.5,890,0.9475,34.84292412,114.6263182,1.36,NA,7.720588235,NA,1787.638156,27.35284049,0.912231489,20.86640555,1143.699105,1959.632153,327.2132418,60.89577324,32.43941355,22.06969651,34.24174083,1.172221978,152.1767707,733.7707902,4.941539288,0.254596561,67.2226003,7.27985541,2.427206993,1.415928602,1.407806039,Eamus_1998,1998
Berrimah,Terminalia ferdinandiana,-12.42,130.92,"Eamus, D., Prichard, H. 1998. A cost-benefit alysis of leaves of four Australian savan species. Tree Physiol. 18: 537-545. [416]",15.56,750,0.907777778,53.6907175,93.50163628,1.48,NA,10.51351351,NA,1787.638156,27.35284049,0.912231489,20.86640555,1143.699105,1959.632153,327.2132418,60.89577324,32.43941355,22.06969651,34.24174083,1.172221978,152.1767707,733.7707902,4.941539288,0.254596561,67.2226003,7.27985541,2.427206993,1.415928602,1.407806039,Eamus_1998,1998
Blackbutt,Acacia merallii,-30.2,120.63,TERN: http://supersites.tern.org.au/knb/metacat/supersite.302.3/html,10.72060838,107.695572,0.564235143,89.59962581,683.2266325,8.607891599,0.231825501,1.24543952,46.24430159,311.199264,19.00839406,0.192254052,20.0171075,428.9929553,1618.687671,227.9277147,45.22095508,25.76513038,12.16590207,91.35630972,1.20720776,145.5902308,348.9381634,5.665394465,0.1925776,76.30885315,5.367576917,7.471955776,1.49514238,0.882435064,Togashi_2015,2015
Blackbutt,Eucalyptus clelandii,-30.2,120.63,TERN: http://supersites.tern.org.au/knb/metacat/supersite.302.3/html,9.501148608,91.96394092,0.533621506,68.57293059,339.201072,4.200305062,0.167227225,2.262013941,56.81580026,311.199264,19.00839406,0.192254052,20.0171075,428.9929553,1618.687671,227.9277147,45.22095508,25.76513038,12.16590207,91.35630972,1.20720776,145.5902308,348.9381634,5.665394465,0.1925776,76.30885315,5.367576917,7.471955776,1.49514238,0.882435064,Togashi_2015,2015
Blackbutt,Exocarpos aphyllus,-30.2,120.63,TERN: http://supersites.tern.org.au/knb/metacat/supersite.302.3/html,9.328297544,114.353971,0.642298292,66.17513973,777.9174147,9.525163055,1.002009502,0.979332059,9.309589908,311.199264,19.00839406,0.192254052,20.0171075,428.9929553,1618.687671,227.9277147,45.22095508,25.76513038,12.16590207,91.35630972,1.20720776,145.5902308,348.9381634,5.665394465,0.1925776,76.30885315,5.367576917,7.471955776,1.49514238,0.882435064,Togashi_2015,2015
Blackbutt,Olearia muelleri,-30.2,120.63,TERN: http://supersites.tern.org.au/knb/metacat/supersite.302.3/html,11.90997522,124.727288,0.5785194,83.51176736,247.4777448,5.17736377,0.182612325,2.300393742,65.21999655,311.199264,19.00839406,0.192254052,20.0171075,428.9929553,1618.687671,227.9277147,45.22095508,25.76513038,12.16590207,91.35630972,1.20720776,145.5902308,348.9381634,5.665394465,0.1925776,76.30885315,5.367576917,7.471955776,1.49514238,0.882435064,Togashi_2015,2015
Blackbutt,Senna pleurocarpa,-30.2,120.63,TERN: http://supersites.tern.org.au/knb/metacat/supersite.302.3/html,8.807071646,72.990307,0.483418322,83.3841161,123.364486,2.608448243,0.089239271,3.376364346,98.69053751,311.199264,19.00839406,0.192254052,20.0171075,428.9929553,1618.687671,227.9277147,45.22095508,25.76513038,12.16590207,91.35630972,1.20720776,145.5902308,348.9381634,5.665394465,0.1925776,76.30885315,5.367576917,7.471955776,1.49514238,0.882435064,Togashi_2015,2015
Blue Mountains,Acacia rubida,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",7.524,139.18,0.68970812,36.543346,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Dianella caerulea,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",6.198,78.5,0.59951168,34.419456,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Eucalyptus sieberi,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",17.78,343.4,0.6546996,89.0733,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Grevillea laurifolia,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",13.36,328.6,0.73136516,62.318974,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Hakea dactyloides,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",15.2,171.02,0.506017,99.138194,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Leptospermum polygalifolium,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",4.614,36.34,0.3912282,41.720858,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Mirbelia platylaboides,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",3.634,73.22,0.73692622,17.1720878,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Olearia asterotricha,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",3.79,53.16,0.64277866,20.221496,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Persoonia myrtilloides,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",4.966,44.94,0.36792658,46.589245,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
Blue Mountains,Pittosporum undulatum,-33.63,150.28,"Leishman, M. R., Thomson, V. P., & Cooke, J. (2010). Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology, 98(1), 28-42.",7.436,56.18,0.34310574,145.448376,NA,NA,NA,NA,NA,1165.818643,11.96973145,1.02159332,16.61831268,940.8542084,1141.176846,144.0293647,41.90342097,16.64027629,7.371030024,72.54482806,0.343525357,324.047332,1866.79254,4.173676491,0.415519178,56.35417684,16.79121971,8.471030235,1.094932596,3.953613202,Leishman_2010,2010
