Date,Run,Species,Filter Paper,Assay type,Ramp rate (˚C/h),Combination,Fv/Fm,Tcrit (˚C)-hot,Tcrit (˚C)-cold,experiment,location name,latitude (deg),longitude (deg)
20190211,1,Wahlenbergia ceracea,Dry,Hot,60,,0.7,40.44,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190211,1,Wahlenbergia ceracea,Dry,Hot,60,,0.801,41.18,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190211,1,Wahlenbergia ceracea,Dry,Hot,60,,0.779,40.88,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190312,2,Quercus phellos,Dry,Hot,60,,0.768,50.48,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190312,2,Quercus phellos,Dry,Hot,60,,0.777,50.61,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190312,2,Quercus phellos,Dry,Hot,60,,0.778,49.94,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190312,2,Quercus phellos,Dry,Hot,60,,0.8,48.93,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190312,2,Melaleuca citrina,Dry,Hot,60,,0.751,50.51,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190312,2,Melaleuca citrina,Dry,Hot,60,,0.794,47.27,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190312,2,Melaleuca citrina,Dry,Hot,60,,0.817,47.6,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190312,2,Melaleuca citrina,Dry,Hot,60,,0.792,47.55,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190312,2,Wahlenbergia ceracea,Dry,Hot,60,,0.777,42.7,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190312,2,Wahlenbergia ceracea,Dry,Hot,60,,0.797,45.67,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190312,2,Wahlenbergia ceracea,Dry,Hot,60,,0.756,42.44,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190312,2,Wahlenbergia ceracea,Dry,Hot,60,,0.812,43.41,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190320,1,Quercus phellos,Wet,Hot,60,,0.805,49.12,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190320,1,Quercus phellos,Wet,Hot,60,,0.803,49.26,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190320,1,Quercus phellos,Wet,Hot,60,,0.806,50.61,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190320,1,Quercus phellos,Wet,Hot,60,,0.807,45.38,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190320,1,Quercus phellos,Wet,Hot,60,,0.814,46.43,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190320,1,Melaleuca citrina,Wet,Hot,60,,0.791,47.54,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190320,1,Melaleuca citrina,Wet,Hot,60,,0.779,46.74,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190320,1,Melaleuca citrina,Wet,Hot,60,,0.809,48.47,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190320,1,Melaleuca citrina,Wet,Hot,60,,0.819,46.4,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190320,1,Melaleuca citrina,Wet,Hot,60,,0.814,46.4,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190320,1,Wahlenbergia ceracea,Wet,Hot,60,,0.812,45.9,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190320,1,Wahlenbergia ceracea,Wet,Hot,60,,0.807,46.81,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190320,1,Wahlenbergia ceracea,Wet,Hot,60,,0.818,43.52,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190320,1,Wahlenbergia ceracea,Wet,Hot,60,,0.815,43.53,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190320,1,Wahlenbergia ceracea,Wet,Hot,60,,0.819,44.92,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190322,1,Quercus phellos,Wet,Hot,60,,0.796,49.72,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190322,1,Quercus phellos,Wet,Hot,60,,0.795,48.38,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190322,1,Quercus phellos,Wet,Hot,60,,0.801,49.37,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190322,1,Quercus phellos,Wet,Hot,60,,0.817,49.36,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190322,1,Quercus phellos,Wet,Hot,60,,0.818,50.03,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190322,1,Melaleuca citrina,Wet,Hot,60,,0.798,45.69,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190322,1,Melaleuca citrina,Wet,Hot,60,,0.816,47.74,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190322,1,Melaleuca citrina,Wet,Hot,60,,0.812,47.21,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190322,1,Melaleuca citrina,Wet,Hot,60,,0.827,47.43,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190322,1,Melaleuca citrina,Wet,Hot,60,,0.82,48.25,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190322,1,Wahlenbergia ceracea,Wet,Hot,60,,0.78,36.27,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190322,1,Wahlenbergia ceracea,Wet,Hot,60,,0.771,37.97,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190322,1,Wahlenbergia ceracea,Wet,Hot,60,,0.774,37.56,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190322,1,Wahlenbergia ceracea,Wet,Hot,60,,0.796,38.2,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190322,1,Wahlenbergia ceracea,Wet,Hot,60,,0.794,39.08,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190326,1,Quercus phellos,Wet,Hot,60,,0.685,49.41,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190326,1,Quercus phellos,Wet,Hot,60,,0.671,48.92,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190326,1,Quercus phellos,Wet,Hot,60,,0.751,48.6,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190326,1,Quercus phellos,Wet,Hot,60,,0.783,44.83,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190326,1,Melaleuca citrina,Wet,Hot,60,,0.729,45.83,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190326,1,Melaleuca citrina,Wet,Hot,60,,0.796,48.18,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190326,1,Melaleuca citrina,Wet,Hot,60,,0.791,47.68,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190326,1,Melaleuca citrina,Wet,Hot,60,,0.811,47.89,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190326,1,Melaleuca citrina,Wet,Hot,60,,0.804,46.09,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190326,1,Wahlenbergia ceracea,Wet,Hot,60,,0.739,42.86,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190326,1,Wahlenbergia ceracea,Wet,Hot,60,,0.766,45.58,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190326,1,Wahlenbergia ceracea,Wet,Hot,60,,0.766,38.9,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190326,1,Wahlenbergia ceracea,Wet,Hot,60,,0.769,43.84,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190326,1,Wahlenbergia ceracea,Wet,Hot,60,,0.762,39.1,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.754,-15.73,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.681,-15.71,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.754,-11.74,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.652,-18.33,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.782,-18.88,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Escallonia rubra,Dry,Cold,60,,0.772,,-14.24,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.756,,-13.78,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.767,,-12.65,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.761,,-13.08,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.762,,-12.72,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Wahlenbergia ceracea,Dry,Cold,60,,0.822,,-13.75,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,1,Wahlenbergia ceracea,Dry,Cold,60,,0.823,,-12.04,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,1,Wahlenbergia ceracea,Dry,Cold,60,,0.833,,-14.45,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,1,Wahlenbergia ceracea,Dry,Cold,60,,0.834,,-7.7,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,1,Wahlenbergia ceracea,Dry,Cold,60,,0.82,,-16.66,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,2,Melaleuca citrina,Wet,Cold,60,,0.759,,-13.04,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,2,Melaleuca citrina,Wet,Cold,60,,0.77,,-14.31,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,2,Melaleuca citrina,Wet,Cold,60,,0.784,,-13.14,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,2,Melaleuca citrina,Wet,Cold,60,,0.73,,-15.38,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,2,Melaleuca citrina,Wet,Cold,60,,0.76,,-12.7,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190708,2,Escallonia rubra,Wet,Cold,60,,0.713,,-8.35,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,2,Escallonia rubra,Wet,Cold,60,,0.772,,-7.69,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,2,Escallonia rubra,Wet,Cold,60,,0.753,,-9.06,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,2,Escallonia rubra,Wet,Cold,60,,0.771,,-14.25,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,2,Escallonia rubra,Wet,Cold,60,,0.774,,-9.54,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190708,2,Wahlenbergia ceracea,Wet,Cold,60,,0.834,,-4.3,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,2,Wahlenbergia ceracea,Wet,Cold,60,,0.83,,-5.68,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,2,Wahlenbergia ceracea,Wet,Cold,60,,0.831,,-4.28,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,2,Wahlenbergia ceracea,Wet,Cold,60,,0.821,,-12.76,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,2,Wahlenbergia ceracea,Wet,Cold,60,,0.827,,-6.78,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Melaleuca citrina,Dry,Cold,60,,0.797,,-16.98,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,1,Melaleuca citrina,Dry,Cold,60,,0.761,,-17.53,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,1,Melaleuca citrina,Dry,Cold,60,,0.75,,-17.1,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,1,Melaleuca citrina,Dry,Cold,60,,0.796,,-18.17,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,1,Escallonia rubra,Dry,Cold,60,,0.668,,-14.87,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,1,Escallonia rubra,Dry,Cold,60,,0.709,,-15.19,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,1,Escallonia rubra,Dry,Cold,60,,0.725,,-13.81,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,1,Escallonia rubra,Dry,Cold,60,,0.697,,-14.86,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,1,Escallonia rubra,Dry,Cold,60,,0.74,,-15.1,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.776,,-15.81,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.83,,-11.99,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.808,,-14.18,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.816,,-16.18,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.819,,-16.92,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.812,,-13.54,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.834,,-15.72,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.834,,-7.88,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.823,,-10.43,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,1,Wahlenbergia ceracea,Dry,Cold,60,,0.814,,-16.79,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Melaleuca citrina,Wet,Cold,60,,0.695,,-11.49,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,2,Melaleuca citrina,Wet,Cold,60,,0.736,,-11.46,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,2,Melaleuca citrina,Wet,Cold,60,,0.774,,-10.63,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,2,Melaleuca citrina,Wet,Cold,60,,0.72,,-14.75,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190709,2,Escallonia rubra,Wet,Cold,60,,0.727,,-6.92,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,2,Escallonia rubra,Wet,Cold,60,,0.752,,-7.93,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,2,Escallonia rubra,Wet,Cold,60,,0.747,,-9.91,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,2,Escallonia rubra,Wet,Cold,60,,0.724,,-13.92,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,2,Escallonia rubra,Wet,Cold,60,,0.742,,-8.01,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.744,,-6.84,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.829,,-13.85,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.808,,-9.15,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.824,,-11.57,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.812,,-9.94,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.803,,-3.35,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.811,,-10.5,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.792,,-8.66,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.79,,-10.57,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190709,2,Wahlenbergia ceracea,Wet,Cold,60,,0.794,,-6.02,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Melaleuca citrina,Dry,Cold,60,,0.704,,-18.17,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,1,Melaleuca citrina,Dry,Cold,60,,0.716,,-15.82,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,1,Melaleuca citrina,Dry,Cold,60,,0.668,,-18.02,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,1,Melaleuca citrina,Dry,Cold,60,,0.742,,-15.49,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,1,Melaleuca citrina,Dry,Cold,60,,0.773,,-18.65,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,1,Escallonia rubra,Dry,Cold,60,,0.742,,-14.11,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,1,Escallonia rubra,Dry,Cold,60,,0.734,,-14.54,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,1,Escallonia rubra,Dry,Cold,60,,0.763,,-11.59,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,1,Escallonia rubra,Dry,Cold,60,,0.694,,-15.7,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,1,Escallonia rubra,Dry,Cold,60,,0.731,,-13.25,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.813,,-15.77,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.823,,-11.42,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.831,,-11.05,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.834,,-16.32,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.815,,-13.71,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.81,,-13.68,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.815,,-14.66,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.828,,-15.7,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.834,,-13.77,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,1,Wahlenbergia ceracea,Dry,Cold,60,,0.821,,-15.75,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Melaleuca citrina,Wet,Cold,60,,0.755,,-13.03,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,2,Melaleuca citrina,Wet,Cold,60,,0.796,,-14.97,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,2,Melaleuca citrina,Wet,Cold,60,,0.677,,-17.08,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,2,Melaleuca citrina,Wet,Cold,60,,0.752,,-18.2,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190710,2,Escallonia rubra,Wet,Cold,60,,0.708,,-13.95,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,2,Escallonia rubra,Wet,Cold,60,,0.737,,-15.02,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,2,Escallonia rubra,Wet,Cold,60,,0.752,,-7.31,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,2,Escallonia rubra,Wet,Cold,60,,0.708,,-8.18,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,2,Escallonia rubra,Wet,Cold,60,,0.757,,-6.92,Surface wetness experiment,"The Australian National University, site 3",-35.277,149.117
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.792,,-12.82,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.816,,-13.48,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.831,,-13.85,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.821,,-14.63,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.815,,-13.71,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.783,,-10.35,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.832,,-15.66,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.829,,-12.68,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.816,,-10.37,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190710,2,Wahlenbergia ceracea,Wet,Cold,60,,0.798,,-3.65,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.754,,-15.73,Ramp rate experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.681,,-15.71,Ramp rate experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.754,,-11.74,Ramp rate experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.652,,-18.33,Ramp rate experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Melaleuca citrina,Dry,Cold,60,,0.782,,-18.88,Ramp rate experiment,"The Australian National University, site 1",-35.279,149.118
20190708,1,Escallonia rubra,Dry,Cold,60,,0.772,,-14.24,Ramp rate experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.756,,-13.78,Ramp rate experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.767,,-12.65,Ramp rate experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.761,,-13.08,Ramp rate experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Escallonia rubra,Dry,Cold,60,,0.762,,-12.72,Ramp rate experiment,"The Australian National University, site 3",-35.277,149.117
20190708,1,Wahlenbergia ceracea,Dry,Cold,60,,0.822,,-13.75,Ramp rate experiment,Kosciuszko National Park (seed source),-36.432,148.338
