taxon_name,genus,family,life_history_scored,scoring,source,citation,notes,citation2,ABRS_2022,ATRP_2020,NHNSW_2022,NTH_2022,RBGV_2022,SAH_2022,WAH_2022_1,WAH_2022_2
Lampranthus glaucus,Lampranthus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,,perennial
Lampranthus haworthii,Lampranthus,Aizoaceae,perennial,species description,floras-scraped,,,,,,,,perennial,,,
Lampranthus immelmaniae,Lampranthus,Aizoaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Lampranthus multiradiatus,Lampranthus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,,,
Lampranthus tegens,Lampranthus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,,,
Malephora crocea,Malephora,Aizoaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Mesembryanthemum aitonis,Mesembryanthemum,Aizoaceae,annual biennial,inferred from species description,floras-scraped,,,,perennial,,,,annual,annual biennial,,
Mesembryanthemum cordifolium,Mesembryanthemum,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,perennial,,perennial
Mesembryanthemum cordifolium x Mesembryanthemum haeckeliana,Mesembryanthemum,Aizoaceae,perennial,inferred from species description,floras-scraped,,,,,,,,,,,
Mesembryanthemum crystallinum,Mesembryanthemum,Aizoaceae,annual biennial,inferred from species description,floras-scraped,,,,perennial,,,,annual,annual biennial,annual,annual biennial
Mesembryanthemum granulicaule,Mesembryanthemum,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,,
Mesembryanthemum guerichianum,Mesembryanthemum,Aizoaceae,annual biennial,species description,floras-scraped,,,,,,,,annual biennial,,,
Mesembryanthemum nodiflorum,Mesembryanthemum,Aizoaceae,perennial,inferred from species description,floras-scraped,,,,perennial,,,,annual,,,annual
Ruschia geminiflora,Ruschia,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,,
Sarcozona bicarinata,Sarcozona,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,perennial,,perennial
Sarcozona praecox,Sarcozona,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,,perennial
Sesuvium portulacastrum,Sesuvium,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,perennial,,,,perennial
Sesuvium portulacastrum subsp. portulacastrum,Sesuvium,Aizoaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Tetragonia coronata,Tetragonia,Aizoaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Tetragonia cristata,Tetragonia,Aizoaceae,annual,species description,floras-scraped,,,,annual,,,,,,,annual
Tetragonia decumbens,Tetragonia,Aizoaceae,perennial,inferred from species description,website,Florabase; theFerns,,,,,,,,,,
Tetragonia diptera,Tetragonia,Aizoaceae,annual perennial,species description,floras,,,,,,,,,,,annual perennial
Tetragonia eremaea,Tetragonia,Aizoaceae,annual,species description,floras-scraped,,,,annual,,,,annual,,,annual
Tetragonia fruticosa,Tetragonia,Aizoaceae,perennial,species description,floras-online,Wikipedia; http://pza.sanbi.org/tetragonia-fruticosa,,,,,,,,,,
