taxon_name,entity_type,entity_context,location_code,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Thysanotus manglesianus,species,,,style_form,hooked,,hooked,mode,,,,,,"Table 1, p.3",no matching AusTraits trait -- documented for possible future trait proposal.
Thysanotus manglesianus,species,,,style_anther_separation_distance,~1,,~1,raw,mm,,,,style separated from anther apices,Results p.2,text: 'the style is separated from the anther apices by ~1 mm'; approximate as stated. No matching AusTraits trait found.
Thysanotus patersonii,species,,,style_length_relative_to_anther,almost the same length as the anthers,,almost the same length as the anthers,mode,,,,,stigma contacts anthers as flower matures over the day,Results p.2,no matching AusTraits trait found.
Thysanotus patersonii,species,,,pollination_syndrome,basically autogamous; anther slits held very close to stigma,self,self,mode,,,,,,Discussion p.8,"floral-form-predicted syndrome, matched to pollination_syndrome's 'self'."
Thysanotus patersonii,species,,,pollination_vector_known,T. patersonii is basically autogamous and does not need a pollinator to produce fruit,autonomous,autonomous,mode,,,,,,Discussion p.8,"actual/observed system, mapped to pollination_vector_known (not a real trait named 'pollination_system'); 'self' corrected to 'autonomous', the actual allowed_values_levels term."
Thysanotus manglesianus,species,,,pollination_syndrome,"dimorphic stamens with apical pores, hooked style -- 'this indicates T. manglesianus should be buzz pollinated'",bee,bee,mode,,,,,,Discussion p.8,"floral-form-predicted syndrome only -- the paper's whole point is that the ACTUAL pollinator (pollination_system, below) is a beetle, not a bee. Keep these two rows distinct; do not collapse to one value."
Thysanotus manglesianus,species,,,pollination_vector_known,beetles (Notobrachypterus sp.) are likely to be involved in pollination and have characteristics of a brood pollination mutualism; no bee pollinator ever observed at NR despite consistently high fruit set,beetle,beetle,mode,,,,,,Results p.2; Discussion p.8-9,mapped to pollination_vector_known (not a real trait named 'pollination_system'). Paper states this is the first report of a beetle (rather than a moth or weevil) as a brood pollinator.
Thysanotus manglesianus,species,,,flower_pollinator_reward,"beetles eat parts of the flower, such as the anthers, and ingest the pollen",pollen,pollen,mode,,,,,,Results p.2,genus-level intro also states Thysanotus 'provide no nectar and restrict access to pollen'; not mapped for T. patersonii since no equivalent statement is made for it specifically.
Thysanotus manglesianus,species,Notobrachypterus sp.,,flower_visitor,Notobrachypterus sp. (beetle),beetle,beetle,mode,,,,,"most frequent, repeated visitor; gathers, fights and mates on open flowers",Results p.2; Fig. 1c,
Thysanotus patersonii,species,Notobrachypterus sp.,,flower_visitor,Notobrachypterus sp. (beetle),beetle,beetle,mode,,,,,,Results p.2,
Thysanotus manglesianus,population,Apis mellifera,NR,flower_visitor,Apis mellifera (introduced honeybee),honeybee,honeybee,mode,,,,,infrequently recorded; no native bees ever recorded at NR,Results p.4-5,
Thysanotus patersonii,population,Leioproctus sp. (2 species); Lasioglossum sp. (1 species),MH,flower_visitor,"Leioproctus sp. (2 species), Lasioglossum sp.",bee,bee,mode,,,,,native bee visitors,Results p.4-5,
Thysanotus patersonii,population,Leioproctus sp. (1 species),FR,flower_visitor,Leioproctus sp. (1 species),bee,bee,mode,,,,,native bee visitor,Results p.4-5,
Thysanotus patersonii,population,,,native_bee_visitation_rate,8,,8,maximum,bees per flower per hour,,,,"most frequent rate recorded, 2019; fewer in 2020 from fewer hours of observation",Results p.4-5,no matching AusTraits trait found.
Thysanotus manglesianus,species,Notobrachypterus sp.,,larval_seed_predation_behaviour,egg laid on ovary; larva burrows through ovary wall and consumes developing seeds; all seeds normally consumed,,egg laid on ovary; larva burrows through ovary wall and consumes developing seeds; all seeds normally consumed,mode,,,,,,Results p.2,no matching AusTraits trait found.
Thysanotus manglesianus,population,,,proportion_fruit_with_larva,0.5,,0.5,minimum,proportion,,,,all sites/years pooled,Discussion p.8,text: 'at least 50% of fruits had a larva'. No matching AusTraits trait found.
Thysanotus manglesianus,population,,NR,proportion_fruit_free_of_larva,0.18,,0.18,minimum,proportion,,,,"2017, the year with the highest proportional infestation",Discussion p.8,text: 'the highest proportional infestation was in 2017 at NR with only 18% of fruit un-parasitized'.
Thysanotus patersonii,population,,MH,proportion_fruit_with_larva,0,,0,raw,proportion,,,,2020,Discussion p.7-8,text: 'no larvae were found in 2020' at MH.
Thysanotus manglesianus,population,,NR,fruit_set_proportion,0.16,,0.16,raw,proportion,,,,"autogamy (Auto) treatment, mating-system trial",Results p.4-5; Fig. 5A,no matching AusTraits trait found.
Thysanotus manglesianus,population,,NR,fruit_set_proportion,0.7,,0.7,raw,proportion,,,,"pollen supplementation (Supp) treatment, mating-system trial",Results p.4-5; Fig. 5A,
Thysanotus manglesianus,population,,NR,fruit_set_proportion,,,,,,,,,"Self / OCL (long-anther outcross) / OCS (short-anther outcross) / Open treatments, mating-system trial",Fig. 5A,"value only shown graphically in Fig. 5A (bar chart), not stated numerically in text -- not estimated from the figure; text gives only t/p statistics for these comparisons."
Thysanotus manglesianus,population,,NR,seeds_per_fruit,3,,3,mean,seeds/fruit,,,,"autogamy (Auto) treatment, mating-system trial",Results p.5,text: 'the mean number of T. manglesianus seeds per fruit was lowest for the autogamous treatment (3 seeds per fruit)'.
Thysanotus manglesianus,population,,NR,seeds_per_fruit,5,,5,mean,seeds/fruit,,,,"Self / OCL / OCS / Open / Supp treatments pooled, mating-system trial",Results p.5,"text: 'generally with a mean of around five seeds produced per fruit, regardless of treatment' -- approximate ('around'), not broken out per treatment in text."
Thysanotus patersonii,population,,KH,fruit_set_proportion,0.57,,0.57,minimum,proportion,,,,"natural population, pooled across 7 years of study (KH, +FR in 2020)",Results p.5; Fig. 6,text: 'ranging from 57-79%'.
Thysanotus patersonii,population,,KH,fruit_set_proportion,0.79,,0.79,maximum,proportion,,,,"natural population, pooled across 7 years of study (KH, +FR in 2020)",Results p.5; Fig. 6,
Thysanotus manglesianus,population,,MH,fruit_set_proportion,,,,,,,,,"greatest fruit set among sites/years, 2019 & 2020",Results p.5; Fig. 6,"qualitative comparison only, no number stated in text; exact value graphical only (Fig. 6/Supp. Fig. 1)."
Thysanotus manglesianus,population,,FR,fruit_set_proportion,,,,,,,,,"lowest fruit set among sites/years, particularly 2021",Results p.5; Fig. 6,"qualitative comparison only, no number stated in text."
Thysanotus manglesianus,population,,,seeds_per_fruit,4,,4,minimum,seeds/fruit,,,,"natural populations, all sites pooled",Results p.5; Fig. 7,"text: '4-4.5 seeds per fruit for T. manglesianus (highest at MH in 2020)'. seed_count exists in config/traits.yml but is defined per individual, not per fruit -- not a valid mapping for this rate."
Thysanotus manglesianus,population,,,seeds_per_fruit,4.5,,4.5,maximum,seeds/fruit,,,,"natural populations, all sites pooled; highest at MH in 2020",Results p.5; Fig. 7,
Thysanotus patersonii,population,,,seeds_per_fruit,4.5,,4.5,minimum,seeds/fruit,,,,natural populations,Results p.5; Fig. 7,text: '4.5-5.5 seeds per fruit' for T. patersonii.
Thysanotus patersonii,population,,,seeds_per_fruit,5.5,,5.5,maximum,seeds/fruit,,,,natural populations,Results p.5; Fig. 7,
Thysanotus manglesianus,population,,NR,beetles_per_flower,1.02,,1.02,maximum,beetles/flower,,,,2019,Results p.5; Fig. 9,no matching AusTraits trait found.
Thysanotus manglesianus,population,,FR,beetles_per_flower,<0.15,,0.15,maximum,beetles/flower,,,,2021,Results p.5; Fig. 9,"text: 'fewer than 0.15 per flower in 2021 at FR' -- upper bound as stated, kept as '<0.15' in trait_value_raw."
Thysanotus patersonii,population,,KH,beetles_per_flower,0.41,,0.41,maximum,beetles/flower,,,,2021,Results p.5; Fig. 9,
Thysanotus patersonii,population,,MH,beetles_observed,0,,0,raw,beetles,,,,2019,Results p.5,text: 'No beetles were observed at MH in 2019'.
Thysanotus patersonii,population,,MH,beetles_observed,5,,5,raw,beetles per 1000 flowers examined,,,1000 flowers,2020,Results p.5,text: 'only five beetles on 1000 flowers in 2020'.
Thysanotus patersonii,population,,KH,pollen_grains_per_stigma,17.3,,17.3,mean,pollen grains/stigma,CI_95,6.4,20,at flower closing (3:00 pm),Results p.4-5,no matching AusTraits trait found.
Thysanotus manglesianus,population,,NR,proportion_stigmas_with_pollen,0.53,,0.53,raw,proportion,,,15,"one plant, flowers tagged one day and harvested the next, 2017/2018 season",Results p.5-6,text: '53% (n=15) had pollen on the stigma and all had over 20 pollen grains'.
Thysanotus manglesianus,population,,NR,proportion_stigmas_with_pollen,0.90,,0.90,raw,proportion,,,10,"one of two nearby plants, flowers collected as they were closing",Results p.6,
Thysanotus manglesianus,population,,NR,proportion_stigmas_with_pollen,0.20,,0.20,raw,proportion,,,10,"the other of two nearby plants, flowers collected as they were closing",Results p.6,
Thysanotus manglesianus,population,,NR,pollen_grains_per_stigma,33.0,,33.0,mean,pollen grains/stigma,CI_95,10.0,,flowers with an egg on the ovary that did have stigmatic pollen,Results p.6,
Thysanotus patersonii,population,,KH,flowering_density_max,0.10,,0.10,maximum,flowers/m2,,,,2019,Results p.4; Fig. 3,no matching AusTraits trait found.
Thysanotus patersonii,population,,KH,flowering_density_max,0.027,,0.027,maximum,flowers/m2,,,,2021,Results p.4; Fig. 3,
Thysanotus manglesianus,population,,NR,flowering_density_peak,5.3,,5.3,maximum,flowers/m2,,,,2015,Results p.4; Fig. 4,
Thysanotus manglesianus,population,,NR,flowering_density_peak,3.3,,3.3,maximum,flowers/m2,,,,2016,Results p.4; Fig. 4,
Thysanotus manglesianus,population,,NR,flowering_density_peak,0.21,,0.21,maximum,flowers/m2,,,,2018 -- the lowest yearly peak of the three years reported,Results p.4; Fig. 4,
