Species,Site,Species_code,Sample,Area(cm2),fresh_weight(g),dry_weight(g),leaf_mass_per_area(g/cm2),ldmc(g/g),"Remark(area,weight)",Height(cm),Cover(%),Remark2,Date,Treatment,root_density,root_branching_intensity,specific_root_length,RDMC,root_air_porosity
Leptospermum squarrosum,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.201174093,1.307790902,4540.164785,0.210608558,2.461170623
Lepyrodia scariosa,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.153630575,1.502796366,4674.591507,0.200325073,-1438.485075
Lomandra obliqua,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.407234224,0.777538424,2960.292735,0.401163447,0.573425612
Plinthanthesis paradoxa,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.141133173,1.029722816,3829.261319,0.151267133,5.797333975
Ptilothrix deusta,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.309119588,1.260277755,2181.607903,0.348950674,12.08471816
Xyris bracteata,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.148301899,0.370881754,1138.525473,0.16510549,8.865898774
Cyathochaeta diandra,S3,CYA,S1,3.081,0.2165,0.1119,0.036319377,0.516859122,NA,54,1,NA,1/16/2017,BI,,,,,
Cyathochaeta diandra,S3,CYA,S2,2.292,0.225,0.0863,0.037652705,0.383555556,NA,51,1,NA,1/16/2017,BI,,,,,
Cyathochaeta diandra,S3,CYA,S3,1.828,0.0807,0.051,0.027899344,0.63197026,NA,36,1,NA,1/16/2017,BI,,,,,
Entolasia stricta,S3,ENTO,S1,0.239,0.0057,0.0018,0.007531381,0.315789474,NA,44,2,NA,1/16/2017,BI,,,,,
Entolasia stricta,S3,ENTO,S2,1.73,0.04,0.0103,0.005953757,0.2575,NA,37,2,NA,1/16/2017,BI,,,,,
Entolasia stricta,S3,ENTO,S3,0.753,0.0128,0.0039,0.005179283,0.3046875,NA,42,2,NA,1/16/2017,BI,,,,,
Banksia ericifolia,S3,ERIC,S1,0.119,0.0046,0.0018,0.01512605,0.391304348,NA,18,1,seedling,1/16/2017,BI,,,,,
Banksia ericifolia,S3,ERIC,S2,0.115,0.0042,0.0017,0.014782609,0.404761905,NA,34,1,seedling,1/16/2017,BI,,,,,
Banksia ericifolia,S3,ERIC,S3,0.729,0.025,0.0109,0.014951989,0.436,NA,11,1,seedling,1/16/2017,BI,,,,,
Gonocarpus micranthus,S3,GONO,S1,0.226,0.0062,0.0016,0.007079646,0.258064516,NA,1.5,6,NA,1/16/2017,BI,,,,,
Gonocarpus micranthus,S3,GONO,S2,0.456,0.013,0.0039,0.008552632,0.3,NA,6,6,NA,1/16/2017,BI,,,,,
Gonocarpus micranthus,S3,GONO,S3,0.135,0.003,0.0009,0.006666667,0.3,NA,5,6,NA,1/16/2017,BI,,,,,
Leptospermum squarrosum,S3,LEPTO,S1,0.08,0.0029,0.001,0.0125,0.344827586,NA,22,2,seedling,1/16/2017,BI,,,,,
Leptospermum squarrosum,S3,LEPTO,S2,0.09,0.0027,0.0008,0.008888889,0.296296296,NA,34,2,seedling,1/16/2017,BI,,,,,
Leptospermum squarrosum,S3,LEPTO,S3,0.041,0.0012,0.0004,0.009756098,0.333333333,NA,23,2,seedling,1/16/2017,BI,,,,,
Lepyrodia scariosa,S3,LEPY,S1,4.013,0.2584,0.0971,0.024196362,0.375773994,NA,13,1,NA,1/16/2017,BI,,,,,
Lepyrodia scariosa,S3,LEPY,S2,1.532,0.0964,0.0419,0.027349869,0.434647303,NA,19,1,NA,1/16/2017,BI,,,,,
Lepyrodia scariosa,S3,LEPY,S3,1.915,0.1707,0.0749,0.039112272,0.438781488,NA,22,1,NA,1/16/2017,BI,,,,,
Lomandra obliqua,S3,LOMA,S1,0.327,0.0058,0.0023,0.007033639,0.396551724,NA,7,0,NA,1/16/2017,BI,,,,,
Lomandra obliqua,S3,LOMA,S2,0.161,0.0046,0.0024,0.014906832,0.52173913,NA,13,0,NA,1/16/2017,BI,,,,,
Lomandra obliqua,S3,LOMA,S3,0.187,0.004,0.0016,0.00855615,0.4,NA,27,0,NA,1/16/2017,BI,,,,,
Lepidosperma neesii,S3,NEE,S1,4.2,0.1638,0.1129,0.026880952,0.689255189,NA,42,30,NA,1/16/2017,BI,,,,,
Lepidosperma neesii,S3,NEE,S2,2.543,0.1677,0.0971,0.038183248,0.579010137,NA,35,30,NA,1/16/2017,BI,,,,,
Lepidosperma neesii,S3,NEE,S3,5.386,0.3742,0.1989,0.036929075,0.531533939,NA,62,30,NA,1/16/2017,BI,,,,,
Plinthanthesis paradoxa,S3,PLIN,S1,0.924,0.0334,0.0107,0.011580087,0.320359281,NA,21,12,NA,1/16/2017,BI,,,,,
Plinthanthesis paradoxa,S3,PLIN,S2,0.103,0.0035,0.0011,0.010679612,0.314285714,NA,21,12,NA,1/16/2017,BI,,,,,
Plinthanthesis paradoxa,S3,PLIN,S3,0.455,0.0344,0.0098,0.021538462,0.284883721,NA,11,12,NA,1/16/2017,BI,,,,,
Ptilothrix deusta,S3,PTI,S1,2.753,0.1246,0.0795,0.028877588,0.638041734,NA,56,4,NA,1/16/2017,BI,,,,,
Ptilothrix deusta,S3,PTI,S2,2.037,0.0648,?,,,NA,55,4,NA,1/16/2017,BI,,,,,
Ptilothrix deusta,S3,PTI,S3,2.074,0.0649,0.044,0.021215043,0.677966102,NA,59,4,NA,1/16/2017,BI,,,,,
Gonocarpus tetragynus,S3,TETRA,S1,0.228,0.0075,0.0019,0.008333333,0.253333333,NA,12,3,NA,1/16/2017,BI,,,,,
Gonocarpus tetragynus,S3,TETRA,S2,0.327,0.0134,0.0029,0.008868502,0.21641791,NA,18,3,NA,1/16/2017,BI,,,,,
Gonocarpus tetragynus,S3,TETRA,S3,0.294,0.0111,0.0028,0.00952381,0.252252252,NA,13,3,NA,1/16/2017,BI,,,,,
Cyathochaeta diandra,S4,CYA,S1,8.87,0.7219,0.3394,0.038263811,0.47014822,NA,50,5,NA,1/25/2017,UI,,,,,
Cyathochaeta diandra,S4,CYA,S2,7.238,0.4988,0.0217,0.002998066,0.043504411,NA,42,5,NA,1/25/2017,UI,,,,,
Cyathochaeta diandra,S4,CYA,S3,7.207,0.7155,0.2698,0.037435826,0.377078966,NA,58,5,NA,1/25/2017,UI,,,,,
Entolasia stricta,S4,ENTO,S1,0.707,0.0116,0.0055,0.007779349,0.474137931,NA,52,1,NA,1/25/2017,UI,,,,,
Entolasia stricta,S4,ENTO,S2,?,0.0295,,,,NA,54,1,NA,1/25/2017,UI,,,,,
Entolasia stricta,S4,ENTO,S3,0.332,0.0035,0.0008,0.002409639,0.228571429,NA,20,1,NA,1/25/2017,UI,,,,,
Banksia ericifolia,S4,ERIC,S1,0.125,0.0052,0.0029,0.0232,0.557692308,NA,175,10,NA,1/25/2017,UI,,,,,
Banksia ericifolia,S4,ERIC,S2,0.142,0.0067,0.0035,0.024647887,0.52238806,NA,2,10,NA,1/25/2017,UI,,,,,
Banksia ericifolia,S4,ERIC,S3,0.114,0.0051,0.0022,0.019298246,0.431372549,NA,170,10,NA,1/25/2017,UI,,,,,
Eurychorda complanata,S4,EURY,S1,13.848,1.0542,0.4713,0.034033795,0.447068867,NA,50,0,ONLY ONE IN THE SITE,1/25/2017,UI,,,,,
Leptospermum squarrosum,S4,LEPTO,S1,0.219,0.0055,0.0028,0.012785388,0.509090909,NA,250,15,NA,1/25/2017,UI,,,,,
Leptospermum squarrosum,S4,LEPTO,S2,0.166,0.0061,0.003,0.018072289,0.491803279,NA,160,15,NA,1/25/2017,UI,,,,,
Leptospermum squarrosum,S4,LEPTO,S3,0.189,0.0065,0.003,0.015873016,0.461538462,NA,325,15,NA,1/25/2017,UI,,,,,
Lepyrodia scariosa,S4,LEPY,S1,6.701,0.5758,0.2676,0.039934338,0.464744703,NA,54,2,NA,1/25/2017,UI,,,,,
Lepyrodia scariosa,S4,LEPY,S2,9.576,0.8953,0.4004,0.041812865,0.447224394,NA,67,2,NA,1/25/2017,UI,,,,,
Lepyrodia scariosa,S4,LEPY,S3,9.694,0.9671,0.4657,0.048040025,0.481542757,NA,57,2,NA,1/25/2017,UI,,,,,
Lomandra obliqua,S4,LOMA,S1,0.185,0.0037,0.0018,0.00972973,0.486486486,NA,8,0.5,NA,1/25/2017,UI,,,,,
Lomandra obliqua,S4,LOMA,S2,0.396,0.0067,0.0028,0.007070707,0.417910448,NA,10,0.5,NA,1/25/2017,UI,,,,,
Lomandra obliqua,S4,LOMA,S3,0.374,0.0079,0.0034,0.009090909,0.430379747,NA,13,0.5,NA,1/25/2017,UI,,,,,
Lepidosperma neesii,S4,NEE,S1,2.118,0.0864,0.0531,0.025070822,0.614583333,NA,28,2,NA,1/25/2017,UI,,,,,
Lepidosperma neesii,S4,NEE,S2,1.917,0.0987,0.0596,0.031090245,0.603850051,NA,30,2,NA,1/25/2017,UI,,,,,
Lepidosperma neesii,S4,NEE,S3,7.255,0.5433,0.2683,0.036981392,0.493833978,NA,56,2,NA,1/25/2017,UI,,,,,
Banksia oblongifolia,S4,OBL,S1,12.888,0.567,0.342,0.026536313,0.603174603,NA,150,0,NA,1/25/2017,UI,,,,,
Banksia oblongifolia,S4,OBL,S2,11.212,0.426,0.1918,0.017106671,0.450234742,NA,135,0,NA,1/25/2017,UI,,,,,
Banksia oblongifolia,S4,OBL,S3,17.733,0.6616,0.3065,0.017284159,0.463270859,NA,135,0,NA,1/25/2017,UI,,,,,
Ptilothrix deusta,S4,PTI,S1,2.239,0.0851,0.0542,0.024207235,0.636897767,NA,25,6,NA,1/25/2017,UI,,,,,
Ptilothrix deusta,S4,PTI,S2,1.431,0.0346,0.0258,0.01802935,0.74566474,NA,19,6,NA,1/25/2017,UI,,,,,
Ptilothrix deusta,S4,PTI,S3,3.604,0.1493,0.0844,0.023418424,0.565304756,NA,32,6,NA,1/25/2017,UI,,,,,
Leptocarpus tenax,S4,TENAX,S1,lost,lost,lost,,,lost,30,1,NA,1/25/2017,UI,,,,,
Leptocarpus tenax,S4,TENAX,S2,3.66,?,?,,,NA,28,1,NA,1/25/2017,UI,,,,,
Leptocarpus tenax,S4,TENAX,S3,lost,lost,lost,,,lost,52,1,NA,1/25/2017,UI,,,,,
Gonocarpus tetragynus,S4,TETRA,S1,0.411,0.0137,0.0034,0.008272506,0.248175182,NA,26,1,NA,1/25/2017,UI,,,,,
Gonocarpus tetragynus,S4,TETRA,S2,0.209,0.0046,0.0018,0.00861244,0.391304348,NA,30,1,NA,1/25/2017,UI,,,,,
Gonocarpus tetragynus,S4,TETRA,S3,0.42,0.0097,0.0039,0.009285714,0.402061856,NA,18,1,NA,1/25/2017,UI,,,,,
Xyris bracteata,S4,XYR,S1,4.564,0.1617,0.0512,0.01121823,0.316635745,NA,17,0,NA,1/25/2017,UI,,,,,
Xyris bracteata,S4,XYR,S2,6.503,0.2137,0.0726,0.011164078,0.339728591,NA,25,0,NA,1/25/2017,UI,,,,,
Xyris bracteata,S4,XYR,S3,1.88,0.0755,0.0274,0.014574468,0.362913907,NA,8,0,NA,1/25/2017,UI,,,,,
Cyathochaeta diandra,S5,CYA,S1,2.443,0.1492,0.0937,0.038354482,0.628016086,NA,25,1,NA,1/25/2017,BI,,,,,
Cyathochaeta diandra,S5,CYA,S2,6.742,0.5047,0.2618,0.038831207,0.518723994,NA,42,1,NA,1/25/2017,BI,,,,,
Cyathochaeta diandra,S5,CYA,S3,3.818,0.1816,0.1028,0.026925092,0.566079295,NA,15,1,NA,1/25/2017,BI,,,,,
Entolasia stricta,S5,ENTO,S1,0.382,0.0067,0.002,0.005235602,0.298507463,NA,25,12,NA,1/25/2017,BI,,,,,
Entolasia stricta,S5,ENTO,S2,1.466,?,0.0074,0.005047749,,NA,28,12,NA,1/25/2017,BI,,,,,
Entolasia stricta,S5,ENTO,S3,0.315,0.006,0.0017,0.005396825,0.283333333,NA,21,12,NA,1/25/2017,BI,,,,,
Banksia ericifolia,S5,ERIC,S1,0.703,0.0219,0.009,0.012802276,0.410958904,NA,13,1,NA,1/25/2017,BI,,,,,
Banksia ericifolia,S5,ERIC,S2,0.456,0.0155,0.006,0.013157895,0.387096774,NA,12,1,NA,1/25/2017,BI,,,,,
Banksia ericifolia,S5,ERIC,S3,0.147,0.005,0.0021,0.014285714,0.42,NA,10,1,NA,1/25/2017,BI,,,,,
Eurychorda complanata,S5,EURY,S1,0.952,0.0611,0.0077,0.008088235,0.126022913,NA,8,0,NA,1/25/2017,BI,,,,,
Eurychorda complanata,S5,EURY,S2,0.521,0.0459,0.0058,0.011132438,0.126361656,NA,5,0,.,1/25/2017,BI,,,,,
Gonocarpus micranthus,S5,GONO,S1,0.303,0.0063,0.0015,0.004950495,0.238095238,NA,3,1,NA,1/25/2017,BI,,,,,
Gonocarpus micranthus,S5,GONO,S2,0.285,0.0068,0.0019,0.006666667,0.279411765,NA,2,1,NA,1/25/2017,BI,,,,,
Gonocarpus micranthus,S5,GONO,S3,0.457,0.0104,0.0023,0.005032823,0.221153846,NA,1,1,NA,1/25/2017,BI,,,,,
Leptospermum squarrosum,S5,LEPTO,S1,0.264,0.005,0.0023,0.008712121,0.46,NA,10,1,NA,1/25/2017,BI,,,,,
Leptospermum squarrosum,S5,LEPTO,S2,0.251,0.0068,0.0018,0.007171315,0.264705882,NA,9,1,NA,1/25/2017,BI,,,,,
Leptospermum squarrosum,S5,LEPTO,S3,0.169,0.0042,0.0018,0.010650888,0.428571429,NA,10,1,NA,1/25/2017,BI,,,,,
Lepyrodia scariosa,S5,LEPY,S1,1.068,0.0628,0.0198,0.018539326,0.315286624,NA,14,1,NA,1/25/2017,BI,,,,,
Lepyrodia scariosa,S5,LEPY,S2,1.28,0.0955,0.0292,0.0228125,0.305759162,NA,13,1,NA,1/25/2017,BI,,,,,
Lepyrodia scariosa,S5,LEPY,S3,1.17,0.0754,0.0287,0.024529915,0.380636605,NA,14,1,NA,1/25/2017,BI,,,,,
Lomandra obliqua,S5,LOMA,S1,0.143,0.004,0.0017,0.011888112,0.425,NA,5,0,NA,1/25/2017,BI,,,,,
Lepidosperma neesii,S5,NEE,S1,4.484,0.2652,0.1374,0.030642284,0.518099548,NA,40,8,NA,1/25/2017,BI,,,,,
Lepidosperma neesii,S5,NEE,S2,11.95,0.4183,0.2275,0.019037657,0.543868037,NA,49,8,NA,1/25/2017,BI,,,,,
Lepidosperma neesii,S5,NEE,S3,6.257,0.3915,0.2174,0.034745086,0.555300128,NA,53,8,NA,1/25/2017,BI,,,,,
Plinthanthesis paradoxa,S5,PLIN,S1,2.822,0.0404,0.0196,0.006945429,0.485148515,NA,30,3,NA,1/25/2017,BI,,,,,
Plinthanthesis paradoxa,S5,PLIN,S2,1.57,0.0292,0.0155,0.009872611,0.530821918,NA,38,3,NA,1/25/2017,BI,,,,,
Plinthanthesis paradoxa,S5,PLIN,S3,3.295,0.0428,0.0207,0.006282246,0.48364486,NA,60,3,NA,1/25/2017,BI,,,,,
Ptilothrix deusta,S5,PTI,S1,1.237,0.0552,0.0308,0.024898949,0.557971014,NA,23,12,NA,1/25/2017,BI,,,,,
Ptilothrix deusta,S5,PTI,S2,3.445,0.1377,0.0822,0.023860668,0.596949891,NA,45,12,NA,1/25/2017,BI,,,,,
Ptilothrix deusta,S5,PTI,S3,3.242,0.1607,0.0905,0.027914867,0.56316117,NA,26,12,NA,1/25/2017,BI,,,,,
Leptocarpus tenax,S5,TENAX,S1,2.717,0.1797,0.0784,0.028855355,0.436282693,NA,25,0,NA,1/25/2017,BI,,,,,
Leptocarpus tenax,S5,TENAX,S2,2.897,0.1576,0.0697,0.024059372,0.442258883,NA,39,0,NA,1/25/2017,BI,,,,,
Leptocarpus tenax,S5,TENAX,S3,1.575,0.0848,0.0381,0.024190476,0.449292453,NA,31,0,NA,1/25/2017,BI,,,,,
Gonocarpus tetragynus,S5,TETRA,S1,0.474,0.0187,0.0037,0.007805907,0.197860963,NA,8,2,NA,1/25/2017,BI,,,,,
Gonocarpus tetragynus,S5,TETRA,S2,0.337,0.0114,0.0024,0.007121662,0.210526316,NA,6,2,NA,1/25/2017,BI,,,,,
Gonocarpus tetragynus,S5,TETRA,S3,0.494,0.0202,0.0039,0.007894737,0.193069307,NA,9,2,NA,1/25/2017,BI,,,,,
Xyris bracteata,S5,XYR,S1,3.849,0.1898,0.0464,0.012055079,0.244467861,NA,9,1,NA,1/25/2017,BI,,,,,
Xyris bracteata,S5,XYR,S2,1.565,0.0692,0.0187,0.011948882,0.270231214,NA,5,1,NA,1/25/2017,BI,,,,,
Xyris bracteata,S5,XYR,S3,1.473,0.0528,0.0161,0.010930075,0.304924242,NA,5,1,NA,1/25/2017,BI,,,,,
Haemodorum corymbosum,S6,CORY,S1,5.889,0.3014,0.174,0.029546612,0.577305906,NA,26,0,NA,2/1/2017,BW,,,,,
Cyathochaeta diandra,S6,CYA,S1,3.643,0.3299,0.1377,0.037798518,0.417399212,NA,28,1,NA,2/1/2017,BW,,,,,
Cyathochaeta diandra,S6,CYA,S2,4.262,0.2473,0.1294,0.030361333,0.523251112,NA,39,1,NA,2/1/2017,BW,,,,,
Cyathochaeta diandra,S6,CYA,S3,2.72,0.1439,0.0831,0.030551471,0.577484364,NA,21,1,NA,2/1/2017,BW,,,,,
Entolasia stricta,S6,ENTO,S1,0.524,0.0105,0.0048,0.009160305,0.457142857,NA,30,1,NA,2/1/2017,BW,,,,,
Entolasia stricta,S6,ENTO,S2,0.399,0.0067,0.0039,0.009774436,0.582089552,NA,23,1,NA,2/1/2017,BW,,,,,
Entolasia stricta,S6,ENTO,S3,0.981,0.018,0.0062,0.006320082,0.344444444,NA,23,1,NA,2/1/2017,BW,,,,,
Banksia ericifolia,S6,ERIC,S1,0.113,0.0075,0.0036,0.031858407,0.48,NA,70,1,seedling,2/1/2017,BW,,,,,
Banksia ericifolia,S6,ERIC,S2,0.116,0.0054,0.0026,0.022413793,0.481481481,NA,200,1,adult,2/1/2017,BW,,,,,
Banksia ericifolia,S6,ERIC,S3,0.169,0.0062,0.0029,0.017159763,0.467741935,NA,10,1,seedling,2/1/2017,BW,,,,,
Gonocarpus micranthus,S6,GONO,S1,0.275,0.0057,0.0023,0.008363636,0.403508772,NA,0.1,0.5,NA,2/1/2017,BW,,,,,
Gonocarpus micranthus,S6,GONO,S2,0.194,0.004,0.0014,0.007216495,0.35,NA,0.1,0.5,NA,2/1/2017,BW,,,,,
Gonocarpus micranthus,S6,GONO,S3,0.288,0.0049,0.0016,0.005555556,0.326530612,NA,0.5,0.5,NA,2/1/2017,BW,,,,,
Leptospermum squarrosum,S6,LEPTO,S1,0.144,0.0037,0.002,0.013888889,0.540540541,NA,49,0,NA,2/1/2017,BW,,,,,
Leptospermum squarrosum,S6,LEPTO,S2,0.199,0.0044,0.0016,0.008040201,0.363636364,NA,20,0,NA,2/1/2017,BW,,,,,
Leptospermum squarrosum,S6,LEPTO,S3,0.229,0.0047,0.0015,0.006550218,0.319148936,NA,17,0,NA,2/1/2017,BW,,,,,
Lepyrodia scariosa,S6,LEPY,S1,7.168,0.5153,0.2459,0.034305246,0.477197749,NA,45,5,NA,2/1/2017,BW,,,,,
Lepyrodia scariosa,S6,LEPY,S2,7.528,0.6458,0.3213,0.042680659,0.497522453,NA,23,5,NA,2/1/2017,BW,,,,,
Lepyrodia scariosa,S6,LEPY,S3,7.693,0.7944,0.4088,0.053139217,0.514602216,NA,50,5,NA,2/1/2017,BW,,,,,
Lomandra obliqua,S6,LOMA,S1,0.207,0.0036,0.0025,0.012077295,0.694444444,NA,10,4,NA,2/1/2017,BW,,,,,
Lomandra obliqua,S6,LOMA,S2,0.276,0.0072,0.0041,0.014855072,0.569444444,NA,22,4,NA,2/1/2017,BW,,,,,
Lomandra obliqua,S6,LOMA,S3,0.26,0.008,0.0047,0.018076923,0.5875,NA,14,4,NA,2/1/2017,BW,,,,,
Lepidosperma neesii,S6,NEE,S1,7.29,0.3891,0.2464,0.033799726,0.633256232,NA,55,4,NA,2/1/2017,BW,,,,,
Lepidosperma neesii,S6,NEE,S2,9.546,0.8002,0.4753,0.049790488,0.593976506,NA,47,4,NA,2/1/2017,BW,,,,,
Lepidosperma neesii,S6,NEE,S3,5.72,0.4656,0.2484,0.043426573,0.533505155,NA,18,4,NA,2/1/2017,BW,,,,,
Banksia oblongifolia,S6,OBL,S1,6.354,0.1979,0.0846,0.013314448,0.427488631,NA,42,0,NA,2/1/2017,BW,,,,,
Banksia oblongifolia,S6,OBL,S2,9.782,0.3906,0.161,0.016458802,0.41218638,NA,46,0,NA,2/1/2017,BW,,,,,
Banksia oblongifolia,S6,OBL,S3,8.375,0.3647,0.2012,0.024023881,0.551686318,NA,61,0,NA,2/1/2017,BW,,,,,
Plinthanthesis paradoxa,S6,PLIN,S1,0.558,0.0079,0.0043,0.007706093,0.544303797,NA,5,1,NA,2/1/2017,BW,,,,,
Plinthanthesis paradoxa,S6,PLIN,S2,1.223,0.0177,0.0074,0.006050695,0.418079096,NA,4,1,NA,2/1/2017,BW,,,,,
Plinthanthesis paradoxa,S6,PLIN,S3,0.708,0.0138,0.0052,0.007344633,0.376811594,NA,6,1,NA,2/1/2017,BW,,,,,
Ptilothrix deusta,S6,PTI,S1,1.796,0.0756,0.0487,0.027115813,0.644179894,NA,66,7,NA,2/1/2017,BW,,,,,
Ptilothrix deusta,S6,PTI,S2,1.689,0.0756,0.0522,0.030905861,0.69047619,NA,47,7,NA,2/1/2017,BW,,,,,
Ptilothrix deusta,S6,PTI,S3,0.869,0.0314,0.0208,0.023935558,0.662420382,NA,57,7,NA,2/1/2017,BW,,,,,
Gonocarpus tetragynus,S6,TETRA,S1,0.259,0.0065,0.0022,0.008494208,0.338461538,NA,4,1,NA,2/1/2017,BW,,,,,
Gonocarpus tetragynus,S6,TETRA,S2,0.176,0.0044,0.0013,0.007386364,0.295454545,NA,4,1,NA,2/1/2017,BW,,,,,
Gonocarpus tetragynus,S6,TETRA,S3,0.393,0.0103,0.0035,0.008905852,0.339805825,NA,12,1,NA,2/1/2017,BW,,,,,
Entolasia stricta,S7,ENTO,S1,0.411,0.0069,0.0051,0.012408759,0.739130435,NA,10,0,NA,1/10/2017,BW,,,,,
Entolasia stricta,S7,ENTO,S2,lost,lost,lost,,,lost,14,0,NA,1/10/2017,BW,,,,,
Entolasia stricta,S7,ENTO,S3,0.164,0.0069,0.0038,0.023170732,0.550724638,NA,18,0,NA,1/10/2017,BW,,,,,
Banksia ericifolia,S7,ERIC,S1,0.175,0.0066,0.0029,0.016571429,0.439393939,NA,15,0,seedling,1/10/2017,BW,,,,,
Banksia ericifolia,S7,ERIC,S2,0.18,0.0069,0.003,0.016666667,0.434782609,NA,19,0,seedling,1/10/2017,BW,,,,,
Banksia ericifolia,S7,ERIC,S3,0.1,0.0056,0.0023,0.023,0.410714286,NA,18,0,seedling,1/10/2017,BW,,,,,
Eurychorda complanata,S7,EURY,S1,3.366,0.1927,0.0543,0.016131907,0.281785158,NA,31,1,NA,1/10/2017,BW,,,,,
Eurychorda complanata,S7,EURY,S2,5.748,0.2553,0.0876,0.015240084,0.343125734,NA,37,1,NA,1/10/2017,BW,,,,,
Eurychorda complanata,S7,EURY,S3,0.343,0.004,0.0023,0.006705539,0.575,NA,21,1,NA,1/10/2017,BW,,,,,
Gonocarpus micranthus,S7,GONO,S1,0.143,0.0016,0.0013,0.009090909,0.8125,NA,4,12,NA,1/10/2017,BW,,,,,
Gonocarpus micranthus,S7,GONO,S2,0.275,0.0043,0.0025,0.009090909,0.581395349,NA,6,12,NA,1/10/2017,BW,,,,,
Gonocarpus micranthus,S7,GONO,S3,0.127,0.0024,0.0006,0.004724409,0.25,NA,4,12,NA,1/10/2017,BW,,,,,
Plinthanthesis paradoxa,S7,PLIN,S1,0.897,0.0366,0.0159,0.017725753,0.43442623,NA,3,5,NA,1/10/2017,BW,,,,,
Plinthanthesis paradoxa,S7,PLIN,S2,0.263,0.0119,0.0047,0.017870722,0.394957983,NA,3,5,NA,1/10/2017,BW,,,,,
Plinthanthesis paradoxa,S7,PLIN,S3,0.292,0.0135,0.0042,0.014383562,0.311111111,NA,3,5,NA,1/10/2017,BW,,,,,
Leptocarpus tenax,S7,TENAX,S1,1.588,0.0634,0.02,0.012594458,0.315457413,NA,22,0,NA,1/10/2017,BW,,,,,
Leptocarpus tenax,S7,TENAX,S2,3.137,0.1232,0.0534,0.017022633,0.433441558,NA,23,0,NA,1/10/2017,BW,,,,,
Leptocarpus tenax,S7,TENAX,S3,2.435,0.1242,0.0364,0.014948665,0.293075684,NA,17,0,NA,1/10/2017,BW,,,,,
Caustis pentandra,S8,CAUSTUS,S1,0.424,0.0183,0.062,0.146226415,3.387978142,NA,12,2,seedling,1/10/2017,BD,,,,,
Caustis pentandra,S8,CAUSTUS,S2,0.264,0.0085,0.0045,0.017045455,0.529411765,NA,21,2,seedling,1/10/2017,BD,,,,,
Caustis pentandra,S8,CAUSTUS,S3,0.244,0.006,0.0034,0.013934426,0.566666667,NA,8,2,seedling,1/10/2017,BD,,,,,
Lepidosperma concavum,S8,CONCA,S1,3.042,0.1249,0.0758,0.024917817,0.606885508,NA,18,10,NA,1/10/2017,BD,,,,,
Lepidosperma concavum,S8,CONCA,S2,4.703,0.1925,0.0949,0.020178609,0.492987013,NA,20,10,NA,1/10/2017,BD,,,,,
