site_id,site_TEXT,name_original,TRAIT Growth Form CATEGORICAL EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine,TRAIT SLA UNITS mm2/g,TRAIT Leaf Size UNITS mm2,TRAIT Leaf Dry Mass UNITS g,TRAIT LeafWidth UNITS mm,TRAIT Height UNITS m
11,Weddin Mountains,Styphelia triflora,S,5.7,42.9,0.008,3.3,1.75
12,Yathong,Acacia brachybotrya,S,5.5,137.6,0.025,10,1.5
12,Yathong,Acacia burkitti,S,2,73.8,0.038,1.5,1.5
12,Yathong,Acacia colletioides,S,2.3,22.7,0.01,1.1,0.3
12,Yathong,Acacia wilhelmiana,S,3.9,16.6,0.004,1.5,1
12,Yathong,Bossiaea walkeri,S,1.5,224.8,0.146,4.6,1
12,Yathong,Callitris preissii,T,2.5,22.9,0.009,1.2,2
12,Yathong,Calotis hispidula,H,9.1,17.8,0.002,3.6,0.3
12,Yathong,Calotis inermis,H,7,52.3,0.007,5.2,0.05
12,Yathong,Chenopodium desertorum,S,6.2,9.8,0.002,3,0.05
12,Yathong,Chrysocephalum apiculatum,H,14.6,16,0.001,2.2,0.2
12,Yathong,Cryptandra leucophracta,S,5.3,10.4,0.002,3.1,0.1
12,Yathong,Danthonia sp,G,5,34.9,0.007,0.7,0.2
12,Yathong,Dianella laevis,H,2.1,773,0.363,6.1,0.4
12,Yathong,Dodonaea peduncularis,S,21.4,36,0.002,3.4,1.28
12,Yathong,Dodonaea viscosa cuneata,S,6.2,50.2,0.008,5,0.5
12,Yathong,Eremophila glabra,S,4.4,125.2,0.028,6.2,0.4
12,Yathong,Eremophila longifolia,S,4,224.1,0.056,3.9,2
12,Yathong,Eremophila sturtii,S,3.7,24.2,0.006,1.2,1.5
12,Yathong,Eucalyptus dumosa,T,2.8,983.6,0.352,18.2,4
12,Yathong,Eucalyptus intertexta,T,3.6,1338,0.372,20.1,5
12,Yathong,Eucalyptus leptophylla,T,3.8,236.2,0.062,5.5,3
12,Yathong,Eucalyptus socialis,T,3.3,827.6,0.248,18.1,4
12,Yathong,Eutaxia microphylla,S,5.4,1.3,0,0.6,0.4
12,Yathong,Goodenia willisiana,H,8.7,136.6,0.016,7.1,0.05
12,Yathong,Halgania cyanea,S,5.8,17.4,0.003,2.2,0.1
12,Yathong,Lomandra effusa,G,1.2,187.3,0.161,1.8,0.3
12,Yathong,Melaleuca uncinata,S,2.3,19.1,0.008,0.9,2
12,Yathong,Olearia pimeleoides,S,5.4,10.5,0.002,2.5,0.4
12,Yathong,Paspalidium constrictum,G,9.3,23.5,0.003,0.7,0.2
12,Yathong,Pimelea trichostachya,S,3.9,115.2,0.03,3.9,0.5
12,Yathong,Rhyncharrhena linearis,,5.9,28.2,0.005,0.9,0.2
12,Yathong,Salsola kali,S,1.6,4.5,0.003,0.9,0.3
12,Yathong,Sclerolaena bicornis,S,3.8,9.2,0.002,1.3,0.1
12,Yathong,Stipa sp,G,6.3,10.2,0.002,0.5,0.4
12,Yathong,Templetonia aculeata,S,2.4,11.2,0.005,1.4,0.2
12,Yathong,unk12_1a sp,,2.6,59.8,0.023,1.2,
12,Yathong,unk12_1b sp,,8.7,32.4,0.004,3.6,0.1
12,Yathong,unk12_1c sp,,18.7,68.3,0.004,2.6,0.2
12,Yathong,Vittadinia cuneata,H,8.6,5.3,0.001,1.7,0.15
13,Cedar Brush,Acacia melanoxylon,T,7.8,1538.1,0.198,14.6,12
13,Cedar Brush,Angophora floribunda,T,9.9,2226.8,0.225,33.2,12
13,Cedar Brush,Casuarina cunninghamiana,T,3.7,18.8,0.005,0.6,10
13,Cedar Brush,Claoxylon australe,,10.7,2967,0.277,38.7,4
13,Cedar Brush,Clematis glycinoides,V,14.7,346.4,0.024,15.8,2
13,Cedar Brush,Echinopogon sp,,7.1,39.8,0.006,1,0.3
13,Cedar Brush,Eucalyptus sp,T,8,1221.8,0.153,26.3,10
13,Cedar Brush,Eucalyptus viminalis,T,5.8,1549.5,0.269,17.6,8
13,Cedar Brush,Euodia sp,,11.2,1803.6,0.161,33.3,5
13,Cedar Brush,Eustrephus latifolius,V,14.1,888.9,0.063,18.1,0.3
13,Cedar Brush,Hibbertia scandens,V,11.3,401.1,0.036,15.1,0.2
13,Cedar Brush,Lepidosperma laterale,G,3.5,699.1,0.199,5.4,1
13,Cedar Brush,Lomandra longifolia,G,3.4,815.8,0.242,6.1,0.75
13,Cedar Brush,Oplismenus aemulus,G,23.1,23.1,0.001,2.7,0.1
13,Cedar Brush,Parsonsia sp.A,V,9,3017,0.334,37.7,5
13,Cedar Brush,Phytolacca octandra,H,21.9,864.5,0.039,24.5,1
13,Cedar Brush,Pittosporum undulatum,T,7.2,2957.7,0.41,37.9,3
13,Cedar Brush,Poa sp,G,2.3,103.4,0.045,1.9,0.43
13,Cedar Brush,Rubus rosifolius,,16.4,368.4,0.022,13.6,1
13,Cedar Brush,Toona australis,T,15.9,1134.9,0.072,29.2,4
13,Cedar Brush,Tylophora barbata,V,25.9,481.2,0.019,19.8,0.4
13,Cedar Brush,unk13_1 sp,,27.4,399.1,0.015,15.8,0.1
13,Cedar Brush,Viola hederacea,H,16.9,104.2,0.006,8.2,0.05
14,Mungo NP 4,Atriplex acutibractea,S,5.6,62.4,0.011,7.7,0.2
14,Mungo NP 4,Atriplex stipitata,S,5.5,22,0.004,3.3,0.35
14,Mungo NP 4,Chenopodium curvispicatum,S,6.8,64.7,0.01,7.1,0.15
14,Mungo NP 4,Chenopodium desertorum subsp.anidio,S,6.8,19.9,0.003,4.4,0.1
14,Mungo NP 4,Dianella revoluta,H,2.8,564.3,0.202,5.3,0.2
14,Mungo NP 4,Dissocarpus paradoxa,H,4,7.1,0.002,1.5,0.2
14,Mungo NP 4,Dodonaea viscosa,S,3.4,19.6,0.006,1.1,1
14,Mungo NP 4,Enchylaena tomentosa,S,4.2,5.1,0.001,1.1,0.25
14,Mungo NP 4,Eucalyptus socialis,T,3,648.6,0.218,13.5,4
14,Mungo NP 4,Lomandra effusa,G,1.1,132.9,0.117,1.7,0.25
14,Mungo NP 4,Maireana appressa,S,3.6,1.4,0,0.9,0.5
14,Mungo NP 4,Maireana coronata,S,3.9,4.5,0.001,1.2,0.1
14,Mungo NP 4,Maireana pentatropis,S,3.7,8.4,0.002,1.4,0.6
14,Mungo NP 4,Maireana sp,S,3.2,9.2,0.003,1.4,0.5
14,Mungo NP 4,Ptilotus exaltatus,S,2.6,172.4,0.066,9,0.1
14,Mungo NP 4,Salsola kali,S,2.2,7.8,0.004,1.1,0.25
14,Mungo NP 4,Sclerolaena obliquicuspis,S,3.4,4.7,0.001,1.2,0.25
14,Mungo NP 4,Solanum coactiliferum,S,7.7,74.4,0.01,4.6,0.25
14,Mungo NP 4,Stipa sp,G,3.6,35.5,0.01,0.8,0.3
14,Mungo NP 4,Vittadinia sp,H,9.4,13.9,0.001,2.7,0.15
14,Mungo NP 4,Zygophyllum glaucum,H,7.1,220.6,0.031,14,0.3
14,Mungo NP 4,Zygophyllum sp,H,3.7,5.8,0.002,1,0.25
15,Mungo NP 3,Alectryon oleifolius,T,4.4,563.9,0.128,8.8,4
15,Mungo NP 3,Casuarina cristata,T,1.5,37.4,0.025,1.3,5
15,Mungo NP 3,Chamaesyce drummondii,H,11.4,4.8,0,2,0.01
15,Mungo NP 3,Enchylaena tomentosa,S,4.2,8.5,0.002,1,0.5
15,Mungo NP 3,Goodenia sp,H,7.1,152.9,0.021,6.8,0.01
15,Mungo NP 3,Lysiana exocarpi,,2.5,165.8,0.067,3.4,2
15,Mungo NP 3,Maireana pyramidata,S,1.8,2,0.001,1,1.2
15,Mungo NP 3,Myoporum platycarpum,T,4.4,262.8,0.06,6.2,8
15,Mungo NP 3,Sclerolaena obliquicuspis,S,4.2,8,0.002,1.2,0.24
15,Mungo NP 3,Sclerolaena patenticuspis,S,8.4,4.9,0.001,1.1,0.25
15,Mungo NP 3,Stipa sp,G,3.9,41.4,0.011,0.8,0.3
16,Dolo Hills,Acacia aneura,T,2.2,160.4,0.071,3.9,5
16,Dolo Hills,Acacia brachystachya,T,1.9,180.7,0.095,1.8,1
16,Dolo Hills,Acacia tetragonophylla,T,3.2,14.5,0.005,0.9,3.5
16,Dolo Hills,Alectryon oleifolius,T,3.8,176.1,0.047,4.8,3.5
16,Dolo Hills,Casuarina pauper,T,1.7,122.9,0.074,1.5,5
16,Dolo Hills,Enchylaena tomentosa,S,6.1,12.5,0.002,1.2,1
16,Dolo Hills,Eriostemon linearis,S,2.5,7.3,0.003,0.8,1
16,Dolo Hills,Maireana sedifolia,S,5,5.3,0.001,1.7,1.3
16,Dolo Hills,Ptilotus obovatus,S,8.1,33.5,0.004,5.5,0.4
16,Dolo Hills,Rhagodia ulicina,S,9.9,19.7,0.002,4.1,1
16,Dolo Hills,Sclerolaena divaricata,S,5.3,18.2,0.003,1.4,0.2
16,Dolo Hills,Sclerolaena patenticuspis,S,3.8,8.6,0.002,1.3,0.2
16,Dolo Hills,Senna artemisioides artemisioides,S,2.6,12.7,0.005,0.7,1
16,Dolo Hills,Solanum ellipticum,S,5.5,498.2,0.09,16.5,0.2
16,Dolo Hills,Solanum esuriale,S,4.7,140.1,0.03,6.1,0.4
16,Dolo Hills,unk16_18 sp,,5.1,91.9,0.018,7.8,1.4
16,Dolo Hills,unk16_19 sp,,9,45.9,0.005,0.5,0.2
16,Dolo Hills,unk16_4 sp,,4.7,24.1,0.005,3,1
17,Little Topar,Atriplex vesicaria,S,6.7,70.3,0.011,6.9,0.5
17,Little Topar,Chloris pectinata,G,12.5,53.7,0.004,1.1,0.1
17,Little Topar,Digitaria sp,G,14.3,149.5,0.01,2.8,0.3
17,Little Topar,Dissocarpus paradoxa,H,14.8,9.1,0.001,1.4,0.3
17,Little Topar,Enneapogon polyphyllus,G,6.9,43,0.006,0.7,0.2
17,Little Topar,Portulaca oleracea,H,38.2,13.7,0,2.6,0.1
17,Little Topar,Rhagodia spinescens,S,8.9,8.4,0.001,2.6,0.6
17,Little Topar,Salsola kali,S,6,12.7,0.002,0.8,0.3
17,Little Topar,Sclerolaena decurrens,S,11.6,14.2,0.001,1.4,0.3
17,Little Topar,Sclerolaena divaricata,S,7.9,11.3,0.001,1.3,0.2
17,Little Topar,Sclerolaena patenticuspis,S,13.8,8.6,0.001,0.9,0.2
17,Little Topar,Sclerolaena sp,S,6.1,10.5,0.002,1.5,0.4
17,Little Topar,Sida corrugata,H,7.6,75.1,0.01,5.6,0.2
17,Little Topar,Solanum esuriale,S,8.3,350.2,0.042,10.8,0.2
17,Little Topar,unk17_13 sp,,5.5,47.5,0.009,0.6,0.3
17,Little Topar,unk17_4 sp,,13.4,54.5,0.004,2.2,0.1
18,Acacia Creek,Astrebla lappacea,G,10.8,155.1,0.014,3.1,0.4
18,Acacia Creek,Eragrostis sp,G,5.7,43.5,0.008,0.5,0.25
18,Acacia Creek,Euphorbia stevenii,H,20.2,33.6,0.002,3,0.2
18,Acacia Creek,Maireana sp,S,7.7,8.9,0.001,1.4,0.4
18,Acacia Creek,Salsola kali,S,6.5,12.7,0.002,1.1,0.3
18,Acacia Creek,Sclerochlamys brachyptera,,9.1,13,0.001,1.6,0.05
18,Acacia Creek,Sclerolaena diacantha,S,5.8,16.8,0.003,1.2,0.2
18,Acacia Creek,Sclerolaena divaricata,S,8.5,9.2,0.001,1.3,0.2
18,Acacia Creek,Sida corrugata,H,10.3,56.2,0.005,5.8,0.3
18,Acacia Creek,Vittadinia triloba,,11.2,12.7,0.001,0.9,0.3
19,Netallie Hill,Acacia aneura,T,2.3,182,0.081,3.6,4.5
19,Netallie Hill,Acacia tetragonophylla,T,2.7,16.2,0.006,0.7,2.5
19,Netallie Hill,Atriplex stipitata,S,9.2,10.1,0.001,1.9,0.3
19,Netallie Hill,Citrullus colocynthis,V,3.9,336.8,0.087,7.3,0.3
19,Netallie Hill,Dodonaea viscosa,S,4.3,31.6,0.007,1.3,1.5
19,Netallie Hill,Maireana pyramidata,S,3.7,3.4,0.001,1.1,0.7
19,Netallie Hill,Maireana sp,S,4.8,13.2,0.003,1.2,0.3
19,Netallie Hill,Sclerolaena divaricata,S,3.5,7.2,0.002,0.9,0.2
19,Netallie Hill,Sclerolaena sp,S,8.2,4.3,0.001,0.8,0.5
19,Netallie Hill,Solanum ellipticum,S,3.4,405.8,0.121,15.2,0.3
2,Bola Creek,Acmena smithii,T,13.3,2082.4,0.157,41.1,12
2,Bola Creek,Cassine australis,S,9.9,2751,0.277,46.3,2
2,Bola Creek,Ceratopetalum apetalum,T,10.8,3889.3,0.359,42.1,25
2,Bola Creek,Citriobatus pauciflorus,S,15.9,46,0.003,7,0.5
2,Bola Creek,Cryptocarya glaucescens,S,10.7,3186.7,0.297,41,4
2,Bola Creek,Diospyros australis,S,6.6,1969.9,0.3,32.4,4
2,Bola Creek,Eustrephus latifolius,V,34.2,444.7,0.013,13,
2,Bola Creek,Flagellaria indica,V,14.5,1611.9,0.111,9.6,
2,Bola Creek,Trophis scandens,,5.7,2333.9,0.413,47,
2,Bola Creek,Marsdenia flavescens,V,37.6,1247.5,0.033,27,
2,Bola Creek,Morinda jasminoides,V,23.6,1037.7,0.044,26,
2,Bola Creek,Palmeria scandens,,23.8,4989.1,0.21,58.1,
2,Bola Creek,Parsonsia straminea,V,30,683,0.023,17.5,
2,Bola Creek,Polyosma cunninghamii,S,15.2,2076.1,0.137,34.1,9
2,Bola Creek,Rapanea variabilis,,8.9,1940.5,0.217,34.4,8
2,Bola Creek,Tasmannia insipida,S,12.1,3034.4,0.25,33.4,2.5
2,Bola Creek,unk2_1 sp,,11.4,2249.4,0.197,38.6,1.5
2,Bola Creek,Wilkiea huegeliana,S,9.3,4211.9,0.454,47.9,0.75
20,Purnawilla,Acacia aneura,T,3.7,157.8,0.043,3.8,3.5
20,Purnawilla,Aristida sp,G,4.8,53.8,0.011,0.5,0.5
20,Purnawilla,Atriplex stipitata,S,7.4,24.4,0.003,3.1,0.6
20,Purnawilla,Dodonaea attenuata,S,4.2,19.3,0.005,0.9,3
20,Purnawilla,Maireana pentatropis,S,4.5,14.9,0.003,1.3,0.9
20,Purnawilla,Maireana pyramidata,S,3.6,3.8,0.001,1.2,0.8
20,Purnawilla,Pimelea microcephala,S,10.7,15.4,0.001,1.2,0.7
20,Purnawilla,Portulaca oleracea,H,15.6,53,0.003,5.5,0.1
20,Purnawilla,Salsola kali,S,8.8,17,0.002,1.6,0.7
20,Purnawilla,Sclerochlamys brachyptera,,5.5,3.9,0.001,0.6,0.3
20,Purnawilla,Sclerolaena divaricata,S,5.5,9.6,0.002,1.2,1
20,Purnawilla,Solanum esuriale,S,5.7,165.7,0.029,8.2,0.1
21,Hermidale,Acacia decora,S,5.8,102.7,0.018,4.5,2.5
21,Hermidale,Callitris glaucophylla,T,3.8,16.6,0.004,0.6,12
21,Hermidale,Dodonaea viscosa,S,5.9,119,0.02,6.2,2.5
21,Hermidale,Eremophila glabra,S,6.3,74.5,0.012,3.6,3.5
21,Hermidale,Eremophila longifolia,S,4,227.8,0.057,3.9,3
21,Hermidale,Eucalyptus intertexta,T,5.5,642.1,0.117,11.5,15
21,Hermidale,Eucalyptus populnea,T,5.9,1370.6,0.233,27.8,13
21,Hermidale,Geijera parviflora,T,4.5,808,0.179,7.8,2.5
21,Hermidale,Maireana microphylla,S,10,1.1,0,0.3,0.6
21,Hermidale,Myoporum montanum,S,5.7,192.1,0.034,6.6,1.5
21,Hermidale,Poaceae sp,G,13.8,92.2,0.007,1.8,0.3
21,Hermidale,Ptilotus obovatus,S,5.7,24.2,0.004,4,1
21,Hermidale,Sclerolaena birchii,S,6,14.1,0.002,2.8,0.9
22,Cumberland,Acacia floribunda,S,7.2,456.2,0.063,3.4,10
22,Cumberland,Acacia irrorata,T,19.2,5.4,0,1.4,12
22,Cumberland,Angophora costata,T,5.3,2132.5,0.403,26.5,30
22,Cumberland,Breynia oblongifolia,S,14,254.5,0.018,12.9,1.2
22,Cumberland,Eucalyptus paniculata,T,11.2,3194.4,0.284,44.6,30
22,Cumberland,Eucalyptus saligna,T,9.2,2517,0.274,36.6,30
22,Cumberland,Eustrephus latifolius,V,18.3,1012.4,0.055,20.2,3
22,Cumberland,Glochidion ferdinandi,F,11.9,1840.2,0.155,34.3,4
22,Cumberland,Leucopogon juniperinus,S,14.5,8.4,0.001,1.3,1
22,Cumberland,Ligustrum lucidum,,12,2795.1,0.233,44.4,4.5
22,Cumberland,Lomandra longifolia,G,7,8380.9,1.196,11.3,0.7
22,Cumberland,Maytenus silvestris,,9.5,240.6,0.025,6.6,1
22,Cumberland,Morinda jasminoides,V,15.6,984.3,0.063,26.2,2
22,Cumberland,Notelaea microcarpa,,8.2,1884.4,0.231,26.5,3
22,Cumberland,Ochna serrulata,S,19.2,1005.5,0.052,19.2,3
22,Cumberland,Pandorea pandorana,V,18.6,655,0.035,18.8,1
22,Cumberland,Pittosporum undulatum,T,9.6,1967,0.205,31.7,12
22,Cumberland,Rubus parvifolius,S,24.5,522.6,0.021,20.9,1
22,Cumberland,Solanum pungetium,,30.8,1396.5,0.045,27.2,1.5
22,Cumberland,Tylophora barbata,V,20.6,409.8,0.02,19.6,2
22,Cumberland,Viola hederacea,H,28.5,971.9,0.034,24.5,0.3
22,Cumberland,Zieria smithii,S,3.1,48,0.015,3.3,0.5
23,Cobar,Acacia aneura,T,2.5,121.6,0.048,4.1,4
23,Cobar,Acacia brachystachya,T,2.2,79,0.036,1.8,3.5
23,Cobar,Atriplex stipitata,S,7,13.8,0.002,2.3,0.5
23,Cobar,Cheilanthes tenuifolia,F,7.9,231.1,0.029,10,0.25
23,Cobar,Geijera parviflora,T,5,670.5,0.135,6.4,2.5
23,Cobar,Maireana pyramidata,S,3.4,4.5,0.001,0.9,4
23,Cobar,Myoporum deserti,S,4.3,122.3,0.029,4,1.5
23,Cobar,Rhagodia spinescens,S,8.2,4.5,0.001,1.7,0.7
23,Cobar,Scaevola spinescens,H,5,15.5,0.003,1.7,0.2
23,Cobar,Sclerolaena bicornis,S,4,8.1,0.002,0.9,0.2
23,Cobar,Senna artemisioides artemisioides,S,3.1,12.4,0.004,0.8,1.5
24,Nyngan,Apophyllum anomalum,T,1,192.6,0.185,1.4,3.5
24,Nyngan,Atriplex leptocarpa,S,8.7,18,0.002,3.4,0.5
24,Nyngan,Atriplex stipitata,S,9.5,26.6,0.003,3.8,1.2
24,Nyngan,Eremophila mitchellii,S,7,77.3,0.011,3,3
24,Nyngan,Flindersia maculosa,T,5.1,93,0.018,5.4,6
24,Nyngan,Geijera parviflora,T,4.5,302.9,0.067,5.1,3.5
24,Nyngan,Maireana decalvans,S,4.4,5.9,0.001,0.8,0.5
24,Nyngan,Rhagodia spinescens,S,6.2,11,0.002,2.8,1.2
24,Nyngan,Salsola kali,S,3.4,3.8,0.001,0.7,0.7
24,Nyngan,Sclerolaena tricuspis,S,3.1,7.9,0.003,0.9,0.9
25,Kalyanka Creek,Alternanthera nana,H,12.6,20.4,0.002,2.8,0.13
25,Kalyanka Creek,Chenopodium nitrariaceum,S,4.8,27.1,0.006,2.5,1.6
25,Kalyanka Creek,Heliotropium sp,,11.6,42.3,0.004,2.5,0.05
25,Kalyanka Creek,Marsilea sp,F,11.1,5.9,0.001,1.9,0.1
25,Kalyanka Creek,Muehlenbeckia florulenta,S,9.2,181.1,0.02,6.2,1.6
25,Kalyanka Creek,Sclerolaena divaricata,S,6.3,12.3,0.002,1.4,0.35
25,Kalyanka Creek,Solanum lacunarium,S,8.2,77.3,0.009,3.3,0.1
25,Kalyanka Creek,Teucrium racemosum,H,12.7,13,0.001,1.8,0.3
25,Kalyanka Creek,unk25_1 sp,,15.6,35.5,0.002,1.4,0.3
25,Kalyanka Creek,unk25_10 sp,,14.6,45.4,0.003,1.5,0.45
25,Kalyanka Creek,unk25_6 sp,,12.2,16.3,0.001,1.4,0.45
25,Kalyanka Creek,unk25_9 sp,,14,37,0.003,1.3,0.25
26,Trangie,Abutilon fraseri,S,8.2,395.2,0.048,18.8,0.3
26,Trangie,Abutilon otocarpum,S,9.6,401.4,0.042,19.1,0.3
26,Trangie,Atriplex acutiloba,S,8.9,21.5,0.002,3.6,0.25
26,Trangie,Atriplex vesicaria,S,8.1,5.8,0.001,1.9,0.2
26,Trangie,Callitris glaucophylla,T,3.6,17.9,0.005,0.7,13
26,Trangie,Einadia nutans,S,10.4,24.9,0.002,2.8,0.1
26,Trangie,Eremophila sturtii,S,6.1,71.2,0.012,3.2,4
26,Trangie,Eucalyptus populnea,T,5.9,1370.6,0.233,27.8,12
26,Trangie,Eucalyptus sp,T,5.2,595.4,0.114,11.5,10
26,Trangie,Geijera parviflora,T,4.9,532.6,0.109,6.3,5
26,Trangie,Alectryon oleifolium,T,4.8,468.8,0.097,8.7,4
26,Trangie,Maireana brevifolia,S,7.2,1.5,0,0.4,0.7
26,Trangie,Parsonsia eucalyptophylla,V,6.4,856.9,0.134,11.2,4
26,Trangie,Salsola kali,S,3.9,3.2,0.001,0.5,0.2
26,Trangie,Sclerolaena birchii,S,7.1,15.2,0.002,2.6,0.8
26,Trangie,Sclerolaena muricata,S,6.7,9,0.001,1.4,0.5
26,Trangie,Sclerolaena obliquicuspis,S,4.6,11.8,0.003,0.9,0.1
26,Trangie,Sida rhombifolia,H,9.9,126.1,0.013,6.2,0.35
26,Trangie,Stipa sp,G,7.2,36.4,0.005,0.5,0.25
26,Trangie,unk26_3 sp,,6.4,110,0.017,4.1,1.5
28,Emmdale,Alectryon oleifolius,T,6.1,190.9,0.031,4.6,6
