name_original,seed_mass (mg),growth_form,dispersal_syndrome,shade_tolerance,metadata_id,primary_source
Melicope broadbentiana,27,ST,,light_demander,,
Melicope vitiflora,19,TT,,shade_tolerator,,
Beilschmiedia brunnea,750,TT,,shade_tolerator,,
Beilschmiedia recurva,1400,TT,,shade_tolerator,,
Beilschmiedia tooram,5800,TT,,shade_tolerator,,
Beilschmiedia volckii,24000,TT,,shade_tolerator,,
Cryptocarya onoprienkoana,930,TT,,shade_tolerator,,
Cryptocarya angulata,1600,TT,,shade_tolerator,,
Cryptocarya pleurosperma,2400,TT,,shade_tolerator,,
Cryptocarya oblata,7700,TT,,shade_tolerator,,
Cryptocarya pleurosperma,11000,TT,,shade_tolerator,,
Endiandra bessaphila,1100,TT,,shade_tolerator,,
Endiandra monothyra,1900,TT,,shade_tolerator,,
Endiandra sankeyana,7000,TT,,shade_tolerator,,
Endiandra insignis,18000,TT,,shade_tolerator,,
Endiandra palmerstonii,28000,TT,,shade_tolerator,,
Piper rothianum,1.2,TT,,shade_tolerator,,
Piper caninum,33,TT,,shade_tolerator,,
Syzygium wilsonii subsp. cryptophlebium,61,TT,,shade_tolerator,,
Syzygium papyraceum,550,TT,,shade_tolerator,,
Syzygium dansei,870,TT,,shade_tolerator,,
Syzygium cormiflorum,7300,TT,,shade_tolerator,,
Syzygium kuranda,14000,TT,,shade_tolerator,,
Syzygium guastavioides,48000,TT,,shade_tolerator,,
Goniothalamus australis,640,TT,,shade_tolerator,,
Polyalthia michaelii,7000,TT,,shade_tolerator,,
Alocasia brisbanensis,10,H,,shade_tolerator,,
Gymnostachys anceps,130,H,,shade_tolerator,,
Rhaphidophora australasica,0.18,TV,,shade_tolerator,,
Pothos longipes,140,TV,,shade_tolerator,,
Geissois biagiana,0.32,TT,,shade_tolerator,,
Gillbeea adenopetala,3.2,TT,,shade_tolerator,,
Schizomeria whitei,21,TT,,shade_tolerator,,
Abrophyllum ornans,0.049,ST,,shade_tolerator,,
Polyosma rhytidiphloia,62,ST,,shade_tolerator,,
Streblus brunonianus,19,ST,,shade_tolerator,,
Mischocarpus lachnocarpus,40,ST,,shade_tolerator,,
Guioa lasioneura,49,ST,,shade_tolerator,,
Synima macrophylla,280,ST,,shade_tolerator,,
Rhysotoechia robertsonii,320,ST,,shade_tolerator,,
Diploglottis bracteata,4300,ST,,shade_tolerator,,
Diploglottis diphyllostegia,87,TT,,shade_tolerator,,
Castanospora alphandii,2000,TT,,shade_tolerator,,
Planchonella obovoidea,420,TT,,shade_tolerator,,
Pouteria castanosperma,5200,TT,,shade_tolerator,,
Niemeyera prunifera,8800,TT,,shade_tolerator,,
