site,name_edited,leaf_type(B/N),evergreen/deciduous(E/D),photosynthetic_pathway,plant_growth_form,GrowthForm2 (woody/herbaceuous),N-fixer (Y/N),delta_13C,collector,latitude,longitude,vegetation,MAP (mm),date,name_original,rep,age,lab_or_tree_number,notes,NRA pkat/g fw wo NO3,NRA pkat/g fw w NO3,family
Gambubal,Cissus hypoglauca,B,E,C3,V,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Duboisia myoporoides,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Elaeocarpus angustifolius,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Eucalyptus campanulata,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Eucalyptus saligna,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Geijera salicifolia,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Geranium solanderi,B,E,C3,H,H,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Gmelina leichhardtii,B,Semi-D,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Khaya nyasica,B,E ?,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Lomatia arborescens,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Morinda jasminoides,B,E,C3,V,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Orites excelsus,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Palmeria scandens,B,E,C3,V,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Pandorea jasminoides ?,B,E,C3,V,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Pennantia cunninghamii,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Pittosporum lancifolium,B,E,C3,S,W,N,-31.77,Brett Kuskopf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Rubus moluccanus,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Rubus rosifolius,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Sloanea woollsii,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Toona ciliata,B,D,C3,T,W,N,-28.52,Brett Kuskopf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Acacia aneura,B,E,C3,S,W,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Acacia catenulata,B,E,C3,T,W,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Acacia harpophylla,B,E,C3,T,W,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Alectryon oleifolius,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Amyema maidenii,B,E,C3,O (mistletoe),W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Amyema quandang,B,E,C3,O (mistletoe),W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Apophyllum anomalum,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Archidendropsis basaltica,B,E,C3,T,W,Y?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Atalaya hemiglauca,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Atriplex lindleyi subsp. conduplicata,B,E,C4,H,H,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Capparis lasiantha,B,E,C3,V,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Capparis mitchellii,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Carissa ovata,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Enchylaena tomentosa,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eremophila deserti,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eremophila maculata,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eremophila oppositifolia,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eremophila sp.1,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eremophila sp.2,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eucalyptus brownii,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eucalyptus cambageana,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eucalyptus melanophloia,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eucalyptus populnea,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Eucalyptus thozetiana,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Flindersia maculosa,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Geijera parviflora,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Grevillea striata,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Lysiana exocarpi,B,E,C3,O (mistletoe),W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Lysiphyllum gilvum,B,E?,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Maireana georgei,B,E,?,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Maireana tomentosa ?,B,E,?,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Neobassia proceriflora,B,E,?,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Owenia acidula,B,E?,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Parsonsia sp.,B,E,C3,V,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Phebalium glandulosum,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Pterocaulon sphacelatum,B,E,C3,H,H,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Santalum lanceolatum,B,E,C3,"S or T (root parasite, at least early on in life)",W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Senna artemisioides subsp. artemisioides,B,E,C3,S,W,N,-25.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Senna artemisioides subsp. coriacea,B,E,C3,S,W,N,-25.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Senna artemisioides subsp. oligophylla,B,E,C3,S,W,N,-25.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Senna artemisioides subsp. petiolaris,B,E,C3,S,W,N,-26.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Senna artemisioides subsp. zygophylla,B,E,C3,S,W,N,-25.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idalia,Solanum quadriloculatum,B,E,C3,S,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Acacia lamprocarpa,B,E,C3,S or T,W,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Alphitonia excelsa,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Callistemon salignus,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Casuarina glauca,B,E,C3,T,W,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Cryptocarya erythroxylon,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Cupaniopsis anacardioides,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Drypetes deplanchei,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Elaeocarpus obovatus,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Eucalyptus robusta,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Glochidion sumatranum,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Lophostemon confertus,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Melaleuca quinquenervia,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loganholme,Pittosporum undulatum,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Adianthum formosum,NA,NA,NA,fern,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Adianthum formosum,NA,NA,768,NA,0,16,NA
Gambubal,Cissus antarctica,NA,NA,NA,climber,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Cissus antarctica,NA,NA,775,NA,4,45,NA
Gambubal,Cynoglossum latifolium,NA,NA,NA,perennial herb,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Cynoglossum latifolium,NA,sapling,15,NA,1,78,NA
Gambubal,Gallium migrans,NA,NA,NA,herb,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Gallium migrans,NA,sapling,16,NA,8,196,NA
Gambubal,Geranium solandre,NA,NA,NA,herb,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solandre,NA,sapling,17,NA,6,17,NA
Gambubal,Hibbertia scandens,NA,NA,NA,herb,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Hibbertia scandens,NA,NA,670,NA,11,20,NA
Gambubal,Hydrocotyle pedicellosa,NA,NA,NA,herb,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Hydrocotyle pedicellosa,NA,NA,777,NA,11,14,NA
Gambubal,Hydrocotyle peduncularis,NA,NA,NA,herb,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Hydrocotyle peduncularis,NA,NA,778,NA,1,117,NA
Gambubal,Palmeria scandens,NA,NA,NA,shrub,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Palmeria scandens,NA,NA,780,NA,1,16,NA
Gambubal,Pimelea ligustrina,NA,NA,NA,shrub,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Pimelea ligustrina,NA,NA,672,NA,0,37,NA
Gambubal,Polyscias elegans,NA,NA,NA,tree,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Polyscias elegans,NA,NA,671,NA,4,61,NA
Gambubal,Rubus moluccanus,NA,NA,NA,shrub,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus moluccanus,NA,NA,783,NA,6,38,NA
Gambubal,Sloanea woolsii,NA,NA,NA,seedling,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woolsii,NA,NA,761,NA,0,40,NA
Gambubal,Sloanea woolsii,NA,NA,NA,seedling,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woolsii,NA,NA,779,NA,4,11,NA
Gambubal,Tasmania insipida,NA,NA,NA,shrub,NA,NA,NA,NA,-28.03,152.83,Subtropical forest,1199,early 1993,Tasmania insipida,NA,NA,668,NA,9,9,NA
Gambubal,Acacia falcata,NA,NA,NA,NA,NA,NA,-31.3,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acacia falcata,1,NA,769,NA,NA,NA,NA
Gambubal,Acacia melanoxylon,NA,NA,NA,NA,NA,NA,-29.8,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acacia melanoxylon,1,NA,774,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-33.11,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,1,NA,673,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-30.76,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,1,NA,669,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-28.27,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,1,NA,784,NA,NA,NA,NA
Gambubal,Acmena ingens,NA,NA,NA,NA,NA,NA,-28.67,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena ingens,1,NA,776,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-29.02,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,1,sapling,12,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-27.67,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,1,sapling,14,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-31,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,1,NA,675,NA,NA,NA,NA
Gambubal,Argyrodendron trifoliatum,NA,NA,NA,NA,NA,NA,-31.78,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Argyrodendron trifoliatum,1,intermed,Sus 92 4,NA,NA,NA,NA
Gambubal,Baloghia inophylla,NA,NA,NA,NA,NA,NA,-30.63,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Baloghia lucida,1,intermed,2,NA,NA,NA,NA
Gambubal,Cedrela aclerata,NA,NA,NA,NA,NA,NA,-28.54,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Cedrela aclerata,1,low,3,NA,NA,NA,NA
Gambubal,Citriobatus lancifolius,NA,NA,NA,NA,NA,NA,-31.8,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Citriobatus lancifolius,1,sapling,6,NA,NA,NA,NA
Gambubal,Dubosia myoporoides,NA,NA,NA,vine,NA,NA,-29.48,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Dubosia myoporoides,1,NA,767,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Elaeocarpus angustifolius,NA,NA,NA,vine,NA,NA,-28.5,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Elaeocarpus grandis,1,NA,762,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Eucalyptus campanulata,NA,NA,NA,NA,NA,NA,-31.55,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Eucalyptus campanulata,1,NA,674,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Eucalyptus saligna,NA,NA,NA,vine,NA,NA,-28.98,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Eucalyptus saligna,1,NA,781,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Geijera salicifolia,NA,NA,NA,NA,NA,NA,-33,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geijera salicifolia,1,NA,764,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Gmelina leichhardii,NA,NA,NA,shrub,NA,NA,-27.52,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Gmelina leichhardii,1,NA,765,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Khaya nyastica,NA,NA,NA,NA,NA,NA,-28.52,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Khaya nyastica,1,NA,766,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Lomatia arborescens,NA,NA,NA,NA,NA,NA,-28.72,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Lomatia arborescens,1,NA,770,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Orites excelsus,NA,NA,NA,NA,NA,NA,-31.71,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Orytes excelsa,1,NA,771,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Orites excelsus,NA,NA,NA,NA,NA,NA,-29.85,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Orytes excelsa,1,NA,772,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Pennatia cunninghamii,NA,NA,NA,NA,NA,NA,-33.96,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Pennatia cunninghamii,1,NA,773,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-27.23,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,1,NA,782,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-27.31,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,1,NA,768,NA,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-30.17,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,1,NA,775,NA,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-31.29,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,1,sapling,15,NA,NA,NA,NA
Gambubal,Palmeria scandens,NA,NA,NA,NA,NA,NA,-31.3,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Palmeria scandens,1,sapling,16,NA,NA,NA,NA
Gambubal,Morinda jasminoides,NA,NA,NA,NA,NA,NA,-31.99,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Merinda jasminoides,1,sapling,17,NA,NA,NA,NA
Gambubal,Morinda jasminoides,NA,NA,NA,NA,NA,NA,-31.45,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Merinda jasminoides,1,NA,670,NA,NA,NA,NA
Gambubal,Cissus hypoglauca,NA,NA,NA,NA,NA,NA,-28.26,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Cissus hypoglauca,1,NA,777,NA,NA,NA,NA
Gambubal,Pandorea jasminoides ?,NA,NA,NA,NA,NA,NA,-31.3,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Pimelea? jasminoides,1,NA,778,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-32.4,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,1,NA,780,NA,NA,NA,NA
Gambubal,Rubus rosifolius,NA,NA,NA,NA,NA,NA,-33.05,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus rosifolius,1,NA,672,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-26.25,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,1,NA,671,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-27.34,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,1,NA,783,NA,NA,NA,NA
Gambubal,Geranium solanderi,NA,NA,NA,NA,NA,NA,-30.93,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solanderi,1,NA,761,NA,NA,NA,NA
Gambubal,Geranium solanderi,NA,NA,NA,NA,NA,NA,-30.2,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solanderi,1,NA,779,NA,NA,NA,NA
Gambubal,Khaya nyastica,NA,NA,NA,NA,NA,NA,-25.83,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Khaya nyastica,1,NA,668,NA,NA,NA,NA
Gambubal,Acacia falcata,NA,NA,NA,NA,NA,NA,-31.31,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acacia falcata,2,NA,769,NA,NA,NA,NA
Gambubal,Acacia melanoxylon,NA,NA,NA,NA,NA,NA,-29.89,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acacia melanoxylon,2,NA,774,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-33.18,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,2,NA,673,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-30.78,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,2,NA,669,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-28.22,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,2,NA,784,NA,NA,NA,NA
Gambubal,Acmena ingens,NA,NA,NA,NA,NA,NA,-28.51,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena ingens,2,NA,776,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-28.98,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,2,sapling,12,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-27.73,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,2,sapling,14,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-30.97,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,2,NA,675,NA,NA,NA,NA
