genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,authors
Acacia,Acacia acinacea,"small, straggly, often spindly and rather loosely-branched shrubs to 1.5 m high with short thin stems that divide into rather long slender etching branches;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spindly,spindly,woody,NA,"Citation: Lindley in T. L. Mitchell, Three Exped. Australia, edn. 1, 2: 265 (1836)."
Acacia,Acacia alcockii,"bushy shrub or small tree to 3 m often suckering,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy,bushy,woody,NA,"Citation: B. R. Maslin & D. J. E. Whibley, Nuytsia 6:19-23 (1987)."
Acacia,Acacia anceps,"erect, rigid, glabrous, spreading shrubs 1-3 m high, the same or more across, branching from the ground;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Citation: A. P. de Candolle, Prodr. 2:451 (1825), Mem. Leg. 446 (1826-1827),"
Acacia,Acacia ancistrophylla,"shrubs 1-2m tall, spreading 5m with angled branchlets.",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,Citation: C. R. P. Andrews var. lissophylla (J. Black)Cowan & Maslin (in press).
Acacia,Acacia sclerophylla,"low, muchbranched, spreading shrubs 1-2 m high, often much wider than high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: J. Lindley in Mitch., Three Exped. E. Aust. 2:138 (1838)."
Acacia,Acacia aneura,"woody shrub or small tree to 10 m tall, bark dark grey, rough or flaky, stems often resinous;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: B. Randell, J. Adelaide Bot. Gard. 14:122 (1992)."
Acacia,Acacia araneosa,"small, erect, wispy trees 3-8 m high, cobwebby in appearance;",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,erect,erect,woody,NA,"Citation: D. J. E. Whibley, Contrib. Herb. Aust. 14:1(1976)."
Acacia,Acacia argyrophylla,"tall, erect, compact, spreading shrubs 2-3 m high often the same or more across.",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading compact,erect spreading compact,woody,NA,"Citation: W. J. Hooker, Curtis's Bot. Mag. 74:t.4384 (1848)."
Acacia,Acacia brachybotrya,"compact, dense, rounded, spreading, grey-green shrubs 1-3 m high and often the same or more across;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading dense compact,spreading dense compact,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. 1: 347 (1842)."
Acacia,Acacia ayersiana,woody shrub or tree 2-10 m tall;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: J. R. Maconochie, J. Adelaide Bot. Gard. 1:182(1978)."
Acacia,Acacia baileyana,"shrubs or small trees to 6 m high with a silvery-blue foliage,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: F. Mueller, Trans. Proc. R. Soc. Vic. 24:168 (1888)."
Acacia,Acacia barattensis,"erect, somewhat diffuse, spreading, viscid, aromatic shrubs 2-3 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Citation: J. M. Black, Trans. R. Soc. S.Aust. 56:42 t.1 (1932)."
Acacia,Acacia basedowii,"small, divaricate spreading shrubs 0.5-1 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: J. H. Maiden, J. Proc. R.Soc. N.S.W. 53:197 t. 13 (1920)."
Acacia,Acacia beckleri,"straggly or erect, compact, bushy shrubs 1-3 m high, often with a spread greater than its height, branching near ground level;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect compact bushy,erect compact bushy,woody,NA,"Citation: M.D. Tindale, in Hj. Eichler, Suppl. J. M. Black, FI.S.Aust. 173 (1965)."
Acacia,Acacia cibaria,"woody shrub or small tree to 6 m high, bark grey, finely fissured;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: F. Mueller, Melbourne Chemist & Druggist Australasian Suppl. 5(51)26 (1882)."
Acacia,Acacia burkittii,"tall, glabrous shrubs 1-4 m high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: G. Bentham, Fl. Aust. 2:400 (1864)."
Acacia,Acacia calamifolia,"tall, erect, glabrous, rounded, bushy shrubs 2-4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect bushy,erect bushy,woody,NA,"Citation: J. Lindley, Edward's Bot. Reg. 10:t.839 (1824)."
Acacia,Acacia microcarpa,"small, diffuse, rounded, bushy shrubs 1-3 m high with spreading branches often the same as height or more across,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Citation: F. Mueller, Fragm.Phyt.Aust. 1:6 (1858)"
Acacia,Acacia calcicola,"rounded shrubs or small, straggly trees 3-5 m high, often as many as six main stems branching from the base and developing a spreading, bushy canopy, often wider than high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,NA
Acacia,Acacia coriacea,tall shrubs or small  trees to 7 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: A. P. de Candolle, Prodr. 2:451 (1825)."
Acacia,Acacia cambagei,"small or medium sized, spreading trees 5-8m high, often dividing into a few main stems at ground level or with a single trunk and a bushy canopy;",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Citation: R. T. Baker, Proc. Linn. Soc. N.S.W. 25:661 t.42(1900)."
Acacia,Acacia carnei,"tall, rigid, dark green, straggly, spreading, prickly (due to the pungentphyllodes) shrubs or small trees with a single main trunk or branching into a few main stems at ground level and developing a dense crown with intricate branches;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 49:470 (1916)."
Acacia,Acacia colletioides,"dense, muchbranched, rigid, prickly, almost glabrous, rounded, spreading shrubs 2-4 m high, often spreading more than its height;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:336 (1842)."
Acacia,Acacia nyssophylla,"rigid, prickly, rounded, intricately branched shrubs 2-3 m high and often spreading the same or more across;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: F. Mueller, Pl. lndig. Colon. Vic. 2:9 (1863)."
Acacia,Acacia confluens,"medium-sized, glabrous shrubs 2-3 m high, usually dividing into a number of obliquely ascending stems from near the base and forming a quite dense umbr spreading canopy;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,decumbent spreading dense,ascending spreading dense,woody,NA,"Citation: J. H. Maiden & W. F. Blakely, J. Proc. R. Soc. N.S.W. 60:183 t.16 (1927)."
Acacia,Acacia cretacea,"spindly often single stemmed shrub or small tree 3.5-4m tall, crown open, straggly, rarely bushy, branchlets terete to prominently angular towards their apices, glabrous conspicuously pruinose.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy spindly open,bushy spindly open,woody,NA,"Citation: B. R. Maslin & D. J. E. Whibley, Nuytsia 6:27-30 (1987)."
Acacia,Acacia cupularis,"rounded shrubs to 2 m x 2 m, glabrous, older stems grey smooth branchlets mostly dark red-brown often slightly pruinose.",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: K. Domin, Vestn. Kral. Ceske Spolecn. Nauk Tr. Mat.-Prir. 2:45 (1923)"
Acacia,Acacia ligulata,"bushy, spreading, more or less rounded, compact shrubs 1-5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading compact bushy,spreading compact bushy,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. l :362 (1842)"
Acacia,Acacia ligulata,"descriptions and illustrations of the life cycles of the cossid moths, whose larvae provide witchetty grubs, is given by tindale (1953).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. l :362 (1842)"
Acacia,Acacia salicina,tall shrubs or small trees 3-6 m high with distinctive long drooping branchlets and pendulous blue-green phyllodes;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: J. Lindley in Mitch., Three Exped. E. Aust. 2:20 (1838)."
Acacia,Acacia saligna,"dense, bushy shrubs or small trees 3-8 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,dense bushy,dense bushy,woody,NA,"Citation: H. Wendland, Comment. Acac. 4, 26 (1820). Mimosa saligna Labill., Nov. Holl. Plant. Specim. 2:86 t.235 (1807)."
Acacia,Acacia cyclops,"dense, bushy, rounded, glabrous, spreading shrubs 2-4 m high, branching at or just above ground level often with foliage almost to the ground, obscuring the stems;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading dense bushy,spreading dense bushy,woody,NA,"Citation: G. Don, Gen. Syst. 2:404 (1832)."
Acacia,Acacia cyperophylla,"tall shrubs or small shapely trees to 8 m high, branching near ground level or up to one metre above;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: G. Bentham, Fl. Aust. 2:400 (1864)."
Acacia,Acacia dealbata,"medium sized trees to 12 m high, in eastern states it may obtain a height up to 30 m, canopy rounded and glaucous;",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: H. F. Link, Enum. Plant. Hort. Berol. 2:445 (1822)."
Acacia,Acacia decurrens,"medium sized trees 10-15 m high, canopy conical or rounded, dark green;",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: C. L. Willdenow, Sp. Plant., ed. 4, 4:1072 (1806)."
Acacia,Acacia dictyophleba,"erect, compact, spreading, glabrous, resinous shrubs 1-4 m high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading compact,erect spreading compact,woody,NA,"Citation: F. Mueller, Fragm. Phyt. Aust. 3:128 (1863)."
Acacia,Acacia dodonaeifolia,"tall, viscid shrubs or small trees 2-6 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: C. Sprengel, Plant. Pugill. 2:92 (1815)."
Acacia,Acacia paradoxa,"dense, bushy, spreading, prickly shrubs to 3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading dense bushy,spreading dense bushy,woody,NA,"Citation: A.P. de Candolle, Cat. Pl. Hort. Bot. Monsp. 74 (1813)."
Acacia,Acacia cowleana,"slender shrub or small tree to 5 m,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia enterocarpa,"small, dense, much branched, spreading, prickly shrubs to 1.5 m high and usually spreading the same or more across;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Citation: R. V. Smith, Vic. Nat. 73:171 (1957)."
Acacia,Acacia erinacea,"small, rigid, spreading, intricate shrubs 0.5-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:360 (1842)."
Acacia,Acacia estrophiolata,"erect, graceful trees 8-15 m high with a long bare trunk and a spreading light green crown;",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Citation: F. Mueller, S. Sci. Rec. 2 (7):150 (1882)."
Acacia,Acacia farinosa,"small, muchbranched, spreading shrubs 1-1.75 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: J. Lindley in Mitch, Three Exped. E. Aust. 2:145 (1838)."
Acacia,Acacia genistifolia,a spreading glabrous shrub 1-2 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: H. F. Link, Enum. hort. Berol. alt. 2:442 (1822)."
Acacia,Acacia georginae,"a stocky, gnarled or spreading tree 2-7 m high with a dense crown.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Citation: F. M. Bailey, Bot. Bull. 13:9 (1896)."
Acacia,Acacia gilesiana,"erect, spreading, dense, glaucous shrubs 2-3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading dense,erect spreading dense,woody,NA,"Citation: F. Mueller, Chem. & Druggist, Aust. Suppl.5(51):26 (1882)."
Acacia,Acacia gillii,"slender, straggly, wiry, open shrubs or small trees 2-4 m high with pendulous branches,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,open,open,woody,NA,"Citation: J. H. Maiden and W. F. Blakely, J.R. Soc. N.S..W. 60:184 (1927), A. retinodes var. gillii Maiden, Trans. R.Soc. S.Aust. 32:275 (1908),"
Acacia,Acacia pycnantha,"glabrous, medium-sized shrubs or small trees about 4-8 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:351 (1842)."
Acacia,Acacia retinodes,"tall, glabrous shrubs or small trees to 8 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: D. Schlechtendal, Linnaea 20:664 (1847)."
Acacia,Acacia glandulicarpa,"somewhat viscid, rather dense, rounded, spreading, much branched shrubs 1-2 m high with a dull olive-green foliage;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Citation: F. M. Reader, Vic. Nat. 13:146 (1897)."
Acacia,Acacia gracilifolia,"slender, glabrous, resinous shrubs 1-2 m high with a short slender stem,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: J. H. Maiden & W. F. Blakely, J. Proc. R. Soc. N.S.W. 60:191 t. 18 (1927)."
Acacia,Acacia gunnii,"small, rigid, diffuse, prickly, sprawling or procumbent shrubs 20-80 cm high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,prostrate sprawling,procumbent sprawling,woody,NA,"Citation: G. Bentham, Hook Lond. J. Bot. 1:332 (1842)."
Acacia,Acacia hakeoides,"tall, bushy, glabrous, spreading shrubs, 1-4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:354 (1842)."
Acacia,Acacia halliana,"bushy, spreading, domed or procumbent shrub to 2.5 m high and 4-5 m wide.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate spreading bushy,procumbent spreading bushy,woody,NA,"Citation: B. R. Maslin, Nuytsia 6:36-39 (1987)."
Acacia,Acacia havilandii,"bushy, rounded, glabrous shrubs 2-3 m high, occasionally treelike with a short trunk to 4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub palmoid,shrubs treelike,NA,NA,NA,NA,bushy,bushy,woody,NA,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 53:182 (1920)."
Acacia,Acacia helmsiana,"shrub to 2 x 3 m, branching from ground level branchlets slightly angled at extremities glabrous, resinous, brown, phyllode bases conspicuous on younger stems.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 53:174-175 (1920)."
Acacia,Acacia hexaneura,"a rigid, prickly roughly rounded shrub rarely over 1 m high, to 2 m wide.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: P. Lang & R. Cowan, J. Adelaide Bot. Gard. 13:115-118 (1990)"
Acacia,Acacia imbricata,"dense, spreading, glabrous shrubs 1-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Citation: F. Mueller, Fragm. Phyt. Aust. 1:5 (1858)."
Acacia,Acacia lineata,"bushy, spreading, green or greenish-yellow shrubs 0.5-1.75 m high and often the same or more across;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Citation: G. Don, Gen. Syst. 2:403 (1832)."
Acacia,Acacia jennerae,a shrub 2-3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: J. H. Maiden in Ewart & Davis, F1.North. Terr. 333 (1917)."
Acacia,Acacia kempeana,"tall, glabrous, spreading, dull grey-green shrubs 2-4 m high with several stems from the base;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: F. Mueller, Chem. & Druggist, Australasian Suppl. 5(51):26 (1882)."
Acacia,Acacia kempeana,"descriptions and illustrations of the life cycles of the cossid moths, whose larvae provide witchetty grubs were given by tindale (1953).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation: F. Mueller, Chem. & Druggist, Australasian Suppl. 5(51):26 (1882)."
Acacia,Acacia leiophylla,"erect or spreading shrubs 1-2.5 m high, either dense compact and single stemmed or spreading and  branched with a number of stems arising from near ground level;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading dense compact,erect spreading dense compact,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:351 (1842)."
Acacia,Acacia loderi,"tall shrubs or small trees 3-7 m high, either a single or multi-stemmed with spreading umbrageous canopies, habit similar to that of a. papyrocarpa (sp.84);",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: J. H. Maiden, J. Proc. R.Soc. N.S.W. 53:209 (1920)."
Acacia,Acacia longifolia,"tall erect, or low bushy, spreading shrubs, 3-7 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading bushy,erect spreading bushy,woody,NA,"Citation: C. L. Willdenow, Sp.Pl. 4:1052 (1806). Mimosa longifolia Andr., Bot. Rep. t.207 (1802)."
Acacia,Acacia maitlandii,"erect, rather open, straggly, glabrous resinous shrubs 1-3 m high often branching into several main stems from the base;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect open,erect open,woody,NA,"Citation: F. Mueller, Fragm. Phyt. Aust. 3:46 (1862)."
Acacia,Acacia mearnsii,"small, spreading trees 7-10 m high,",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: E. de Wildeman, Plant. Bequert. 3:61 (1925)."
Acacia,Acacia melanoxylon,"large, symmetrical trees 8-15 m high to 30 m in moist gullies in eastern states and tas., often with a distinct strong trunk before branching and forming a quite dense dull green canopy;",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,dense,dense,woody,NA,"Citation: R. Brown in Ait.f., Hort. Kew, ed.2, 5:462 (1813)."
Acacia,Acacia menzelii,"erect, compact, rounded spreading, resinous shrubs l-2mhigh, branching near ground level into a number of ascending stems;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect decumbent spreading compact,erect ascending spreading compact,woody,NA,"Citation: J. M. Black, Trans. R.Soc. S. Aust. 41:45 t. ll (1917)."
Acacia,Acacia merrallii,"small, rigid, spreading, procumbent shrubs 0.75-1.5 m high and usually wider than its height;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,prostrate spreading,procumbent spreading,woody,NA,"Citation: F. Mueller, Proc. Linn. Soc. N.S.W. Ser.2, 5:18(1890)."
Acacia,Acacia minyura,woody shrub or small tree to 3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: B. Randell, J. Adelaide Bot. Gard. 14:126 (1992)."
Acacia,Acacia mitchellii,"low, diffuse, spreading-erect shrubs 0.5-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Citation: G. Bentham, Hook. Lond. J.Bot. 1:387 (1842)."
Acacia,Acacia montana,"viscid, bushy, spreading shrubs, 1.5-3.5 m high, sometimes having a small treelike, rather open, habit with a short trunk;",perennial,inferred_from_growth_form,NA,NA,shrub palmoid,shrubs treelike,NA,NA,NA,NA,spreading bushy open,spreading bushy open,woody,NA,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:360 (1842)."
Acacia,Acacia murrayana,"erect, bushy shrubs or small trees 2-5 m high, crown spreading, usually dividing into a few main stems near ground level;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,erect spreading bushy,erect spreading bushy,woody,NA,"Citation: G. Bentham, Fl. Aust. 2:370 (1864)"
Acacia,Acacia mutabilis,"a prostrate or mounded shrub to 1 m tall, branchlets angular with a distinct rib descending from the base of each phyllode,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate,prostrate,woody,NA,Citation: B. Maslin (in press)
Acacia,Acacia myrtifolia,"erect, glabrous, bushy shrubs 1-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect bushy,erect bushy,woody,NA,"Citation: C. L. Willdenow, Sp. Pl. 4:1054 (1806); Mimosa myrtifolia Sm., Trans. Linn. Soc. Lond. 1:252 (1791)."
Acacia,Acacia nematophylla,bushy shrubs to 2.5 m tall;,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,bushy,bushy,woody,NA,"Citation: F. Mueller in Bentham, Linnaea 26:612 (1855)."
Acacia,Acacia notabilis,"tall, glabrous, spreading shrubs 1-3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: F. Muell., Fragm. Phyt. Aust. 1:6 (1858)."
Acacia,Acacia oswaldii,"dense, rounded, spreading shrubs or small trees 2-6 m high with bushy umbrageous canopies, a straight trunk often for about 1 m above ground level before branching, or with several small stems from base;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,spreading dense bushy,spreading dense bushy,woody,NA,"Citation: F. Mueller, Pl. lndig. Colon. Vic. 2:27 (1863)."
Acacia,Acacia oxycedrus,"prickly, rigid, straggling, spreading shrubs 2-4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: A. P. de Candolle, Prodr. 2:453(1825)."
