taxon,longevity ,growth form,leaf longevity,height (m) ,leaf type,leaf length (mm),leaf width (mm) ,leaf shape,seed shape,seed length (mm),seed width (mm) ,seed breadth (mm),flowering ,fruiting,dispersal mode
Pandorea pandorana,perennial ,shrub,evergreen ,6,compound,20-80,,ovate,,4-10,,,aug-mar,aug-mar,winged seed
Drosera auriculata,perennial ,herb,evergreen ,,simple,2-6,2-6,orbicular,cylindrical,0.5-0.6,,,aug-mar,aug-mar,
Boronia parviflora,perennial ,subshrub,evergreen ,0.5,simple,7-28,0.5-6,elliptic,,,,,aug-mar,aug-mar,
Parietaria debilis,annual,herb,,0.3,simple,2-50,2-30,ovate,,,,,aug-mar,aug-mar,
Parietaria cardiostegia,annual,herb,,0.6,simple,2-30,2-21,elliptic,,,,,aug-mar,aug-mar,
Notelaea ligustrina,perennial ,tree,evergreen ,15,simple,20-80,5-20,lanceolate,,,,,aug-may,aug-may,
Hibbertia virgata,perennial ,shrub,evergreen ,1.5,simple,5-45,0.5-3,linear,,,,,aug-nov,aug-nov,
Ranunculus sessiliflorus var. sessiliflorus,perennial ,herb,evergreen ,0.3,simple,2-17,4-22,ovate,,,,,aug-nov,aug-nov,
Levenhookia dubia,ephemeral,herb,,,simple,2-6,1-3,elliptic,,,,,aug-sep,aug-sep,
Tetragonia tetragonoides,perennial ,herb,,0.3,simple,10-100,5-50,hastate,pyriform,2.5,,,all year,all year,
Tetragonia implexicoma,perennial ,subshrub,,2,simple,10-50,6-45,,,,,,all year,all year,
Atriplex suberecta,perennial ,herb,,0.5,simple,6-55,5-25,,,,1.5,,all year,all year,
Atriplex paludosa subsp. Paludosa,perennial ,shrub,,3,simple,12-40,2-9,elliptic,,,,,all year,all year,
Atriplex cinerea,perennial ,shrub,,1.5,simple,15-80,8-25,lanceolate,,,1.5-2,,all year,all year,
Atriplex billardierei,perennial ,herb,,,simple,5-13,2-7,ovate,,,2,,all year,all year,
Einadia nutans,perennial ,herb,,0.6,simple,32,12,lanceolate,,,,,all year,all year,
Threlkeldia diffusa,perennial ,,,0.4,simple,5-20,,linear,,,,,all year,all year,
Suaeda australis,perennial ,shrub,,0.8,simple,6-50,1-3.5,elliptic,lenticular,,1.5,,all year,all year,
Allocasuarina verticillata,perennial ,tree,evergreen ,9,,8-40,0.6-1.2,articles,,,,,all year,all year,samara
Allocasuarina littoralis,perennial ,tree,evergreen ,10,,3-10,0.4-1,articles,,,,,all year,all year,samara
Allocasuarina monilifera,perennial ,shrub,evergreen ,5,,3.5-9,0.6-1.2,articles,,,,,all year,all year,samara
Allocasuarina zephyrea,perennial ,shrub,evergreen ,2,,4-15,0.6-1.5,articles,,,,,all year,all year,samara
Coopernookia barbata,perennial ,shrub,evergreen ,1,simple,10-40,1-6,linear,ellipsoid,4-5,,,all year,all year,
Gyrostemon thesioides,perennial ,subshrub,evergreen ,0.8,simple,70,6,lanceolate,reniform,,2,,all year,all year,
Cassytha glabella,perennial ,vine,evergreen ,,,,,,,,,,all year,all year,
Oxalis perennans,perennial ,herb,evergreen ,0.3,compound,2-15,2-15,obcordate,,,,,all year,all year,
Montia australasica,perennial ,herb,evergreen ,,,,,linear,obovate,1.5-1.7,,,all year,all year,
Solanum laciniatum,perennial ,shrub,evergreen ,3,simple,50-200,10-40,lanceolate,,2-2.3,,,all year,all year,
Correa reflexa var. nummulariifolia,perennial ,shrub,evergreen ,,simple,12-26,6-15,ovate,,,,,aug,dec,
Hibbertia basaltica,perennial ,subshrub,evergreen ,0.3,simple,3-6,1-1.6,linear,,,,,sep-nov,dec,
Bauera rubioides,perennial ,shrub,evergreen ,6,compound,3-15,1.5-5,elliptic,,,,,aug-mar,dec-apr,
Eucryphia milliganii,perennial ,shrub,evergreen ,3,simple,5-20,3-8,ovate,,,,,dec-apr,dec-apr,
Eucryphia milliganii subsp. Milliganii,perennial ,shrub,evergreen ,3,simple,5-20,3-8,ovate,,,,,dec-apr,dec-apr,
Eucryphia milliganii subsp. Pubsecens,perennial ,shrub,evergreen ,3,simple,5-20,3-8,ovate,,,,,dec-apr,dec-apr,
Trithuria filamentosa,perennial ,herb,evergreen ,,,5-50,,terete,ellipsoid,,,,dec-apr,dec-apr,
Muehlenbeckia axillaris,perennial ,shrub,evergreen ,,simple,3-8,'3-8,orbicular,,,,,dec-apr,dec-apr,
Leptomeria glomerata,perennial ,shrub,evergreen ,0.3,simple,0.7-1.4,0.4-0.5,ovate,,,,,dec-apr,dec-apr,
Nothofagus gunnii,perennial ,tree,deciduous,8,simple,15-22.5,,ovate,,,,,nov-mar,dec-apr,
Clematis aristata,perennial ,liana,evergreen ,,compound,25-95,10-50,ovate,,,,,sep-jan,dec-apr,
Anopterus glandulosus,perennial ,tree,evergreen ,10,simple,70-240,10-55,lanceolate,,,,,aug-jun,dec-aug,
Disphyma crassifolium,perennial ,herb,,0.3,simple,20-50,,linear,,,,,oct-jan,dec-aug,
Sicyos australis,annual,vine,evergreen ,,compound,60,80,lobed,ovoid,,,,aug-feb,dec-feb,
Chenopodium erosum,annual,,,1.5,simple,40-200,5-100,ovate,muricate,,1.25-1.5,,dec-feb,dec-feb,
Boronia citriodora subsp. orientalis,perennial ,shrub,evergreen ,1.2,compound,3.5-11,1-2,ovate,,,,,dec-feb,dec-feb,
Montia fontana subsp. Fontana,annual,herb,,,simple,10,1.5,oblanceolate,ellipsoid,1.3-1.8,1.3-1.8,,nov-feb,dec-feb,
Ranunculus acaulis,perennial ,herb,evergreen ,0.3,compound,3-9.5,3-15,elliptic,,,,,aug-jan,dec-jan,
Villarsia umbricola var. umbricola,perennial ,herb,evergreen ,1.1,simple,18-120,18-120,circular,ellipsoid,0.8-1.6,,,dec-jan,dec-jan,
Correa lawrenceana var. lawrenceana,perennial ,shrub,evergreen ,3,simple,10-95,3-33,elliptic,,,,,jan-oct,dec-jan,
Boronia hippopala,perennial ,shrub,evergreen ,1.8,compound,1-8,0.75-1.75,elliptic,,,,,oct-jan,dec-jan,
Phebalium daviesii,perennial ,shrub,evergreen ,1.5,simple,8-30,1-3,linear,,,,,sep-jan,dec-jan,
Exocarpos humifusus,perennial ,subshrub,evergreen ,,simple,0.6-1.8,0.4-0.8,triangular,,,,,nov-apr,dec-jul,
Gunnera cordifolia,perennial ,herb,evergreen ,,simple,7-45,,ovate,,,,,nov-dec,dec-jul,
Limonium australe,perennial ,herb,evergreen ,,simple,50-150,8-25,oblanceolate,fusiform,1,,,dec-jun,dec-jun,
Limonium australe var. australe,perennial ,herb,evergreen ,,simple,50-150,8-25,oblanceolate,fusiform,1,,,dec-jun,dec-jun,
Limonium australe var. baudinii,perennial ,herb,evergreen ,,simple,50-150,8-25,oblanceolate,fusiform,1,,,dec-jun,dec-jun,
Persicaria decipiens,perennial ,herb,evergreen ,,simple,30-150,7-30,lanceolate,,,,,dec-jun,dec-jun,
Nematolepis squamea subsp. Squamea,perennial ,tree,evergreen ,12,simple,28-90,17-22,lanceolate,,,,,aug-feb,dec-mar,
Clematis clitorioides,perennial ,liana,evergreen ,,compound,12-60,5-28,ovate,,,,,aug-jan,dec-mar,
Rhagodia candolleana subp. Candolleana,perennial ,shrub,,3,simple,5-30,,elliptic,,,,,all year,dec-mar,
Exocarpus nanus,perennial ,subshrub,evergreen ,,simple,0.3-1,0.4-0.8,ovate,,,,,dec,dec-mar,
Leionema oldfieldii,perennial ,shrub,evergreen ,0.9,simple,3-13,2.5-4,oblong,,,,,dec-jan,dec-mar,
Wilsonia humilis,perennial ,subshrub,evergreen ,,simple,1.5-4,1-3,ovate,,,,,dec-mar,dec-mar,
Drosera binata,perennial ,herb,evergreen ,,lobed,40-100,,lobed,,,,,dec-mar,dec-mar,
Drosera spatulata,perennial ,herb,evergreen ,,simple,8-20,,ovate,ellipsoid,0.3,,,dec-mar,dec-mar,
Drosera arcturi,perennial ,herb,evergreen ,,simple,60-200,,linear,lachrimiform,1-2,,,dec-mar,dec-mar,
Liparophyllum gunnii,perennial ,herb,evergreen ,,simple,10-50,,lanceolate,lenticular,,,,dec-mar,dec-mar,
Persicaria praetermissa,perennial ,herb,evergreen ,,simple,35-70,8-17,hastate,,,,,dec-mar,dec-mar,
Phyllachne colensoi,perennial ,herb,evergreen ,,simple,2-3,,,,,,,dec-mar,dec-mar,
Exocarpus syrticola,perennial ,shrub,evergreen ,3.5,simple,0.9-2.5,0.2-0.3,triangular,,,,,jun-jan,dec-mar,
Anemone crassifolia,perennial ,herb,evergreen ,0.35,simple,15-70,15-70,orbicular,,,,,oct-jan,dec-mar,
Viola betonicifolia subsp. Betonicifolia,perennial ,herb,evergreen ,0.3,simple,10-60,8-25,lanceolate,,,,,oct-mar,dec-mar,
Eucryphia lucida,perennial ,tree,evergreen ,30,simple,25-50,6-21,lanceolate,,,,,dec-jun,dec-may,
Samolus repens,perennial ,herb,evergreen ,0.4,simple,3-30,1-8,obovate,,,,,dec-mar,dec-may,
Chenopodium glaucum,annual,,,,simple,60,,ovate,,,,,dec-may,dec-may,
Scaevola hookeri,perennial ,herb,evergreen ,0.3,simple,10-50,2-15,ovate,,,,,dec-may,dec-may,
Philotheca verrucosa,perennial ,shrub,evergreen ,1,simple,3-15,4-6,obcordate,,,,,jul-nov,feb,
Boronia rozefeldsii,perennial ,shrub,evergreen ,0.5,compound,7-12,2-4,obovate,,,,,nov,feb,
Viola cunninghamii,perennial ,herb,evergreen ,0.3,simple,4-25,3-20,ovate,,,,,nov-jan,feb,
Forstera bellidifolia,perennial ,herb,evergreen ,,simple,,,,,,,,nov-mar,feb-apr,
Donatia novae-zelandiae,perennial ,shrub,evergreen ,,simple,5-6,,linear,,,,,jan-mar,feb-mar,
Villarsia exaltata,perennial ,herb,evergreen ,0.3,simple,50-150,,ovate,ellipsoid,1.5-3,,,nov-feb,feb-mar,
Nymphoides exigua,perennial ,herb,evergreen ,,simple,2-8,2-8,orbicular,ellipsoid,1,,,nov-feb,feb-mar,
Calystegia sepium,perennial ,vine,evergreen ,,simple,40-100,20-80,ovate,,,,,jan-apr,feb-may,
Philotheca freyciana,perennial ,shrub,evergreen ,0.8,simple,7-17,3-11,obcordate,,,,,jan,jan,
Philotheca virgata,perennial ,shrub,evergreen ,4,simple,6-30,2-8,elliptic,,,,,apr-feb,jan-apr,
Psychrophila phylloptera,perennial ,herb,evergreen ,0.08,simple,10-25,5-10,ovate,ovoid,,,,dec-mar,jan-apr,
Stylidium armeria,perennial ,herb,evergreen ,,simple,80-450,3-15,linear,ellipsoid,1-2,,,nov-feb,jan-apr,
Anodopetalum biglandulosum,perennial ,tree,evergreen ,15,simple,20-60,8-23,elliptic,,,,,oct-mar,jan-apr,
Allocasuarina duncanii,perennial ,tree,evergreen ,8,,4-17,0.9-1.4,articles,,,,,jan-apr,jan-aug,samara
Viola hederacea subsp. curtisiae,perennial ,herb,evergreen ,0.3,simple,2.5-10,2.5-30,reniform,,,,,jan-feb,jan-feb,
Tetracarpaea tasmannica,perennial ,shrub,evergreen ,1,simple,9-32,4-12,obovate,,,,,dec-mar,jan-jun,
Persicaria hydropiper,annual,herb,,1,simple,35-110,0.7-15,ovate,,,,,jan-jun,jan-jun,
Lythrum salicaria,annual,herb,,1.8,simple,20-70,,ovate,,0.01,0.01,0.01,jan-mar,jan-mar,
Persicaria prostrata,perennial ,herb,evergreen ,,simple,20-50,7-10,lanceolate,,,,,jan-mar,jan-mar,
Persicaria subsessilis,perennial ,herb,evergreen ,1,simple,120,6-13,lanceolate,,,,,jan-mar,jan-mar,
Wilsonia rotundifolia,perennial ,subshrub,evergreen ,,simple,1.4-7,1-3,ovate,,,,,nov-feb,jan-mar,
Wilsonia backhousei,perennial ,subshrub,evergreen ,0.15,simple,5-20,1-3,linear,,,,,nov-jan,jan-mar,
Boronia elisabethiae,perennial ,subshrub,evergreen ,0.5,compound,2-11,0.5-1,elliptic,,,,,nov-mar,jan-mar,
Leionema montanum,perennial ,shrub,evergreen ,0.5,simple,5-12,1-1.5,,,,,,nov-mar,jan-mar,
Aristotelia peduncularis,perennial ,shrub,evergreen ,4,simple,15-80,5-20,lanceolate,,,,,oct-dec,jan-mar,
Boronia rhomboidea,perennial ,shrub,evergreen ,1,simple,3-13,1-15,ovate,,,,,oct-feb,jan-mar,
Ranunculus setaceus,perennial ,herb,evergreen ,0.3,simple,12-80,0.5-1.25,linear,,,,,oct-jan,jan-mar,
Viola caleyana,perennial ,herb,evergreen ,0.3,simple,20-50,20-50,orbicular,,,,,dec-jan,jan-may,
Acradenia frankliniae,perennial ,tree,evergreen ,10,compound,15-70,6-19,lanceolate,,,,,nov-feb,jan-may,
Calystegia marginata,perennial ,herb,evergreen ,,simple,3-19,1.5-8,ovate,,,,,feb-mar,jul,
Solanum vescum,perennial ,shrub,evergreen ,2,simple,50-150,5-15,lanceolate,,2-3,,,jul-apr,jul-apr,
Allocasuarina paludosa,perennial ,shrub,evergreen ,3,,12,0.4-1,articles,,,,,jul-feb,jul-feb,samara
Montia fontana,annual,herb,,0.2,simple,2.5-15,4,obovate,obovate,,,,jul-feb,jul-feb,
Montia fontana subsp. chondrosperma,annual,herb,,,simple,15,4,oblanceolate,ellipsoid,0.8-1.2,0.8-1.2,,jul-jan,jul-jan,
Dodonaea filiformis,perennial ,shrub,evergreen ,2,simple,4-26,0.5-1.4,linear,lenticular,1.9-2.3,1.9-2.3,,jul-mar,jul-mar,
Tetratheca labillardierei,perennial ,shrub,evergreen ,1,simple,3-15,1.5-4,oblanceolate,cylindrical,,,,jul-may,jul-may,
Myosurus australis,annual,herb,,0.2,simple,10-120,0.5-2.5,linear,,,,,jul-nov,jul-nov,
Hibbertia appressa,perennial ,shrub,evergreen ,2,simple,2-12,1-6,elliptic,,,,,jun-dec,jun-dec,
Cyphanthera tasmanica,perennial ,shrub,evergreen ,4,simple,10-50,0.5-1.8,lanceolate,,,,,jun-feb,jun-feb,
Goodenia lanata,perennial ,herb,evergreen ,0.3,simple,10-80,5-20,ovate,,,,,jun-mar,jun-mar,
Hibbertia sericea var. sericea,perennial ,shrub,evergreen ,0.6,simple,5-15,1-3,elliptic,,,,,jun-nov,jun-nov,
Atriplex hortensis,annual,herb,,2.5,simple,20-120,15-100,,,,2.5-3,,aug-feb,mar,
Calystegia soldanella,perennial ,herb,evergreen ,,simple,10-50,20-60,reniform,,,,,oct-feb,mar,
Cassytha pubescens,perennial ,vine,evergreen ,,,,,,globose,4.5,4.5,4.5,nov-aug,mar-apr,
Calandrinia eremaea,annual,herb,,0.2,simple,1.5-4,5,lanceolate,reniform,,,,mar,mar-jul,
Hibbertia hirsuta,perennial ,subshrub,evergreen ,0.3,simple,3-8,0.5-1,elliptic,,,,,sep-oct,nov,
Goodenia humilis,perennial ,herb,evergreen ,0.2,simple,10-100,2-4,ovate,,,,,nov-apr,nov-apr,
Ranunculus scapiger,perennial ,herb,evergreen ,0.3,compound,11-26,7-23,cuneate,,,,,nov-apr,nov-apr,
Boronia citriodora,perennial ,shrub,evergreen ,3,compound,3-16,0.5-4,elliptic,,,,,nov-may,nov-apr,
Boronia citriodora subsp. citriodora,perennial ,shrub,evergreen ,0.6,compound,4-13,0.5-2.5,ovate,,,,,nov-may,nov-apr,
Boronia citriodora subsp. Paulwilsonii,perennial ,shrub,evergreen ,3,compound,5-17,1.5-4,ovate,,,,,nov-may,nov-apr,
Boronia nana,perennial ,subshrub,evergreen ,1,compound,2-25,0.5-4,linear,,,,,sep-feb,nov-apr,
Hibbertia empetrifolia subsp. Empetrifolia,perennial ,shrub,evergreen ,0.3,simple,4-10,3-7,elliptic,,,,,jun-oct,nov-dec,
Frankenia pauciflora var. gunnii,perennial ,shrub,evergreen ,,simple,2.5-7,0.6-1.2,elliptic,,,,,nov-dec,nov-dec,
Stylidium beaugleholei,ephemeral,herb,,0.005,simple,2-5,0.3-0.5,elliptic,ellipsoid,0.2,,,nov-dec,nov-dec,
Ranunculus prasinus,perennial ,herb,evergreen ,0.3,compound,6-22,7-26,elliptic,,,,,sep-jan,nov-dec,
Boronia pilosa,perennial ,shrub,evergreen ,3,compound,1-17,0.5-4,linear,,,,,aug-feb,nov-feb,
Boronia pilosa subsp. Pilosa,perennial ,shrub,evergreen ,3,compound,1-15,0.5-2.5,linear,,,,,aug-feb,nov-feb,
Clematis microphylla,perennial ,liana,evergreen ,,compound,8-47,5-18,lanceolate,,,,,aug-nov,nov-feb,
Correa backhouseana var. backhouseana,perennial ,shrub,evergreen ,2,simple,10-50,6-25,elliptic,,,,,jul-apr,nov-feb,
Tecticornia arbuscula,perennial ,shrub,,1.5,,3-8,3-4,articles,,1.5,,,nov-feb,nov-feb,
Cuscuta tasmanica,perennial ,vine,evergreen ,,,,,,,1.5-2,,,nov-feb,nov-feb,
Drosera gracilis,perennial ,herb,evergreen ,,simple,3-5,3-5,orbicular,turbinate,0.4-0.5,,,nov-feb,nov-feb,
Scaevola albida,perennial ,herb,evergreen ,0.5,simple,5-15,2-25,ovate,,,,,nov-feb,nov-feb,
Rumex bidens,perennial ,herb,evergreen ,,simple,250,,lanceolate,,,,,nov-feb,nov-feb,
Ranunculus triplodontus,perennial ,herb,evergreen ,0.3,simple,2-30,2-30,orbicular,,,,,nov-feb,nov-feb,
Ranunculus glabrifolius,perennial ,herb,evergreen ,0.3,compound,6-40,5-15,elliptic,,,,,oct-feb,nov-feb,
Nematolepis squamea subsp. Retusa,perennial ,shrub,evergreen ,4,simple,4-40,4-9,ovate,,,,,sep-jan,nov-feb,
Clematis decipiens,perennial ,liana,evergreen ,,compound,12-40,1.5-11,ovate,,,,,aug-jan,nov-jan,
Velleia paradoxa,perennial ,herb,evergreen ,,simple,30-250,15-35,oblanceolate,orbicular,,,,nov-jan,nov-jan,
Rumex dumosus,perennial ,herb,evergreen ,0.6,simple,120,10-25,lanceolate,,,,,nov-jan,nov-jan,
Rumex brownii,perennial ,herb,evergreen ,1.05,simple,15-220,1.5-4,lanceolate,,,,,nov-jan,nov-jan,
Boronia pilosa subsp. Tasmanensis,perennial ,shrub,evergreen ,1.5,compound,3-17,1-4,elliptic,,,,,sep-jan,nov-jan,
Alternanthera denticulata,perennial ,herb,,0.9,simple,1.5-8,,linear,,,,,nov-jul,nov-jul,
Solanum opacum,annual,herb,,,simple,10-40,30-70,ovate,,1.5-2.2,,,nov-jul,nov-jul,
Nothofagus cunninghamii,perennial ,tree,evergreen ,50,simple,4-20,4-20,orbicular,,,,,sep-mar,nov-jun,
Nematolepis squamea,perennial ,tree,evergreen ,12,simple,4-90,4-22,lanceolate,,,,,aug-feb,nov-mar,
Carpobrotus rossii,perennial ,herb,,0.3,simple,30-70,,linear,,,,,jul-feb,nov-mar,
Exocarpus strictus,perennial ,tree,evergreen ,3,simple,0.6-3.2,0.2-0.3,triangular,,,,,jul-nov,nov-mar,
Zieria arborescens subsp. Arborescens,perennial ,tree,evergreen ,8,compound,15-128,3-29,oblong,,,,,may-jan,nov-mar,
Elatine gratioloides,perennial ,herb,evergreen ,0.3,simple,2-5,1-3,ovate,,0.5-0.8,,,nov-mar,nov-mar,
Velleia montana,perennial ,herb,evergreen ,0.3,simple,15-80,6-30,elliptic,ellipsoid,,,,nov-mar,nov-mar,
Ranunculus collicola,perennial ,herb,evergreen ,0.3,compound,3-6,0.5-1.5,elliptic,,,,,nov-mar,nov-mar,
Ranunculus decurvus,perennial ,herb,evergreen ,0.3,compound,3-12,3-18,ovate,,,,,nov-mar,nov-mar,
Ranunculus amphitrichus,perennial ,herb,evergreen ,0.3,compound,5-90,5-90,orbicular,,,,,oct-apr,nov-mar,
Ranunculus pascuinus,perennial ,herb,evergreen ,0.3,compound,8-20,7-13,lanceolate,,,,,oct-feb,nov-mar,
Ranunculus gunnianus,perennial ,herb,evergreen ,0.3,simple,8-45,12-40,ovate,,,,,oct-jan,nov-mar,
Convolvulus angustissimus subsp. Angustissimus,perennial ,herb,evergreen ,,simple,1.5-5.5,1-35,ovate,muricate,4,,,oct-mar,nov-mar,
Ranunculus collinus,perennial ,herb,evergreen ,0.3,compound,5-65,5-65,orbicular,,,,,oct-mar,nov-mar,
Ranunculus jugosus,perennial ,herb,evergreen ,0.3,compound,3-20,3-11,obovate,,,,,oct-mar,nov-mar,
Ranunculus nanus,perennial ,herb,evergreen ,0.3,compound,4-20,2-16,ovate,,,,,oct-mar,nov-mar,
Thesium australe,perennial ,herb,evergreen ,0.4,simple,10-40,0.5-1.5,linear,,,,,sep-jan,nov-mar,
Sarcocornia quinqueflora,perennial ,herb,,0.3,,5-20,5-20,articles,,,,,nov-may,nov-may,
Sarcocornia quinqueflora subsp. Quinqueflora,perennial ,herb,,0.3,,5-20,5-20,articles,,,,,nov-may,nov-may,
Sarcocornia quinqueflora subsp. Tasmanica,perennial ,herb,,0.3,,5-20,5-20,articles,,,,,nov-may,nov-may,
Sarcocornia blackiana,perennial ,herb,,,,5-20,5-20,articles,ovate,,,,nov-may,nov-may,
Clematis gentianoides,perennial ,shrub,evergreen ,0.65,compound,20-100,7-33,ovate,,,,,oct-mar,nov-may,
Hedycarya angustifolia,perennial ,tree,evergreen ,20,simple,40-165,15-60,elliptic,,,,,aug-nov,oct-apr,
Goodenia elongata,perennial ,herb,evergreen ,0.45,simple,20-90,4-20,ovate,,,,,oct-apr,oct-apr,
Scaevola aemula,perennial ,herb,evergreen ,0.5,simple,20-100,4-30,ovate,,,,,oct-apr,oct-apr,
Melicytus dentatus,perennial ,shrub,evergreen ,3,simple,4-40,2-4,oblanceolate,ovoid,,,,sep-mar,oct-apr,
Hibbertia acicularis,perennial ,shrub,evergreen ,,simple,5-12,1,linear,,,,,oct-dec,oct-dec,
Drosera peltata,perennial ,herb,evergreen ,,simple,5-10,5-10,orbicular,cylindrical,0.3-0.4,,,oct-dec,oct-dec,
Stylidium perpusillum,ephemeral,herb,,0.05,simple,2-4,1-2,linear,ellipsoid,0.2,,,oct-dec,oct-dec,
Zieria littoralis,perennial ,shrub,evergreen ,1.8,compound,2.5-18,1.5-7,obovate,,,,,jun-feb,oct-feb,
Geranium brevicaule,perennial ,herb,evergreen ,,simple,10-30,'10-30,orbicular,,,,,oct-feb,oct-feb,
Oxalis magellanica,perennial ,herb,evergreen ,0.3,compound,3-12,3-12,obcordate,,,,,oct-feb,oct-feb,
Exocarpos cupressiformis,perennial ,tree,evergreen ,8,simple,0.7-1.6,0.4-0.9,ovate,,,,,oct-feb,oct-feb,
Ranunculus pimpinellifolius,perennial ,herb,evergreen ,0.3,compound,4-16,1.5-16,ovate,,,,,oct-jan,oct-feb,
Calandrinia calyptrata,annual,herb,,0.25,simple,10-30,,linear,lenticular,,,,jul-jan,oct-jan,
Tetratheca sp. Flinders Island,perennial ,shrub,evergreen ,0.45,simple,2-5,1-3,,,,,,oct-jan,oct-jan,
Elaeocarpus reticulatus,perennial ,tree,evergreen ,20,simple,50-150,10-40,elliptic,,,,,oct-jan,oct-jan,
Brunonia australis,perennial ,herb,evergreen ,,simple,30-160,3-45,oblanceolate,,,,,oct-jan,oct-jan,
Goodenia geniculata,perennial ,herb,evergreen ,0.2,simple,30-100,3-10,ovate,,,,,oct-jan,oct-jan,
Muehlenbeckia gunnii,perennial ,shrub,evergreen ,,simple,25-120,10-70,lanceolate,,,,,oct-jan,oct-jan,
Boronia gunnii,perennial ,shrub,evergreen ,1.2,compound,5-25,0.75-2.5,oblanceolate,,,,,oct-jan,oct-jan,
Stylidium despectum,ephemeral,herb,,0.1,simple,1-4,,lanceolate,ellipsoid,0.3,,,oct-jan,oct-jan,
Leionema bilobum subsp. Truncatum,perennial ,shrub,evergreen ,3,simple,4-25,3-11,ovate,,,,,sep-nov,oct-jan,
Pelargonium littorale,perennial ,herb,evergreen ,,simple,10-350,10-350,ovate,,,,,oct-jul,oct-jul,
Correa reflexa,perennial ,shrub,evergreen ,3,simple,12-47,5-47,ovate,,,,,aug-may,oct-mar,
Correa reflexa var. reflexa,perennial ,shrub,evergreen ,3,simple,17-47,5-37,ovate,,,,,aug-may,oct-mar,
Ranunculus lappaceus,perennial ,herb,evergreen ,0.3,compound,6-50,4-30,ovate,,,,,may-jan,oct-mar,
Lythrum hyssopifolia,annual,herb,,,simple,5-25,,linear,,0.01,0.01,0.01,oct-mar,oct-mar,
Australina pusilla,perennial ,herb,evergreen ,,simple,35,35,orbicular,,,,,oct-mar,oct-mar,
Australina pusilla subsp. Pusila,perennial ,herb,evergreen ,0.6,simple,17,17,orbicular,,,,,oct-mar,oct-mar,
Viola sieberiana,perennial ,herb,evergreen ,0.3,simple,5-10,4-10,ovate,,,,,oct-mar,oct-mar,
Viola hederacea,perennial ,herb,evergreen ,0.3,simple,2.5-10,2.5-30,reniform,,,,,oct-mar,oct-mar,
Viola hederacea subsp. Hederacea,perennial ,herb,evergreen ,0.3,simple,2.5-10,2.5-30,reniform,,,,,oct-mar,oct-mar,
Viola fuscoviolacea,perennial ,herb,evergreen ,0.3,simple,3-6,3-8,ovate,,,,,oct-mar,oct-mar,
Villarsia reniformis,perennial ,herb,evergreen ,0.3,simple,30-120,,ovate,ellipsoid,,,,oct-mar,oct-may,
Geranium potentilloides var. potentilloides,perennial ,herb,evergreen ,,simple,50-500,50-500,orbicular,,,,,oct-may,oct-may,
Geranium solanderi,perennial ,herb,evergreen ,,simple,20-60,20-60,orbicular,,,,,oct-may,oct-may,
Linum marginale,perennial ,herb,evergreen ,1,simple,5-25,1-3,,plano-convex,2-3,,,oct-may,oct-may,
Oxalis exilis,perennial ,herb,evergreen ,0.35,compound,2.5-4,3-6,obcordate,,,,,oct-may,oct-may,
Oxalis rubens,perennial ,herb,evergreen ,0.3,compound,2-8,2-10,obcordate,,,,,oct-may,oct-may,
