taxon_name,trait_name,value_type,value,unit,retain,entity,measurement_remarks,original_name,observation_id,form,leaf,seed,original_text
Agapanthus praecox,seed_length,maximum,8,mm,good,,,Agapanthus praecox,0054,stemless herb to circa 1 m tall;,"leaves linear to narrowly lanceolate, obtuse, 40-80 cm long, 3-5 cm wide, sessile.","seeds flattened with a membranous wing, 7-8 mm long.","Stemless herb to c. 1 m tall; rhizome thick, branched. Leaves linear to narrowly lanceolate, obtuse, 40-80 cm long, 3-5 cm wide, sessile. Umbel dense, with numerous flowers; scape 50-100 cm long; pedicels 5-8 cm long. Perianth blue or white; midvein dark; segments 40-60 mm long, fused for 8-15 mm, 5-8 mm wide. Stamens 40-45 mm long; filaments fused to perianth for 20-30 mm, the free parts curved to abaxial side of style; anthers 3-5 mm long, yellow, becoming dark brownish blue. Ovary glabrous, 5-7 mm long; style 15-25 mm long. Capsule elongate-ovoid, trigonous, 25-33 mm long. Seeds flattened with a membranous wing, 7-8 mm long."
Allocasuarina acuaria,leaf_length,minimum,15,mm,good,cladode,,Allocasuarina acuaria,0093,shrub 1-3 m high;,,,"Shrub 1-3 m high; penultimate branchlets woody. Branchlets ascending, pungent, 1.5-3 cm long, with 1 elongate article; article terete, 1.5-3 cm long, 0.6-0.9 mm diam., pubescent when young; phyllichnia rounded with broad median groove; teeth 4, erect, or spreading to recurved on young plants and new shoots, slightly or not overlapping, 0.8-1.3 mm long, ± marcescent. Male spikes moniliform, 1-4 cm long, 4.5-5.5 whorls per cm; anther 0.7-0.9 mm long. Cones ovoid to subglobose; peduncle 4-10 mm long; cone body 15-19 mm long (20-26 mm long including bracteoles), 13-18 mm diam., shortly and densely hairy; bracts glabrous; bracteoles glabrous, acute, protuberance forming a yellowish ridge on bracteole body adnate to near apex, extending as a pungent eccentric awn 4-9 mm long, often with hooked tip. Samara c. 6 mm long, black."
Allocasuarina acuaria,leaf_length,maximum,30,mm,good,cladode,,Allocasuarina acuaria,0093,shrub 1-3 m high;,,,"Shrub 1-3 m high; penultimate branchlets woody. Branchlets ascending, pungent, 1.5-3 cm long, with 1 elongate article; article terete, 1.5-3 cm long, 0.6-0.9 mm diam., pubescent when young; phyllichnia rounded with broad median groove; teeth 4, erect, or spreading to recurved on young plants and new shoots, slightly or not overlapping, 0.8-1.3 mm long, ± marcescent. Male spikes moniliform, 1-4 cm long, 4.5-5.5 whorls per cm; anther 0.7-0.9 mm long. Cones ovoid to subglobose; peduncle 4-10 mm long; cone body 15-19 mm long (20-26 mm long including bracteoles), 13-18 mm diam., shortly and densely hairy; bracts glabrous; bracteoles glabrous, acute, protuberance forming a yellowish ridge on bracteole body adnate to near apex, extending as a pungent eccentric awn 4-9 mm long, often with hooked tip. Samara c. 6 mm long, black."
Allocasuarina acuaria,leaf_width,minimum,0.6,mm,good,cladode,,Allocasuarina acuaria,0093,shrub 1-3 m high;,,,"Shrub 1-3 m high; penultimate branchlets woody. Branchlets ascending, pungent, 1.5-3 cm long, with 1 elongate article; article terete, 1.5-3 cm long, 0.6-0.9 mm diam., pubescent when young; phyllichnia rounded with broad median groove; teeth 4, erect, or spreading to recurved on young plants and new shoots, slightly or not overlapping, 0.8-1.3 mm long, ± marcescent. Male spikes moniliform, 1-4 cm long, 4.5-5.5 whorls per cm; anther 0.7-0.9 mm long. Cones ovoid to subglobose; peduncle 4-10 mm long; cone body 15-19 mm long (20-26 mm long including bracteoles), 13-18 mm diam., shortly and densely hairy; bracts glabrous; bracteoles glabrous, acute, protuberance forming a yellowish ridge on bracteole body adnate to near apex, extending as a pungent eccentric awn 4-9 mm long, often with hooked tip. Samara c. 6 mm long, black."
Allocasuarina acuaria,leaf_width,maximum,0.9,mm,good,cladode,,Allocasuarina acuaria,0093,shrub 1-3 m high;,,,"Shrub 1-3 m high; penultimate branchlets woody. Branchlets ascending, pungent, 1.5-3 cm long, with 1 elongate article; article terete, 1.5-3 cm long, 0.6-0.9 mm diam., pubescent when young; phyllichnia rounded with broad median groove; teeth 4, erect, or spreading to recurved on young plants and new shoots, slightly or not overlapping, 0.8-1.3 mm long, ± marcescent. Male spikes moniliform, 1-4 cm long, 4.5-5.5 whorls per cm; anther 0.7-0.9 mm long. Cones ovoid to subglobose; peduncle 4-10 mm long; cone body 15-19 mm long (20-26 mm long including bracteoles), 13-18 mm diam., shortly and densely hairy; bracts glabrous; bracteoles glabrous, acute, protuberance forming a yellowish ridge on bracteole body adnate to near apex, extending as a pungent eccentric awn 4-9 mm long, often with hooked tip. Samara c. 6 mm long, black."
Allocasuarina acutivalvis subsp. acutivalvis,leaf_length,minimum,10,mm,good,cladode,,Allocasuarina acutivalvis subsp. acutivalvis,0095,"articles 10-25 mm long. teeth 10-14, rarely 9, erect or occasionally spreading, 0.3-1.3 (rarely to 1.8) mm long.",,,"Articles 10-25 mm long. Teeth 10-14, rarely 9, erect or occasionally spreading, 0.3-1.3 (rarely to 1.8) mm long. Cone body 15-35 mm long, 15-20 (rarely to 28) mm diam.; bracteole and protuberance indistinguishable, acuminate with rather pungent mucro to 1.5 mm long, occasionally the apex shortly bifid."
Allocasuarina acutivalvis subsp. acutivalvis,leaf_length,maximum,25,mm,good,cladode,,Allocasuarina acutivalvis subsp. acutivalvis,0095,"articles 10-25 mm long. teeth 10-14, rarely 9, erect or occasionally spreading, 0.3-1.3 (rarely to 1.8) mm long.",,,"Articles 10-25 mm long. Teeth 10-14, rarely 9, erect or occasionally spreading, 0.3-1.3 (rarely to 1.8) mm long. Cone body 15-35 mm long, 15-20 (rarely to 28) mm diam.; bracteole and protuberance indistinguishable, acuminate with rather pungent mucro to 1.5 mm long, occasionally the apex shortly bifid."
Allocasuarina acutivalvis subsp. prinsepiana,leaf_length,minimum,12,mm,good,cladode,,Allocasuarina acutivalvis subsp. prinsepiana,0096,"articles 12-20 mm long. teeth 11-13, erect, 0.4-1 mm long.",,,"Articles 12-20 mm long. Teeth 11-13, erect, 0.4-1 mm long. Cone body 25-32 mm long, 18-22 mm diam.; bracteole and protuberance divided into 2 or 3 bodies, acuminate to acute, with rather pungent mucro c. 1 mm long."
Allocasuarina acutivalvis subsp. prinsepiana,leaf_length,maximum,20,mm,good,cladode,,Allocasuarina acutivalvis subsp. prinsepiana,0096,"articles 12-20 mm long. teeth 11-13, erect, 0.4-1 mm long.",,,"Articles 12-20 mm long. Teeth 11-13, erect, 0.4-1 mm long. Cone body 25-32 mm long, 18-22 mm diam.; bracteole and protuberance divided into 2 or 3 bodies, acuminate to acute, with rather pungent mucro c. 1 mm long."
Allocasuarina eriochlamys subsp. eriochlamys,leaf_length,minimum,5,mm,good,cladode,,Allocasuarina eriochlamys subsp. eriochlamys,0113,"articles 5-14 mm long, 0.5-0.9 mm diam.;",,,"Articles 5-14 mm long, 0.5-0.9 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8 or 9, 0.3-1 mm long. Male spikes 10-34 mm long, c. 7 whorls per cm. Cones on peduncle 4-13 mm long; cone body 23-39 mm long, 13-18 mm diam.; bracteoles not protruding beyond cone body, with obtuse to truncate apex, indentation marking apex of protuberance close to body apex."
Allocasuarina eriochlamys subsp. eriochlamys,leaf_length,maximum,14,mm,good,cladode,,Allocasuarina eriochlamys subsp. eriochlamys,0113,"articles 5-14 mm long, 0.5-0.9 mm diam.;",,,"Articles 5-14 mm long, 0.5-0.9 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8 or 9, 0.3-1 mm long. Male spikes 10-34 mm long, c. 7 whorls per cm. Cones on peduncle 4-13 mm long; cone body 23-39 mm long, 13-18 mm diam.; bracteoles not protruding beyond cone body, with obtuse to truncate apex, indentation marking apex of protuberance close to body apex."
Allocasuarina eriochlamys subsp. eriochlamys,leaf_width,minimum,0.5,mm,good,cladode,,Allocasuarina eriochlamys subsp. eriochlamys,0113,"articles 5-14 mm long, 0.5-0.9 mm diam.;",,,"Articles 5-14 mm long, 0.5-0.9 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8 or 9, 0.3-1 mm long. Male spikes 10-34 mm long, c. 7 whorls per cm. Cones on peduncle 4-13 mm long; cone body 23-39 mm long, 13-18 mm diam.; bracteoles not protruding beyond cone body, with obtuse to truncate apex, indentation marking apex of protuberance close to body apex."
Allocasuarina eriochlamys subsp. eriochlamys,leaf_width,maximum,0.9,mm,good,cladode,,Allocasuarina eriochlamys subsp. eriochlamys,0113,"articles 5-14 mm long, 0.5-0.9 mm diam.;",,,"Articles 5-14 mm long, 0.5-0.9 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8 or 9, 0.3-1 mm long. Male spikes 10-34 mm long, c. 7 whorls per cm. Cones on peduncle 4-13 mm long; cone body 23-39 mm long, 13-18 mm diam.; bracteoles not protruding beyond cone body, with obtuse to truncate apex, indentation marking apex of protuberance close to body apex."
Allocasuarina eriochlamys subsp. grossa,leaf_length,minimum,9,mm,good,cladode,,Allocasuarina eriochlamys subsp. grossa,0114,"articles 9-18 mm long, 0.8-1.1 mm diam.;",,,"Articles 9-18 mm long, 0.8-1.1 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8-11, 0.5-0.9 (rarely to 1.6) mm long. Male spikes 16-35 mm long, 10-11 whorls per cm. Cones on peduncle 4-15 mm long; cone body 20-38 mm long, 14-21 mm diam.; bracts thickened laterally, so base appears 2-lobed; bracteoles protruding prominently beyond cone body, with acute to broadly acute apex, indentation marking apex of protuberance below body apex."
Allocasuarina eriochlamys subsp. grossa,leaf_length,maximum,18,mm,good,cladode,,Allocasuarina eriochlamys subsp. grossa,0114,"articles 9-18 mm long, 0.8-1.1 mm diam.;",,,"Articles 9-18 mm long, 0.8-1.1 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8-11, 0.5-0.9 (rarely to 1.6) mm long. Male spikes 16-35 mm long, 10-11 whorls per cm. Cones on peduncle 4-15 mm long; cone body 20-38 mm long, 14-21 mm diam.; bracts thickened laterally, so base appears 2-lobed; bracteoles protruding prominently beyond cone body, with acute to broadly acute apex, indentation marking apex of protuberance below body apex."
Allocasuarina eriochlamys subsp. grossa,leaf_width,minimum,0.8,mm,good,cladode,,Allocasuarina eriochlamys subsp. grossa,0114,"articles 9-18 mm long, 0.8-1.1 mm diam.;",,,"Articles 9-18 mm long, 0.8-1.1 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8-11, 0.5-0.9 (rarely to 1.6) mm long. Male spikes 16-35 mm long, 10-11 whorls per cm. Cones on peduncle 4-15 mm long; cone body 20-38 mm long, 14-21 mm diam.; bracts thickened laterally, so base appears 2-lobed; bracteoles protruding prominently beyond cone body, with acute to broadly acute apex, indentation marking apex of protuberance below body apex."
Allocasuarina eriochlamys subsp. grossa,leaf_width,maximum,1.1,mm,good,cladode,,Allocasuarina eriochlamys subsp. grossa,0114,"articles 9-18 mm long, 0.8-1.1 mm diam.;",,,"Articles 9-18 mm long, 0.8-1.1 mm diam.; phyllichnia flat or slightly rounded, not ridged; teeth 8-11, 0.5-0.9 (rarely to 1.6) mm long. Male spikes 16-35 mm long, 10-11 whorls per cm. Cones on peduncle 4-15 mm long; cone body 20-38 mm long, 14-21 mm diam.; bracts thickened laterally, so base appears 2-lobed; bracteoles protruding prominently beyond cone body, with acute to broadly acute apex, indentation marking apex of protuberance below body apex."
Allocasuarina fibrosa,leaf_length,maximum,16,mm,good,cladode,,Allocasuarina fibrosa,0115,similar to grevilleoides . shrub 0.5-1.5 m high;,,,"Similar to A. grevilleoides . Shrub 0.5-1.5 m high; penultimate branchlets woody. Branchlets 2-5 cm long; elongate articles 2-4, terete, 8-16 mm long, glabrous; teeth 4, erect, with broad whitish translucent margins at least towards apex, 1.5-2.0 mm long. Male spikes 4-7 mm long; anther 0.5-0.6 mm long. Cones subcylindrical to globose, with long coarse hairs; cone body 11-25 mm long, 9-11 mm diam.; bracteoles thin, long-acuminate, often awn-like (c. 1 mm long) and hooked, with thick pyramidal protuberance separating from bracteole near base, with short curved awn 1-2 mm long. Samara 6-7 mm long, glabrous, brown to black."
Allocasuarina grevilleoides,leaf_length,minimum,10,mm,good,cladode,,Allocasuarina grevilleoides,0121,"spreading, lignotuberous shrub, 15-30 cm high;",,,"Spreading, lignotuberous shrub, 15-30 cm high; penultimate branchlets green. Branchlets ascending, ±pungent, 1-3 cm long; elongate article(s) 1 or 2, terete to subquadrangular, 10-24 mm long, 0.5-0.8 mm diam., often pubescent when young; phyllichnia flat or with broad shallow median groove; teeth 4, erect to slightly spreading, overlapping, usually shortly fimbriate, 0.3-0.6 mm long, marcescent. Male spikes 2-5 mm long, dense; anther 0.6-0.7 mm long. Cones inconspicuous, ovoid, irregular, sessile, densely and minutely pubescent, becoming glabrous; cone body 9-14 mm long, 6-9 mm diam.; bracts with deciduous awn c. 1.5 mm long; bracteoles greatly thickened but relatively small, acute, protuberance much shorter than bracteole body, divided into 4-6 small pyramidal bodies. Samara 5.5-7 mm long, very dark brown, with long ferruginous hairs."
Allocasuarina grevilleoides,leaf_length,maximum,24,mm,good,cladode,,Allocasuarina grevilleoides,0121,"spreading, lignotuberous shrub, 15-30 cm high;",,,"Spreading, lignotuberous shrub, 15-30 cm high; penultimate branchlets green. Branchlets ascending, ±pungent, 1-3 cm long; elongate article(s) 1 or 2, terete to subquadrangular, 10-24 mm long, 0.5-0.8 mm diam., often pubescent when young; phyllichnia flat or with broad shallow median groove; teeth 4, erect to slightly spreading, overlapping, usually shortly fimbriate, 0.3-0.6 mm long, marcescent. Male spikes 2-5 mm long, dense; anther 0.6-0.7 mm long. Cones inconspicuous, ovoid, irregular, sessile, densely and minutely pubescent, becoming glabrous; cone body 9-14 mm long, 6-9 mm diam.; bracts with deciduous awn c. 1.5 mm long; bracteoles greatly thickened but relatively small, acute, protuberance much shorter than bracteole body, divided into 4-6 small pyramidal bodies. Samara 5.5-7 mm long, very dark brown, with long ferruginous hairs."
Allocasuarina grevilleoides,leaf_width,minimum,0.5,mm,good,cladode,,Allocasuarina grevilleoides,0121,"spreading, lignotuberous shrub, 15-30 cm high;",,,"Spreading, lignotuberous shrub, 15-30 cm high; penultimate branchlets green. Branchlets ascending, ±pungent, 1-3 cm long; elongate article(s) 1 or 2, terete to subquadrangular, 10-24 mm long, 0.5-0.8 mm diam., often pubescent when young; phyllichnia flat or with broad shallow median groove; teeth 4, erect to slightly spreading, overlapping, usually shortly fimbriate, 0.3-0.6 mm long, marcescent. Male spikes 2-5 mm long, dense; anther 0.6-0.7 mm long. Cones inconspicuous, ovoid, irregular, sessile, densely and minutely pubescent, becoming glabrous; cone body 9-14 mm long, 6-9 mm diam.; bracts with deciduous awn c. 1.5 mm long; bracteoles greatly thickened but relatively small, acute, protuberance much shorter than bracteole body, divided into 4-6 small pyramidal bodies. Samara 5.5-7 mm long, very dark brown, with long ferruginous hairs."
