species_name,leaf_width_min_GrassBase_2014,leaf_width_min_Metcalfe_2020_2,leaf_width_min_SAH_2014,leaf_width_min_Wheeler_2002,leaf_width_min_to_keep,original_name
Aristida macroclada,1,1,NA,NA,omit,Aristida macroclada subsp. macroclada
Aristida macroclada subsp. queenslandica,NA,1,NA,NA,keep,Aristida macroclada subsp. queenslandica
Aristida muricata,1,1,NA,NA,omit,Aristida muricata
Aristida nitidula,0.7,0.7,NA,NA,omit,Aristida nitidula
Aristida perniciosa,2,2,NA,NA,omit,Aristida perniciosa
Aristida personata,1,1,NA,NA,omit,Aristida personata
Aristida polyclados,0.5,0.5,NA,NA,omit,Aristida polyclados
Aristida pruinosa,2,2,NA,NA,omit,Aristida pruinosa
Aristida psammophila,1,1.5,NA,NA,keep,Aristida psammophila
Aristida queenslandica,2,2,NA,NA,omit,Aristida queenslandica
Aristida queenslandica,2,2,NA,NA,omit,Aristida queenslandica var. queenslandica
Aristida queenslandica var. dissimilis,NA,2,NA,NA,keep,Aristida queenslandica var. dissimilis
Aristida ramosa,0.6,0.6,NA,NA,omit,Aristida ramosa
Aristida schultzii,1,1,NA,NA,omit,Aristida schultzii
Aristida sciuroides,2,2,NA,NA,omit,Aristida sciuroides
Aristida spuria,0.5,0.5,NA,NA,omit,Aristida spuria
Aristida superpendens,0.6,0.6,NA,NA,omit,Aristida superpendens
Aristida thompsonii,0.5,0.5,NA,NA,omit,Aristida thompsonii
Aristida utilis,1.5,1.5,NA,NA,omit,Aristida utilis var. utilis
Aristida warburgii,1,1,NA,NA,omit,Aristida warburgii
Arthragrostis aristispicula,1,1,NA,NA,omit,Arthragrostis aristispicula
Arthragrostis deschampsioides,1,1,NA,NA,omit,Arthragrostis deschampsioides
Arthraxon hispidus,NA,3,NA,NA,keep,Arthraxon hispidus
Arundinella nepalensis,3,3,NA,NA,omit,Arundinella nepalensis
Arundinella setosa,2,2,NA,NA,omit,Arundinella setosa
Arundo donax,NA,10,NA,NA,keep,Arundo donax var. donax
Astrebla elymoides,3,3,NA,NA,omit,Astrebla elymoides
Astrebla lappacea,4,4,NA,NA,omit,Astrebla lappacea
Astrebla pectinata,2.7,3,NA,NA,keep,Astrebla pectinata
Astrebla squarrosa,3,3,NA,NA,omit,Astrebla squarrosa
Avena sterilis subsp. ludoviciana,NA,4,NA,NA,keep,Avena sterilis subsp. ludoviciana
Axonopus compressus,NA,3,NA,NA,keep,Axonopus compressus
Axonopus fissifolius,NA,1.5,NA,NA,keep,Axonopus fissifolius
Bambusa balcooa,NA,25,NA,NA,keep,Bambusa balcooa
Bambusa moreheadiana,30,15,NA,NA,keep,Bambusa moreheadiana
Bambusa vulgaris,NA,18,NA,NA,keep,Bambusa vulgaris
Bothriochloa bladhii,2,2,6,NA,omit,Bothriochloa bladhii
Bothriochloa bladhii,2,2,6,NA,omit,Bothriochloa bladhii subsp. bladhii
Bothriochloa bladhii,2,2,6,NA,omit,Bothriochloa bladhii subsp. glabra
Bothriochloa decipiens,2,2,NA,NA,omit,Bothriochloa decipiens
Bothriochloa decipiens,2,2,NA,NA,omit,Bothriochloa decipiens var. decipiens
Bothriochloa decipiens,2,2,NA,NA,omit,Bothriochloa decipiens var. cloncurrensis
Bothriochloa erianthoides,5,5,NA,NA,omit,Bothriochloa erianthoides
Bothriochloa ewartiana,3,3,3,NA,omit,Bothriochloa ewartiana
Bothriochloa macra,NA,2.5,NA,NA,keep,Bothriochloa macra
Bothriochloa pertusa,NA,2.5,NA,NA,keep,Bothriochloa pertusa
Brachiaria atrisola,4,4,NA,NA,omit,Urochloa atrisola
Brachiaria brizantha,NA,3,NA,NA,keep,Urochloa brizantha
Brachiaria decumbens,NA,7,NA,NA,keep,Urochloa decumbens
Brachiaria distachya,3,3,NA,NA,omit,Urochloa distachya
Brachiaria foliosa,4,4,NA,NA,omit,Urochloa foliosa
Brachiaria gilesii,NA,3,NA,NA,keep,Urochloa gilesii
Brachiaria holosericea,NA,2,NA,NA,keep,Urochloa holosericea
Brachiaria holosericea,NA,2,NA,NA,keep,Urochloa holosericea subsp. holosericea
Brachiaria holosericea subsp. velutina,2,2,NA,NA,omit,Urochloa holosericea subsp. velutina
Brachiaria humidicola,NA,3,NA,NA,keep,Urochloa humidicola
Brachiaria kurzii,2,2,NA,NA,omit,Urochloa kurzii
Brachiaria mutica,NA,3,NA,NA,keep,Urochloa mutica
Brachiaria piligera,NA,3,3,NA,omit,Urochloa piligera
Brachiaria polyphylla,NA,3,NA,NA,keep,Urochloa polyphylla
Brachiaria praetervisa,NA,4,4,NA,omit,Urochloa praetervisa
Brachiaria pubigera,NA,4,NA,NA,keep,Urochloa pubigera
Brachiaria ramosa,NA,4,NA,NA,keep,Urochloa ramosa
Brachiaria reptans,3,3,NA,NA,omit,Urochloa reptans
Brachiaria subquadripara,NA,4,NA,NA,keep,Urochloa subquadripara
Brachiaria whiteana,2.5,2.5,NA,NA,omit,Urochloa whiteana
Brachyachne convergens,2,2,NA,NA,omit,Brachyachne convergens
Brachyachne tenella,1,1,NA,NA,omit,Brachyachne tenella
Briza minor,NA,3,NA,NA,keep,Briza minor
Calyptochloa gracillima,2,2,NA,NA,omit,Calyptochloa gracillima
Capillipedium parviflorum,2,2,NA,NA,omit,Capillipedium parviflorum
Capillipedium spicigerum,5,5,NA,NA,omit,Capillipedium spicigerum
Cenchrus caliculatus,3,1,NA,NA,keep,Cenchrus caliculatus
Cenchrus ciliaris,NA,4,3,NA,keep,Cenchrus ciliaris
Cenchrus echinatus,NA,3,NA,NA,keep,Cenchrus echinatus
Cenchrus elymoides,3.3,3.3,NA,NA,omit,Cenchrus elymoides var. elymoides
Cenchrus pennisetiformis,NA,2,NA,NA,keep,Cenchrus pennisetiformis
Cenchrus robustus,3,3,NA,NA,omit,Cenchrus robustus
Cenchrus setiger,NA,2,NA,NA,keep,Cenchrus setiger
Centotheca lappacea,15,15,NA,NA,omit,Centotheca lappacea
Centotheca philippinensis,3,3,NA,NA,omit,Centotheca philippinensis
Chionachne cyathopoda,10,10,NA,NA,omit,Chionachne cyathopoda
Chionachne hubbardiana,5,5,NA,NA,omit,Chionachne hubbardiana
Chloris barbata,NA,2,NA,NA,keep,Chloris inflata
Chloris divaricata,1,1,NA,NA,omit,Chloris divaricata
Chloris divaricata,1,1,NA,NA,omit,Chloris divaricata var. divaricata
Chloris divaricata,1,1,NA,NA,omit,Chloris divaricata var. cynodontoides
Chloris gayana,NA,1.5,NA,NA,keep,Chloris gayana
Chloris lobata,0.2,0.2,NA,NA,omit,Chloris lobata
Chloris pectinata,2,2,2,NA,omit,Chloris pectinata
Chloris pumilio,2,3,NA,NA,keep,Chloris pumilio
Chloris ventricosa,2,2,NA,NA,omit,Chloris ventricosa
Chloris virgata,NA,2,NA,NA,keep,Chloris virgata
Chrysopogon aciculatus,NA,2,NA,NA,keep,Chrysopogon aciculatus
Chrysopogon benthamianus,NA,2,NA,NA,keep,Chrysopogon fallax
Chrysopogon filipes,3,3,NA,NA,omit,Chrysopogon filipes
Chrysopogon oliganthus,2.5,2.5,NA,NA,omit,Chrysopogon oliganthus
Chrysopogon pallidus,3,3,NA,NA,omit,Chrysopogon pallidus
Chrysopogon setifolius,0.75,0.75,NA,NA,omit,Chrysopogon setifolius
Chrysopogon sylvaticus,2.5,2.5,NA,NA,omit,Chrysopogon sylvaticus
Chrysopogon zizanioides,NA,4,NA,NA,keep,Chrysopogon zizanioides
Cleistochloa sclerachne,3,3,NA,NA,omit,Cleistochloa sclerachne
Cleistochloa subjuncea,0.5,0.5,NA,NA,omit,Cleistochloa subjuncea
Coelachne pulchella,NA,2,NA,NA,keep,Coelachne pulchella
Coelorachis rottboellioides,NA,8,NA,NA,keep,Mnesithea rottboellioides
Coix gasteenii,10,10,NA,NA,omit,Coix gasteenii
Cymbopogon ambiguus,1,1,NA,NA,omit,Cymbopogon ambiguus
Cymbopogon bombycinus,1,1,NA,NA,omit,Cymbopogon bombycinus
Cymbopogon caesius,NA,1.5,NA,NA,keep,Cymbopogon caesius
Cymbopogon globosus,3,3,NA,NA,omit,Cymbopogon globosus
Cymbopogon gratus,2,2,NA,NA,omit,Cymbopogon gratus
Cymbopogon obtectus,1,1,NA,NA,omit,Cymbopogon obtectus
Cymbopogon queenslandicus,3,3,NA,NA,omit,Cymbopogon queenslandicus
Cymbopogon refractus,1,1,NA,NA,omit,Cymbopogon refractus
Cynodon aethiopicus,NA,3,NA,NA,keep,Cynodon aethiopicus
Cynodon dactylon,NA,0.5,NA,NA,keep,Cynodon dactylon var. dactylon
Cynodon nlemfuensis,NA,2,NA,NA,keep,Cynodon nlemfuensis var. nlemfuensis
Cynodon radiatus,NA,3,NA,NA,keep,Cynodon radiatus
Cyrtococcum capitis-york,NA,3,NA,NA,keep,Cyrtococcum capitis-york
Cyrtococcum oxyphyllum,5,5,NA,NA,omit,Cyrtococcum oxyphyllum
Dactyloctenium aegyptium,NA,2.5,NA,NA,keep,Dactyloctenium aegyptium
Dactyloctenium australe,NA,2.5,NA,NA,keep,Dactyloctenium australe
Dactyloctenium buchananensis,1,3,NA,NA,keep,Dactyloctenium buchananensis
Dactyloctenium radulans,3,3,NA,NA,omit,Dactyloctenium radulans
Dichanthium annulatum,NA,2,NA,NA,keep,Dichanthium annulatum
Dichanthium aristatum,NA,2,NA,NA,keep,Dichanthium aristatum
Dichanthium caricosum,NA,2,NA,NA,keep,Dichanthium caricosum
Dichanthium fecundum,2,2,NA,NA,omit,Dichanthium fecundum
Dichanthium queenslandicum,3,3,NA,NA,omit,Dichanthium queenslandicum
Dichanthium sericeum,NA,2,NA,NA,keep,Dichanthium sericeum
Dichanthium sericeum,NA,2,NA,NA,keep,Dichanthium sericeum subsp. sericeum
Dichanthium sericeum subsp. humilius,2,2,NA,NA,omit,Dichanthium sericeum subsp. humilius
Dichanthium sericeum subsp. polystachyum,2,2,NA,NA,omit,Dichanthium sericeum subsp. polystachyum
Dichanthium setosum,2,2,NA,NA,omit,Dichanthium setosum
Dichanthium tenue,2,2,NA,NA,omit,Dichanthium tenue
Dichelachne micrantha,2,2,NA,1,omit,Dichelachne micrantha
Digitaria ammophila,3,3,NA,NA,omit,Digitaria ammophila
Digitaria baileyi,2,2,NA,NA,omit,Digitaria baileyi
Digitaria bicornis,NA,2,NA,NA,keep,Digitaria bicornis
Digitaria breviglumis,0.5,1,NA,NA,keep,Digitaria breviglumis
Digitaria brownii,0.5,0.5,NA,NA,omit,Digitaria brownii
Digitaria ciliaris,NA,3,4,NA,keep,Digitaria ciliaris
Digitaria coenicola,2,2,3,NA,omit,Digitaria coenicola
Digitaria ctenantha,NA,2,2,NA,omit,Digitaria ctenantha
Digitaria didactyla,NA,1,NA,NA,keep,Digitaria didactyla
Digitaria diffusa,0.75,0.75,NA,NA,omit,Digitaria diffusa
Digitaria divaricatissima,2.5,2.5,NA,NA,omit,Digitaria divaricatissima
Digitaria eriantha cv. Pangola,NA,2,NA,NA,keep,Digitaria eriantha cv. Pangola
Digitaria gibbosa,1,1,NA,NA,omit,Digitaria gibbosa
Digitaria hystrichoides,3,3,NA,NA,omit,Digitaria hystrichoides
Digitaria imbricata,2.4,2.4,NA,NA,omit,Digitaria imbricata
Digitaria leucostachya,2,2,NA,NA,omit,Digitaria leucostachya
Digitaria longiflora,1,1,NA,NA,omit,Digitaria longiflora
Digitaria milanjiana cv. Jarra,NA,3,NA,NA,keep,Digitaria milanjiana cv. Jarra
Digitaria minima,1,1,NA,NA,omit,Digitaria minima
Digitaria nematostachya,3.5,3.5,NA,NA,omit,Digitaria nematostachya
Digitaria orbata,1.8,1.8,NA,NA,omit,Digitaria orbata
Digitaria papposa,3,3,NA,NA,omit,Digitaria papposa
Digitaria parviflora,3,3,NA,NA,omit,Digitaria parviflora
Digitaria radicosa,NA,2,NA,NA,keep,Digitaria radicosa
Digitaria ramularis,1.1,1.1,NA,NA,omit,Digitaria ramularis
Digitaria setigera,3,3,NA,NA,omit,Digitaria setigera
Digitaria tonsa,NA,3.5,NA,NA,keep,Digitaria tonsa
Digitaria violascens,NA,2,NA,NA,keep,Digitaria violascens
Dimeria acinaciformis,1,1,NA,NA,omit,Dimeria acinaciformis
Dimeria chloridiformis,2,2,NA,NA,omit,Dimeria chloridiformis
Dimeria ornithopoda,0.5,0.5,NA,NA,omit,Dimeria ornithopoda
Echinochloa colona,NA,2,NA,NA,keep,Echinochloa colona
Echinochloa crus-galli,NA,6,NA,NA,keep,Echinochloa crus-galli
Echinochloa elliptica,5,5,NA,NA,omit,Echinochloa elliptica
Echinochloa frumentacea,NA,5,NA,NA,keep,Echinochloa frumentacea
Echinochloa inundata,6,6,5,NA,omit,Echinochloa inundata
Echinochloa kimberleyensis,4,4,NA,NA,omit,Echinochloa kimberleyensis
Echinochloa oryzoides,NA,4,NA,NA,keep,Echinochloa oryzoides
Echinochloa polystachya cv. Amity,NA,20,NA,NA,keep,Echinochloa polystachya cv. Amity
Echinochloa telmatophila,7,7,NA,NA,omit,Echinochloa dietrichiana
Echinochloa telmatophila,7,7,NA,NA,omit,Echinochloa telmatophila
Echinochloa turneriana,4,4,NA,NA,omit,Echinochloa turneriana
Echinopogon nutans var. nutans,3,2,NA,NA,keep,Echinopogon nutans var. nutans
Ectrosia agrostoides,0.2,0.2,NA,NA,omit,Ectrosia agrostoides
Ectrosia anomala,0.7,0.7,NA,NA,omit,Ectrosia anomala
Ectrosia appressa,2,2,NA,NA,omit,Ectrosia appressa
Ectrosia blakei,1,1,NA,NA,omit,Ectrosia blakei
Ectrosia confusa,0.6,0.6,NA,NA,omit,Ectrosia confusa
Ectrosia danesii,1.5,1.5,NA,NA,omit,Ectrosia danesii
Ectrosia gulliveri,0.7,0.7,NA,NA,omit,Ectrosia gulliveri
Ectrosia laxa,0.8,0.8,NA,NA,omit,Ectrosia laxa
Ectrosia leporina,1,1,NA,NA,omit,Ectrosia leporina
Ectrosia nervilemma,1,1,NA,NA,omit,Ectrosia nervilemma
Ectrosia ovata,1,0.8,NA,NA,keep,Ectrosia ovata
Ectrosia scabrida,0.7,0.7,NA,NA,omit,Ectrosia scabrida
Ectrosia schultzii,2,2,NA,NA,omit,Ectrosia schultzii
Ectrosia schultzii var. annua,2,2,NA,NA,omit,Ectrosia schultzii var. annua
Ectrosia schultzii var. schultzii,2,2,NA,NA,omit,Ectrosia schultzii var. schultzii
Ectrosiopsis lasioclada,1,1,NA,NA,omit,Ectrosia lasioclada
Ehrharta stipoides,1,1,NA,1,omit,Microlaena stipoides
Ehrharta stipoides,1,1,NA,1,omit,Microlaena stipoides var. stipoides
Eleusine indica,NA,2.5,NA,NA,keep,Eleusine indica
Elionurus citreus,2,2,NA,NA,omit,Elionurus citreus
Elytrophorus spicatus,0.5,2,NA,NA,keep,Elytrophorus spicatus
Enneapogon avenaceus,1,1,NA,NA,omit,Enneapogon avenaceus
Enneapogon cylindricus,1,1,NA,NA,omit,Enneapogon cylindricus
Enneapogon gracilis,1,1,NA,NA,omit,Enneapogon gracilis
Enneapogon intermedius,1,1,NA,NA,omit,Enneapogon intermedius
Enneapogon lindleyanus,1,1,NA,NA,omit,Enneapogon lindleyanus
Enneapogon nigricans,1,1,NA,NA,omit,Enneapogon nigricans
Enneapogon pallidus,1,1,NA,NA,omit,Enneapogon pallidus
Enneapogon polyphyllus,1,1,NA,NA,omit,Enneapogon polyphyllus
Enneapogon purpurascens,1,1,NA,NA,omit,Enneapogon purpurascens
Enneapogon robustissimus,2,2,NA,NA,omit,Enneapogon robustissimus
Enneapogon truncatus,2,2,NA,NA,omit,Enneapogon truncatus
Enneapogon virens,1,1,NA,NA,omit,Enneapogon virens
Enteropogon acicularis,1.8,1.8,NA,NA,omit,Enteropogon acicularis
Enteropogon dolichostachyus,2.5,2.5,NA,NA,omit,Enteropogon dolichostachyus
Enteropogon minutus,2,2,NA,NA,omit,Enteropogon minutus
Enteropogon paucispiceus,0.5,0.5,NA,NA,omit,Enteropogon paucispiceus
Enteropogon ramosus,1.5,1.5,NA,NA,omit,Enteropogon ramosus
Enteropogon unispiceus,0.5,0.5,NA,NA,omit,Enteropogon unispiceus
Entolasia marginata,2,2,NA,NA,omit,Entolasia marginata
Entolasia stricta,1,1,NA,NA,omit,Entolasia stricta
Entolasia whiteana,1,1,NA,NA,omit,Entolasia whiteana
Eragrostis advena,2,2,NA,NA,omit,Thellungia advena
Eragrostis amabilis,NA,1,NA,NA,keep,Eragrostis amabilis
Eragrostis basedowii,2,2,2,NA,omit,Eragrostis basedowii
Eragrostis brownii,1,1,1.5,1.5,omit,Eragrostis brownii
Eragrostis capitula,2,2,NA,NA,omit,Eragrostis capitula
Eragrostis cilianensis,NA,2,4,NA,keep,Eragrostis cilianensis
Eragrostis concinna,1,1,NA,NA,omit,Eragrostis concinna
Eragrostis cumingii,1,1,NA,NA,omit,Eragrostis cumingii
Eragrostis curvula,NA,1,NA,NA,keep,Eragrostis curvula
Eragrostis dielsii,1,1,NA,NA,omit,Eragrostis dielsii
Eragrostis elongata,0.2,0.2,2,2,omit,Eragrostis elongata
Eragrostis exigua,2,2,NA,NA,omit,Eragrostis exigua
Eragrostis falcata,1,1,NA,NA,omit,Eragrostis falcata
Eragrostis fallax,2,2,NA,NA,omit,Eragrostis fallax
Eragrostis interrupta,2,2,NA,NA,omit,Eragrostis interrupta
Eragrostis jacobsiana,2,2,NA,NA,omit,Eragrostis jacobsiana
Eragrostis lacunaria,1,1,NA,NA,omit,Eragrostis lacunaria
Eragrostis leptocarpa,2,2,NA,NA,omit,Eragrostis leptocarpa
Eragrostis leptostachya,2,2,NA,NA,omit,Eragrostis leptostachya
Eragrostis longipedicellata,1,1,NA,NA,omit,Eragrostis longipedicellata
Eragrostis megalosperma,NA,0.5,NA,NA,keep,Eragrostis megalosperma
Eragrostis mexicana,NA,3,NA,NA,keep,Eragrostis mexicana
Eragrostis microcarpa,1,1,NA,NA,omit,Eragrostis microcarpa
Eragrostis minor,NA,1,NA,NA,keep,Eragrostis minor
Eragrostis parviflora,2,2,NA,NA,omit,Eragrostis parviflora
Eragrostis patula,NA,1,NA,NA,keep,Eragrostis tenuifolia
Eragrostis pergracilis,1,1,NA,NA,omit,Eragrostis pergracilis
Eragrostis pilosa,NA,1,NA,NA,keep,Eragrostis pilosa
Eragrostis pubescens,2,2,NA,NA,omit,Eragrostis pubescens
Eragrostis rigidiuscula,1,1,NA,NA,omit,Eragrostis rigidiuscula
Eragrostis schultzii,3,3,NA,NA,omit,Eragrostis schultzii
Eragrostis setifolia,1,1,NA,NA,omit,Eragrostis setifolia
Eragrostis sororia,2,2,NA,NA,omit,Eragrostis sororia
Eragrostis spartinoides,1,1,NA,NA,omit,Eragrostis spartinoides
Eragrostis speciosa,1,1,NA,NA,omit,Eragrostis speciosa
Eragrostis stagnalis,1,1,NA,NA,omit,Eragrostis stagnalis
Eragrostis stenostachya,1,1,NA,NA,omit,Eragrostis stenostachya
Eragrostis sterilis,1,1,NA,NA,omit,Eragrostis sterilis
Eragrostis subtilis,NA,1,NA,NA,keep,Eragrostis subtilis
Eragrostis tenellula,2,2,NA,NA,omit,Eragrostis tenellula
Eragrostis triquetra,1,1,NA,NA,omit,Eragrostis triquetra
Eragrostis unioloides,2,2,NA,NA,omit,Eragrostis unioloides
Eragrostis xerophila,0.5,0.5,NA,NA,omit,Eragrostis xerophila
Eremochloa bimaculata,2,2,NA,NA,omit,Eremochloa bimaculata
Eremochloa muricata,2,2,NA,NA,omit,Eremochloa muricata
Eriachne aristidea,3,3,NA,NA,omit,Eriachne aristidea
Eriachne armitii,2,2,NA,NA,omit,Eriachne armitii
Eriachne basalis,2,2,NA,NA,omit,Eriachne basalis
Eriachne benthamii,2,2,NA,NA,omit,Eriachne benthamii
Eriachne burkittii,3,3,NA,NA,omit,Eriachne burkittii
Eriachne ciliata,1,1,NA,NA,omit,Eriachne ciliata
Eriachne filiformis,0.5,0.5,NA,NA,omit,Eriachne filiformis
Eriachne glauca,2,2,NA,NA,omit,Eriachne glauca var. glauca
Eriachne glauca,2,2,NA,NA,omit,Eriachne glauca var. barbinodis
Eriachne helmsii,2,2,NA,NA,omit,Eriachne helmsii
Eriachne humilis,0.5,0.5,NA,NA,omit,Eriachne humilis
Eriachne insularis,1,1,NA,NA,omit,Eriachne insularis
Eriachne melicacea,1,1,NA,NA,omit,Eriachne melicacea
Eriachne mucronata,1,1,NA,NA,omit,Eriachne mucronata
Eriachne obtusa,1,1,NA,NA,omit,Eriachne obtusa
Eriachne pallescens,1,1,NA,NA,omit,Eriachne pallescens
Eriachne rara,1,1,NA,NA,omit,Eriachne rara
Eriachne squarrosa,3,3,NA,NA,omit,Eriachne squarrosa
Eriachne stipacea,2,2,NA,NA,omit,Eriachne stipacea
Eriachne triodioides,2,2,NA,NA,omit,Eriachne triodioides
Eriachne triseta,1,1,NA,NA,omit,Eriachne triseta
Eriachne vesiculosa,2,2,NA,NA,omit,Eriachne vesiculosa
Eriochloa australiensis,3,3,2,NA,omit,Eriochloa australiensis
Eriochloa crebra,2,2,2,NA,omit,Eriochloa crebra
Eriochloa fatmensis,2,2,NA,NA,omit,Eriochloa fatmensis
Eriochloa meyeriana,NA,3,NA,NA,keep,Eriochloa meyeriana
Eriochloa procera,2,2,NA,NA,omit,Eriochloa procera
Eriochloa pseudoacrotricha,1.5,1.5,2,NA,omit,Eriochloa pseudoacrotricha
Eulalia annua,1,1,NA,NA,omit,Eulalia annua
Eulalia aurea,2,2,NA,NA,omit,Eulalia aurea
Eulalia contorta,1.5,1.5,NA,NA,omit,Pseudopogonatherum contortum
Eulalia irritans,1,1,NA,NA,omit,Pseudopogonatherum irritans
Eulalia mackinlayi,1,1,NA,NA,omit,Eulalia mackinlayi
Eulalia trispicata,1,1,NA,NA,omit,Eulalia trispicata
Eustachys distichophylla,NA,4,6,NA,keep,Eustachys distichophylla
Germainia grandiflora,2,2,NA,NA,omit,Germainia grandiflora
Hackelochloa granularis,NA,3,NA,NA,keep,Mnesithea granularis
Hemarthria uncinata,1.5,1.5,2,1.5,omit,Hemarthria uncinata
Hemarthria uncinata,1.5,1.5,2,1.5,omit,Hemarthria uncinata var. uncinata
Hemarthria uncinata,1.5,1.5,2,1.5,omit,Hemarthria uncinata var. spathacea
Heterachne abortiva,0.8,0.8,NA,NA,omit,Heterachne abortiva
Heterachne gulliveri,0.5,0.5,NA,NA,omit,Heterachne gulliveri
Heteropogon contortus,2,2,NA,NA,omit,Heteropogon contortus
Heteropogon triticeus,3,3,NA,NA,omit,Heteropogon triticeus
Holcolemma dispar,1,1,NA,NA,omit,Holcolemma dispar
Holcus lanatus,NA,3,NA,NA,keep,Holcus lanatus
Hymenachne amplexicaulis,6,6,NA,NA,omit,Hymenachne acutigluma
Hyparrhenia filipendula,1.5,1.5,NA,NA,omit,Hyparrhenia filipendula
Hyparrhenia hirta,NA,1,1,NA,omit,Hyparrhenia hirta
Hyparrhenia rufa,NA,2,NA,NA,keep,Hyparrhenia rufa
Hyparrhenia rufa,NA,2,NA,NA,keep,Hyparrhenia rufa subsp. rufa
Hyparrhenia rufa,NA,2,NA,NA,keep,Hyparrhenia rufa subsp. altissima
Ichnanthus pallens,NA,5,NA,NA,keep,Ichnanthus pallens
Imperata cylindrica,NA,2,NA,NA,keep,Imperata cylindrica
Isachne confusa,2,2,NA,NA,omit,Isachne confusa
Isachne globosa,3,3,NA,NA,omit,Isachne globosa
Isachne pulchella,NA,2,NA,NA,keep,Isachne pulchella
Isachne sp. (Cape Tribulation R.L.Jago 4560),NA,7,NA,NA,keep,Isachne sp. (Cape Tribulation R.L.Jago 4560)
Ischaemum australe,3,3,NA,NA,omit,Ischaemum australe
Ischaemum australe,3,3,NA,NA,omit,Ischaemum australe var. arundinaceum
Ischaemum australe,3,3,NA,NA,omit,Ischaemum australe var. villosum
Ischaemum australe var. australe,3,3,NA,NA,omit,Ischaemum australe var. australe
Ischaemum decumbens,1,1,NA,NA,omit,Ischaemum decumbens
Ischaemum fragile,3,3,NA,NA,omit,Ischaemum fragile
Ischaemum muticum,4,4,NA,NA,omit,Ischaemum muticum
Ischaemum rugosum,3,3,NA,NA,omit,Ischaemum rugosum
Ischaemum rugosum,3,3,NA,NA,omit,Ischaemum rugosum var. rugosum
Ischaemum rugosum,3,3,NA,NA,omit,Ischaemum rugosum var. segetum
Ischaemum triticeum,3,3,NA,NA,omit,Ischaemum triticeum
Ischaemum tropicum,2,2,NA,NA,omit,Ischaemum tropicum
Iseilema calvum,3,3,NA,NA,omit,Iseilema calvum
Iseilema ciliatum,2,2,NA,NA,omit,Iseilema ciliatum
Iseilema convexum,3,3,NA,NA,omit,Iseilema convexum
Iseilema fragile,2,2,NA,NA,omit,Iseilema fragile
Iseilema macratherum,2,2,NA,NA,omit,Iseilema macratherum
Iseilema membranaceum,2,2,NA,NA,omit,Iseilema membranaceum
